numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal₁,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks
123,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Objets divers,Possessions suédoises,5708,,,,,869164,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
124,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Objets divers,Possessions Hollandaises,79473,,,,,869164,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
125,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Rum,Possessions des États-Unis de l'Amérique,26949,,,,,74104,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
126,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Rum,Possessions Espagnoles,1600,,,,,74104,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
127,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Rum,Possessions Anglaises,36955,,,,,74104,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
128,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Rum,Possessions suédoises,8600,,,,,74104,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
129,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Sel,Possessions des États-Unis de l'Amérique,14020,,,,,99497,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
130,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Sel,Possessions Portugaises,31100,,,,,99497,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
131,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Sel,Possessions Anglaises,49484,,,,,99497,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
132,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Sel,Possessions Hollandaises,4893,,,,,99497,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
133,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Sucre blanc,Possessions Anglaises,1200,,,,,8700,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
134,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Sucre blanc,Possessions Hollandaises,7500,,,,,8700,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
135,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Tabac,Possessions des États-Unis de l'Amérique,501648,,,,,571173,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
136,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Tabac,Possessions Espagnoles,35649,,,,,571173,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
137,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Tabac,Possessions Anglaises,1058,,,,,571173,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
138,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Tabac,Possessions Danoises,7294,,,,,571173,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
139,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Tabac,Possessions suédoises,23430,,,,,571173,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
140,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Tabac,Possessions Hollandaises,2094,,,,,571173,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
141,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Toileries de toute sorte,Possessions des États-Unis de l'Amérique,2441,,,,,253512,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
142,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Toileries de toute sorte,Possessions Espagnoles,196207,,,,,253512,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
143,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Toileries de toute sorte,Possessions Anglaises,33661,,,,,253512,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
144,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Toileries de toute sorte,Possessions Hollandaises,21203,,,,,253512,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
145,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Vins divers,Possessions des États-Unis de l'Amérique,3100,,,,,87040,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
146,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Vins divers,Possessions Espagnoles,19580,,,,,87040,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
147,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Vins divers,Possessions Anglaises,64360,,,,,87040,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
148,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Volailles,Possessions des États-Unis de l'Amérique,82404,,,,,82404,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
149,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Denrées des colonies rum,Colonies Françaises de l'Amérique,697160,,,,,949640,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1784
150,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Denrées des colonies rum,Colonies Françaises de l'Amérique,22416,,,,,949640,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1785
151,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Denrées des colonies rum,Colonies Françaises de l'Amérique,70550,,,,,949640,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1786
152,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Denrées des colonies rum,Colonies Françaises de l'Amérique,25000,,,,,949640,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1787
153,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Suédoises,,5,Denrées des colonies rum,Colonies Françaises de l'Amérique,13720,,,,,949640,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1788
154,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Denrées des colonies rum,Colonies Françaises de l'Amérique,120794,,,,,949640,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1789
155,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Denrées des colonies sirop,Colonies Françaises de l'Amérique,3212273,,,,,3649095,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1790
156,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Denrées des colonies sirop,Colonies Françaises de l'Amérique,33611,,,,,3649095,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1791
157,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Denrées des colonies sirop,Colonies Françaises de l'Amérique,303935,,,,,3649095,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1792
158,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Denrées des colonies sirop,Colonies Françaises de l'Amérique,3203,,,,,3649095,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1793
159,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Suédoises,,5,Denrées des colonies sirop,Colonies Françaises de l'Amérique,8708,,,,,3649095,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1794
160,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Denrées des colonies sirop,Colonies Françaises de l'Amérique,87365,,,,,3649095,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1795
161,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Denrées des colonies tafia,Colonies Françaises de l'Amérique,169000,,,,,370560,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1796
162,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Denrées des colonies tafia,Colonies Françaises de l'Amérique,144810,,,,,370560,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1797
163,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Denrées des colonies tafia,Colonies Françaises de l'Amérique,4800,,,,,370560,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1798
164,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Denrées des colonies tafia,Colonies Françaises de l'Amérique,2350,,,,,370560,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1799
165,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Denrées des colonies tafia,Colonies Françaises de l'Amérique,49600,,,,,370560,,4969295,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1800
166,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Chapeaux,Colonies Françaises de l'Amérique,50900,,,,,63472,,4941192,,,2nde classe marchandises originaires de France
167,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Suédoises,,5,Chapeaux,Colonies Françaises de l'Amérique,1440,,,,,63472,,4941192,,,2nde classe marchandises originaires de France
168,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Chapeaux,Colonies Françaises de l'Amérique,11132,,,,,63472,,4941192,,,2nde classe marchandises originaires de France
169,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Chaudières et marmites de ???,Colonies Françaises de l'Amérique,27049,,,,,35349,,4941192,,,2nde classe marchandises originaires de France
170,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Chaudières et marmites de ???,Colonies Françaises de l'Amérique,2000,,,,,35349,,4941192,,,2nde classe marchandises originaires de France
171,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Chaudières et marmites de ???,Colonies Françaises de l'Amérique,1500,,,,,35349,,4941192,,,2nde classe marchandises originaires de France
172,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Chaudières et marmites de ???,Colonies Françaises de l'Amérique,4800,,,,,35349,,4941192,,,2nde classe marchandises originaires de France
173,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Dentelles,Colonies Françaises de l'Amérique,2400,,,,,2400,,4941192,,,2nde classe marchandises originaires de France
174,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Drap de laine,Colonies Françaises de l'Amérique,2100,,,,,2100,,4941192,,,2nde classe marchandises originaires de France
175,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Eau de vie,Colonies Françaises de l'Amérique,160225,,,,,387281,,4941192,,,2nde classe marchandises originaires de France
176,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Eau de vie,Colonies Françaises de l'Amérique,156142,,,,,387281,,4941192,,,2nde classe marchandises originaires de France
177,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Eau de vie,Colonies Françaises de l'Amérique,31928,,,,,387281,,4941192,,,2nde classe marchandises originaires de France
178,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Eau de vie,Colonies Françaises de l'Amérique,6495,,,,,387281,,4941192,,,2nde classe marchandises originaires de France
179,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Suédoises,,5,Eau de vie,Colonies Françaises de l'Amérique,2766,,,,,387281,,4941192,,,2nde classe marchandises originaires de France
180,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Eau de vie,Colonies Françaises de l'Amérique,29725,,,,,387281,,4941192,,,2nde classe marchandises originaires de France
181,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Farine,Colonies Françaises de l'Amérique,9162,,,,,216852,,4941192,,,2nde classe marchandises originaires de France
182,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Farine,Colonies Françaises de l'Amérique,101112,,,,,216852,,4941192,,,2nde classe marchandises originaires de France
183,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Farine,Colonies Françaises de l'Amérique,10325,,,,,216852,,4941192,,,2nde classe marchandises originaires de France
184,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Farine,Colonies Françaises de l'Amérique,13662,,,,,216852,,4941192,,,2nde classe marchandises originaires de France
185,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Farine,Colonies Françaises de l'Amérique,82591,,,,,216852,,4941192,,,2nde classe marchandises originaires de France
186,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Fer en clous,Colonies Françaises de l'Amérique,29840,,,,,30830,,4941192,,,2nde classe marchandises originaires de France
187,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Fer en clous,Colonies Françaises de l'Amérique,990,,,,,30830,,4941192,,,2nde classe marchandises originaires de France
188,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Fil divers,Colonies Françaises de l'Amérique,16232,,,,,19782,,4941192,,,2nde classe marchandises originaires de France
189,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Fil divers,Colonies Françaises de l'Amérique,2400,,,,,19782,,4941192,,,2nde classe marchandises originaires de France
190,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Fil divers,Colonies Françaises de l'Amérique,1150,,,,,19782,,4941192,,,2nde classe marchandises originaires de France
191,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Fruits secs,Colonies Françaises de l'Amérique,17823,,,,,39997,,4941192,,,2nde classe marchandises originaires de France
192,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Fruits secs,Colonies Françaises de l'Amérique,2395,,,,,39997,,4941192,,,2nde classe marchandises originaires de France
193,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Fruits secs,Colonies Françaises de l'Amérique,19779,,,,,39997,,4941192,,,2nde classe marchandises originaires de France
194,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Huile d'olive,Colonies Françaises de l'Amérique,2030,,,,,169741,,4941192,,,2nde classe marchandises originaires de France
195,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Huile d'olive,Colonies Françaises de l'Amérique,104104,,,,,169741,,4941192,,,2nde classe marchandises originaires de France
196,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Huile d'olive,Colonies Françaises de l'Amérique,4849,,,,,169741,,4941192,,,2nde classe marchandises originaires de France
197,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Huile d'olive,Colonies Françaises de l'Amérique,1929,,,,,169741,,4941192,,,2nde classe marchandises originaires de France
198,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Huile d'olive,Colonies Françaises de l'Amérique,56829,,,,,169741,,4941192,,,2nde classe marchandises originaires de France
199,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Liqueurs diverses,Colonies Françaises de l'Amérique,2385,,,,,105299,,4941192,,,2nde classe marchandises originaires de France
200,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Liqueurs diverses,Colonies Françaises de l'Amérique,43041,,,,,105299,,4941192,,,2nde classe marchandises originaires de France
201,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Liqueurs diverses,Colonies Françaises de l'Amérique,13512,,,,,105299,,4941192,,,2nde classe marchandises originaires de France
202,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Liqueurs diverses,Colonies Françaises de l'Amérique,4314,,,,,105299,,4941192,,,2nde classe marchandises originaires de France
203,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Suédoises,,5,Liqueurs diverses,Colonies Françaises de l'Amérique,2010,,,,,105299,,4941192,,,2nde classe marchandises originaires de France
204,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Liqueurs diverses,Colonies Françaises de l'Amérique,40037,,,,,105299,,4941192,,,2nde classe marchandises originaires de France
205,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Marchandises sèches,Colonies Françaises de l'Amérique,3233,,,,,383400,,4941192,,,2nde classe marchandises originaires de France
206,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Marchandises sèches,Colonies Françaises de l'Amérique,309640,,,,,383400,,4941192,,,2nde classe marchandises originaires de France
207,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Marchandises sèches,Colonies Françaises de l'Amérique,17545,,,,,383400,,4941192,,,2nde classe marchandises originaires de France
208,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Marchandises sèches,Colonies Françaises de l'Amérique,4000,,,,,383400,,4941192,,,2nde classe marchandises originaires de France
209,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Marchandises sèches,Colonies Françaises de l'Amérique,48982,,,,,383400,,4941192,,,2nde classe marchandises originaires de France
210,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Marchandises diverses mêlées,Colonies Françaises de l'Amérique,36116,,,,,48633,,4941192,,,2nde classe marchandises originaires de France
211,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Marchandises diverses mêlées,Colonies Françaises de l'Amérique,12517,,,,,48633,,4941192,,,2nde classe marchandises originaires de France
212,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Parfumerie diverse,Colonies Françaises de l'Amérique,24077,,,,,31153,,4941192,,,2nde classe marchandises originaires de France
213,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Parfumerie diverse,Colonies Françaises de l'Amérique,1166,,,,,31153,,4941192,,,2nde classe marchandises originaires de France
214,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Parfumerie diverse,Colonies Françaises de l'Amérique,5910,,,,,31153,,4941192,,,2nde classe marchandises originaires de France
215,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Poudre à tirer,Colonies Françaises de l'Amérique,4720,,,,,4720,,4941192,,,2nde classe marchandises originaires de France
216,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Savon,Colonies Françaises de l'Amérique,12856,,,,,306254,,4941192,,,2nde classe marchandises originaires de France
217,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Savon,Colonies Françaises de l'Amérique,122752,,,,,306254,,4941192,,,2nde classe marchandises originaires de France
218,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Savon,Colonies Françaises de l'Amérique,27398,,,,,306254,,4941192,,,2nde classe marchandises originaires de France
219,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Savon,Colonies Françaises de l'Amérique,37916,,,,,306254,,4941192,,,2nde classe marchandises originaires de France
220,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Suédoises,,5,Savon,Colonies Françaises de l'Amérique,18032,,,,,306254,,4941192,,,2nde classe marchandises originaires de France
221,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Savon,Colonies Françaises de l'Amérique,87300,,,,,306254,,4941192,,,2nde classe marchandises originaires de France
222,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Sel,Colonies Françaises de l'Amérique,496529,,,,,594981,,4941192,,,2nde classe marchandises originaires de France
223,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Sel,Colonies Françaises de l'Amérique,81782,,,,,594981,,4941192,,,2nde classe marchandises originaires de France
224,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Sel,Colonies Françaises de l'Amérique,13146,,,,,594981,,4941192,,,2nde classe marchandises originaires de France
225,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Sel,Colonies Françaises de l'Amérique,1483,,,,,594981,,4941192,,,2nde classe marchandises originaires de France
226,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Sel,Colonies Françaises de l'Amérique,2041,,,,,594981,,4941192,,,2nde classe marchandises originaires de France
227,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Souliers,Colonies Françaises de l'Amérique,28685,,,,,39185,,4941192,,,2nde classe marchandises originaires de France
228,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Souliers,Colonies Françaises de l'Amérique,2580,,,,,39185,,4941192,,,2nde classe marchandises originaires de France
229,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Souliers,Colonies Françaises de l'Amérique,7920,,,,,39185,,4941192,,,2nde classe marchandises originaires de France
230,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Toilerie de toute sorte,Colonies Françaises de l'Amérique,3950,,,,,1309024,,4941192,,,2nde classe marchandises originaires de France
231,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Toilerie de toute sorte,Colonies Françaises de l'Amérique,1221173,,,,,1309024,,4941192,,,2nde classe marchandises originaires de France
232,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Toilerie de toute sorte,Colonies Françaises de l'Amérique,1782,,,,,1309024,,4941192,,,2nde classe marchandises originaires de France
233,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Toilerie de toute sorte,Colonies Françaises de l'Amérique,29548,,,,,1309024,,4941192,,,2nde classe marchandises originaires de France
234,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Suédoises,,5,Toilerie de toute sorte,Colonies Françaises de l'Amérique,4500,,,,,1309024,,4941192,,,2nde classe marchandises originaires de France
235,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Toilerie de toute sorte,Colonies Françaises de l'Amérique,48071,,,,,1309024,,4941192,,,2nde classe marchandises originaires de France
236,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Verrerie diverse,Colonies Françaises de l'Amérique,20000,,,,,23438,,4941192,,,2nde classe marchandises originaires de France
237,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Verrerie diverse,Colonies Françaises de l'Amérique,3438,,,,,1064043,,4941192,,,2nde classe marchandises originaires de France
238,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Vin de france,Colonies Françaises de l'Amérique,72945,,,,,1064043,,4941192,,,2nde classe marchandises originaires de France
239,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Vin de France,Colonies Françaises de l'Amérique,601821,,,,,1064043,,4941192,,,2nde classe marchandises originaires de France
240,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Vin de France,Colonies Françaises de l'Amérique,81020,,,,,1064043,,4941192,,,2nde classe marchandises originaires de France
241,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Vin de France,Colonies Françaises de l'Amérique,12856,,,,,1064043,,4941192,,,2nde classe marchandises originaires de France
242,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Suédoises,,5,Vin de France,Colonies Françaises de l'Amérique,11501,,,,,1064043,,4941192,,,2nde classe marchandises originaires de France
243,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Hollandaises,,5,Vin de France,Colonies Françaises de l'Amérique,283900,,,,,1064043,,4941192,,,2nde classe marchandises originaires de France
244,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Vin de liqueur et étranger,Colonies Françaises de l'Amérique,25500,,,,,63258,,4941192,,,2nde classe marchandises originaires de France
245,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Vin de liqueur et étranger,Colonies Françaises de l'Amérique,22708,,,,,63258,,4941192,,,2nde classe marchandises originaires de France
246,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Vin de liqueur et étranger,Colonies Françaises de l'Amérique,1650,,,,,63258,,4941192,,,2nde classe marchandises originaires de France
247,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Danoises,,5,Vin de liqueur et étranger,Colonies Françaises de l'Amérique,13400,,,,,63258,,4941192,,,2nde classe marchandises originaires de France
248,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions des États-Unis de l'Amérique,,5,Bestiaux et animaux,Colonies Françaises de l'Amérique,2500,,,,,36288,,3843746,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
249,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Espagnoles,,5,Bestiaux et animaux,Colonies Françaises de l'Amérique,10150,,,,,36288,,3843746,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
250,Cyril Mouton,Col F 2B 13,,,1788,Exports,Possessions Anglaises,,5,Bestiaux et animaux,Colonies Françaises de l'Amérique,5340,,,,,36288,,3843746,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
