numrodeligne,dataentryby,source,year,sheet,exportsimports,direction,pays,marchandises,quantit,quantity_unit,value,remarks
207,Demba,AN F12 835,216 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Carreaux démoulés,,valeur,13 000,
208,Demba,AN F12 835,217 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Marchandise à la valeur,,valeur,30 000,
209,Demba,AN F12 835,218 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Bled,,valeur,96 000,
210,Demba,AN F12 835,219 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Charbon de terre,"33 190 375,00",livres,742 000,
211,Demba,AN F12 835,220 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Cuivre,"277 592,00",livres,322 000,
212,Demba,AN F12 835,221 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Laiton,"77 498,00",livres,113 000,
213,Demba,AN F12 835,222 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Etain,"208 419,00",livres,202 000,
214,Demba,AN F12 835,223 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,fers divers,"724 106,00",livres,187 000,
215,Demba,AN F12 835,224 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Plomb,"478 059,00",livres,142 000,
216,Demba,AN F12 835,225 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Suifs,,valeur,17 000,
217,Demba,AN F12 835,226 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Bierre,"457,00",muids,38 000,
218,Demba,AN F12 835,227 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,alun,"400 440,00",livres,120 000,
219,Demba,AN F12 835,228 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Laines,"8 005,00",livres,40 000,
220,Demba,AN F12 835,229 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,chanvre,"35 200,00",livres,13 000,
221,Demba,AN F12 835,230 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Cotons,"3 561,00",livres,10 000,
222,Demba,AN F12 835,231 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Soies du Bengale,"14 530,00",livres,349 000,
223,Demba,AN F12 835,232 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Dents d'Elephants,"21 218,00",livres,100 000,
224,Demba,AN F12 835,233 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Peaux de castor en poil,"1 250,00",livres,12 000,
225,Demba,AN F12 835,234 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,huile de poisson,"412 902,00",livres,159 000,
226,Demba,AN F12 835,235 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Drogueries diverses pour la Peinture et la teinture,,valeur,36 000,
227,Demba,AN F12 835,236 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Couperose verte,"151 777,00",livres,18 000,
228,Demba,AN F12 835,237 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Mine de plomb,"286 491,00",livres,89 000,
229,Demba,AN F12 835,238 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Indigo ,"5 560,00",livres,27 000,
230,Demba,AN F12 835,239 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Poivre,"107 119,00",livres,135 000,
231,Demba,AN F12 835,240 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Baleine en fanon,"75 899,00",livres,260 000,
232,Demba,AN F12 835,241 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Drogues medecinales,,valeur,31 000,
233,Demba,AN F12 835,242 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Chevaux,"129,00",nombre,39 000,
234,Demba,AN F12 835,243 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,63 000,
235,Demba,AN F12 835,244 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Cuivre,"83 723,00",livres,75 000,
236,Demba,AN F12 835,245 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Eau de vie,"69,39",muids,14 000,
237,Demba,AN F12 835,246 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Vins divers,,valeur,71 000,11 muids 261 pintes et 26006 bouteilles
238,Demba,AN F12 835,247 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Laines,"55 521,00",livres,280 000,
239,Demba,AN F12 835,248 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Coton en laine,"1 390 193,00",livres,3 475 000,
240,Demba,AN F12 835,249 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Indigo ,"1 332,00",livres,17 000,
241,Demba,AN F12 835,250 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,64 000,
242,Demba,AN F12 835,251 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Alun,"424 091,00",livres,106 000,
243,Demba,AN F12 835,252 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Fayence,"6 071,00",livres,24 000,
244,Demba,AN F12 835,253 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Draperie commune,,valeur,17 000,
245,Demba,AN F12 835,254 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Etoffes de Coton,,valeur,83 000,
246,Demba,AN F12 835,255 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Etoffes de Laine,"9 796,00",livres,92 000,
247,Demba,AN F12 835,256 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Divers en mercerie &c.,,valeur,26 000,
248,Demba,AN F12 835,257 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Quincaillerie,,valeur,12 000,
249,Demba,AN F12 835,258 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Marchandises à la valeur,,valeur,15 000,
250,Demba,AN F12 835,259 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Bois de Teinture,"139 924,00",livres,17 000,
251,Demba,AN F12 835,260 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Bois de construction,,valeur,12 000,
252,Demba,AN F12 835,261 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Charbon de terre,"1 045 000,00",livres,42 000,
253,Demba,AN F12 835,262 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Cuivre,"322 508,00",livres,449 000,
254,Demba,AN F12 835,263 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Etain,"138 172,00",livres,138 000,
255,Demba,AN F12 835,264 mars-31 décembre 1787,31,Imports,Provence,Angleterre,fers divers,"191 085,00",livres,49 000,
256,Demba,AN F12 835,265 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Fer blanc,"58 401,00",livres,29 000,
257,Demba,AN F12 835,266 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Plomb,"1 199 596,00",livres,300 000,
258,Demba,AN F12 835,267 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Alquifoux,"376 251,00",livres,75 000,
259,Demba,AN F12 835,268 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Ceruse,"62 660,00",livres,13 000,
260,Demba,AN F12 835,269 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Couperose,"315 454,00",livres,63 000,
261,Demba,AN F12 835,270 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Indigo,"16 686,00",livres,133 000,
262,Demba,AN F12 835,271 mars-31 décembre 1787,31,Imports,Provence,Angleterre,huile de poisson,"83 843,00",livres,25 000,
263,Demba,AN F12 835,272 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Poivre,"11 250,00",livres,17 000,
264,Demba,AN F12 835,273 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Bled,"472 320,00",livres,57 000,
265,Demba,AN F12 835,274 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Diverses,,valeur,22 000,
266,Demba,AN F12 835,275 mars-31 décembre 1787,31,Exports,Provence,Angleterre,huile d'Olive,"37 330,00",livres,24 000,
267,Demba,AN F12 835,276 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Savon,"41 985,00",livres,21 000,
268,Demba,AN F12 835,277 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Eau de vie,"233,89",muids,40 000,
269,Demba,AN F12 835,278 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Vins,"82,82",muids,16 000,
270,Demba,AN F12 835,279 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Divers,,valeur,34 000,
271,Demba,AN F12 835,280 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Capres,"78 380,00",livres,33 000,
272,Demba,AN F12 835,281 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Ris,"42 000,00",livres,13 000,
273,Demba,AN F12 835,282 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Coton en laine,"11 795,00",livres,29 000,
274,Demba,AN F12 835,283 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,36 000,
275,Demba,AN F12 835,284 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Bonnetterie de laine,,valeur,153 000,
276,Demba,AN F12 835,285 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Bonnetterie de coton,,valeur,102 000,
277,Demba,AN F12 835,286 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Etoffes de coton,,valeur,642 000,
278,Demba,AN F12 835,287 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Etoffes de Laine,,valeur,547 000,
279,Demba,AN F12 835,288 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Gazes de Soye,,valeur,129 000,
280,Demba,AN F12 835,289 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Drap de laine,"14 266,00",aunes,316 000,
281,Demba,AN F12 835,290 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Tapis de pied,,valeur,19 000,
282,Demba,AN F12 835,291 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Toiles de coton,,valeur,67 000,
283,Demba,AN F12 835,292 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Toiles peintes,,valeur,18 000,
284,Demba,AN F12 835,293 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Fayence et poterie,,valeur,81 000,
285,Demba,AN F12 835,294 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Estampes,,valeur,30 000,
286,Demba,AN F12 835,295 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Quincaillerie,,valeur,542 000,
287,Demba,AN F12 835,296 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Sellerie,,valeur,53 000,
288,Demba,AN F12 835,297 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Mercerie et bijouterie,,valeur,234 000,
289,Demba,AN F12 835,298 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Liége en bouchons,,valeur,20 000,
290,Demba,AN F12 835,299 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Voitures,"283,00",nombre,174 000,
291,Demba,AN F12 835,300 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Instruments de musique,,valeur,39 000,
292,Demba,AN F12 835,301 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Ouvrages de coton,,valeur,23 000,
293,Demba,AN F12 835,302 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Marchandise à la valeur,,valeur,31 000,
294,Demba,AN F12 835,303 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Confitures moutarde fromage &c.,,valeur,13 000,
295,Demba,AN F12 835,304 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Ris,,valeur,30 000,
296,Demba,AN F12 835,305 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Ardoises,"457 590,00",nombre,13 000,
297,Demba,AN F12 835,306 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Bois de Teinture,"411 850,00",livres,82 000,
298,Demba,AN F12 835,307 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Charbon de terre,"1 475 000,00",livres,30 000,
299,Demba,AN F12 835,308 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Cuivre,"11 727,00",livres,11 000,
300,Demba,AN F12 835,309 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Etain,"14 970,00",livres,19 000,
301,Demba,AN F12 835,310 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Fer blanc,"100 365,00",livres,57 000,
302,Demba,AN F12 835,311 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,fer noir et en tôle,,valeur,13 000,
303,Demba,AN F12 835,312 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Plomb,"368 338,00",livres,91 000,
304,Demba,AN F12 835,313 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Eau de vie de Genievre,"1 352,47",muids,195 000,
305,Demba,AN F12 835,314 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Alun,"353 900,00",livres,124 000,
306,Demba,AN F12 835,315 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Laimes,"39 868,00",livres,44 000,
307,Demba,AN F12 835,316 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Drogues diverses,,valeur,29 000,
308,Demba,AN F12 835,317 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,huile de poisson,"59 150,00",livres,26 000,
309,Demba,AN F12 835,318 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,piment,"10 150,00",livres,10 000,
310,Demba,AN F12 835,319 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Poivre,"50 680,00",livres,76 000,
311,Demba,AN F12 835,320 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Chevaux,"389,00",nombre,121 000,
312,Demba,AN F12 835,321 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,78 000,"Indépendamment de la valeur de 4282000 en marchandises reçues de l'Angleterre par la province de Picardie, il est entré dans le royaume par le port de Calais venant de la Grande-Bretagne pour une somme de 8771266 d'or pur en lingot du poids net de 5236,5 livres à 837£10s le marc. "
313,Demba,AN F12 835,322 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Dentelle de fil,"113,50",livres,143 000,
314,Demba,AN F12 835,323 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Dentelle de Soye,,valeur,302 000,745 livres et une once et 6000 aunes.
315,Demba,AN F12 835,324 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Etoffes de Soye,,valeur,39 000,
316,Demba,AN F12 835,325 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Drap de laine,"8 463,00",aunes,166 000,
317,Demba,AN F12 835,326 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Toiles Batistes,"1 460,00",pièces,104 000,pièce de  de 15 aunes.
318,Demba,AN F12 835,327 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Librairie,,valeur,64 000,
319,Demba,AN F12 835,328 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Plumes d'Autruche appretés,,valeur,42 000,
320,Demba,AN F12 835,329 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Marchandise à la valeur,,valeur,18 000,
321,Demba,AN F12 835,330 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Eau de vie de vin,"2 673,26",muids,402 000,
322,Demba,AN F12 835,331 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Eau de vie de Genievre,"7 237,24",muids,1 130 000,
323,Demba,AN F12 835,332 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Vins divers,,valeur,138 000,440 muids 208 pintes et 50184 bouteilles
324,Demba,AN F12 835,333 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Chevaux,"67,00",nombre,21 000,
325,Demba,AN F12 835,334 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Thé,"37 588,00",livres,113 000,
326,Demba,AN F12 835,335 mars-31 décembre 1787,33,Exports,Picardie,Angleterre,Marchandises dont le plus fort article n'excede pas 10000 livres,,valeur,60 000,
327,Demba,AN F12 835,336 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Bonneterie diverse,"15 029,00",livres,120 000,
328,Demba,AN F12 835,337 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Bonneterie de Coton,"13 082,00",livres,119 000,
329,Demba,AN F12 835,338 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Chapellerie,,valeur,19 000,
330,Demba,AN F12 835,339 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Couvertures de laine,"7 143,00",nombre,27 000,
331,Demba,AN F12 835,340 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Draperie ,"89 654,00",livres,1 144 000,
332,Demba,AN F12 835,341 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Etoffes diverses,,valeur,446 000,
333,Demba,AN F12 835,342 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Etoffes de Coton,"246 791,00",livres,2 038 000,
334,Demba,AN F12 835,343 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Etoffes de Laine,"273 324,00",livres,1 678 000,
335,Demba,AN F12 835,344 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Etoffes de coton et Soye,"2 850,00",livres,86 000,
336,Demba,AN F12 835,345 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Etoffes de Soye,,valeur,80 000,
337,Demba,AN F12 835,346 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Gazes de Soye,"2 277,00",livres,149 000,
338,Demba,AN F12 835,347 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Gazes de fil,"2 378,00",livres,95 000,
339,Demba,AN F12 835,348 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Mouchoirs de coton,,valeur,130 000,
340,Demba,AN F12 835,349 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Mouchoirs de Soye,,valeur,358 000,
341,Demba,AN F12 835,350 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Mousselines,,valeur,810 000,
342,Demba,AN F12 835,351 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Toiles de Coton,"10 037,00",livres,112 000,
343,Demba,AN F12 835,352 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Toiles de Coton peintes et imprimées,"5 642,00",livres,64 000,
344,Demba,AN F12 835,353 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Toiles de Coton et fil,"5 090,00",livres,33 000,
345,Demba,AN F12 835,354 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Toiles de fil,"57 818,00",livres,188 000,
346,Demba,AN F12 835,355 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Toiles de Lin,,valeur,9 000,
347,Demba,AN F12 835,356 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Tapis,,valeur,10 000,
348,Demba,AN F12 835,357 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Porcelaine,,valeur,11 000,
349,Demba,AN F12 835,358 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Fayence et poterie,,valeur,246 000,
350,Demba,AN F12 835,359 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Verreries,"23 724,00",livres,24 000,
351,Demba,AN F12 835,360 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Coton en laine,"28 941,00",livres,87 000,
352,Demba,AN F12 835,361 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Chanvre en rame,"35 000,00",livres,10 000,
353,Demba,AN F12 835,362 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Laine en Rame,"6 060,00",livres,12 000,
354,Demba,AN F12 835,363 mars-31 décembre 1787,35,Imports,Flandre Françoise,Angleterre,Soye Ecrue,"12 891,00",livres,309 000,
355,Demba,AN F12 835,364 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,Dentelles de fil,"677,00",livres,677 000,
356,Demba,AN F12 835,365 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,Draps de laine,"3 488,00",livres,33 000,
357,Demba,AN F12 835,366 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,Etoffes de coton et Soye,,valeur,16 000,
358,Demba,AN F12 835,367 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,Gazes de Soye et fil,,valeur,18 000,
359,Demba,AN F12 835,368 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,Mouchoirs de mousselines,,valeur,77 000,
360,Demba,AN F12 835,369 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,Mouchoirs de Soye,,valeur,249 000,
361,Demba,AN F12 835,370 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,Mousselines,,valeur,95 000,
362,Demba,AN F12 835,371 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,Toiles de coton,,valeur,27 000,
363,Demba,AN F12 835,372 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,Toiles batiste et fines,,valeur,1 539 000,537 pièces et 43616 livres
364,Demba,AN F12 835,373 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,Toiles linon,"636,00",livres,38 000,
365,Demba,AN F12 835,374 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,fil à coudre,"14 405,00",livres,50 000,
366,Demba,AN F12 835,375 mars-31 décembre 1787,35,Exports,Flandre Françoise,Angleterre,Soye Ecrue,"2 890,00",livres,69 000,
367,Demba,AN F12 835,376 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Bois de Teinture,"273 000,00",livres,41 000,
368,Demba,AN F12 835,377 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Cuivre,"6 394,00",livres,10 000,
369,Demba,AN F12 835,378 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Etain,"24 066,00",livres,19 000,
370,Demba,AN F12 835,379 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Plomb,"436 988,00",livres,86 000,
371,Demba,AN F12 835,380 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,fers divers,,valeur,34 000,
372,Demba,AN F12 835,381 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Fer blanc,"140 000,00",livres,72 000,
373,Demba,AN F12 835,382 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Charbon de terre,"9 206 500,00",livres,93 000,
374,Demba,AN F12 835,383 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Suif en chandelle et en Rame,"60 093,00",livres,37 000,
375,Demba,AN F12 835,384 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Hardes diverses,,valeur,17 000,
376,Demba,AN F12 835,385 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Harnois et sellerie,,valeur,16 000,
377,Demba,AN F12 835,386 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Cornes à lanternes,,valeur,18 000,
378,Demba,AN F12 835,387 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,houblon,"23 241,00",livres,29 000,
379,Demba,AN F12 835,388 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Instruments de musique,,valeur,10 000,
380,Demba,AN F12 835,389 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Mercerie ,,valeur,541 000,
381,Demba,AN F12 835,390 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Ouvrages de modes,,valeur,22 000,
382,Demba,AN F12 835,391 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Ouvrages de Tourneurs &c.,,valeur,14 000,
383,Demba,AN F12 835,392 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Peaux de Daims,"9 588,00",nombre,48 000,
384,Demba,AN F12 835,393 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Pelleterie commune,"97 831,00",livres,147 000,
385,Demba,AN F12 835,394 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Pelleterie fine,"6 000,00",livres,72 000,
386,Demba,AN F12 835,395 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Quincaillerie en cuivre,,valeur,18 000,
387,Demba,AN F12 835,396 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Quincaillerie de fer,,valeur,262 000,
388,Demba,AN F12 835,397 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Cannes de toutes sortes,,valeur,27 000,
389,Demba,AN F12 835,398 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Plumes,"5 655,00",livres,22 000,
390,Demba,AN F12 835,399 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Voitures,,valeur,25 000,
391,Demba,AN F12 835,400 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Marchandise à la valeur,,valeur,116 000,
392,Demba,AN F12 835,401 mars-31 décembre 1787,36,Imports,Flandre Françoise,Angleterre,Tabac en feuilles,"2 603 294,00",livres,911 000,
393,Demba,AN F12 835,402 mars-31 décembre 1787,36,Exports,Flandre Françoise,Angleterre,Cheveux,,valeur,34 000,
394,Demba,AN F12 835,403 mars-31 décembre 1787,36,Exports,Flandre Françoise,Angleterre,Graines de jardin,,valeur,20 000,
395,Demba,AN F12 835,404 mars-31 décembre 1787,36,Exports,Flandre Françoise,Angleterre,Mercerie ,,valeur,15 000,
396,Demba,AN F12 835,405 mars-31 décembre 1787,36,Exports,Flandre Françoise,Angleterre,Ouvrages de modes,,valeur,32 000,
397,Demba,AN F12 835,406 mars-31 décembre 1787,36,Exports,Flandre Françoise,Angleterre,Parfumerie,,valeur,13 000,
398,Demba,AN F12 835,407 mars-31 décembre 1787,36,Exports,Flandre Françoise,Angleterre,Gants de peau de Grenoble,"1 635,00",livres,20 000,
399,Demba,AN F12 835,408 mars-31 décembre 1787,36,Exports,Flandre Françoise,Angleterre,Quincaillerie,,valeur,12 000,
400,Demba,AN F12 835,409 mars-31 décembre 1787,36,Exports,Flandre Françoise,Angleterre,Plumes d'Autruche ,,valeur,13 000,
401,Demba,AN F12 835,410 mars-31 décembre 1787,36,Exports,Flandre Françoise,Angleterre,Marchandise à la valeur,,valeur,54 000,
402,Demba,AN F12 835,411 mars-31 décembre 1787,36,Exports,Flandre Françoise,Angleterre,Tabac en feuilles,"959 782,00",livres,349 000,
403,Demba,AN F12 835,412 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Bierre,"144,58",muids,11 000,
404,Demba,AN F12 835,413 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Rhum,"13,01",muids,2 000,
405,Demba,AN F12 835,414 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Taffia,"225,00",muids,52 000,
406,Demba,AN F12 835,415 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Divers,,valeur,17 000,
407,Demba,AN F12 835,416 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Beurre,"70 091,00",livres,52 000,
408,Demba,AN F12 835,417 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Bœuf salé,"117 000,00",livres,35 000,
409,Demba,AN F12 835,418 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Lard et Porc Salé,"53 165,00",livres,28 000,
410,Demba,AN F12 835,419 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Poisson salé en hareng et saumon,"217 729,00",livres,89 000,
