numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,quantity_unit,total,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,doubleaccounts
468,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; filé,Hollande,1522,1218,livres,2279303,900143,,,0
469,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; filé,Italie,56649,16414,livres,2279303,900143,,,0
470,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; filé,Naples,1500,1200,livres,2279303,900143,,,0
471,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; filé,Genes,5318,4255,livres,2279303,900143,,,0
472,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; filé,Nord,1837,1470,livres,2279303,900143,,,0
473,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; filé,Savoye,54891,43828,livres,2279303,900143,,,0
474,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; filé,Suede,7718,6175,livres,2279303,900143,,,0
475,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; filé,Suisse,645469,627797,livres,2279303,900143,,,0
476,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Allemagne,37624,22004,livres,2279303,1379160,,,0
477,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Espagne,16525,16475,livres,2279303,1379160,,,0
478,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Flandre,19043,11202,livres,2279303,1379160,,,0
479,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Geneve,628923,597739,livres,2279303,1379160,,,0
480,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Hollande,53340,53340,livres,2279303,1379160,,,0
481,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Italie,18058,18058,livres,2279303,1379160,,,0
482,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Naples,6800,6800,livres,2279303,1379160,,,0
483,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Genes,105420,105420,livres,2279303,1379160,,,0
484,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Nord,18388,18388,livres,2279303,1379160,,,0
485,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Savoye,64790,64152,livres,2279303,1379160,,,0
486,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Suede,53655,52993,livres,2279303,1379160,,,0
487,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Coton ; en laine,Suisse,356594,226877,livres,2279303,1379160,,,0
488,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Couperose,Espagne,3624,35817,livres,8632,,,,0
489,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Couperose,Savoye,1052,10520,livres,8632,,,,0
490,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Couperose,Suisse,1003,,,8632,,,,0
491,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Couperose,Etats unis,2953,29530,livres,8632,,,,0
492,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Couteaux,Espagne,1464,2440,livres,15140,,,,0
493,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Couteaux,Guinée,13676,3838,douzaines,15140,,,,0
494,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Couvertures ; de laine,Allemagne,16201,10759,livres,252669,200595,,,0
495,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Couvertures ; de laine,Espagne,16138,8069,livres,252669,200595,,,0
496,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Couvertures ; de laine,Flandre,83916,41958,livres,252669,200595,,,0
497,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,35,Couvertures ; de laine,Savoye,3037,2935,livres,252669,200595,,,0
498,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Couvertures ; de laine,Suisse,2106,1053,livres,252669,200595,,,0
499,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Couvertures ; de laine,Etats unis,61757,35309,livres,252669,200595,,,0
500,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Couvertures ; de laine,Isles,16440,8220,livres,252669,200595,,,0
501,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Couvertures ; de laine,Guinée,1000,500,livres,252669,200595,,,0
502,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Couvertures ; à Negres,Isles,20400,34,balles,252669,22500,,,0
503,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Couvertures ; à Negres,Indes,2100,7,balles,252669,22500,,,0
504,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Couvertures ; de plocq,Portugal,6610,6610,livres,252669,29574,,,0
505,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Couvertures ; de plocq,Etats unis,8862,2954,livres,252669,29574,,,0
506,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Couvertures ; de plocq,Isles,14102,14112,livres,252669,29574,,,0
507,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Crasse de tan,Espagne,24500,245000,livres,,,,,0
508,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Craye,Allemagne,1343,215150,livres,5555,,,,0
509,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Craye,Flandre,4212,105320,livres,5555,,,,0
510,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Crême ou tartre,Angleterre,1666,4165,livres,6662,,,,0
511,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Crême ou tartre,Flandre,1665,4163,livres,6662,,,,0
512,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Crême ou tartre,Hollande,1666,4165,livres,6662,,,,0
513,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Crême ou tartre,Suede,1665,4163,livres,6662,,,,0
514,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Crible,Savoye,1500,50,douzaines,,,,,0
515,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Crin,Flandre,1038,3665,livres,7903,,,,0
516,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Crin,Isles,5665,5665,livres,7903,,,,0
517,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Crin,Indes,1200,4,barriques,7903,,,,0
518,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Cuilleres de bois,Espagne,1011,2023,livres,,,,,0
519,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Cuirs ; de beuf ; represtés,Espagne,210020,7334,en nombre,3281323,2388788,,,0
520,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Cuirs ; de beuf ; en poil,Allemagne,26432,3304,en nombre,3281323,64725,2388788,,0
521,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Cuirs ; de beuf ; en poil,Espagne,7640,382,en nombre,3281323,64725,2388788,,0
522,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Cuirs ; de beuf ; en poil,Italie,21443,77479,livres,3281323,64725,2388788,,0
523,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Cuirs ; de beuf ; en poil,Portugal,8160,272,en nombre,3281323,64725,2388788,,0
524,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,37,Cuirs ; de beuf ; en poil,Savoye,1050,,,3281323,64725,2388788,,0
525,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de beuf ; tannés,Allemagne,9230,,,3281323,2114043,2388788,,0
526,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de beuf ; tannés,Espagne,1860000,62000,en nombre,3281323,2114043,2388788,,0
527,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de beuf ; tannés,Flandre,8944,250,en nombre,3281323,2114043,2388788,,0
528,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de beuf ; tannés,Geneve,3830,,,3281323,2114043,2388788,,0
529,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de beuf ; tannés,Italie,30303,50606,livres,3281323,2114043,2388788,,0
530,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de beuf ; tannés,Naples,101414,169024,livres,3281323,2114043,2388788,,0
531,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de beuf ; tannés,Genes,2738,4565,livres,3281323,2114043,2388788,,0
532,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de beuf ; tannés,Savoye,70317,94077,livres,3281323,2114043,2388788,,0
533,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de beuf ; tannés,Suisse,27267,,,3281323,2114043,2388788,,0
534,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de cheval tannés,Allemagne,1910,382,en nombre,3281323,,,,0
535,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de genisse corroies,Espagne,39996,4444,en nombre,3281323,114297,,,0
536,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de genisse corroies,Portugal,68076,7564,en nombre,3281323,114297,,,0
537,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de genisse corroies,Savoye,6225,415,en nombre,3281323,114297,,,0
538,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; d'Hongrie,Allemagne,8414,564,en nombre,3281323,,,,0
539,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de vache ; coroiés,Allemagne,4092,372,en nombre,3281323,40177,767914,,0
540,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de vache ; coroiés,Portugal,36085,2405,en nombre,3281323,40177,767914,,0
541,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de vache ; en poil,Allemagne,2130,710,en nombre,3281323,5526,767914,,0
542,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de vache ; en poil,Flandre,3396,283,en nombre,3281323,5526,767914,,0
543,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de vache ; tannés,Espagne,6586,219,en nombre,3281323,722211,767914,,0
544,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de vache ; tannés,Flandre,55386,3258,en nombre,3281323,722211,767914,,0
545,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de vache ; tannés,Italie,145573,145573,livres,3281323,722211,767914,,0
546,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de vache ; tannés,Naples,105192,105192,livres,3281323,722211,767914,,0
547,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de vache ; tannés,Genes,10023,10023,livres,3281323,722211,767914,,0
548,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuirs ; de vache ; tannés,Savoye,399451,29407,en nombre,3281323,722211,767914,,0
549,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuisses d'oys,Isles,1200,600,livres,,,,,0
550,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuivre ; en batterie,Angleterre,4067,2367,livres,160989,,,,0
551,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,39,Cuivre ; en fourure,Hollande,3080,2200,livres,160989,,,,0
552,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cuivre ; ouvré,Allemagne,2680,1787,livres,160989,98518,,,0
553,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cuivre ; ouvré,Espagne,9907,6242,livres,160989,98518,,,0
554,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cuivre ; ouvré,Naples,11910,7940,livres,160989,98518,,,0
555,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cuivre ; ouvré,Genes,7458,4972,livres,160989,98518,,,0
556,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cuivre ; ouvré,Isles,33859,21623,livres,160989,98518,,,0
557,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cuivre ; ouvré,Guinée,32704,18671,livres,160989,98518,,,0
558,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cuivre ; en rozette,Indes,9120,7600,livres,160989,,,,0
559,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cuivre ; tangoul,Italie,22778,37964,livres,160989,27099,,,0
560,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cuivre ; tangoul,Levant,4321,7203,livres,160989,27099,,,0
561,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cuivre ; vieux,Espagne,2460,2460,livres,160989,19105,,,0
562,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cuivre ; vieux,Flandre,16645,16645,livres,160989,19105,,,0
563,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cumin,Hollande,1862,7450,livres,5729,,,,0
564,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Cumin,Nord,3867,15470,livres,5729,,,,0
565,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Dame jannes,Espagne,1440,240,en nombre,20492,,,,0
566,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Dame jannes,Isles,16532,3145,en nombre,20492,,,,0
567,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Dame jannes,Guinée,2520,420,en nombre,20492,,,,0
568,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Dégras,Flandre,2040,,,3271,,,,0
569,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Dégras,Savoye,1231,12310,livres,3271,,,,0
570,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,41,Dents ; d'elephant,Genes,5320,2660,livres,5320,,,,0
571,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; or et argent,Allemagne,7470,41,livres,2447003,9915,,,0
572,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; or et argent,Espagne,1215,13,livres,2447003,9915,,,0
573,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; or et argent,Hollande,1230,10,livres,2447003,9915,,,0
574,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; blanc,Allemagne,45974,126,livres,2447003,1038272,1061072,,0
575,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; blanc,Angleterre,473212,1105,livres,2447003,1038272,1061072,,0
576,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; blanc,Espagne,16146,77,livres,2447003,1038272,1061072,,0
577,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; blanc,Flandre,334396,751,livres,2447003,1038272,1061072,,0
578,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; blanc,Hollande,8780,17,pièces,2447003,1038272,1061072,,0
579,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; blanc,Italie,13910,,,2447003,1038272,1061072,,0
580,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; blanc,Venise,1290,8,livres,2447003,1038272,1061072,,0
581,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; blanc,Levant,81312,181,livres,2447003,1038272,1061072,,0
582,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; blanc,Savoye,54052,131,livres,2447003,1038272,1061072,,0
583,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; blanc,Suisse,5224,21,livres,2447003,1038272,1061072,,0
584,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; blanc,Isles,3976,8,livres,2447003,1038272,1061072,,0
585,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; de Caen,Angleterre,2600,26,livres,2447003,1061072,,,0
586,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de fil ; du Puy,Espagne,20200,404,livres,2447003,1061072,,,0
587,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de soye,Allemagne,414350,1180,livres,2447003,1373616,,,0
588,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de soye,Angleterre,705287,2042,livres,2447003,1373616,,,0
589,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de soye,Espagne,114100,374,livres,2447003,1373616,,,0
590,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de soye,Flandre,36750,105,livres,2447003,1373616,,,0
591,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de soye,Hollande,62655,181,livres,2447003,1373616,,,0
592,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de soye,Italie,15187,101,livres,2447003,1373616,,,0
593,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de soye,Levant,5075,14,livres,2447003,1373616,,,0
594,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de soye,Portugal,3150,9,livres,2447003,1373616,,,0
595,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de soye,Russie,3587,10,livres,2447003,1373616,,,0
596,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de soye,Savoye,9275,26,livres,2447003,1373616,,,0
597,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; de soye,Suisse,4200,12,livres,2447003,1373616,,,0
598,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dentelle ; à peu de soye,Savoye,2400,16,livres,2447003,,,,0
599,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dorure fine,Allemagne,127440,1062,livres,2015577,,,,0
600,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dorure fine,Espagne,762370,6357,livres,2015577,,,,0
601,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dorure fine,Flandre,126127,1051,livres,2015577,,,,0
602,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dorure fine,Geneve,4680,39,livres,2015577,,,,0
603,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dorure fine,Hollande,37240,305,livres,2015577,,,,0
604,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dorure fine,Italie,734280,6119,livres,2015577,,,,0
605,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dorure fine,Portugal,123000,1025,livres,2015577,,,,0
606,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dorure fine,Savoye,48120,401,livres,2015577,,,,0
607,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dorure fine,Suisse,50160,418,livres,2015577,,,,0
608,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Dorure fine,Isles,2160,13,livres,2015577,,,,0
609,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Drap ; de laine ; de Beauvais,Isles,200880,22320,livres,22392691,11806610,,,0
610,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Drap ; de laine ; de Carcassone,Isles,2490,14,pièces,22392691,11806610,,,0
611,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Drap ; de laine ; Cordeillard,Espagne,13900,139,pièces,22392691,89618,11806610,,0
612,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Drap ; de laine ; Cordeillard,Savoye,69424,992,pièces,22392691,89618,11806610,,0
613,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,43,Drap ; de laine ; Cordeillard,Guinée,6294,,,22392691,89618,11806610,,0
614,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,45,Drap ; de laine ; divers,Etats unis,488677,71909,livres,22392691,707427,11806610,,0
