numrodeligne,dataentryby,source,sourcepath,sourcetype,direction,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
341,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,11,1751,Sortie,Extrais de genevre,Marseille,Holande,"772,00",Livres,"3,000","2 316,00","0,00",
342,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,11,1751,Sortie,Fayance,Marseille,Holande,"4 860,00",Livres,"0,500","2 430,00","0,00",
343,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,11,1751,Sortie,Fil de chevre,Marseille,Holande,"29 028,00",Livres,"3,000","87 084,00","0,00",
344,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,11,1751,Sortie,Fil de fer,Marseille,Holande,"1 638,00",Livres,"0,500","819,00","0,00",
345,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,11,1751,Sortie,Fleurs de souffre,Marseille,Holande,"2 630,00",Livres,"0,200","526,00","0,00",
346,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,11,1751,Sortie,Galles,Marseille,Holande,"27 247,00",Livres,"0,500","13 623,00","0,50",
347,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,11,1751,Sortie,Garence,Marseille,Holande,"5 040,00",Livres,"0,400","2 016,00","0,00",
348,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,11,1751,Sortie,Graine d'avignon,Marseille,Holande,"2 250,00",Livres,"0,250","562,00","0,50",
349,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,11,1751,Sortie,Graine de jardin,Marseille,Holande,"7 500,00",Livres,"1,100","8 250,00","0,00",
350,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,11,1751,Sortie,Graine jaune,Marseille,Holande,"8 847,00",Livres,"0,250","2 211,00","0,75",
351,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,11,1751,Sortie,Herbes pereles,Marseille,Holande,"9 918,00",Livres,"0,500","4 959,00","0,00",
352,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Hermodattes,Marseille,Holande,"950,00",Livres,"0,500","475,00","0,00",
353,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Huile d'olive,Marseille,Holande,"231 816,00",Livres,"0,400","92 726,00","0,40",
354,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Jalap,Marseille,Holande,"1 040,00",Livres,"2,500","2 600,00","0,00",
355,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Indigo,Marseille,Holande,"503,00",Livres,"6,000","3 018,00","0,00",
356,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Jus de citron,Marseille,Holande,"16 800,00",Livres,"0,060","1 008,00","0,00",
357,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Jus de reglisse,Marseille,Holande,"31 040,00",Livres,"0,350","10 864,00","0,00",
358,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Laine de chervon,Marseille,Holande,"220 140,00",Livres,"3,000","660 420,00","0,00",
359,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Laine lavée,Marseille,Holande,"10 000,00",Livres,"1,100","11 000,00","0,00",
360,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Laine surge,Marseille,Holande,"104 140,00",Livres,"0,400","41 656,00","0,00",
361,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Legumes,Marseille,Holande,"97 864,00",Livres,"0,150","14 679,00","0,60",
362,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Librairie,Marseille,Holande,"1 541,00",Livres,"2,000","3 082,00","0,00",
363,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Librairie et estampes,Marseille,Holande,"750,00",Livres,"3,000","2 250,00","0,00",
364,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Liqueurs,Marseille,Holande,"850,00",Livres,"0,750","637,00","0,50",
365,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Mane de calabre,Marseille,Holande,"3 040,00",Livres,"1,250","3 800,00","0,00",
366,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Mercerie,Marseille,Holande,"17 297,00",Livres,"3,500","60 539,00","0,50",
367,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Miel,Marseille,Holande,"75 526,00",Livres,"0,150","11 329,00","-0,10",
368,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Mirrhe,Marseille,Holande,"1 027,00",Livres,"3,000","3 081,00","0,00",
369,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Ocre,Marseille,Holande,"1 000,00",Livres,"0,100","100,00","0,00",
370,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Oignons de fleur,Marseille,Holande,"450,00",Livres,"0,600","270,00","0,00",
371,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Olives,Marseille,Holande,"26 945,00",Livres,"0,150","4 041,00","0,75",
372,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Orpiment,Marseille,Holande,"3 600,00",Livres,"0,300","1 080,00","0,00",
373,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Peaux de marroquins,Marseille,Holande,"758,00",Livres,"1,500","1 137,00","0,00",
374,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Poil de lapins,Marseille,Holande,"250,00",Livres,"4,000","1 000,00","0,00",
375,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Poissons sales,Marseille,Holande,"11 216,00",Livres,"0,250","2 804,00","0,00",
376,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Pomade,Marseille,Holande,"50,00",Livres,"1,500","75,00","0,00",
377,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Porcelaine,Marseille,Holande,"215,00",Livres,"5,000","1 075,00","0,00",
378,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Pruneaux,Marseille,Holande,"86 062,00",Livres,"0,200","17 212,00","0,40",
379,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Quincailles de fer et d'acier,Marseille,Holande,"4 300,00",Livres,"1,000","4 300,00","0,00",
380,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Raisins secs,Marseille,Holande,"668 101,00",Livres,"0,200","133 620,00","0,20",
381,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Ris,Marseille,Holande,"133 775,00",Livres,"0,120","16 053,00","0,00",
382,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Rocou,Marseille,Holande,"10 545,00",Livres,"1,000","10 545,00","0,00",
383,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Saffran,Marseille,Holande,"25,00",Livres,"15,000","375,00","0,00",
384,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Savon madré,Marseille,Holande,"571 679,00",Livres,"0,300","171 503,00","0,70",
385,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,12,1751,Sortie,Sel armoniac,Marseille,Holande,"5 447,00",Livres,"1,000","5 447,00","0,00",
386,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Sirop d'alkerme,Marseille,Holande,"2 024,00",Livres,"1,200","2 428,00","0,80",
387,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Soye apretée,Marseille,Holande,"14 732,00",Livres,"20,000","294 640,00","0,00",
388,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Storax,Marseille,Holande,"150,00",Livres,"4,000","600,00","0,00",
389,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Sucre blanc,Marseille,Holande,"115 420,00",Livres,"0,450","51 939,00","0,00",
390,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Sucre brut,Marseille,Holande,"532 797,00",Livres,"0,350","186 378,00","100,95",Erreur de calcul
391,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Sucre terré,Marseille,Holande,"52 520,00",Livres,"0,300","15 756,00","0,00",
392,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Sumac,Marseille,Holande,"20 015,00",Livres,"0,250","1 401,00","3 602,75",Erreur de calcul
393,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Tabac,Marseille,Holande,"95 000,00",Livres,"0,250","23 750,00","0,00",
394,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Tableaux,Marseille,Holande,"20,00",Douzaines,"60,000","1 200,00","0,00",
395,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Tartre,Marseille,Holande,"9 442,00",Livres,"0,240","2 266,00","0,08",
396,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Thé,Marseille,Holande,"3 960,00",Livres,"3,500","13 860,00","0,00",
397,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Toilles diverses,Marseille,Holande,"790,00",Livres,"4,000","3 160,00","0,00",
398,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Toille piquée,Marseille,Holande,"100,00",Livres,"10,000","1 000,00","0,00",
399,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Truffes,Marseille,Holande,"180,00",Livres,"4,000","720,00","0,00",
400,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Verdet,Marseille,Holande,"43 044,00",Livres,"0,800","34 435,00","0,20",
401,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Vin de chipres,Marseille,Holande,"7,00",Milleroles,"60,000","420,00","0,00",
402,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Vin de chipres,Marseille,Holande,"300,00",Livres,"0,300","90,00","0,00",
403,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Vin muscat,Marseille,Holande,"12,00",Milleroles,"20,000","240,00","0,00",
404,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Vin rouge commun,Marseille,Holande,"3 105,00",Milleroles,"6,000","18 630,00","0,00",
405,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Acier,Marseille,Italie,"8 870,00",Livres,"0,350","3 104,00","0,50",
406,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Ajamis,Marseille,Italie,"29 458,00",Pieces,"9,000","265 122,00","0,00",
407,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Alaya,Marseille,Italie,"15,00",Pieces,"3,000","45,00","0,00",
408,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Aloes ,Marseille,Italie,"30,00",Livres,"2,000","60,00","0,00",
409,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Alun,Marseille,Italie,"18 808,00",Livres,"0,100","1 880,00","0,80",
410,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Amadou,Marseille,Italie,"1 310,00",Livres,"0,700","917,00","0,00",
411,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Amandes cassées,Marseille,Italie,"668 071,00",Livres,"0,200","133 614,00","0,20",
412,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Ambre jaune,Marseille,Italie,"150,00",Livres,"1,500","225,00","0,00",
413,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Amidon,Marseille,Italie,"33 184,00",Livres,"0,200","6 636,00","0,80",
414,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Anis,Marseille,Italie,"40 625,00",Livres,"0,200","8 125,00","0,00",
415,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Antimoine,Marseille,Italie,"1 810,00",Livres,"0,150","271,00","0,50",
416,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Anchois,Marseille,Italie,"1,00",Barril,"4,000","4,00","0,00",
417,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Arbre fruitiers,Marseille,Italie,"400,00",Livres,"0,500","200,00","0,00",
418,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,13,1751,Sortie,Arcenic,Marseille,Italie,"1 315,00",Livres,"0,300","394,00","0,50",
419,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Ardoises,Marseille,Italie,"12,00",Douzaines,"24,000","288,00","0,00",
420,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Argenterie,Marseille,Italie,"800,00",Marcs,"57,000","45 600,00","0,00",
421,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Aristoloche,Marseille,Italie,"3 072,00",Livres,"0,100","307,00","0,20",
422,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Armes a feu,Marseille,Italie,"360,00",Caisses,"150,000","54 000,00","0,00",
423,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Armes a feu,Marseille,Italie,"1 900,00",Livres,"1,000","1 900,00","0,00",
424,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Armoire vieille,Marseille,Italie,,,,"6,00",,Estimé
425,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Arquifou,Marseille,Italie,"23 171,00",Livres,"0,150","3 475,00","0,65",
426,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Assafetida,Marseille,Italie,"110,00",Livres,"2,500","275,00","0,00",
427,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Avirons,Marseille,Italie,"45,00",Paires,"3,500","157,00","0,50",
428,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Avoine,Marseille,Italie,"99,00",Charges,"12,000","1 188,00","0,00",
429,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Azur,Marseille,Italie,"1 020,00",Livres,"0,500","510,00","0,00",
430,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Balais de palme,Marseille,Italie,"80,00",Douzaines,"0,900","72,00","0,00",
431,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Balaine coupée,Marseille,Italie,"718,00",Livres,"5,000","3 590,00","0,00",
432,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bas de coton,Marseille,Italie,"1 880,00",Livres,"5,000","9 400,00","0,00",
433,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bas de fil et coton,Marseille,Italie,"1 210,00",Livres,"5,000","6 050,00","0,00",
434,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bas de filozelle,Marseille,Italie,"979,00",Livres,"15,000","14 685,00","0,00",
435,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bas de laine,Marseille,Italie,"8 921,00",Livres,"6,000","53 526,00","0,00",
436,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bas de soye,Marseille,Italie,"2 477,00",Livres,"40,000","99 080,00","0,00",
437,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Batanonis,Marseille,Italie,"683,00",Pieces,"4,000","2 732,00","0,00",
438,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Baume du Perou,Marseille,Italie,"216,00",Livres,"16,000","3 456,00","0,00",
439,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bazannes tanées,Marseille,Italie,"1 845,67",Douzaines,"10,000","18 456,00","0,67",
440,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bazannes tanées,Marseille,Italie,"2 664,00",Livres,"1,000","2 664,00","0,00",
441,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Beurre,Marseille,Italie,"34 080,00",Livres,"0,400","13 632,00","0,00",
442,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Biere,Marseille,Italie,"7 927,00",Livres,"0,050","396,00","0,35",
443,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bijouterie,Marseille,Italie,"150,00",Livres,"100,000","15 000,00","0,00",
444,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Biscuits de mer,Marseille,Italie,"37 875,00",Charges,"0,120","4 545,00","0,00",
445,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bled froment,Marseille,Italie,"35 634,00",Livres,"25,000","890 850,00","0,00",
446,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bottes de bergamotte,Marseille,Italie,"7,00",Livres,"8,000","56,00","0,00",
447,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bois de bresil,Marseille,Italie,"38 225,00",Livres,"0,250","9 556,00","0,25",
448,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,14,1751,Sortie,Bois a bruler,Marseille,Italie,"2 000,00",Livres,"0,008","15,00","0,00",
