numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
101,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Poivre,L'Orient,450,Livres,"1,9",855,0,
102,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Muscade,Hollande,30,Livres,30,900,0,
103,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Eponges,Marseille,257,Livres,9,771,-1542,erreur de calcul
104,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Etain en bloc,Marseille,668,Livres,"0,6",401,"0,2",
105,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Etoffes de coton,Angleterre,,,,146740,,Pas de quantité ni de prix
106,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Eroffes de laine,Angleterre,,,,87353,,Pas de quantité ni de prix
107,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Farine,Angleterre,140430,Livres,"0,24",33703,"-0,2",
108,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fayence,Marseille,,,,116,,
109,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fayence,Angleterre,,,,12247,,Pas de quantité ni de prix
110,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer en barres,Espagne,600,Livres,"0,19",114,0,19 livres le quintal
111,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer en barres,Hollande,31114,Livres,"0,19",5912,"0,34",19 livres le quintal
112,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer en barres,Suède,1500250,Livres,"0,19",285047,"-0,5",19 livres le quintal
113,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer en barres,Russie et Courlande,62000,Livres,"0,19",11780,0,19 livres le quintal
114,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer carré,Suède,123250,Livres,"0,19",42417,"18999,5",19 livres le quintal; erreur de calcul
115,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer petit carré,Suède,11250,Livres,"0,2",2250,0,20 livres le quintal
116,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer rond,Hollande,21250,Livres,"0,2",4250,0,20 livres le quintal
117,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer floud,Suède,17600,Livres,"0,2",3520,0,20 livres le quintal
118,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer feuillard,Hollande,70806,Livres,"0,24",16993,"-0,44",24 livres le quintal
119,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer demi plat,Suède,8750,Livres,"0,175",1531,"-0,25",17 livres et 10 sous le quintal
120,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer en tole,Hollande,950,Livres,"0,34",323,0,34 livres le quintal
121,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer en tole,Suède,9970,Livres,"0,34",3389,"-0,8",34 livres le quintal
122,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer blanc,Angleterre,20,Caisses,,1680,,
123,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer blanc,Hollande,1275,Livres,"0,6",765,0,60 livres le quintal
124,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer en ancres,Bayonne,48721,Livres,"0,4",19488,"-0,4",40 livres le quintal
125,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer en paquets,Angleterre,3000,Livres,"0,24",720,0,24 livres le quintal
126,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer en boulets,Angleterre,7200,Livres,"0,1",720,0,1200 nombres = 7200 livres en quantité
127,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fer en canon,Angleterre,78720,Livres,,12000,,48 nombres = 78720 livres en quantité; pas de prix unitaire
128,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fil d'acier,Angleterre,50,Livres,2,100,0,
129,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fil de fer,Hollande,480,Livres,"0,48",230,"-0,4",
130,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fil de laiton,Hollande,250,Livres,,367,,
131,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fromage,Angleterre,1051,Livres,"0,75",788,"-0,25",
132,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fromage,Hollande,44680,Livres,"0,75",33510,0,
133,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fruits confits,Marseille,,,,317,,Pas de quantité ni de prix
134,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fruits cruds (citrons),Marseille,23,Caisses,20,460,0,
135,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fruits cruds (citrons),Espagne,61,Caisses,20,1220,0,
136,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Oranges,Marseille,124,Caisses,30,3720,0,
137,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Oranges,Espagne,83,Caisses,30,2490,0,
138,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Fruits secs divers en noisettes pistaches et ?,Marseille,,,,3223,,
139,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Figues,Marseille,514,Livres,"0,26",134,"0,36",26 livres le quintal
140,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Figues,Marseille,15290,Livres,"0,26",3975,"-0,4",26 livres le quintal
141,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Raisin sec,Marseille,20050,Livres,,5742,,
142,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Raisin sec,Espagne,53851,Livres,,13886,,
143,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Grains comestibles (bled froment),Les 4 villes anséatiques,428800,Livres,,51200,,
144,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Bled seigle,Les 4 villes anséatiques,59520,Livres,,5760,,
145,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Orge germé,Angleterre,5560,Livres,"0,075",417,0,7 livres et 10 sous le quintal
146,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Acier,Ports et pays de France,76131,Livres,"0,25",19033,"0,25",25 livres le quintal
147,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Graine de lin,Hollande,583685,Livres,"0,25",145921,"-0,25",25 livres le quintal
148,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Graisse de porc,Angleterre,760,Livres,"0,5",380,0,50 livres le quintal
149,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Habillements,Angleterre,,,,106,,Montant total uniquement
150,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Houblon,Angleterre,114,Livres,"1,44",208,"43,84",144 livres le quintal ; erreur de calcul
151,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Huile de lin,Hollande,4844,Livres,"0,5",2422,0,50 livres le quintal
152,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Huile d'olive,Marseille,136818,Livres,"0,75",102613,"-0,5",
153,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Huile fine,Marseille,1951,Livres,1,1951,0,
154,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Huile pour lampes,Marseille,2346,Livres,"0,65",1525,"0,1",
155,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Huile de rabette,Hollande,2045,Livres,"0,3",613,"-0,5",
156,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Instrumens de Marine ,,,,,644,,
157,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Laine lavée,Marseille,350,Livres,"1,2",420,0,
158,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Laine non filée,Marseille,18375,Livres,1,18375,0,
159,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Laine non filée,Angleterre,20210,Livres,1,20210,0,
160,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Laine filée,Angleterre,39,Livres,4,156,0,
161,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Légumes divers,Angleterre,6860,Livres,"0,1",686,0,10 livres le quintal
162,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Librairie,Marseille,,,,4484,,
163,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Librairie,Angleterre,,,,4335,,
164,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Liège en Planche,Marseille,4400,Livres,"0,12",640,112,erreur de calcul
165,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Liège en bouchon,Marseille,775142,Nombre,"0,0075",5786,"-27,56",erreur de calcul
166,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Lin écru,Hollande,403,Livres,"0,5",201,"-0,5",
167,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Liqueur,Angleterre,"60,5",Flacons,2,121,0,
168,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Marchandises à la valeur,Marseille,,,,1053,,
169,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Marchandises à la valeur,Espagne,,,,90,,
170,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Marchandises à la valeur,Angleterre,,,,1254,,
171,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Marchandises à la valeur,Hollande,,,,643,,
172,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Marchandises à la valeur,Russie et Courlande,,,,205,,
173,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Marbre ouvré,Marseille,,,,420,,
174,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Mercerie diverse,Angleterre,,,,8820,,
175,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Mercerie diverse,Hollande,,,,2350,,
176,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Meubles divers,Angleterre,,,,1477,,
177,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Meubles à taillandier,Angleterre,68,Nombre,"4,5",306,0,
178,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Mouchoir de coton,Angleterre,460,Nombre,,920,,
179,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Ouvrages de cuivre,Angleterre,,,,759,,
180,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Ouvrages d'optique,Angleterre,,,,452,,
181,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Ouvrages de terre cuite,Hollande,,,,133,,
182,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Pipes à fumer,Angleterre,28,Grosses,5,140,0,
183,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Pipes à fumer,Hollande,396,Grosses,5,1980,0,
184,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,7,Ouvrages de sellerie,Angleterre,,,,1451,,
185,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Papier à lettres,Marseille,19,Rames,8,152,0,
186,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Parfumerie diverse,Marseille,,,,100,,
187,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Pomade,Marseille,322,Livres,"2,5",805,0,
188,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Poudre,Marseille,497,Livres,"0,45",223,"-0,65",
189,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Peaux en maroquin,Marseille,513,Nombre,5,2565,0,
190,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Peaux de mouton maroquinées,Marseille,893,Nombre,"1,25",1116,"-0,25",
191,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Peaux de mouton passées,Marseille,74,Nombre,2,148,0,
192,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Pierre à bâtir,Angleterre,,,,135,,
193,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Pierres à faulx,Marseille,8500,Nombre,"0,1",850,0,
194,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Plomb en saumon,Angleterre,10886,Livres,"0,25",2721,"-0,5",25 livres le quintal
195,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Plomb en grain,Angleterre,2950,Livres,"0,3",885,0,30 livres le quintal
196,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Plumes à lit,Les 4 villes anséatiques,1100,Livres,"3,5",3850,0,
197,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Poil de bœuf,Angleterre,14750,Livres,"1,75",25812,"-0,5",
198,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Poisson salé,Marseille,,,,223,,
199,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Poisson salé,Espagne,,,,30,,
200,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Poisson salé,Hollande,,,,450,,
201,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,8,Poterie de gré,Marseille,,,,270,,
