numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,prix_unitaire,Valeur en Livres tournois,valeur en sous,valeur en denier,value,Valeur (Prix unitaire ,problem,remarks,Unverified
140,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Bois des Iles,Hollande,22000,livres,,2,,"0,1",,,,,2200,,,
141,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Bougie,Hollande,1050,livres,,45,,"2,25",,,,,"2362,5",,,
142,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Café des Iles,Hollande,328153,livres,,12,,"0,6",,,,,"196891,8",,,
143,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Châtaignes,Hollande,1412,boisseaux,,12,,"0,6",,,,,"847,2",,,
144,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Confitures,Hollande,91,livres,,11,,"0,55",,,,,"50,05",,,
145,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Eau de la Reine d'Hongrie,Hollande,36,fioles,,6,,"0,3",,,,,"10,8",,,
146,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Eau de vie,Hollande,10,barriques,120,,,120,,,,,1200,,,
147,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Eau de vie,Hollande,5525,veltes,4,,,4,,,,,22100,,,
148,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Gingembre,Hollande,5930,livres,"0,18",,,"0,18",,,,,"1067,4",,,
149,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Huile d'olive,Hollande,1690,livres,,12,,"0,6",,,,,1014,,,
150,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Indigo,Hollande,89225,livres,4,10,,"4,5",,,,,"401512,5",,,
151,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Librairie,Hollande,40,livres,,40,,2,,,,,80,,,
152,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Marchandises mêlées,Hollande,,,,,,0,129,,,129,0,,Valeur totale,
153,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Mercerie,Hollande,1250,livres,2,,,2,,,,,2500,,,
154,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Miel,Hollande,41300,livres,,3,,"0,15",,,,,6195,,,
155,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Ocre,Hollande,1682,barriques,15,,,15,,,,,25230,,,
156,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Orge moulée,Hollande,180,livres,,6,,"0,3",,,,,54,,,
157,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Papier blanc,Hollande,950,livres,,10,,"0,5",,,,,475,,,
158,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Peaux de veau corroyées,Hollande,86,douzaines,28,,,28,,,,,2408,,,
159,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Pierres à fusil,Hollande,4816000,en nombre,,"0,03",,"0,0015",,,,,7224,,,
160,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Porcelaine,Hollande,400,livres,5,,,5,,,,,2000,,,
161,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Prohibé,Hollande,751,Pièces,30,,,30,,,,,22530,,,
162,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Prunes,Hollande,2545,livres,,8,,"0,4",,,,,1018,,,
163,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Pruneaux,Hollande,168550,livres,,2,,"0,1",,,,,16855,,,
164,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Sel,Hollande,9,muides,50,,,50,,,,,450,,,
165,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Sirop mélasse,Hollande,"2,75",tonneaux,320,,,320,,,,,880,,,
166,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Sirop mélasse,Hollande,100000,livres,"0,09",,,"0,09",,,,,9000,,,
167,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Sucre brun,Hollande,7200150,livres,,4,,"0,2",,,,,1440030,,,
168,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Sucre terré,Hollande,3657220,livres,,7,,"0,35",,,,,1280027,,,
169,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Thé,Hollande,645,livres,,42,,"2,1",,,,,"1354,5",,,
170,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Toile de Bretagne,Hollande,1954,livres,3,,,3,,,,,5862,,,
171,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Vin d'amont,Hollande,1893,tonneaux,140,,,140,,,,,265020,,,
172,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Vin de Bordeaux,Hollande,1,tonneaux,400,,,400,,,,,400,,,
173,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Vin nantais,Hollande,"159,25",tonneaux,120,,,120,,,,,19110,,,
174,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,6,Vinaigre,Hollande,"13,5",tonneaux,100,,,100,,,,,1350,,,
175,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Baudriers,Italie,600,livres,,15,,"0,75",,,,,450,,,
176,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Blé froment,Italie,6050800,livres,,1,6,75,,,,,453810,,,
177,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Blé seigle,Italie,372000,livres,,1,1,"0,0541667",,,,,20150,,,
178,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Bois de Campêche,Italie,156600,livres,,2,,"0,1",,,,,15660,,,
179,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Cacao,Italie,180,livres,,10,,"0,5",,,,,90,,,
180,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Café des Iles,Italie,95936,livres,,12,,"0,6",,,,,"57561,6",,,
181,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Chandelle,Italie,40,livres,,10,,"0,5",,,,,20,,,
182,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Eau de vie,Italie,76,veltes,4,,,4,,,,,304,,,
183,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Farine,Italie,65000,livres,,2,6,125,,,,,8125,,,
184,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Fèves,Italie,522450,livres,,1,,"0,05",,,,,"26122,5",,,
185,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Fil de Bretagne,Italie,42,livres,,30,,"1,5",,,,,63,,,
186,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Indigo,Italie,1279,livres,4,10,,"4,5",,,,,"5755,5",,,
187,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Milles,Italie,25000,livres,,1,,"0,05",,,,,1250,,,
188,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Peaux de veau corroyées,Italie,776,douzaines,28,,,28,,,,,21728,,,
189,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Sucre brun,Italie,841200,livres,,4,,"0,2",,,,,168240,,,
190,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Sucre terré,Italie,1112900,livres,,7,,"0,35",,,,,389515,,,
191,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Sucre en pain,Italie,800,livres,,12,,"0,6",,,,,480,,,
192,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Thé,Italie,1722,livres,,42,,"2,1",,,,,"3616,2",,,
193,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Toile de Bretagne,Italie,360,livres,3,,,3,,,,,1080,,,
194,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Vin d'amont,Italie,140,bouteilles,,7,,"0,35",,,,,49,,,
195,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Vin nantais,Italie,3,tonneaux,120,,,120,,,,,360,,,
196,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Bois d'acajou,Nord,8,madriers,40,,,40,,,,,320,,,
197,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Bois de Gaillac,Nord,40000,livres,,,9,"0,0375",,,,,1500,,,
198,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Bois des Iles,Nord,122000,livres,,2,,"0,1",,,,,12200,,,
199,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Cacao,Nord,3726,livres,,10,,"0,5",,,,,1863,,,
200,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Café des Iles,Nord,2166990,livres,,12,,"0,6",,,,,1300194,,,
201,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Châtaignes,Nord,1342,boisseaux,,12,,"0,6",,,,,"805,2",,,
202,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Confitures,Nord,905,livres,,11,,"0,55",,,,,"497,75",,,
203,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Coton en laine,Nord,13748,livres,"1,4",,,"1,4",,,,,"19247,2",,,
204,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Cuirs de bœuf tannés,Nord,24666,livres,,12,,"0,6",,,,,"14799,6",,,
205,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,7,Eau de vie,Nord,8810,veltes,4,,,4,,,,,35240,,,
206,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Farine,Nord,161000,livres,,2,6,125,,,,,20125,,,
207,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Faïence,Nord,16,douzaines,4,5,,"4,25",,,,,68,,,
208,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Gingembre,Nord,1856,livres,"0,18",,,"0,18",,,,,"334,08",,,
209,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Indigo,Nord,74428,livres,4,10,,"4,5",,,,,334926,,,
210,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Marchandises mêlées,Nord,,,,,,0,130,,,130,0,,Valeur totale,
211,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Miel,Nord,39800,livres,,3,,"0,15",,,,,5970,,,
212,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Noix,Nord,8,milliers,,3,,"0,15",,,,,"1,2",,,
213,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Ocre,Nord,"153,5",barriques,15,,,15,,,,,"2302,5",,,
214,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Peaux de loutre,Nord,569,peaux,12,,,12,,,,,6828,,,
215,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Peaux de veau corroyées,Nord,1937,douzaines,28,,,28,,,,,54236,,,
216,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Pierres à fusil,Nord,10520,milliers,,30,,"1,5",,,,,15780,,,
217,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Poivre,Nord,149,livres,,35,,"1,75",,,,,"260,75",,,
218,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Pruneaux,Nord,1260,livres,,2,,"0,1",,,,,126,,,
219,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Rocou,Nord,437,livres,,18,,"0,9",,,,,"393,3",,,
220,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Savon,Nord,1022,livres,,8,,"0,4",,,,,"408,8",,,
221,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Sel,Nord,5221,muides,50,,,50,,,,,261050,,,
222,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Sel,Nord,243,charges,60,,,60,,,,,14580,,,
223,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Sirop mélasse,Nord,712480,livres,"0,09",,,"0,09",,,,,"64123,2",,,
224,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Sucre brun,Nord,2202180,livres,,4,,"0,2",,,,,440436,,,
225,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Sucre terré,Nord,2313995,livres,,7,,"0,35",,,,,"809898,25",,,
226,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Thé,Nord,1482,livres,,42,,"2,1",,,,,"3112,2",,,
227,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Toile de Bretagne,Nord,280,livres,3,,,3,,,,,840,,,
228,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Vin d'amont,Nord,"72,25",tonneaux,140,,,140,,,,,10115,,,
229,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Vin nantais,Nord,"3009,25",tonneaux,120,,,120,,,,,361110,,,
230,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Vinaigre,Nord,"42,25",livres,100,,,100,,,,,4225,,,
231,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Ardoises,Portugal,200,en nombre,"0,24",,,"0,24",,,,,48,,,
232,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Biscuits,Portugal,3000,livres,"0,15",,,"0,15",,,,,450,,,
233,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Blé froment,Portugal,723000,livres,,1,6,75,,,,,54225,,,
234,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Blé maïs,Portugal,81000,livres,,1,,"0,05",,,,,4050,,,
235,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Blé seigle,Portugal,16200,livres,,1,1,"0,0541667",,,,,"877,5",,,
236,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,8,Bonnets de laine,Portugal,3,douzaines,12,,,12,,,,,36,,,
237,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Bougie,Portugal,350,livres,,45,,"2,25",,,,,"787,5",,,
238,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Cacao,Portugal,20,livres,,10,,"0,5",,,,,10,,,
239,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Café des Iles,Portugal,4400,livres,,12,,"0,6",,,,,2640,,,
240,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Canefice,Portugal,20,livres,"0,18",,,"0,18",,,,,"3,6",,,
241,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Chaises de rotin,Portugal,27,en nombre,6,,,6,,,,,162,,,
242,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Chandelle,Portugal,40,livres,,10,,"0,5",,,,,20,,,
243,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Chapeaux communs,Portugal,52,en nombre,3,10,,"3,5",,,,,182,,,
244,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Confitures,Portugal,130,livres,,11,,"0,55",,,,,"71,5",,,
245,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Coton en laine,Portugal,50,livres,"1,4",,,"1,4",,,,,70,,,
246,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Eau de vie,Portugal,"2703,5",veltes,4,,,4,,,,,10814,,,
247,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Etamine de laine,Portugal,10698,aunes,3,,,3,,,,,32094,,,
248,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Etoffe de soie,Portugal,30,livres,40,,,40,,,,,1200,,,
249,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Farine,Portugal,26775,livres,,2,6,125,,,,,"3346,88",,,
250,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Faïence,Portugal,66,douzaines,4,5,,"4,25",,,,,"280,5",,,
251,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Fayoles,Portugal,12000,livres,,1,,"0,05",,,,,600,,,
252,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Fèves,Portugal,33000,livres,,1,,"0,05",,,,,1650,,,
253,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Huile d'olive,Portugal,12,livres,,12,,"0,6",,,,,"7,2",,,
254,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Légumes,Portugal,176000,livres,,1,,"0,05",137,,,137,8800,-8663,Valeur totale,
255,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Marchandises mêlées,Portugal,,,,,,0,,,,,0,,,
256,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Mousseline,Portugal,"462,75",aunes,5,,,5,,,,,"2313,75",,,
257,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Peaux de moutons aprêtés,Portugal,50297,peaux,,11,,"0,55",,,,,"27663,35",,,
258,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Peaux de veau corroyées,Portugal,12242,douzaines,28,,,28,,,,,342776,,,
259,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Pois,Portugal,4200,livres,,1,,"0,05",,,,,210,,,
260,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Serge de laine,Portugal,5690,aunes,,25,,"1,25",,,,,"7112,5",,,
261,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Sirop mélasse,Portugal,280800,livres,"0,09",,,"0,09",,,,,25272,,,
262,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Sucre brun,Portugal,2000,livres,,4,,"0,2",,,,,400,,,
263,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Sucre terré,Portugal,10000,livres,,7,,"0,35",,,,,3500,,,
264,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Thé,Portugal,12078,livres,,42,,"2,1",,,,,"25363,8",,,
265,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Toile de Bretagne,Portugal,19885,livres,3,,,3,,,,,59655,,,
266,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Vin de Bordeaux,Portugal,"1,25",tonneaux,400,,,400,,,,,500,,,
267,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Vin de Bordeaux,Portugal,200,bouteilles,,12,,"0,6",,,,,120,,,
268,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Vinaigre,Portugal,"21,75",tonneaux,100,,,100,,,,,2175,,,
269,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,9,Vinaigre,Portugal,4,quarts,13,,,13,,,,,52,,,
270,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Beurre,Suède,3695,livres,,7,,"0,35",,,,,"1293,25",,,
271,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Café des Iles,Suède,10650,livres,,12,,"0,6",,,,,6390,,,
272,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Confitures,Suède,47,livres,,11,,"0,55",,,,,"25,85",,,
273,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Coton en laine,Suède,340,livres,"1,4",,,"1,4",,,,,476,,,
274,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Fruits à l'eau de vie,Suède,120,pots,2,10,,"2,5",,,,,300,,,
275,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Eau de vie,Suède,26,barriques,120,,,120,,,,,3120,,,
276,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Eau de vie,Suède,1,tiercons,81,,,81,,,,,81,,,
277,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Eau de vie,Suède,"3683,5",veltes,4,,,4,,,,,14734,,,
278,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Indigo,Suède,819,livres,4,10,,"4,5",,,,,"3685,5",,,
279,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Marchandises mêlées,Suède,,,,,,0,96,,,96,0,,Valeur totale,
280,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Noix,Suède,5,milliers,,3,,"0,15",,,,,"0,75",,,
281,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,10,Riz,Suède,400,livres,,4,,"0,2",,,,,80,,,
