numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,doubleaccounts
131,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Cardamum,Hollande,"1240,00",Livre,"2,500","3 100,00","0,00",,
132,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Curcuma,Hollande,"4110,00",Livre,"0,400","1 644,00","0,00",,
133,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Chasselas,Hollande,"4823,00",Pièce,"15,000","72 345,00","0,00",,
134,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Caladaris,Hollande,"1176,00",Pièce,"30,000","35 280,00","0,00",,
135,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Chite,Hollande,"663,00",Pièce,"40,000","26 520,00","0,00",,
136,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Coupis,Hollande,"1500,00",Pièce,"20,000","30 000,00","0,00",,
137,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Chilas,Hollande,"194,00",Pièce,"8,000","1 552,00","0,00",,
138,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Choquelas,Hollande,"183,00",Pièce,"20,000","3 660,00","0,00",,
139,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Coroot,Hollande,"116,00",Pièce,"2,500","290,00","0,00",,
140,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Cotoninie bleüe,Hollande,"240,00",Pièce,"15,000","3 600,00","0,00",,
141,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Cotonades ,Hollande,"190,00",Aune,"1,500","285,00","0,00",,
142,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Couty,Hollande,"75,00",Pièce,"10,000","750,00","0,00",,
143,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Cartes a jouer,Hollande,"20,00",Livre,"1,000","20,00","0,00",,
144,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Crin,Hollande,"200,00",Livre,"0,600","120,00","0,00",,
145,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Cabarets vernis,Hollande,"28,00",Nombre,"0,750","21,00","0,00",,
146,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Damas des Indes,Hollande,"962,00",Pièce,"60,000","57 720,00","0,00",,
147,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Dissouchaïs,Hollande,"258,00",Pièce,"12,000","3 096,00","0,00",,
148,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Eau de vie,Hollande,"1107,00",Barique,"60,000","66 420,00","0,00",Droits à 3 livres et 5 sous par barique,
149,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Elatchas,Hollande,"175,00",Pièce,"17,000","0,00","2 975,00",Pas de prix total indiqué,
150,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Etamine,Hollande,"130,00",Aune,"2,000","260,00","0,00",,
151,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Evantails,Hollande,"2,00",Douzaine,"0,000","72,00","-72,00",Pas de prix unitaire indiqué,
152,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Feves,Hollande,"10,00",Tonneau,"60,000","600,00","0,00",,
153,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Fruit sec,Hollande,"30,00",Livre,"0,250","8,00","-0,50",Prix unitaire en pourcentage,
154,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Fotamora,Hollande,"80,00",Pièce,"10,000","800,00","0,00",,
155,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Fil de Rennes,Hollande,"1980,00",Livre,"0,750","1 485,00","0,00",,
156,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Fayence en vaisselle,Hollande,"18,00",Douzaine,"3,000","54,00","0,00",,
157,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Gingembre,Hollande,"40775,00",Livre,"0,200","8 155,00","0,00",Prix unitaire en pourcentage,
158,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Gourgouran,Hollande,"598,00",Pièce,"60,000","35 880,00","0,00",,
159,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Garas bleu,Hollande,"2290,00",Pièce,"15,000","34 350,00","0,00",,
160,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Garas blanc,Hollande,"1810,00",Pièce,"12,000","21 720,00","0,00",,
161,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Guingan,Hollande,"190,00",Pièce,"15,000","2 850,00","0,00",,
162,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Gaze,Hollande,"27,00",Pièce,"0,000","1 045 150,00","-1 045 150,00",Pas de prix unitaire indiqué,
163,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Guinée bleüe,Hollande,"2666,00",Pièce,"30,000","79 980,00","0,00",,
164,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Guinée blanche,Hollande,"2300,00",Pièce,"35,000","80 500,00","0,00",,
165,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Galanga,Hollande,"16800,00",Livre,"0,900","14 120,00","1 000,00",erreur de calcul,
166,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Gomme senegal,Hollande,"41060,00",Livre,"0,500","20 530,00","0,00",,
167,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Graine de genievres,Hollande,"1525,00",Livre,"5,000","7 625,00","0,00",,
168,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Huile d'olive,Hollande,"1225,00",Livre,"0,800","1 000,00","-20,00",erreur de calcul,
169,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Indigo,Hollande,"41350,00",Livre,"3,400","140 590,00","0,00",,
170,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Jamard,Hollande,"150,00",Pièce,"0,000","3 000,00","-3 000,00",Pas de prix unitaire indiqué,
171,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Limeneas,Hollande,"362,00",Pièce,"0,000","0,00","0,00",Pas de prix ,
172,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Lampas,Hollande,"170,00",Pièce,"0,000","0,00","0,00",Pas de prix,
173,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Laque sans bois,Hollande,"38100,00",Livre,"1,300","49 530,00","0,00",,
174,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Laque en bois,Hollande,"26500,00",Livre,"0,750","19 875,00","0,00",,
175,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Lamproyes,Hollande,"35,00",Boite,"0,000","420,00","-420,00",Pas de prix unitaire indiqué,
176,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Montichou,Hollande,"100,00",Pièce,"0,000","0,00","0,00",Pas de prix,
177,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Mouchoirs de soye,Hollande,"261,00",Pièce,"20,000","5 220,00","0,00",,
178,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Mouchoirs de Ponticheri,Hollande,"403,00",Pièce,"16,000","6 448,00","0,00",,
179,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Mouchoirs blancs,Hollande,"50,00",Pièce,"15,000","750,00","0,00",,
180,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Mercerie,Hollande,"50,00",Livre,"6,000","300,00","0,00",,
181,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Mulles brodées,Hollande,"12,00",Paire,"5,000","60,00","0,00",,
182,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Neganitapau,Hollande,"540,00",Pièce,"0,000","0,00","0,00",Pas de prix,
183,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Neanias,Hollande,"320,00",Pièce,"0,000","0,00","0,00",Pas de prix,
184,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Noix,Hollande,"2,00",Millier,"1,500","3,00","0,00",,
185,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Ocre,Hollande,"386,00",Barique,"12,000","4 632,00","0,00",,
186,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Poivre,Hollande,"800,00",Livre,"1,200","920,00","40,00",erreur de calcul,
187,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Pruneaux de Ste Catherine,Hollande,"1625,00",Livre,"0,100","162,00","0,50",,
188,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Pruneaux d'amont,Hollande,"110750,00",Livre,"0,350","30 456,00","8 306,50",erreur de calcul,
189,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Pekin,Hollande,"602,00",Pièce,"60,000","36 120,00","0,00",,
190,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Pinasse,Hollande,"320,00",Pièce,"0,000","0,00","0,00",Pas de prix,
191,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Patissoye,Hollande,"173,00",Pièce,"0,000","0,00","0,00",Pas de prix,
192,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Papier a écrire,Hollande,"1080,00",Livre,"1,250","1 350,00","0,00",,
193,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Papier peint,Hollande,"42,00",Feuille,"0,000","10,00","-10,00",Pas de prix unitaire indiqué,
194,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Peaux de veau corroyées,Hollande,"7,00",Douzaine,"24,000","168,00","0,00",,
195,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Peaux de chevreau en poil,Hollande,"129,00",Douzaine,"0,000","0,00","0,00",Pas de prix,
196,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Peaux de lapin en poil,Hollande,"2088,00",Nombre,"0,000","0,00","0,00",Pas de prix,
197,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Porcelaine des Indes,Hollande,"400,00",Livre,"5,000","2 000,00","0,00",,
198,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Quincaille,Hollande,"2625,00",Livre,"0,000","2 625,00","-2 625,00",Pas de prix unitaire indiqué,
199,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Quinquina,Hollande,"250,00",Livre,"0,000","2 500,00","-2 500,00",Pas de prix unitaire indiqué,
200,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Rocou,Hollande,"950,00",Livre,"0,400","380,00","0,00",,
201,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Salemporis blanc,Hollande,"1630,00",Pièce,"18,000","27 340,00","2 000,00",erreur de calcul,
202,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,6,Soucis,Hollande,"1647,00",Pièce,"20,000","32 940,00","0,00",,
203,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Satin,Hollande,"1,00",Pièce,"70,000","70,00","0,00",,
204,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Soyerie,Hollande,"3,50",Livre,"40,000","140,00","0,00",,
205,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Soye nankin,Hollande,"33665,00",Livre,"15,000","504 975,00","0,00",,
206,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Soye tanis,Hollande,"32662,00",Livre,"9,000","293 958,00","0,00",,
207,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sarge,Hollande,"22,00",Aune,"1,500","33,00","0,00",,
208,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sels de Bourneuf,Hollande,"463,00",Charge,"44,000","20 372,00","0,00",,
209,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sels de Bourneuf,Hollande,"1941,00",Charge,"23,000","44 653,00","-10,00",erreur de calcul,
210,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sels de Bourneuf,Hollande,"3120,00",Charge,"22,000","68 640,00","0,00",,
211,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sels du croisic,Hollande,"678,00",Muid,"44,000","29 832,00","0,00",,
212,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sels du croisic,Hollande,"880,00",Muid,"42,000","36 960,00","0,00",,
213,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sels du croisic,Hollande,"145,00",Muid,"30,000","4 350,00","0,00",,
214,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sels du croisic,Hollande,"237,00",Muid,"24,000","5 688,00","0,00",,
215,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sucre blanc en pain,Hollande,"244500,00",Livre,"0,450","110 025,00","0,00",Prix unitaire en pourcentage,
216,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sucre terré,Hollande,"1585800,00",Livre,"0,260","412 308,00","0,00",Prix unitaire en pourcentage,
217,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sucre teste de forme,Hollande,"133600,00",Livre,"0,210","28 056,00","0,00",Prix unitaire en pourcentage,
218,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sucre brut,Hollande,"4962900,00",Livre,"0,180","893 322,00","0,00",Prix unitaire en pourcentage,
219,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sirop de sucre,Hollande,"82700,00",Livre,"0,045","57 450,00","-53 728,50",Prix unitaire en pourcentage / erreur de calcul,
220,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Sirop de capilaire,Hollande,"50,00",Livre,"1,500","75,00","0,00",,
221,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Safran,Hollande,"50,00",Livre,"1,500","75,00","0,00",,
222,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Thé imperial,Hollande,"1100,00",Livre,"2,000","2 200,00","0,00",,
223,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Thé saochaon,Hollande,"650,00",Livre,"5,000","3 250,00","0,00",,
224,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Thé bou,Hollande,"7800,00",Livre,"2,500","19 500,00","0,00",,
225,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Thé divers,Hollande,"152750,00",Livre,"2,250","343 687,00","0,50",,
226,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Tabac de la havane fabriqué,Hollande,"28425,00",Livre,"0,400","11 370,00","0,00",,
227,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Toiles de coton blanches,Hollande,"37590,00",Pièce,"20,000","751 800,00","0,00",,
228,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Toiles peintes,Hollande,"114,00",Pièce,"25,000","2 850,00","0,00",,
229,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Tepais,Hollande,"40,00",Pièce,"0,000","0,00","0,00",Pas de prix,
230,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Toiles de Bretagne,Hollande,"4240,00",Livre,"4,000","16 960,00","0,00",,
231,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Vin de Bordeaux,Hollande,"14,00",Tonneau,"160,000","3 240,00","-1 000,00",Droits sur le vin et le vinaigre à 49 sous par tonneau / erreur de calcul,
232,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Vin d'amont,Hollande,"1252,00",Tonneau,"170,000","212 840,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
233,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Vin nantois,Hollande,"394,00",Tonneau,"60,000","23 640,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
234,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,7,Vinaigre,Hollande,"3,00",Tonneau,"50,000","150,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
235,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Armoisin,Nord,"100,00",Pièce,"30,000","3 000,00","0,00",,
236,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Bafetas bleu,Nord,"2151,00",Pièce,"9,000","19 359,00","0,00",supposition de l'unité,
237,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Bois rouge,Nord,"2000,00",Livre,"0,180","360,00","0,00",supposition de l'unité,
238,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Citrons confits,Nord,"1425,00",Livre,"0,750","1 068,00","0,75",supposition de l'unité,
239,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Caffé de Moka,Nord,"22900,00",Livre,"2,000","45 800,00","0,00",supposition de l'unité,
240,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Caffé de la Martinique,Nord,"171200,00",Livre,"1,150","196 880,00","0,00",supposition de l'unité,
241,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Caffé de Bourbon,Nord,"146200,00",Livre,"1,650","241 230,00","0,00",supposition de l'unité,
242,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Chataignes,Nord,"280,00",Boisseau,"0,400","112,00","0,00",supposition de l'unité,
243,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Cardamum,Nord,"5800,00",Livre,"2,500","14 500,00","0,00",supposition de l'unité,
244,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Chites,Nord,"90,00",Pièce,"60,000","5 400,00","0,00",supposition de l'unité,
245,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Caladaris,Nord,"73,00",Pièce,"30,000","2 190,00","0,00",supposition de l'unité,
246,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Chasselas,Nord,"62,00",Pièce,"15,000","930,00","0,00",,
247,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Coton en laine,Nord,"2350,00",Livre,"0,850","1 997,00","0,50",Prix unitaire en pourcentage,
248,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Damas des Indes,Nord,"218,00",Pièce,"70,000","15 260,00","0,00",,
249,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Eau de vie,Nord,"980,00",Barique,"60,000","58 800,00","0,00",Droits à 3 livres et 5 sous par barique,
250,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Eau de la reine d'hongrie,Nord,,,"0,000","24,00","-24,00",,
251,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Ecorce unie,Nord,"28,00",Pièce,"24,000","672,00","0,00",,
252,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Fotamora,Nord,"80,00",Pièce,"10,000","800,00","0,00",,
253,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Gourgouran,Nord,"138,00",Pièce,"60,000","8 280,00","0,00",,
254,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Guingan,Nord,"160,00",Pièce,"17,000","2 720,00","0,00",,
255,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Guinée bleüe,Nord,"1983,00",Pièce,"30,000","59 490,00","0,00",,
256,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Guinée blanche,Nord,"244,00",Pièce,"36,000","3 764,00","5 020,00",erreur de calcul,
257,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Gaze,Nord,"19,00",Pièce,"0,000","0,00","0,00",Pas de prix,
258,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Gingembre,Nord,"2850,00",Livre,"0,200","570,00","0,00",Prix unitaire en pourcentage,
259,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Galenga,Nord,"4050,00",Livre,"0,900","3 645,00","0,00",,
260,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Gomme senegal,Nord,"144500,00",Livre,"0,500","72 250,00","0,00",,
261,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Indigo,Nord,"141830,00",Livre,"3,400","482 222,00","0,00",,
262,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Indienne,Nord,"35,00",Pièce,"25,000","875,00","0,00",,
263,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Janamar,Nord,"159,00",Pièce,"35,000","5 565,00","0,00",,
264,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Limeneas,Nord,"60,00",Pièce,"0,000","0,00","0,00",Pas de prix,
265,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,8,Lampas,Nord,"27,00",Pièce,"0,000","0,00","0,00",Pas de prix,
