numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,
131,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Fruits cuits,Hollande,"985,00",Livre,"0,200","197,00","0,00",Prix unitaire en pourcentage,
132,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Fruits cruds,Hollande,"18,00",Barrique,"20,000","360,00","0,00",,
133,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Gingembre,Hollande,"3300,00",Livre,"0,200","660,00","0,00",Prix unitaire en pourcentage,
134,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Gourgouran,Hollande,"608,00",Pièce,"70,000","42 560,00","0,00",,
135,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Guingan,Hollande,"2871,00",Pièce,"7,000","20 097,00","0,00",,
136,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Guinée blanche,Hollande,"29,00",Pièce,"60,000","1 740,00","0,00",,
137,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Grisettes,Hollande,"38,00",Pièce,"55,000","2 090,00","0,00",,
138,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Galanga des Indes,Hollande,"3000,00",Livre,"1,000","3 000,00","0,00",,
139,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Gomme laque,Hollande,"256325,00",Livre,"0,290","74 334,25","0,00",Prix unitaire en pourcentage,
140,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Gomme du Senegal,Hollande,"154125,00",Livre,"0,500","77 062,50","0,00",Prix unitaire en pourcentage,
141,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Graine de moutarde,Hollande,"25,00",Livre,"0,150","3,75","0,00",Prix unitaire en pourcentage,
142,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Huitres marinées,Hollande,"400,00",Baril,"5,000","2 000,00","0,00",,
143,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Indigo,Hollande,"105210,00",Livre,"2,375","249 873,75","0,00",,
144,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Jupes peintes,Hollande,"4,00",Nombre,"70,000","280,00","0,00",,
145,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Liqueurs à boire,Hollande,"50,00",Livre,"0,600","30,00","0,00",,
146,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Limeneas,Hollande,"205,00",Pièce,"18,000","3 090,00","600,00",erreur de calcul,
147,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Lampas,Hollande,"32,00",Pièce,"120,000","3 840,00","0,00",,
148,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Librairie,Hollande,"200,00",Livre,"2,000","400,00","0,00",,
149,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Miel,Hollande,"21200,00",Livre,"0,100","2 120,00","0,00",Prix unitaire en pourcentage,
150,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Meubles,Hollande,,,"0,000","416,00","-416,00",,
151,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Mouchoirs mazulipatan,Hollande,"1348,00",Pièce,"25,000","33 700,00","0,00",,
152,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Mouchoirs de Pontichery,Hollande,"110,00",Pièce,"20,000","2 200,00","0,00",,
153,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Mouchoirs de Pontichery,Hollande,"3992,00",Nombre,"1,500","5 988,00","0,00",,
154,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Mercerie fine,Hollande,"20,00",Livre,"6,000","120,00","0,00",,
155,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Navets,Hollande,"4,00",Quart,"4,000","16,00","0,00",,
156,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Ocre,Hollande,"30,00",Barrique,"10,000","300,00","0,00",,
157,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Pruneaux de Ste Catherine,Hollande,"3760,00",Livre,"0,300","1 128,00","0,00",Prix unitaire en pourcentage,
158,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Pruneaux d'amont,Hollande,"62300,00",Livre,"0,040","2 492,00","0,00",Prix unitaire en pourcentage,
159,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Pekin brodé,Hollande,"46,00",Pièce,"200,000","9 200,00","0,00",,
160,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Pekin rayé,Hollande,"52,00",Pièce,"70,000","3 640,00","0,00",,
161,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Pekin a fleurs,Hollande,"39,00",Pièce,"90,000","3 510,00","0,00",,
162,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Pekin uni,Hollande,"1017,00",Pièce,"60,000","61 020,00","0,00",,
163,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Papillons,Hollande,"2,00",Boites,"3,000","6,00","0,00",,
164,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Peaux divers animaux des Indes,Hollande,"15642,00",Nombre,"0,000","0,00","0,00",,
165,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Peaux de chevreuil,Hollande,"2682,00",Nombre,"0,000","0,00","0,00",,
166,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Peaux de loutre,Hollande,"87,00",Nombre,"0,000","0,00","0,00",,
167,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Peaux de chat,Hollande,"298,00",Nombre,"0,000","0,00","0,00",,
168,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Peaux de castor seiche,Hollande,"7196,00",Livre,"0,000","0,00","0,00",,
169,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Peaux d'aigneaux en laine,Hollande,"1650,00",Livre,"0,000","0,00","0,00",,
170,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Papier  ,Hollande,"19026,00",Livre,"0,500","9 513,00","0,00",,
171,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Porcelaine des Indes,Hollande,"17204,00",Livre,"5,000","86 020,00","0,00",,
172,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Pierres à fusil,Hollande,"364,00",Millier,"1,000","7 280,00","-6 916,00",erreur de calcul,
173,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Rocou,Hollande,"30060,00",Livre,"0,450","13 527,00","0,00",Prix unitaire en pourcentage,
174,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Reglisse,Hollande,"200,00",Livre,"0,150","30,00","0,00",Prix unitaire en pourcentage,
175,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Safran,Hollande,"50,00",Livre,"32,000","1 600,00","0,00",,
176,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,5,Sucre candy,Hollande,"47575,00",Livre,"0,300","14 272,50","0,00",Prix unitaire en pourcentage,
177,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Sucre blanc terré,Hollande,"220175,00",Livre,"0,375","82 565,60","0,02",,
178,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Sucre terré commun,Hollande,"2281650,00",Livre,"0,300","684 495,00","0,00",,
179,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Sucre teste,Hollande,"475300,00",Livre,"0,220","104 566,00","0,00",,
180,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Sucre brut,Hollande,"6696000,00",Livre,"0,150","1 104 400,00","-100 000,00",erreur de calcul,
181,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Sirop de sucre,Hollande,"12500,00",Livre,"0,050","725,00","-100,00",erreur de calcul,
182,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Sel,Hollande,"2874,00",Charge,"30,000","86 220,00","0,00",,
183,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Sel,Hollande,"2120,00",Muid,"22,000","46 640,00","0,00",,
184,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Satin uni,Hollande,"654,00",Pièce,"70,000","45 780,00","0,00",,
185,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Salemporis,Hollande,"80,00",Pièce,"20,000","1 600,00","0,00",,
186,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Soirie,Hollande,"6,00",Livre,"40,000","240,00","0,00",,
187,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Soye tanis,Hollande,"15232,00",Livre,"8,000","121 856,00","0,00",,
188,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Salpêtre,Hollande,"44000,00",Livre,"0,500","22 000,00","0,00",Prix unitaire en pourcentage,
189,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Thé pekeau,Hollande,"546,00",Livre,"6,000","3 276,00","0,00",,
190,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Thé Cambou,Hollande,"31524,00",Livre,"5,000","157 620,00","0,00",,
191,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Thé haysswen,Hollande,"9590,00",Livre,"3,000","28 770,00","0,00",,
192,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Thé saoul vert,Hollande,"20720,00",Livre,"2,300","47 656,00","0,00",,
193,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Thé saochaon,Hollande,"4830,00",Livre,"10,000","48 300,00","0,00",,
194,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Thé imperial,Hollande,"9952,00",Livre,"7,000","69 664,00","0,00",,
195,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Thé Bou,Hollande,"248146,00",Livre,"2,500","620 365,00","0,00",,
196,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Thé divers,Hollande,"5400,00",Livre,"3,000","16 200,00","0,00",,
197,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Tabac en poudre,Hollande,"70643,00",Livre,"2,000","141 286,00","0,00",,
198,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Tabac filé,Hollande,"2460,00",Livre,"0,750","1 845,00","0,00",,
199,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Toutenague,Hollande,"120550,00",Livre,"1,200","144 660,00","0,00",Prix unitaire en pourcentage,
200,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Trietracs,Hollande,"2,00",Nombre,"20,000","40,00","0,00",,
201,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Toile de Bretagne,Hollande,"1835,00",Livre,"4,000","7 340,00","0,00",,
202,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Toile de cotton des Indes,Hollande,"9039,00",Pièce,"36,000","325 404,00","0,00",,
203,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Toile de cotton des Indes,Hollande,"45456,00",Aune,"2,000","90 912,00","0,00",,
204,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Toiles peintes des Indes,Hollande,"492,00",Aune,"2,000","984,00","0,00",,
205,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Tabliers peints,Hollande,"22,00",Nombre,"18,000","396,00","0,00",,
206,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Velours,Hollande,"4,00",Pièce,"160,000","640,00","0,00",,
207,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Vin d'Espagne,Hollande,"80,00",Barrique,"125,000","10 000,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
208,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Vin de Bordeaux,Hollande,"14,00",Tonneau,"300,000","4 200,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
209,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Vin d'amont,Hollande,"2637,00",Tonneau,"150,000","395 550,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
210,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Vin nantois,Hollande,"156,00",Tonneau,"60,000","9 741,70","-381,70",Droits sur le vin et le vinaigre à 49 sous par tonneau / erreur de calcul,
211,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,6,Vinaigre,Hollande,"13,50",Tonneau,"60,000","843,05","-33,05",Droits sur le vin et le vinaigre à 49 sous par tonneau / erreur de calcul,
212,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Armoisin,Nord,"13,00",Pièce,"40,000","520,00","0,00",,
213,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Biscuit,Nord,"5,00",Barrique,"0,000","275,00","-275,00","Prix unitaire de 0,09 livres la livre",
214,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Bœuf salé,Nord,"300,00",Livre,"0,100","30,00","0,00",Prix unitaire en pourcentage,
215,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Beurre,Nord,"165,00",Livre,"0,300","49,50","0,00",Prix unitaire en pourcentage,
216,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Confitures,Nord,"1410,00",Livre,"0,700","987,00","0,00",,
217,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Caffé,Nord,"182925,00",Livre,"2,500","457 312,00","0,50",,
218,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Cacao ,Nord,"1070,00",Livre,"1,400","1 498,00","0,00",,
219,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Chataignes,Nord,"52,00",Boisseau,"0,500","26,00","0,00",,
220,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Chittes,Nord,"8,00",Pièce,"30,000","240,00","0,00",,
221,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Caladaris,Nord,"3,00",Pièce,"10,000","30,00","0,00",,
222,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Courtepointes,Nord,"80,00",Aune,"30,000","2 400,00","0,00",,
223,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Cottonades,Nord,"15,00",Aune,"2,500","37,50","0,00",,
224,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Coutils,Nord,"100,00",Livre,"25,000","2 500,00","0,00",,
225,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Cotton en laine,Nord,"49065,00",Livre,"0,700","34 345,50","0,00",Prix unitaire en pourcentage,
226,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Cabarets vernis,Nord,"123,00",Pièce,"9,000","1 107,00","0,00",,
227,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Eau de vie,Nord,"639,00",Barrique,"60,000","38 340,00","0,00",,
228,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Eau de la reine de hongrie,Nord,"20,00",Livre,"3,000","60,00","0,00",,
229,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Eau de citronelle,Nord,"12,00",Bouteille,"6,000","72,00","0,00",,
230,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Etofes diverses des Indes,Nord,"1192,00",Pièce,"70,000","83 440,00","0,00",,
231,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Fruits cuits,Nord,"50,00",Livre,"0,200","10,00","0,00",Prix unitaire en pourcentage,
232,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Fleurs artificielles ,Nord,"63,00",Boite,"6,000","378,00","0,00",,
233,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Fichus de soye,Nord,"58,00",Pièce,"50,000","2 900,00","0,00",,
234,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Fichus de soye,Nord,"630,00",Nombre,"5,000","3 150,00","0,00",,
235,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Guinée blanche,Nord,"345,00",Pièce,"40,000","13 800,00","0,00",,
236,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Gourgouran,Nord,"88,00",Pièce,"80,000","7 040,00","0,00",,
237,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Guingans,Nord,"14,00",Pièce,"8,000","112,00","0,00",,
238,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Gomme laque,Nord,"2340,00",Livre,"0,300","702,00","0,00",Prix unitaire en pourcentage,
239,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Gomme arabique,Nord,"1600,00",Livre,"0,600","960,00","0,00",Prix unitaire en pourcentage,
240,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Gingembre,Nord,"200,00",Livre,"0,200","40,00","0,00",Prix unitaire en pourcentage,
241,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Indigo,Nord,"171330,00",Livre,"3,375","578 238,00","0,75",,
242,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Limeneas,Nord,"246,00",Pièce,"20,000","4 920,00","0,00",,
243,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Lignes,Nord,"100,00",Pièce,"15,000","1 500,00","0,00",,
244,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Librairie,Nord,"1500,00",Livre,"2,000","3 000,00","0,00",,
245,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Mousseline,Nord,"1220,00",Pièce,"50,000","61 000,00","0,00",,
246,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Mouchoirs de Pontichery,Nord,"1100,00",Pièce,"18,000","19 800,00","0,00",,
247,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Mouchoirs de soye des Indes,Nord,"99,00",Pièce,"50,000","4 950,00","0,00",,
248,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Mercerie fine,Nord,"12,00",Livre,"6,000","72,00","0,00",,
249,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Marmites de fer,Nord,"21,00",Nombre,"2,000","42,00","0,00",,
250,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Miel,Nord,"12800,00",Livre,"0,100","1 280,00","0,00",Prix unitaire en pourcentage,
251,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Noix,Nord,"57,00",Millier,"1,000","57,00","0,00",,
252,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Pruneaux de Ste Catherine,Nord,"200,00",Livre,"0,300","60,00","0,00",Prix unitaire en pourcentage,
253,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,7,Pruneaux d'amont,Nord,"500,00",Livre,"0,040","20,00","0,00",Prix unitaire en pourcentage,
254,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Pekin,Nord,"215,00",Pièce,"90,000","19 350,00","0,00",,
255,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Peaux de chat,Nord,"140,00",Nombre,"0,300","42,00","0,00",,
256,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Papier blanc,Nord,"40,00",Nombre,"0,500","20,00","0,00",,
257,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Porcelaine des Indes,Nord,"4364,00",Livre,"1,500","6 546,00","0,00",Prix unitaire en pourcentage,
258,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Pierres à fusil,Nord,"450,00",Millier,"1,000","450,00","0,00",,
259,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Rocou,Nord,"46220,00",Livre,"0,450","2 799,00","18 000,00",erreur de calcul,
260,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Safran,Nord,"170,00",Livre,"32,000","5 440,00","0,00",,
261,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Sel,Nord,"376,00",Charge,"30,000","11 280,00","0,00",,
262,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Sel,Nord,"672,00",Muid,"22,000","14 784,00","0,00",,
263,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Sucre blanc,Nord,"426700,00",Livre,"0,375","160 012,50","0,00",,
264,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Sucre terré,Nord,"1765500,00",Livre,"0,300","529 650,00","0,00",,
265,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Sucre teste,Nord,"96575,00",Livre,"0,220","21 246,50","0,00",,
266,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Sucre brun,Nord,"1990825,00",Livre,"0,150","298 623,75","0,00",,
