numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,prix_unitaire,Valeur en Livres tournois,valeur en sous,valeur en denier,Valeur (Prix unitaire ,value,problem,remarks,Unverified
138,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Sucre brut,Nord,1418905,Livre,"0,21",,,"0,21",,,,"297970,05",,,Prix unitaire en pourcentage,
139,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Sucre terré,Nord,678206,Livre,"0,56",,,"0,56",,,,"379795,36",,,Prix unitaire en pourcentage,
140,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Thé,Nord,1520,Livre,3,15,,"3,75",,,,5700,,,,
141,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Verdet,Nord,300,Livre,,24,,"1,2",,,,360,,,,
142,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Vin de Bordeaux,Nord,"4,5",Tonneau,280,,,280,,,,1260,,,,
143,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Vin d'Amont,Nord,"319,12",Tonneau,140,,,140,,,,"44676,8",,,,
144,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Vin nantois,Nord,"114,75",Tonneau,100,,,100,,,,11475,,,,
145,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Vinaigre,Nord,16,Quart,10,,,10,,,,160,,,,
146,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Vinaigre,Nord,1,Ancre,4,10,,"4,5",,,,"4,5",,,,
147,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Armoire de bois d'Acajou,Portugal,1,Nombre,100,,,100,,,,100,,,,
148,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Bois de soye,Portugal,16,Livre,40,,,40,,,,640,,,,
149,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Beure,Portugal,320,Livre,,10,,"0,5",,,,160,,,,
150,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Bougie,Portugal,380,Livre,,45,,"2,25",,,,855,,,,
151,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Chapeaux castors,Portugal,222,Pièce,18,,,18,,,,3996,,,,
152,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Clouds de fer,Portugal,9280,Livre,,6,,"0,3",,,,2784,,,,
153,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Confiture,Portugal,100,Livre,,20,,1,,,,100,,,,
154,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Coutils,Portugal,5935,Livre,,24,,"1,2",,,,7122,,,,
155,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Crin,Portugal,1400,Livre,,12,,"0,6",,,,840,,,,
156,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Cuirs de vache corroyés,Portugal,1050,Livre,,18,,"0,9",,,,945,,,,
157,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Cuirs de vache tannés,Portugal,369,Livre,,10,,"0,5",,,,"184,5",,,,
158,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Culottes de chamois,Portugal,5,Douzaine,48,,,48,,,,240,,,,
159,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Culottes de peaux de daim,Portugal,8,Douzaine,96,,,96,,,,768,,,,
160,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Drap de Carcassonne,Portugal,1084,Aune,12,,,12,,,,13008,,,,
161,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Drogueries,Portugal,100,Livre,,40,,2,,,,200,,,,
162,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Eau de vie,Portugal,2732,Velte,2,8,,"2,4",,,,"6556,8",,,,
163,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Etamine de laine,Portugal,3136,Aune,4,,,4,,,,12544,,,,
164,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Farine,Portugal,60,Baril,30,,,30,,,,1800,,,,
165,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Fayance,Portugal,"19,5",Douzaine,3,5,,"3,25",,,,"63,38",,,,
166,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Fayole,Portugal,57,Tonneau,120,,,120,,,,6840,,,,
167,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Fer en fléaux,Portugal,600,Livre,,10,,"0,5",,,,300,,,,
168,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Fer en grapins,Portugal,7300,Livre,,5,,"0,25",,,,1825,,,,
169,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Indigo,Portugal,156,Livre,6,,,6,,,,936,,,,
170,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Peaux de daim,Portugal,216,Douzaine,72,,,72,,,,15552,,,,
171,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Peaux de mouton aprêtées,Portugal,50002,Livre,,20,,1,,,,50002,,,,
172,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Peaux de veau corroyées,Portugal,9999,Douzaine,28,,,28,,,,279972,,,,
173,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Serge de laine,Portugal,8700,Aune,,25,,"1,25",,,,10875,,,,
174,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Sirop melasse,Portugal,115422,Livre,"0,08",,,"0,08",,,,"9233,76",,,Prix unitaire en pourcentage,
175,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Souliers,Portugal,120,Paire,4,,,4,,,,480,,,,
176,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Tabac,Portugal,30,Livre,4,,,4,,,,120,,,,
177,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Thé,Portugal,9510,Livre,3,15,,"3,75",,,,"35662,5",,,,
178,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Toile de Bretagne,Portugal,77364,Livre,3,10,,"3,5",,,,270774,,,,
179,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Vin de Bordeaux,Portugal,750,Bouteille,,12,,"0,6",,,,450,,,,
180,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Vin nantois,Portugal,6,Tonneau,100,,,100,,,,600,,,,
181,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Sel,Russie,378,Muid,60,,,60,,,,22680,,,,
182,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Sel,Russie,154,Charge,30,,,30,,,,4620,,,,
183,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Sel,Russie,7,Sac,9,,,9,,,,63,,,,
184,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Anis verds,Suède,260,Tonneau,200,,,200,,,,52000,,,,
185,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,7,Caffé des Isles,Suède,4175,Livre,,18,,"0,9",,,,"3757,5",,,,
186,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Camelot de laine,Suède,6,Aune,,50,,"2,5",,,,15,,,,
187,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Eau de vie,Suède,"21,33",Barique,70,,,70,,,,"1493,1",,,,
188,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Eau de vie,Suède,2,Ancre,11,,,11,,,,22,,,,
189,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Eau de vie,Suède,689,Velte,2,8,,"2,4",,,,"1653,6",,,,
190,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Fer en marmites,Suède,400,Pièce,,30,,"1,5",,,,600,,,,
191,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Gomme du Sénégal,Suède,1152,Livre,,26,,"1,3",,,,"1497,6",,,,
192,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Indigo,Suède,2075,Livre,6,,,6,,,,12450,,,,
193,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Savon,Suède,907,Muid,60,,,60,,,,54420,,,,
194,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Sirop melasse,Suède,600,Livre,"0,08",,,"0,08",,,,48,,,Prix unitaire en pourcentage,
195,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Sucre brut,Suède,2600,Livre,"0,21",,,"0,21",,,,546,,,Prix unitaire en pourcentage,
196,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Sucre terré,Suède,185036,Livre,"0,56",,,"0,56",,,,"103620,16",,,Prix unitaire en pourcentage,
197,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Toile de cotton,Suède,36,Aune,,50,,"2,5",,,,90,,,,
198,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Vin d'Amont,Suède,2,Barique,41,,,41,,,,82,,,,
199,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Vin de Bordeaux,Suède,2,Tierçon,45,,,45,,,,90,,,,
200,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Vin nantois,Suède,6,Tonneau,100,,,100,,,,600,,,,
201,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Vinaigre,Suède,3,Barique,36,,,36,,,,108,,,,
202,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Vinaigre,Suède,11,Quart,10,,,10,,,,110,,,,
203,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Bœuf sallé,Guinée,5,Baril,35,,,35,,,,175,,,,
204,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Beure,Guinée,140,Livre,,10,,"0,5",,,,70,,,,
205,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Cauris,Guinée,1100,Livre,,16,,"0,8",,,,880,,,,
206,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Eau de vie,Guinée,2514,Velte,2,8,,"2,4",,,,"6033,6",,,,
207,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Pierres a fusil,Guinée,20000,Nombre,,"0,04",,"0,002",,,,40,,,Prix unitaire en millier,
208,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Pipes a fumer,Guinée,14,Grosse,,45,,"2,25",,,,"31,5",,,,
209,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Toile cholet,Guinée,400,Livre,3,10,,"3,5",,,,1400,,,,
210,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,8,Vin nantois,Guinée,1,Tonneau,100,,,100,,,,100,,,,
211,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Ardoises,Isles françoises de l'Amérique,1198,Millier,20,,,20,,,,23960,,,,
212,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Bas de fil,Isles françoises de l'Amérique,320,Livre,6,,,6,,,,1920,,,,
213,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Bœuf salé,Isles françoises de l'Amérique,164,Baril,35,,,35,,,,5740,,,,
214,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Bœuf salé,Isles françoises de l'Amérique,45,Tierçon,50,,,50,,,,2250,,,,
215,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Bœuf salé,Isles françoises de l'Amérique,3000,Livre,,5,,"0,25",,,,750,,,,
216,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Beure,Isles françoises de l'Amérique,48458,Livre,,10,,"0,5",,,,24229,,,,
217,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Biére,Isles françoises de l'Amérique,74,Barique,25,,,25,,,,1850,,,,
218,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Bois merrain,Isles françoises de l'Amérique,17600,Douëlle,,8,,"0,4",,,,7040,,,Bois à pipes,
219,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Bois merrain,Isles françoises de l'Amérique,9500,Douëlle,,4,,"0,2",,,,1900,,,Bois à tonneaux,
220,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Bougie,Isles françoises de l'Amérique,6050,Livre,,45,,"2,25",,,,"13612,5",,,,
221,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Boulets de canon,Isles françoises de l'Amérique,216,Nombre,,20,,1,,,,216,,,,
222,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Bray gras,Isles françoises de l'Amérique,10,Baril,22,,,22,,,,220,,,,
223,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Briques,Isles françoises de l'Amérique,30,Millier,18,,,18,,,,540,,,,
224,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Carreaux de terre,Isles françoises de l'Amérique,306,Millier,18,,,18,,,,5508,,,,
225,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Cartes a jouer,Isles françoises de l'Amérique,412,Livre,,45,,"2,25",,,,927,,,,
226,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Cercles a tonneaux,Isles françoises de l'Amérique,479,Fournitures,10,,,10,,,,4790,,,,
227,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Chandelles,Isles françoises de l'Amérique,11868,Livre,,10,,"0,5",,,,5934,,,,
228,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Chanvre cru,Isles françoises de l'Amérique,10100,Livre,18,3,9,"18,188",,,,"183693,75",,,,
229,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Chapeaux castors,Isles françoises de l'Amérique,838,Pièce,16,,,16,,,,13408,,,,
230,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Chapeaux my-castors,Isles françoises de l'Amérique,270,Pièce,10,,,10,,,,2700,,,,
231,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Charbon de terre,Isles françoises de l'Amérique,1212,Barique,10,,,10,,,,12120,,,,
232,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Clouds de fer,Isles françoises de l'Amérique,221428,Livre,,6,,"0,3",,,,"66428,4",,,,
233,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Confiture,Isles françoises de l'Amérique,120,Livre,,20,,1,,,,120,,,,
234,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Cordages,Isles françoises de l'Amérique,99880,Livre,,6,,"0,3",,,,29964,,,,
235,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Cuirs de beuf tannés,Isles françoises de l'Amérique,500,Livre,,12,,"0,6",,,,300,,,,
236,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Cuivre ouvré,Isles françoises de l'Amérique,1700,Livre,,30,,"1,5",,,,2550,,,,
237,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Drap de Carcassonne,Isles françoises de l'Amérique,430,Aune,8,,,8,,,,3440,,,,
238,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Drap d'Elbeuf,Isles françoises de l'Amérique,175,Aune,14,,,14,,,,2450,,,,
239,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,9,Drap de Languedoc,Isles françoises de l'Amérique,500,Aune,8,,,8,,,,4000,,,,
240,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Eau Samparielle,Isles françoises de l'Amérique,,Valeur,,,,,1100,,,,1100,,,
241,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Eau de vie,Isles françoises de l'Amérique,471,Velte,2,8,,"2,4",,,,"1130,4",,,,
242,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Epicerie,Isles françoises de l'Amérique,150,Livre,,40,,2,,,,300,,,,
243,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Etamine de laine,Isles françoises de l'Amérique,8820,Aune,,50,,"2,5",,,,22050,,,,
244,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Etoffe de soye,Isles françoises de l'Amérique,154,Livre,40,,,40,,,,6160,,,,
245,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Etoffe au quart de soye,Isles françoises de l'Amérique,108,Livre,12,,,12,,,,1296,,,,
246,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Farine,Isles françoises de l'Amérique,3285,Baril,30,,,30,,,,98550,,,,
247,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fayance,Isles françoises de l'Amérique,385,Douzaine,3,5,,"3,25",,,,"1251,25",,,,
248,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fayance,Isles françoises de l'Amérique,15630,Livre,,10,,"0,5",,,,7815,,,,
249,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fer en barres,Isles françoises de l'Amérique,52000,Livre,,3,,"0,15",,,,7800,,,,
250,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fer en bottes,Isles françoises de l'Amérique,130235,Livre,,3,,"0,15",,,,"19535,25",,,,
251,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fer en chaudières,Isles françoises de l'Amérique,15400,Livre,"0,13","0,02","0,06","0,131",,,,"2021,25",,,Prix unitaire en pourcentage,
252,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fer en grilles,Isles françoises de l'Amérique,46916,Livre,,4,,"0,2",,,,"9383,2",,,,
253,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fer en marmites,Isles françoises de l'Amérique,3070,Livre,,3,,"0,15",,,,"460,5",,,,
254,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fer ouvré,Isles françoises de l'Amérique,4488,Livre,,6,,"0,3",,,,"1346,4",,,,
255,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Ferremens ouvré,Isles françoises de l'Amérique,13137,Livre,,8,,"0,4",,,,"5254,8",,,,
256,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Ficelle,Isles françoises de l'Amérique,220,Livre,,20,,1,,,,220,,,,
257,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fil à coudre,Isles françoises de l'Amérique,3020,Livre,,40,,2,,,,6040,,,,
258,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fromage de Gruyère,Isles françoises de l'Amérique,15841,Livre,,10,,"0,5",,,,"7920,5",,,,
259,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fromage de Hollande,Isles françoises de l'Amérique,500,Livre,,6,,"0,3",,,,150,,,,
260,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Fruits cuits,Isles françoises de l'Amérique,120,Livre,,6,,"0,3",,,,36,,,,
261,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Goudron,Isles françoises de l'Amérique,10,Baril,30,,,30,,,,300,,,,
262,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Graine de jardin,Isles françoises de l'Amérique,430,Livre,,20,,1,,,,430,,,,
263,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,"Haches, hoües et serpes",Isles françoises de l'Amérique,8170,Pièce,,20,,1,,,,8170,,,,
264,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Huile de graine,Isles françoises de l'Amérique,11770,Livre,,10,,"0,5",,,,5885,,,,
265,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Huile de lin,Isles françoises de l'Amérique,120,Livre,,8,,"0,4",,,,48,,,,
266,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Huile d'olive,Isles françoises de l'Amérique,8786,Livre,,16,,"0,8",,,,"7028,8",,,,
267,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Jambons,Isles françoises de l'Amérique,2462,Livre,,10,,"0,5",,,,1231,,,,
268,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Lard,Isles françoises de l'Amérique,13190,Livre,,8,,"0,4",,,,5276,,,,
269,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Lattes,Isles françoises de l'Amérique,15000,Pièce,"0,02",,,"0,015",,,,225,,,Prix unitaire en millier,
270,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Liqueurs,Isles françoises de l'Amérique,76,Pot,4,,,4,,,,304,,,,
271,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,10,Liqueurs,Isles françoises de l'Amérique,,Valeur,,,,0,300,,,0,,,,
272,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Mercerie,Isles françoises de l'Amérique,5180,Livre,3,10,,"3,5",,,,18130,,,,
