numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme
1217,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,4,Poivre,Hollande,9864.7,8578,Livres,1.15,0
1218,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,4,Poudre a tirer,Hollande,76335,109050,Livres,0.7,0
1219,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,4,Poix de Bourgogne,Hollande,600,3750,Livres,0.16,0
1220,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Prunes,Hollande,1249.8,2083,Livres,0.6,0
1221,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Photas,Hollande,1600,200,Pièces,8,0
1222,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Perpetuanne,Hollande,2325,1860,Aunes,1.25,0
1223,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Papier,Hollande,1765,353,Rames,5,0
1224,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Plumes a écrire,Hollande,600,400,Livres,1.5,0
1225,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Plumes a écrire,Hollande,604,30200,En nombre,0.02,0
1226,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Piastres,Hollande,288750,55000,Pièces,5.25,0
1227,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Poisles a frire,Hollande,3920,2240,En nombre,1.75,0
1228,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Pipes a fumer,Hollande,4394,2197,Grosses,2,0
1229,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Porcelaine,Hollande,1218.75,1875,Livres,0.65,0
1230,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Potterie de gray,Hollande,6.5,130,Livres,0.05,0
1231,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Pinceaux,Hollande,85,68,Livres,1.25,0
1232,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Pompes a incendie,Hollande,800,2,En nombre,400,0
1233,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de chêne 26 pieds,Hollande,1300,200,Pièces,6.5,0
1234,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de chêne 24 pieds,Hollande,2760,460,Pièces,6,0
1235,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de chêne de 12 pieds,Hollande,546,182,Pièces,3,0
1236,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de chêne 6 pieds,Hollande,6004.5,4003,Pièces,1.5,0
1237,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de sapin ; de 33 pieds,Hollande,330,60,Pièces,5.5,0
1238,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de sapin ; de 27 pieds,Hollande,8849.25,2185,Pièces,4.05,0
1239,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de sapin ; de 26 pieds,Hollande,5468,1367,Pièces,4,0
1240,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de sapin ; de 25 pieds,Hollande,5655.6,1571,Pièces,3.6,0
1241,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de sapin ; de 24 pieds,Hollande,1020,300,Pièces,3.4,0
1242,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de sapin ; de 22 pieds,Hollande,138.65,47,Pièces,2.95,0
1243,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de sapin ; de 12 pieds,Hollande,315,450,Pièces,0.7,0
1244,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de sapin ; de 10 pieds,Hollande,388.2,647,Pièces,0.6,0
1245,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de sapin ; de 9 pieds,Hollande,237.48,413,Pièces,0.575,0
1246,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Planches de sapin ; communes,Hollande,12203.1,34866,Pièces,0.35,0
1247,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Quincaillerie grosse de fer,Hollande,3975,3975,Livres,1,0
1248,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Rubarbe de Moscovie,Hollande,240,240,Livres,1,0
1249,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Rassade,Hollande,1909.8,2122,Livres,0.9,0
1250,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Raves de morue,Hollande,10224,568,Barils,18,0
1251,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Ruban de fil,Hollande,1316,658,Livres,2,0
1252,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Stoquefiche,Hollande,108,900,Livres,0.12,0
1253,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Scamonée,Hollande,290,29,Livres,10,0
1254,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Sanguine,Hollande,159.25,91,Livres,1.75,0
1255,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Souffre,Hollande,78.4,560,Livres,0.14,0
1256,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Savon noir,Hollande,18,50,Livres,0.36,0
1257,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Huile de grain a peinture,Hollande,311,311,Livres,1,0
1258,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Salempouris bleu,Hollande,48501,2853,Pièces,17,0
1259,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Soye de porc,Hollande,27,18,Livres,1.5,0
1260,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Thé,Hollande,48,12,Livres,4,0
1261,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Tamarins,Hollande,130,130,Livres,1,0
1262,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Tabac filé,Hollande,1880,3760,Livres,0.5,0
1263,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Tabac haché,Hollande,1860,3100,Livres,0.6,0
1264,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Tabagies,Hollande,10,2,En nombre,5,0
1265,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Tapsel,Hollande,34920,2910,Pièces,12,0
1266,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,5,Toile peinte,Hollande,5184,216,Pièces,24,0
1267,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Toile platille,Hollande,12200,3050,Livres,4,0
1268,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Toile de cotton,Hollande,3000,600,Livres,5,0
1269,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Toile de cotton bleuë,Hollande,8800,800,Pièces,11,0
1270,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Trompettes de fer,Hollande,6,12,Douzaines,0.5,0
1271,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Vin du Rhin,Hollande,450,3,Bariques,150,0
1272,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Vin du Rhin,Hollande,135,180,Bouteilles,0.75,0
1273,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Vin de Mozelle,Hollande,75.6,108,Bouteilles,0.7,0
1274,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Vitriol,Hollande,31,31,Livres,1,0
1275,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Vermillon,Hollande,100,25,Livres,4,0
1276,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Verroterie,Hollande,12694.5,16926,Livres,0.75,0
1277,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Violons,Hollande,72,12,En nombre,6,0
1278,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Vergues de sapin de 44 pieds,Hollande,660,11,Pièces,60,0
1279,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Azur commun,Nord qui comprend les villes ansceatiques et la Moscovie,13500,22500,Livres,0.6,0
1280,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Amidon,Nord qui comprend les villes ansceatiques et la Moscovie,31752,198450,Livres,0.16,0
1281,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Acier,Nord qui comprend les villes ansceatiques et la Moscovie,198,9,Barils,22,0
1282,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Acier,Nord qui comprend les villes ansceatiques et la Moscovie,484,2200,Livres,0.22,0
1283,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Bœuf fumé,Nord qui comprend les villes ansceatiques et la Moscovie,465,930,Livres,0.5,0
1284,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Bled seigle,Nord qui comprend les villes ansceatiques et la Moscovie,7200,120,Tonneaux,60,0
1285,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Brun rouge,Nord qui comprend les villes ansceatiques et la Moscovie,6570,1095,Livres,6,0
1286,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Boites de sapin,Nord qui comprend les villes ansceatiques et la Moscovie,72,72,Pièces,1,0
1287,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Bois d'Inde,Nord qui comprend les villes ansceatiques et la Moscovie,1296.75,9975,Livres,0.13,0
1288,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Bois de campeche,Nord qui comprend les villes ansceatiques et la Moscovie,2853.5,21950,Livres,0.13,0
1289,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Bourdilles,Nord qui comprend les villes ansceatiques et la Moscovie,120,600,Pièces,0.2,0
1290,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Bourdillons,Nord qui comprend les villes ansceatiques et la Moscovie,28,280,PIèces,0.1,0
1291,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Bordages de chesne,Nord qui comprend les villes ansceatiques et la Moscovie,4800,800,PIèces,6,0
1292,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Bois de construction,Nord qui comprend les villes ansceatiques et la Moscovie,1086,181,PIèces,6,0
1293,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Cabillaux,Nord qui comprend les villes ansceatiques et la Moscovie,552.5,2125,Livres,0.26,0
1294,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Cuir de Roussy,Nord qui comprend les villes ansceatiques et la Moscovie,2998,2998,Livres,1,0
1295,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Ceruses,Nord qui comprend les villes ansceatiques et la Moscovie,794,3970,Livres,0.2,0
1296,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Couperose verte,Nord qui comprend les villes ansceatiques et la Moscovie,2778,46300,Livres,0.06,0
1297,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Cire blanche en bougie,Nord qui comprend les villes ansceatiques et la Moscovie,814,370,Livres,2.2,0
1298,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Cire blanche non ouvrée,Nord qui comprend les villes ansceatiques et la Moscovie,386.1,234,Livres,1.65,0
1299,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Cire jaune,Nord qui comprend les villes ansceatiques et la Moscovie,18639.6,15533,Livres,1.2,0
1300,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Colle forte,Nord qui comprend les villes ansceatiques et la Moscovie,1831.5,3663,Livres,0.5,0
1301,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Cuivre rouge non ouvré,Nord qui comprend les villes ansceatiques et la Moscovie,42217.5,32475,Livres,1.3,0
1302,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Cuivre jaune en bassins,Nord qui comprend les villes ansceatiques et la Moscovie,1485,1100,Livres,1.35,0
1303,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Cristaux fondus,Nord qui comprend les villes ansceatiques et la Moscovie,0,20092,Livres,0,0
1304,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Caves garnies de 12 flacons,Nord qui comprend les villes ansceatiques et la Moscovie,350,35,nombre,10,0
1305,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Caves garnies de 9 flacons,Nord qui comprend les villes ansceatiques et la Moscovie,320,40,nombre,8,0
1306,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Caves garnies de 6 flacons,Nord qui comprend les villes ansceatiques et la Moscovie,550,110,nombre,5,0
1307,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Espars,Nord qui comprend les villes ansceatiques et la Moscovie,32,4,En nombre,8,0
1308,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Fromage,Nord qui comprend les villes ansceatiques et la Moscovie,91.98,511,Livres,0.18,0
1309,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Fil,Nord qui comprend les villes ansceatiques et la Moscovie,0,60,Livres,0,0
1310,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Fil de laton,Nord qui comprend les villes ansceatiques et la Moscovie,2137.5,1425,Livres,1.5,0
1311,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,6,Fer blanc,Nord qui comprend les villes ansceatiques et la Moscovie,41055,391,Barils,105,0
1312,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Fer noir,Nord qui comprend les villes ansceatiques et la Moscovie,1375,25,Barils,55,0
1313,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Fer en taule,Nord qui comprend les villes ansceatiques et la Moscovie,48,160,Livres,0.3,0
1314,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Fer de fonte ouvré,Nord qui comprend les villes ansceatiques et la Moscovie,60,400,Livres,0.15,0
1315,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Gaudron,Nord qui comprend les villes ansceatiques et la Moscovie,12408,1034,Barils,12,0
1316,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Jambons,Nord qui comprend les villes ansceatiques et la Moscovie,77.5,155,Livres,0.5,0
1317,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Indienne,Nord qui comprend les villes ansceatiques et la Moscovie,2960,148,Pièces,20,0
1318,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Limeneas,Nord qui comprend les villes ansceatiques et la Moscovie,18050,950,Pièces,19,0
1319,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Lin peigné,Nord qui comprend les villes ansceatiques et la Moscovie,14.4,48,Livres,0.3,0
1320,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Lin cru,Nord qui comprend les villes ansceatiques et la Moscovie,38.24,239,Livres,0.16,0
1321,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Mercerie,Nord qui comprend les villes ansceatiques et la Moscovie,1258,629,Livres,2,0
1322,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Mine de plomb,Nord qui comprend les villes ansceatiques et la Moscovie,98.4,656,Livres,0.15,0
1323,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Merrain a pipes Douelle,Nord qui comprend les villes ansceatiques et la Moscovie,5950,29750,Pièces,0.2,0
1324,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Merrain a bariques Douelle,Nord qui comprend les villes ansceatiques et la Moscovie,3038.25,20255,Pièces,0.15,0
1325,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Merrain fonçailles Douelle,Nord qui comprend les villes ansceatiques et la Moscovie,275,2750,Pièces,0.1,0
1326,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Mats de navire de 36 pieds,Nord qui comprend les villes ansceatiques et la Moscovie,720,12,Pièces,60,0
1327,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Mats de navire de 18 pieds,Nord qui comprend les villes ansceatiques et la Moscovie,22,4,Pièces,5.5,0
1328,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Noir de fumée,Nord qui comprend les villes ansceatiques et la Moscovie,800,4000,Barillets,0.2,0
1329,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Orpin,Nord qui comprend les villes ansceatiques et la Moscovie,88.2,588,Livres,0.15,0
1330,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Papier a écrire,Nord qui comprend les villes ansceatiques et la Moscovie,6,1,Rames,6,0
1331,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Piment,Nord qui comprend les villes ansceatiques et la Moscovie,2994,4990,Livres,0.6,0
1332,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Plomb en saumon,Nord qui comprend les villes ansceatiques et la Moscovie,61853,281150,Livres,0.22,0
1333,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Planches de chêne,Nord qui comprend les villes ansceatiques et la Moscovie,90,100,En nombre,0.9,0
1334,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Planches de sapin ; communes,Nord qui comprend les villes ansceatiques et la Moscovie,6490.4,18544,En nombre,0.35,0
1335,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Stocfiche,Nord qui comprend les villes ansceatiques et la Moscovie,154.2,1028,Livres,0.15,0
1336,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Sucre en pain,Nord qui comprend les villes ansceatiques et la Moscovie,45,75,Livres,0.6,0
1337,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Salempouris bleu,Nord qui comprend les villes ansceatiques et la Moscovie,1440,80,Pièces,18,0
1338,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Soliveaux de chesne de 13 pieds,Nord qui comprend les villes ansceatiques et la Moscovie,100,20,Pièces,5,0
1339,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Tete de geroffle,Nord qui comprend les villes ansceatiques et la Moscovie,3828.5,403,Livres,9.5,0
1340,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Toile peinte,Nord qui comprend les villes ansceatiques et la Moscovie,17328,722,PIèces,24,0
1341,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Toile bleuë,Nord qui comprend les villes ansceatiques et la Moscovie,1430,130,PIèces,11,0
1342,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Toile platille,Nord qui comprend les villes ansceatiques et la Moscovie,133460,33365,Pièces,4,0
1343,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Verroterie,Nord qui comprend les villes ansceatiques et la Moscovie,15291,20388,Livres,0.75,0
1344,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Acier,Dannemarck,277.2,1260,Livres,0.22,0
1345,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Bray gras,Dannemarck,1140,95,Barils,12,0
1346,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Bariques vuides,Dannemarck,75,100,En nombre,0.75,0
1347,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,barres d'anspecs,Dannemarck,152,608,En nombre,0.25,0
1348,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Bouts de planches de 4 pieds,Dannemarck,140.4,1404,En nombre,0.1,0
1349,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Cire jaune,Dannemarck,83.2,64,Livres,1.3,0
1350,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Cuivre en mitraille,Dannemarck,129.6,162,Livres,0.8,0
1351,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1738,Imports,Nantes,7,Chevrons de sapin de 15 pieds,Dannemarck,125,50,Pièces,2.5,0
