numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,remarks
91,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Riz,Possessions suédoises,2500,Articles de marchandises permis par l'arrêt du 30 août 1784
92,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Riz,Possessions Hollandaises,1579,Articles de marchandises permis par l'arrêt du 30 août 1784
93,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bierre,Possessions des États-Unis de l'Amérique,1050,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
94,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bierre,Possessions Espagnoles,3660,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
95,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bierre,Possessions Anglaises,49158,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
96,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bierre,Possessions Hollandaises,41540,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
97,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Cacao,Possessions Espagnoles,63925,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
98,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Caffé,Possessions Espagnoles,3250,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
99,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Caffé,Possessions Anglaises,9850,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
100,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Caffé,Possessions Hollandaises,66451,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
101,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Côtes de baleine,Possessions Portugaises,42000,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
102,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Coton,Possessions Danoises,2840,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
103,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Coton,Possessions Espagnoles,31040,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
104,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Dents d'éléphant,Possessions Anglaises,20000,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
105,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Farine,Possessions des États-Unis de l'Amérique,240444,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
106,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Farine,Possessions Espagnoles,83132,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
107,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Farine,Possessions Anglaises,127765,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
108,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Farine,Possessions Danoises,23700,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
109,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Farine,Possessions suédoises,10990,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
110,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Farine,Possessions Hollandaises,160836,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
111,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Fromage,Possessions des États-Unis de l'Amérique,2800,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
112,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Huile de poisson,Possessions des États-Unis de l'Amérique,165097,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
113,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Huile de poisson,Possessions Portugaises,56000,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
114,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Huile de poisson,Possessions Danoises,1000,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
115,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Huile de poisson,Possessions Hollandaises,5660,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
116,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Indigo,Possessions des États-Unis de l'Amérique,1600,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
117,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Indigo,Possessions Espagnoles,10940,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
118,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Objets divers,Possessions des États-Unis de l'Amérique,337103,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
119,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Objets divers,Possessions Espagnoles,302568,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
120,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Objets divers,Possessions Portugaises,1472,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
121,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Objets divers,Possessions Anglaises,135133,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
122,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Objets divers,Possessions Danoises,7707,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
123,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Objets divers,Possessions suédoises,5708,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
124,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Objets divers,Possessions Hollandaises,79473,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
125,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Rum,Possessions des États-Unis de l'Amérique,26949,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
126,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Rum,Possessions Espagnoles,1600,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
127,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Rum,Possessions Anglaises,36955,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
128,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Rum,Possessions suédoises,8600,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
129,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Sel,Possessions des États-Unis de l'Amérique,14020,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
130,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Sel,Possessions Portugaises,31100,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
131,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Sel,Possessions Anglaises,49484,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
132,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Sel,Possessions Hollandaises,4893,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
133,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Sucre blanc,Possessions Anglaises,1200,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
134,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Sucre blanc,Possessions Hollandaises,7500,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
135,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Tabac,Possessions des États-Unis de l'Amérique,501648,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
136,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Tabac,Possessions Espagnoles,35649,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
137,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Tabac,Possessions Anglaises,1058,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
138,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Tabac,Possessions Danoises,7294,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
139,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Tabac,Possessions suédoises,23430,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
140,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Tabac,Possessions Hollandaises,2094,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
141,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Toileries de toute sorte,Possessions des États-Unis de l'Amérique,2441,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
142,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Toileries de toute sorte,Possessions Espagnoles,196207,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
143,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Toileries de toute sorte,Possessions Anglaises,33661,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
144,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Toileries de toute sorte,Possessions Hollandaises,21203,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
145,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Vins divers,Possessions des États-Unis de l'Amérique,3100,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
146,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Vins divers,Possessions Espagnoles,19580,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
147,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Vins divers,Possessions Anglaises,64360,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
148,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Volailles,Possessions des États-Unis de l'Amérique,82404,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
151,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Denrées des colonies rum,Possessions Anglaises,70550,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1786
157,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Denrées des colonies sirop,Possessions Anglaises,303935,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1792
163,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Denrées des colonies tafia,Possessions Anglaises,4800,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1798
170,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Chaudières et marmites de ???,Possessions Anglaises,2000,2nde classe marchandises originaires de France
177,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Eau de vie,Possessions Anglaises,31928,2nde classe marchandises originaires de France
183,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Farine,Possessions Anglaises,10325,2nde classe marchandises originaires de France
192,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Fruits secs,Possessions Anglaises,2395,2nde classe marchandises originaires de France
196,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Huile d'olive,Possessions Anglaises,4849,2nde classe marchandises originaires de France
201,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Liqueurs diverses,Possessions Anglaises,13512,2nde classe marchandises originaires de France
207,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Marchandises sèches,Possessions Anglaises,17545,2nde classe marchandises originaires de France
213,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Parfumerie diverse,Possessions Anglaises,1166,2nde classe marchandises originaires de France
218,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Savon,Possessions Anglaises,27398,2nde classe marchandises originaires de France
224,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Sel,Possessions Anglaises,13146,2nde classe marchandises originaires de France
232,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Toilerie de toute sorte,Possessions Anglaises,1782,2nde classe marchandises originaires de France
240,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Vin de France,Possessions Anglaises,81020,2nde classe marchandises originaires de France
246,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Vin de liqueur et étranger,Possessions Anglaises,1650,2nde classe marchandises originaires de France
250,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Bestiaux et animaux,Possessions Anglaises,5340,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
255,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Bêtes de somme,Possessions Anglaises,17720,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
266,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Bois de construction,Possessions Anglaises,120958,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
272,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Merrain et feuillard,Possessions Anglaises,26611,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
278,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Bois de toute sorte,Possessions Anglaises,29235,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
284,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,"Brai, goudron, térébenthine",Possessions Anglaises,1000,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
288,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Chairs salées,Possessions Anglaises,7960,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
298,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Cuirs en poil,Possessions Anglaises,1500,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
300,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Dents d'éléphants,Possessions Anglaises,20000,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
309,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Huile de poisson et à brûler,Possessions Anglaises,5940,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
315,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Mays,Possessions Anglaises,7272,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
320,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Nègres,Possessions Anglaises,141000,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
328,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Morue,Possessions Anglaises,6075,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
333,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Riz,Possessions Anglaises,8872,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
342,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Exports,Colonies Françaises de l'Amérique,5,Tabac,Possessions Anglaises,3060,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France
