numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
258,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,12,Exports,Terraille commune,Marseille,Pour l'Angleterre,131750,Livres,"0,07",9222,"0,5",
259,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,12,Exports,Thé,Marseille,Pour l'Angleterre,153,Livres,4,612,0,
260,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,12,Exports,Toile d'antioche,Marseille,Pour l'Angleterre,100,Pieces,6,600,0,
261,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,12,Exports,Toile blanche,Marseille,Pour l'Angleterre,"1847,5",Livres,4,7390,0,
262,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,12,Exports,Toile caissie,Marseille,Pour l'Angleterre,60,Pieces,6,360,0,
263,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,12,Exports,Toile crüe et teinte,Marseille,Pour l'Angleterre,18,Livres,"1,5",27,0,
264,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Toile de laval,Marseille,Pour l'Angleterre,24,Livres,"1,5",36,0,
265,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Treilly,Marseille,Pour l'Angleterre,"6,75",Livres,"1,1",7,"0,43",
266,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Vaches en vie,Marseille,Pour l'Angleterre,185,Livres,50,9250,0,
267,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Veaux en vie,Marseille,Pour l'Angleterre,42,Livres,20,840,0,
268,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Vermichel,Marseille,Pour l'Angleterre,2332,Livres,"0,2",466,"0,4",
269,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Verres a boire,Marseille,Pour l'Angleterre,443,Livres,1,443,0,
270,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Vin rouge,Marseille,Pour l'Angleterre,4,Charges,18,72,0,
271,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Vin rouge,Marseille,Pour l'Angleterre,"9204,25",Milleroles,6,55225,"0,5",9204 milleroles 1/4
272,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Vin rouge,Marseille,Pour l'Angleterre,13,Pots,"0,1",1,"0,3",
273,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Vinaigre,Marseille,Pour l'Angleterre,50,Livres,,6,,Pas de prix à l'unité
274,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Vitriol de chipres,Marseille,Pour l'Angleterre,100,Livres,"0,75",75,0,
275,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Alun,Marseille,Pour le Nord,6225,Livres,"0,15",933,"0,75",
276,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Amandes cassées,Marseille,Pour le Nord,1117238,Livres,"0,2",223447,"0,6",
277,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Anchois,Marseille,Pour le Nord,13095,Livres,"0,5",6547,"0,5",
278,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Baleine coupée,Marseille,Pour le Nord,590,Livres,5,2950,0,
279,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Beaume du Perou,Marseille,Pour le Nord,388,Livres,5,1940,0,
280,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Bois de noyer,Marseille,Pour le Nord,33,Pieces,10,330,0,
281,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Bois d'olivier pelé,Marseille,Pour le Nord,10200,Livres,"0,09",918,0,
282,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Cacao,Marseille,Pour le Nord,614,Livres,"1,4",859,"0,6",
283,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Caffé des Isles,Marseille,Pour le Nord,9015,Livres,"0,6",5409,0,
284,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,13,Exports,Caffé du levant,Marseille,Pour le Nord,958,Livres,"1,5",1437,0,
285,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Cantarides,Marseille,Pour le Nord,33,Livres,"0,2",6,"0,6",
286,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Capres,Marseille,Pour le Nord,139800,Livres,"0,22",30756,0,
287,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Cendre gravelée,Marseille,Pour le Nord,600,Livres,"0,1",60,0,
288,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Cercles de bois,Marseille,Pour le Nord,7,Milliers,18,126,0,
289,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Champignons secs,Marseille,Pour le Nord,300,Livres,3,900,0,
290,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Cire jaune,Marseille,Pour le Nord,2214,Livres,"1,2",2656,"0,8",
291,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Citrons,Marseille,Pour le Nord,25,Milliers,8,200,0,
292,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Confitures,Marseille,Pour le Nord,3867,Livres,1,3867,0,
293,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Corail de jardin,Marseille,Pour le Nord,516,Livres,"0,1",51,"0,6",
294,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Cotton filé,Marseille,Pour le Nord,1879,Livres,"1,1",2066,"0,9",
295,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Cotton en laine,Marseille,Pour le Nord,498479,Livres,"0,5",249239,"0,5",
296,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Cresme de tartre,Marseille,Pour le Nord,16150,Livres,"0,4",6460,0,
297,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Culs d'artichaux,Marseille,Pour le Nord,100,Livres,3,300,0,
298,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Cumin,Marseille,Pour le Nord,124875,Livres,"0,17",21228,"0,75",
299,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Drogueries,Marseille,Pour le Nord,992,Livres,1,992,0,
300,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Eau de raisine,Marseille,Pour le Nord,180,Livres,"0,1",18,0,
301,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Eau de la reyne d'Hongrie,Marseille,Pour le Nord,1257,Livres,"0,75",942,"0,75",
302,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Eau de vie,Marseille,Pour le Nord,125779,Livres,"0,2",25155,"0,8",
303,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Encens,Marseille,Pour le Nord,9636,Livres,1,9636,0,
304,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Eponges,Marseille,Pour le Nord,2491,Livres,1,2491,0,
305,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Essence,Marseille,Pour le Nord,10030,Livres,1,10030,0,
306,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Fayance,Marseille,Pour le Nord,450,Livres,"0,5",225,0,
307,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,14,Exports,Fil de chevre,Marseille,Pour le Nord,610,Livres,3,1830,0,
308,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Fleur de souffre,Marseille,Pour le Nord,700,Livres,"0,18",126,0,
309,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Gales de levant,Marseille,Pour le Nord,194125,Livres,"0,6",116475,0,
310,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Gaude pour teinture,Marseille,Pour le Nord,1475,Livres,"0,1",147,"0,5",
311,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Gomme adragan,Marseille,Pour le Nord,1835,Livres,1,1835,0,
312,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Gomme arabique,Marseille,Pour le Nord,2619,Livres,"0,35",916,"0,65",
313,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,graine d'avignon,Marseille,Pour le Nord,10475,Livres,"0,1",1047,"0,5",
314,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Graine de jardin,Marseille,Pour le Nord,1612,Livres,"1,25",2015,0,
315,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Huile d'aspic,Marseille,Pour le Nord,720,Livres,"0,15",108,0,
316,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Huile d'olive,Marseille,Pour le Nord,615,Milleroles,40,24600,0,
317,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Indigo,Marseille,Pour le Nord,491,Livres,"4,5",2209,"0,5",
318,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Iris de Florence,Marseille,Pour le Nord,4725,Livres,"0,24",1134,0,
319,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Jujubes,Marseille,Pour le Nord,1041,Livres,"0,05",52,"0,05",
320,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Jus de reglisse,Marseille,Pour le Nord,27446,Livres,"0,75",20584,"0,5",
321,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Laine lavée,Marseille,Pour le Nord,3469,Livres,"0,5",1734,"0,5",
322,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Liqueurs a boire,Marseille,Pour le Nord,6355,Livres,"0,75",4766,"0,25",
323,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Mane de calabre,Marseille,Pour le Nord,2456,Livres,"1,25",3070,0,
324,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Mhierre,Marseille,Pour le Nord,270,Livres,1,270,0,
325,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Morüe seche,Marseille,Pour le Nord,375,Livres,"0,15",56,"0,25",
326,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Noisettes,Marseille,Pour le Nord,2629,Livres,"0,05",131,"0,45",
327,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Oignons de fleurs,Marseille,Pour le Nord,346,Livres,"0,5",173,0,
328,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Olives,Marseille,Pour le Nord,8455,Livres,"0,15",1268,"0,25",
329,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,15,Exports,Oranges,Marseille,Pour le Nord,87,Milliers,4,348,0,
330,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Pistaches,Marseille,Pour le Nord,238,Livres,"0,5",119,0,
331,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Pruneaux,Marseille,Pour le Nord,154028,Livres,"0,2",30805,"0,6",
332,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Prunes brignolles,Marseille,Pour le Nord,10061,Livres,"0,2",2012,"0,2",
333,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Raisin sec,Marseille,Pour le Nord,295883,Livres,"0,2",59176,"0,6",
334,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Ris,Marseille,Pour le Nord,15225,Livres,"0,12",1827,0,
335,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Saffran,Marseille,Pour le Nord,596,Livres,20,11920,0,
336,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Saffranon,Marseille,Pour le Nord,36332,Livres,"0,65",23615,"0,8",
337,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Sagapin,Marseille,Pour le Nord,150,Livres,2,300,0,
338,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Savon madré,Marseille,Pour le Nord,129700,Livres,"0,3",38910,0,
339,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Savon blanc,Marseille,Pour le Nord,1000,Livres,"0,3",300,0,
340,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Sel armoniac,Marseille,Pour le Nord,16050,Livres,"0,8",12840,0,
341,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Sel dipsum,Marseille,Pour le Nord,600,Livres,"0,3",180,0,
342,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Sirop d'alkerme,Marseille,Pour le Nord,390,Livres,3,1170,0,
343,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Sirop de capilaire,Marseille,Pour le Nord,450,Livres,1,450,0,
344,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Souffre,Marseille,Pour le Nord,41100,Livres,"0,16",6576,0,
345,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Soye aprestée,Marseille,Pour le Nord,7430,Livres,20,148600,0,
346,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Squine,Marseille,Pour le Nord,6250,Livres,"1,5",9375,0,
347,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Storax,Marseille,Pour le Nord,646,Livres,"1,25",807,"0,5",
348,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Sucre blanc,Marseille,Pour le Nord,77000,Livres,"0,36",27720,0,
349,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Sucre brut,Marseille,Pour le Nord,53500,Livres,"0,25",13375,0,
350,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Sumac,Marseille,Pour le Nord,478,Livres,"0,2",95,"0,6",
351,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Tartre,Marseille,Pour le Nord,1225,Livres,"0,24",294,0,
352,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Terre d'ombre,Marseille,Pour le Nord,37850,Livres,"0,05",1892,"0,5",
353,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,16,Exports,Toile piquée de Marseille,Marseille,Pour le Nord,145,Livres,10,1450,0,
354,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Verdet,Marseille,Pour le Nord,54474,Livres,"0,8",43579,"0,2",
355,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Vin blanc,Marseille,Pour le Nord,3,Milleroles,15,45,0,
356,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Vin muscat,Marseille,Pour le Nord,2,Milleroles,60,120,0,
357,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Vin rouge,Marseille,Pour le Nord,252,Milleroles,6,1512,0,
358,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Vin rouge,Marseille,Pour le Nord,290,Livres,,15,,Erreur de calcul
359,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Vin tinto,Marseille,Pour le Nord,5,Milleroles,100,500,0,
360,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Vitriol de chipres,Marseille,Pour le Nord,654,Livres,"0,75",490,"0,5",
361,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Acier,Marseille,Pour l'Espagne,9050,Livres,"0,35",3167,"0,5",
362,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Ajamis,Marseille,Pour l'Espagne,43656,pieces,8,349248,0,
363,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Alun,Marseille,Pour l'Espagne,35800,Livres,"0,15",5370,0,
364,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Amandes cassées,Marseille,Pour l'Espagne,13123,Livres,"0,2",2624,"0,6",
365,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Amidon,Marseille,Pour l'Espagne,6523,Livres,"0,2",1304,"0,6",
366,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Anchois,Marseille,Pour l'Espagne,5807,Livres,"0,5",2903,"0,5",
367,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Anis,Marseille,Pour l'Espagne,10011,Livres,"0,2",2002,"0,2",
368,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Antimoine crû,Marseille,Pour l'Espagne,828,Livres,"0,35",289,"0,8",
369,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Antimoine preparé,Marseille,Pour l'Espagne,60,Livres,3,180,0,
370,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Avirons,Marseille,Pour l'Espagne,331,Paires,4,1324,0,
371,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Baleine coupée,Marseille,Pour l'Espagne,198,Livres,5,990,0,
372,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Bas de cotton,Marseille,Pour l'Espagne,200,Livres,5,1000,0,
373,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,17,Exports,Bas de fil,Marseille,Pour l'Espagne,246,Douzaines,36,8856,0,
