numrodeligne,dataentryby,source,sourcepath,sourectype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
258,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,9,1741,Exports,Anis,Marseille,Pour l'Espagne,8381,Livres,"0,2",1676,"0,2",
259,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,9,1741,Exports,Arcenic,Marseille,Pour l'Espagne,637,Livres,"0,25",159,"0,25",
260,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Antimoine,Marseille,Pour l'Espagne,538,Livres,"0,35",188,"0,3",
261,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Allun,Marseille,Pour l'Espagne,53325,Livres,"0,1",5332,"0,5",
262,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Azur commun,Marseille,Pour l'Espagne,5235,Livres,"0,6",3141,0,
263,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Amidon,Marseille,Pour l'Espagne,6700,Livres,"0,2",1340,0,
264,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Ajamis,Marseille,Pour l'Espagne,33147,Pieces,6,198882,0,
265,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Ajamis,Marseille,Pour l'Espagne,2685,Livres,"1,35",3624,"0,75",
266,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Amadou,Marseille,Pour l'Espagne,1036,Livres,"0,8",828,"0,8",
267,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Ameçons,Marseille,Pour l'Espagne,600,Livres,4,2400,0,
268,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Acier,Marseille,Pour l'Espagne,11600,Livres,"0,35",4060,0,
269,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Ancres de fer,Marseille,Pour l'Espagne,6825,Livres,"0,2",1365,0,
270,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Arquifou,Marseille,Pour l'Espagne,6958,Livres,"0,15",1043,"0,7",
271,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Avirons,Marseille,Pour l'Espagne,174,Paires,"3,5",609,0,
272,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Beuf salé,Marseille,Pour l'Espagne,425,Livres,"0,2",85,0,
273,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bled froment,Marseille,Pour l'Espagne,350,Charges,20,7000,0,
274,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Beurre,Marseille,Pour l'Espagne,1723,Livres,"0,3",516,"0,9",
275,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bas de soye,Marseille,Pour l'Espagne,36,Paires,10,360,0,
276,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bas de soye,Marseille,Pour l'Espagne,12526,Livres,40,501040,0,
277,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bas de filozelle,Marseille,Pour l'Espagne,1548,Paires,3,4644,0,
278,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bas de filozelle,Marseille,Pour l'Espagne,8793,Livres,15,131895,0,
279,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bas d'estames,Marseille,Pour l'Espagne,9689,Livres,10,96890,0,
280,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bas de laine,Marseille,Pour l'Espagne,33896,Livres,6,203376,0,
281,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bas de fil et bonnets,Marseille,Pour l'Espagne,387,Paires,"2,5",967,"0,5",
282,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bas de fil et bonnets,Marseille,Pour l'Espagne,317,Livres,5,1585,0,
283,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bas et bonnets de coton,Marseille,Pour l'Espagne,8765,Livres,5,43825,0,
284,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bonnets de laine,Marseille,Pour l'Espagne,555,Douzaines,12,6660,0,
285,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Bours de fil,Marseille,Pour l'Espagne,160,Pieces,2,320,0,
286,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Batanonis,Marseille,Pour l'Espagne,3018,Pieces,"2,5",7545,0,
287,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,10,1741,Exports,Batanonis,Marseille,Pour l'Espagne,1125,Livres,"1,25",1406,"0,25",
288,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Boutons de crin,Marseille,Pour l'Espagne,70,Douzaines,1,70,0,
289,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Bijouterie,Marseille,Pour l'Espagne,1364,Livres,50,68200,0,
290,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Baleine coupée,Marseille,Pour l'Espagne,267,Livres,5,1335,0,
291,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Babouches,Marseille,Pour l'Espagne,336,Paires,2,672,0,
292,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Bouteilles de verre,Marseille,Pour l'Espagne,950,Livres,"0,2",190,0,
293,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Bois de brezil,Marseille,Pour l'Espagne,26163,Livres,"0,25",6540,"0,75",
294,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Bois de campeche,Marseille,Pour l'Espagne,17500,Livres,"0,16",2800,0,
295,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Bois de fustel,Marseille,Pour l'Espagne,23225,Livres,"0,05",1161,"0,25",
296,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Bois de sandal,Marseille,Pour l'Espagne,650,Livres,"0,25",162,"0,5",
297,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Bois gayac,Marseille,Pour l'Espagne,575,Livres,"0,6",345,0,
298,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Citrons,Marseille,Pour l'Espagne,56,Milliers,17,952,0,
299,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Confitures,Marseille,Pour l'Espagne,44720,Livres,1,44720,0,
300,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Capres,Marseille,Pour l'Espagne,6650,Livres,"0,22",1463,0,
301,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Caffé de Levant,Marseille,Pour l'Espagne,669,Livres,"1,35",903,"0,15",
302,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Caffé de l'amerique,Marseille,Pour l'Espagne,12858,Livres,"0,5",6429,0,
303,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Cacao,Marseille,Pour l'Espagne,73627,Livres,"1,4",103077,"0,8",
304,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Canelle,Marseille,Pour l'Espagne,3598,Livres,"6,5",23387,0,
305,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Canefice,Marseille,Pour l'Espagne,12300,Livres,"0,25",3075,0,
306,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Chocolat,Marseille,Pour l'Espagne,100,Livres,"3,5",350,0,
307,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Cumin,Marseille,Pour l'Espagne,12325,Livres,"0,17",2095,"0,25",
308,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Ceruze,Marseille,Pour l'Espagne,6636,Livres,"0,2",1327,"0,2",
309,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Cochenille,Marseille,Pour l'Espagne,280,Livres,17,4760,0,
310,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Camfre,Marseille,Pour l'Espagne,4150,Livres,5,20750,0,
311,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Creme de tartre,Marseille,Pour l'Espagne,750,Livres,"0,35",262,"0,5",
312,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Corail,Marseille,Pour l'Espagne,196,Livres,8,1568,0,
313,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Coque de levant,Marseille,Pour l'Espagne,485,Livres,1,485,0,
314,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Colle de poisson,Marseille,Pour l'Espagne,164,Livres,3,492,0,
315,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Colle forte,Marseille,Pour l'Espagne,1455,Livres,"0,4",582,0,
316,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,11,1741,Exports,Couperoze verte,Marseille,Pour l'Espagne,44050,Livres,"0,09",3964,"0,5",
317,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cire blanche,Marseille,Pour l'Espagne,49154,Livres,"1,5",73731,0,
318,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cire jaune,Marseille,Pour l'Espagne,37429,Livres,"1,2",44914,"0,8",
319,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Chandelle,Marseille,Pour l'Espagne,13634,Livres,"0,45",6135,"0,3",
320,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cheveux,Marseille,Pour l'Espagne,100,Livres,30,3000,0,
321,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Crin de cheval,Marseille,Pour l'Espagne,1649,Livres,"0,6",989,"0,4",
322,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cotton filé,Marseille,Pour l'Espagne,120556,Livres,"1,1",132612,"-0,4",
323,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cotton en laine,Marseille,Pour l'Espagne,15101,Livres,"0,45",6795,"0,45",
324,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Chanvre cru,Marseille,Pour l'Espagne,127425,Livres,"0,18",22936,"0,5",
325,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Callemande,Marseille,Pour l'Espagne,314,Pieces,70,21980,0,
326,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Capots,Marseille,Pour l'Espagne,54,Pieces,10,540,0,
327,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Couverture de soye,Marseille,Pour l'Espagne,20,Nombre,40,800,0,
328,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Couvertures de laine,Marseille,Pour l'Espagne,318,Pieces,8,2544,0,
329,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Couvertures de cotton,Marseille,Pour l'Espagne,109,Nombre,6,654,0,
330,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Ceintures de soye,Marseille,Pour l'Espagne,12,Douzaines,144,1728,0,
331,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Ceintures de laine,Marseille,Pour l'Espagne,22,Douzaines,9,198,0,
332,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Chapeaux poil et laine,Marseille,Pour l'Espagne,2418,Douzaines,36,87048,0,
333,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,chapeaux de paille,Marseille,Pour l'Espagne,80,Douzaines,6,480,0,
334,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cordages de chanvre,Marseille,Pour l'Espagne,1000,Livres,"0,3",300,0,
335,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cordages d'espars,Marseille,Pour l'Espagne,21,Douzaines,5,105,0,
336,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cartes a jouer,Marseille,Pour l'Espagne,756,Grosses,18,13608,0,
337,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cartons,Marseille,Pour l'Espagne,1650,Livres,"0,15",247,"0,5",
338,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cuirs de beuf tannés,Marseille,Pour l'Espagne,454895,Livres,"0,6",272937,0,
339,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cuirs de beuf en poil,Marseille,Pour l'Espagne,17774,Pieces,18,319932,0,
340,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cuirs de beuf en poil,Marseille,Pour l'Espagne,55735,Livres,"0,4",22294,0,
341,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cristal,Marseille,Pour l'Espagne,400,Livres,2,800,0,
342,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cuivre ouvré,Marseille,Pour l'Espagne,410,Livres,"1,6",656,0,
343,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Cuivre tangoul,Marseille,Pour l'Espagne,19292,Livres,"0,9",17362,"0,8",
344,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,12,1741,Exports,Couteaux,Marseille,Pour l'Espagne,1350,Livres,2,2700,0,
345,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Clous de fer,Marseille,Pour l'Espagne,34987,Livres,"0,2",6997,"0,4",
346,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Cardes a carder,Marseille,Pour l'Espagne,125,Livres,"0,4",50,0,
347,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Craye,Marseille,Pour l'Espagne,450,Livres,"0,12",54,0,
348,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Chaises de paille,Marseille,Pour l'Espagne,49,Douzaines,18,882,0,
349,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Cercles de bois,Marseille,Pour l'Espagne,13,Milliers,25,325,0,
350,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Dattes,Marseille,Pour l'Espagne,11800,Livres,"0,15",1770,0,
351,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Drogueries,Marseille,Pour l'Espagne,67820,Livres,1,67820,0,
352,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Dentelle du puy,Marseille,Pour l'Espagne,45698,Livres,50,2284900,0,
353,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Drap londrin,Marseille,Pour l'Espagne,141348,Livres,7,989436,0,
354,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Draperie petite,Marseille,Pour l'Espagne,197355,Livres,3,592065,0,
355,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Demitte,Marseille,Pour l'Espagne,5342,Pieces,"2,5",13355,0,
356,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Dame jannes,Marseille,Pour l'Espagne,720,en nombre,2,1440,0,
357,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Douelles a tonneaux,Marseille,Pour l'Espagne,493,Tonneaux,6,2970,-12,Erreur de calcul
358,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Douelles a tonneaux,Marseille,Pour l'Espagne,10,Boutades,8,80,0,
359,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Echalottes,Marseille,Pour l'Espagne,1700,Livres,"0,15",255,0,
360,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Eau de vie,Marseille,Pour l'Espagne,59113,Livres,"0,2",11822,"0,6",
361,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Eau roze,Marseille,Pour l'Espagne,950,Livres,"0,5",475,0,
362,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Eau de melisse,Marseille,Pour l'Espagne,50,Livres,"1,5",75,0,
363,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Eau de la Reyne d'Hongrie,Marseille,Pour l'Espagne,2087,Livres,"0,75",1565,"0,25",
364,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Eau de fleurs d'horange,Marseille,Pour l'Espagne,200,Livres,"0,5",100,0,
365,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Eau forte,Marseille,Pour l'Espagne,807,Livres,"1,25",1008,"0,75",
366,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Essence,Marseille,Pour l'Espagne,1270,Livres,1,1270,0,
367,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Encens,Marseille,Pour l'Espagne,15675,Livres,"0,45",7053,"0,75",
368,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Etoffe or et argent,Marseille,Pour l'Espagne,16517,Livres,80,1321360,0,
369,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Etoffe de soye,Marseille,Pour l'Espagne,28320,Livres,40,1132800,0,
370,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Escamitte,Marseille,Pour l'Espagne,57,Pieces,2,114,0,
371,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Etoupes de soye,Marseille,Pour l'Espagne,150,Livres,1,150,0,
372,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,13,1741,Exports,Evantails,Marseille,Pour l'Espagne,50,Douzaines,30,1500,0,
