Data entry by,Source,Year,Sheet,Marchandises,Quantité,,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Leur Valeur (sub-total 3),Total,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de laine,5 900,,35 400,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de model,value,,11 500,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de passementerie,value,,109 100,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de porcelaine,value,,46 000,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de sellied,value,,83 300,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de sparlerie,value,,32 300,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de terre cuite,value,,182 500,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de tourelied,value,,58 000,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de verre en bassades,373 800,,163 300,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de tabletterie,value,,28 600,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; papier ; blanc à écrire,value,,247 700,,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; papeterie,value,,18 900,,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; parapluie,value,,18 200,,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; parfumerie,value,,17 100,,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; peaux appretées ; diverses,value,9600 - 65 040 ET 12 730,15 500,345 100,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; peaux appretées ; de castor,value,9600 - 65 040 ET 12 730,111 800,345 100,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; peaux appretées ; de chevret,9 600 ET 2 740,9600 - 65 040 ET 12 730,61 900,345 100,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; peaux appretées ; maroquin,36 000,9600 - 65 040 ET 12 730,77 300,345 100,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; peaux appretées ; dorigneaux,10 900,9600 - 65 040 ET 12 730,22 300,345 100,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; peaux appretées ; de veau,5 300,9600 - 65 040 ET 12 730,15 900,345 100,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; peaux appretées ; de dainm,10 100,9600 - 65 040 ET 12 730,40 400,345 100,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; pelletterie appretée ; diverse,value,,381 000,463 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; pelletterie appretée ; d'ours,value,,82 800,463 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; pierres fausses mon montées,3 000,,123 700,,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; poterie ; de terre et de gres de verre,value,,566 600,578 000,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; poterie ; Jarres,3 800,,11 400,578 000,,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; quincaillerie ; diverse,value,,2 118 700,4 221 700,,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; quincaillerie ; d'acier,value,,32 600,4 221 700,,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; quincaillerie ; de cuivre,value,,497 100,4 221 700,,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; quincaillerie ; de cuivre et acier,7 900,,15 600,4 221 700,,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; quincaillerie ; de fer; diverse,value,,1 131 800,1 188 700,4 221 700,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; quincaillerie ; de fer; fil,76 000,,56 900,1 188 700,4 221 700,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; quincaillerie ; de fer-acier ; diverse,value,,107 300,369 000,4 221 700,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; quincaillerie ; de fer-acier ; faux,value,,232 900,369 000,4 221 700,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; quincaillerie ; de fer-acier ; livres,value,,28 800,369 000,4 221 700,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; Savon,91 600,,45 800,,,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; tableaux,value,,132 900,,,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; tapis,value,,23 100,,,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; terraille,338 900,,103 500,,,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; Ustenciles de peche,value,,54 100,,,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; verrerie diverse,value,,513 500,,,,16 555 000,
Fatima Zahra,,1788,22,Objets d'industrie etrangere ; voitures,value,,624 300,,,,16 555 000,
Fatima Zahra,,1788,22,Comestibles ; divers,value,,12 400,,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; amandes,524 250,,295 500,,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; beurre,3 503 900,,2 842 800,,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; cacao,2 454 200,,2 060 200,,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; caffé,275 780,,561 500,,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; chair salée ; diverse,value,12 386 300 et 1342 et 111 200,111 200,4 413 400,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; chair salée ; de beuf,117 ET 7 547 400,12 386 300 et 1342 et 111 200,2 463 900,4 413 400,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; chair salée ; de porc,1 225 ET 4838 900,12 386 300 et 1342 et 111 200,1 838 300,4 413 400,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; farine,4 606 000,,828 200,,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; fromage,16 900 ET 8 682 600,,4 146 500,,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; fruits ; divers ,value,,101 300,2 234 900,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; fruits ; cruds ; divers,value,,621 800,1 566 200,2 234 900,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; fruits ; cruds ; oranges et citrons,600 ET15 866 200,,944 400,1 566 200,2 234 900,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; fruits ; confits en confitures,37 200,,28 000,2 234 900,,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; fruits ; secs ; divers,123 000,2 571 290,37 100,539 400,2 234 900,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; fruits ; secs ; noix et noisettes,217 300,2 571 290,32 500,539 400,2 234 900,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; fruits ; secs ; pistaches,12 440,2 571 290,24 800,539 400,2 234 900,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; fruits ; secs ; lignes,922 250,2 571 290,142 100,539 400,2 234 900,,62 227 400,
Fatima Zahra,,1788,22,Comestibles ; fruits ; secs ; raisin,1 296 300,2 571 290,302 900,539 400,2 234 900,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; grains ; de toutes sortes,value,92 339 100 ET 88 100,88 100,11 231 100,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; grains ; avoine,1 288 200,92 339 100 ET 88 100,71 000,11 231 100,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; grains ; froment,77 640 800,92 339 100 ET 88 100,8 837 400,11 231 100,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; grains ; millet,237 100,92 339 100 ET 88 100,28 400,11 231 100,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; grains ; orge,3 690 100,92 339 100 ET 88 100,193 100,11 231 100,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; grains ; seigle,1 434 600,92 339 100 ET 88 100,130 300,11 231 100,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; grains ; ris,8 048 300,92 339 100 ET 88 100,1 882 800,11 231 100,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; huile d'olive,49 253 700,,27 454 600,,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; legumes ; divers,value,4 234 700 ET 964 200,964 200,1 196 600,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; legumes ; feves,3 817 200,4 234 700 ET 964 200,190 700,1 196 600,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; legumes ; haricots,276 600,4 234 700 ET 964 200,24 800,1 196 600,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; legumes ; poix,140 900,4 234 700 ET 964 200,16 900,1 196 600,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; Pate en vermichel,1 082 600,,357 900,,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; poisson ; frais ; divers,value,,818 400,835 400,2 739 700,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; poisson ; frais ; huitres,value,,17 000,835 400,2 739 700,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; poisson ; salé ; divers,value,9 664 600 et 3 561 et 586 300,493 400,1 359 800,2 739 700,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; poisson ; salé ; harengs,value,9 664 600 et 3 561 et 586 300,92 900,1 359 800,2 739 700,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; poisson ; salé ; macquereaux,134 ET 1 646 800,9 664 600 et 3 561 et 586 300,164 000,1 359 800,2 739 700,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; poisson ; salé ; morue,1 574 500,9 664 600 et 3 561 et 586 300,315 400,1 359 800,2 739 700,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; poisson ; salé ; Rognes de maquercaux,3427-7900,9 664 600 et 3 561 et 586 300,175 700,1 359 800,2 739 700,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; poisson ; salé ; stocfiche,349 700,9 664 600 et 3 561 et 586 300,89 600,1 359 800,2 739 700,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; poisson ; salé ; Saumon,85 700,9 664 600 et 3 561 et 586 300,28 800,1 359 800,2 739 700,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; poisson ; salé et marinés en anchois,20 100 - 813 600,,544 500,2 739 700,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; sel ; ordinaire,1 638,1 638ET 1 218 400,197 800,441 400,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; sel ; de roche,1 218 400,1 638ET 1 218 400,243 600,441 400,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; sucre ; divers,24 600,810 450,12 300,596 400,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; sucre ; candy,130 700,810 450,130 700,596 400,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; sucre ; rafiné,608 150,810 450,424 000,596 400,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; sucre ; terré,47 000,810 450,29 400,596 400,,,62 227 400,
Fatima Zahra,,1788,24,Comestibles ; thé,25 200ET 213800,,814 300,,,,62 227 400,
Fatima Zahra,,1788,24,Boissons ; bierre,10 500 ET 9 671,,520 300,,,,8 859 400,
Fatima Zahra,,1788,24,Boissons ; eau de vie ; de genievre et de grain,12 674,41 782,2 015 700,7 156 600,,,8 859 400,
Fatima Zahra,,1788,24,Boissons ; eau de vie ; de vin,29 108,41 782,5 140 900,7 156 600,,,8 859 400,
Fatima Zahra,,1788,24,Boissons ; liqueurs diverses,105 et 172 ,,30 600,,,,8 859 400,
Fatima Zahra,,1788,24,Boissons ; Jus de limon,550 et 240 ,,50 700,,,,8 859 400,
Fatima Zahra,,1788,26,Boissons ; Rhum,165,,40 900,,,,8 859 400,
Fatima Zahra,,1788,26,Boissons ; taffis,653,,168 000,,,,8 859 400,
Fatima Zahra,,1788,26,Boissons ; vins ; divers,value,,262 900,892 300,,,8 859 400,
Fatima Zahra,,1788,26,Boissons ; vins ; de liqueur,24 300 -577 et 3 324,,629 400,892 300,,,8 859 400,
Fatima Zahra,,1788,26,"Bestiaux ; divers en bœufs, porcs , moutons",value,,6 408 500,,,,9 532 500,
Fatima Zahra,,1788,26,Bestiaux ; betes de somme,9 117,,3 124 000,,,,9 532 500,
Fatima Zahra,,1788,26,Drogues ; mélées diverses,value,,555 300,,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; gommes ; diverses,value,344 750 et 12 000,12 000,524 700,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; gommes ; adragaute,104 250,344 750 et 12 000,250 200,524 700,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; gommes ; arabique,42 760,344 750 et 12 000,49 100,524 700,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; gommes ; de barbarie,17 300,344 750 et 12 000,12 000,524 700,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; gommes ; elastique,1 000,344 750 et 12 000,20 600,524 700,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; gommes ; commune,121 040,344 750 et 12 000,60 500,524 700,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; gommes ; gutte,2 400,344 750 et 12 000,12 100,524 700,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; gommes ; lacque,35 700,344 750 et 12 000,91 500,524 700,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; gommes ; sandarac,20 300,344 750 et 12 000,16 700,524 700,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; divers,value,1 514 540 et 222 900,211 900,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; camphre ,4 500,1 514 540 et 222 900,18 500,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; capilaire,value,1 514 540 et 222 900,11 000,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; cassia lignea,17 680,1 514 540 et 222 900,49 400,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; creme de tartre,38 300,1 514 540 et 222 900,13 700,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; jalap,20 860,1 514 540 et 222 900,34 000,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; jus de regline,446 200,1 514 540 et 222 900,208 900,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; Ipecaeuncha,2 599,1 514 540 et 222 900,19 600,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; Manne,554 739,1 514 540 et 222 900,693 300,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; quinquins,48 170,1 514 540 et 222 900,315 600,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; Reglisse en bois,241 700,1 514 540 et 222 900,28 000,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; Rhubarbe,4 300,1 514 540 et 222 900,38 300,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; Saffran,1 730,1 514 540 et 222 900,39 600,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; Salseparcille,47 133,1 514 540 et 222 900,115 900,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; scamonée,1 600,1 514 540 et 222 900,20 800,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; séné,58 800,1 514 540 et 222 900,125 500,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; storax,7 250,1 514 540 et 222 900,17 400,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; medecinales ; tamarin,23 500,1 514 540 et 222 900,20 600,1 982 000,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; metallique et chinique ; divers,value,112380et82900,82 900,345 200,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; metallique et chinique ; argent vif,34 700,112 380et 82 901,125 100,345 200,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; metallique et chinique ; sel ammoniac,77 680,112 380et 82 901,137 200,345 200,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; odorante ; diverses,value,296 290 et 15 000,5 000,212 400,,,15 406 300,
Fatima Zahra,,1788,26,Drogues ; odorante ; encens,296 290,296 290 et 15 000,207 400,212 400,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; diverses,value,18 254 320 et 438 700,438 700,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; alquifour,156 260,18 254 320 et 438 700,31 900,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; alun,3 942 760,18 254 320 et 438 700,1 115 000,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; azur,365 540,18 254 320 et 438 700,295 600,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; bleu de prusse,7 100,18 254 320 et 438 700,21 400,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; brun rouge,562 300,18 254 320 et 438 700,70 200,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; ceruse,2 068 200,18 254 320 et 438 700,650 000,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; cochenille,116 375,18 254 320 et 438 700,2 124 600,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; couperose,1 111 400,18 254 320 et 438 700,132 300,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; cureums,49 500,18 254 320 et 438 700,27 100,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; galle(noix de),245 700,18 254 320 et 438 700,245 600,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; garance,925 720,18 254 320 et 438 700,587 000,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; graine de vermillon,20 200,18 254 320 et 438 700,121 100,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; herbes à teindre,58 100,18 254 320 et 438 700,14 500,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; Inde plalle,15 500,18 254 320 et 438 700,33 400,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; Indigo,469 215,18 254 320 et 438 700,4 622 700,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; Iris,56 860,18 254 320 et 438 700,17 900,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; lacque mocs,46 100,18 254 320 et 438 700,32 400,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; litarge,97 500,18 254 320 et 438 700,30 100,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; mine de plomb,878 000,18 254 320 et 438 700,248 200,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; minimum,26 000,18 254 320 et 438 700,87 300,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; racine d'alizare,604 880,18 254 320 et 438 700,217 700,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; saffranum,187 950,18 254 320 et 438 700,170 000,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; stil de grain ,10 500,18 254 320 et 438 700,11 800,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; sumac,6 151 400,18 254 320 et 438 700,111 900,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; tournesol,35 700,18 254 320 et 438 700,28 600,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Drogues ; pour peinture et teinture ; vermillon,45 560,18 254 320 et 438 700,299 700,11 786 700,,,15 406 300,
Fatima Zahra,,1788,28,Epiceries ; diverse,value,1 744 894 et 313 000,313 000,,,,4 366 700,
Fatima Zahra,,1788,28,Epiceries ; canelle,54 800,1 744 894 et 313 000,547 600,,,,4 366 700,
Fatima Zahra,,1788,28,Epiceries ; girofle,109 900,1 744 894 et 313 000,1 134 000,,,,4 366 700,
Fatima Zahra,,1788,28,Epiceries ; de museade,7 014,1 744 894 et 313 000,77 500,,,,4 366 700,
Fatima Zahra,,1788,28,Epiceries ; poivre,1 351 780,1 744 894 et 313 000,2 083 100,,,,4 366 700,
Fatima Zahra,,1788,28,Epiceries ; piment,221 400,1 744 894 et 313 000,211 500,,,,4 366 700,
Fatima Zahra,,1788,28,Tabac ; divers,4 626 650,11 003 100,1 810 500,,,,4 113 500,la qtité devrait être 11 003 150 
Fatima Zahra,,1789,28,Tabac ; en feuille,6 376 500,11 003 100,2 303 000,,,,4 113 500,
