numrodeligne,dataentryby,Source,,,Page,Année,Import/Import,Nom Marchandise,Direction,Pays/Région,Quantité,Unité de poids/quantité,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,Prix unitaire en  Lt (décimale),Valeur / unité de compte Lt,Valeur / unité de compte Sous,Valeur/ unité de compte Deniers,"Valeur en livres, sous et deniers",Valeur en décimales de livres tournois,Différence,Remarques
155,Pascal Fontaine,Marseille,,,4,1750,Import,Soude,Marseille,Espagne,"9 643 900,00",livres,"0,080",,,"0,08000",771512,,,"771512,00","771 512,00","0,00",
156,Pascal Fontaine,Marseille,,,4,1750,Import,Souffre,Marseille,Espagne,"1 500,00",livres,,"3,00",,"0,15000",225,,,"225,00","225,00","0,00",
157,Pascal Fontaine,Marseille,,,4,1750,Import,Soye crüe,Marseille,Espagne,"159 030,00",livres,"12,000",,,"12,00000",1908360,,,"1908360,00","1 908 360,00","0,00",
158,Pascal Fontaine,Marseille,,,4,1750,Import,Suif,Marseille,Espagne,"1 035,00",livres,,"8,00",,"0,40000",414,,,"414,00","414,00","0,00",
159,Pascal Fontaine,Marseille,,,4,1750,Import,Tabac,Marseille,Espagne,"200,00",livres,"0,300",,,"0,30000",60,,,"60,00","60,00","0,00",
160,Pascal Fontaine,Marseille,,,4,1750,Import,Toiles diverses,Marseille,Espagne,"1 750,00",livres,"5,000",,,"5,00000",8750,,,"8750,00","8 750,00","0,00",
161,Pascal Fontaine,Marseille,,,4,1750,Import,Tourrons,Marseille,Espagne,"1 450,00",livres,,"6,00",,"0,30000",435,,,"435,00","435,00","0,00",
162,Pascal Fontaine,Marseille,,,4,1750,Import,Trenelles d'espars,Marseille,Espagne,"49 885,00",livres,,"3,00",,"0,15000",7482,,,"7482,00","7 482,75","-0,75",
163,Pascal Fontaine,Marseille,,,4,1750,Import,Vanille,Marseille,Espagne,"3 165,00",livres,"20,000",,,"20,00000",63300,,,"63300,00","63 300,00","0,00",
164,Pascal Fontaine,Marseille,,,4,1750,Import,Velours,Marseille,Espagne,"154,00",pièces,"400,000",,,"400,00000",61600,,,"61600,00","61 600,00","0,00",
165,Pascal Fontaine,Marseille,,,4,1750,Import,Verdet,Marseille,Espagne,"4 520,00",livres,,"15,00",,"0,75000",3390,,,"3390,00","3 390,00","0,00",
166,Pascal Fontaine,Marseille,,,4,1750,Import,Vermichel,Marseille,Espagne,"1 200,00",livres,,"4,00",,"0,20000",240,,,"240,00","240,00","0,00",
167,Pascal Fontaine,Marseille,,,4,1750,Import,Vermillon,Marseille,Espagne,"5 706,00",livres,"5,000",,,"5,00000",28530,,,"28530,00","28 530,00","0,00",
168,Pascal Fontaine,Marseille,,,4,1750,Import,Verres de cristal,Marseille,Espagne,"500,00",livres,,"40,00",,"2,00000",1000,,,"1000,00","1 000,00","0,00",
169,Pascal Fontaine,Marseille,,,4,1750,Import,Vin blanc,Marseille,Espagne,"32,00",milleroles,"20,000",,,"20,00000",640,,,"640,00","640,00","0,00",
170,Pascal Fontaine,Marseille,,,4,1750,Import,Vin d'Espagne,Marseille,Espagne,"1 472,00",milleroles,"9,000",,,"9,00000",13248,,,"13248,00","13 248,00","0,00",
171,Pascal Fontaine,Marseille,,,4,1750,Import,Vin de Malaga,Marseille,Espagne,"85,00",milleroles,"60,000",,,"60,00000",5100,,,"5100,00","5 100,00","0,00",
172,Pascal Fontaine,Marseille,,,4,1750,Import,Vin de tinte,Marseille,Espagne,"76,00",milleroles,"45,000",,,"45,00000",3420,,,"3420,00","3 420,00","0,00",
173,Pascal Fontaine,Marseille,,,4,1750,Import,Vin de Xirez,Marseille,Espagne,"100,00",milleroles,"50,000",,,"50,00000",5000,,,"5000,00","5 000,00","0,00",
174,Pascal Fontaine,Marseille,,,4,1750,Import,Agaric,Marseille,Holande,"300,00",livres,,"20,00",,"1,00000",300,,,"300,00","300,00","0,00",
175,Pascal Fontaine,Marseille,,,4,1750,Import,Ambre jaune,Marseille,Holande,"900,00",livres,,"20,00",,"1,00000",900,,,"900,00","900,00","0,00",
176,Pascal Fontaine,Marseille,,,4,1750,Import,Amidon,Marseille,Holande,"134 300,00",livres,,"4,00",,"0,20000",26860,,,"26860,00","26 860,00","0,00",
177,Pascal Fontaine,Marseille,,,4,1750,Import,Ancres de fer,Marseille,Holande,"170 429,00",livres,,"4,00",,"0,20000",34085,,,"34085,00","34 085,80","-0,80",
178,Pascal Fontaine,Marseille,,,4,1750,Import,Arcenic,Marseille,Holande,"28 600,00",livres,,"6,00",,"0,30000",8580,,,"8580,00","8 580,00","0,00",
179,Pascal Fontaine,Marseille,,,4,1750,Import,Argent vif,Marseille,Holande,"1 600,00",livres,"4,000",,,"4,00000",6400,,,"6400,00","6 400,00","0,00",
180,Pascal Fontaine,Marseille,,,4,1750,Import,Arquifou,Marseille,Holande,"10 000,00",livres,,"3,00",,"0,15000",1500,,,"1500,00","1 500,00","0,00",
181,Pascal Fontaine,Marseille,,,4,1750,Import,Avoine,Marseille,Holande,"690,00",charges,"15,000",,,"15,00000",10350,,,"10350,00","10 350,00","0,00",
182,Pascal Fontaine,Marseille,,,4,1750,Import,Azur commun,Marseille,Holande,"19 100,00",livres,,"10,00",,"0,50000",9550,,,"9550,00","9 550,00","0,00",
183,Pascal Fontaine,Marseille,,,4,1750,Import,Balaine coupée,Marseille,Holande,"11 175,00",livres,"4,000","15,00",,"4,75000",53081,,,"53081,00","53 081,25","-0,25",
184,Pascal Fontaine,Marseille,,,4,1750,Import,Beurre,Marseille,Holande,"6 800,00",livres,,"8,00",,"0,40000",2720,,,"2720,00","2 720,00","0,00",
185,Pascal Fontaine,Marseille,,,4,1750,Import,Biere,Marseille,Holande,"224 000,00",livres,,"1,00",,"0,05000",11200,,,"11200,00","11 200,00","0,00",
186,Pascal Fontaine,Marseille,,,4,1750,Import,Biscuits de mer,Marseille,Holande,"600,00",livres,"0,150",,,"0,15000",90,,,"90,00","90,00","0,00",
187,Pascal Fontaine,Marseille,,,4,1750,Import,Blanc de plomb,Marseille,Holande,"87 200,00",livres,,"4,00",,"0,20000",17440,,,"17440,00","17 440,00","0,00",
188,Pascal Fontaine,Marseille,,,4,1750,Import,Bled froment,Marseille,Holande,"72 951,00",charges,"25,000",,,"25,00000",1823775,,,"1823775,00","1 823 775,00","0,00",
189,Pascal Fontaine,Marseille,,,5,1750,Import,Bois de brezil,Marseille,Holande,"15 000,00",livres,,"5,00",,"0,25000",3750,,,"3750,00","3 750,00","0,00",
190,Pascal Fontaine,Marseille,,,5,1750,Import,Bois de caliatour,Marseille,Holande,"8 800,00",livres,,"4,00",,"0,20000",1760,,,"1760,00","1 760,00","0,00",
191,Pascal Fontaine,Marseille,,,5,1750,Import,Bois de campeche,Marseille,Holande,"277 100,00",livres,,"3,00",,"0,15000",41565,,,"41565,00","41 565,00","0,00",
192,Pascal Fontaine,Marseille,,,5,1750,Import,Bois de construction,Marseille,Holande,"120,00",pièces,"30,000",,,"30,00000",3600,,,"3600,00","3 600,00","0,00",
193,Pascal Fontaine,Marseille,,,5,1750,Import,Bois de fernambourg,Marseille,Holande,"15 000,00",livres,,"10,00",,"0,50000",7500,,,"7500,00","7 500,00","0,00",
194,Pascal Fontaine,Marseille,,,5,1750,Import,Bois jaune,Marseille,Holande,"4 975,00",livres,"0,100",,,"0,10000",497,,,"497,00","497,50","-0,50",
195,Pascal Fontaine,Marseille,,,5,1750,Import,Bois de sandal moulu,Marseille,Holande,"43 300,00",livres,,"8,00",,"0,40000",17320,,,"17320,00","17 320,00","0,00",
196,Pascal Fontaine,Marseille,,,5,1750,Import,Boulets de canon,Marseille,Holande,"474,00",pièces,,"10,00",,"0,50000",237,,,"237,00","237,00","0,00",
197,Pascal Fontaine,Marseille,,,5,1750,Import,Bouteilles de verre,Marseille,Holande,"21 000,00",livres,,"4,00",,"0,20000",4200,,,"4200,00","4 200,00","0,00",
198,Pascal Fontaine,Marseille,,,5,1750,Import,Cacao,Marseille,Holande,"266 250,00",livres,,"26,00",,"1,30000",346125,,,"346125,00","346 125,00","0,00",
199,Pascal Fontaine,Marseille,,,5,1750,Import,Canelle,Marseille,Holande,"43 500,00",livres,"6,000",,,"6,00000",261000,,,"261000,00","261 000,00","0,00",
200,Pascal Fontaine,Marseille,,,5,1750,Import,Canons de fer,Marseille,Holande,"24,00",pièces,"150,000",,,"150,00000",3600,,,"3600,00","3 600,00","0,00",
201,Pascal Fontaine,Marseille,,,5,1750,Import,Chanvre cru,Marseille,Holande,"330 000,00",livres,"0,180",,,"0,18000",59400,,,"59400,00","59 400,00","0,00",
202,Pascal Fontaine,Marseille,,,5,1750,Import,Cinabre,Marseille,Holande,"2 050,00",livres,"4,000",,,"4,00000",8200,,,"8200,00","8 200,00","0,00",
203,Pascal Fontaine,Marseille,,,5,1750,Import,Cire jaune,Marseille,Holande,"4 900,00",livres,,"26,00",,"1,30000",6370,,,"6370,00","6 370,00","0,00",
204,Pascal Fontaine,Marseille,,,5,1750,Import,Cloux de fer,Marseille,Holande,"2 500,00",livres,,"5,00",,"0,25000",625,,,"625,00","625,00","0,00",
205,Pascal Fontaine,Marseille,,,5,1750,Import,Colle forte,Marseille,Holande,"53 300,00",livres,,"8,00",,"0,40000",21320,,,"21320,00","21 320,00","0,00",
206,Pascal Fontaine,Marseille,,,5,1750,Import,Colle de poisson,Marseille,Holande,"3 200,00",livres,,"30,00",,"1,50000",4800,,,"4800,00","4 800,00","0,00",
207,Pascal Fontaine,Marseille,,,5,1750,Import,Confitures,Marseille,Holande,"300,00",livres,,"20,00",,"1,00000",300,,,"300,00","300,00","0,00",
208,Pascal Fontaine,Marseille,,,5,1750,Import,Couperose,Marseille,Holande,"240 350,00",livres,"0,110",,,"0,11000",26438,,,"26438,00","26 438,50","-0,50",
209,Pascal Fontaine,Marseille,,,5,1750,Import,Couteaux,Marseille,Holande,"2 800,00",livres,,"40,00",,"2,00000",5600,,,"5600,00","5 600,00","0,00",
210,Pascal Fontaine,Marseille,,,5,1750,Import,Crin frizé,Marseille,Holande,"2 000,00",livres,,"12,00",,"0,60000",1200,,,"1200,00","1 200,00","0,00",
211,Pascal Fontaine,Marseille,,,5,1750,Import,Cuirs de vache de Russie,Marseille,Holande,"600,00",livres,,"25,00",,"1,25000",750,,,"750,00","750,00","0,00",
212,Pascal Fontaine,Marseille,,,5,1750,Import,Cuivre tangoul,Marseille,Holande,"10 500,00",livres,,"18,00",,"0,90000",9450,,,"9450,00","9 450,00","0,00",
213,Pascal Fontaine,Marseille,,,5,1750,Import,Drogueries,Marseille,Holande,"73 355,00",livres,,"20,00",,"1,00000",73355,,,"73355,00","73 355,00","0,00",
214,Pascal Fontaine,Marseille,,,5,1750,Import,Esprit de vitriol,Marseille,Holande,"800,00",livres,,"20,00",,"1,00000",800,,,"800,00","800,00","0,00",
215,Pascal Fontaine,Marseille,,,5,1750,Import,Etain,Marseille,Holande,"3 000,00",livres,,"20,00",,"1,00000",3000,,,"3000,00","3 000,00","0,00",
216,Pascal Fontaine,Marseille,,,5,1750,Import,Etoffe de soye,Marseille,Holande,"900,00",livres,"40,000",,,"40,00000",36000,,,"36000,00","36 000,00","0,00",
217,Pascal Fontaine,Marseille,,,5,1750,Import,Farine,Marseille,Holande,"3 000,00",livres,,"2,00",,"0,10000",300,,,"300,00","300,00","0,00",
218,Pascal Fontaine,Marseille,,,5,1750,Import,Fayance,Marseille,Holande,"500,00",livres,,"10,00",,"0,50000",250,,,"250,00","250,00","0,00",
219,Pascal Fontaine,Marseille,,,5,1750,Import,Fer en barres,Marseille,Holande,"153 300,00",livres,"0,140","0,10",,"0,14500",22228,,,"22228,00","22 228,50","-0,50",
220,Pascal Fontaine,Marseille,,,5,1750,Import,Fer blanc,Marseille,Holande,"84 000,00",livres,,"12,00",,"0,60000",50400,,,"50400,00","50 400,00","0,00",
221,Pascal Fontaine,Marseille,,,5,1750,Import,Fer en feuilles,Marseille,Holande,"12 000,00",livres,,"12,00",,"0,60000",7200,,,"7200,00","7 200,00","0,00",
222,Pascal Fontaine,Marseille,,,5,1750,Import,Fer ouvré,Marseille,Holande,"2 400,00",livres,,"5,00",,"0,25000",600,,,"600,00","600,00","0,00",
223,Pascal Fontaine,Marseille,,,5,1750,Import,Fer vieux,Marseille,Holande,"4 000,00",livres,"0,070",,,"0,07000",280,,,"280,00","280,00","0,00",
224,Pascal Fontaine,Marseille,,,5,1750,Import,Fil de chevre,Marseille,Holande,"300,00",livres,"4,000",,,"4,00000",1200,,,"1200,00","1 200,00","0,00",
225,Pascal Fontaine,Marseille,,,5,1750,Import,Fil de fer,Marseille,Holande,"3 000,00",livres,,"10,00",,"0,50000",1500,,,"1500,00","1 500,00","0,00",
226,Pascal Fontaine,Marseille,,,5,1750,Import,Fil de leton,Marseille,Holande,"10 800,00",livres,,"30,00",,"1,50000",16200,,,"16200,00","16 200,00","0,00",
227,Pascal Fontaine,Marseille,,,5,1750,Import,Fromage,Marseille,Holande,"375 330,00",livres,,"7,00",,"0,35000",131365,,,"131365,00","131 365,50","-0,50",
228,Pascal Fontaine,Marseille,,,5,1750,Import,Garence,Marseille,Holande,"298 034,00",livres,,"8,00",,"0,40000",119213,,,"119213,00","119 213,60","-0,60",
229,Pascal Fontaine,Marseille,,,5,1750,Import,Gaudron,Marseille,Holande,"97 500,00",livres,,"3,00",,"0,15000",14625,,,"14625,00","14 625,00","0,00",
230,Pascal Fontaine,Marseille,,,5,1750,Import,Geroffle,Marseille,Holande,"29 600,00",livres,"8,000",,,"8,00000",236800,,,"236800,00","236 800,00","0,00",
231,Pascal Fontaine,Marseille,,,5,1750,Import,Gomme lacque,Marseille,Holande,"400,00",livres,,"26,00",,"1,30000",520,,,"520,00","520,00","0,00",
232,Pascal Fontaine,Marseille,,,5,1750,Import,Graine pour la teinture,Marseille,Holande,"700,00",livres,"0,400",,,"0,40000",280,,,"280,00","280,00","0,00",
233,Pascal Fontaine,Marseille,,,5,1750,Import,Gruau,Marseille,Holande,"42 700,00",livres,,"1,00",,"0,05000",2135,,,"2135,00","2 135,00","0,00",
234,Pascal Fontaine,Marseille,,,5,1750,Import,Harens fumés,Marseille,Holande,"232,00",barils,"24,000",,,"24,00000",5568,,,"5568,00","5 568,00","0,00",
235,Pascal Fontaine,Marseille,,,5,1750,Import,Herbes d'orseille,Marseille,Holande,"4 800,00",livres,,"20,00",,"1,00000",4800,,,"4800,00","4 800,00","0,00",
236,Pascal Fontaine,Marseille,,,5,1750,Import,Huile de balaine,Marseille,Holande,"15 200,00",livres,,"5,00",,"0,25000",3800,,,"3800,00","3 800,00","0,00",
237,Pascal Fontaine,Marseille,,,5,1750,Import,Jambon,Marseille,Holande,"400,00",livres,,"10,00",,"0,50000",200,,,"200,00","200,00","0,00",
238,Pascal Fontaine,Marseille,,,5,1750,Import,Indigo,Marseille,Holande,"300,00",livres,"4,000","10,00",,"4,50000",1350,,,"1350,00","1 350,00","0,00",
239,Pascal Fontaine,Marseille,,,5,1750,Import,Lacque platte,Marseille,Holande,"300,00",livres,,"30,00",,"1,50000",450,,,"450,00","450,00","0,00",
240,Pascal Fontaine,Marseille,,,5,1750,Import,Laine filée,Marseille,Holande,"400,00",livres,,"30,00",,"1,50000",600,,,"600,00","600,00","0,00",
241,Pascal Fontaine,Marseille,,,5,1750,Import,Laine de Vigogne,Marseille,Holande,"200,00",livres,"15,000",,,"15,00000",3000,,,"3000,00","3 000,00","0,00",
242,Pascal Fontaine,Marseille,,,5,1750,Import,Legumes,Marseille,Holande,"148 600,00",livres,,"3,00",,"0,15000",22290,,,"22290,00","22 290,00","0,00",
243,Pascal Fontaine,Marseille,,,5,1750,Import,Librairie,Marseille,Holande,"7 450,00",livres,,"40,00",,"2,00000",14900,,,"14900,00","14 900,00","0,00",
244,Pascal Fontaine,Marseille,,,5,1750,Import,Lin peigné,Marseille,Holande,"1 560,00",livres,,"20,00",,"1,00000",1560,,,"1560,00","1 560,00","0,00",
245,Pascal Fontaine,Marseille,,,5,1750,Import,Litarge,Marseille,Holande,"12 600,00",livres,"0,180",,,"0,18000",2268,,,"2268,00","2 268,00","0,00",
246,Pascal Fontaine,Marseille,,,5,1750,Import,Mercerie,Marseille,Holande,"19 400,00",livres,"3,000","10,00",,"3,50000",67900,,,"67900,00","67 900,00","0,00",
247,Pascal Fontaine,Marseille,,,5,1750,Import,Matreaux,Marseille,Holande,"14,00",en nombre,"20,000",,,"20,00000",280,,,"280,00","280,00","0,00",
248,Pascal Fontaine,Marseille,,,5,1750,Import,Miny,Marseille,Holande,"54 000,00",livres,,"4,00",,"0,20000",10800,,,"10800,00","10 800,00","0,00",
249,Pascal Fontaine,Marseille,,,6,1750,Import,Mortiers de marbre,Marseille,Holande,"100,00",en nombre,,"30,00",,"1,50000",150,,,"150,00","150,00","0,00",
250,Pascal Fontaine,Marseille,,,6,1750,Import,Moulins a caffé,Marseille,Holande,"50,00",douzaines,"36,000",,,"36,00000",1800,,,"1800,00","1 800,00","0,00",
251,Pascal Fontaine,Marseille,,,6,1750,Import,Moulins a caffé,Marseille,Holande,"800,00",livres,,"30,00",,"1,50000",1200,,,"1200,00","1 200,00","0,00",
252,Pascal Fontaine,Marseille,,,6,1750,Import,Muscades,Marseille,Holande,"14 400,00",livres,"8,000","10,00",,"8,50000",122400,,,"122400,00","122 400,00","0,00",
253,Pascal Fontaine,Marseille,,,6,1750,Import,Nattes,Marseille,Holande,"1 118,00",livres,,"20,00",,"1,00000",1118,,,"1118,00","1 118,00","0,00",
254,Pascal Fontaine,Marseille,,,6,1750,Import,Noir de fumée,Marseille,Holande,"1 230,00",livres,,"12,00",,"0,60000",738,,,"738,00","738,00","0,00",
255,Pascal Fontaine,Marseille,,,6,1750,Import,Orge mondé,Marseille,Holande,"3 000,00",livres,,,6,"0,02500",900,,,"900,00","900,00","0,00",montant unitaire non lisible
256,Pascal Fontaine,Marseille,,,6,1750,Import,Peaux de lapin,Marseille,Holande,"500,00",livres,,"50,00",,"2,50000",1250,,,"1250,00","1 250,00","0,00",
257,Pascal Fontaine,Marseille,,,6,1750,Import,Peaux de lievres,Marseille,Holande,"2 800,00",livres,,"12,00",,"0,60000",1680,,,"1680,00","1 680,00","0,00",
258,Pascal Fontaine,Marseille,,,6,1750,Import,Peaux de maroquin,Marseille,Holande,"500,00",livres,,"30,00",,"1,50000",750,,,"750,00","750,00","0,00",
259,Pascal Fontaine,Marseille,,,6,1750,Import,Pinceaux,Marseille,Holande,"105,00",douzaines,,"30,00",,"1,50000",157,,,"157,00","157,50","-0,50",
260,Pascal Fontaine,Marseille,,,6,1750,Import,Pinceaux,Marseille,Holande,"200,00",livres,,"24,00",,"1,20000",240,,,"240,00","240,00","0,00",
261,Pascal Fontaine,Marseille,,,6,1750,Import,Peintures,Marseille,Holande,"600,00",livres,"4,000",,,"4,00000",2400,,,"2400,00","2 400,00","0,00",
262,Pascal Fontaine,Marseille,,,6,1750,Import,Pelleteries,Marseille,Holande,"2 300,00",livres,,"50,00",,"2,50000",5750,,,"5750,00","5 750,00","0,00",
263,Pascal Fontaine,Marseille,,,6,1750,Import,Pimens,Marseille,Holande,"4 400,00",livres,"0,030",,,"0,03000",132,,,"132,00","132,00","0,00",
264,Pascal Fontaine,Marseille,,,6,1750,Import,Pipes a fumer,Marseille,Holande,"7 322,00",grosses,"3,000",,,"3,00000",21966,,,"21966,00","21 966,00","0,00",
265,Pascal Fontaine,Marseille,,,6,1750,Import,Planches de sapin,Marseille,Holande,"71,00",douzaines,"9,000",,,"9,00000",639,,,"639,00","639,00","0,00",
266,Pascal Fontaine,Marseille,,,6,1750,Import,Plaques de fer,Marseille,Holande,"1 998,00",plaques,,"20,00",,"1,00000",1998,,,"1998,00","1 998,00","0,00",
267,Pascal Fontaine,Marseille,,,6,1750,Import,Plaques de fer,Marseille,Holande,"9 870,00",livres,,"6,00",,"0,30000",2961,,,"2961,00","2 961,00","0,00",
268,Pascal Fontaine,Marseille,,,6,1750,Import,Plomb en saumon,Marseille,Holande,"603 300,00",livres,,"4,00",,"0,20000",120660,,,"120660,00","120 660,00","0,00",
269,Pascal Fontaine,Marseille,,,6,1750,Import,Plules d'autruche,Marseille,Holande,"300,00",livres,"4,000",,,"4,00000",1200,,,"1200,00","1 200,00","0,00",
270,Pascal Fontaine,Marseille,,,6,1750,Import,Plumes a ecrire,Marseille,Holande,"250,00",livres,"6,000",,,"6,00000",1500,,,"1500,00","1 500,00","0,00",
271,Pascal Fontaine,Marseille,,,6,1750,Import,Poivre,Marseille,Holande,"813 820,00",livres,,"32,00",,"1,60000",1302112,,,"1302112,00","1 302 112,00","0,00",
272,Pascal Fontaine,Marseille,,,6,1750,Import,Poivre geroflé,Marseille,Holande,"800,00",livres,,"20,00",,"1,00000",800,,,"800,00","800,00","0,00",
273,Pascal Fontaine,Marseille,,,6,1750,Import,Porcelaine,Marseille,Holande,"1 280,00",livres,"5,000",,,"5,00000",6400,,,"6400,00","6 400,00","0,00",
274,Pascal Fontaine,Marseille,,,6,1750,Import,Quincailles,Marseille,Holande,"1 400,00",livres,,"20,00",,"1,00000",1400,,,"1400,00","1 400,00","0,00",
275,Pascal Fontaine,Marseille,,,6,1750,Import,Rhubarbe,Marseille,Holande,"1 250,00",livres,"15,000",,,"15,00000",18750,,,"18750,00","18 750,00","0,00",
276,Pascal Fontaine,Marseille,,,6,1750,Import,Ruban de soye,Marseille,Holande,"250,00",livres,"60,000",,,"60,00000",15000,,,"15000,00","15 000,00","0,00",
277,Pascal Fontaine,Marseille,,,6,1750,Import,Saffran,Marseille,Holande,"200,00",livres,"15,000",,,"15,00000",3000,,,"3000,00","3 000,00","0,00",
278,Pascal Fontaine,Marseille,,,6,1750,Import,Sanguine,Marseille,Holande,"800,00",livres,,"4,00",,"0,20000",160,,,"160,00","160,00","0,00",
279,Pascal Fontaine,Marseille,,,6,1750,Import,Saumon salé,Marseille,Holande,"15 000,00",livres,"0,250",,,"0,25000",3750,,,"3750,00","3 750,00","0,00",
280,Pascal Fontaine,Marseille,,,6,1750,Import,Saxafras,Marseille,Holande,"2 000,00",livres,,"8,00",,"0,40000",800,,,"800,00","800,00","0,00",
281,Pascal Fontaine,Marseille,,,6,1750,Import,Sivadille,Marseille,Holande,"400,00",livres,,"25,00",,"1,25000",500,,,"500,00","500,00","0,00",
282,Pascal Fontaine,Marseille,,,6,1750,Import,Spicaseltica,Marseille,Holande,"1 550,00",livres,,"15,00",,"0,75000",1162,,,"1162,00","1 162,50","-0,50",
283,Pascal Fontaine,Marseille,,,6,1750,Import,Squine,Marseille,Holande,"2 000,00",livres,,"12,00",,"0,60000",1200,,,"1200,00","1 200,00","0,00",
284,Pascal Fontaine,Marseille,,,6,1750,Import,Thé,Marseille,Holande,"13 635,00",livres,"3,000","10,00",,"3,50000",47722,,,"47722,00","47 722,50","-0,50",
285,Pascal Fontaine,Marseille,,,6,1750,Import,Toille blanche,Marseille,Holande,"1 500,00",pièces,"30,000",,,"30,00000",45000,,,"45000,00","45 000,00","0,00",
286,Pascal Fontaine,Marseille,,,6,1750,Import,Toille blanche,Marseille,Holande,"2 800,00",livres,"4,000",,,"4,00000",11200,,,"11200,00","11 200,00","0,00",
287,Pascal Fontaine,Marseille,,,6,1750,Import,Toille diverses,Marseille,Holande,"600,00",livres,"5,000",,,"5,00000",3000,,,"3000,00","3 000,00","0,00",
288,Pascal Fontaine,Marseille,,,6,1750,Import,Toille a voille,Marseille,Holande,"40,00",pièces,"20,000",,,"20,00000",800,,,"800,00","800,00","0,00",
289,Pascal Fontaine,Marseille,,,6,1750,Import,Tournesol,Marseille,Holande,"400,00",livres,,"10,00",,"0,50000",200,,,"200,00","200,00","0,00",
290,Pascal Fontaine,Marseille,,,6,1750,Import,Vermillon,Marseille,Holande,"800,00",livres,"5,000",,,"5,00000",4000,,,"4000,00","4 000,00","0,00",
291,Pascal Fontaine,Marseille,,,6,1750,Import,Verres cassés,Marseille,Holande,"2 400,00",livres,"0,020","0,10",,"0,02500",60,,,"60,00","60,00","0,00",
292,Pascal Fontaine,Marseille,,,6,1750,Import,Verres cristalins,Marseille,Holande,"1 350,00",livres,,"40,00",,"2,00000",2700,,,"2700,00","2 700,00","0,00",
293,Pascal Fontaine,Marseille,,,6,1750,Import,Vin de chipres,Marseille,Holande,"6,00",milleroles,"90,000",,,"90,00000",540,,,"540,00","540,00","0,00",
294,Pascal Fontaine,Marseille,,,6,1750,Import,Vin blanc,Marseille,Holande,"3 600,00",livres,,"12,00",,"0,60000",2160,,,"2160,00","2 160,00","0,00",
295,Pascal Fontaine,Marseille,,,6,1750,Import,Yeux d'écrivice,Marseille,Holande,"900,00",livres,,"25,00",,"1,25000",1125,,,"1125,00","1 125,00","0,00",
296,Pascal Fontaine,Marseille,,,6,1750,Import,Acier,Marseille,Italie,"94 886,00",livres,,"7,00",,"0,35000",33210,,,"33210,00","33 210,10","-0,10",
297,Pascal Fontaine,Marseille,,,6,1750,Import,Agaric,Marseille,Italie,"803,00",livres,,"20,00",,"1,00000",803,,,"803,00","803,00","0,00",
298,Pascal Fontaine,Marseille,,,6,1750,Import,Ajamis,Marseille,Italie,"55,00",pièces,"9,000",,,"9,00000",495,,,"495,00","495,00","0,00",
299,Pascal Fontaine,Marseille,,,6,1750,Import,Ails,Marseille,Italie,"7,50",charges,"10,000",,,"10,00000",75,,,"75,00","75,00","0,00",
300,Pascal Fontaine,Marseille,,,6,1750,Import,Alumettes,Marseille,Italie,"194,00",livres,,"4,00",,"0,20000",38,,,"38,00","38,80","-0,80",
301,Pascal Fontaine,Marseille,,,6,1750,Import,Alun,Marseille,Italie,"968 075,00",livres,"0,120",,,"0,12000",116169,,,"116169,00","116 169,00","0,00",
302,Pascal Fontaine,Marseille,,,6,1750,Import,Amadou,Marseille,Italie,"4 668,00",livres,"0,140",,,"0,14000",653,,,"653,00","653,52","-0,52",
303,Pascal Fontaine,Marseille,,,6,1750,Import,Amandes,Marseille,Italie,"22 210,00",livres,,"4,00",,"0,20000",4442,,,"4442,00","4 442,00","0,00",
304,Pascal Fontaine,Marseille,,,6,1750,Import,Ambre jaune,Marseille,Italie,"605,00",livres,,"20,00",,"1,00000",605,,,"605,00","605,00","0,00",
305,Pascal Fontaine,Marseille,,,6,1750,Import,Ameçons,Marseille,Italie,"100,00",livres,,"4,00",,"0,20000",20,,,"20,00","20,00","0,00",
306,Pascal Fontaine,Marseille,,,6,1750,Import,Amidon,Marseille,Italie,"1 145,00",livres,,"4,00",,"0,20000",229,,,"229,00","229,00","0,00",
307,Pascal Fontaine,Marseille,,,6,1750,Import,Anchois,Marseille,Italie,"7,00",barils,"12,000",,,"12,00000",84,,,"84,00","84,00","0,00",
308,Pascal Fontaine,Marseille,,,7,1750,Import,Ancre de fer,Marseille,Italie,"81 250,00",livres,,"4,00",,"0,20000",16250,,,"16250,00","16 250,00","0,00",
309,Pascal Fontaine,Marseille,,,7,1750,Import,Anis vert,Marseille,Italie,"500,00",livres,,"4,00",,"0,20000",100,,,"100,00","100,00","0,00",
310,Pascal Fontaine,Marseille,,,7,1750,Import,Antimoine,Marseille,Italie,"1 200,00",livres,,"4,00",,"0,20000",240,,,"240,00","240,00","0,00",
311,Pascal Fontaine,Marseille,,,7,1750,Import,Arcenic,Marseille,Italie,"3 600,00",livres,,"6,00",,"0,30000",1080,,,"1080,00","1 080,00","0,00",
312,Pascal Fontaine,Marseille,,,7,1750,Import,Ardoises,Marseille,Italie,"50,00",en nombre,"6,000",,,"6,00000",300,,,"300,00","300,00","0,00",
313,Pascal Fontaine,Marseille,,,7,1750,Import,Argent vif,Marseille,Italie,"5 500,00",livres,"4,000",,,"4,00000",22000,,,"22000,00","22 000,00","0,00",
