line_number,source_type,year,customs_region,customs_office,partner,exports_imports,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,customs_office,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
131,Local,1733,Nantes,,Hollande,Exports,Etamine de laine,,,455,,182,aunes,2.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
132,Local,1733,Nantes,,Hollande,Exports,Fruits crus,,,286,,52,quartiers,5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,Erreur de calcul,,,,,,,,,,
133,Local,1733,Nantes,,Hollande,Exports,Fruits cuis,,,141,,575,livres,0.25,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
134,Local,1733,Nantes,,Hollande,Exports,Fottes,,,4160,,320,pièces,13,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
135,Local,1733,Nantes,,Hollande,Exports,Fayance en vaisselle,,,54,,12,douzaines,4.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
136,Local,1733,Nantes,,Hollande,Exports,Fer en barres,,,150,,1000,livres,0.15,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
137,Local,1733,Nantes,,Hollande,Exports,Gingembre,,,486,,2430,livres,0.2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
138,Local,1733,Nantes,,Hollande,Exports,Gourgouran,,,38150,,545,pièces,70,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
139,Local,1733,Nantes,,Hollande,Exports,Guigans,,,6370,,637,pièces,10,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
140,Local,1733,Nantes,,Hollande,Exports,Garas,,,162960,,10185,pièces,16,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
141,Local,1733,Nantes,,Hollande,Exports,Guinées blanches,,,56898,,3161,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
142,Local,1733,Nantes,,Hollande,Exports,Guinées bleues,,,38340,,2130,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
143,Local,1733,Nantes,,Hollande,Exports,Galanga,,,2720,,3400,pièces,0.8,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
144,Local,1733,Nantes,,Hollande,Exports,Gomme senegal,,,5300,,10600,livres,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
145,Local,1733,Nantes,,Hollande,Exports,Gomme laque,,,3682,,18410,livres,0.2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
146,Local,1733,Nantes,,Hollande,Exports,Gomme blanche,,,24,,40,livres,0.6,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
147,Local,1733,Nantes,,Hollande,Exports,Gands de peau,,,1200,,60,livres,20,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
148,Local,1733,Nantes,,Hollande,Exports,Hamacs,,,63420,,2114,pièces,30,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
149,Local,1733,Nantes,,Hollande,Exports,Huile d'olive,,,21,,60,livres,0.35,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
150,Local,1733,Nantes,,Hollande,Exports,Indigo,,,142603,,53813,livres,2.65,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
151,Local,1733,Nantes,,Hollande,Exports,Jamavar,,,2600,,50,pièces,52,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
152,Local,1733,Nantes,,Hollande,Exports,Jupon de satin,,,0,,1,en nombre,21,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
153,Local,1733,Nantes,,Hollande,Exports,Limeneau,,,3003,,143,pièces,21,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
154,Local,1733,Nantes,,Hollande,Exports,Lampas,,,960,,12,pièces,80,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
155,Local,1733,Nantes,,Hollande,Exports,Laque sans bois,,,,,8660,livres,24,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,Pas de valeur calculée,,,,,,,,,,
156,Local,1733,Nantes,,Hollande,Exports,Laque en bois,,,,,1600,livres,23,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,Pas de valeur calculée,,,,,,,,,,
157,Local,1733,Nantes,,Hollande,Exports,Montichon,,,2450,,100,pièces,24.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
158,Local,1733,Nantes,,Hollande,Exports,Mouchoirs de soye,,,57500,,1150,pièces,50,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
159,Local,1733,Nantes,,Hollande,Exports,Mouchoirs mazulipatan,,,288,,12,pièces,24,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
160,Local,1733,Nantes,,Hollande,Exports,Neganitapau,,,5760,,340,pièces,16,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
161,Local,1733,Nantes,,Hollande,Exports,Nelis,,,833,,49,pièces,17,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
162,Local,1733,Nantes,,Hollande,Exports,Nattes,,,,,1000,pièces,,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,Ni prix ni valeur,,,,,,,,,,
163,Local,1733,Nantes,,Hollande,Exports,Noix,,,48,,48,milliers,1,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
164,Local,1733,Nantes,,Hollande,Exports,Organsa,,,1344,,56,pièces,24,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
165,Local,1733,Nantes,,Hollande,Exports,Ocre,,,7995,,533,bariques,15,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
166,Local,1733,Nantes,,Hollande,Exports,Pruneaux de Sainte Catherine,,,5110,,13700,livres,0.3,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,Erreur de calcul,,,,,,,,,,
167,Local,1733,Nantes,,Hollande,Exports,Pruneaux d'amons,,,12125,,173225,livres,0.07,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
168,Local,1733,Nantes,,Hollande,Exports,Pekin,,,42960,,537,pièces,80,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
169,Local,1733,Nantes,,Hollande,Exports,Pinasse,,,3836,,274,pièces,19,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,Erreur de calcul. Le prix a l’air bon,,,,,,,,,,
170,Local,1733,Nantes,,Hollande,Exports,Patisoye,,,0,,195,pièces,0,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
171,Local,1733,Nantes,,Hollande,Exports,Papier,,,687,,1375,livres,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
172,Local,1733,Nantes,,Hollande,Exports,Peaux de lièvre,,,0,,1242,douzaines,0,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
173,Local,1733,Nantes,,Hollande,Exports,Porcelaine des Indes,,,46885,,9377,livres,5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
174,Local,1733,Nantes,,Hollande,Exports,Pierres à fusils,,,3904,,3904000,en nombre,0.001,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
175,Local,1733,Nantes,,Hollande,Exports,Raisin sec,,,5100,,30000,livres,0.17,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
176,Local,1733,Nantes,,Hollande,Exports,Reglisse,,,750,,5000,livres,0.15,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
177,Local,1733,Nantes,,Hollande,Exports,Rocou,,,6557,,21020,livres,0.35,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,"mention ""ai 9 s."" ?",,,,,,,,,,
178,Local,1733,Nantes,,Hollande,Exports,Robe de chambre des Indes,,,300,,2,pièces,150,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
179,Local,1733,Nantes,,Hollande,Exports,Satin  ,,,46400,,580,pièces,80,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
180,Local,1733,Nantes,,Hollande,Exports,Soucis,,,65320,,1980,pièces,34,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,Erreur de calcul,,,,,,,,,,
181,Local,1733,Nantes,,Hollande,Exports,Salempouris blanc,,,31680,,1760,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
182,Local,1733,Nantes,,Hollande,Exports,Salempouris bleu,,,5760,,320,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
183,Local,1733,Nantes,,Hollande,Exports,Souchais,,,23121,,1101,pièces,21,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
184,Local,1733,Nantes,,Hollande,Exports,Satlar,,,7634,,347,pièces,22,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
185,Local,1733,Nantes,,Hollande,Exports,Sanas,,,4000,,200,pièces,20,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
186,Local,1733,Nantes,,Hollande,Exports,Soye tanis,,,344400,,34440,livres,10,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
187,Local,1733,Nantes,,Hollande,Exports,Soye Nankin,,,15375,,1025,livres,15,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
188,Local,1733,Nantes,,Hollande,Exports,Sel du Croisic,,,8040,,134,muids,60,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
189,Local,1733,Nantes,,Hollande,Exports,Sel du Croisic,,,7680,,192,muids,40,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
190,Local,1733,Nantes,,Hollande,Exports,Sel du Croisic,,,39900,,1596,muids,25,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
191,Local,1733,Nantes,,Hollande,Exports,Sucre en pain,,,44937,,77650,livres,0.58,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
192,Local,1733,Nantes,,Hollande,Exports,Sucre terré,,,466417,,1608300,livres,0.29,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,5,,,,,Thasectra,,,,,,,,,,,,
193,Local,1733,Nantes,,Hollande,Exports,Sucre teste de forme,,,20007,,105300,livres,0.19,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
194,Local,1733,Nantes,,Hollande,Exports,Sucre brut,,,858870,,6871000,livres,0.125,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
195,Local,1733,Nantes,,Hollande,Exports,Sirop de sucre,,,,,59500,livres,5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,Pas de valeur calculée,,,,,,,,,,
196,Local,1733,Nantes,,Hollande,Exports,Saffran,,,21600,,675,livres,32,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
197,Local,1733,Nantes,,Hollande,Exports,Thé camou,,,6035,,1207,livres,5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
198,Local,1733,Nantes,,Hollande,Exports,Thé impérial,,,3937,,1050,livres,3.75,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
199,Local,1733,Nantes,,Hollande,Exports,Thé soatchon,,,13440,,1920,livres,7,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
200,Local,1733,Nantes,,Hollande,Exports,Thé vert foncé,,,22489,,6821,livres,3.3,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
201,Local,1733,Nantes,,Hollande,Exports,Thé bou,,,35577,,11118,livres,3.2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
202,Local,1733,Nantes,,Hollande,Exports,Thé divers,,,187460,,53560,livres,3.4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,Erreur de calcul,,,,,,,,,,
203,Local,1733,Nantes,,Hollande,Exports,Tabac en poudre,,,152,,434,livres,0.4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
204,Local,1733,Nantes,,Hollande,Exports,Tapaus,,,9750,,650,pièces,15,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
205,Local,1733,Nantes,,Hollande,Exports,Tapis brodés,,,0,,10,en nombre,0,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
206,Local,1733,Nantes,,Hollande,Exports,Toile peinte,,,306,,17,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
207,Local,1733,Nantes,,Hollande,Exports,Toile de coton blanche,,,850000,,21250,pièces,40,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
208,Local,1733,Nantes,,Hollande,Exports,Toile de Bretagne,,,19028,,4757,livres,4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
209,Local,1733,Nantes,,Hollande,Exports,Toutenague,,,68576,,107150,livres,0.64,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
210,Local,1733,Nantes,,Hollande,Exports,Vin d'amont,,,743800,,3719,tonneaux,200,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,3719,tonneaux,2.45,,,
211,Local,1733,Nantes,,Hollande,Exports,Vin nantois,,,61300,,613,tonneaux,100,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,613,tonneaux,2.45,,,
212,Local,1733,Nantes,,Hollande,Exports,Vinaigre,,,840,,7,tonneaux,120,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,droits de 49 sols sur vin et vinaigre,,,,,7,tonneaux,2.45,,,
213,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Amandes cassées,,,70,,200,livres,0.35,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
214,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Amidon,,,72,,450,livres,0.16,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
215,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Arbres à planter,,,15,,,,,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
216,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Baffetas,,,14742,,1124,pièces,13,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
217,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Bazin  ,,,550,,25,pièces,22,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
218,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Bas de soye ,,,432,,36,paires,12,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
219,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Bois rouge des Indes,,,3170,,18650,livres,0.17,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
220,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Confitures,,,937,,1875,livres,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
221,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Caffé de Bourbon,,,277410,,231180,livres,1.2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
222,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Cacao,,,2812,,1250,livres,2.25,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
223,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Chataignes,,,214,,545,boisseaux,0.4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
224,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Caladaris,,,94,,94,pièces,1,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
225,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Cases,,,0,,50,pièces,0,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
226,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Cottonade,,,50,,25,aunes,2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,6,,,,,Thasectra,,,,,,,,,,,,
227,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Cotton en laine,,,849,,1125,livres,0.75,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
228,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Cardamum,,,1050,,280,livres,3.75,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
229,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Damas  ,,,5040,,56,pièces,90,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
230,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Droguerie,,,30,,,,,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
231,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Eau de vie,,,,,437.5,barriques,80,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,"Le prix a l’air bon, les quantités aussi : la valeur est moins plausible(419500) je l’enlève",,,,,,,,,,
232,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Fruis cruds,,,60,,12,quares,5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
233,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Fromage,,,6,,30,livres,0.2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
234,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Flanelle,,,500,,20,aunes,25,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
235,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Gourgouran,,,3290,,47,pièces,70,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
236,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Guinée bleue,,,50184,,2788,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
237,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Guinée blanche,,,120222,,6679,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
238,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Garas,,,7680,,480,pièces,16,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
239,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Gans de peau par paire,,,0,,28,douzaines,0,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
240,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Gingembre,,,75,,375,livres,0.2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
241,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Galanga,,,1932,,2415,livres,0.8,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
242,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Gomme arabique,,,15725,,31450,livres,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
243,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Gomme senegal,,,108425,,216850,livres,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
244,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Gomme lacque,,,1506,,6275,livres,0.24,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
245,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Hamacs,,,23864,,853,pièces,28,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
246,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Indigo,,,383746,,144810,livres,2.65,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
247,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Limeneus,,,3600,,180,pièces,20,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
248,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Mouchoirs de soye,,,12000,,240,pièces,50,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
249,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Mouchoirs de Pondichéry,,,5624,,296,pièces,19,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
250,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Marmites de fer,,,122,,98,pièces,1.25,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
251,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Miel,,,5187,,51875,livres,0.1,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
252,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Noix,,,7,,7,milliers,1,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
253,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Nelis,,,3400,,200,pièces,17,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
254,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Pekin,,,,,99,pièces,55,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,"Le prix a l’air bon, les quantités aussi : la valeur (54825) est moins plausible je l’enlève",,,,,,,,,,
255,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Pinasse,,,2860,,143,pièces,20,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
256,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Patysoie,,,2580,,129,pièces,20,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
257,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Peaux de putoy,,,0,,4650,en nombre,0,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
258,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Peaux de renard en poil,,,0,,9,douzaines,0,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
259,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Peaux d'agneaux en laine,,,0,,81,douzaines,0,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
260,Local,1733,Nantes,,Nord avec villes anseatiques et Suède,Exports,Porcelaine des Indes,,,13155,,2631,livres,5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,7,,,,,Thasectra,,,,,,,,,,,,
