quantity_unit,quantity_unit_ortho,source_bdc,nbr_bdc_quantity_unit,nbr_bdc_quantity_unit_ortho
Ballot petit,ballot petit,1,1,1
balon,ballon,1,1,23
balons,ballon,1,1,23
banne,bannes,1,1,28
baquet,baquet,1,1,1
barals,barils,1,1,6949
barattes,barattes,1,1,1
barbots,barbots,1,1,1
barbuës,barbues,1,1,5
Barbus,barbues,1,1,5
bards,bards,1,1,1
barig de 500 livres,,1,1,163258
barigaux,barriques,1,1,5046
baril à 450 Feuilles,barils de 450 feuilles,1,1,42
Baril petit,baril petit,1,1,1
barill,barils,1,1,6949
Barillet,,1,1,163258
barils de 100 l,barils de 100 livres,1,1,2
barils de 100 livres,barils de 100 livres,1,1,2
barils de 20 pots,,1,1,163258
Barils de 450 feuillles,barils de 450 feuilles,1,1,42
Barils de grand modèle 330,barils de grand modèle 330,1,1,1
barils double,barils double,1,1,8
Barils double,barils double,1,1,8
barils doubler,barils double,1,1,8
barils feuiller,barils feuiller,1,1,1
Barils grand modèle,barils grand modèle,1,1,1
barils gros,,1,1,163258
barils petit,barils petits,1,1,50
Barils petit modèle,barils petit modèle,1,1,1
Barils petits de 300,barils petits de 300,1,1,1
barils simple,barils simple,1,1,3
Bariqueq,barriques,1,1,5046
bariques à 400 L,barriques à 400 L.,1,1,1
bariques d'un milliers,,1,1,163258
bariques de 500 L,barriques à 500 L.,1,1,1
bariques en bouteilles,barriques en bouteilles,1,1,2
bariques en bouteilles ?,,1,1,163258
Bariques nantoises,barriques nantaises,1,1,1
Bariques poids de 1000 l,barriques poids de 1000 livres,1,1,1
bariquet,,1,1,163258
Bariquues,barriques,1,1,5046
Barls,barils,1,1,6949
Barques,barques,1,1,1
Barril de 3,baril de 3,1,1,1
barrilets,,1,1,163258
Barrilets,barillets,1,1,55
Barrils en saumure,barils en saumure,1,1,1
barrils gros,barils gros,1,1,1
Barrils ordinaires,barils ordinaires,1,1,1
Barriquels,barriques,1,1,5046
barriques à 30 veltes,,1,1,163258
Barriques en bottes,barriques en bottes,1,1,1
barriques et bouteilles,barriques en bouteilles,1,1,2
Barriques Grosses,barriques grosses,1,1,1
Barrrils,barils,1,1,6949
Barrriques,barriques,1,1,5046
basin double,basin double,1,1,1
bassin,bassins,1,1,3
bassines,bassines,1,1,1
bassins,bassins,1,1,3
Bassins,bassins,1,1,3
Batons,bâtons,1,1,4
Battes,battes,1,1,1
Baucoud,boucaux,1,1,53
bautes,bouts,1,1,18
bayonettes,baïonnettes,1,1,1
Bazique,,1,1,163258
beines,baines,1,1,2
bertilles,bertilles,1,1,1
betes,bêtes,1,1,1
bichets,bichets,1,1,1
billets,billets,1,1,1
bines,bines,1,1,1
birges,birges,1,1,1
boëte,boëtes,1,1,34
boëte de 3 livres,boëtes de 3 livres,1,1,1
Boetes,,1,1,163258
Boétes,,1,1,163258
Boëtte,,1,1,163258
bœuf,,1,1,163258
boinaux,boisseau,1,1,1453
boinnaux,boisseau,1,1,1453
Boiseau,boisseau,1,1,1453
Boiseaux,boisseau,1,1,1453
boissaux,boisseau,1,1,1453
boisseau,,1,1,163258
Boisseauc,boisseau,1,1,1453
boisseux,boisseau,1,1,1453
Boîte,boîtes,1,1,57
Boitte,boîtes,1,1,57
boitures,voitures,1,1,23
Bolliches,bolliches,1,1,1
boneauds,boucaux,1,1,53
Bonnets,bonnets,1,1,4
Bordage,bordage,1,1,1
borneaux,boisseau,1,1,1453
borraux,barraux,1,1,1
bote,bottes,1,1,320
Botiges,botiches,1,1,5
bottes à 68 veltes,bottes à 68 veltes,1,1,1
Boucaud,,1,1,163258
Boucautes,boucaux,1,1,53
Boucauts,boucaux,1,1,53
Boucaux,boucaux,1,1,53
Boueilles,bouteilles,1,1,1994
boulle,boules,1,1,4
Bourdillons,bourdillons,1,1,1
bourriques,bourriques,1,1,1
Bout,bout,1,1,1
bouteïlles,,1,1,163258
Bouteilles de peinte,bouteilles de pinte,1,1,3
bouteilles de pinte,bouteilles de pinte,1,1,3
Bouteilles de pinte,bouteilles de pinte,1,1,3
bouteilles de pintes,,1,1,163258
bouteills,bouteilles,1,1,1994
bouteuilles ou le livres,bouteilles ou le livres,1,1,1
bouts de 4 à 5 pieds,,1,1,163258
bouts de 5 à 6 pieds,,1,1,163258
bouts de planches,,1,1,163258
Bouyeilles,bouteilles,1,1,1994
brails,barils,1,1,6949
brancard,brancard,1,1,1
braques,,1,1,163258
brasse,brasses,1,1,12
Brasser,basses,1,1,1
brilles,brilles,1,1,1
brins,brins,1,1,14
briques,briques,1,1,2
Briques,briques,1,1,2
Bruis,brins,1,1,14
Buche,,1,1,163258
Cabas,cabas,1,1,23
cahiers,cahiers,1,1,1
cais,caisses,1,1,944
caise,caisses,1,1,944
caisses de 50 L,caisses de 50 L.,1,1,1
caisses ordinaires,caisses ordinaires,1,1,1
Caisson,,1,1,163258
Canelles,cannelles,1,1,44
Canes,canes,1,1,9
canette,cannettes,1,1,9
cannades,cannades,1,1,1
canne,cannes,1,1,66
Cannées,cannées,1,1,1
cannelle,cannelles,1,1,44
cannes en carré,cannes en carré,1,1,1
cannette,cannettes,1,1,9
cannettes,cannettes,1,1,9
cannevette,canevettes,1,1,44
Cannevette,canevettes,1,1,44
Cannevettes,canevettes,1,1,44
careaux,carreaux,1,1,94
Cargaison,cargaisons,1,1,2
cargaisons,cargaisons,1,1,2
carques,canques,1,1,1
carraux,carreaux,1,1,94
Carre,carre,1,1,1
carteaux,carreaux,1,1,94
carteroles,caratello,1,1,1
cartes ?,,1,1,163258
cartier du pied de 480 livres,cartier du pied de 480 livres,1,1,1
cartieres,cartieres,1,1,4
cartroles,cartroles,1,1,1
Casernes,,1,1,163258
casse,caisses,1,1,944
Castes,castes,1,1,1
cave,cave,1,1,13
cavettes,cavettes,1,1,1
cens,cent,1,1,188
Cent au grand,cent au grand,1,1,1
centaine,centaine,1,1,10
Centaine,centaine,1,1,10
cents au grand nombre,cent au grand nombre,1,1,1
Chaldes,chaldres,1,1,13
chaldon,chalon,1,1,2
Chaldres,chaldres,1,1,13
chalons,chalon,1,1,2
chanterice,chanterice,1,1,1
chapeau,chapeaux,1,1,127
chapeaux ???,,1,1,163258
chapons,chapons,1,1,1
chardées,chardées,1,1,1
chardes,chaldres,1,1,13
cHaretée,charretées,1,1,216
charge de chenal,charge de chenal,1,1,2
charge de cheval,charge de chenal,1,1,2
chargées,chargées,1,1,1
charges ??,charges,1,1,2768
chariot,chariots,1,1,18
charretés,charretées,1,1,216
charrette,charrettes,1,1,15
charrettes,,1,1,163258
charriot,chariots,1,1,18
charté,charretées,1,1,216
chartéle,chartils,1,1,2
chartéls,chartils,1,1,2
chartiers,charretées,1,1,216
charts,chars,1,1,145
Chatores ??,chaldres,1,1,13
cheldes,cheldes,1,1,2
chevrier,chevrier,1,1,1
chevrons,chevrons,1,1,2
Chevrons,chevrons,1,1,2
chipons de 300 livres,chipons de 300 livres,1,1,1
chopes,chopes,1,1,1
choux,choux,1,1,1
citrons,citrons,1,1,1
classer,classer,1,1,1
cloches,cloches,1,1,1
codes,rodes,1,1,68
coffrets,coffrets,1,1,1
Colis,colis,1,1,5
collé,collé,1,1,1
colonne,colonnes,1,1,2
colonnes,colonnes,1,1,2
commune,communes,1,1,28
Communes,communes,1,1,28
comune,communes,1,1,28
comunes,communes,1,1,28
coquilles,coquilles,1,1,1
corde,corde,1,1,57
cordes ?,,1,1,163258
cordons,cordons,1,1,1
Costes,cottes,1,1,34
Costés,cottes,1,1,34
cotés,cottes,1,1,34
Cotés,cottes,1,1,34
côtés,,1,1,163258
Cottées,cottes,1,1,34
couffe,couffe,1,1,1
coupe,coupes,1,1,30
Coupe,coupes,1,1,30
coupon,coupons,1,1,26
courbes,courbes,1,1,1
couteaux,couteaux,1,1,1
Couverts,couverts,1,1,1
croyes,croix,1,1,3
cubillons,cabillon,1,1,1
Cuina,cuirs,1,1,154
Cuirs entier,cuirs entier,1,1,1
Cuirs entiers,cuirs entiers,1,1,1
da ?,,1,1,163258
Dame jannes,dame-jeannes,1,1,4
dame jeanne,dame-jeannes,1,1,4
damejannes,dame-jeannes,1,1,4
Damejeannes,dame-jeannes,1,1,4
de navire ???,,1,1,163258
de selle,de selle,1,1,1
decagramme,décagramme,1,1,1
demi barique,,1,1,163258
Demi bouteilles,demi bouteilles,1,1,9
Demi caisses,,1,1,163258
Demi charge,demi charge,1,1,6
Demi cuirs,demi cuirs,1,1,21
Demi meulles,demi meule,1,1,1
demi pièce,demi pièces,1,1,15
demi Planches,demi planches,1,1,4
demi-bariques,demi barriques,1,1,6
Demi-pipe,,1,1,163258
Demibarique,demi barriques,1,1,6
Demie ancres,demie ancres,1,1,1
Demie charge,demie charge,1,1,4
Demiepièce,,1,1,163258
Demies,demie,1,1,8
demies bottes,demi bottes,1,1,2
Demies bouteilles,demi bouteilles,1,1,9
Demy bariques,demi barriques,1,1,6
demy bottes,demi bottes,1,1,2
demy bouteilles,demi bouteilles,1,1,9
Demy bouteuilles,demi bouteilles,1,1,9
Demy cuirs,demi cuirs,1,1,21
Demy pièce,demi pièces,1,1,15
demy pieds,demi pieds,1,1,1
demy planches Barils,demi planches en barils,1,1,1
deniers,deniers,1,1,1
denniers ?,,1,1,163258
dierons ?,,1,1,163258
differentes grandeures,,1,1,163258
dindons,dindons,1,1,1
données ?,,1,1,163258
double,double,1,1,1
doubles,,1,1,163258
doubles cavelles,doubles cavelles,1,1,1
doublures,doublures,1,1,1
Douemmes,douelles,1,1,712
Douilles,douelles,1,1,712
dourgs,dourgs,1,1,1
Douzaine de pairres,douzaine de paires,1,1,80
Douzaines bonnets,douzaine bonnets,1,1,1
douzaines d'assiettes,,1,1,163258
Douzaines de boëtes,douzaine de boëtes,1,1,1
douzaines de fiole,douzaine de fiole,1,1,3
douzaines de fioles,,1,1,163258
Douzaines de mouchoirs,douzaine de mouchoirs,1,1,1
douzaines de pains,douzaine de pains,1,1,1
Douzaines de peaux,douzaine de peaux,1,1,1
douzaines de play,douzaine de plats,1,1,1
douzaines de pots,douzaine de pots,1,1,1
Douzaines grands,douzaine grands,1,1,1
douzaines ordinaires,,1,1,163258
Douzaines petits,douzaine petits,1,1,1
douze flans,,1,1,163258
Draps,draps,1,1,1
draps de lit,draps de lit,1,1,1
drugnes,drugnes,1,1,1
duttes,juttes,1,1,1
E',en nombre,1,1,18136
echeveaux,écheaveaux,1,1,1
Emines,émines,1,1,5
En,en,1,1,3
en 5,en nombre,1,1,18136
en argent,en argent,1,1,1
en Centaine,en centaine,1,1,1
en feuilles,en feuilles,1,1,1
EN nombre,en nombre,1,1,18136
Encres,encres,1,1,1
entier,entiers,1,1,2
Entiers,entiers,1,1,2
estiée,estimé,1,1,362
estimer,estimé,1,1,362
estimes,estimé,1,1,362
Estimez,estimé,1,1,362
estuimées,estimé,1,1,362
facon,flacon,1,1,174
facs,facs,1,1,1
Fagot,,1,1,163258
Fais,faix,1,1,267
FAIX,,1,1,163258
fanèques,fanègues,1,1,27
Fanigues,fanègues,1,1,27
fannegues,fanègues,1,1,27
fanons,fanons,1,1,1
fanques,fanègues,1,1,27
faqunir,frequins,1,1,1
fardeaux,fardeaux,1,1,1
fartraux,fartraux,1,1,1
FAUX,fau,1,1,1
feittots?,feittots,1,1,1
feix,,1,1,163258
ferquins,ferquins,1,1,1
fers,fers,1,1,2
Fers,fers,1,1,2
fés,fés,1,1,1
feuillards,,1,1,163258
Feuillards,feuillards,1,1,1
Feuïlles,feuille,1,1,166
feuilles doubles,feuille double,1,1,1
Feuilletes,,1,1,163258
Feuillets,feuillet,1,1,4
Feuillette,feuillette,1,1,8
Fez,fez,1,1,3
Fils,,1,1,163258
fiole,fiole,1,1,56
fiolle,,1,1,163258
Fiolle,,1,1,163258
fleau,fléau,1,1,1
fleuilles,feuille,1,1,166
Fontaine,fontaine,1,1,1
fourneaux,fourneaux,1,1,2
Fourneaux,fourneaux,1,1,2
Fourures,fourrures,1,1,1
fraques ?????,,1,1,163258
frequier,frequier,1,1,5
fréquiers,frequier,1,1,5
frequies,frequier,1,1,5
frequin,frequin,1,1,46
fréquin,frequin,1,1,46
frequiur,frequin,1,1,46
Fres,fres,1,1,1
Fromages,fromages,1,1,1
funnes,fannes,1,1,1
Fusils de traite,fusils de traite,1,1,1
futaille,futailles,1,1,52
futailles 500 L,futailles de 500 L,1,1,1
futs,futs,1,1,2
fûts,futs,1,1,2
garbes,garbes,1,1,1
Garde feux,garde feux,1,1,1
gennes ?,,1,1,163258
Gets,jets,1,1,13
Ggoblets,gobelets,1,1,5
Goblets,gobelets,1,1,5
gones,gonnes,1,1,29
Gosses,grosses,1,1,1313
gounes ?,gonnes,1,1,29
Gousses,gousses,1,1,1
Grains,,1,1,163258
grand compte,,1,1,163258
grande,grande,1,1,11
grander,grande,1,1,11
Grandes Pièces,grande pièce,1,1,1
grandeurs,grandeurs,1,1,1
grandeurs diverses,grandeurs diverses,1,1,1
grands pièces,grands pièces,1,1,1
greniers,grenier,1,1,5
Grenies,grenier,1,1,5
Grennier,grenier,1,1,5
groffe,grosses,1,1,1313
gros baril,baril gros,1,1,1
gros flacons,gros flacons,1,1,1
grose,grosses,1,1,1313
groses pieces,grosses pièces,1,1,1
grossés,grosses,1,1,1313
Grosses paires,grosses paires,1,1,1
Grosses pipes,grosses pipes,1,1,1
grots,pots,1,1,1518
guindeau,guindeau,1,1,1
habits,habits,1,1,1
haches,haches,1,1,1
halles,halles,1,1,1
hambonoy,hambourg,1,1,13
hambourg,hambourg,1,1,13
hambourges,hambourg,1,1,13
Hambourss,,1,1,163258
harpe,harpe,1,1,1
horloges,horloges,1,1,1
Houlle,,1,1,163258
huitième,,1,1,163258
huitièmes,huitièmes,1,1,1
huitres,huitres,1,1,1
hume,hume,1,1,1
inerastée,incrustée d'or,1,1,1
iss?,issarions,1,1,2
issarions,issarions,1,1,2
Jates,jattes,1,1,4
Jet,,1,1,163258
Jonquille,,1,1,163258
Juppe,jupes,1,1,1
Jutes,jutes,1,1,16
kilogrammes des colonies françaises,kilogrammes des colonies françaises,1,1,1
L'aune,aune,1,1,1
Laëst,laest,1,1,12
lames,lames,1,1,1
lames d'épées,lames d'épées,1,1,1
lase,last,1,1,22
Lastes,last,1,1,22
Le cent,le cent,1,1,32
le mille,le mille,1,1,1
leth,leths,1,1,47
leth*,leths,1,1,47
lez,letz,1,1,21
li,livres,1,1,234152
Lingot,lingot,1,1,1
Livres en saumure,livres en saumure,1,1,1
livres ou pieces,livres ou pièces,1,1,1
livrets,livrets,1,1,1
Livrres,livres,1,1,234152
lli,livres,1,1,234152
llivres,livres,1,1,234152
lmi,livres,1,1,234152
lmiliers,milliers,1,1,2293
loirdin,lordins,1,1,16
Loirdins,lordins,1,1,16
lpiè,pièces,1,1,22175
lui,livres,1,1,234152
madirers,madriers,1,1,92
madures,madures,1,1,1
main,main,1,1,5
male,malles,1,1,39
Male,malles,1,1,39
Malle,,1,1,163258
Manades,manades,1,1,2
Manches,manches,1,1,1
MARC,,1,1,163258
Marca,marcs,1,1,680
Marces,marcs,1,1,680
Marcqs,marcs,1,1,680
marcs 7 onces,,1,1,163258
marcs de Paris,marcs de Paris,1,1,1
Mard,marcs,1,1,680
mare ?,,1,1,163258
mares,,1,1,163258
marmittes,,1,1,163258
mases,masses,1,1,53
matreaux,matreaux,1,1,1
Meches,mèches,1,1,1
mesurer,mesures,1,1,152
meule,meules,1,1,9
mille,mille,1,1,1
milleiers,milliers,1,1,2293
MIlliers,milliers,1,1,2293
Milliers de faix,milliers de faix,1,1,1
millleroles,milleroles,1,1,2186
millliers,milliers,1,1,2293
mine,mines,1,1,47
minotes,minots,1,1,22
mogesne,moyenne,1,1,5
moitié,,1,1,163258
Molles,molles,1,1,1
monades,manades,1,1,2
mont,mont,1,1,61
morcEaux,morceaux,1,1,14
Mortiers,mortiers,1,1,5
morues,morues,1,1,1
Mouchoirs,mouchoirs,1,1,1
mouts,mouts,1,1,1
mouttes,moutte,1,1,3
movres,livres,1,1,234152
moyenes,moyenne,1,1,5
moyenne,moyenne,1,1,5
moyenne pièces,moyenne pièces,1,1,1
Muids + Septiers,muids + septiers,1,1,1
Muids + Septiers + Minots + boisseau,muids + septiers + minots + boisseau,1,1,1
muids de genièvre,muids de genièvre,1,1,1
muids du Poulinguen,,1,1,163258
Muids le demy,muids le demi,1,1,1
muids ordinaires,muids ordinaires,1,1,1
muidss,muids,1,1,4540
mules,,1,1,163258
mulle,malles,1,1,39
mur,onces,1,1,169
nicasses,niasses,1,1,1
Nom,en nombre,1,1,18136
Nomb re,nombre,1,1,9417
oedinaire,ordinaire,1,1,19
onces estimées,onces estimées,1,1,1
ordinaire,ordinaire,1,1,19
ordinnaires,ordinaire,1,1,19
ouvrée,ouvrée,1,1,1
pacquet,paquets,1,1,420
pacquets (de 1000),paquets de 1000,1,1,1
Païres,paires,1,1,2838
paires petites,paires petites,1,1,1
pales,poêles,1,1,1
palles,palles,1,1,1
panal,panal,1,1,1
Panal,pot,1,1,1
paneaux,panneaux,1,1,4
panicons,paniers,1,1,318
panier de pistolets,panier de pistolets,1,1,1
panneaux,panneaux,1,1,4
pannier,paniers,1,1,318
Pans,pans,1,1,9
paqué,paquets,1,1,420
PAQUET,paquets,1,1,420
Paquets 100 faix,paquets 100 faix,1,1,1
paquets estimés,paquets estimés,1,1,1
Par cube,par cube,1,1,1
pasqus,pasgas,1,1,1
Pattes,pattes,1,1,1
patz,patz,1,1,1
peau,peaux,1,1,265
Peau,peaux,1,1,265
peintes,peintes,1,1,1
pelaux,pelaux,1,1,2
Pelaux,pelaux,1,1,2
pelotons,petoltons,1,1,1
Pendules,pendules,1,1,7
pendules de 8 livres,pendules de 8 livres,1,1,1
pendulle,pendules,1,1,7
pendulles,pendules,1,1,7
Perches,perches,1,1,3
pesant,,1,1,163258
pesant 180 livres,,1,1,163258
pesant 400 livres,,1,1,163258
Petit balot,petit ballot,1,1,1
Petit baril,barils petits,1,1,50
Petit sac,petit sac,1,1,1
petite caisse,petite caisse,1,1,1
Petite caisse,,1,1,163258
petite pièces,petite pièces,1,1,1
Petites,petits,1,1,28
petites barils,barils petits,1,1,50
Petites caisses,petites caisses,1,1,3
Petites cruches,petites cruches,1,1,1
Petites pentes,,1,1,163258
Petits,petits,1,1,28
pezam,pezant,1,1,3
PI,pièces,1,1,22175
Piaires,paires,1,1,2838
Piè,pièces,1,1,22175
pièce de 20 aulnes,pièces de 20 aulnes,1,1,1
Pièce double,pièce double,1,1,1
Piéces,pièces,1,1,22175
pîeces,,1,1,163258
pièces de 10 aunes,,1,1,163258
pieces de 28,,1,1,163258
pièces de 50L,pièce de 50L,1,1,1
Pièces grosses,pièces grosses,1,1,1
Pièces pour barriques,pièces pour barriques,1,1,1
piècs,pièces,1,1,22175
Piècs,pièces,1,1,22175
Piècves,pièces,1,1,22175
Pieriers,,1,1,163258
Pieu,pièces,1,1,22175
pilan,pilan,1,1,1
pipes de 2 bariques,pipe de 2 barriques,1,1,1
Pipes ordinaires,pipe ordinaire,1,1,1
pipet,pipe,1,1,371
pipettes,pipettes,1,1,1
pites,pintes,1,1,731
plamches,planches,1,1,51
planche,,1,1,163258
Plateaux,plateaux,1,1,1
plumes,plumes,1,1,1
pnier,panier,1,1,1
poches,poches,1,1,3
Poele,poële,1,1,1
Poenion,,1,1,163258
Pognées,pognées,1,1,1
poiçons,,1,1,163258
Poignés,poignées,1,1,52
poincon,poinçons,1,1,256
poinEau,poinçons,1,1,256
Poisseaux,,1,1,163258
pommes,pommes,1,1,1
pommiers,pommiers,1,1,1
Pors,pots,1,1,1518
postes,postes,1,1,1
postiches petites,,1,1,163258
pots à fleurs,,1,1,163258
poulets,poulets,1,1,1
pour cent,pour cent,1,1,1
pour grennier ?,,1,1,163258
pouteries,poutrelles,1,1,1
Prises,prises,1,1,4
quars de Barils,quart de barils,1,1,1
quart de charge,quart de charge,1,1,1
Quarteaux,quartaut,1,1,6
Quartier,quartiers,1,1,43
quartillons,,1,1,163258
Quarts??,quarts,1,1,432
Queue,queues,1,1,9
quiconir,quiconir,1,1,1
quinal,quintal,1,1,2787
quinquets,quinquets,1,1,1
quintaux de Saint-Domingue,quintaux de Saint-Domingue,1,1,1
radeaux,radeaux,1,1,1
rame ou aunes,rame ou aunes,1,1,1
Rapé,râpé,1,1,1
rasières,razières,1,1,55
Razière,razières,1,1,55
razieres,razières,1,1,55
Réchaux,réchauds,1,1,1
rode,rodes,1,1,68
roder,rodes,1,1,68
rodes ?,,1,1,163258
rodes ???,,1,1,163258
Rolle,rolle,1,1,1
Rondelles,rondelles,1,1,1
Sabres,sabres,1,1,9
Sacs de 2800 boisseaux,sacs de 2800 boisseaux,1,1,1
saix,faix,1,1,267
sannées,sannées,1,1,1
Saur,saur,1,1,1
seaux,seaux,1,1,1
Secheldes,cheldes,1,1,2
selles,selles,1,1,1
septires,setiers,1,1,162
serges,serges,1,1,1
sergiers,services,1,1,28
Serviettes,serviettes,1,1,1
setiés,setiers,1,1,162
settier,setiers,1,1,162
sevices,services,1,1,28
simple,simple,1,1,1
simples,,1,1,163258
Sixain,,1,1,163258
Sixaine,sixains,1,1,32
sixieme de baril,sixième de baril,1,1,1
sizaines,sizains,1,1,11
solives,solives,1,1,1
Somme,somme,1,1,8
sommée,sommées,1,1,11
sors,,1,1,163258
sortes,sortes,1,1,1
Sous,sous,1,1,1
stimées,estimé,1,1,362
stoc,livres,1,1,234152
Tableaux,tableaux,1,1,1
taille petit,taille petit,1,1,1
Tapis,tapis,1,1,3
taques ?,,1,1,163258
Tarsonde,tierçons,1,1,529
Tasses,tasses,1,1,13
teinture,,1,1,163258
Tenture,tentures,1,1,3
tentures,tentures,1,1,3
Tentures,tentures,1,1,3
testes,,1,1,163258
thuiles,tuiles,1,1,2
thuilles,tuiles,1,1,2
TIERCON,tierçons,1,1,529
tiercons et demy,,1,1,163258
Tierions,tierçons,1,1,529
tierions ?,,1,1,163258
tiers,tiers,1,1,1
timbre,timbres,1,1,23
Times,tinnes,1,1,2
Timpettes,timpettes,1,1,1
tinéa,tinéa,1,1,1
tinettes,tinettes,1,1,1
tinnes,tinnes,1,1,2
Toisons,toisons,1,1,1
Tomes,tomes,1,1,3
tommes,tommes,1,1,2
Tommes,tommes,1,1,2
toneaux,tonneaux,1,1,5564
Tones?,tones,1,1,1
tonnaux,tonneaux,1,1,5564
Tonneaux a 20 qu,tonneaux a 20 quarts,1,1,1
tonneaux de 2000 livres,,1,1,163258
Tonneaux de 5250 livres,tonneaux de 5250 livres,1,1,1
Tonneaux de haut,tonneaux de haut,1,1,1
Tonneaux de ville,tonneaux de ville,1,1,1
tonneaux fonds,tonneaux fonds,1,1,1
topettes,,1,1,163258
torches,torches,1,1,4
Touches,torches,1,1,4
Toupette,,1,1,163258
Toyette?,topettes,1,1,5
Tracques,traques,1,1,241
Treilles,treilles,1,1,2
treittes,treilles,1,1,2
unité,unité,1,1,1
urnes,urnes,1,1,1
val,valeur,1,1,552
vals,vals,1,1,1
varres,varres,1,1,1
vases,,1,1,163258
vbarils,barils,1,1,6949
Vbarils,barils,1,1,6949
veaux,veaux,1,1,1
velles,veltes,1,1,888
Veltes le demi,veltes le demi,1,1,1
veltres,veltes,1,1,888
vie?,pièces,1,1,22175
vielles,,1,1,163258
vieux?,pièces,1,1,22175
Vivants,vivants,1,1,1
vogues,vogues,1,1,1
voiture,voitures,1,1,23
Voitures,voitures,1,1,23
vollilles,vollilles,1,1,1
Volume,,1,1,163258
yunes,yunes,1,1,1
???? cou,???? cou,0,0,0
9 pieds,,0,0,0
assorties,,0,0,0
avirons,avirons,0,0,0
barbus,,0,0,0
barils blancs,,0,0,0
barils saumur,,0,0,0
bazannes,bazannes,0,0,0
Billots,billots,0,0,0
bœf,bœfs,0,0,0
bœfs,bœfs,0,0,0
chamois,chamois,0,0,0
Charrette,charrettes,0,0,0
Charrettée,charretées,0,0,0
Charrettées,charretées,0,0,0
cout,cent,0,0,0
couvertures,couvertures,0,0,0
fermier,services,0,0,0
fervices,services,0,0,0
Feüilles,feuille,0,0,0
Feüillets,feuillet,0,0,0
Francs,francs,0,0,0
Futaille de 800 livres,futaille de 800 livres,0,0,0
génisses,génisses,0,0,0
Girofle,girofle,0,0,0
Grammes,gramme,0,0,0
Kilo,kilogrammes,0,0,0
liivres,livres,0,0,0
livres de bateau,livres de bateau,0,0,0
livres de hambourg,livres de hambourg,0,0,0
livres valeur,,0,0,0
mailles,mailles,0,0,0
marcs 6 onces,marcs 6 onces,0,0,0
maroquins,maroquins,0,0,0
martes,martes,0,0,0
mats doubles,,0,0,0
Miliers,milliers,0,0,0
mollus,mollus,0,0,0
moutons,moutons,0,0,0
Muids + pintes,muids + pintes,0,0,0
Muids + Pintes,muids + pintes,0,0,0
Mulets,mulets,0,0,0
mullets,mulets,0,0,0
oxhoft,oxhoft,0,0,0
Pagats,pagats,0,0,0
Paguas,paguas,0,0,0
pains par 100,pains par 100,0,0,0
pièce de 30 pieds,pièce de 30 pieds,0,0,0
Pièces ?,pièces,0,0,0
Pièces de judes,pièces des Indes,0,0,0
poché,pochées,0,0,0
porcelets,porcelets,0,0,0
porqs,porcs,0,0,0
Poulains,poulains,0,0,0
poutre,poutre,0,0,0
q livre,q livre,0,0,0
quart d'aunes,,0,0,0
Retz,rets,0,0,0
sans,sans,0,0,0
Saumes,saumes,0,0,0
tierce,tierce,0,0,0
tonneux,tonneaux,0,0,0
traquer,traques,0,0,0
V,valeur,0,0,0
Valeur Cy,valeur cy,0,0,0
valeur de,valeur,0,0,0
Valeur de,valeur,0,0,0
valeur en livre tournois,,0,0,0
valeur en livres,,0,0,0
valeur en livres tournois,,0,0,0
valeur livres,,0,0,0
Valeurs,valeur,0,0,0
valeurs en livres,,0,0,0
valeurs en livres tournois,,0,0,0
Valleur,valeur,0,0,0
