numrodeligne,dataentryby,sources,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
266,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,12,1747,Exports,Alun,Marseille,Hollande,66800,Livres,"0,1",6680,0,
267,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,12,1747,Exports,Amandes cassées,Marseille,Hollande,107515,Livres,"0,2",21503,0,
268,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,12,1747,Exports,Amidon,Marseille,Hollande,180,Livres,"0,2",36,0,
269,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,12,1747,Exports,Anchois,Marseille,Hollande,21362,Livres,"0,5",10681,0,
270,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,12,1747,Exports,Anis,Marseille,Hollande,220,Livres,"0,2",44,0,
271,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Antimoine,Marseille,Hollande,1875,Livres,"0,15",281,"0,25",
272,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Azur commun,Marseille,Hollande,140,Livres,"0,6",84,0,
273,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Bas de Soye,Marseille,Hollande,76,Livres,40,3040,0,
274,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Baume de capabu,Marseille,Hollande,200,Livres,8,1600,0,
275,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Bois fustel,Marseille,Hollande,2500,Livres,"0,05",125,0,
276,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Bol d'armenie,Marseille,Hollande,700,Livres,"0,12",84,0,
277,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Bouchons de liege,Marseille,Hollande,400,Livres,3,1200,0,
278,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Caffé,Marseille,Hollande,10200,Livres,"1,5",15300,0,
279,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Cantarides,Marseille,Hollande,1200,Livres,4,4800,0,
280,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Capres,Marseille,Hollande,62450,Livres,"0,22",13739,0,
281,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Chataignes,Marseille,Hollande,137,Livres,"0,06",8,"0,22",
282,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Colloquinte,Marseille,Hollande,400,Livres,"1,25",500,0,
283,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Corail ouvré,Marseille,Hollande,470,Livres,160,75200,0,
284,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Coton filé,Marseille,Hollande,32945,Livres,"1,1",36239,"0,5",
285,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Coton en laine,Marseille,Hollande,301749,Livres,"0,5",150874,"0,5",
286,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Cumin,Marseille,Hollande,1300,Livres,"0,17",221,0,
287,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Dattes,Marseille,Hollande,190,Livres,"0,2",38,0,
288,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Demitte,Marseille,Hollande,1650,Livres,2,3300,0,
289,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Drogueries,Marseille,Hollande,11841,Livres,1,11841,0,
290,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Eau mineralle,Marseille,Hollande,300,Livres,"0,5",150,0,
291,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Eau de la Reyne d'Hongrie,Marseille,Hollande,260,Livres,"0,75",195,0,
292,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Eau de vie,Marseille,Hollande,56925,Livres,"0,125",7116,"-0,38",
293,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Encens,Marseille,Hollande,1788,Livres,"0,8",1430,"0,4",
294,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,13,1747,Exports,Eponges,Marseille,Hollande,1200,Livres,1,1200,0,
295,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Essence,Marseille,Hollande,1660,Livres,1,1660,0,
296,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Fayence,Marseille,Hollande,740,Livres,"0,5",370,0,
297,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Figues,Marseille,Hollande,2132,Livres,"0,1",213,"0,2",
298,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Fil a coudre,Marseille,Hollande,200,Livres,2,400,0,
299,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Fruit a l'eau de vie,Marseille,Hollande,500,Livres,1,500,0,
300,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Galles de levant,Marseille,Hollande,122484,Livres,"0,5",61242,0,
301,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Garence,Marseille,Hollande,326,Livres,"0,35",114,"0,1",
302,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Gomme arabique,Marseille,Hollande,1000,Livres,"0,4",400,0,
303,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Grabeau d'encens,Marseille,Hollande,990,Livres,"0,15",148,"0,5",
304,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Graine d'aspic,Marseille,Hollande,4700,Livres,"0,1",470,0,
305,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Graine d'avignon,Marseille,Hollande,2240,Livres,"0,25",560,0,
306,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Graine de jardin,Marseille,Hollande,4595,Livres,"1,1",5054,"0,5",
307,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Graine de luzerne,Marseille,Hollande,2800,Livres,"0,05",28,112,Erreur de calcul
308,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Herbes d'orseille,Marseille,Hollande,6000,Livres,"0,12",720,0,
309,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Huile d'aspic,Marseille,Hollande,265,Livres,"0,3",79,"0,5",
310,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Huile d'olive,Marseille,Hollande,5510,Milleroles,38,209380,0,
311,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Huile d'olive,Marseille,Hollande,18490,Livres,"0,4",7396,0,
312,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Jujubes,Marseille,Hollande,1632,Livres,"0,2",326,"0,4",
313,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Jus de reglisse,Marseille,Hollande,56117,Livres,"0,75",42087,"0,75",
314,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Librairie,Marseille,Hollande,100,Livres,2,200,0,
315,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Liege,Marseille,Hollande,15424,Livres,"0,15",2313,"0,6",
316,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Liqueurs a boire,Marseille,Hollande,1692,Livres,"0,75",1269,0,
317,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Mane de calabre,Marseille,Hollande,4498,Livres,"1,5",6747,0,
318,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,14,1747,Exports,Mercerie,Marseille,Hollande,540,Livres,"3,5",1890,0,
319,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Miel,Marseille,Hollande,93446,Livres,"0,15",14016,"0,9",
320,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Mouchoirs de soye,Marseille,Hollande,120,Douzaines,28,3350,10,Erreur de calcul
321,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Ocre,Marseille,Hollande,700,Livres,"0,1",70,0,
322,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Oignons de fleurs,Marseille,Hollande,628,Livres,"0,5",314,0,
323,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Oignons de tubereuse ,Marseille,Hollande,5500,Livres,"0,5",2750,0,
324,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Olives,Marseille,Hollande,6050,Livres,"0,15",907,"0,5",
325,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Orpiment,Marseille,Hollande,515,Livres,"0,3",154,"0,5",
326,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Papier a ecrire,Marseille,Hollande,225,Rames,6,1350,0,
327,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Peaux de maroquin,Marseille,Hollande,800,Livres,"1,5",1200,0,
328,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Pistaches,Marseille,Hollande,1050,Livres,1,1050,0,
329,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Poissons salés,Marseille,Hollande,22380,Livres,"0,2",4476,0,
330,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Poivre,Marseille,Hollande,390,Livres,"1,6",604,20,Erreur de calcul
331,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Poix raisine,Marseille,Hollande,195,Livres,"0,15",29,"0,25",
332,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Pomades,Marseille,Hollande,67,Livres,1,67,0,
333,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Prunes,Marseille,Hollande,145354,Livres,"0,2",29070,"0,8",
334,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Quincaille de fer et acier,Marseille,Hollande,156,Livres,1,156,0,
335,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Raisin sec,Marseille,Hollande,14688,Livres,"0,2",2937,"0,6",
336,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Reglisse,Marseille,Hollande,575,Livres,"0,075",43,"0,13",
337,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Ris,Marseille,Hollande,4750,Livres,"0,12",570,0,
338,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Rozeaux coupés,Marseille,Hollande,4739,Livres,"0,15",710,"0,85",
339,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Saffran,Marseille,Hollande,50,Livres,10,500,0,
340,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Saffranon,Marseille,Hollande,3806,Livres,"0,65",2473,"0,9",
341,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,15,1747,Exports,Salicor,Marseille,Hollande,2050,Livres,"0,08",164,0,
342,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Savon blanc,Marseille,Hollande,1175775,Livres,"0,35",411521,"0,25",
343,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Savon madré,Marseille,Hollande,7506092,Livres,"0,4",3002436,"0,8",
344,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Scamonée,Marseille,Hollande,1500,Livres,9,13500,0,
345,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Sel armoniac,Marseille,Hollande,13945,Livres,1,13945,0,
346,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Sené,Marseille,Hollande,960,Livres,"1,5",1440,0,
347,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Sirop d'alkerme,Marseille,Hollande,3485,Livres,"1,75",6105,"-6,25",Erreur de calcul
348,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Sirop de capilaire,Marseille,Hollande,1455,Livres,1,1455,0,
349,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Sivadille,Marseille,Hollande,160,Livres,"0,2",32,0,
350,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Soude,Marseille,Hollande,2550,Livres,"0,09",229,"0,5",
351,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Soye aprestée,Marseille,Hollande,6695,Livres,20,133900,0,
352,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Storax,Marseille,Hollande,861,Livres,"2,25",1937,"0,25",
353,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Sumac,Marseille,Hollande,84070,Livres,"0,25",21017,"0,5",
354,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Tabac,Marseille,Hollande,377,Livres,"0,25",94,"0,25",
355,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Tables de marbre,Marseille,Hollande,880,Livres,,200,,Estimé
356,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Tableaux,Marseille,Hollande,10,Douzaines,240,2400,0,
357,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Tamarin,Marseille,Hollande,776,Livres,"0,4",310,"0,4",
358,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Tartre,Marseille,Hollande,18825,Livres,"0,24",4518,0,
359,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Thon mariné,Marseille,Hollande,269,Livres,"0,9",242,"0,1",
360,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Toile d'antioche,Marseille,Hollande,200,pièces,12,2400,0,
361,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Toile piquée,Marseille,Hollande,300,Livres,10,3000,0,
362,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Truffes,Marseille,Hollande,319,Livres,4,1276,0,
363,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,16,1747,Exports,Verdet,Marseille,Hollande,16831,Livres,"0,8",13464,"0,8",
364,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Vermichel,Marseille,Hollande,200,Livres,"0,2",40,0,
365,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Vin blanc,Marseille,Hollande,10,Milleroles,20,200,0,
366,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Vin de chipre,Marseille,Hollande,1206,Milleroles,60,72360,0,
367,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Vin Muscat,Marseille,Hollande,22,Milleroles,60,1320,0,
368,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Vin rouge commun,Marseille,Hollande,11,Milleroles,7,77,0,
369,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Vitriol de chipres,Marseille,Hollande,116,Livres,60,6960,0,
370,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Acaciavera,Marseille,Italie,350,Livres,1,350,0,
371,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Acier,Marseille,Italie,2700,Livres,"0,35",945,0,
372,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Ajamis,Marseille,Italie,10524,Pieces,9,94716,0,
373,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Alumettes,Marseille,Italie,82,Livres,"0,2",16,"0,4",
374,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Alun,Marseille,Italie,22550,Livres,"0,1",2255,0,
375,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Amadou,Marseille,Italie,189,Livres,"0,5",94,"0,5",
376,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Amandes cassées,Marseille,Italie,959000,Livres,"0,2",191800,0,
377,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Amidon,Marseille,Italie,31058,Livres,"0,2",6211,"0,6",
378,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Anchois,Marseille,Italie,3200,Livres,"0,5",1600,0,
379,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Anis,Marseille,Italie,15530,Livres,"0,2",3106,0,
380,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Antimoine,Marseille,Italie,2738,Livres,"0,15",410,"0,7",
381,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Arcenic ,Marseille,Italie,216,Livres,"0,2",43,"0,2",
382,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,17,1747,Exports,Argent vif,Marseille,Italie,519,Livres,5,2595,0,
383,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,18,1747,Exports,Aristoloche,Marseille,Italie,2000,Livres,"0,1",200,0,
384,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,18,1747,Exports,Arquifou,Marseille,Italie,7746,Livres,"0,15",1161,"0,9",
385,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,18,1747,Exports,Auf,Marseille,Italie,200,Livres,"0,1",20,0,
386,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,18,1747,Exports,Avoine,Marseille,Italie,1175,Charges,12,22100,-8000,Erreur de calcul
387,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,18,1747,Exports,Azur commun,Marseille,Italie,214,Livres,"0,6",128,"0,4",
