numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,remarks,doubleaccounts
734,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; espagnolette,Espagne,3592,542,50428,livres,,0
735,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; espagnolette,Genève,2469,383,50428,livres,,0
736,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; espagnolette,Hollande,6328,949,50428,livres,,0
737,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; espagnolette,Italie,4515,650,50428,livres,,0
738,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; espagnolette,Nord,1050,150,50428,livres,,0
739,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; espagnolette,Russie,9009,1374,50428,livres,,0
740,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; espagnolette,Savoye,6582,1012,50428,livres,,0
741,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; espagnolette,Suisse,4484,658,50428,livres,,0
742,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; flanelle,Espagne,28396,7099,54240,livres,,0
743,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; flanelle,Hollande,23404,5851,54240,livres,,0
744,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; flanelle,Italie,1200,300,54240,livres,,0
745,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; flanelle,Savoye,1240,310,54240,livres,,0
746,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; molton,Allemagne,1854,463.5,8516,livres,,0
747,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,28,Drap ; draperie ; molton,Flandre,3362,95,8516,pièces,,0
748,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; molton,Isles,2036,509,8516,livres,,0
749,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; molton,Savoye,1264,316,8516,livres,,0
750,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Allemagne,357025,51519,5710702,livres,,0
751,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Angleterre,2454,409,5710702,livres,,0
752,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Espagne,349317,59625,5710702,livres,,0
753,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Flandre,24983,3569,5710702,livres,,0
754,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Genève,592277,89304,5710702,livres,,0
755,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Guinée,10100,2020,5710702,livres,,0
756,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Gènes,212650,42530,5710702,livres,,0
757,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Isles,4110,822,5710702,livres,,0
758,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Italie,1741598,274393,5710702,livres,,0
759,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Levant,244175,44635,5710702,livres,,0
760,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Naples,168890,33778,5710702,livres,,0
761,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Savoye,1428385,219583,5710702,livres,,0
762,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Suisse,566363,81724,5710702,livres,,0
763,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ordinaire,Venise,8375,1675,5710702,livres,,0
764,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; petite,Allemagne,143547,47849,1653282,livres,,0
765,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; petite,Espagne,1033974,337338,1653282,livres,,0
766,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; petite,Flandre,81954,27318,1653282,livres,,0
767,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; petite,Gènes,20445,6815,1653282,livres,,0
768,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; petite,Italie,173499,57833,1653282,livres,,0
769,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; petite,Levant,23490,7830,1653282,livres,,0
770,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; petite,Naples,94110,31370,1653282,livres,,0
771,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; petite,Russie,2520,840,1653282,livres,,0
772,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; petite,Savoye,41313,771,1653282,livres,,0
773,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; petite,Suisse,25500,8500,1653282,livres,,0
774,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; petite,Venise,12930,4310,1653282,livres,,0
775,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; pinchina,Flandre,3800,19,3800,pièces,,0
776,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ratine,Allemagne,5505,415,11435,livres,,0
777,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; ratine,Russie,5930,788,11435,livres,,0
778,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; raz ; de castor,Indes,13400,1340,13400,livres,,0
779,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; raz ; de maroc,Allemagne,270590,27059,1638370,livres,,0
780,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; raz ; de maroc,Espagne,55960,5812,1638370,livres,,0
781,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; raz ; de maroc,Flandre,31390,3139,1638370,livres,,0
782,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; raz ; de maroc,Gènes,5900,590,1638370,livres,,0
783,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; raz ; de maroc,Italie,210560,21056,1638370,livres,,0
784,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; raz ; de maroc,Portugal,996040,99604,1638370,livres,,0
785,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; raz ; de maroc,Savoye,24850,2485,1638370,livres,,0
786,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; raz ; de maroc,Suisse,43080,4308,1638370,livres,,0
787,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; serge ; de laine,Allemagne,126893,31555,287168,livres,,0
788,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; serge ; de laine,Espagne,8262,1968,287168,livres,,0
789,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; serge ; de laine,Flandre,92630,19220,287168,livres,,0
790,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; serge ; de laine,Hollande,49424,12356,287168,livres,,0
791,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; serge ; de laine,Italie,4212,1054,287168,livres,,0
792,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Drap ; draperie ; serge ; de laine,Savoye,5747,1373,287168,livres,,0
793,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,29,Draps de lit,Isles,5000,200,500,paires,,0
794,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drapeaux ; vieux,Espagne,6134,12268,6134,livres,,0
795,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Allemagne,35838,17919,491426,livres,,0
796,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Espagne,209786,104893,491426,livres,,0
797,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Flandre,5823,3911.5,491426,livres,,0
798,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Genève,2795,,491426,,,0
799,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Gènes,64684,32342,491426,livres,,0
800,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Hollande,5268,2634,491426,livres,,0
801,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Isles,53358,26679,491426,livres,,0
802,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Italie,16856,8428,491426,livres,,0
803,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Levant,46074,23037,491426,livres,,0
804,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Naples,7450,3725,491426,livres,,0
805,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Savoye,12902,6451,491426,livres,,0
806,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Suisse,27180,,491426,,,0
807,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Drogueries,Venise,3412,1706,491426,livres,,0
808,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de la Reine d'Hongrie,Espagne,5400,5400,39617,livres,,0
809,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de la Reine d'Hongrie,Gènes,6570,6570,39617,livres,,0
810,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de la Reine d'Hongrie,Hollande,2310,2310,39617,livres,,0
811,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de la Reine d'Hongrie,Italie,3445,3445,39617,livres,,0
812,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de la Reine d'Hongrie,Levant,1525,1525,39617,livres,,0
813,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de la Reine d'Hongrie,Naples,3652,3652,39617,livres,,0
814,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de la Reine d'Hongrie,Portugal,1000,1000,39617,livres,,0
815,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de la Reine d'Hongrie,Savoye,15715,15715,39617,livres,,0
816,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de raisine,Naples,1450,2900,3206,livres,,0
817,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de raisine,Savoye,1756,3513,3206,livres,,0
818,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de senteur,Allemagne,19957,17110,40856,livres,,0
819,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de senteur,Flandre,1187,950,40856,livres,,0
820,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de senteur,Nord,3180,1272,40856,livres,,0
821,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de senteur,Russie,10867,4347,40856,livres,,0
822,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de senteur,Suisse,5665,5665,40856,livres,,0
823,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de vie,Allemagne,1144356,7611.25,7270344,pièces,,0
824,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de vie,Angleterre,1455279,9162.125,7270344,barriques,Unités de compte : équivalent à 32327 W ?,0
825,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de vie,Danemark,324550,1622.75,7270344,muids,,0
826,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de vie,Espagne,179457,941.75,7270344,barriques,,0
827,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de vie,Flandre,171166,1434.5,7270344,barriques,,0
828,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; de vie,Genève,1617,4620,7270344,livres,,0
829,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; forte,Espagne,2939,2939,19612,livres,,0
830,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; forte,Italie,16673,2645,19612,livres,,0
831,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; roze,Gènes,2300,2300,5280,livres,,0
832,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,30,Eau ; roze,Savoye,2980,2980,5280,livres,,0
833,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Guinée,1254394,261572,7270344,???? W,Unité de compte: velte,0
834,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Gènes,1357,5430,7270344,livres,,0
835,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Hollande,737973,5963.75,7270344,barriques,,0
836,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Indes,592920,2761,7270344,muids,Unités de compte : équivalent à 182900 Livres,0
837,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Isles,320066,194.75,7270344,muids,Unités de compte : équivalent à 1124764 Livres,0
838,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Italie,22616,70542,7270344,livres,,0
839,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Levant,5508,22035,7270344,livres,,0
840,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Nord,432349,3647.25,7270344,barriques,,0
841,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Russie,136513,1137.66,7270344,barriques,,0
842,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Savoye,62434,186158,7270344,livres,,0
843,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Suisse,48132,180.25,7270344,muids,,0
844,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eau ; de vie,Suède,379657,3259,7270344,barriques,,0
845,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Ecailles ; de tortüe,Naples,2000,250,2000,livres,,0
846,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Encens,Italie,1050,2100,8614,livres,,0
847,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Encens,Nord,6222,12445,8614,livres,,0
848,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Encens,Venise,1342,2684,8614,livres,,0
849,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Epicerie,Allemagne,4296,2148,39832,livres,,0
850,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Epicerie,Guinée,1012,450,39832,livres,,0
851,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Epicerie,Isles,6156,1674,39832,livres,,0
852,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Epicerie,Italie,13220,3305,39832,livres,,0
853,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Epicerie,Levant,15148,3787,39832,livres,,0
854,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Epingles,Allemagne,16107,3221,127424,livres,,0
855,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Epingles,Espagne,83360,32344,127424,livres,,0
856,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Epingles,Flandre,14405,2965,127424,livres,,0
857,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Epingles,Italie,1910,,127424,,,0
858,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Epingles,Portugal,11642,,127424,,,0
859,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,31,Eponges,Genève,1350,900,1350,livres,,0
860,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Escayolles,Gènes,1305,8700,1305,livres,,0
861,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Essence,Naples,2880,960,4758,livres,,0
862,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Essence,Savoye,1878,626,4758,livres,,0
863,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Estampes,Allemagne,10220,730,50640,livres,,0
864,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Estampes,Angleterre,32020,3202,50640,livres,,0
865,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Estampes,Espagne,4400,440,50640,livres,,0
866,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Estampes,Russie,4000,400,50640,livres,,0
867,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Estrasse ; de soye,Naples,11380,11380,11380,livres,,0
868,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etain ; en bloc,Guinée,584,660,584,livres,,0
869,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etain ; ouvré,Allemagne,6463,6463,366231,livres,,0
870,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etain ; ouvré,Espagne,1918,1855,366231,livres,,0
871,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etain ; ouvré,Guinée,4100,4100,366231,livres,,0
872,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etain ; ouvré,Isles,4812,3925,366231,livres,,0
873,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etain ; ouvré,Levant,343349,343349,366231,livres,,0
874,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etain ; ouvré,Naples,5589,3726,366231,livres,,0
875,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etamine ; de laine,Allemagne,69582,11597,677665,livres,,0
876,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etamine ; de laine,Espagne,370062,65138,677665,livres,,0
877,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etamine ; de laine,Flandre,27654,4609,677665,livres,,0
878,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etamine ; de laine,Hollande,7405,1355,677665,livres,,0
879,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etamine ; de laine,Italie,1200,200,677665,livres,,0
880,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etamine ; de laine,Nord,6390,1065,677665,livres,,0
881,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,33,Etamine ; de laine,Portugal,66588,12504,677665,livres,,0
882,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,34,Etamine ; de Reims,Allemagne,49035,8172,386397,livres,,0
883,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,34,Etamine ; de Reims,Espagne,185450,18545,386397,livres,,0
884,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,34,Etamine ; de Reims,Flandre,4192,524,386397,livres,,0
885,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,34,Etamine ; de Reims,Gènes,1560,195,386397,livres,,0
886,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,34,Etamine ; de Reims,Italie,67080,8385,386397,livres,,0
