numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,doubleaccount
299,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,10,Avril 1714,Papier,Rennes,Nord,786,Rames,0,0,0,,
300,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,10,Avril 1714,Ris,Rennes,Nord,3700,Livres,0,0,0,,
301,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,10,Avril 1714,Souffre,Rennes,Nord,7900,Livres,0,0,0,,
302,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,10,Avril 1714,Savon,Rennes,Nord,25360,Livres,0,0,0,,
303,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,10,Avril 1714,Toile a voile,Rennes,Nord,6000,Aunes,0,0,0,,
304,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,10,Avril 1714,Vin d'Espagne,Rennes,Nord,"11,5",Pipes,0,0,0,,
305,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,10,Avril 1714,Vin de Bordeaux,Rennes,Nord,"22,5",Tonneaux,0,0,0,,
306,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,10,Avril 1714,Vinaigre,Rennes,Nord,30,Tonneaux,0,0,0,,
307,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,10,Avril 1714,Papier,Rennes,Espagne,4602,Rames,0,0,0,,
308,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,10,Avril 1714,Sardines,Rennes,Espagne,57,Bariques,0,0,0,,
309,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile de marigni,Rennes,Espagne,952,Aunes,0,0,0,Mesure d'origine livre,
310,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile humaine,Rennes,Espagne,2564,Aunes,0,0,0,,
311,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile crée rosconne,Rennes,Espagne,16000,Aunes,0,0,0,,
312,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile de Bretagne fine large,Rennes,Espagne,200,Pièces,0,0,0,,
313,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile de Bretagne fine étroite,Rennes,Espagne,300,Pièces,0,0,0,,
314,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile de Bretagne fine claire,Rennes,Espagne,128,Pièces,0,0,0,,
315,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile de laval,Rennes,Espagne,1200,Aunes,0,0,0,,
316,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile de laval,Rennes,Espagne,120,Pièces,0,0,0,,
317,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile de halle,Rennes,Espagne,2599,Aunes,0,0,0,,
318,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile écruë de langeneau,Rennes,Espagne,2400,Aunes,0,0,0,,
319,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Beuf salé,Rennes,Isles françoises de l'Amerique,162,Barils,0,0,0,,
320,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Chandelles de suif,Rennes,Isles françoises de l'Amerique,561,Livres,0,0,0,,
321,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Fer d'Espagne en barres,Rennes,Isles françoises de l'Amerique,15047,Livres,0,0,0,,
322,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Fil de Rennes,Rennes,Isles françoises de l'Amerique,88,Livres,0,0,0,,
323,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Mouchoirs de Pontichery,Rennes,Isles françoises de l'Amerique,168,Nombres,0,0,0,,
324,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Papier commun,Rennes,Isles françoises de l'Amerique,64,Rames,0,0,0,,
325,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Raisin sec,Rennes,Isles françoises de l'Amerique,282,Livres,0,0,0,,
326,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile de Dinan comune,Rennes,Isles françoises de l'Amerique,1500,Aunes,0,0,0,,
327,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile bas brin,Rennes,Isles françoises de l'Amerique,209,Aunes,0,0,0,,
328,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Toile d'antrain,Rennes,Isles françoises de l'Amerique,600,Aunes,0,0,0,,
329,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Verres communs,Rennes,Isles françoises de l'Amerique,48,Douzaines,0,0,0,,
330,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,Avril 1714,Verre a vitre ; petits carreaux,Rennes,Isles françoises de l'Amerique,1620,Nombres,0,0,0,,
331,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,May 1714,Beure de Bretagne,Rennes,Angleterre,200,Livres,0,0,0,,
332,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,May 1714,Bray sec,Rennes,Angleterre,4,Tonneaux,0,0,0,,
333,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,May 1714,Cire blanche,Rennes,Angleterre,3700,Livres,0,0,0,,
334,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,May 1714,Cloux de fer,Rennes,Angleterre,200,Livres,0,0,0,,
335,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,May 1714,Cordage refait,Rennes,Angleterre,3700,Livres,"0,1",370,0,,
336,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,May 1714,Cordage pourri,Rennes,Angleterre,4000,Livres,"0,015",60,0,,
337,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,May 1714,Chaises de paille,Rennes,Angleterre,3,Douzaines,0,0,0,,
338,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,May 1714,Eau de vie,Rennes,Angleterre,"10,25",Tonneaux,0,0,0,,
339,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,May 1714,Figues,Rennes,Angleterre,520,Livres,0,0,0,,
340,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,May 1714,Fil blanc,Rennes,Angleterre,250,Livres,0,0,0,,
341,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,11,May 1714,Fer en barres,Rennes,Angleterre,33000,Livres,0,0,0,,
342,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Huile d'olive,Rennes,Angleterre,300,Livres,0,0,0,,
343,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Jambon,Rennes,Angleterre,240,Livres,0,0,0,,
344,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Liège,Rennes,Angleterre,1500,Livres,0,0,0,,
345,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Miel,Rennes,Angleterre,2700,Livres,0,0,0,,
346,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Merain quartage ; douelles,Rennes,Angleterre,15,Milliers,50,750,0,,
347,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Plumes a lit,Rennes,Angleterre,100,Livres,0,0,0,,
348,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Planche de sapin de 9 pieds de longueur,Rennes,Angleterre,10,Nombres,0,0,0,,
349,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Pierre de moulage,Rennes,Angleterre,250,Nombres,0,0,0,,
350,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Raisine,Rennes,Angleterre,1,Tonneaux,0,0,0,,
351,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Raisine,Rennes,Angleterre,1770,Livres,"0,25","442,5",0,,
352,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Souffre,Rennes,Angleterre,9883,Livres,"0,2","1976,6",0,,
353,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Savon,Rennes,Angleterre,2616,Livres,0,0,0,,
354,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Toiles de halle,Rennes,Angleterre,2816,Aunes,0,0,0,,
355,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Toile de cholet,Rennes,Angleterre,200,Pièces,0,0,0,,
356,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Toile de Cambray,Rennes,Angleterre,700,Aunes,0,0,0,,
357,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Toile de pontivi,Rennes,Angleterre,93,Aunes,1,93,0,,
358,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Toile de Morlaix,Rennes,Angleterre,818,Aunes,0,0,0,,
359,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Toile de Leon,Rennes,Angleterre,400,Aunes,0,0,0,,
360,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Toile a voile,Rennes,Angleterre,180,Aunes,0,0,0,,
361,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Vin de Bordeaux,Rennes,Angleterre,18,Tonneaux,0,0,0,,
362,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Vinaigre,Rennes,Angleterre,4,Quarts,10,40,0,,
363,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Beure de Bretagne,Rennes,Hollande,450,Livres,0,0,0,,
364,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Bas de soie de la Chine pour homme,Rennes,Hollande,429,Paires,0,0,0,,
365,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Bas de soie de la Chine pour femme,Rennes,Hollande,100,Paires,0,0,0,,
366,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Caffé,Rennes,Hollande,52341,Livres,0,0,0,,
367,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Chagrin de soie,Rennes,Hollande,8,Pièces,0,0,0,,
368,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Ceinture de robe de chambre,Rennes,Hollande,100,Nombres,0,0,0,,
369,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Damas de la Chine,Rennes,Hollande,497,Pièces,0,0,0,,
370,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Eventails,Rennes,Hollande,1102,Nombres,0,0,0,,
371,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Graine de lin,Rennes,Hollande,3167,Boisseaux,0,0,0,,
372,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Gogorans,Rennes,Hollande,13,Pièces,0,0,0,,
373,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Grisette,Rennes,Hollande,127,Pièces,0,0,0,,
374,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Huile d'olive,Rennes,Hollande,1080,Livres,0,0,0,,
375,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,12,May 1714,Lampas,Rennes,Hollande,1,Pièces,0,0,0,,
376,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Lit complet d'etoffe de satin,Rennes,Hollande,1,Couvertures,0,0,0,,
377,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Lit complet d'etoffe de satin,Rennes,Hollande,1,Dossier,0,0,0,,
378,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Lit complet d'etoffe de satin,Rennes,Hollande,1,Chantourné,0,0,0,,
379,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Lit complet d'etoffe de satin,Rennes,Hollande,1,Ciel,0,0,0,,
380,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Lit complet d'etoffe de satin,Rennes,Hollande,6, Grandes pentes,0,0,0,,
381,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Lit complet d'etoffe de satin,Rennes,Hollande,4,Petites ,0,0,0,,
382,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Lit complet d'etoffe de satin,Rennes,Hollande,6,Rideaux,0,0,0,,
382,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Lit complet d'etoffe de satin,Rennes,Hollande,2,Tabourets,0,0,0,,
382,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Lit complet d'etoffe de satin,Rennes,Hollande,1,Toilette,0,0,0,,
383,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Miel,Rennes,Hollande,61150,Livres,0,0,0,,
384,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Mouchoir de soye de la chine,Rennes,Hollande,3,Pièces,0,0,0,,
385,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Mouchoir de soye de la chine,Rennes,Hollande,563,Nombres,0,0,0,,
386,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Pekin,Rennes,Hollande,686,Pièces,0,0,0,,
387,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Pekin petits,Rennes,Hollande,13,Pièces,0,0,0,,
388,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Pekin a fleur,Rennes,Hollande,4,Pièces,0,0,0,,
389,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Peaux de martre,Rennes,Hollande,160,Nombres,0,0,0,,
390,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Peaux de renard,Rennes,Hollande,200,Nombres,0,0,0,,
391,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Peaux de lievre,Rennes,Hollande,50,Nombres,0,0,0,,
392,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Parchemin,Rennes,Hollande,6,Torches,0,0,0,,
393,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Papier,Rennes,Hollande,2488,Rames,0,0,0,,
394,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Robe de chambre de la Chine,Rennes,Hollande,2,Nombres,0,0,0,,
395,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Rubans ou listonnerie,Rennes,Hollande,115,Pièces,0,0,0,,
396,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Rognures de parchemin,Rennes,Hollande,200,Livres,0,0,0,,
397,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Satin,Rennes,Hollande,4,Pièces,0,0,0,,
398,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Satin brodé,Rennes,Hollande,1,Pièces,0,0,0,,
399,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Soie a coudre,Rennes,Hollande,404,Livres,0,0,0,,
400,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Savon,Rennes,Hollande,750,Livres,0,0,0,,
401,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Vin de Canarie,Rennes,Hollande,1,Bariques,0,0,0,,
402,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Vieusoin,Rennes,Hollande,1800,Livres,0,0,0,,
403,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Anchois,Rennes,Nord,223,Pots,0,0,0,,
404,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Avelines,Rennes,Nord,145,Livres,0,0,0,,
405,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Amandes,Rennes,Nord,386220,Livres,0,0,0,,
406,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Bas de soie,Rennes,Nord,1,Paires,0,0,0,,
407,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Câpes,Rennes,Nord,80,Livres,0,0,0,,
408,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Cordons de soie a canne,Rennes,Nord,7,Nombres,0, ,0,,
409,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Dattes,Rennes,Nord,52,Livres,0,0,0,,
410,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Eau de vie,Rennes,Nord,"3,25",Tonneaux,0,0,0,,
411,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Figues,Rennes,Nord,1324,Livres,0,0,0,,
412,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Huitres a la daube,Rennes,Nord,220,Barils,0,0,0,,
413,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,13,May 1714,Huile d'olive,Rennes,Nord,4320,Livres,0,0,0,,
414,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Morue verte,Rennes,Nord,2,Cens,0,0,0,,
415,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Morue seche,Rennes,Nord,600,Livres,0,0,0,,
416,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Noix,Rennes,Nord,2,Poinçons,0,0,0,Mesure d'origine livre,
417,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Noix de gale,Rennes,Nord,680,Livres,0,0,0,,
418,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Olive,Rennes,Nord,5800,Livres,0,0,0,,
419,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Prunes de brignole,Rennes,Nord,354,Livres,0,0,0,,
420,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Papier,Rennes,Nord,352,Rames,0,0,0,,
421,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Raisin passe,Rennes,Nord,4381,Livres,0,0,0,,
422,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Raisin de corinte,Rennes,Nord,405,Livres,0,0,0,,
423,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Ris,Rennes,Nord,1160,Livres,0,0,0,,
424,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Robe de chambre,Rennes,Nord,5,Nombres,0,0,0,Pas la même quantité original/copie,
425,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Soie a coudre,Rennes,Nord,12,Livres,0,0,0,,
426,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Satin rayé,Rennes,Nord,6,Pièces,0,0,0,,
427,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Savon,Rennes,Nord,2615,Livres,0,0,0,,
428,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Turban de soye,Rennes,Nord,1,Nombres,0,0,0,,
429,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Toile de coton bleue,Rennes,Nord,1,Pièces,0,0,0,,
430,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Tafetas rayé,Rennes,Nord,1,Pièces,0,0,0,,
431,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Tapis de satin brodé,Rennes,Nord,3,Nombres,0,0,0,,
432,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Vin d'Espagne,Rennes,Nord,"6,5",Bariques,0,0,0,,
433,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Vin blanc,Rennes,Nord,"3,25",Tonneaux,0,0,0,,
434,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Vinaigre,Rennes,Nord,"6,5",Tonneaux,0,0,0,,
435,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Velours,Rennes,Nord,3,Pièces,0,0,0,,
436,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Bas de soie de la chine,Rennes,Espagne,89,Paires,0,0,0,,
437,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Confiture,Rennes,Espagne,30,Livres,0,0,0,,
438,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Cartes a jouer,Rennes,Espagne,40,Grosses,10,400,0,,
439,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Dentelle,Rennes,Espagne,1,Caisses,0,800,-800,,
440,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Damas de la Chine,Rennes,Espagne,200,Pièces,0,0,0,,
441,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Harans blanc,Rennes,Espagne,40,Barils,0,0,0,,
442,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Moruë seche,Rennes,Espagne,12000,Livres,0,0,0,,
443,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Mouchoir de soie,Rennes,Espagne,7,Nombres,0,0,0,,
444,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Robe de chambre de soie,Rennes,Espagne,2,Nombres,0,0,0,,
445,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Saumon,Rennes,Espagne,15,Barils,0,0,0,,
446,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,14,May 1714,Speculation,Rennes,Espagne,100,Pièces,0,0,0,,
447,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,15,May 1714,Toile de halle,Rennes,Espagne,207,Aunes,0,0,0,,
448,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,15,May 1714,Toile crée large,Rennes,Espagne,55000,Aunes,0,0,0,,
449,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,15,May 1714,Toile humaine,Rennes,Espagne,433,Aunes,0,0,0,,
450,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,15,May 1714,Toile fougere,Rennes,Espagne,1660,Aunes,0,0,0,,
451,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,15,May 1714,Toile haut brin,Rennes,Espagne,766,Aunes,0,0,0,,
452,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,15,May 1714,Toile bas brin,Rennes,Espagne,447,Aunes,0,0,0,,
