numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,probleme,remarks,droitsunitaires
107,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer,Etats du Roy de Sardaigne,,8.25,Quintaux,0,Mesure d'origine livre,"0,8"
108,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en grosses,Etats du Roy de Sardaigne,,33.05,Quintaux,0,Mesure d'origine livre,"0,5"
109,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en bandes taulés,Etats du Roy de Sardaigne,,12.65,Quintaux,0,Mesure d'origine livre,"0,6"
110,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en bandes taulés,Etats du Roy de Sardaigne,,12.6,Quintaux,0,Mesure d'origine livre,"0,25"
111,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en bandes taulés,Etats du Roy de Sardaigne,,1,Quintaux,0,Mesure d'origine livre,"0,5"
112,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fers vieux,Etats du Roy de Sardaigne,,.5,Quintaux,0,Mesure d'origine livre,"0,15"
113,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fers vieux,Etats du Roy de Sardaigne,,1.1,Quintaux,0,Mesure d'origine livre,"0,25"
114,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en barre,Etats du Roy de Sardaigne,,55,Quintaux,0,Mesure d'origine livre,"0,5"
115,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en barre,Etats du Roy de Sardaigne,,68,Quintaux,0,Mesure d'origine livre,"0,5"
116,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en barre,Etats du Roy de Sardaigne,,68.67,Quintaux,0,Mesure d'origine livre,"0,5"
117,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en barre,Etats du Roy de Sardaigne,,6.5,Quintaux,0,Mesure d'origine livre,"0,5"
118,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en barre,Etats du Roy de Sardaigne,,3.09,Quintaux,0,Mesure d'origine livre,"0,5"
119,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en sol,Etats du Roy de Sardaigne,,.2,Quintaux,0,Mesure d'origine livre,1
120,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer de toute sorte,Etats du Roy de Sardaigne,,4.85,Quintaux,0,Mesure d'origine livre,"1,5"
121,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en feuilles doubles et simples,Etats du Roy de Sardaigne,,1212,Feüilles,0,,10
122,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Feuilles et autres ouvrages de fer,Etats du Roy de Sardaigne,,145,Feüilles,0,,2
123,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer blanc,Etats du Roy de Sardaigne,,1350,Feüillets,0,10 livres le baril,0
124,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer blanc,Etats du Roy de Sardaigne,,60,Livres,0,15 livres le baril de 400 faix,0
125,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fer en quincaille,Etats du Roy de Sardaigne,,2.5,Quintaux,0,Mesure d'origine livre,2
126,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fromages,Etats du Roy de Sardaigne,,33.05,Quintaux,0,Mesure d'origine livre,"0,5"
127,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fromages,Etats du Roy de Sardaigne,,15,Quintaux,0,Mesure d'origine livre,"0,5"
128,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fromages,Etats du Roy de Sardaigne,,1,Quintaux,0,Mesure d'origine livre,"0,5"
129,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fromages,Etats du Roy de Sardaigne,,12.95,Quintaux,0,Mesure d'origine livre,1
130,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",8,Fromages,Etats du Roy de Sardaigne,,57.27,Quintaux,0,Mesure d'origine livre,"0,267"
131,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fromages,Etats du Roy de Sardaigne,,13.87,Quintaux,0,Mesure d'origine livre,"0,4"
132,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fromages,Etats du Roy de Sardaigne,,4.75,Quintaux,0,Mesure d'origine livre,1
133,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fromages,Etats du Roy de Sardaigne,,82.5,Quintaux,0,Mesure d'origine livre,"0,1"
134,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fromage et beurre,Etats du Roy de Sardaigne,,247.31,Quintaux,0,Mesure d'origine livre,"0,65"
135,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fromage et beurre,Etats du Roy de Sardaigne,,126.16,Quintaux,0,Mesure d'origine livre,"0,5"
136,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fromage et beurre,Etats du Roy de Sardaigne,,169.15,Quintaux,0,Mesure d'origine livre,"0,5"
137,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fayance,Etats du Roy de Sardaigne,,.77,Quintaux,0,Mesure d'origine livre,1
138,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fil lessivé,Etats du Roy de Sardaigne,,.01,Quintaux,0,Mesure d'origine livre,"2,075"
139,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fil de chanvre,Etats du Roy de Sardaigne,,.04,Quintaux,0,Mesure d'origine livre,"2,5"
140,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fil de chanvre,Etats du Roy de Sardaigne,,.07,Quintaux,0,Mesure d'origine livre,"2,5"
141,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Filets de chanvre,Etats du Roy de Sardaigne,,86,Livres,0,Prix pour le cent,"0,006"
142,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Filoselle,Etats du Roy de Sardaigne,,4,Livres,0,Prix pour le cent,"0,13"
143,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Filoselle,Etats du Roy de Sardaigne,,34.5,Livres,0,Prix pour le cent,"0,13"
144,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fruits secs,Etats du Roy de Sardaigne,,3780,Livres,0,Prix pour le cent,"0,015"
145,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fruits frais,Etats du Roy de Sardaigne,,8597,Livres,0,Prix pour le cent,"0,015"
146,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Fruits communs,Etats du Roy de Sardaigne,,50,Livres,0,Prix pour le cent,"0,001"
147,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Figues,Etats du Roy de Sardaigne,,415,Livres,0,Prix pour le cent,"0,001"
148,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Foin,Etats du Roy de Sardaigne,,9,Charrettées,0,,"0,3"
149,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Foin,Etats du Roy de Sardaigne,,8,Charrettées,0,,"0,2"
150,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Futailles vuides,Etats du Roy de Sardaigne,,25,Pièces,0,,"0,1"
151,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Futailles vuides,Etats du Roy de Sardaigne,,8,Pièces,0,,"0,1"
152,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",9,Futailles de bois,Etats du Roy de Sardaigne,,70,Pièces,0,Prix unitaire au quintal,0
153,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",10,Graines de jardin,Etats du Roy de Sardaigne,,15.89,Quintaux,0,Mesure d'origine livre,"2,333"
154,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",10,Graines de chanvre,Etats du Roy de Sardaigne,,.5,Quintaux,0,Mesure d'origine livre,"0,375"
155,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",10,Graines de toute sorte,Etats du Roy de Sardaigne,,8,Septiers,0,,"0,25"
156,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",10,Glue,Etats du Roy de Sardaigne,,3.25,Quintaux,0,Mesure d'origine livre,"0,5"
157,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",10,Galle de toute sorte,Etats du Roy de Sardaigne,,736.4,Quintaux,0,Mesure d'origine livre,"0,375"
158,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",10,Grosse dentelle,Etats du Roy de Sardaigne,,5.8,Quintaux,0,Mesure d'origine livre,4
159,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",10,Gallon fil et soye,Etats du Roy de Sardaigne,,50,Livres,0,Droits 10 % de la valeur,0
160,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Habits,Etats du Roy de Sardaigne,,10,Livres,0,Droits 5% de la valeur,0
161,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Habits,Etats du Roy de Sardaigne,,10,Livres,0,Droits 5 % de la valeur,0
162,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Habits et ornements d'Eglise,Etats du Roy de Sardaigne,,1620,Nombres,0,3 livres et 6 sous de la valeur par cent,0
163,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Huille de noix,Etats du Roy de Sardaigne,,1,Quintaux,0,Mesure d'origine livre,"0,5"
164,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Huille de noix,Etats du Roy de Sardaigne,,4.5,Quintaux,0,Mesure d'origine livre,"0,5"
165,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Huille de noix,Etats du Roy de Sardaigne,,21.5,Quintaux,0,Mesure d'origine livre,"0,8"
166,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Huille de noix,Etats du Roy de Sardaigne,,3.25,Quintaux,0,Mesure d'origine livre,2
167,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Huilles,Etats du Roy de Sardaigne,,2.25,Quintaux,0,Mesure d'origine livre,"0,5"
168,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Huille essencé,Etats du Roy de Sardaigne,,.55,Quintaux,0,Mesure d'origine livre,"3,55"
169,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Huille d'olive,Etats du Roy de Sardaigne,,6.5,Quintaux,0,Mesure d'origine livre,"1,183"
170,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Huille d'olive,Etats du Roy de Sardaigne,,.5,Quintaux,0,Mesure d'origine livre,"0,5"
171,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Huille de graines,Etats du Roy de Sardaigne,,1.25,Barils,0,,"0,2"
172,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",11,Herbe de fariette,Etats du Roy de Sardaigne,,7.2,Quintaux,0,Mesure d'origine livre,"0,025"
173,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",12,Lard,Etats du Roy de Sardaigne,,24.05,Quintaux,0,Mesure d'origine livre,5
174,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",12,Laine serge,Etats du Roy de Sardaigne,,3.3,Quintaux,0,Mesure d'origine livre,"0,625"
175,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",12,Laine pelade,Etats du Roy de Sardaigne,,11.1,Quintaux,0,Mesure d'origine livre,"0,5"
176,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",12,Liege,Etats du Roy de Sardaigne,,.12,Quintaux,0,Mesure d'origine livre,"0,5"
177,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",12,Liqueurs,Etats du Roy de Sardaigne,,27,Livres,0,Droits 5% de la valeur,0
178,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",12,Linge vieux,Etats du Roy de Sardaigne,,12,Quintaux,0,,"0,125"
179,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",12,Limaille de cuivre,Etats du Roy de Sardaigne,,65.08,Quintaux,0,Mesure d'origine livre,"0,8"
180,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Mercerie,Etats du Roy de Sardaigne,,.1,Quintaux,0,Mesure d'origine livre,10
181,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Mercerie etrangere,Etats du Roy de Sardaigne,,1.03,Quintaux,0,Mesure d'origine livre,10
182,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Mercerie meslée,Etats du Roy de Sardaigne,,.39,Quintaux,0,Mesure d'origine livre,10
183,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Mercerie menue,Etats du Roy de Sardaigne,,1.73,Quintaux,0,Mesure d'origine livre,10
184,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Mercerie ordinaire,Etats du Roy de Sardaigne,,3.92,Quintaux,0,Mesure d'origine livre,"2,075"
185,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Mercerie,Etats du Roy de Sardaigne,,.13,Quintaux,0,Mesure d'origine livre,4
187,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Mouchoirs de soye,Etats du Roy de Sardaigne,,66,Nombres,0,Droits 10 % de la valeur,0
188,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Mollues,Etats du Roy de Sardaigne,,140,Livres,0,,"0,2"
189,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Meullardes,Etats du Roy de Sardaigne,,17,Pièces,0,,"0,8"
190,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Mortiers de marbre,Etats du Roy de Sardaigne,,1,Pièces,0,,"0,1"
191,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Meules a taillandier,Etats du Roy de Sardaigne,,33,Pièces,0,,"0,125"
192,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Meules a taillandier,Etats du Roy de Sardaigne,,6,Pièces,0,,"0,125"
193,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",13,Mitraille,Etats du Roy de Sardaigne,,.75,Quintaux,0,,1
194,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",14,Noix mondées,Etats du Roy de Sardaigne,,32.25,Quintaux,0,Mesure d'origine livre,"0,1"
195,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",14,Noix mondées,Etats du Roy de Sardaigne,,6.35,Quintaux,0,Mesure d'origine livre,"0,1"
196,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",14,Noix mondées,Etats du Roy de Sardaigne,,29.95,Quintaux,0,Mesure d'origine livre,"0,1"
198,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",14,Noix en coquilles,Etats du Roy de Sardaigne,,.5,Muids,0,,"0,25"
199,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",14,Noyaux de noix,Etats du Roy de Sardaigne,,296.65,Quintaux,0,Mesure d'origine livre,"0,25"
200,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",14,Noyaux de noix,Etats du Roy de Sardaigne,,18.4,Quintaux,0,Mesure d'origine livre,"0,25"
201,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",14,Noyaux de noix,Etats du Roy de Sardaigne,,261,Livres,0,Droits 5 % de la valeur,0
202,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",14,Ouvrage de soye,Etats du Roy de Sardaigne,,14,Livres,0,,"1,333"
203,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",14,Œufs,Etats du Roy de Sardaigne,,750,Nombres,0,Prix pour le cent,"0,001"
204,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",15,Pierres a eguiser,Etats du Roy de Sardaigne,,7.45,Quintaux,0,Mesure d'origine livre,"0,25"
205,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",15,Pierres a eguiser,Etats du Roy de Sardaigne,,23.65,Quintaux,0,Mesure d'origine livre,"0,875"
206,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",15,Pierres a eguiser,Etats du Roy de Sardaigne,,1.5,Quintaux,0,Mesure d'origine livre,"0,5"
207,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",15,Pierres a eguiser,Etats du Roy de Sardaigne,,5,Quintaux,0,Mesure d'origine livre,"0,5"
208,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",15,Pierres a eguiser,Etats du Roy de Sardaigne,,3.26,Quintaux,0,Mesure d'origine livre,"0,5"
209,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",15,Pierre a batir,Etats du Roy de Sardaigne,,76,Milliers,0,Prix pour le mil,"0,1"
210,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",15,Pierre a faucher,Etats du Roy de Sardaigne,,4.8,Quintaux,0,Mesure d'origine livre,"0,4"
211,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",15,Pierres de tailles a effiler,Etats du Roy de Sardaigne,,.1,Quintaux,0,Mesure d'origine livre,"0,4"
212,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",15,Poix blanche,Etats du Roy de Sardaigne,,1.25,Quintaux,0,Mesure d'origine livre,"0,6"
213,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",15,Poix blanche,Etats du Roy de Sardaigne,,2,Quintaux,0,Mesure d'origine livre,"0,6"
214,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",15,Poix raisine,Etats du Roy de Sardaigne,,16.76,Quintaux,0,Mesure d'origine livre,"1,038"
