numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,problème,remarks,unit_price
108,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Ruban de fleuret; De velours,Etats du roi de Sardaigne,9950,"248,75",Livre,0,,40
109,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Ruban de fleuret; De velours,Suisse,264510,"6612,75",Livre,0,,40
110,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Soye;,Etats du roi de Sardaigne,15720885,582255,Livre,0,,27
111,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Soye; En bourre,Etats du roi de Sardaigne,42864,7144,Livre,0,,6
112,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Suifs divers,Etats du roi de Sardaigne,117,,Valeur,,,0
113,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Tableaux,Etats du roi de Sardaigne,986,493,Livre,0,,2
114,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Tableaux,Suisse,426,213,Livre,0,,2
115,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Toile de coton blanche,Suisse,14240,1384,Livre,14240,,0
116,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Verrerie diverse,Etats du roi de Sardaigne,287,,Valeur,,,0
117,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Vin,Etats du roi de Sardaigne,219,,Valeur,,,0
118,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers;,Etats du roi de Sardaigne,442,,Valeur,,,0
119,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers; Bœufs,Etats du roi de Sardaigne,39200,196,Nombre,0,,200
120,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers; Brebis,Etats du roi de Sardaigne,3480,435,Nombre,0,,8
121,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers; Chevaux,Etats du roi de Sardaigne,24600,82,Nombre,0,,300
122,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers; Genisses,Etats du roi de Sardaigne,1380,23,Nombre,0,,60
123,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers; Moutons,Etats du roi de Sardaigne,24352,3042,Nombre,16,,8
124,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers; Mules et mulets,Etats du roi de Sardaigne,29700,99,Nombre,0,,300
125,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers; Porcs,Etats du roi de Sardaigne,11125,445,Nombre,0,,25
126,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers; Porcs de lait,Etats du roi de Sardaigne,1200,200,Nombre,0,,6
127,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers; Taureaux,Etats du roi de Sardaigne,7000,70,Nombre,0,,100
128,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers; Vaches,Etats du roi de Sardaigne,31920,532,Nombre,0,,60
129,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bestiaux divers; Veaux de lait,Etats du roi de Sardaigne,768,64,Nombre,0,,12
130,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Beurre,Etats du roi de Sardaigne,18976,"379,53",Quintal,"-0,5",Unité d'origine Livre,50
131,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bois divers,Etats du roi de Sardaigne,580,,Valeur,,,0
132,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bonnetterie de fil,Etats du roi de Sardaigne,10440,435,Douzaine,0,Conversion 435 douzaines 1445,24
133,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bourre; A bâtir,Etats du roi de Sardaigne,1000,"66,7",Quintal,"-0,5",Unité d'origine Livre,15
134,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bourre; A bâtir,Suisse,355,"23,7",Quintal,"-0,5",Unité d'origine Livre,15
135,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bourre; De Chureaux,Etats du roi de Sardaigne,304,"10,15",Quintal,"-0,5",Unité d'origine Livre,30
136,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bourre; De Chureaux,Suisse,1792,"59,74",Quintal,"-0,2",Unité d'origine Livre,30
137,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bray et Poix blanche,Etats du roi de Sardaigne,250,5,Quintal,0,Unité d'origine Livre,50
138,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Bray et Poix blanche,Suisse,265,"5,3",Quintal,0,Unité d'origine Livre,50
139,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Chanvre divers,Etats du roi de Sardaigne,1149,,Valeur,,,0
140,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Crin frisé,Etats du roi de Sardaigne,3414,"45,53",Quintal,"-0,75",Unité d'origine Livre,75
141,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Crin frisé,Suisse,1770,"23,6",Quintal,0,,75
142,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Cuivre; en rosette; et mitraille,Etats du roi de Sardaigne,20080,20080,Livre,0,,1
143,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Cuivre; en rosette,Etats du roi de Sardaigne,10125,6750,Livre,0,,"1,5"
144,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Drogues diverses,Etats du roi de Sardaigne,236,,Valeur,,,0
145,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Drogues diverses,Suisse,100,,Valeur,,,0
146,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Eau de cerises,Etats du roi de Sardaigne,110,"2,2",Quintal,0,Unité d'origine Livre,50
147,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Eau de cerises,Etats du roi de Sardaigne,1001,"20,03",Quintal,"-0,5",Unité d'origine Livre,50
148,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Fers divers,Etats du roi de Sardaigne,164,,Valeur,,,0
149,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Fromage,Etats du roi de Sardaigne,20873,"347,89",Quintal,"-0,4",Unité d'origine Livre,60
150,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Fromage,Suisse,124257,"2070,9",Quintal,3,Unité d'origine Livre,60
151,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Grains; Froment,Etats du roi de Sardaigne,1606,"100,4",Quintal,"-0,4",Unité d'origine Livre,16
152,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Grains; Ris,Etats du roi de Sardaigne,39818,"1592,75",Quintal,"-0,75",Unité d'origine Livre,25
153,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Graines de vers à soye,Etats du roi de Sardaigne,3840,80,Livre,0,,48
154,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Horlogerie,Suisse,1355,,Valeur,,,0
155,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Instruments de musique,Etats du roi de Sardaigne,100,,Valeur,,,0
156,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Instruments de musique,Suisse,436,,Valeur,,,0
157,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Lingerie diverse,Etats du roi de Sardaigne,133,,Valeur,,,0
158,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Lingerie diverse,Suisse,578,,Valeur,,,0
159,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Pates ou vieux chiffons,Etats du roi de Sardaigne,1363,"181,85",Quintal,"-0,88",Unité d'origine Livre,"7,5"
160,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Marchandises à la valeur,Etats du roi de Sardaigne,2699,,Valeur,,,0
161,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Marchandises à la valeur,Suisse,610,,Valeur,,,0
162,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Mercerie diverse,Etats du roi de Sardaigne,183,,Valeur,,,0
163,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,6,Mercerie diverse,Suisse,550,,Valeur,,,0
164,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Meubles,Etats du roi de Sardaigne,86,,Valeur,,,0
165,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Meubles,Suisse,111,,Valeur,,,0
166,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Ouvrages divers;,Etats du roi de Sardaigne,328,,Valeur,,,0
167,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Ouvrages divers;,Suisse,532,,Valeur,,,0
168,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Ouvrages divers; De tonnelier barils,Etats du roi de Sardaigne,1171,217,Douzaine,"-0,8",,"5,4"
169,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Ouvrages divers; De verre,Suisse,960,,Valeur,,,0
170,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Orphevrerie,Suisse,368,,Valeur,,,0
171,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Peaux; De chevres en poil,Etats du roi de Sardaigne,39590,19795,Livre,0,,2
172,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Peaux; De chevres en poil,Suisse,74156,37078,Livre,0,,2
173,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Peaux; De chevreaux,Etats du roi de Sardaigne,10020,835,Douzaine,10020,,0
174,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Peaux; De veau en poil,Etats du roi de Sardaigne,20634,20634,Livre,0,,1
175,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Peaux; De veau en poil,Suisse,3120,3120,Livre,0,,1
176,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Peaux; De chevreaux mégissées,Etats du roi de Sardaigne,4816,384,Douzaine,-560,Conversion 384 Douzaines en 1500,14
177,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Peaux; De chevreaux mégissées,Suisse,154,11,Douzaine,0,Conversion 11 Douzaines en 20,14
178,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Pierres à éguiser,Suisse,1094,"18,24",Quintal,"-0,4",Unité d'origine Livre,60
179,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Poissons de mer harengs blancs,Etats du roi de Sardaigne,126,140,Livre,0,,"0,9"
180,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Quincaillerie; diverse,Suisse,609,,Valeur,,,0
181,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Quincaillerie; Faux,Etats du roi de Sardaigne,686,"4,9",Quintal,0,Unité d'origine Livre,140
182,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Quincaillerie; Faux,Suisse,13374,"95,53",Quintal,"-0,2",Unité d'origine Livre,140
183,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Quincaillerie; Faucilles,Suisse,1491,"9,94",Quintal,0,Unité d'origine Livre,150
184,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Vins divers,Etats du roi de Sardaigne,308,,Valeur,,,0
185,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Grenoble,7,Vins divers,Suisse,113,,Valeur,,,0
186,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Bourg d'Oisan,9,Bestiaux divers;,Sardaigne,1467,,Valeur,,,0
187,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Bourg d'Oisan,9,Bestiaux divers; Bœufs,Sardaigne,960,10,Nombre,960,,0
188,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Bourg d'Oisan,9,Bestiaux divers; Moutons,Sardaigne,8856,984,Nombre,0,,9
189,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Bourg d'Oisan,9,Bestiaux divers; Mulets,Sardaigne,15900,53,Nombre,0,,300
190,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Bourg d'Oisan,9,Bestiaux divers; Poulins,Sardaigne,10650,71,Nombre,0,,150
191,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Bourg d'Oisan,9,Bestiaux divers; Taureaux,Sardaigne,900,3,Nombre,0,,300
192,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Bourg d'Oisan,9,Bestiaux divers; Vaches,Sardaigne,23672,269,Nombre,0,,88
193,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Bourg d'Oisan,9,Bestiaux divers; Veaux de lait,Sardaigne,2952,164,Nombre,0,,18
194,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Bourg d'Oisan,9,Beurre,Sardaigne,5780,"144,5",Quintal,0,,40
195,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Bourg d'Oisan,9,Marchandises à la valeur,Sardaigne,60,,Valeur,,,0
196,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Bestiaux divers;,Sardaigne,1545,,Valeur,,,0
197,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Bestiaux divers; Agneaux,Sardaigne,2765,1106,Nombre,0,,"2,5"
198,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Bestiaux divers; Bœufs,Sardaigne,47850,319,Nombre,0,,150
199,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Bestiaux divers; Brebis et moutons,Sardaigne,211716,23524,Nombre,0,,9
200,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Bestiaux divers; Chevres,Sardaigne,5643,627,Nombre,0,,9
201,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Bestiaux divers; Cochons,Sardaigne,8790,293,Nombre,0,,30
202,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Bestiaux divers; Moutons,Sardaigne,26790,2679,Nombre,0,,10
203,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Bestiaux divers; Taureaux,Sardaigne,3750,25,Nombre,0,,150
204,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Bestiaux divers; Vaches,Sardaigne,47014,653,Nombre,-2,,72
205,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Bêtes de somme; Anes et anesses,Sardaigne,5600,160,Nombre,5600,,0
206,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Bêtes de somme; Mules et mulets,Sardaigne,41040,392,Nombre,41040,,0
207,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Beurre,Sardaigne,1033,2297,Livre,1033,,0
208,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Chair salée diverse,Sardaigne,730,,Valeur,,,0
209,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Chanvre; peigné,Sardaigne,1491,"27,11",Quintal,"-0,05",Unité d'origine Livre,55
210,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Chanvre; Rite de chanvre,Sardaigne,4770,2385,Livre,0,,2
211,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Colle forte,Sardaigne,219,439,Livre,"-0,5",,"0,5"
212,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Cordes,Sardaigne,2326,5169,Livre,"-0,05",,"0,45"
213,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Cuivre en fourrure,Sardaigne,1303,868,Livre,1,,"1,5"
214,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Eau de vie simple,Sardaigne,127,260,Pinte,-3,,"0,5"
215,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Etoupes de chanvre,Sardaigne,408,2040,Livre,408,,0
216,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Farine diverse,Sardaigne,1024,,Valeur,,,0
217,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Fers divers,Sardaigne,152,,Valeur,,,0
218,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Fromage,Sardaigne,484,1384,Livre,484,,0
219,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Fruits; Frais,Sardaigne,4930,65737,Livre,4930,,0
220,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Fruits; Divers,Sardaigne,347,,Valeur,,,0
221,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Gibier divers,Sardaigne,512,,Valeur,,,0
222,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Grains divers;,Sardaigne,184,,Valeur,,,0
