numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,problème,unit_price
115,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Poissons; Saumon salé,Marseille,720,12,Quintal,Unité d'origine Livre,0,60
116,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Quincaillerie de fer,Marseille,883,"8,83",Quintal,Unité d'origine Livre,0,100
117,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Savon,Marseille,35518,"710,36",Quintal,Unité d'origine Livre,0,50
118,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Souffre en fanon,Marseille,1078,"53,91",Quintal,Unité d'origine Livre,"-0,2",20
119,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Suif en chandelles,Marseille,541,"10,83",Quintal,Unité d'origine Livre,"-0,5",50
120,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Sucre; Raffiné,Marseille,5802,"72,53",Quintal,Unité d'origine Livre,"-0,4",80
121,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Sucre; Terré,Marseille,18029,"300,5",Quintal,Unité d'origine Livre,-1,60
122,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Verrerie diverse,Marseille,168,,Valeur,,168,0
123,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Vin rouge,Espagne,3520,88,Muid,,0,40
124,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Graves,7,Ceinture de laine,Espagne,237,198,Nombre,,"-10,5","1,25"
125,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Graves,7,Marchandises à la valeur,Espagne,228,,Valeur,,228,0
126,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Bestiaux bœufs,Espagne,1320,11,Nombre,,0,120
127,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Bray ? Poix noire,Espagne,138,"11,5",Quintal,Unité d'origine Livre,0,12
128,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Chaux à batir,Espagne,144,192,Quintal,Unité d'origine Livre,0,"0,75"
129,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Ceinture de laine et fil,Espagne,1430,130,Douzaine,,0,11
130,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Fourage foin,Espagne,4000,2000,Quintal,Unité d'origine Livre,0,2
131,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Grains seigle,Espagne,786,"63,5",Quintal,Unité d'origine Livre,24,12
132,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Huile d'olive,Espagne,133301,"2962,26",Quintal,Unité d'origine Livre,"-0,7",45
133,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Laine; Lavée,Espagne,15744,"78,72",Quintal,Unité d'origine Livre,0,200
134,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Laine; En suin,Espagne,23340,389,Quintal,Unité d'origine Livre,0,60
135,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Marchandises à la valeur,Espagne,10258,,Valeur,,10258,0
136,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Ouvrages de charon,Espagne,150,,Valeur,,150,0
137,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Peaux; Sauvagines,Espagne,1675,1340,Nombre,Conversion 1340 pièce en 600,0,"1,25"
138,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Peaux; De loup,Espagne,150,25,Nombre,Conversion 25 pièces en 40,0,6
139,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Peaux; De renard,Espagne,1674,558,Nombre,Conversion 558 pièces en 250,0,3
140,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Poisson de mer morue,Espagne,28135,"803,87",Quintal,Unité d'origine Livre,"-0,45",35
141,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Suif,Espagne,2059,"57,2",Quintal,Unité d'origine Livre,"-0,2",36
142,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Montlouis,9,Vin,Espagne,100,240,Pintes,,100,0
143,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Perpignan,11,Bestiaux bœufs,Espagne,600,5,Nombre,,0,120
144,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Perpignan,11,Drogues médicinales,Espagne,230,,Valeur,,230,0
145,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Perpignan,11,Huile d'olive,Espagne,1909,3183,Livre,,1909,0
146,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Perpignan,11,Legume ail,Espagne,352,"16,03",Quintal,Unité d'origine Livre,"-0,66",22
147,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Perpignan,11,Liége; En bouchons,Espagne,10918,"363,94",Quintal,Unité d'origine Livre,"-0,2",30
148,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Perpignan,11,Liége; En planches,Espagne,153,"8,55",Quintal,Unité d'origine Livre,"-0,9",18
149,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Perpignan,11,Marchandises à la valeur,Marseille,110,,Valeur,,110,0
150,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Perpignan,11,Marchandises à la valeur,Espagne,328,,Valeur,,328,0
151,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Perpignan,11,Meules pour moulin,Espagne,100,2,Nombre,,0,50
152,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Perpignan,11,Ouvrage de bois,Espagne,114,,Valeur,,114,0
153,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Arles,13,Bestiaux; Bœufs,Espagne,2090,19,Nombre,,0,110
154,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Arles,13,Bestiaux; Cochons,Espagne,320,8,Nombre,,0,40
155,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Arles,13,Bestiaux; Vaches,Espagne,480,6,Nombre,,0,80
156,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Arles,13,Drogues pour peinture et teinture; Cochenille,Espagne,17400,"7,25",Quintal,Unité d'origine Livre,17226,24
157,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Arles,13,Drogues pour peinture et teinture; Graine d'écarlatte,Espagne,3200,200,Livre,,0,16
158,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Arles,13,Grains; Froment,Espagne,1647,"109,83",Quintal,Unité d'origine Livre,"-0,45",15
159,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Arles,13,Grains; Seigle,Espagne,150,"12,5",Quintal,Unité d'origine Livre,0,12
160,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Arles,13,Huile d'olive,Espagne,2088,29,Quintal,Unité d'origine Livre,0,72
161,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Arles,13,Laine lavée,Espagne,25185,"167,9",Quintal,Unité d'origine Livre,0,150
162,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Arles,13,Marchandises à la valeur,Espagne,421,,Valeur,,421,0
163,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Arles,13,Suif en chandelles,Espagne,100,2,Quintal,Unité d'origine Livre,0,50
