numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,unit_price,Valeur en livres tournois,valeur en sous,valeur en denier,value,Valeur calculée (avec prix),probleme,Remarques
94,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Eau de fleur d'orange,Marseille,"103,00",Bouteilles,,,,,"257,00",,,"257,00",,,
95,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Eau de vertu,Marseille,"420,00",Fioles,,,,,"315,00",,,"315,00",,,
96,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Eau de spa,Hollande,"100,00",Bouteilles,,,,,"200,00",,,"200,00",,,
97,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Eau de vie simple,Petites isles,"6 668,25",Velte,"4,00","10,00",,"4,5000000","30 007,00",,,"30 007,00","30 007,13","-0,13",
98,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Eau de vie simple,Marseille,"5 512,50",Velte,"4,00","10,00",,"4,5000000","24 835,00",,,"24 835,00","24 806,25","28,75",
99,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Eau de vie simple,Hollande,"100,00",Bouteilles,"4,00","10,00",,"4,5000000","200,00",,,"200,00","450,00","-250,00",
100,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Epicerie (girofle),Hollande,"20,00",Livres,"12,00",,,"12,0000000","240,00",,,"240,00","240,00","0,00",
101,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Poivre,L'Orient,"450,00",Livres,,"38,00",,"1,9000000","855,00",,,"855,00","855,00","0,00",
102,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Muscade,Hollande,"30,00",Livres,"30,00",,,"30,0000000","900,00",,,"900,00","900,00","0,00",
103,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Eponges,Marseille,"257,00",Livres,"9,00",,,"9,0000000","771,00",,,"771,00","2 313,00","-1 542,00",erreur de calcul
104,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Etain en bloc,Marseille,"668,00",Livres,,"12,00",,"0,6000000","401,00",,,"401,00","400,80","0,20",
105,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Etoffes de coton,Angleterre,,,,,,,"146 740,00",,,"146 740,00",,,Pas de quantité ni de prix
106,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Eroffes de laine,Angleterre,,,,,,,"87 353,00",,,"87 353,00",,,Pas de quantité ni de prix
107,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Farine,Angleterre,"140 430,00",Livres,"0,24",,,"0,2400000","33 703,00",,,"33 703,00","33 703,20","-0,20",
108,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fayence,Marseille,,,,,,,"116,00",,,"116,00",,,
109,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fayence,Angleterre,,,,,,,"12 247,00",,,"12 247,00",,,Pas de quantité ni de prix
110,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer en barres,Espagne,"600,00",Livres,"0,19",,,"0,1900000","114,00",,,"114,00","114,00","0,00",19 livres le quintal
111,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer en barres,Hollande,"31 114,00",Livres,"0,19",,,"0,1900000","5 912,00",,,"5 912,00","5 911,66","0,34",19 livres le quintal
112,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer en barres,Suède,"1 500 250,00",Livres,"0,19",,,"0,1900000","285 047,00",,,"285 047,00","285 047,50","-0,50",19 livres le quintal
113,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer en barres,Russie et Courlande,"62 000,00",Livres,"0,19",,,"0,1900000","11 780,00",,,"11 780,00","11 780,00","0,00",19 livres le quintal
114,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer carré,Suède,"123 250,00",Livres,"0,19",,,"0,1900000","42 417,00",,,"42 417,00","23 417,50","18 999,50",19 livres le quintal; erreur de calcul
115,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer petit carré,Suède,"11 250,00",Livres,"0,20",,,"0,2000000","2 250,00",,,"2 250,00","2 250,00","0,00",20 livres le quintal
116,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer rond,Hollande,"21 250,00",Livres,"0,20",,,"0,2000000","4 250,00",,,"4 250,00","4 250,00","0,00",20 livres le quintal
117,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer floud,Suède,"17 600,00",Livres,"0,20",,,"0,2000000","3 520,00",,,"3 520,00","3 520,00","0,00",20 livres le quintal
118,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer feuillard,Hollande,"70 806,00",Livres,"0,24",,,"0,2400000","16 993,00",,,"16 993,00","16 993,44","-0,44",24 livres le quintal
119,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer demi plat,Suède,"8 750,00",Livres,"0,17","0,10",,"0,1750000","1 531,00",,,"1 531,00","1 531,25","-0,25",17 livres et 10 sous le quintal
120,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer en tole,Hollande,"950,00",Livres,"0,34",,,"0,3400000","323,00",,,"323,00","323,00","0,00",34 livres le quintal
121,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer en tole,Suède,"9 970,00",Livres,"0,34",,,"0,3400000","3 389,00",,,"3 389,00","3 389,80","-0,80",34 livres le quintal
122,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer blanc,Angleterre,"20,00",Caisses,,,,,"1 680,00",,,"1 680,00",,,
123,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer blanc,Hollande,"1 275,00",Livres,"0,60",,,"0,6000000","765,00",,,"765,00","765,00","0,00",60 livres le quintal
124,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer en ancres,Bayonne,"48 721,00",Livres,"0,40",,,"0,4000000","19 488,00",,,"19 488,00","19 488,40","-0,40",40 livres le quintal
125,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer en paquets,Angleterre,"3 000,00",Livres,"0,24",,,"0,2400000","720,00",,,"720,00","720,00","0,00",24 livres le quintal
126,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer en boulets,Angleterre,"7 200,00",Livres,"0,10",,,"0,1000000","720,00",,,"720,00","720,00","0,00",1200 nombres = 7200 livres en quantité
127,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fer en canon,Angleterre,"78 720,00",Livres,,,,,"12 000,00",,,"12 000,00",,,48 nombres = 78720 livres en quantité; pas de prix unitaire
128,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fil d'acier,Angleterre,"50,00",Livres,"2,00",,,"2,0000000","100,00",,,"100,00","100,00","0,00",
129,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fil de fer,Hollande,"480,00",Livres,"0,48",,,"0,4800000","230,00",,,"230,00","230,40","-0,40",
130,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fil de laiton,Hollande,"250,00",Livres,,,,,"367,00",,,"367,00",,,
131,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fromage,Angleterre,"1 051,00",Livres,,"15,00",,"0,7500000","788,00",,,"788,00","788,25","-0,25",
132,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fromage,Hollande,"44 680,00",Livres,,"15,00",,"0,7500000","33 510,00",,,"33 510,00","33 510,00","0,00",
133,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fruits confits,Marseille,,,,,,,"317,00",,,"317,00",,,Pas de quantité ni de prix
134,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fruits cruds (citrons),Marseille,"23,00",Caisses,"20,00",,,"20,0000000","460,00",,,"460,00","460,00","0,00",
135,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fruits cruds (citrons),Espagne,"61,00",Caisses,"20,00",,,"20,0000000","1 220,00",,,"1 220,00","1 220,00","0,00",
136,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Oranges,Marseille,"124,00",Caisses,"30,00",,,"30,0000000","3 720,00",,,"3 720,00","3 720,00","0,00",
137,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Oranges,Espagne,"83,00",Caisses,"30,00",,,"30,0000000","2 490,00",,,"2 490,00","2 490,00","0,00",
138,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Fruits secs divers en noisettes pistaches et ?,Marseille,,,,,,,"3 223,00",,,"3 223,00",,,
139,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Figues,Marseille,"514,00",Livres,"0,26",,,"0,2600000","134,00",,,"134,00","133,64","0,36",26 livres le quintal
140,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Figues,Marseille,"15 290,00",Livres,"0,26",,,"0,2600000","3 975,00",,,"3 975,00","3 975,40","-0,40",26 livres le quintal
141,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Raisin sec,Marseille,"20 050,00",Livres,,,,,"5 742,00",,,"5 742,00",,,
142,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Raisin sec,Espagne,"53 851,00",Livres,,,,,"13 886,00",,,"13 886,00",,,
143,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Grains comestibles (bled froment),Les 4 villes anséatiques,"428 800,00",Livres,,,,,"51 200,00",,,"51 200,00",,,
144,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Bled seigle,Les 4 villes anséatiques,"59 520,00",Livres,,,,,"5 760,00",,,"5 760,00",,,
145,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Orge germé,Angleterre,"5 560,00",Livres,"0,07","0,10",,"0,0750000","417,00",,,"417,00","417,00","0,00",7 livres et 10 sous le quintal
146,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Acier,Ports et pays de France,"76 131,00",Livres,"0,25",,,"0,2500000","19 033,00",,,"19 033,00","19 032,75","0,25",25 livres le quintal
147,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Graine de lin,Hollande,"583 685,00",Livres,"0,25",,,"0,2500000","145 921,00",,,"145 921,00","145 921,25","-0,25",25 livres le quintal
148,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Graisse de porc,Angleterre,"760,00",Livres,"0,50",,,"0,5000000","380,00",,,"380,00","380,00","0,00",50 livres le quintal
149,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Habillements,Angleterre,,,,,,,"106,00",,,"106,00",,,Montant total uniquement
150,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Houblon,Angleterre,"114,00",Livres,"1,44",,,"1,4400000","208,00",,,"208,00","164,16","43,84",144 livres le quintal ; erreur de calcul
151,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Huile de lin,Hollande,"4 844,00",Livres,"0,50",,,"0,5000000","2 422,00",,,"2 422,00","2 422,00","0,00",50 livres le quintal
152,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Huile d'olive,Marseille,"136 818,00",Livres,,"15,00",,"0,7500000","102 613,00",,,"102 613,00","102 613,50","-0,50",
153,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Huile fine,Marseille,"1 951,00",Livres,,"20,00",,"1,0000000","1 951,00",,,"1 951,00","1 951,00","0,00",
154,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Huile pour lampes,Marseille,"2 346,00",Livres,,"13,00",,"0,6500000","1 525,00",,,"1 525,00","1 524,90","0,10",
155,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Huile de rabette,Hollande,"2 045,00",Livres,,"6,00",,"0,3000000","613,00",,,"613,00","613,50","-0,50",
156,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Instrumens de Marine ,,,,,,,,"644,00",,,"644,00",,,
157,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Laine lavée,Marseille,"350,00",Livres,,"24,00",,"1,2000000","420,00",,,"420,00","420,00","0,00",
158,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Laine non filée,Marseille,"18 375,00",Livres,"1,00",,,"1,0000000","18 375,00",,,"18 375,00","18 375,00","0,00",
159,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Laine non filée,Angleterre,"20 210,00",Livres,"1,00",,,"1,0000000","20 210,00",,,"20 210,00","20 210,00","0,00",
160,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Laine filée,Angleterre,"39,00",Livres,"4,00",,,"4,0000000","156,00",,,"156,00","156,00","0,00",
161,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Légumes divers,Angleterre,"6 860,00",Livres,"0,10",,,"0,1000000","686,00",,,"686,00","686,00","0,00",10 livres le quintal
162,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Librairie,Marseille,,,,,,,"4 484,00",,,"4 484,00",,,
163,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Librairie,Angleterre,,,,,,,"4 335,00",,,"4 335,00",,,
164,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Liège en Planche,Marseille,"4 400,00",Livres,"0,12",,,"0,1200000","640,00",,,"640,00","528,00","112,00",erreur de calcul
165,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Liège en bouchon,Marseille,"775 142,00",Nombre,,"0,15",,"0,0075000","5 786,00",,,"5 786,00","5 813,57","-27,56",erreur de calcul
166,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Lin écru,Hollande,"403,00",Livres,,"10,00",,"0,5000000","201,00",,,"201,00","201,50","-0,50",
167,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Liqueur,Angleterre,"60,50",Flacons,"2,00",,,"2,0000000","121,00",,,"121,00","121,00","0,00",
168,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Marchandises à la valeur,Marseille,,,,,,,"1 053,00",,,"1 053,00",,,
169,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Marchandises à la valeur,Espagne,,,,,,,"90,00",,,"90,00",,,
170,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Marchandises à la valeur,Angleterre,,,,,,,"1 254,00",,,"1 254,00",,,
171,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Marchandises à la valeur,Hollande,,,,,,,"643,00",,,"643,00",,,
172,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Marchandises à la valeur,Russie et Courlande,,,,,,,"205,00",,,"205,00",,,
173,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Marbre ouvré,Marseille,,,,,,,"420,00",,,"420,00",,,
174,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Mercerie diverse,Angleterre,,,,,,,"8 820,00",,,"8 820,00",,,
175,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Mercerie diverse,Hollande,,,,,,,"2 350,00",,,"2 350,00",,,
176,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Meubles divers,Angleterre,,,,,,,"1 477,00",,,"1 477,00",,,
177,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Meubles à taillandier,Angleterre,"68,00",Nombre,"4,00","10,00",,"4,5000000","306,00",,,"306,00","306,00","0,00",
178,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Mouchoir de coton,Angleterre,"460,00",Nombre,,,,,"920,00",,,"920,00",,,
179,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Ouvrages de cuivre,Angleterre,,,,,,,"759,00",,,"759,00",,,
180,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Ouvrages d'optique,Angleterre,,,,,,,"452,00",,,"452,00",,,
181,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Ouvrages de terre cuite,Hollande,,,,,,,"133,00",,,"133,00",,,
182,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Pipes à fumer,Angleterre,"28,00",Grosses,"5,00",,,"5,0000000","140,00",,,"140,00","140,00","0,00",
183,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Pipes à fumer,Hollande,"396,00",Grosses,"5,00",,,"5,0000000","1 980,00",,,"1 980,00","1 980,00","0,00",
184,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,7,Ouvrages de sellerie,Angleterre,,,,,,,"1 451,00",,,"1 451,00",,,
185,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Papier à lettres,Marseille,"19,00",Rames,"8,00",,,"8,0000000","152,00",,,"152,00","152,00","0,00",
186,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Parfumerie diverse,Marseille,,,,,,,"100,00",,,"100,00",,,
187,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Pomade,Marseille,"322,00",Livres,,"50,00",,"2,5000000","805,00",,,"805,00","805,00","0,00",
188,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Poudre,Marseille,"497,00",Livres,,"9,00",,"0,4500000","223,00",,,"223,00","223,65","-0,65",
189,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Peaux en maroquin,Marseille,"513,00",Nombre,"5,00",,,"5,0000000","2 565,00",,,"2 565,00","2 565,00","0,00",
