numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,problemes,unit_price
104,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Liège en planches,Marseille,"281,00","18,75",Quintal,Unité d'origine Livre,"-0,25","15,0000000"
105,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Liqueur,Marseille,"8 466,00","8 466,00",Livre,,"0,00","1,0000000"
106,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Marchandises diverses,Marseille,"307,00",,Valeur,,"307,00","0,0000000"
107,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Marbre; Brut,Marseille,"43 863,00","2 924,17",Quintal,Unité d'origine Livre,"0,45","15,0000000"
108,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Marbre; Ouvré,Marseille,"4 315,00","143,85",Quintal,Unité d'origine Livre,"-0,50","30,0000000"
109,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Mercerie diverse,Marseille,"7 575,00","34,43",Quintal,Unité d'origine Livre,"0,40","220,0000000"
110,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Miel,Espagne,"101,00","2,02",Quintal,Unité d'origine Livre,"0,00","50,0000000"
111,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Ouvrage de platre,Marseille,"840,00",,Valeur,,"840,00","0,0000000"
112,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Parfumerie; Poudre,Marseille,"2 934,00","5 334,00",,,"2 934,00","0,0000000"
113,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Parfumerie; Poudre,Gênes,"194,00","487,00",,,"194,00","0,0000000"
114,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Parfumerie; Quintessence de bergamotte,Gênes,"3 132,00","522,00",Livre,,"0,00","6,0000000"
115,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Pate vermicelle,Marseille,"3 568,00","79,28",Quintal,Unité d'origine Livre,"0,40","45,0000000"
116,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Pate vermicelle,Espagne,"790,00","17,55",Quintal,Unité d'origine Livre,"0,25","45,0000000"
117,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Pate vermicelle,Gênes,"1 408,00","31,30",Quintal,Unité d'origine Livre,"-0,50","45,0000000"
118,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Peaux; De chameau poil,Marseille,"740,00","370,00",Livre,,"0,00","2,0000000"
119,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Peaux; De veau,Marseille,"4 959,00","4 959,00",Livre,,"0,00","1,0000000"
120,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Pierres; A faux,Marseille,"4 845,00","48 450,00",Nombre,Prix unitaire en pourcentage du nombre,"4 845,00","0,0000000"
121,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Pierres; De jay,Marseille,"2 490,00","2 490,00",Livre,,"0,00","1,0000000"
122,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Pierres; De jay,Espagne,"19 014,00","19 014,00",Livre,,"0,00","1,0000000"
123,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Plomb; Brut,Marseille,"4 035,00","134,50",Quintal,Unité d'origine Livre,"0,00","30,0000000"
124,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Plomb; En saumon,Marseille,"1 550,00","5 710,00",,,"1 550,00","0,0000000"
125,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Poissons; Divers,Marseille,"412,00",,Valeur,,"412,00","0,0000000"
126,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Poissons; Anchoix,Sardaigne,"1 704,00","28,40",,Unité d'origine Livre,"0,00","60,0000000"
127,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Poissons; Harengs,Marseille,"2 550,00","25 500,00",Nombre,Prix unitaire en pourcentage du nombre,"2 550,00","0,0000000"
128,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Poissons; Morue,Marseille,"104 487,00","2 612,18",Quintal,Unité d'origine Livre,"-0,20","40,0000000"
129,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Poissons; Saumon,Marseille,"5 440,00","108,81",Quintal,Unité d'origine Livre,"-0,50","50,0000000"
130,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Provisions de bouche,Marseille,"2 323,00","26,45",Quintal,Unité d'origine Livre,"259,90","78,0000000"
131,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Quincaillerie de fer faux,Marseille,"39 290,00","654,84",Quintal,Unité d'origine Livre,"-0,40","60,0000000"
132,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Savon,Marseille,"2 910 525,00","52 918,63",Quintal,Unité d'origine Livre,"0,35","55,0000000"
133,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Souffre; En canon,Marseille,"23 107,00","1 540,49",Quintal,Unité d'origine Livre,"-0,35","15,0000000"
134,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Souffre; En fleur,Marseille,"18 131,00","604,34",Quintal,Unité d'origine Livre,"0,80","30,0000000"
135,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Suif;,Marseille,"18 758,00","416,85",Quintal,Unité d'origine Livre,"-0,25","45,0000000"
136,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Suif; Chandelles,Marseille,"10 837,00","180,61",Quintal,Unité d'origine Livre,"0,40","60,0000000"
137,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Sucre; Cassonade,Marseille,"3 851,00","77,02",Quintal,Unité d'origine Livre,"0,00","50,0000000"
138,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Sucre; Rafiné,Marseille,"289,00","3,61",Quintal,Unité d'origine Livre,"0,20","80,0000000"
139,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Sucre; Terré,Marseille,"24 602,00","492,05",Quintal,Unité d'origine Livre,"-0,50","50,0000000"
140,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Sucre; Vergeoise,Marseille,"1 350,00","33,76",Quintal,Unité d'origine Livre,"-0,40","40,0000000"
141,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Terre; D'ombre,Marseille,"166,00","11,06",Quintal,Unité d'origine Livre,"0,10","15,0000000"
142,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Terre; Pozolane,Marseille,"1 761,00","1 761,00",Quintal,Unité d'origine Livre,"0,00","1,0000000"
143,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Vin; Ordinaire,Espagne,"170 064,00","2 362,00",Muid,,"0,00","72,0000000"
144,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,6,Vin; D'Alicante,Espagne,"75 792,00","350,88",Muid,Unité d'origine Muid et Pinte,"1,92","216,0000000"
145,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Acier,Marseille,"2 968,00","98,95",Quintal,Unité d'origine Livre,"-0,50","30,0000000"
146,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Amandes; Cassées,Marseille,"1 900,00","47,51",Quintal,Unité d'origine Livre,"-0,40","40,0000000"
147,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Amandes; En coques,Marseille,"4 020,00","114,08",Quintal,Unité d'origine Livre,"27,20","35,0000000"
148,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Amandes; En coques,Espagne,"183,00","5,25",Quintal,Unité d'origine Livre,"-0,75","35,0000000"
149,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Amadou,Gênes,"180,00","1,80",Quintal,Unité d'origine Livre,"0,00","100,0000000"
150,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Amidon en grain,Marseille,"3 250,00","108,56",Quintal,Unité d'origine Livre,"-6,80","30,0000000"
151,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Balais; De palme,Marseille,"195,00","156,00",Douzaine,,"0,00","1,2500000"
152,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Balais; De palme,Espagne,"6 427,00","5 141,00",Douzaine,,"0,75","1,2500000"
153,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Balais; De ris,Marseille,"2 102,00","4 204,00",Nombre,,"0,00","0,5000000"
154,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Beurre,Marseille,"378,00","4,73",Quintal,Unité d'origine Livre,"-0,40","80,0000000"
155,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bierre,Marseille,"120,00","3,33",Muid,,"120,00","0,0000000"
156,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bierre,Etats de l'empereur,"120,00","3,33",Muid,,"120,00","0,0000000"
157,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; Divers,Dunkerque,"118,00",,Valeur,,"118,00","0,0000000"
158,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; Divers,Gênes,"185,00",,Valeur,,"185,00","0,0000000"
159,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; Divers,Marseille,"1 170,00",,Valeur,,"1 170,00","0,0000000"
160,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; De construction,Marseille,"300,00",,Valeur,,"300,00","0,0000000"
161,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; De construction,Espagne,"339,00",,Valeur,,"339,00","0,0000000"
162,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; De construction,Hollande,"332,00",,Valeur,,"332,00","0,0000000"
163,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; A tonneaux douilles,Marseille,"81 900,00","585 000,00",Nombre,Prix unitaire en pourcentage du nombre,"-8 108 100,00","14,0000000"
164,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; A tonneaux douilles,Dunkerque,"10 850,00","77 500,00",Nombre,Prix unitaire en pourcentage du nombre,"-1 074 150,00","14,0000000"
165,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; A tonneaux douilles,Naples Sicile,"115 696,00","826 400,00",Nombre,Prix unitaire en pourcentage du nombre,"-11 453 904,00","14,0000000"
166,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; A tonneaux douilles,Angleterre,"3 360,00","24 000,00",Nombre,Prix unitaire en pourcentage du nombre,"-332 640,00","14,0000000"
167,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; A tonneaux douilles,Hollande,"25 200,00","180 000,00",Nombre,Prix unitaire en pourcentage du nombre,"-2 494 800,00","14,0000000"
168,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; A tonneaux douilles,Amérique,"23 800,00","170 000,00",Nombre,Prix unitaire en pourcentage du nombre,"-2 356 200,00","14,0000000"
169,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; Pour teinture; Campeche,Marseille,"67 288,00","2 387,00",Quintal,Unité d'origine Livre,"10 000,00","24,0000000"
170,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; Pour teinture; De Fernambourg,Marseille,"5 236,00","87,27",Quintal,Unité d'origine Livre,"-0,20","60,0000000"
171,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; Pour teinture; Fustel,Marseille,"771,00","51,42",Quintal,Unité d'origine Livre,"-0,30","15,0000000"
172,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; Pour teinture; Fustel,Sardaigne,"714,00","47,61",Quintal,Unité d'origine Livre,"-0,15","15,0000000"
173,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; Pour teinture; De Sainte Marthe,Marseille,"35 548,00","1 184,94",Quintal,Unité d'origine Livre,"-0,20","30,0000000"
174,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bois; Pour teinture; De santal,Marseille,"873,00","29,10",Quintal,Unité d'origine Livre,"0,00","30,0000000"
175,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bray et goudron,Marseille,"8 557,00","855,75",Quintal,Unité d'origine Livre,"-0,50","10,0000000"
176,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Bray et goudron,Espagne,"2 770,00","277,00",Quintal,Unité d'origine Livre,"0,00","10,0000000"
177,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Cacao,Marseille,"11 407,00","152,10",Quintal,Unité d'origine Livre,"-0,50","75,0000000"
178,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Castor,Marseille,"1 500,00","3,00",Nombre,,"1 500,00","0,0000000"
179,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Cendres; Barille,Marseille,"14 495,00","1 999,41",Quintal,Unité d'origine Livre,"-500,58","7,5000000"
180,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Cendres; Barille,Espagne,"10 360,00","1 354,79",Quintal,Unité d'origine Livre,"199,08","7,5000000"
181,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Cendres; De Sicile,Marseille,"1 289,00","128,94",Quintal,Unité d'origine Livre,"-0,40","10,0000000"
182,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Chairs salées diverses,Marseille,"1 664,00","2 346,00",,,"1 664,00","0,0000000"
183,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Chanvre; Crû,Marseille,"17 281,00","493,75",Quintal,Unité d'origine Livre,"-0,25","35,0000000"
184,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Chanvre; Crû,Sardaigne,"6 582,00","188,08",Quintal,Unité d'origine Livre,"-0,80","35,0000000"
185,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Chanvre; Crû,Gênes,"597,00","17,06",Quintal,Unité d'origine Livre,"-0,10","35,0000000"
186,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Chanvre; Crû,Suède,"848,00","24,24",Quintal,Unité d'origine Livre,"-0,40","35,0000000"
187,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Chanvre; Crû,Russie,"532,00","15,20",Quintal,Unité d'origine Livre,"0,00","35,0000000"
188,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Chanvre; Peigné,Marseille,"83 124,00","1 385,40",Quintal,Unité d'origine Livre,"0,00","60,0000000"
189,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Charbon de bois,Sardaigne,"140,00","5 600,00",,,"140,00","0,0000000"
190,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Chapeaux poil et laine,Marseille,"2 600,00","325,00",Nombre,,"0,00","8,0000000"
191,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Cires; Diverses,Marseille,"809,00",,Valeur,,"809,00","0,0000000"
192,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Cires; Jaune,Marseille,"12 520,00","104,34",Quintal,Unité d'origine Livre,"-0,80","120,0000000"
193,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Cires; Jaune,Amérique,"360,00","3,00",Quintal,Unité d'origine Livre,"0,00","120,0000000"
194,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Colle forte;,Marseille,"18 244,00","456,12",Quintal,Unité d'origine Livre,"-0,80","40,0000000"
195,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Colle forte; De poisson,Marseille,"2 358,00","5,24",Quintal,Unité d'origine Livre,"0,00","450,0000000"
196,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Cordes de boyaux,Marseille,"180,00","60,00",Livre,,"0,00","3,0000000"
197,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,9,Cordages de chanvre,Marseille,"315,00","10,50",Quintal,Unité d'origine Livre,"0,00","30,0000000"
198,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,10,Coton filé;,Marseille,"1 371,00","457,00",Livre,,"0,00","3,0000000"
199,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,10,Coton filé; En laine des Isles,Marseille,"53 293,00","53 293,00",Livre,,"0,00","1,0000000"
200,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,10,Coton filé; En laine etranger,Marseille,"809 339,00","809 339,00",Livre,,"0,00","1,0000000"
201,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,10,Coton filé; En laine etranger,Milanes Toscane,"2 369,00","2 369,00",Livre,,"0,00","1,0000000"
202,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,10,Cuirs de bœuf en poil,Marseille,"653 600,00","25 200,00",Nombre,25200 nombre convertis en 556561,"200 000,00","18,0000000"
203,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,10,Cuirs de bœuf en poil,Espagne,"216 540,00","12 030,00",Nombre,12030 nombre convertis en 280756,"0,00","18,0000000"
204,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,10,Cuivre; Ouvré,Marseille,"308,00","2,57",Quintal,Unité d'origine Livre,"-0,40","120,0000000"
205,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,10,Cuivre; Jaune,Dunkerque,"312,00","2,60",Quintal,Unité d'origine Livre,"0,00","120,0000000"
206,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,10,Cuivre; En pains,Marseille,"26 152,00","435,87",Quintal,Unité d'origine Livre,"-0,20","60,0000000"
207,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,10,Cuivre; En planches,Marseille,"56 586,00","754,48",Quintal,Unité d'origine Livre,"0,00","75,0000000"
208,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Cette,10,Cuivre; En planches,Angleterre,"6 642,00","88,57",Quintal,Unité d'origine Livre,"-0,75","75,0000000"
