numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problème,remarks
119,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Vin,La Suisse et alliés et Genève,9,Pintes,,800,,Pas de prix unitaire
120,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Arbrisseaux,La Sardaigne,174,Nombre,,104,,Pas de prix unitaire
121,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Batteaux,La Sardaigne,136,Nombre,,3441,,Pas de prix unitaire
122,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Bestiaux ; bœufs ,La Sardaigne,276,Nombre,,41400,,Pas de prix unitaire
123,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Bestiaux ; moutons,La Sardaigne,66,Nombre,8,528,0,
124,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Bestiaux ; porcs,La Sardaigne,30,Nombre,,788,,Pas de prix unitaire
125,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Bestiaux ; taureaux,La Sardaigne,3,Nombre,,180,,Pas de prix unitaire
126,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Bestiaux ; vaches,La Sardaigne,20,Nombre,,1284,,Pas de prix unitaire
127,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Bois ; à bruler,La Sardaigne,,,,2298,,
128,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Bois ; fagots,La Sardaigne,18475,Nombre,,3348,,Pas de prix unitaire
129,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Bois ; de construction,La Sardaigne,,,,1843,,
130,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Bois ; planches de noyer,La Sardaigne,5759,Nombre,,6101,,Pas de prix unitaire
131,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Bray goudron,La Sardaigne,1250,Livres,,150,,Pas de prix unitaire
132,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Cendres de bois,La Sardaigne,7266,Quintaux,1,7266,0,
133,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Chapeaux de paille,La Sardaigne,23,Douzaines,,414,,Pas de prix unitaire
134,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Cire jaune,La Sardaigne,70,Livres,,105,,Pas de prix unitaire
135,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Cornes de moutons,La Sardaigne,2900,Livres,"0,1",290,0,10 livres le quintal
136,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Couvertures d'etoupes,La Sardaigne,,,,240,,
137,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Drapeaux vieux pour papeterie ,La Sardaigne,19735,Livres,,2130,,Pas de prix unitaire
138,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Drogues ; pour la peinture (noix de galles),La Sardaigne,6400,Livres,,1600,,Pas de prix unitaire
139,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Drogues ; pour la peinture (noix de galles),La Suisse,410,Livres,,205,,Pas de prix unitaire
140,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Drogues ; therebentine,La Sardaigne,298,Livres,,120,,Pas de prix unitaire
141,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Farine de froment,La Sardaigne,600,Livres,,120,,Pas de prix unitaire
142,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Fer en barres,La Sardaigne,1955,Livres,"0,3",586,"-0,5",
143,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Fromage,La Sardaigne,881,Livres,"0,5",440,"-0,5",
144,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Fromage,La Suisse,490,Livres,"0,5",245,0,
145,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Fruits cruds (poires et pommes),La Sardaigne,2621500,Nombre,,15024,,Pas de prix unitaire
146,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Fruits secs (chataignes),La Sardaigne,3150,Livres,,189,,Pas de prix unitaire
147,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Fruits secs (noix),La Sardaigne,1500,Livres,,450,,Pas de prix unitaire
148,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Gants de poil de lapin,La Sardaigne,12,Douzaines,,200,,Pas de prix unitaire
149,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Gomme de cerisier ,La Sardaigne,4475,Livres,,1790,,
150,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Grains commestibles (ris),La Sardaigne,265300,Livres,,53090,,Pas de prix unitaire
151,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Horlogerie,La Suisse,,,,1002,,
152,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Linge ouvré,La Sardaigne,360,Livres,,100,,Pas de prix unitaire
153,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Liqueurs,La Sardaigne,,,,357,,
154,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Marchandises mêlées à la valeur,La Sardaigne,,,,1041,,
155,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Mercerie,La Sardaigne,,,,152,,
156,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Meubles,La Sardaigne,,,,155,,
157,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Ouvrages de bois (sceaux de sapin),La Sardaigne,80,Douzaines,6,483,3,
158,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Ouvrages de bois vans à vanner,La Sardaigne,474,Nombre,,603,,Pas de prix unitaire
159,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Ouvrages de terre (thuiles),La Sardaigne,49050,Nombre,,1623,,Pas de prix unitaire
160,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Peaux de veaux en poil,La Sardaigne,77,Douzaines,,2312,,Pas de prix unitaire
161,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Peaux de veaux en poil,La Suisse,"9,75",Douzaines,,292,,
162,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Pelleteries peaux de lièvres,La Sardaigne,485,Nombre,,242,,Pas de prix unitaire
163,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Pierres à batir,La Sardaigne,,,,275,,
164,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Pierres de molasse,La Sardaigne,86,Nombre,,197,,Pas de prix unitaire
165,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Pierres pourries,La Sardaigne,65,Quintaux,3,195,0,
166,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Pierres à plake,La Sardaigne,70,Quintaux,,130,,
167,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Poisson de mer,La Sardaigne,,,,103,,
168,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Quincaillerie diverse,La Sardaigne,,,,318,,
169,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Seyssel,7,Quincaillerie faulx et faucilles,La Sardaigne,655,Livres,,1311,,Pas de prix unitaire
