numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,unit_price,value,probleme,remarks
117,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Laine peignée,Lorraine,"96,00",Livres,"4,0000000","386,00","2,00",
118,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Liqueurs communs,Lorraine,"180,00",Bouteilles,"1,5000000","270,00","0,00",
119,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Marchandises à la valeur,Lorraine,"1,00",Valeur,"598,0000000","598,00","0,00",
120,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Marchandises à la valeur,Alsace et 3 évéchés,"1,00",Valeur,"116,0000000","116,00","0,00",
121,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Mercerie melée,Lorraine,"8 433,00",Livres,"3,0000000","25 299,00","0,00",
122,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Mercerie melée,Les 4 villes anséatiques,"100,00",Livres,"3,0000000","300,00","0,00",
123,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Meubles,Lorraine,"1,00",Valeur,"710,0000000","710,00","0,00",
124,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Ouvrages de bois ; divers,Lorraine,"1,00",Valeur,"381,0000000","381,00","0,00",
125,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Ouvrages en bois ; batons vernis,3 évéchés,"777,00",Livres,"2,0000000","1 554,00","0,00",
126,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Ouvrages en bois ; futaillerie,Lorraine,"2 800,00",Livres,"0,5000000","1 400,00","0,00",
127,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Ouvrages en bois ; en tours à filer,Lorraine,"444,00",Nombre,"1,0000000","444,00","0,00",
128,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Ouvrages en bois ; en sabots,Lorraine,"7,00",Charetés,"40,0000000","280,00","0,00",
129,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Pelleterie commune,3 évéchés,"35,00",Livres,"3,0000000","105,00","0,00",
130,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Pelleterie en peaux de lièvres non appretées,Lorraine,"1 245,00",Livres,"1,5000000","1 867,00","-0,50",
131,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Pierres à éguiser,Les 4 villes anséatiques,"1 080,00",Nombre,"0,1500000","162,00","0,00",
132,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Plomb,Lorraine,"315,00",Livres,"0,3500000","110,00","-0,25",
133,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Plume à lit,Lorraine,"800,00",Livres,"0,6000000","480,00","0,00",
134,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Plume à lit,Lorraine,"1 250,00",Livres,"1,0000000","1 250,00","0,00",
135,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Potterie,Lorraine,"1 066,00",Douzaines,"0,3000000","319,00","-0,80",
136,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Rognures de cartes,3 évéchés,"7 433,00",Livres,"0,0250000","185,00","-0,83",50 sous le quintal
137,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Quincaillerie diverse,Lorraine,"180,00",Livres,,"100,00",,Pas de prix unitaire
138,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,QUincaillerie de fer en clous,Lorraine,"5 050,00",Livres,"0,1000000","505,00","0,00",
139,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Suif en chandelle,Lorraine,"11 017,00",Livres,"0,7500000","8 362,00","99,25",
140,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Toile de coton en mousseline,Lorraine,"1 412,00",Muids,"4,0000000","5 648,00","0,00",
141,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre en bouteilles,Lorraine,"1 126,00",Nombre,"0,2000000","225,00","-0,20",
142,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre en tables,Alsace,"24 730,00",Livres,"1,5000000","37 095,00","0,00",
143,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre en tables,Lorraine,"14 968,00",Livres,"1,5000000","22 452,00","0,00",
144,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre en tables,Alsace et Lorraine,"100,00",Livres,"1,5000000","150,00","0,00",
145,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre d'assortiment,Alsace,"100 991,00",Livres,"3,0000000","302 973,00","0,00",
146,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre d'assortiment,Lorraine,"78 629,00",Livres,"3,0000000","235 887,00","0,00",
147,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre d'assortiment,Alsace et 3 évéchés,"135 458,00",Livres,"3,0000000","406 374,00","0,00",
148,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre d'assortiment,Alsace et Lorraine,"47 520,00",Livres,"3,0000000","145 560,00","3 000,00",
149,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre à vitre,Alsace,"7 410,00",Livres,"1,0000000","7 410,00","0,00",
150,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre à vitre,Lorraine,"9 390,00",Livres,"1,0000000","390,00","-9 000,00",
151,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre à vitre,Alsace et 3 évéchés,"4 280,00",Livres,"1,0000000","4 280,00","0,00",
152,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,7,Verre d'assortiment,3 évéchés,"12 069,00",Livres,"3,0000000","36 207,00","0,00",
