numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks,
114,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Ruban de fil,Lorient,214,Livres,3,642,#REF!,,,
115,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Isles de France,Ruban de soye,Lorient,,,,200,,,Total uniquement,
116,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Foret,Ruban de soye,Amérique,139,Livres,,4200,,,Pas de prix unitaire,
117,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Tourraine,Ruban de soye,Lorient,"9,75",Livres,,750,,,Pas de prix unitaire,
118,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Lyon,Ruban de soye,Lorient,"560,5",Livres,50,28025,#REF!,,,
119,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Lyon,Ruban de soye,Amérique,"9,75",Livres,40,390,#REF!,,,
120,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Bretagne,Toille cirée,Lorient,,,,720,,,120 pièces ou 320£,
121,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille cirée,Lorient,3500,Livres,2,7000,#REF!,,,
122,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Isles de France,Toille de coton,Lorient,164,Aunes,"3,5",574,#REF!,,,
123,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille de coton,Lorient,517,Aunes,"3,5",1809,#REF!,,,
124,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille de coton rayée,Lorient,841,Aunes,3,2523,#REF!,,,
125,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille coton teinte,Lorient,74,Aunes,4,294,#REF!,,,
126,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille fil et coton,Lorient,474,Aunes,3,1422,#REF!,,,
127,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Rouen,Toille fil et coton teinte,Lorient,1346,Aunes,3,4038,#REF!,,,
128,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Rouen,Toille siamoise,Lorient,1181,Aunes,3,3543,#REF!,,,
129,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille indienne,Lorient,96,Aunes,"5,5",528,#REF!,,,
130,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille indienne fil et coton,Lorient,134,Aunes,3,402,#REF!,,,
131,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Amiens,Toille de fil matelat,Lorient,344,Aunes,3,826,#REF!,,Erreur de calcul,
132,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Flandre,Toille de lin,Lorient,34,Aunes,"3,5",119,#REF!,,,
133,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Amiens,Toille de lin,Lorient,1676,Aunes,4,6704,#REF!,,,
134,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Etranger,Toille de lin teinte,Lorient,770,Livres,,1300,,,Pas de prix unitaire,
135,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille de lin teinte,Ports et pays de France,,,,760,,,190 aunes ou 70 livres,
136,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Maine,Verrerie,Lorient,700,Livres,,390,,,Pas de prix unitaire,
137,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Maine,Vin en bouteilles,Lorient,466,Bouteilles,"0,75",349,0,,,
