numrodeligne,dataentryby,source,sourcepath,sourcetype,Exportations (Sorties)/Importations (Entrées),sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
108,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille indienne,Angleterre ,"43,5",Aunes,"3,0000000","130,00","-0,50",
109,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille de lin,L'Espagne et les Etats de dépendance,360,Livres,"4,0000000","1 440,00","0,00",
110,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille de lin,Angleterre ,21710,Livres,"4,0000000","86 840,00","0,00",
111,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille de lin ditte d'anvers,Angleterre ,7492,Aunes,"3,0000000","22 476,00","0,00",
112,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille de lin etroite,L'Espagne et les Etats de dépendance,764397,Aunes,,"1 681 675,00",,Pas de prix unitaire
113,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille de lin etroite,Angleterre ,141,Aunes,,"310,00",,Pas de prix unitaire
114,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille de lin etroite,La Hollande,1704,Aunes,,"3 750,00",,Pas de prix unitaire
115,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille de lin large,L'Espagne et les Etats de dépendance,164667,Aunes,,"396 517,00",,Pas de prix unitaire
116,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille de lin large,La Hollande,682,Aunes,,"1 125,00",,Pas de prix unitaire
117,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Lemaine,Toille royale de lin,Angleterre ,556,Aunes,,"1 715,00",,Pas de prix unitaire
118,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille de lin galcienne,L'Espagne et les Etats de dépendance,341,Aunes,,"450,00",,Pas de prix unitaire
119,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Lemaine,Toille de lin,Angleterre ,784,Aunes,"3,0000000","2 352,00","0,00",
120,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille de lin ecrue,Angleterre ,91,Aunes,,"120,00",,Pas de prix unitaire
121,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Lemaine,Toille 3/4 large,Angleterre ,438,Aunes,,"579,00",,Pas de prix unitaire
122,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille laistoufaire,Angleterre ,80,Aunes,,"320,00",,Pas de prix unitaire
123,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille de lin pour embalages,Angleterre ,576,Aunes,"0,6000000","346,00","0,40",
124,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toille d'etoupe de lin ditte serpiliére,Angleterre ,29417,Aunes,,"15 532,00",,Pas de prix unitaire
125,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Bretagne,Toille Batiste,Angleterre ,"442,5",Aunes,"10,0000000","4 425,00","0,00",
126,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Normandie,Toille siamoise fil et coton,Angleterre ,1435,Aunes,"4,0000000","5 740,00","0,00",
127,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Bretagne,Toille de chanvre ville de Halle,Angleterre ,295,Aunes,,"390,00",,Pas de prix unitaire
128,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Bretagne,Toille de chanvre,Angleterre ,992,Aunes,,"1 309,00",,Pas de prix unitaire
129,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Bretagne,Toille à voile,L'Espagne et les Etats de dépendance,6136,Aunes,,"14 850,00",,Pas de prix unitaire
130,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Bretagne,Toille coutil,Angleterre ,39,Aunes,"3,5000000","136,00","-0,50",
131,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Bretagne,Toille cirée,Angleterre ,242,Pièces,"4,0000000","868,00","-100,00",
132,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Bretagne,Verrerie diverse,Angleterre ,,Valeur,,"180,00",,
133,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Normandie,Verres à boire,Angleterre ,,Valeur,,"342,00",,
134,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Bordeaux,Vin,Angleterre ,3500,Pintes,"0,2500000","1 400,00","525,00",Erreur de calcul ; quantité 12 muids et 44 pintes
135,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Bordeaux,Vinaigre,Angleterre ,9955,Pots,,"1 592,00",,34 muids et 163 pots
136,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Bordeaux,Volaille,Angleterre ,,Valeur,,"1 584,00",,
137,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,6,1789,Saint Malo,Saint Malo,Bordeaux,Ustencils de pêche,Angleterre ,,Valeur,,"353,00",,
138,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Beurre,Petites isles,3860,Livres,"0,6000000","2 316,00","0,00",60 livres le quintal
139,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Beurre,Dunkerque,8650,Livres,"0,6000000","5 190,00","0,00",60 livres le quintal
140,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Beurre,L'Espagne et les Etats de dépendance,4060,Livres,"0,6000000","2 436,00","0,00",60 livres le quintal
141,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Beurre,Les 4 villes Anséatiques,1410,Livres,"0,6000000","846,00","0,00",60 livres le quintal
142,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Beurre,Flandre et Etats de l'empereur,38455,Livres,"0,6000000","23 073,00","0,00",60 livres le quintal
143,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Bois feuillard,L'Espagne et les Etats de dépendance,,Valeur,,"520,00",,
144,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Chaire salée (lard),L'Espagne et les Etats de dépendance,372,Livres,"0,3500000","130,00","-0,20",35 livres le quintal
145,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Lyon,Chapeaux divers,L'Espagne et les Etats de dépendance,66,Nombre,"12,0000000","782,00","-10,00",Erreur de calcul
146,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Lyon,Cuirs de génisses,L'Espagne et les Etats de dépendance,480,Nombre,,"5 616,00",,Pas de prix unitaire
147,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Lyon,Cuirs de génisses,Le Portugal,6117,Nombre,,"82 099,00",,Pas de prix unitaire
148,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Cuirs de vache tannés,Angleterre ,89,Livres,"2,0000000","178,00","0,00",
149,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Etranger,Eau de vie simple,Angleterre ,27,Veltes,"6,0000000","162,00","0,00",216 pintes à 6 livres la velte
150,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Etranger,Eau de vie simple,Le Dannemarck et Norvège,2289,Veltes,"6,0000000","13 734,00","0,00",63 muids et 168 pintes à 6 livres la velte
151,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Provence,Eau de vie simple,Le Dannemarck et Norvège,3578,Veltes,"4,0000000","14 312,00","0,00",99 muids et 112 pintes à 4 livres la velte
152,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Provence,Eau de vie simple,Etats unis de l'Amérique,482,Veltes,"4,0000000","1 928,00","0,00",13 muids et 112 pintes à 4 livres la velte
153,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Etranger,Fruits secs (raisin),Angleterre ,2000,Livres,"0,1500000","300,00","0,00",15 livres le quintal
154,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Etranger,Futailles vides,Petites isles,378,Nombre,"2,5000000","945,00","0,00",
155,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Etranger,Graisse,Angleterre ,800,Livres,"0,4000000","320,00","0,00",
156,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Etranger,Marchandises à la valeur,Angleterre ,,Valeur,,"400,00",,
157,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Miel,Angleterre ,815734,Livres,"0,2500000","203 933,00","-0,50",25 livres le quintal
158,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Miel,Les 4 villes Anséatiques,1400,Livres,"0,2500000","350,00","0,00",25 livres le quintal
159,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Miel,Flandre et Etats de l'empereur,65729,Livres,"0,2500000","16 432,00","-0,25",25 livres le quintal
160,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier commun,Angleterre ,72,Rames,"2,2500000","162,00","0,00",
161,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier batard fin,Le Portugal,5088,Rames,"2,0000000","10 176,00","0,00",
162,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier batard fin,La Hollande,4536,Rames,"2,0000000","9 072,00","0,00",
163,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier bulle blanche,Le Portugal,57754,Rames,"0,8000000","46 203,00","-0,20",
164,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier cru fin,Le Portugal,642,Rames,"3,2500000","2 086,00","-0,50",
165,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier cru fin,La Hollande,10946,Rames,"3,2500000","35 574,00","-0,50",
166,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier cru fin,Les 4 villes Anséatiques,5722,Rames,"3,1000000","18 596,00","857,80",Erreur de calcul
167,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier petit gêne,Le Portugal,2576,Rames,"1,4000000","3 606,00","-0,40",
168,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier gêne fin,Le Portugal,11144,Rames,"1,5000000","16 716,00","0,00",
169,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier gêne fin,La Hollande,9324,Rames,"1,5000000","13 986,00","0,00",
170,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier grand raisin,La Hollande,2945,Rames,"5,0000000","14 725,00","0,00",
171,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier impérial,La Hollande,"36,5",Nombre,"7,5000000","274,00","0,25",
172,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier étoille fin,La Portugal,800,Rames,"2,5000000","2 000,00","0,00",
173,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Papier étoille fin,La Hollande,2728,Rames,"2,5000000","6 820,00","0,00",
174,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Peaux veaux corroyées,La Hollande,127196,Livres,"1,8000000","228 953,00","0,20",
175,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Peaux en bazanne,Le Portugal,30,Douzaines,"36,0000000","1 080,00","0,00",
176,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Pierres en quartiers pour batisse,La Hollande,955,Tonneaux,"10,0000000","9 550,00","0,00",
177,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Tabac en côtes,Les 4 villes Anséatiques,957790,Livres,"0,0700000","67 045,00","-0,30",7 livres le quintal
178,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Tabac en poudre,L'Espagne et les Etats de dépendance,36,Livres,"3,6000000","130,00","0,40",
179,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille de lin blanche,Angleterre ,150,Aunes,"2,5000000","375,00","0,00",
180,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille de lin crée large,L'Espagne et les Etats de dépendance,79800,Aunes,"1,6000000","127 680,00","0,00",
181,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille de lin entre large,L'Espagne et les Etats de dépendance,12800,Aunes,"2,0000000","25 600,00","0,00",
182,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille large (de lin),L'Espagne et les Etats de dépendance,15600,Aunes,"2,7500000","42 900,00","0,00",
183,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille large (de lin),Le Portugal,10400,Aunes,"2,7500000","28 600,00","0,00",
184,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille de lin étroite,L'Espagne et les Etats de dépendance,54000,Aunes,"2,0000000","108 000,00","0,00",
185,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille gracienne,L'Espagne et les Etats de dépendance,829400,Aunes,"1,2500000","1 036 750,00","0,00",
186,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille de lin de ménage,L'Espagne et les Etats de dépendance,50,Aunes,"2,0000000","100,00","0,00",
187,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille de lin de ménage,Etats unis de l'Amérique,106,Aunes,"2,0000000","212,00","0,00",
188,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille Batiste,L'Espagne et les Etats de dépendance,"16,5",Livres,,"992,00",,Pas de prix unitaire
189,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille de chanvre à voile,Etats unis de l'Amérique,1250,Livres,,"2 200,00",,Pas de prix unitaire
190,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Bretagne,Toille de chanvre ditte de halle,Le Portugal,8886,Aunes,"1,4500000","12 885,00","0,30",
191,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Normandie,Verre en bouteille,L'Espagne et les Etats de dépendance,600,Nombre,"0,3600000","216,00","0,00",
192,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Normandie,Vin de Bordeaux,L'Espagne et les Etats de dépendance,60,Pintes,"0,5000000","30,00","0,00",
193,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Normandie,Vin de Bordeaux,Angleterre ,2000,Pintes,"0,5000000","1 000,00","0,00",6 muids et 272 pintes à 10 sous la pinte
194,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Normandie,Vin de Bordeaux,La Hollande,240,Pintes,"0,5000000","120,00","0,00",
195,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Normandie,Vin de Bordeaux,Etats unis de l'Amérique,500,Pintes,"0,5000000","250,00","0,00",1 muid et 212 pintes à 10 sous la pinte
196,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,8,1789,Saint Malo,Morlaix,Normandie,Volaille,Angleterre ,,Valeur,,"435,00",,
197,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Beurre,Marseille,200,Livres,"0,5000000","100,00","0,00",
198,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Beurre,Angleterre ,200,Livres,"0,5000000","100,00","0,00",
199,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Biscuit de mer,Marseille,1800,Livres,"0,1000000","180,00","0,00",10 livres le quintal
200,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Bois de chataigner en planches,Marseille,45,Douzaines,"100,0000000","4 500,00","0,00",
201,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Bois de chêne en planches,Marseille,4,Douzaines,"140,0000000","560,00","0,00",
202,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Cuirs de bœufs tannés et apprêtés,Angleterre ,1155,Livres,"1,1000000","1 270,00","-0,50",
203,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Cuirs de vaches tannés,Angleterre ,1615,Livres,"1,5000000","2 422,00","-0,50",
204,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Graine de trefle,Angleterre ,2100,Livres,"0,3600000","756,00","0,00",
205,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Legumes (poivres),Marseille,1670,Livres,"0,1000000","167,00","0,00",
206,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Lingerie,Angleterre ,,Valeur,,"340,00",,
207,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Marchandises à la valeur,Marseille,,Valeur,,"102,00",,
208,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Marchandises à la valeur,Angleterre ,,Valeur,,"394,00",,
209,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Miel,La Hollande,79728,Livres ,"0,1800000","14 351,00","-0,04",18 livres le quintal
210,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Papier,La Hollande,29,Rames,"4,5000000","130,00","-0,50",
211,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Peaux de veaux apprêtées,Angleterre ,217,Livres ,"2,0000000","434,00","0,00",
212,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,10,1789,Saint Malo,Le Legué et dépendance,Bretagne,Poisson salé (morue seche),Marseille,15700,Livres,"0,3000000","4 710,00","0,00",30 livres le quintal
