numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,probleme,remarks,prix_unitaire,doubleaccounts
17,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; en bougie,"Milan, Toscane et Lucques",1070,"4,46",,28377,quintal,"18,6",erreur de calcul,240,
17,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; en bougie,"Naples, Sicile et Parme",4128,"17,2",,28377,quintal,"18,6",erreur de calcul,240,
27,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Rouen,Le Havre,3,Cire ; en bougie,bayonne,250,100,Isle de France,1250,livres,,,,0
27,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Rouen,Le Havre,3,Cire ; en bougie,espagne,1250,500,Isle de France,1250,livres,,,,0
38,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Lille,Lille,5,Cire ; en bougies,etatsdelempereur,263,96,du Mans,263,livres,,,,0
19,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; en grain,Angleterre,509,"2,4",,38633,quintal,"0,24",erreur de calcul,212,
19,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; en grain,Espagne et les Etats dépendants,17017,"80,27",,38633,quintal,"0,24",erreur de calcul,212,
19,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; en grain,Etats du Roi de Sardaigne,6837,"32,25",,38633,quintal,"0,24",erreur de calcul,212,
19,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; en grain,"Milan, Toscane et Lucques",3778,"17,82",,38633,quintal,"0,24",erreur de calcul,212,
19,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; en grain,"Naples, Sicile et Parme",384,"1,81",,38633,quintal,"0,24",erreur de calcul,212,
19,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; en grain,Venise,10108,"47,68",,38633,quintal,"0,24",erreur de calcul,212,
18,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Cire ; en grain,Genes,1825,"8,69",,1825,quintal,0,erreur de calcul,210,
14,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Auch,Saint Béat,7,Cire ; jaune,Espagne,5374,3071,Languedoc,,livre,"0,25",,"1,75",
16,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Auch,Tarascon,3,Cire ; jaune,Espagne,35334,"235,56",Languedoc,,quintal,0,unité d'origine : livre,150,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Cire ; jaune,Bayonne,1392,696,Guyenne,,livre,0,,2,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Cire ; jaune,Espagne,42920,21460,Guyenne,,livre,0,,2,
6,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Cire ; jaune,Amérique,11015,5246,,11015,livre,"-1,6",erreur de calcul,"2,1",
17,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Lille,Graveline,29,Cire ; jaune,dunkerque,165,110,Flandre,,????,,,,0
16,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Turcoing,50,Cire ; jaune,etatsdelempereur,300,275,,300,livres,,,,0
41,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque-Basseville,28,Cire ; jaune,hollande,93882,46941,,93882,livres,,,,0
76,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque,4,Cire ; jaune,etatsunisdamrique,495,330,,,livres,,,,0
76,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque,4,Cire ; jaune,hollande,40200,26830,,,livres,,,,0
76,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque,4,Cire ; jaune,les4villesansatiques,9810,6540,,,livres,,,,0
18,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; jaune,Espagne et les Etats dépendants,167405,"930,03",,796404,quintal,"-0,6",erreur de calcul,180,
18,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; jaune,Etat Eclésiastique,35076,"194,87",,796404,quintal,"-0,6",erreur de calcul,180,
18,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; jaune,Etats du Roi de Sardaigne,175811,"976,73",,796404,quintal,"-0,6",erreur de calcul,180,
18,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; jaune,Gènes,111080,"617,11",,796404,quintal,"-0,6",erreur de calcul,180,
18,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; jaune,Levant,13079,"72,66",,796404,quintal,"-0,6",erreur de calcul,180,
18,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; jaune,"Milan, Toscane et Lucques",28487,"158,26",,796404,quintal,"-0,6",erreur de calcul,180,
18,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Cire ; jaune,"Naples, Sicile et Parme",265466,"1474,81",,796404,quintal,"-0,6",erreur de calcul,180,
30,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Septemes,17,Cire ; jaune,Marseille,21075,14050,Provence,,livre,0,,"1,5",
19,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Cire ; jaune,Corse,19467,"114,51",,738643,quintal,0,erreur de calcul,170,
19,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Cire ; jaune,Etat de Barbarie,390080,"2294,59",,738643,quintal,0,erreur de calcul,170,
19,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Cire ; jaune,Levant et Empire Ottoman,343912,"2023,01",,738643,quintal,0,erreur de calcul,170,
19,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Cire ; jaune,États-Unis d'Amérique,4651,"27,36",,738643,quintal,0,erreur de calcul,170,
57,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,19,Cire ; jaune,hollande,57004,27145,,447467,livres,,,,0
57,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,20,Cire ; jaune,les4villesansatiques,390463,185935,,447467,livres,,,,0
58,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,5,Cire ; jaune,etatsunisdamrique,2364,1126,,14544,livres,,,,0
58,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,4,Cire ; jaune,hollande,10500,5000,,14544,livres,,,,0
58,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,5,Cire ; jaune,les4villesansatiques,840,400,,14544,livres,,,,0
58,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,5,Cire ; jaune,russie,840,400,,14544,livres,,,,0
7,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Cire ; verte,4 villes anséatiques,2928,976,,3339,livre,0,,3,
7,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Cire ; verte,Amérique,411,137,,3339,livre,0,,3,
59,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,5,Cire ; verte,etatsunisdamrique,294,140,,294,livres,,,,0
77,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque,6,Clarifiant,angleterre,100,100,,,pots,,,,0
78,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque,6,Colle,angleterre,2847,,,,,,,,0
78,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque,6,Colle,hollande,105,350,,,livres,,,,0
20,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Colle,Espagne et les Etats dépendants,2519,"57,25",,8905,quintal,"-1,92",erreur de calcul,44,
20,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Colle,Etat de Barbarie,230,"5,24",,8905,quintal,"-1,92",erreur de calcul,44,
20,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Colle,Etats du Roi de Sardaigne,648,"14,74",,8905,quintal,"-1,92",erreur de calcul,44,
20,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Colle,Hollande,2185,"49,67",,8905,quintal,"-1,92",erreur de calcul,44,
20,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Colle,"Milan, Toscane et Lucques",3323,"75,53",,8905,quintal,"-1,92",erreur de calcul,44,
28,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Valenciennes,Valenciennes,13,Colle,etatsdelempereur,800,1600,,1260,livres,,,,0
28,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Valenciennes,Valenciennes,13,Colle,hollande,460,1920,,1260,livres,,,,0
31,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Baisieux,54,Colle ; commune,etatsdelempereur,150,200,,150,livres,,,,0
33,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Lille,41,Colle ; commune,etatsdelempereur,437,920,,437,livres,,,,0
43,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque-Basseville,28,Colle ; commune,hollande,5014,8359,,5014,livres,,,,0
9,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Colle ; de flandre,Hollande,5003,"71,47",,5003,quintal,"0,1",erreur de calcul,70,
58,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,19,Colle ; de Flandre,hollande,7936,9920,,7936,livres,,,,0
11,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Colle ; de poisson,4 villes anséatiques,900,100,,9423,livre,0,,9,
11,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Colle ; de poisson,Angleterre,2673,297,,9423,livre,0,,9,
11,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Colle ; de poisson,Hollande,5445,605,,9423,livre,0,,9,
11,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Colle ; de poisson,Suède,405,45,,9423,livre,0,,9,
32,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Subordonnés de Dunkerque,36,Colle ; de poisson,dunkerque,2500,500,,,livres,,,,0
44,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque-Basseville,28,Colle ; de poisson,hollande,5205,1041,,5205,livres,,,,0
79,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque,6,Colle ; de poisson,angleterre,7166,1783,,,livres,,,,0
59,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,19,Colle ; de poisson,angleterre,26958,4493,,28614,livres,,,,0
59,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,19,Colle ; de poisson,hollande,396,66,,28614,livres,,,,0
59,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,20,Colle ; de poisson,les4villesansatiques,300,50,,28614,livres,,,,0
59,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,20,Colle ; de poisson,russie,960,160,,28614,livres,,,,0
61,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,4,Colle ; de poisson,angleterre,780,130,,66900,livres,,,,0
61,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,4,Colle ; de poisson,hollande,8520,1420,,66900,livres,,,,0
61,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,5,Colle ; de poisson,russie,57600,9600,,66900,livres,,,,0
10,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Colle ; forte,4 villes anséatiques,170,"2,12",,13633,quintal,"0,2",erreur de calcul,80,
10,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Colle ; forte,Angleterre,1437,"17,97",,13633,quintal,"0,2",erreur de calcul,80,
10,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Colle ; forte,Hollande,12026,"150,32",,13633,quintal,"0,2",erreur de calcul,80,
18,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Lille,Graveline,29,Colle ; forte,dunkerque,312,1040,Artois,,livres,,,,0
13,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Penne,8,Colle ; forte,Marseille,742,"16,5",Provence,,quintal,"-0,5",,45,
60,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,19,Colle ; forte,angleterre,3888,4320,,64696,livres,,,,0
60,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,4,Colle ; forte,hollande,1383,1825,,6633,livres,,,,0
60,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,19,Colle ; forte,hollande,60129,66810,,64696,livres,,,,0
60,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,20,Colle ; forte,les4villesansatiques,679,755,,64696,livres,,,,0
60,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,19,Colle ; forte,marseilles,1988,2210,,64696,livres,,,,0
60,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,5,Colle ; forte,russie,5250,7000,,6633,livres,,,,0
23,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Valenciennes,Givet,7,Colle ; forte,allemagne,120,200,,120,livres,,,,0
20,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Colles ; diverses,4 Villes Anséatiques,420,"10,24",,35780,quintal,0,erreur de calcul,41,
20,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Colles ; diverses,Espagne,496,"12,1",,35780,quintal,0,erreur de calcul,41,
20,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Colles ; diverses,Hollande,34864,"850,34",,35780,quintal,0,erreur de calcul,41,
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,4 Villes Anséatiques,3537,2358,Guyenne,,livre,0,,"1,5",
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Angleterre,7462,4975,Guyenne,,livre,"-0,5",,"1,5",
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Danemark et Norvège,1456,971,Guyenne,,livre,"-0,5",,"1,5",
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Etats Eclésiastique,165,110,Guyenne,,livre,0,,"1,5",
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Etats de l'Empereur en Allemagne et Flandre,208,139,Guyenne,,livre,"-0,5",,"1,5",
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Etats du Roi de Prusse,1252,835,Guyenne,,livre,"-0,5",,"1,5",
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Etats-Unis d'Amérique,1012,675,Guyenne,,livre,"-0,5",,"1,5",
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Hollande,2216,1471,Guyenne,,livre,"9,5",,"1,5",
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Lorient,153,102,Guyenne,,livre,0,total de 490 livres - conforme au document,"1,5",
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Russie,1084,723,Guyenne,,livre,"-0,5",,"1,5",
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Suède,307,205,Guyenne,,livre,"-0,5",,"1,5",
28,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Rouen,Le Havre,3,Confitures,espagne,1380,690,Normandie,1676,livres,,,,0
28,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Rouen,Le Havre,3,Confitures,etatsdelempereur,108,54,Normandie,1676,livres,,,,0
28,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Rouen,Le Havre,3,Confitures,portugal,188,94,Normandie,1676,livres,,,,0
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Bayonne,337,225,Guyenne,,livre,"-0,5",total de 490 livres - conforme au document,"1,5",
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Confitures,Espagne,181,121,Guyenne,,livre,"-0,5",,"1,5",
22,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Corail ; brut,Etat de Barbarie,915,"33,67",,1635,quintal,0,pas de prix prix pratiqué d'Espagne et Gènes différent,28,
22,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Corail ; brut,"Milan, Toscane et Lucques",720,"25,72",,1635,quintal,0,pas de prix prix pratiqué d'Espagne et Gènes différent,28,
64,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,4,Corail ; faux,hollande,2300,400,,2300,livres,,,,0
14,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Penne,8,Corail ; ouvré,Gènes,6500,130,Provence,,livre,0,,50,
21,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Corail ; ouvré,Angleterre,22980,383,,55740,livre,0,,60,
21,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Corail ; ouvré,Etat de Barbarie,7680,128,,55740,livre,0,,60,
21,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,24,Corail ; ouvré,Levant,25080,418,,55740,livre,0,,60,
21,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Corail ; ouvré,Espagne,6250,337,,24509,?,0,erreur de calcul,0,
21,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,20,Corail ; ouvré,Genes,18259,760,,24509,?,0,erreur de calcul,0,
12,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Cordage,Angleterre,2000,40,,7987,quintal,"-0,5",erreur de calcul,50,
12,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,20,Cordage,Hollande,5987,"119,75",,7987,quintal,"-0,5",erreur de calcul,50,
19,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Lille,Graveline,29,Cordage et ficelle,dunkerque,17457,23276,Flandre,,livres,,,,0
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Cordages,4 Villes Anséatiques,1500,30,Guyenne,,quintal,0,,50,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Cordages,Angleterre,9125,"182,5",Guyenne,,quintal,0,,50,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Cordages,Danemark et Norvège,350,7,Guyenne,,quintal,0,,50,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Cordages,Espagne,1250,25,Guyenne,,quintal,0,,50,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,3,Cordages,Etats de l'Empereur en Allemagne et Flandre,900,18,Guyenne,,quintal,0,,50,
