numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problème,remarks
125,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Passementerie tresse de laine 30 lignes,Allemagne et la Pologne,288,Aunes,"0,5",144,0,
126,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Poisson frais,Etats de l'empereur,1,Valeur,2326,2326,0,
127,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Terre blanche,Etats de l'empereur,12000,livres,"0,02",240,0,
128,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Toile de chanvre blanche 398 lignes,Etats de l'empereur,636,Aunes,2,1272,0,
129,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Bestiaux bœufs,Etats de l'empereur,34,Nombre,100,3400,0,
130,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Bestiaux moutons,Etats de l'empereur,183,Nombre,6,1098,0,
131,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Bestiaux porcs,Etats de l'empereur,992,Nombre,15,14880,0,
132,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Bestiaux vaches,Etats de l'empereur,7,Nombre,50,350,0,
133,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Bois divers,Etats de l'empereur,1,Valeur,1841,1841,0,
134,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Bois divers a bruler,Etats de l'empereur,1,Valeur,8977,8977,0,
135,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Chanvre,Etats de l'empereur,4256,Livres,"0,4",1704,"1,6",40 livres le quintal
136,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Charbon de terre,Etats de l'empereur,14641500,Livres,"0,01",146415,0,20 sous le quintal
137,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Ecorces de chêne,Etats de l'empereur,1,Valeur,600,600,0,
138,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Fer en verges,Etats de l'empereur,118050,Livres,"0,15",17017,"-690,5",150 livres le mille; erreur de calcul
139,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Marchandises en valeur,Etats de l'empereur,1,Valeur,126,126,0,
140,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Monthermé,9,Meules,Etats de l'empereur,27,Nombre,,700,,Pas de prix unitaire
141,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Amandes,Evechés,375,Livres,"0,75",281,"-0,25",
142,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Ardoises,Evechés,14500,Nombre,"0,012",174,0,12 livres le mille
143,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bestiaux divers,Evechés,1,Valeur,528,528,0,
144,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bestiaux bœufs,Evechés,504,Nombre,180,99720,9000,Erreur de calcul
145,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bestiaux bœufs,Etats de l'empereur,2,Nombre,180,360,0,
146,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bestiaux moutons,Evechés,787,Nombre,9,7083,0,
147,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bestiaux moutons,Etats de l'empereur,132,Nombre,9,1188,0,
148,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bestiaux porcs,Evechés,824,Nombre,12,9888,0,
149,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bestiaux porcs,Etats de l'empereur,113,Nombre,12,1356,0,
150,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bestiaux vaches,Evechés,92,Nombre,60,5520,0,
151,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bierre,Evechés,"8,9",Muids,"28,8",257,"0,68",
152,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bois divers,Evechés,1,Valeur,2196,2196,0,
153,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bois marrin,Evechés,44950,Nombre,"0,1",4495,0,100 livres le mille
154,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bois marrin,Etats de l'empereur,8000,Nombre,"0,1",800,0,100 livres le mille
155,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bois planches de chêne,Evechés,10951,Nombre,"0,75",8213,"-0,25",75 livres le quintal
156,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bois planches de sapin,Evechés,7325,Nombre,"0,6",4395,0,60 livres le quintal
157,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Bonnetterie,Evechés,27,Douzaines,12,330,6,Erreur de calcul
158,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Boutons de crin 20 lignes,Evechés,200,Douzaines,"0,6",120,0,
159,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Brosserie,Evechés,665,Nombre,"0,5",332,"-0,5",
160,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Cannes,Evechés,159,Douzaines,3,477,0,
161,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Charbons de bois,Evechés,1,Valeur,1347,1347,0,
162,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Cendres diverses,Evechés,1,Valeur,587,587,0,
163,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Cendres de bois,Evechés,451100,Livres,"0,02",9022,0,20 livres le mille
164,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Cendres potasse,Evechés,31812,Livres,"0,25",7955,2,25 livres le quintal
165,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Chaux,Evechés,1,Valeur,336,336,0,
166,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Crin,Evechés,1272,Livres,"0,75",954,0,
167,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Drapeaux vieux,Evechés,8850,Livres,"0,05",442,"-0,5",5 livres le quintal
168,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Eau de cerise,Evechés,110,Nombre,2,220,0,
169,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Fayence,Evechés,2338,Livres,"0,3",701,"-0,4",
170,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Fer blanc,Evechés,638,Feuilles,,290,,Pas de prix unitaire
171,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Fer blanc en barres,Evechés,33806,Livres,"0,175",2535,"-3381,05",17 livres et 10 sous le quintal; erreur de calcul
172,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Fer blanc en verge,Evechés,14554,Livres,"0,18",2620,"0,28",18 livres le mille
173,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Fer blanc en verge,Etats de l'empereur,33980,Livres,"0,18",6116,"-0,4",18 livres le mille
174,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Fromage,Lorraine,410,Livres,"0,4",164,0,
175,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Graines de jardin,Evechés,475,Livres,"1,5",712,"-0,5",
176,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Habillements,Lorraine,1,Valeur,188,188,0,
177,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Habillements,Evechés,1,Valeur,1012,1012,0,
178,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Horlogerie,Evechés,1,Valeur,285,0,-285,
179,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Huile de graine,Evechés,2682,Livres,"0,5",1341,0,
180,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Instruments de musique,Lorraine,1,Valeur,397,397,0,
181,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Laine non filée,Evechés,5235,Livres,"1,25",6544,"0,25",
182,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Legumes feves,Evechés,6500,Livres,"0,1",650,0,10 livres le quintal
183,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Librairie,Evechés,1282,Livres,2,2564,0,
184,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Lingerie diverse,Evechés,1,Valeur,184,184,0,
185,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Liqueur commune,Evechés,1691,Bouteilles,"1,5",2536,"-0,5",
186,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Marchandises diverses,Lorraine,1,Valeur,195,195,0,
187,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Marchandises diverses,Allemagne et la Pologne,1,Valeur,127,127,0,
188,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Marchandises diverses,Evechés,1,Valeur,1081,1081,0,
189,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Mercerie diverse,Evechés,1,Valeur,295,295,0,
190,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Metail,Evechés,225,Livres,"1,5",337,"-0,5",
191,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Meubles,Evechés,1,Valeur,1593,1593,0,
192,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Ouvrages divers,Lorraine,1,Valeur,125,125,0,
193,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Ouvrages divers,Evechés,1,Valeur,1896,1896,0,
194,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Ouvrages de vanier 9050 lignes,Evechés,1525,Douzaines,"1,5",2287,"-0,5",
195,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Papier blanc,Evechés,11861,Livres,"0,4",5104,"359,6",11861 livres + 360 en valeur
196,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Passementerie,Evechés,37,Livres,4,148,0,
197,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Peaux de veau,Evechés,3,Douzaines,60,180,0,
198,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Pierres à batir,Evechés,58,Tonneaux,8,464,0,
199,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Poterie,Allemagne et la Pologne,1500,Livres,"0,15",225,0,15 livres le quintal
200,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Quincaillerie diverse,Evechés,333,Livres,1,333,0,
201,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Ruban,Evechés,2002,Aunes,"0,15",300,"-0,3",
202,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Sucrerie dragée,Evechés,1786,Livres,"1,5",2679,0,
203,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Suif en chandelle,Evechés,173,Livres,"0,75",130,"0,25",
204,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Tableaux,Evechés,1,Valeur,1000,1000,0,
205,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Tapis,Allemagne et la Pologne,8031,Nombre,"1,5",12046,"-0,5",
206,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Verrerie,Evechés,1,Valeur,1170,1170,0,
207,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Vin d'Arbois,Evechés,290,Bouteilles,2,580,0,
208,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Vin de Champagne,Evechés,16680,Pintes,"0,25",4170,0,
209,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Vin de Bourgogne,Lorraine,2040,Pintes,,1190,,Quantités: 7 muids et 24 pintes; Pas de prix unitaire
210,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Mouzon,11,Vin ordinaire,Evechés,8744,Pintes,,2149,,Quantités: 30 muids et 104 pintes; Pas de prix unitaire
211,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Acier,Allemagne,12696,Livres,"0,45",5713,"-0,2",45 livres le quintal
212,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Armes à feu,Allemagne,2900,Livres,"2,25",6525,0,
213,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bonnetterie de coton bas 1300 lignes,Allemagne,6840,Douzaines,,17820,,570 Douzaines ou 1330 livres; pas de prix unitaire; regarder ligne suivante
214,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bonnetterie de laine bas 40 lignes,Evechés,96,Douzaines,3,288,0,
215,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux divers,Evechés,1,Valeur,682,682,0,
216,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux divers,Etats de l'empereur,2,Nombre,,240,,Pas de prix unitaire
217,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux bœufs,Clermontois,9,Nombre,120,1080,0,
218,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux bœufs,Evechés,214,Nombre,120,25680,0,
219,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux bœufs,Bouillon,154,Nombre,110,16940,0,
220,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux moutons,Bouillon,30,Nombre,10,300,0,
221,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux moutons,Etats de l'empereur,50,Nombre,10,500,0,
222,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux porcs gras,Evechés,121,Nombre,36,4356,0,
223,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux porcs gras,Etats de l'empereur,201,Nombre,36,7236,0,
224,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux porcs gras,Bouillon,668,Nombre,36,24048,0,
225,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux porcs maigres,Bouillon,477,Nombre,,3938,,Pas de prix unitaire
226,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux porcs maigres,Etats de l'empereur,889,Nombre,,5400,,Pas de prix unitaire
227,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux vaches,Evechés,51,Nombre,60,3060,0,
228,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux vaches,Etats de l'empereur,4,Nombre,60,240,0,
229,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux veaux,Bouillon,132,Nombre,9,1188,0,
230,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bestiaux veaux,Etats de l'empereur,197,Nombre,9,1773,0,
231,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bois divers,Bouillon,1,Valeur,236,236,0,
232,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bois divers,Etats de l'empereur,1,Valeur,714,714,0,
233,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bois divers a bruler,Evechés,1,Valeur,1846,1846,0,
234,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bois divers a bruler,Etats de l'empereur,1,Valeur,4987,4987,0,
235,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bois divers a bruler,Bouillon,1,Valeur,6100,6100,0,
236,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bois divers de charpente,Evechés,576,Nombre,"2,25",1296,0,
237,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bois divers de charpente,Etats de l'empereur,1530,Nombre,"2,25",3442,"-0,5",
238,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bois divers planches de chêne,Evechés,3100,Nombre,"0,6",1860,0,
239,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bois divers planches de chêne,Etats de l'empereur,5000,Nombre,"0,6",3000,0,
240,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bois divers planches de chêne,Bouillon,7652,Nombre,"0,6",4591,"-0,2",
241,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Bray poix noire,Evechés,700,Livres,,170,,
242,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Boutons de verre,Alsace,4630,Livres,"0,6",2778,0,
243,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Cendre potasse,Evechés,320,Livres,"0,45",144,0,
244,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Cartes,Evechés,537,Sixaines,"2,6",1396,"-0,2",
245,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Chair salée jambon,Bouillon,1205,Livres,"0,6",723,0,
246,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Charbon de bois,Bouillon,"115,5",Caisses,27,3118,"-0,5",
247,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Charbon de bois,Etats de l'empereur,8,Caisses,27,216,0,
248,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Chanvre apprêté,Clermontois,400,Livres,"0,75",300,0,
249,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Chanvre apprêté,Evechés,820,Livres,"0,75",615,0,
250,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Chocolat,Bouillon,275,Livres,3,825,0,
251,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Sedan,13,Chocolat,Etats de l'empereur,645,Livres,3,1935,0,
