goods_simpl_classification,nbr_occurences_simpl,hamburg_classification,obsolete,nbr_occurences_hamburg
bourses de soie,26,,non,442903
bourses de soie et bourses d'or et bourses d'argent,2,,non,442903
bourses de taffetas,2,,non,442903
bourses du Levant,2,,non,442903
boussoles,5,,non,442903
boutanne,14,,non,442903
boutanne de toile,3,,non,442903
boutargue,1,,non,442903
bouteilles,28,,non,442903
bouteilles clissées,11,,non,442903
bouteilles d'étain à virole,1,,non,442903
bouteilles d'osier,1,,non,442903
bouteilles de bois,11,,non,442903
bouteilles de composition,1,,non,442903
bouteilles de cristal,2,,non,442903
bouteilles de cristal et carafes,1,,non,442903
bouteilles de grès,16,,non,442903
bouteilles de marbre,1,,non,442903
bouteilles de pierre et pots de pierre,1,,non,442903
bouteilles de terre,9,,non,442903
bouteilles de verre,950,,non,442903
bouteilles de verre à virole,1,,non,442903
bouteilles de verre à virole d'étain,3,,non,442903
bouteilles de verre avec roseaux,1,,non,442903
bouteilles de verre clissées,13,,non,442903
bouteilles de verre garnies de joncs,1,,non,442903
bouteilles de verre gros,13,,non,442903
bouteilles de verre vides,6,,non,442903
bouteilles de verres,105,,non,442903
bouteilles lissées de retour,1,,non,442903
bouteilles peintes,1,,non,442903
bouteilles petites à virole d'étain,2,,non,442903
bouteilles pleines,7,,non,442903
bouteilles pleines de verres et vides et dame-jeannes de verre,41,,non,442903
bouteilles vides,7,,non,442903
bouton de cuivre sur bois et de coco et de corne et d'os,2,,non,442903
boutonnières d'or,3,,non,442903
boutonnières de fil,1,,non,442903
boutons,47,,non,442903
boutons à fusil,2,,non,442903
boutons à pierres fausses,5,,non,442903
boutons à pierres fausses par douzaines,1,,non,442903
boutons anglais,1,,non,442903
boutons avec dorure et nacre,1,,non,442903
boutons blanc étamés,1,,non,442903
boutons blanchis,1,,non,442903
boutons bloc,1,,non,442903
boutons brodés d'or et d'argent,2,,non,442903
boutons brodés de nacre de perles et d'acier,1,,non,442903
boutons communs,1,,non,442903
boutons d'acier,3,,non,442903
boutons d'acier argenté,1,,non,442903
boutons d'argent,27,,non,442903
boutons d'argent et boutons d'or,56,,non,442903
boutons d'argent faux,1,,non,442903
boutons d'argent sur bois,7,,non,442903
boutons d'argent trait,1,,non,442903
boutons d'étain,23,,non,442903
boutons d'or,57,,non,442903
boutons d'or en traits,1,,non,442903
boutons d'or et boutons d'argent,29,,non,442903
boutons d'or et boutons d'argent faux,1,,non,442903
boutons d'or et d'argent sur bois,1,,non,442903
boutons d'or faux,2,,non,442903
boutons d'or filé,2,,non,442903
boutons d'or vrai,2,,non,442903
boutons d'os,5,,non,442903
boutons d'os et de corne,1,,non,442903
boutons d'uniforme,1,,non,442903
boutons de bois,3,,non,442903
boutons de coco,51,,non,442903
boutons de composition,3,,non,442903
boutons de corne,4,,non,442903
boutons de coton,1,,non,442903
boutons de crin,99,,non,442903
boutons de crin 20 lignes,1,,non,442903
boutons de crin et boutons de poil,1,,non,442903
boutons de crin et boutons de poil et boutons de soie,2,,non,442903
boutons de cristal,1,,non,442903
boutons de cuivre,29,,non,442903
boutons de cuivre argenté et doré,1,,non,442903
boutons de cuivre d'or,1,,non,442903
boutons de cuivre doré,12,,non,442903
boutons de cuivre et boutons d'étain,1,,non,442903
boutons de cuivre et boutons d'étain argenté,1,,non,442903
boutons de cuivre et boutons d'étain argentés,0,,oui,442903
boutons de cuivre et étain,1,,non,442903
boutons de cuivre fin,2,,non,442903
boutons de cuivre sur bois,1,,non,442903
boutons de dorure d'argent,18,,non,442903
boutons de dorure d'or,59,,non,442903
boutons de dorure d'or et d'argent,68,,non,442903
boutons de dorure d'or faux,4,,non,442903
boutons de dorure d'or fin,13,,non,442903
boutons de dorure et de naacre,0,,oui,442903
boutons de fil,75,,non,442903
boutons de fil blanc,15,,non,442903
boutons de fil d'argent,20,,non,442903
boutons de fil d'or,68,,non,442903
boutons de fil d'or et boutons de fil d'argent,74,,non,442903
boutons de fil d'or trait,2,,non,442903
boutons de fil de poil de chèvre,1,,non,442903
boutons de fil et d'argent,1,,non,442903
"boutons de fil, boutons de soie et boutons d'or",1,,non,442903
boutons de forget,1,,non,442903
boutons de gay,2,,non,442903
boutons de jais,14,,non,442903
boutons de jais et collier de jais et dentelle de jais,2,,non,442903
boutons de laiton,4,,non,442903
boutons de livrée,1,,non,442903
boutons de manches,5,,non,442903
boutons de métal,6,,non,442903
boutons de métal doré,1,,non,442903
boutons de nacre,5,,non,442903
boutons de nacre de perle et boutons de jais,1,,non,442903
boutons de nacre de perles,1,,non,442903
boutons de pinsbeck,4,,non,442903
boutons de poil,34,,non,442903
boutons de poil de chèvre,9,,non,442903
boutons de poil de soie,5,,non,442903
boutons de soie,19,,non,442903
boutons de soie en once,1,,non,442903
boutons de tombac,1,,non,442903
boutons de tombac doré,1,,non,442903
boutons de trait d'argent et d'or fin,2,,non,442903
boutons de trait d'or et d'argent fin,0,,oui,442903
boutons de verre,4,,non,442903
boutons de verre émaillés,1,,non,442903
boutons en médailles,1,,non,442903
boutons et galon d'or,2,,non,442903
boutons et galon d'or et d'argent,1,,non,442903
boutons et galons d'argent et d'or,1,,non,442903
boutons masquinés,1,,non,442903
boutons or trait,3,,non,442903
bouts de chêne,1,,non,442903
bouts de corne,3,,non,442903
bouts de planche,1,,non,442903
bouts de planches et planches de sapin,1,,non,442903
boutty,1,,non,442903
bouvillons,3,,non,442903
bouvillons et génisses,4,,non,442903
bouvillons et génisses et taurillons,2,,non,442903
boyaux,5,,non,442903
boyaux de bœuf,1,,non,442903
boyaux de bœuf salés,2,,non,442903
boyaux de mouton,3,,non,442903
boyaux de mouton salés,3,,non,442903
boyaux et nerfs,2,,non,442903
boyaux préparés et secs,2,,non,442903
boyaux salés,80,,non,442903
bozemin,1,,non,442903
braccles,0,,oui,442903
bracelets,1,,non,442903
bracelets de crin,2,,non,442903
bracelles,5,,non,442903
brai,272,,non,442903
brai ???,1,,non,442903
brai ??? brai,1,,non,442903
brai ??? goudron,2,Goudron ; de Suède,non,2422
brai ??? goudron résines,1,Goudron ; de Suède,non,2422
brai ??? pox noire,1,,non,442903
brai à brasser,1,,non,442903
brai arcanson,1,,non,442903
brai bras,0,,oui,442903
brai colophane et sec et résine d'huile,0,,oui,442903
brai colophane et sec et résines d'huile,2,,non,442903
brai de goudron,9,Goudron ; de Suède,non,2422
brai de poix,2,,non,442903
brai de poix blanche et noire,2,,non,442903
brai de poix noire,1,,non,442903
brai de poix résine,0,,oui,442903
brai de poix résines,3,,non,442903
brai eau de raze,5,,non,442903
brai et eau de rose,1,,non,442903
brai et goudron,512,Goudron ; de Suède,non,2422
brai et goudron et eau de raze,1,Goudron ; de Suède,non,2422
brai et goudron et galipot et résines,23,Goudron ; de Suède,non,2422
brai et goudron et poix,1,Goudron ; de Suède,non,2422
brai et goudron et poix et résines,99,Goudron ; de Suède,non,2422
brai et goudron et résines,542,Goudron ; de Suède,non,2422
brai et goudron et térébenthine,7,Goudron ; de Suède,non,2422
brai et poix,1,,non,442903
brai et poix blanche,2,,non,442903
brai et poix blanche et poix noire,1,,non,442903
brai et poix noire,1,,non,442903
brai et poix résine,0,,oui,442903
brai et poix résines,1,,non,442903
brai et résine,0,,oui,442903
brai et résines,21,,non,442903
brai et térébenthine,2,,non,442903
brai galipot,1,,non,442903
brai goudron ???,3,Goudron ; de Suède,non,2422
brai gras,661,,non,442903
brai gras et goudron,24,Goudron ; de Suède,non,2422
brai gras et sec,1,,non,442903
brai gras goudron,5,,non,442903
brai gras ou goudron,3,,non,442903
brai gros,12,,non,442903
brai gros et goudron,2,Goudron ; de Suède,non,2422
brai poix de Bourgogne,1,,non,442903
brai poix noire,1,,non,442903
brai raffiné,2,,non,442903
brai raze,2,,non,442903
brai sec,656,,non,442903
brai sec colophane résine d'huile,0,,oui,442903
brai sec colophane résines d'huile,5,,non,442903
brai sec en galipot,3,,non,442903
brai sec et résines,9,,non,442903
brai sec résine d'huile,0,,oui,442903
brai sec résines d'huile,2,,non,442903
brancards,3,,non,442903
brancards de balance de fer,1,,non,442903
brancards de chaises,1,,non,442903
brancards de fer,7,,non,442903
brancards et leurs escales,2,,non,442903
branches de buis,1,,non,442903
brandade,1,,non,442903
brandans,15,,non,442903
brandebourg,1,,non,442903
brandebourg d'or,2,,non,442903
brandebourg de fil,1,,non,442903
brandebourg de soie,1,,non,442903
brandiers,1,,non,442903
brandins,4,,non,442903
branle,2,,non,442903
bras de bois à chandelle,1,,non,442903
bras de cheminée,4,,non,442903
bras de soie,1,,non,442903
braserie,1,,non,442903
brasserie,1,,non,442903
braule,92,,non,442903
braux,1,,non,442903
brebis,24,,non,442903
brebis en vie,1,,non,442903
brebis et moutons,14,,non,442903
brebis et moutons mérinos et métis,7,,non,442903
Brésil,1,,non,442903
bresillet,1,,non,442903
brian,1,,non,442903
brides,3,,non,442903
brides argentées,1,,non,442903
bridons,1,,non,442903
bridons de cuir,1,,non,442903
brigadis,1,,non,442903
Brignoles,5,,non,442903
brins à tours,1,,non,442903
brins d'osier,1,,non,442903
brionne,1,,non,442903
brique,59,,non,442903
brique et carreaux et tuiles,7,,non,442903
brique et chaux et ciment et pierres et plâtre et pouzzolane et sable et terre et tuiles,10,,non,442903
brique et tuile et carreau de terre,21,,non,442903
brique et tuile et carreau et pipe,27,,non,442903
briques,347,,non,442903
briques cuites,1,,non,442903
briques de terre,2,,non,442903
briques en carreaux de terre,1,,non,442903
briques en carreaux de terre et tuiles,2,,non,442903
briques en tuiles plates,8,,non,442903
briques et briquettes,1,,non,442903
briques pleines,1,,non,442903
briquet,49,,non,442903
briquet d'acier,2,,non,442903
briquettes,3,,non,442903
bris d'espars,4,,non,442903
brises,1,,non,442903
brocante,1,,non,442903
brocard de soie,1,,non,442903
brocatelle,1,,non,442903
brocatelle de Venise,1,,non,442903
brochets,20,,non,442903
broderie,10,,non,442903
broderie commune,0,,oui,442903
bronze,24,,non,442903
bronze airain,2,,non,442903
bronze et cuivre et laiton,34,,non,442903
bronze moulu et métal,1,,non,442903
broole,3,,non,442903
brosses,260,,non,442903
brosses à cirer,1,,non,442903
brosses à goudron,14,,non,442903
brosses à peindre,1,,non,442903
brosses à sucre,1,,non,442903
brosses communes,1,,non,442903
brosses et pinceaux,1,,non,442903
brosses et vergettes,1,,non,442903
brosses ou poutries,1,,non,442903
brossière,1,,non,442903
brou de noix,2,,non,442903
brouettes,20,,non,442903
brouettes et leurs roues,1,,non,442903
brouettes garnies de damas,1,,non,442903
brouettes outillées,1,,non,442903
broulas,1,,non,442903
broule,2,,non,442903
brousse fraîche,5,,non,442903
brousse salée,1,,non,442903
broutes chaderdoral,1,,non,442903
brugnoles,3,,non,442903
bruimes d'espars,2,,non,442903
brûle-café de fer,1,,non,442903
brulis,1,,non,442903
brun,2,,non,442903
brun rouge,465,,non,442903
brusta visserand,0,,oui,442903
brustes à tisserand,19,,non,442903
brustes ou bruyère,1,,non,442903
brut,1,,non,442903
bruyère,5,,non,442903
bruyère à vergettes,1,,non,442903
bruyère et racines à vergettes,6,,non,442903
bruyère étrangère non montée,1,,non,442903
bruyère étrangère non mpntée,0,,oui,442903
bûches de bois rouge de 8 pieds,1,,non,442903
buege de fer,1,,non,442903
bufferie,1,,non,442903
buffets,3,,non,442903
buffets d'acajou,4,,non,442903
buffles,9,,non,442903
buffles de chamois,5,,non,442903
buffletin,1,,non,442903
bugnette,1,,non,442903
bugues d'argent,0,,oui,442903
bulbes et oignons,7,,non,442903
buldan,1,,non,442903
burail,17,,non,442903
burail de laine,3,,non,442903
burail de laine et étamine de laine,8,,non,442903
burat,54,,non,442903
burat d'Auvergne,3,,non,442903
burat de laine,1,,non,442903
burat de laine et de soie,1,,non,442903
bure,9,,non,442903
bure étoffe,1,,non,442903
bureau,40,,non,442903
bureau d'acajou,6,,non,442903
bureau de bois des Indes,1,,non,442903
bureau de chêne,1,,non,442903
bureau de marqueterie,1,,non,442903
bureau de noyer,4,,non,442903
bureau de sapin,9,,non,442903
bureau garni de cuivre doré,1,,non,442903
bureau verni,4,,non,442903
bures de sanglier,1,,non,442903
burmards et leurs poids,1,,non,442903
burre,0,,oui,442903
buses pour raffiner le sucre,1,,non,442903
busquière d'argent,1,,non,442903
busquière d'or et busquière d'argent,1,,non,442903
bustes de marbre,3,,non,442903
buvie,1,,non,442903
buzes,1,,non,442903
cabans de palme,2,,non,442903
cabans ou capotes,6,,non,442903
cabans pour café,1,,non,442903
cabarets,20,,non,442903
cabarets à café,0,,oui,442903
cabarets de bois vernis,3,,non,442903
cabarets de sapin,2,,non,442903
cabarets de sapin et de chêne,2,,non,442903
cabarets de sapin peints,1,,non,442903
cabarets des Indes,2,,non,442903
cabarets des Indes vernis,3,,non,442903
cabarets façon de la Chine,2,,non,442903
cabarets garnis,2,,non,442903
cabarets peints,2,,non,442903
cabarets pour café,9,,non,442903
cabarets pour thé,1,,non,442903
cabarets vernis,71,,non,442903
cabas,14,,non,442903
cabas d'auf,2,,non,442903
cabas d'espars,1,,non,442903
cabas de jonc,10,,non,442903
cabas de laine,1,,non,442903
cabas de palme,21,,non,442903
cabas de palme petits,2,,non,442903
cabestan,2,,non,442903
cabillaud,254,,non,442903
cabine de noyer,2,,non,442903
cabine de sapin,3,,non,442903
cabine peinte,3,,non,442903
cabinet,5,,non,442903
cabinet de bois de Faial,1,,non,442903
cabinet de bois peint,1,,non,442903
cabinet de bois vernis,1,,non,442903
cabinet de noyer,1,,non,442903
cabinet de sapin,3,,non,442903
cabinet du Japon,1,,non,442903
cabinet peint,5,,non,442903
cabinet verni,2,,non,442903
câble,23,,non,442903
câble assorti,1,,non,442903
câble de 12 pouces de grosseur,1,,non,442903
câble de chanvre,1,,non,442903
câble de navire,4,,non,442903
câble de navire moyen,1,,non,442903
câble neuf,2,,non,442903
câble vieux,2,,non,442903
câbleaux,1,,non,442903
caboches,51,,non,442903
caboches de fer,3,,non,442903
caboches de fer et clous,17,,non,442903
caboches de marbre,1,,non,442903
cabochon,1,,non,442903
cabosse,3,,non,442903
cabriolets,35,,non,442903
cabriolets de velours de Prusse,1,,non,442903
cabrions,1,,non,442903
cabrouets,5,,non,442903
cabrouets complets,1,,non,442903
cacao,2110,Cacao,non,2295
cacao avarié,1,Cacao,non,2295
cacao broyé,21,Cacao,non,2295
cacao brut,10,Cacao,non,2295
cacao brut des entrepôts,1,Cacao,non,2295
cacao de Caracas,66,Cacao,non,2295
cacao de Guyaquil,1,Cacao,non,2295
cacao des Îles,28,Cacao,non,2295
cacao du Maranhão,16,Cacao,non,2295
cacao en graine,12,Cacao,non,2295
cacao en pâte,1,,non,442903
cacao et café et sucre,12,Cacao,non,2295
cacao et chocolat,8,Cacao,non,2295
cacao étranger,4,Cacao,non,2295
cache,1,,non,442903
cachets d'argent,1,,non,442903
cachets de cuivre,1,,non,442903
cachets dorés,2,,non,442903
cachou,42,,non,442903
cachou brut,5,,non,442903
cachou maron,0,,oui,442903
cachou marron,1,,non,442903
cadeas,0,,oui,442903
cadeau,1,,non,442903
cadeligue de laine,1,,non,442903
cadenas,61,,non,442903
cadenas de fer,9,,non,442903
cadenas petits,2,,non,442903
cadis,101,,non,442903
cadis de coton ratiné,1,,non,442903
cadis de Givaudan,1,,non,442903
cadis de Montauban,1,,non,442903
cadis rouge,1,,non,442903
cadisson,1,,non,442903
cadot,2,,non,442903
cadrans d'horloge,1,,non,442903
cadrans de montres,1,,non,442903
cadres,1,,non,442903
cadres de bois,7,,non,442903
cadres de bois doré,1,,non,442903
cadres de miroirs,1,,non,442903
cadres dorés,8,,non,442903
cadres dorés et tableaux,1,,non,442903
cadres neufs,1,,non,442903
cadres petits avec leurs verres,1,,non,442903
cadres pour carder,1,,non,442903
cadres pour tableaux,1,,non,442903
cafas,1,,non,442903
café,1682,Café,non,3896
café avarié,4,Café,non,3896
café commun,14,Café,non,3896
café commun du Levant,2,Café,non,3896
café d'Amérique,55,Café,non,3896
café de Bourbon,219,Café,non,3896
café de la Dominique,1,Café,non,3896
café de la Martinique,20,Café,non,3896
café de Moka,235,Café,non,3896
café de Moka avarié,2,,non,442903
café des entrepôts,1,Café,non,3896
café des Indes,1510,Café,non,3896
café du Levant,106,Café,non,3896
café en parchemin,19,Café,non,3896
café entré par Bordeaux et Le Havre,1,Café,non,3896
café et cacao,10,Café,non,3896
café et provisions,1,Café,non,3896
café et sucre et thé,10,Café,non,3896
café ordinaire,1,Café,non,3896
café pour Genève,1,Café,non,3896
café pur,2,Café,non,3896
café trié,2,Café,non,3896
cafetière de cuivre,0,,oui,442903
cafetière de fer-blanc,0,,oui,442903
cafetières,50,,non,442903
cafetières d'étain,1,,non,442903
cafetières de cuivre,25,,non,442903
cafetières de cuivre rouge,1,,non,442903
cafetières de fer-blanc,3,,non,442903
cafetières de métal,11,,non,442903
cafetières du Levant,1,,non,442903
cafetières en or,1,,non,442903
cafetou de fer,1,,non,442903
caffart,8,,non,442903
caffart blanc,1,,non,442903
caffart carpette et ligatures,4,,non,442903
caffart de damas,6,,non,442903
caffart de laine,1,,non,442903
caffatines,2,,non,442903
cages,3,,non,442903
cages d'oiseaux,0,,oui,442903
cages de poules,0,,oui,442903
cages pour oiseaux,9,,non,442903
cages pour perroquets,2,,non,442903
cages pour poules,1,,non,442903
cahouannes,10,,non,442903
cailles,4,,non,442903
cailloux,1,,non,442903
cailloux à faïence ou porcelaine,2,,non,442903
cailloux et sable à faïence ou porcelaine,2,,non,442903
caisse,3,,non,442903
caisse à carafons,1,,non,442903
caisse à finance,2,,non,442903
caisse de berline et train,1,,non,442903
caisse de carrosses,1,,non,442903
caisse de liège,1,,non,442903
caisse de sapin,9,,non,442903
caisse et têtes de carton,1,,non,442903
caisse vide,2,,non,442903
caissettes pour balz,1,,non,442903
cal d'artichaut,1,,non,442903
caladaris,67,,non,442903
caladaris des Indes,3,,non,442903
calames,1,,non,442903
calamine,24,,non,442903
calamine grillée,1,,non,442903
calamine grillée pulvérisée ou non et zinc,4,,non,442903
calamine pierres calaminaires et zinc,2,,non,442903
calamus,9,,non,442903
calamus aromaticus,5,,non,442903
calandrine,1,,non,442903
calaurure,1,,non,442903
calbas,4,,non,442903
calebasses vides,1,,non,442903
calèches,2,,non,442903
caleçons,2,,non,442903
calenderis,1,,non,442903
caliatour moulu,0,,oui,442903
calice d'argent,1,,non,442903
calicot,1,,non,442903
calicot et toile de coton blancs et écrus,1,,non,442903
calicot et toile de coton imprimés et teints,1,,non,442903
calicots et percale de coton blanc,1,,non,442903
callemande,384,,non,442903
callemande aune,1,,non,442903
callemande d'Amiens,4,,non,442903
callemande de laine,45,,non,442903
callemande de laine noire,1,,non,442903
callemande de Lille,2,,non,442903
callemande de poil,130,,non,442903
callemande des prises,1,,non,442903
callemande étroite de laine,1,,non,442903
callemande noire,1,,non,442903
callemande ordinaire,1,,non,442903
callemande pièces de 30 aunes,1,,non,442903
calmotte,1,,non,442903
calotte,1,,non,442903
calotte de papier,1,,non,442903
calotte de peau divine,1,,non,442903
calotte de prêtre,2,,non,442903
calotte et sacs de papier,1,,non,442903
calotte hollandaise,1,,non,442903
calpo baljainum,1,,non,442903
cambaye,3,,non,442903
cambaye à grands carreaux,1,,non,442903
cambouis,1,,non,442903
Cambrai,0,,oui,442903
camelot,229,,non,442903
camelot à mi-soie,6,,non,442903
camelot à peu de soie,15,,non,442903
camelot au quart,3,,non,442903
camelot au sixième de soie,3,,non,442903
camelot au-dessous du sixième de soie,1,,non,442903
camelot aune,1,,non,442903
camelot avec soie,4,,non,442903
camelot burail,6,,non,442903
camelot d'Amiens,24,,non,442903
camelot d'Angleterre,1,,non,442903
camelot d'Angleterre et de Hollande,12,,non,442903
camelot d'angora,1,,non,442903
camelot d'Auvergne,12,,non,442903
camelot de Bruxelles,4,,non,442903
camelot de burail,1,,non,442903
camelot de Chine,2,,non,442903
camelot de coton,1,,non,442903
camelot de Douai,2,,non,442903
camelot de France,3,,non,442903
camelot de Hollande,5,,non,442903
camelot de laine,243,,non,442903
camelot de laine écru,1,,non,442903
camelot de laine et de poil,2,,non,442903
camelot de laine et de soie,28,,non,442903
camelot de laine et soie,2,,non,442903
camelot de laine étroit,6,,non,442903
camelot de laine faille,4,,non,442903
camelot de laine large,8,,non,442903
camelot de laine petit dit de Berlin,1,,non,442903
camelot de Lille,12,,non,442903
camelot de Lille de soie,1,,non,442903
camelot de Lille et autres,8,,non,442903
camelot de poil,185,,non,442903
camelot de poil de chèvre,2,,non,442903
camelot de poil de laine,12,,non,442903
camelot de poil et de soie,11,,non,442903
camelot de poil fin,1,,non,442903
camelot de Smyrne,2,,non,442903
camelot de soie,42,,non,442903
camelot de terrine,1,,non,442903
camelot des Indes,4,,non,442903
camelot écarlate,11,,non,442903
camelot et burail de laine,2,,non,442903
camelot et étamine,1,,non,442903
camelot et panne de laine,1,,non,442903
camelot fil et soie,1,,non,442903
camelot fin,2,,non,442903
camelot gaufré,1,,non,442903
camelot jaspé,1,,non,442903
camelot petit dit Berlin,1,,non,442903
camelot rayé,1,,non,442903
cameramain,1,,non,442903
camion à garnir voiture,1,,non,442903
camisoles,12,,non,442903
camisoles de laine,3,,non,442903
camisoles de toile,1,,non,442903
camisoles et casaques,2,,non,442903
camisoles et redingotes,7,,non,442903
camisoles pour nègre,1,,non,442903
camomille,1,,non,442903
Campêche,1,,non,442903
camphre,292,,non,442903
camphre brut,21,,non,442903
camphre brut et raffiné,2,,non,442903
camphre raffiné,44,,non,442903
canades,1,,non,442903
canapé,10,,non,442903
canapé de canne,1,,non,442903
canapé de cuir de Russie,1,,non,442903
canapé de maroquin et tables à jouer,1,,non,442903
canapé de taffetas,1,,non,442903
canardières,1,,non,442903
canards,13,,non,442903
canards en vie,1,,non,442903
canaris,1,,non,442903
canaris ou serins,1,,non,442903
canaux,1,,non,442903
candetas,1,,non,442903
cane,1,,non,442903
cane garnie,2,,non,442903
caneffas,1,,non,442903
canefice,578,,non,442903
canefice des prises,1,,non,442903
canefice en café,1,,non,442903
canefice raffiné,1,,non,442903
caneficier,1,,non,442903
canelle (étoffe),1,,non,442903
canena,1,,non,442903
canepre,1,,non,442903
canerelles,1,,non,442903
canetilles d'or faux,0,,oui,442903
canettes des Indes,1,,non,442903
canevas,74,,non,442903
canevas à 15 sols l'aune,1,,non,442903
canevas de fil,2,,non,442903
canevas gommée,3,,non,442903
canevas tracé,7,,non,442903
canevettes,43,,non,442903
canevettes à flacons,1,,non,442903
canevettes de grès,15,,non,442903
canevettes de grès de 6 flacons,1,,non,442903
canevettes ou caisse de 6 flacons pour la traite,2,,non,442903
canevettes ou caisse de 6 flcons pour la traite,0,,oui,442903
canevettes vides,2,,non,442903
canifs,2,,non,442903
caniques,1,,non,442903
canne à main,0,,oui,442903
cannelle,1330,,non,442903
cannelle commune,18,,non,442903
cannelle commune des entrepôts,1,,non,442903
cannelle commune et cassia,1,,non,442903
cannelle commune hors d'Europe,1,,non,442903
cannelle de bois,4,,non,442903
cannelle de bois pour tamis,1,,non,442903
cannelle de Chine,1,,non,442903
cannelle de fleurs,1,,non,442903
cannelle de grès,1,,non,442903
cannelle des Indes,2,,non,442903
cannelle et girofle et poivre,1,Poivre ; blanc-noir,non,2269
cannelle et girofle et poivre etc,1,Poivre ; blanc-noir,non,2269
cannelle et poivre,1,Poivre ; blanc-noir,non,2269
cannelle fine,9,,non,442903
cannelle fine des entrepôts,1,,non,442903
cannelle giroflée,11,,non,442903
cannelle malte,4,,non,442903
cannelle ocyrez,1,,non,442903
cannelle ordinaire,3,,non,442903
cannelle sauvage,6,,non,442903
cannelles de cuivre pour tonneaux,1,,non,442903
cannes,27,,non,442903
cannes à faire chaise,1,,non,442903
cannes à main,95,,non,442903
cannes à pêcher,1,,non,442903
cannes à pommes d'argent,1,,non,442903
cannes à pommes d'or,12,,non,442903
cannes à pommes d'or ayant servi,1,,non,442903
cannes de bambous,4,,non,442903
cannes de bois,3,,non,442903
cannes de bois montées et non montées,1,,non,442903
cannes de bois vernis,1,,non,442903
cannes de jonc,12,,non,442903
cannes de jonc ou roseau,1,,non,442903
cannes de roseau,8,,non,442903
cannes de terre,2,,non,442903
cannes dites genettes,1,,non,442903
cannes en brochettes,1,,non,442903
cannes en canon,1,,non,442903
cannes et bâtons vernis,1,,non,442903
cannes garnies,1,,non,442903
cannes vernies,2,,non,442903
cannetilles,2,,non,442903
cannetilles d'argent et d'or,1,,non,442903
cannetilles d'or faux,1,,non,442903
cannette de grès et de terre,1,,non,442903
cannettes,13,,non,442903
cannettes à faïence,1,,non,442903
cannettes d'étain,16,,non,442903
cannettes de ???,1,,non,442903
cannettes de faïence,3,,non,442903
cannettes de grès,173,,non,442903
cannettes de grès couvertes d'étain,2,,non,442903
cannettes de marbre,1,,non,442903
cannettes de sapin,1,,non,442903
cannettes de terre,37,,non,442903
cannettes et leurs flacons,1,,non,442903
cannettes ocyrez,1,,non,442903
cannettes ou marbre,1,,non,442903
cannettes ou marbre pour la Compagnie des Indes,1,,non,442903
cannettes ou marbre pour le Compagnie des Indes,0,,oui,442903
canonnières de cantil,2,,non,442903
canons,20,,non,442903
canons de 12 livres,1,,non,442903
canons de 18 livres,1,,non,442903
canons de 2 livres,1,,non,442903
canons de 3 livres,2,,non,442903
canons de 4 livres,5,,non,442903
canons de 6 pieds,1,,non,442903
canons de bronze,2,,non,442903
canons de bronze d'une demi livre,1,,non,442903
canons de différents calibres,1,,non,442903
canons de fer,304,,non,442903
canons de fer avec leurs affûts,2,,non,442903
canons de fer brisés et rompus,1,,non,442903
canons de fer de 12 livres,3,,non,442903
canons de fer de 18 à 24 livres,2,,non,442903
canons de fer de 18 et 30 livres,1,,non,442903
canons de fer de 18 livres,1,,non,442903
canons de fer de 2 livres,3,,non,442903
canons de fer de 3 à 4 livres,1,,non,442903
canons de fer de 3 livres,3,,non,442903
canons de fer de 3 livres de balle,0,,oui,442903
canons de fer de 4 livres,13,,non,442903
canons de fer de 6 livres,6,,non,442903
canons de fer de 8 livres,2,,non,442903
canons de fer de 9 livres,1,,non,442903
canons de fer et balles de fer,1,,non,442903
canons de fer petits,2,,non,442903
canons de fer vieux,3,,non,442903
canons de feu de 4 livres,1,,non,442903
canons de filoselle,2,,non,442903
canons de fonte,18,,non,442903
canons de fonte petit,1,,non,442903
canons de fusils,28,,non,442903
canons de fusils vieux,2,,non,442903
canons de métal,1,,non,442903
canons de métal de 12 livres,0,,oui,442903
canons de vieux mousquets,1,,non,442903
canons et affûts,1,,non,442903
canot neuf,1,,non,442903
canouane,0,,oui,442903
cantharides,354,,non,442903
cantharides et cloportes,2,,non,442903
cantharides ou mouches d'Espagne,1,,non,442903
cantines,1,,non,442903
cantines de cuir,1,,non,442903
canules,1,,non,442903
canyolore,3,,non,442903
caoutchouc,3,,non,442903
capalme,1,,non,442903
caparaçons,6,,non,442903
caparaçons de peau,1,,non,442903
capeabas,1,,non,442903
caperies,1,,non,442903
capes,8,,non,442903
capes cabas,1,,non,442903
capes de camelot,3,,non,442903
capes du Béarn,1,,non,442903
capies,3,,non,442903
capillaire,28,,non,442903
capillaire du Canada,1,,non,442903
capillaire en herbes,137,,non,442903
capillaire verte,1,,non,442903
capiton,10,,non,442903
capiton de soie,1,,non,442903
capons,1,,non,442903
capot,3,,non,442903
capot et casaques,2,,non,442903
capotes,13,,non,442903
capotes de drap,1,,non,442903
capotes de drap gros,1,,non,442903
capotes de marrègue,1,,non,442903
capotes et chemises casaques,1,,non,442903
capots,138,,non,442903
capots (draps),1,,non,442903
capots à nègre,1,,non,442903
capots de laine,1,,non,442903
câpres,902,,non,442903
câpres au vinaigre,4,,non,442903
câpres communes,3,,non,442903
câpres communes confits,1,,non,442903
câpres confits,3,,non,442903
câpres confits au vinaigre,1,,non,442903
câpres cornichons et olives,10,,non,442903
