marchandises_simplification,classification_hamburg_large,obsolete
chapeaux de feutre,,non
chapeaux de feutre communs,,non
chapeaux de feutre unis,,non
chapeaux de laine,,non
chapeaux de laine à nègre,,non
chapeaux de laine commun,,non
chapeaux de laine communs,,non
chapeaux de laine des prises,,non
chapeaux de laine et chapeaux de poil,,non
chapeaux de laine et de poil,,non
chapeaux de loutre,,non
chapeaux de mi castor,,non
chapeaux de paille,,non
chapeaux de paille communs,,non
chapeaux de paille dits garde-soleils,,non
chapeaux de paille et sparterie,,non
chapeaux de poil,,non
chapeaux de poil bordés d'argent et d'or,,non
chapeaux de poil de laine,,non
chapeaux de poil estain,,non
chapeaux de poil et de laine,,non
chapeaux de satin,,non
chapeaux de soie,,non
chapeaux de taffetas,,non
chapeaux de velours,,non
chapeaux de vigogne,,non
chapeaux demi,,non
chapeaux fin,,non
chapeaux fins des prises,,non
chapeaux garnis,,non
chapeaux grossiers,,non
chapeaux Maine,,non
chapeaux neuf,,non
chapeaux non brodés de castor,,non
chapeaux ordinaires,,non
chapeaux perse,,non
chapeaux poil laine,,non
chapeaux sorti,,non
chapeaux unis,,non
chapeaux unis et demi forme,,non
chapeaux vieux,,non
chapelet,,non
chapelet commun,,non
chapelet de coco,,non
chapelet de verre,,non
chapelets de bois,,non
chapelets de Jérusalem,,non
chaplas,,non
chapons,,non
chapons gras,,non
charbon,,non
charbon à cuir chaux de terre,,oui
charbon d'Angleterre de terre,,non
charbon de bois,,non
charbon de bois et de terre,,non
charbon de boulanger,,non
charbon de boulanger et bresette,,oui
charbon de pierre,,non
charbon de terre,,non
charbon houille,,non
chardon à drapier,,non
chardon cardier,,non
chardons,,non
chardons de drapier,,non
charge en fer-blanc,Fer,non
chariot,,non
chariot à feu,,non
chariot neuf,,non
charlotonne,,non
charonie,,non
charonin,,non
charpente démontée,,non
charpie,,non
charrette,,non
charrue,,non
chaselade,,non
chaselas des Indes,,non
chasse mouche,,non
chasselas,,non
chasuble,,non
châtaigne et marron frais,,non
châtaignes,,non
châtaignes biscotes,,non
châtaignes blanches,,non
châtaignes confites,,non
châtaignes et marrons,,non
châtaignes et marrons et noix,,non
châtaignes et noix,,non
châtaignes fraîches,,non
châtaignes fraîches et marrons frais,,non
châtaignes sèche,,non
châtaignes sèches,,non
chatons,,non
chaud de cuivre,,non
chaudière à brai,,non
chaudière à guildives,,non
chaudière à nègre,,non
chaudière à sucre,,non
chaudière de cuivre,,non
chaudière de cuivre à sucre,,non
chaudière de cuivre rouge et foudre de cuivre rouge,,non
chaudière de fer,Fer,non
chaudière de fer de fonte,Fer,non
chaudière de fer et marmites de fer,Fer,non
chaudière de fonte,,non
chaudière de marmites de potin,,non
chaudière de potin,,non
chaudière et cuve,,oui
chaudière et marmites et étuve de fonte,,non
chaudières de fer coulé,Fer,non
chaudières de fer coulé et marmites de fer coulé,Fer,non
chaudières de fer de fonte,Fer,non
chaudières et marmites de ???,,non
chaudons de cuivre,,non
chaudron,,non
chaudron de cuivre,,non
chaudron de cuivre et bassin de cuivre,,non
chaudron de cuivre et neptune de cuivre,,non
chaudron de cuivre jaune,,non
chaudron de cuivre rouge,,non
chaudron de fer,Fer,non
chaudron de potin,,non
chaudron en cuivre,,non
chaudron en laiton,,oui
chauffe-pieds,,non
chaufferettes de bois,Fer,non
chausse-pieds,,non
chausseterie,,non
chaussette,,non
chaussette de fil,,non
chaussettes de fil par paires,,non
chaussettes de toile,,non
chausson de carisee et drap à laver maison,,non
chausson de fil,,non
chausson de laine,,non
chaussure,,oui
chaux,,non
chaux à bâtir,,non
chaux de calcaire,,oui
chaux et cendre,,non
chaux et cendre de chaux mellé,,non
chaux et pierres et plâtre,,non
chaux et plâtre et ciment,,non
chaux éteinte,,non
chaux fondu,,non
chaux vive,,non
chazetas,,non
chelöes,,non
cheminée de marbre,,non
cheminée de pierre de lierre,,non
cheminée statue,,oui
chemises,,non
chemises à fumer,,non
chemises à nègre,,non
chemises bleue,,non
chemises bretonne,,non
chemises commune,,non
chemises communes,,non
chemises communes non garnies,,non
chemises communes unies,,non
chemises d'homme,,non
chemises de batiste,,non
chemises de coton,,non
chemises de fil de coton,,non
chemises de gingas,,non
chemises de grosse toile à nègre,,non
chemises de guingan,,non
chemises de laine,,oui
chemises de Laval,,non
chemises de lin,,non
chemises de lin garnies,,non
chemises de nègre,,non
chemises de siamoise,,non
chemises de toile,,non
chemises de toile bleue,,non
chemises de toile commune,,non
chemises de toile de Bretagne,,non
chemises de toile de Bretagne garnies,,non
chemises de toile de Bretagne rayée,,non
chemises de toile de coton,,non
chemises de toile de lin,,non
chemises de toile de lin garnies,,non
chemises de toile de Morlaix,,non
chemises de toile de Saint-Jean,,non
chemises écossaise,,oui
chemises fine,,non
chemises garnie de Batiste,,non
chemises garnie pour femme,,non
chemises garnie pour homme,,non
chemises garnies,,non
chemises garnies de mousselines,,non
chemises garnies de paille,,non
chemises grosses de toile à nègre,,non
chemises moins communes,,non
chemises neutre,,non
chemises neuve,,non
chemises non garnies,,non
chemises ouvrée blanche,,non
chemises pour homme,,non
chemises pour soldat,,non
chemises unie,,non
chemises unies,,non
chemises vieilles,,non
chemisettes,,non
chenille,,non
chenille au quart,,non
chenille de chêne,,non
chenille de flavret,,non
chenille de soie,,non
chévaque,,non
chevaux,,non
chevaux à bas prix,,non
chevaux à haut prix,,non
chevaux à moyen prix,,non
chevaux anglais,,non
chevaux arabes de somme,,non
chevaux d'1 an,,non
chevaux d'Espagne,,non
chevaux de 3 ans,,non
chevaux de Barbarie,,non
chevaux de bois,,non
chevaux de labour,,non
chevaux de selle,,non
chevaux de somme,,non
chevaux de somme et mules et mulets,,non
chevaux entiers,,oui
chevaux et ânes,,non
chevaux et mulets,,non
chevaux petits,,non
chevaux pour enfant,,non
cheveux,,non
cheveux à perruques,,non
cheveux bouclés,,oui
cheveux communs,,non
cheville,,non
cheville de bois,,non
cheville de chêne,,non
cheville de fer,Fer,non
cheville pour bateaux,,oui
chevillières de fil,,non
chevreaux,,non
chevreaux à moyen prix,,non
chèvres,,non
chèvres et boucs,,non
chevreuil,,non
chevreuil en chamois et peaux de cerf,,non
chevrons,,non
chevrons d'acajou,,non
chevrons de 10 pieds,,non
chevrons de 12 pieds,,non
chevrons de 16 pieds,,non
chevrons de 18 pieds,,non
chevrons de 25 pieds,,non
chevrons de 26 pieds,,non
chevrons de 45 à 50 pieds,,non
chevrons de 5 pieds en acajou,,non
chevrons de 6 pieds en acajou,,non
chevrons de 8 pieds,,non
chevrons de 8 pieds en acajou,,non
chevrons de bois,,non
chevrons de cèdre,,non
chevrons de chêne,,non
chevrons de chêne de 5 à 6 pieds,,non
chevrons de merisier,,non
chevrons de sapin,,non
chevrons de sapin 12 pieds,,non
chevrons de sapin 24 pieds,,non
chevrons de sapin de 10 pieds,,non
chevrons de sapin de 14 à 15 pieds,,non
chevrons de sapin de 14 pieds,,non
chevrons de sapin de 15 à 20 pieds,,non
chevrons de sapin de 15 pieds,,non
chevrons de sapin de 18 pieds,,non
chevrons de sapin de 22 pieds,,non
chevrons de sapin de 24 pieds,,non
chevrons de sapin de 3 à 4 pieds,,non
chevrons de sapin de 7 à 8 pieds,,non
chevrons de sapin de 7 pieds,,non
chialar,,non
chicas,,non
chicorée,,oui
chicorée moulue,,non
chicotin,,non
chien,,non
chiens courants de chasse,,non
chiffon,,non
chilas,,non
chima calin,,non
chine,,non
chinois,,non
chiques,,non
chirederis,,non
chise de fourneau,,non
chitspamabage,,non
chitte,,non
chitte anglaise,,non
chitte étoffe,,non
chivelle,,non
chocolat,,non
chocolat en patte,,non
choises garnies,,non
choix de bœuf salée,,non
chomettes de terre,,non
chouclas,,non
chouclas des Indes,,non
chourales,,non
choux,,non
choux à planter,,non
choux cabus,,non
choux confit,,non
choux marinés,,non
choux salés,,non
choux-fleurs,,non
choux-fleurs et cabus et artichauts,,non
christ d'ivoire,,non
christ d'ivoire monté de velours,,non
chuquelas,,non
cidre,,non
cidre jaune,,non
cierge,,non
cierge de cire blanche,,non
cierge et flambeau,,non
cierges de cire blanche,,non
cierges de cire et bougie de cire,,non
cikous,,non
cime,,non
ciment,,non
ciment et chaux et pierres et plâtre,,non
ciment ou tiras,,non
cin de ville,,non
cinabre,,non
cinabre broyé,,non
cinabre de pierres,,non
cinabre en roche,,non
cinabre et vermillon,,non
cinabre fin,,non
ciradille,,non
cirage pour chaussure,,non
circaras,,non
circks,,non
cire,,non
cire à cacheteer,,non
cire à cacheter,,non
cire blanche,,non
cire blanche et jaune,,non
cire blanche et jaune fondue et en bougie,,oui
cire blanche et jaune non ouvrée,,non
cire blanche non ouvrée,,non
cire blanche ouvré,,non
cire brute jaune,,non
cire d'Espagne,,non
cire d'Espagne à cacheter,,non
cire de bougie,,non
cire diverse,,non
cire en crasse,,non
cire en pain,,non
cire et chandelle de cire,,non
cire grasse,,non
cire jaune,,non
cire jaune du levant,,non
cire jaune en bougie et chandelle,,non
cire jaune en cierge et flambeau,,non
cire jaune en pain,,non
cire verte,,non
cire vierge,,non
cirsaka,,non
cirsaka de coton et de soie,,non
ciseaux,,non
ciseaux à élaguer,,non
citron et orange,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citron et orange frais,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citron frais,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citron vert,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citrons,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citrons aigres,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citrons confits,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citrons en conserve,"Fruits ; divers ; amandes, pelures, raisins, prunes",oui
citrons et limons,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citrons et orange,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citrons et oranges frais,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citrons frais,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citrons frais et orange fraîche et amande sèches et figues sèches et raisin sec,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citrons frais et oranges fraîches,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
citrons salés,"Fruits ; divers ; amandes, pelures, raisins, prunes",oui
civadille,,non
civette,,non
clafou de bois,,non
clafou de bois ou merrains de bois,,non
clairons,,non
clairons etc.,,non
claphout,,non
claphout en blocq,,non
clappes ou douves à baril,,non
clappes ou douves à baril de sapin,,non
clarifiant,,non
clavecin,,non
clavecin et épinettes et orgues,,non
clavecin vieux,,non
clayes à parquer,,non
clefs à uin,,non
clefs de fer,Fer,non
clinquant d'or faux,,non
cloche,,non
cloches de bronze,,non
cloches de cuivre,,non
cloches de fer de fonte,Fer,non
cloches de fonte,,non
cloches de métal,,non
cloches de verre,,non
cloches de verres,,non
cloches vieilles,,non
clochette de cuivre,,non
clochettes,,non
clochettes de cuivre,,non
clochettes de fonte,,non
cloportes,,non
clou et acier,,non
clous,,non
clous de caboche,,non
clous de cuivre,,non
clous de cuivre doré,,non
clous de cuivre jaune,,non
clous de fer,Fer,non
clous de fer à charrettes,Fer,non
clous de fer gonds,Fer,non
clous de fer neufs,Fer,non
clous de fer vieux,Fer,non
clous de girofle,,non
clous de laiton,,non
clous dorés,,non
clous vieux,,non
cloutiers,,non
cmelot au-dessous du sixième de soie,,non
coas de soie,,non
cocalum,,non
cocax,,non
cochelis,,non
cochenille,Cochenille,non
cochenille Campêchane,Cochenille,non
cochenille campêche,Cochenille,non
cochenille et indigo,Indigo,non
cochenille fine,Cochenille,non
cochenille mesteque,Cochenille,non
cochenille mustack,Cochenille,non
cochenille sylvestre,Cochenille,non
cochon,,non
cochon confit,,non
cochon de lait,,non
cochon salé,,non
cochon salé et petit salé,,non
cochons,,non
cochons petits,,non
coclearia,,non
coco,,non
cocons,,non
cocons à soie de vers,,non
cocons de soie,,non
cocos,,non
cocos du Levant,,non
cocos petits,,non
cocos verts,,non
coctif,,non
cocullus,,non
coddes blancs,,non
coëtif,,non
cœurs de bœuf,,non
coffre de bois,,non
coffres,,non
coffres à étuve,,non
coffres à garniture de peau,,non
coffres à vin,,non
coffres de chirurgie,,non
coffres de commodité,,non
coffres de fer,Fer,non
coffres de fer et berses,Fer,non
coffres de noyer,,non
coffres de sapin,,non
coffres de thé,,non
coffres de voyage,,oui
coffres et cercueil de cyprès,,oui
coffres fort de fer,Fer,non
coffres forts,,non
coffres peints,,non
coffres vides,,non
coffres vieux,,non
cognac,,non
coiffe à perruque,,non
coiffes,,non
coiffes blonde,,non
coiffes de chapeaux,,non
coiffes de dentelle de soie,,non
coiffes de gaze,,non
coiffes de tambou,,non
coiffures,,non
coiffures à dentelles,,non
coiffures blonde,,non
coiffures blonde et de gaze,,non
coiffures blonde et palatine,,non
coiffures de gaze,,non
coiffures de Marly,,non
coiffures et palatines,,non
coiffures pour chapeaux et coiffes de perruques,,non
coiffures pour femme,,non
coins,,oui
coïtif,,non
colins,,non
colins noirs et lieux noirs,,oui
colle,,non
colle à papetier,,non
colle à papier,,non
colle à poisson,,non
colle commune,,non
colle de Flandre,,non
colle de poisson,,non
colle faible,,non
colle forte,,non
colle forte de Flandres,,non
colle forte de poisson,,non
collets toile de lin,,non
colliers d'ambre,,non
colliers de chevaux,,non
colliers de grenat,,non
colliers de grenat faux,,non
colliers de jais,,non
colliers de nacre de perles,,non
colliers de perles,,non
colliers de perles fausses,,non
colliers de verre,,non
colombine,,non
colonne,,non
colonne de noyer,,non
colophane ou Spingler,,non
coloquinte,,non
colorant ?,,oui
colorant bleu,,oui
colorant et vert-de-gris,Vert-de-gris,non
colorant rouge,,oui
colorant rouge et marron,,oui
cols,,non
comestibles,,non
comestibles saindoux,,non
commode,,non
commode avec dessus de marbre,,non
commode d'acajou,,non
commode de bois,,non
commode de bois violet,,non
commode de marqueterie,,non
commode de noyer,,non
commode de sapin,,non
commode ornée,,non
commodes,,non
commodes de bois,,non
communes,,non
compas,,non
compas de cuivre,,non
compas de mer,,non
compas de route,,non
compas et cartes de nommantes,,non
compas et horloge de sable,,non
comperose,,non
composées,,non
composite,,non
composition de chimie,,non
composition de verre,,non
compotiers de terre,,non
concombre,,oui
concombre et cornichons,,non
concombre et cornichons en adobe,,non
condonne de fil,,non
conducteur,,non
cône de pain de sucre,,oui
confection,,non
confection d'alkermès,,non
confection d'hyacinthe,,non
confiserie,,oui
confitures,,non
confitures à l'eau-de-vie,,non
confitures de cerise,,non
confitures de sèches,,non
confitures des Indes,,non
confitures et fruit confit au sucre,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
confitures et fruits confits au sucre,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
confitures et succade,,non
confitures liquides,,non
congres,,non
connoissement,,non
conserve d'alkermès,,non
conserve de fleure d'orange,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
conserve de rose,,non
conterie,,non
conton filé,,non
contrahierba,,non
contre-bordé,,non
contrefoyer de fer,Fer,non
conty,,non
copeau pour fourreau d'épée,,non
copeaux de bois,,oui
coqs,,non
coqs d'Inde,,non
coque du Levant,,non
coquenard de cuivre,,non
coquillage,,non
coquillage de mer,,non
coquille écaille de tortue et nacre de perle,,non
coquilles de mer,,non
coquilles de nacre,,non
corail,,non
corail blanc,,non
corail brun,,non
corail brut,,non
corail brut et non monté et taillé,,non
corail brut et taillé,,non
corail de jardin,,non
corail en filières,,non
corail et non monté et taillé,,non
corail faux,,non
corail fin,,non
corail gros,,non
corail rouge,,non
corail terraille,,non
coraline,,non
corbeilles,,non
corbeilles d'osier,,non
corbeilles d'osier petites,,non
corbeilles garnies,,non
cordage,,non
cordage ???,,non
cordage à boyaux,,non
cordage blanc,,non
cordage d'auf,,non
cordage d'emballage,,non
cordage d'espar,,non
cordage de Caret,,non
cordage de chanvre,,non
cordage de chanvre neuf,,non
cordage de jonc,,non
cordage de Satangres,,non
cordage de thil,,non
cordage de tilleul,,non
cordage de vieux,,non
cordage dit filin,,non
cordage en morceaux,,non
cordage et corde,,non
cordage et ficelle,,non
cordage goudronné,,non
cordage herbe,,non
cordage neuf,,non
cordage noir,,non
cordage vieux,,non
cordagnes,,non
cordeillat,,non
cordeillat d'Oléron,,non
cordeillat de laine,,non
cordeillat de Provence,,non
cordelats,,non
cordellerie,,non
cordes,,non
cordes à arçons,,non
cordes à boyaux,,non
cordes à boyaux et à violons,,non
cordes à carder,,non
cordes à carder le coton,,non
cordes à corder,,non
cordes à fouets,,non
cordes à instruments,,non
cordes à roseaux,,non
cordes à violons,,non
cordes à violons ???,,non
cordes d'auf,,non
cordes d'or,,non
cordes de chanvre,,non
cordes de fibre,,oui
cordes de fil de fer,,non
cordes de guitare,,non
cordes de jonc,,non
cordes de thil,,non
cordes de tilleul,,non
cordes de violons,,non
cordes et cable et ficelles,,non
cordes et écorce de tilleul,,non
cordes et ficelles,,non
cordes ficelle,,non
cordes neuves,,non
cordes pour instruments,,non
cordes pour navire,,oui
cordes vieilles,,non
cordial,,non
cordillaterie,,non
cordon de fil,,non
cordonnerie de cuir,,non
cordonnerie et sellerie de cuir,,non
cordonnerie et sellerie de cuivre,,non
cordonnet,,non
cordonnet de fil,,non
cordonnet de poil,,non
cordons,,non
cordons d'argent,,non
cordons d'argent et d'or,,non
cordons d'or,,non
cordons d'or et d'argent,,non
cordons d'or et de soie,,non
cordons de fil,,non
cordons de fil de lin,,non
cordons de filoselle,,non
cordons de fleuret,,non
cordons de montres,,non
cordons de montres avec or,,non
cordons de soie,,non
cordons de soie d'argent,,non
cordons de soie d'argent et d'or et de soie,,non
cordons de soie d'argent et d'or et de soie par once,,non
cordons dorure d'argent,,non
cordons dorure d'argent et d'or,,non
cordons dorure d'or,,non
cordouans,,non
cordouans en bazans,,non
coriandre,,non
coriandre et noix,,non
coriandre et riz,Riz,non
corinthes,,non
cornalines,,non
cornalines fines,,non
corne fine,,non
cornes,,non
cornes à faire peigner,,non
cornes à lanternes,,non
cornes à peignes,,non
cornes brutes,,non
cornes de bétail,,non
cornes de bœuf,,non
cornes de bœuf et de vache,,non
cornes de bœuf et de vache crues,,non
cornes de bouc et de chèvre,,non
cornes de boucs,,non
cornes de cerf,,non
cornes de cerf dupié,,non
cornes de cerf en morceaux,,non
cornes de cerf et de snack,,non
cornes de cerf et de snack en morceaux,,non
cornes de cerf et de snack en râpure,,non
cornes de cerf râpure,,non
cornes de lanterne,,non
cornes de mouton,,non
cornes de plate,,non
cornes de vache,,non
cornes de verre,,non
cornes plates,,non
cornes plates ou feuilles de cornes,,non
cornet de soie,,non
cornichons,,non
cornichons confits,,non
cornichons confits au vinaigre,,non
coroas,,non
corode,,non
coroos,,non
coroot,,non
coroots,,non
coros,,non
corots,,non
corou,,non
corps d'arbre,,non
corps d'arbre bruts,,non
corps d'arbre de 20 à 30 pieds,,non
corps d'arbre de 30 à 40 pieds,,non
corps d'arbre de 40 à 50 pieds,,non
corps d'arbre de 50 à 60 pieds,,non
corps d'arbre en dessous de 20 pieds,,non
corps d'arbre réduits en pieds de gittes,,non
corps de jupe,,non
corps piqué,,non
corrdons de fil,,non
cors de chasse,,non
cors de chasse et trompettes,,non
corsane,,non
corsets,,non
corsets de demitte,,non
corsets de toile,,non
corty,,non
corvos,,non
costus,,non
costus doux,,non
costus verus,,non
cotenis,,non
côtes de baleine,,non
cotillon de toile piquée,,non
cotinus,,oui
coton,Coton,non
coton ???,Coton,non
coton à broder,Coton,non
coton bleu,Coton,non
coton cardé,Coton,non
coton de laine,Coton,non
coton de laine de retour,Coton,non
coton de laine des Indes,Coton,non
coton de laine du Brésil,Coton,non
coton de laine du Levant,Coton,non
coton de Malte,Coton,non
coton de rames,Coton,non
coton des Indes,Coton,non
coton en balles et toile,Coton,non
coton en laine,Coton,non
coton en ouatte,Coton,non
coton et calicot,Coton,oui
coton et sits et mousseline,Coton,non
coton filé,Coton,non
coton filé blanc,Coton,non
coton filé bleu,Coton,non
coton filé commun,Coton,non
coton filé de Boza,Coton,non
coton filé de laine,Coton,non
coton filé de retour,Coton,non
coton filé des Indes,Coton,non
coton filé du Levant,Coton,non
coton filé en laine,Coton,non
coton filé en laine des Indes,Coton,non
coton filé en laine étranger,Coton,non
coton filé et non filé,Coton,non
coton filé étranger,Coton,non
coton filé fin,Coton,non
coton filé fin d'once,Coton,non
coton filé rouge,Coton,non
coton filé teint,Coton,non
coton par Dunkerque,Coton,non
coton rouge,Coton,non
coton soufré,Coton,non
coton teint,Coton,non
cotonelle de coton,,non
cotonettes,,non
cotonille,,non
cotonnade,,non
cotonnades,,non
cotonnades à peu de soie,,non
cotonnades châles,,non
cotonné de coton,,non
cotonnée,,non
cotonnette,,non
cotonnine,,non
couchette,,non
couchette garnie,,non
coüetis,,non
couettes,,oui
couettes pour bancs,,oui
couffes,,non
couffes à boulanger,,non
couffins,,non
couffins d'auf,,non
couffins d'espars,,non
couffins d'osier,,non
couffins de jonc,,non
couffins de palme,,non
couffins petits,,non
coulements de terre,,non
coules de fer,Fer,non
couleurs,,non
couleurs à peindre,,non
couleurs composées,,non
couleurs et huile,,non
couleurs et teinture fabriquées,,non
couleurs et teinture préparées,,non
couperon,,non
couperon verte,,non
couperose,,non
couperose blanche,,non
couperose et vermillon,,non
couperose verte,,non
coupes,,non
coupier,,non
coupil,,non
coupis,,non
coupis des Indes,,non
couplets de cuivre,,non
coups,,non
courbe de chêne,,non
courbes,,non
courbes de bois,,non
courbes de mauvais bois,,non
courbes de sapin de 4 à 5 pieds,,non
courroies,,non
courroies de bœuf jeux,,non
courroies de fusils,,non
courroies pour bœuf,,non
courtepointe,,non
courtepointe d'indienne,,non
courtepointe de coton,,non
courtepointe de coton d'Angleterre,,non
coussin à faire dentelle,,non
coussin d'espars,,non
coussin de palme,,non
coussin de serge,,non
coussin de velours,,oui
cousus,,non
couteaux,,non
couteaux à couper paille et pour tanneur,,non
couteaux à fendre,,oui
couteaux à gaine,,non
couteaux à hacher la paille,,non
couteaux à indigo,,non
couteaux à manches de bois,,non
couteaux à manches de faïence,,non
couteaux à manches de gaiac,,non
couteaux à manches de porcelaine,,non
couteaux à nègre,,non
couteaux à tanneur,,non
couteaux à virole d'argent,,non
couteaux communs,,non
couteaux de chasse,,non
couteaux de chasse et épée et sabres,,non
couteaux de gaïac,,non
couteaux de gazat,,non
couteaux de tables,,non
couteaux de traite,,non
couteaux en gaine,,non
couteaux flamands,,non
couteaux garni en argent,,non
coutelas,,non
coutellerie,,non
coutellerie commune,,non
coutellerie de bois,,non
coutellerie de traite,,non
coutil,,non
coutil à lit,,non
coutil à meubles,,non
coutil de fil,,non
coutil de Hollande,,non
coutres,,oui
couvercles de fer,Fer,non
couvercles de fer de marmites,Fer,non
couvertes de laine,,non
couverts d'argent,,oui
couverture de coton,,non
couvertures,,non
couvertures à nègre,,non
couvertures communes,,non
couvertures communes de laine,,non
couvertures d'Elbeuf,,non
couvertures d'étoupe,,non
couvertures d'etouppe de laine,,non
couvertures d'indienne,,non
couvertures de bazal,,non
couvertures de Béarn,,non
couvertures de bourre,,non
couvertures de bourre de soie,,non
couvertures de capiton,,non
couvertures de castalogne,,non
couvertures de coton,,non
couvertures de coton de lit,,non
couvertures de coton et de fil,,non
couvertures de crin,,non
couvertures de filoselle,,non
couvertures de fleur,,non
couvertures de fleuret,,non
couvertures de laine,,non
couvertures de laine à nègre,,non
couvertures de laine commune,,non
couvertures de laine de Montpellier,,non
couvertures de laine et de coton,,non
couvertures de laine fine,,non
couvertures de Languedoc,,non
couvertures de lisière,,non
couvertures de lit,,oui
couvertures de lit de fil et coton,,non
couvertures de locque,,non
couvertures de loquette,,non
couvertures de Montpellier,,non
couvertures de mulets,,non
couvertures de ploc,,non
couvertures de Rouen,,non
couvertures de soie,,non
couvertures dites pagnes,,non
couvertures du Béarn,,non
couvertures et tapis et tapisserie de laine,,non
couvertures et tapisseries de laine,,non
couvertures filet et coton,,non
couvertures grandes de laine,,non
couvertures grosses de laine,,non
couvertures peintes,,non
couvertures petites de laine,,non
couvertures pour chevaux,,non
couvertures pour nuque,,non
covertures de laine,,non
crabes et geernaerts,,non
crabes et limaçons,,non
craie,,non
craie blanche,,non
craie et blanc d'Espagne et ocre jaune et rouge,,non
craie et ocre et brun et rouge,,non
craie noire,,non
craie pour écrire,,oui
craie rouge,,non
crampons,,oui
crampons de fer,Fer,oui
crapaudines,,non
crapaudines de cuivre,,non
crapaudines de fer,Fer,non
crapaudines de fonte,,non
crapaudines de fonte de fer,Fer,non
craquelin (Bretzel),,oui
crasse d'alquifoux,,non
crasse d'amidon,,non
crasse d'huile,,non
crasse d'huile d'olive,Huile ; d'olive ; blanc ; de Gènes,non
crasse de beurre,,non
crasse de cire,,non
crasse de fer,Fer,non
crasse de plomb,Plomb,non
crasse de soufre,,non
crasse de suif,Suif ; pour faire du savon,non
crasse de tan,,non
cravates,,non
cravates de coton et mouchoirs de coton,,non
cravates de soie noire,,non
crayon et graphite et mine de plomb,Plomb,oui
crayons,,non
crayons d'Allemagne,,non
crayons de pastel,,non
crayons et craie,,non
crayons fin de pastel,,non
crayons fin de pastel et laque et lack-lack des Indes,,non
crayons noirs,,non
crème,,non
crème à tartre,Tartre,non
crème de tartre,Tartre,non
crêpe,,non
crêpe de laine,,non
crêpe de laine aune,,non
crêpe de Reims,,non
crêpe de soie,,non
crêpe et crépon,,non
crêpe et étoffe et gaze et passementerie et ruban,,non
crêpe et étoffe et passementerie et ruban,,non
crêpe et gaze et mouchoirs,,non
crêpe et gaze et tulle,,non
crêpe et gaze et tulle de soie,,non
crêpe noir,,non
crêpe pour chapeaux,,non
crépon,,non
crépon de laine,,non
cresse,,non
creusets,,non
creusets d'orfèvre,,non
creusets de fer,Fer,oui
creusets de grès,,non
creusets de mine de plomb,,non
creusets de terre,,non
creusets de terre cuite,,non
creusets et figure de pierre,,non
creusets ouvrés,,non
cribles,,non
cribles à blé,,non
cribles de bois,,non
cribles de fil de laiton,,non
cribles de laiton à café,,non
cribles et bluteaux de moulins,,non
crics,,non
crics de fer,Fer,non
crin,,non
crin à pécher,,non
crin apprêté,,non
crin aprêté et frisé,,non
crin brut,,non
crin brut de cheval,,non
crin de cheval,,non
crin de cheval griporé,,non
crin filé,,non
crin frisé,,non
crin plan,,non
crin plat,,non
crin pour habit d'homme,,non
crin tanné,,non
crinières,,non
crise,,non
cristal,,non
cristal brut,,non
cristal cru,,non
cristal d'office,,non
cristal de roche,,non
cristal de roche brut,,non
cristal de tartot,,non
cristal de tartre,Tartre,non
cristal fondu,,non
cristal minéral,,non
cristal taillé,,non
cristalin,,non
croc de fer à morue,Fer,non
crochets de bois,,non
crochets de fer,Fer,non
crockfish,,non
crocus,,non
croisé noir,,non
croix à pierres fausses,,non
croix d'argent,,non
croix d'argent pour église,,non
croix d'ivoire,,non
croix de cuivre,,non
croix de cuivre argenté,,non
croix de grès,,non
crons et débris de maison,,non
cruches,,oui
cruches de Cologne,,non
cruches de fer,Fer,non
cruches de grès,,non
cruches de terre,,non
crucifix,,non
crucifix de bronze,,non
crussets,,non
crustas,,non
cubeber,,non
cuillère de bois,,non
cuillères,,oui
cuillères à sucre,,non
cuillères de bois pour pots,,non
cuillères de buis,,non
cuillères de fer,Fer,non
cuillères de laiton,,non
cuillères et fourchettes de cuivre argenté,,non
cuilles de bois,,non
cuir de bœufs en poil,,non
cuir de chevreau,,non
cuir doré,,non
cuir et tabac,,oui
cuirasses,,non
cuireaux à faire colle de mouton,,non
cuirs,,non
cuirs ??? en poil,,non
cuirs à semelle,,oui
cuirs appretés,,non
cuirs apprétés,,non
cuirs apprêtés,,non
cuirs apprêtés de bœuf en poil,,non
cuirs apprêtés de vache,,non
cuirs avariés tannés,,non
cuirs blancs,,non
cuirs bruts,,non
cuirs bruts tannés,,non
