marchandises_simplification,eden_classification
peaux de chèvre,
peaux de daim,
peaux de lièvre et lapin,
peaux de mouton,
peaux de mouton blanc,
peaux de mouton en laine,
peaux de mouton passées,
peaux de mouton tannée,
peaux de veau,
peaux de veau marin,
peaux de veaux,
peaux en basannes,
peaux en poil de veau,
peaux et pelleterie,
peaux mégissées,
peaux passées de veau,
peaux tannées de veau,
peignes de buis,
peintures,
peitures,
pelleterie,
pelleterie apprêtée,
pelleterie apprêtée fine,
pelleterie commune,
pelleterie de castor,
pelleterie et peaux,
pelleterie fine,
perles,
perles fausses,
perles fines,
piano,
piastres,
pierres,
pierres cornalienne,
pierres d'émeri,
pierres en carreau à mouler,
pierres ponces,
pierres à aiguiser,
pierres à bâtir,
pierres à faux,
pierres à fusils,
pierres à meules,
pierres à paver,
pignons,
piment,
piment et poivre,
pipes de terre cuite,
pipes à fumer,
planches de chêne,
planches de cuivre,
planches de liège,
planches de plomb,
planches de sapin,
plaques de cornes,
plaques de cuivre,
platines de cuivre,
ploc,
plomb,
plomb brut,
plomb de chasse,
plomb divers,
plomb en bloc,
plomb en feuilles,
plomb en grenaille,
plomb en masse,
plomb en rouleau,
plomb en saumon,
plomb laminé,
plomb thé,
plumes,
plumes apprêtée d'autruche,
plumes brute à écrire,
plumes d'autruche,
plumes de coq,
plumes de lin,
plumes en ???,
plumes teinte,
plumes à lit,
plumes à écrire,
plâtre,
pléd,
poil de bœuf,
poil de bœuf c'est de la laine,
poil de bœuf et de vache,
poil de castor,
poil de chèvre,
poil de chèvre et de lapin et de lièvre,
poil de chèvre simple,
poil de laine,
poil de sanglier,
poires et pommes fraîches,
pois et fève et haricot,
poisson,
poisson de mer frais,
poisson de mer salé et mariné,
poisson de mer salé et mariné ??? blanc,
poisson de mer salé morue,
poisson de mer salé ou mariné,
poisson de mer saumon,
poisson de mersalé sardine,
poisson en hareng,
poisson en huître,
poisson frais,
poisson frais de mer,
poisson salé,
poivre,
poivre brun,
poivre commun,
poivre en grabeau,
poivre en grains,
poivre ordinaire,
poivre piment,
poix,
pommade,
pommes,
pommes de terre,
porcelets et porcs,
porcs,
porcs gras,
porcs salés,
porcs salés et chair salée,
potasse gravelée et vedasse,
potin,
potin gris,
poudre,
poudre à poudrer,
poudre à tirer,
poules d'étain,
poutre,
poêles de fer à frire,
poêles à frire en fer battu,
provisions,
provisions de bouche,
provisions diverses principalement en beurre,
pruneaux,
prunes,
prunes communes sèches,
prunes sèches,
pumes,
pâte,
pâte macaroni,
pétrification,
quinquina,
racines d' ???,
racines d'alizari,
racines de ???,
rais à charrues,
raisin,
raisin de Corinthe,
raisin sec,
raisins frais,
rasoirs communs,
ratine,
rets,
rhubarbe,
rhum,
rocou,
rognons de peau,
romals des Indes,
rouge de Venise,
rouge minéral,
ruban,
ruban d'argent et d'or,
ruban d'étoupes de chanvre,
ruban d'étoupes de lin,
ruban de coutil,
ruban de crin,
ruban de lin,
rubannerie commune,
régule d'antimoine,
résines,
réunies,
sabres de traite,
sacs,
sacs vieux,
safran,
safranum,
salpêtre,
salsepareille,
sardines,
sassafras,
saumon,
saumon d'Ecosse,
saumon mariné,
saumon marinées et salées,
saumon salé,
saumure salée,
savon,
sel,
sel Saturne,
sel chimique,
sel d'Epsom,
sel d'ammoniac,
sel de Glauber,
sel de Saturne,
sel de roche,
sel ordinaire,
sellet et télescope,
serrures de cuivre,
shetas des Indes,
sirop,
sirop de capillaire,
sirop de mélasse,
slatille des Indes,
soliveaux,
soliveaux de chêne,
soucade,
soudes,
soudure,
soufflets,
soufre,
soufre en canons,
soufre en fleurs,
souliers,
stockfish,
storax,
sucre,
sucre blanc,
sucre blanc et sucre terré,
sucre brut,
sucre candi,
sucre candi et sucre en pain par Bayonne Bordeaux Le Havre et Dunkerque,
sucre de réglisse,
sucre en pain,
sucre en pain raffiné,
sucre raffiné,
sucre terré,
sucre terré et sucre têtes,
sucrerie,
sucrerie dragées,
suif,
suif en pain,
suif en poil,
suif fondu,
suif soude,
sumac,
séné,
tabac,
tabac de la Ferme,
tabac en côtes,
tabac fabriqué,
tabac par Dunkerque et en feuilles,
tabac râpé,
tabatières,
tabatières de carton,
tableaux,
tafia,
tamarin,
tamis,
tamis de fil de laiton,
tapis,
tapis divers,
tapisserie,
tapisserie d'Aubusson,
tapisserie de moquette,
tapisserie des Gobelins,
tapsel des Indes,
tartre,
tartre blanc,
tartre térébenthine,
taureaux et vaches,
terraille,
terraille commune,
terre,
terre d'orfèvre,
terre à potier,
terre à sucre,
terrerie,
thon mariné,
thé,
thé de l'Inde,
thé des Indes,
toile,
toile ...,
toile ???,
toile Rajutapau,
toile blanche,
toile brantes et des Indes,
toile cachelas et des Indes,
toile cirée,
toile colette,
toile commune,
toile coutil,
toile coutil de fil,
toile d'Irlande,
toile d'emballage,
toile d'étoupes,
toile d'étoupes et de lin,
toile damassée,
toile de Bretagne,
toile de Bretagne et de halle,
toile de Bretagne étroite,
toile de Hollande,
toile de Levant,
toile de Morlaix,
toile de Russie,
toile de Saint-Quentin,
toile de Valenciennes,
toile de basin,
toile de crin,
toile de fil commune,
toile de siamoise,
toile des Indes,
toile des Indes ???,
toile des Indes Perse du commerce étranger,
toile en ???,
toile en sacs,
toile fine,
toile grise,
toile grosse,
toile grosse en faces,
toile grosse et sommiers,
toile hivre,
toile idem de halle,
toile indienne,
toile indienne et peinte,
toile judieau,
toile peinte,
toile ramoise,
toile rayée,
toile salemporis,
toile serpillière,
toile à sacs,
toile à voile,
toile étrangère,
tournesol,
tranche de bois,
tresses de lin,
tripes marinées et salées,
truffes,
trémail,
tuile de terre cuite,
térébenthine,
térébenthine en pâte,
têtes de morue des Indes,
tôle de fer,
ufs,
vaches,
vaches et veaux,
vaisselle,
vaisselle d'argent,
vaisselle plate,
van à vanner,
vannerie,
vaude,
veaux,
verdes,
verdet,
verges d'étain,
vermicelle,
vermillon,
vert-de-gris,
viande de boucherie,
vin d'Espagne,
vin de Chypre,
vin de Madère,
vin de Malaga,
vin de Porto,
vin de liqueur étranger,
voile,
voitures,
voitures avec hamais,
voitures étrangères,
volailles,
zedonire,
écaille ou caret,
écorce de cacao,
épicerie,
épicerie poivre en grabeau,
épines à planter,
étain,
étain brut,
étain en bloc,
étain en lingots,
étain en saumon,
étamine,
étoffe,
étoffe de poil,
étoffe dorure d'argent et d'or,
étoffe dorure d'or,
étoffe manchettes,
étoffe riche en or et argent,
étoffe étrangère de jude,
étoupes,
éventails,
éventails communs,
éventails d'ivoire,
œufs,
œufs de perdrix rouge,
,
graine de Luzer et de trèfle,
graine de trèfle et luzerne,
