"origin","nbr_occurence","origin_norm_ortho","nbr_occurence_norm_ortho","origin_province","nbr_occurence_province","remarks_origin"
"Saint Esprit",1,"Saint-Esprit",22,"Inconnu",206,"Exports d'eaux-de-vie de Langres"
"Saint Etienne",3,"Saint-Etienne",72,"Lyonnais",1685,
"Saint Féréol",2,"Saint-Ferréol",2,"Inconnu",206,
"Saint Pierre et Miquelon",6,"Saint-Pierre-et-Miquelon",6,"Amérique",232,
"Saint Réal",1,"Saint-Réal",1,"Saint-Réal",1,"Famille de Savoie ?"
"Saint-Cast",1,"Saint-Cast",3,"Bretagne",1798,
"Saint-Mexant",1,"Saint-Mexant",1,"Poitou",134,
"Saint-Quentin Picardie",7,"Saint-Quentin Picardie",7,"Picardie",900,
"Saintonge",93,"Saintonge",96,"Saintonge",147,
"Sainturge",1,"Saintonge",96,"Saintonge",147,
"Salon",1,"Salon",1,"Provence",2016,
"Sanlis",2,"Senlis",7,"Île-de-France",1897,"Senlis?"
"Sardaigne",4,"Sardaigne",4,"Italie",80,
"Saumur",19,"Saumur",19,"Anjou",316,
"Sedan",63,"Sedan",68,"Champagne",965,
"Sédan",5,"Sedan",68,"Champagne",965,
"Senlis",5,"Senlis",7,"Île-de-France",1897,
"Sevres",1,"Sèvres",548619,"Île-de-France",548619,
"Sèvres",2,"Sèvres",2,"Île-de-France",1897,
"Sicile",5,"Sicile",5,"Italie",80,
"Silésie",3,"Silésie",3,"Nord",238,
"St Cast",2,"Saint-Cast",3,"Bretagne",1798,
"St Chaumont",3,"Saint-Chamond",3,"Lyonnais",1685,"Saint Chamont? Oui, car exportations de soie"
"St Clément",1,"Saint-Clément",1,"Lorraine",60,"Lequel?"
"St Domingue",16,"Saint-Domingue",19,"Amérique",232,
"St Esprit",21,"Saint-Esprit",22,"Guyenne",2017,
"St Esprit les Bayonne",6,"Saint-Esprit les Bayonne",6,"Guyenne",2017,
"St Etienne",69,"Saint-Etienne",72,"Lyonnais",1685,
"St George",2,"Saint-George",2,"Normandie",1703,"Lequel? Exportations de toiles de Chanvre du Havre. Normandie ?"
"St Hilaire",2,"Saint-Hilaire",2,"Inconnu",206,"Lequel?"
"St Hypolite",2,"Saint-Hippolyte",2,"Languedoc",1541,"Bas de soie exporté de marseille -- donc Saint-Hippolyte du Fort"
"St Lô",6,"Saint-Lô",6,"Normandie",1703,
"St Malo",48,"Saint-Malo",48,"Bretagne",1798,
"St Onge",2,"Saintonge",96,"Saintonge",147,
"St Quentin",45,"Saint-Quentin",45,"Picardie",900,
"St Servan",3,"Saint-Servan",3,"Bretagne",1798,
"St Valeri",1,"Saint-Valéry",3,"Picardie",900,"St Valery sur Somme ou St Valery en Caux"
"St Valery",2,"Saint-Valéry",3,"Picardie",900,"St Valery sur Somme ou St Valery en Caux"
"St. Catherine",6,"Sainte-Catherine",6,"Touraine",91,"Lequel?. Exports de Nantes de Prunes. ""Très ancienne variété, originaire de Touraine, déjà présente dans le"
"St. Domingue",3,"Saint-Domingue",19,"Amérique",232,
"St. Quintin",1,"Sainte-Quintin",1,"Picardie",900,"Saint Quentin ou Quintin"
"Ste Foix",6,"Sainte-Foix",6,"Guyenne",2017,"7 Sainte Foy en France? Lequel"
"Suède",87,"Suède",87,"Nord",238,
"Suisse",8,"Suisse",8,"Suisse",27,
"Terre Neuve",1,"Terre-Neuve",23,"Amérique",232,
"Terre neuve",22,"Terre-Neuve",23,"Amérique",232,
"Thiers",1,"Thiers",1,"Auvergne",73,
"Tonneins",1,"Tonneins",1,"Guyenne",2017,
"Tonnerre",3,"Tonnerre",3,"Bourgogne",263,
"Toulon",6,"Toulon",6,"Provence",2016,
"Toulouse",13,"Toulouse",13,"Languedoc",1541,
"Touraine",46,"Tourraine",68,"Touraine",91,
"Tourrain",1,"Tourraine",68,"Touraine",91,
"Tourraine",21,"Tourraine",68,"Touraine",91,
"Tourraine et Anjou",3,"Anjou et Tourraine",3,"Inconnu",206,
"Tours",17,"Tours",17,"Touraine",91,
"Troye",9,"Troyes",12,"Champagne",965,
"Troyes",3,"Troyes",12,"Champagne",965,
"Tunis",2,"Tunis",2,"Levant et Barbarie",106,
"Utrecht",1,"Utrecht",2,"Hollande",340,
"Utreck",1,"Utrecht",2,"Hollande",340,"Faïence donc Lunéville-Saint-Clément"
"Valay",2,"Valay",2,"Bourgogne",263,
"Valencienne",2,"Valenciennes",15,"Flandre",1476,
"Valenciennes",13,"Valenciennes",15,"Flandre",1476,
"Valenciennes Hainaut",6,"Valenciennes Hainaut",6,"Flandre",1476,
"Velay",2,"Velay",2,"Auvergne",73,
"Verdun",1,"Verdun",1,"Lorraine",60,
"Versailles",1,"Versailles",1,"Île-de-France",1897,
"Vibourg",1,"Vyborg",1,"Nord",238,"Viborg Danemark ou Vyborg Russie -- c'est du bois, plutôt Russie"
"Vichi",3,"Vichy",4,"Auvergne",73,
"Vichy",1,"Vichy",4,"Auvergne",73,
"villes hanséatiques",2,"Villes Hanséatiques",2,"Nord",238,
"Vimoutier",1,"Vimoutiers",2,"Normandie",1703,
"Vimoutiers",1,"Vimoutiers",2,"Normandie",1703,
"Vire",1,"Vire",1,"Normandie",1703,
"Virginie",5,"Virginie",5,"États-Unis de l'Amérique",32,
"Vitré",3,"Vitré",3,"Bretagne",1798,
"Vitrolles",3,"Vitrolles",3,"Provence",2016,
"Vivarais",16,"Vivarais",16,"Languedoc",1541,
"Voiron",4,"Voiron",4,"Dauphiné",253,
"Wesphalie",1,"Wesphalie",1,"Allemagne",18,
"Ypres",2,"Ypres",2,"Flandre et autres états de l'Empereur",61,
