orthographic,source_bdc,nbr_occurences_orthographic,simplification,nbr_occurences_simplification,conv_orthographic_to_simplificat,remarque_unit
somme,1,9,somme,9,1,
sommées,1,11,sommées,11,1,
sommiers,1,7,sommiers,7,1,
sors,1,1,sors,1,1,
sortes,1,1,sortes,1,1,
sous,1,1,sous,1,1,
stères,1,42,stères,56,1,"Doursther page 519, 1 stère = 1 mètre cube"
stères à bruler,1,14,stères,56,1,"Doursther page 519, 1 stère = 1 mètre cube"
tableaux,1,2,tableaux,2,1,
tables,0,0,tables,0,1,
taille petit,1,1,taille petit,1,1,
taques ?,1,1,taques ?,1,1,
tasses,1,13,tasses,13,1,
teintures,0,0,teintures,0,1,
tentures,1,1,pièces,24203,1,
têtes,1,0,nombre,47111,1,
tierçons,1,535,tierçons,535,1,
tierçons et demi,1,1,tierçons et demi,1,1,
tiers,1,1,tiers,1,1,
timbres,1,23,timbres,23,1,
timpettes,1,1,timpettes,1,1,
tinéa,1,1,tinéa,1,1,
tinettes,1,1,tinettes,1,1,
tinnes,1,2,tinnes,2,1,
toises,1,39,toises,39,1,Wikipedia
toisons,1,1,toisons,1,1,
tomes,1,3,tomes,3,1,
tommes,1,2,tommes,2,1,
tones,1,1,tones,1,1,
tonne,1,116,tonne,116,1,
tonneaux,1,5688,tonneaux,5688,1,
tonneaux a 20 quarts,1,1,quarts,450,20,
tonneaux de 2000 livres,1,1,livres,260072,2000,
tonneaux de 5250 livres,1,1,livres,260072,5250,
tonneaux de haut,1,1,tonneaux de haut,1,1,nécessite le contenu et le lieu d'émission
tonneaux de ville,1,1,tonneaux de ville,1,1,nécessite le contenu et le lieu d'émission
tonneaux fonds,1,1,tonneaux fonds,1,1,
topettes,1,7,topettes,7,1,
torche,1,3,torche,3,1,
torches,1,8,torches,8,1,
traques,1,251,traques,251,1,
treilles,1,2,treilles,2,1,
tuiles,1,2,tuiles,2,1,
unité,1,1,pièces,24203,1,
urnes,1,1,urnes,1,1,
valeur,1,71,valeur,168,1,
vals,1,1,vals,1,1,
varres,1,1,varres,1,1,
veaux,1,1,veaux,1,1,
veltes,1,903,pintes,7951,8,
veltes le demi,1,1,pintes,7951,4,Doursther p. 570
verges,1,68,aune,69,.75,Doursther p. 570
verres,1,2,verres,2,1,
vivants,1,1,pièces,24203,1,
vogues,1,1,vogues,1,1,
voitures,1,23,voitures,23,1,
vollilles,1,1,vollilles,1,1,loïc charles
voyes,1,2,,165428,,
w,1,2,veltes,2,7.430000000000001,
wagons,1,8,wagons,8,1,
yunes,1,1,imi de berne,1,1,p597 doursther -> voir Imi p186
