goods_simpl_classification,nbr_occurences_simpl,canada_classification,details_provenance,obsolete,imports_des_colonies,nbr_occurences_canada
cerneaux,1,Hors Canada,,non,1,154386
céruse,888,,,non,0,386596
céruse et blanc de plomb,12,,,non,0,386596
cervelas,89,,,non,0,386596
cervelas salées et cuisses d'oie salées et langues salèes,4,,,non,0,386596
cevadille,0,,,oui,0,386596
cévadille,9,,,non,0,386596
chaconas,0,,,oui,0,386596
chades,1,,,non,0,386596
chafarcany,4,,,non,0,386596
chagrin,3,,,non,0,386596
chagrin de soie,4,,,non,1,386596
chaînes de fer,38,,,non,0,386596
chaînes de laiton,1,,,non,0,386596
chaînes de montres,2,,,non,0,386596
chaînes de montres serties d'or,1,,,non,0,386596
chair,4,,,non,0,386596
chair ???,1,,,non,0,386596
chair cuite,1,,,non,0,386596
chair de bœuf,5,,,non,0,386596
chair de boucherie,6,,,non,0,386596
chair de gibier et de volailles,8,,,non,0,386596
chair de morue,1,,,non,0,386596
chair de porcs,7,,,non,0,386596
chair de porcs salée,0,,,oui,0,386596
chair de volaille et chair de gibier,28,,,non,0,386596
chair et lard enfumé et salé,1,,,non,0,386596
chair et lard frais,1,,,non,0,386596
chair et poisson,1,,,non,0,386596
chair fraîche,3,,,non,0,386596
chair fraîche et salée,15,,,non,0,386596
chair fumée,29,,,non,0,386596
chair salée,872,,,non,1,386596
chair salée de jambon de porcs,1,,,non,,386596
chair salée de porcs,25,,,non,,386596
chair salée et chair fraîche,198,,,non,0,386596
chair salée ou lard,1,,,non,,386596
chaise garnie de cannes,1,,,non,0,386596
chaise garnie de maroquin,1,,,non,0,386596
chaises,9,,,non,0,386596
chaises à deux roues,1,,,non,0,386596
chaises à porteur,5,,,non,0,386596
chaises à rouler les enfants,2,,,non,0,386596
chaises communes,2,,,non,0,386596
chaises d'enfant,1,,,non,0,386596
chaises de bois,16,,,non,0,386596
chaises de bois de sapin,1,,,non,0,386596
chaises de canne,52,,,non,0,386596
chaises de commodité,177,,,non,0,386596
chaises de commodité et leurs pots,6,,,non,0,386596
chaises de commodité et leurs pots de faïence,1,,,non,0,386596
chaises de fer,7,,,non,0,386596
chaises de fer harnais,1,,,non,0,386596
chaises de jonc,39,,,non,0,386596
chaises de maroquin,5,,,non,0,386596
chaises de noyer,3,,,non,0,386596
chaises de Noyes,0,,,oui,0,386596
chaises de paille,445,,,non,0,386596
chaises de paille et canapé,1,,,non,0,386596
chaises de paille et fauteuils de paille,8,,,non,0,386596
chaises de passer avec leurs harnois,0,,,oui,0,386596
chaises de poste,20,,,non,0,386596
chaises de poste et fauteuils de poste,2,,,non,0,386596
chaises de poste et harnais,1,,,non,0,386596
chaises de rotin,16,,,non,0,386596
chaises de rotin et fauteuils,1,,,non,0,386596
chaises de tapisserie,1,,,non,0,386596
chaises et cabriolets,1,,,non,0,386596
chaises et fauteuils,21,,,non,0,386596
chaises et fauteuils de bois,7,,,non,0,386596
chaises et fauteuils de canne,6,,,non,0,386596
chaises et fauteuils de commodité,1,,,non,0,386596
chaises et fauteuils de jonc,3,,,non,0,386596
chaises garnies,5,,,non,0,386596
chaises paillées,1,,,non,0,386596
chaises pliantes,1,,,non,0,386596
chaises pliantes de cuir de Russie,1,,,non,0,386596
chaises pour enfant,1,,,non,0,386596
chaises roulantes,19,,,non,0,386596
chaises roulantes avec harnais,1,,,non,0,386596
chaises roulantes avec leur train,1,,,non,0,386596
chaises roulantes vieilles,1,,,non,0,386596
chalbafs,12,,,non,0,386596
châles brochés et façonnés de laine,2,,,non,0,386596
châles couvertures et tapis de fleuret,1,,,non,0,386596
châles de cachemire de poil,1,,,non,0,386596
châles de laine,43,,,non,0,386596
châles de laine brochés et façonnés,1,,,non,0,386596
châles de laine et de poil,46,,,non,0,386596
châles de percale de coton imprimée,2,,,non,0,386596
châles des Indes,1,,,non,0,386596
châles et mouchoirs,15,,,non,0,386596
châles et mouchoirs de coton,81,,,non,0,386596
châles et mouchoirs de laine,48,,,non,0,386596
châles et mouchoirs de soie,156,,,non,0,386596
châles et mouchoirs de soie façonnée pure et unie,2,,,non,0,386596
challe des Indes,0,,,oui,0,386596
chalons,6,,,non,0,386596
Châlons,0,,,oui,0,386596
Châlons aune,0,,,oui,0,386596
chalons blancs,2,,,non,0,386596
Châlons blancs,0,,,oui,0,386596
chalons blancs soufrés,2,,,non,0,386596
Châlons blancs soufrés,0,,,oui,0,386596
chalons peints,2,,,non,0,386596
Châlons peints,0,,,oui,0,386596
chaloupe,1,,,non,0,386596
chaloupe démontée,3,,,non,0,386596
chambre d'enfant,1,,,non,0,386596
chamois,1,,,non,0,386596
chamois passé en jaune,6,,,non,0,386596
chamoisure,1,,,non,0,386596
champ fleurs,1,,,non,0,386596
champheuv,1,,,non,0,386596
champhew,0,,,oui,0,386596
champignons,93,,,non,0,386596
champignons confits,4,,,non,,386596
champignons et morilles,2,,,non,0,386596
champignons et truffes,1,,,non,0,386596
champignons marinés,1,,,non,0,386596
champignons secs,27,,,non,0,386596
chandal,1,,,non,0,386596
chandeliers d'église en or,1,,,non,0,386596
chandeliers de bois,1,,,non,0,386596
chandeliers de bois de Nuremberg,1,,,non,0,386596
chandeliers de cuivre,8,,,non,0,386596
chandeliers de cuivre argentés,1,,,non,,386596
chandeliers de fer,1,,,non,,386596
chandeliers de laiton,1,,,non,0,386596
chandelle,1626,Hors Canada,,non,1,154386
chandelle à porteur,1,,,non,0,386596
chandelle de bois,1,,,non,0,386596
chandelle de canne,4,,,non,0,386596
chandelle de chanvre et suif,1,,,non,0,386596
chandelle de commodité,3,,,non,0,386596
chandelle de jonc,1,,,non,0,386596
chandelle de paille,9,,,non,0,386596
chandelle de résines,1,,,non,0,386596
chandelle de rotin,1,,,non,0,386596
chandelle de sperme de baleine,1,,,non,0,386596
chandelle de suif,235,,,non,0,386596
chandelle de suif et suif,1,,,non,0,386596
chandelle de suif et suif fondu,1,,,non,0,386596
chandelle moitié cire,1,,,non,0,386596
chandelle moulée,2,,,non,0,386596
chandelle roulante,1,,,non,0,386596
chandriers de cuivre,0,,,oui,0,386596
changeant,6,,,non,0,386596
changeante,0,,,oui,0,386596
chanoni,1,,,non,0,386596
chanote,0,,,oui,0,386596
chanvre,492,,,non,0,386596
chanvre apprêté,11,,,non,0,386596
chanvre battu,56,,,non,0,386596
chanvre brut,37,,,non,0,386596
chanvre commun,1,,,non,0,386596
chanvre cru,891,,,non,0,386596
chanvre de masse,9,,,non,0,386596
chanvre deuxième qualité,1,,,non,0,386596
chanvre dit chenevolle,1,,,non,0,386596
chanvre divers,45,,,non,0,386596
chanvre écru,8,,,non,0,386596
chanvre en liens,4,,,non,0,386596
chanvre en masses,44,,,non,0,386596
chanvre en ramade,1,,,non,0,386596
chanvre en rames,151,,,non,0,386596
chanvre en rames (c'est à dire du Nord),1,,,non,,386596
chanvre en tiges brutes choisie sèches ou vertes,2,,,non,0,386596
chanvre en tiges brutes sèches roules ou vertes,3,,,non,0,386596
chanvre et lin,9,,,non,0,386596
chanvre fin,1,,,non,0,386596
chanvre frisé,1,,,non,0,386596
chanvre peigné,518,,,non,0,386596
chanvre pour filer,1,,,non,0,386596
chanvre première qualité,4,,,non,0,386596
chanvre préparé,3,,,non,0,386596
chanvre saisir,1,,,non,0,386596
chanvre taillé et étoupes,3,,,non,0,386596
chanvre tillé,1,,,non,0,386596
chanvre tillé et étoupes,7,,,non,0,386596
chanvrier de cuivre,1,,,non,0,386596
chapeaux,518,,,non,0,386596
chapeaux ? castor,6,,,non,0,386596
chapeaux à border,1,,,non,0,386596
chapeaux à nègre,228,,,non,0,386596
chapeaux à page,2,,,non,0,386596
chapeaux anglais,2,,,non,0,386596
chapeaux bâtards,9,,,non,0,386596
chapeaux blancs,1,,,non,0,386596
chapeaux bordés,54,,,non,0,386596
chapeaux bordés argent et or de poil,1,,,non,0,386596
chapeaux bordés avec éléments,1,,,non,0,386596
chapeaux bordés d'argent,1,,,non,0,386596
chapeaux bordés d'argent de castor,1,,,non,0,386596
chapeaux bordés d'argent et d'or,4,,,non,0,386596
chapeaux bordés d'argent et d'or de castor,12,,,non,0,386596
chapeaux bordés d'or,8,,,non,0,386596
chapeaux bordés d'or de castor,10,,,non,0,386596
chapeaux bordés d'or de demi-castor,1,,,non,0,386596
chapeaux bordés d'or et d'argent faux communs,1,,,non,,386596
chapeaux bordés d'or faux,3,,,non,0,386596
chapeaux bordés d'or faux de laine,2,,,non,0,386596
chapeaux bordés de castor,11,,,non,0,386596
chapeaux bordés de point d'Espagne,1,,,non,0,386596
chapeaux bordés de point d'espe,0,,,oui,0,386596
chapeaux bordés en faux de laine,1,,,non,0,386596
chapeaux brodés,12,,,non,0,386596
chapeaux brodés d'argent,2,,,non,0,386596
chapeaux brodés d'argent de castor,3,,,non,,386596
chapeaux brodés d'argent et d'or,1,,,non,0,386596
chapeaux brodés d'argent et d'or de castor,0,,,oui,0,386596
chapeaux brodés d'or,6,,,non,0,386596
chapeaux chinois et grosse caisse,1,,,non,0,386596
chapeaux cirés,1,,,non,0,386596
chapeaux communs,296,,,non,0,386596
chapeaux communs de laine ou de poil,5,,,non,0,386596
chapeaux communs de paille,1,,,non,0,386596
chapeaux d'écorce,3,,,non,0,386596
chapeaux d'écorce d'arbre,4,,,non,0,386596
chapeaux d'écorce de bois et de paille,151,,,non,0,386596
chapeaux d'écorce de tilleul,1,,,non,0,386596
chapeaux d'écorce et de paille,21,,,non,0,386596
chapeaux d'écorce fins,1,,,non,0,386596
chapeaux d'enfant,1,,,non,0,386596
chapeaux d'osier,1,,,non,0,386596
chapeaux d'ourson,1,,,non,0,386596
chapeaux dauphins,4,,,non,0,386596
chapeaux de bois,10,,,non,0,386596
chapeaux de castor,637,,,non,0,386596
chapeaux de castor brodés,2,,,non,0,386596
chapeaux de castor et de poil,3,,,non,,386596
chapeaux de castor fins,1,,,non,0,386596
chapeaux de castor noir,2,,,non,0,386596
chapeaux de castor unis,12,,,non,0,386596
chapeaux de castor vernis,4,,,non,0,386596
chapeaux de coton,18,,,non,0,386596
chapeaux de coupeau,3,,,non,0,386596
chapeaux de crin,1,,,non,0,386596
chapeaux de cuir,7,,,non,0,386596
chapeaux de demi-castor,595,,,non,0,386596
chapeaux de demi-vigogne,58,,,non,0,386596
chapeaux de femme,3,,,non,0,386596
chapeaux de feutre,44,,,non,0,386596
chapeaux de feutre communs,3,,,non,0,386596
chapeaux de feutre unis,1,,,non,0,386596
chapeaux de laine,407,,,non,0,386596
chapeaux de laine à nègre,10,,,non,0,386596
chapeaux de laine communs,15,,,non,0,386596
chapeaux de laine des prises,4,,,non,0,386596
chapeaux de laine et de poil,769,,,non,0,386596
chapeaux de laine unis,1,,,non,0,386596
chapeaux de loutre,4,,,non,0,386596
chapeaux de mi castor,3,,,non,0,386596
chapeaux de paille,337,,,non,0,386596
chapeaux de paille communs,3,,,non,0,386596
chapeaux de paille de riz,2,,,non,0,386596
chapeaux de paille dits garde-soleils,1,,,non,0,386596
chapeaux de paille et sparterie,31,,,non,0,386596
chapeaux de poil,64,,,non,0,386596
chapeaux de poil de laine,1,,,non,0,386596
chapeaux de poil estain,1,,,non,0,386596
chapeaux de poil et de laine,36,,,non,0,386596
chapeaux de satin,2,,,non,0,386596
chapeaux de soie,9,,,non,0,386596
chapeaux de taffetas,1,,,non,0,386596
chapeaux de velours,2,,,non,0,386596
chapeaux de vigogne,104,,,non,0,386596
chapeaux demi,1,,,non,0,386596
chapeaux des prises,3,,,non,0,386596
chapeaux en poil et laine,1,,,non,,386596
chapeaux fins,9,,,non,0,386596
chapeaux fins de castor de laine ou de soie,2,,,non,0,386596
chapeaux fins de laine de castor ou de soie,3,,,non,0,386596
chapeaux fins de laine et de poil,2,,,non,0,386596
chapeaux fins de paille,3,,,non,0,386596
chapeaux fins de soie,2,,,non,0,386596
chapeaux fins des prises,1,,,non,0,386596
chapeaux garnis,2,,,non,0,386596
chapeaux gris,1,,,non,,386596
chapeaux grossiers,7,,,non,0,386596
chapeaux grossiers d'écorce,1,,,non,0,386596
chapeaux grossiers d'écorce de paille et de sparte,10,,,non,0,386596
chapeaux grossiers d'écorce de sparte,1,,,non,0,386596
chapeaux grossiers de paille,3,,,non,0,386596
chapeaux grossiers ou fins d'écorce de paille et de sparte,1,,,non,0,386596
chapeaux Maine,2,,,non,0,386596
chapeaux neufs,1,,,non,0,386596
chapeaux non brodés de castor,2,,,non,0,386596
chapeaux ordinaires,3,,,non,0,386596
chapeaux perle,1,,,non,0,386596
chapeaux perse,3,,,non,0,386596
chapeaux poil laine,2,,,non,0,386596
chapeaux pour nègre,7,,,non,0,386596
chapeaux sortis,1,,,non,0,386596
chapeaux unis,2,,,non,0,386596
chapeaux unis et demi forme,2,,,non,0,386596
chapeaux vieux,3,,,non,0,386596
chapelets,35,,,non,0,386596
chapelets communs,1,,,non,0,386596
chapelets de bois,24,,,non,0,386596
chapelets de coco,6,,,non,0,386596
chapelets de Jérusalem,1,,,non,0,386596
chapelets de verre,5,,,non,0,386596
chapelière de castor,2,,,non,0,386596
chapellerie commune de laine,1,,,non,0,386596
chapellerie commune de laine ou de poil,1,,,non,0,386596
chapellerie de castor,1,,,non,0,386596
chapellerie de castor de feutre fin ou de laine,1,,,non,0,386596
chapes de fer,1,,,non,0,386596
chaplas,2,,,non,0,386596
chapons,10,,,non,0,386596
chapons gras,4,,,non,0,386596
chaquelas,3,,,non,0,386596
charbon,226,,,non,0,386596
charbon d'Angleterre de terre,1,,,non,0,386596
charbon de bois,334,,,non,0,386596
charbon de bois et chènevotte,1,,,non,0,386596
charbon de bois et de terre,163,,,non,0,386596
charbon de bois ou de chènevotte,2,,,non,0,386596
charbon de bois ou de chènevotte en hectolitres,2,,,non,0,386596
charbon de bois ou de chènevotte en kilogrammes,2,,,non,0,386596
charbon de boulanger,1,,,non,0,386596
charbon de boulanger et braisette,1,,,non,0,386596
charbon de pierre,31,,,non,0,386596
charbon de pin,10,,,non,0,386596
charbon de terre,1474,Hors Canada,,non,1,154386
charbon de terre pour cuire chaux,1,,,non,0,386596
charbon houille,2,,,non,0,386596
charcanas,1,,,non,0,386596
chardons,13,,,non,0,386596
chardons à drapier,132,,,non,0,386596
chardons cardère,18,,,non,0,386596
chardons cardiers,12,,,non,0,386596
chardons de drapier,0,,,oui,0,386596
charfarcani,3,,,non,0,386596
charge en fer-blanc,1,,,non,0,386596
chari salée,0,,,oui,0,386596
chariots,13,,,non,0,386596
chariots à feu,1,,,non,0,386596
chariots neufs,1,,,non,0,386596
chariots tombereaux et voitures à échelles,3,,,non,0,386596
charlotonne,3,,,non,0,386596
charnière de marbre,1,,,non,,386596
charonies,1,,,non,0,386596
charonin,1,,,non,0,386596
charpente démontée,1,,,non,0,386596
charpie,1,,,non,0,386596
charpie et drilles en feuille,2,,,non,0,386596
charrée,6,,,non,0,386596
charrettes,5,,,non,0,386596
charrettes neuves,1,,,non,0,386596
charrettes vieilles,1,,,non,0,386596
charrues,17,,,non,0,386596
charrues de fer,1,,,non,0,386596
chaselade,0,,,oui,0,386596
chaselas des Indes,2,,,non,0,386596
chasse-mouches,1,,,non,0,386596
chasselas,179,,,non,0,386596
châssis de bois,1,,,non,0,386596
chasuble,8,,,non,0,386596
châtaignes,711,,,non,0,386596
châtaignes biscotes,0,,,oui,0,386596
châtaignes biscuites,11,,,non,0,386596
châtaignes blanches,10,,,non,0,386596
châtaignes confites,1,,,non,0,386596
châtaignes et marrons,10,,,non,0,386596
châtaignes et marrons et noix,8,,,non,0,386596
châtaignes et marrons frais,11,,,non,0,386596
châtaignes et noix,1,,,non,0,386596
châtaignes fraîches,25,,,non,0,386596
châtaignes fraîches et marrons frais,19,,,non,0,386596
châtaignes sèche,17,,,non,0,386596
châtaignes sèches,37,,,non,0,386596
châtaigniers,1,,,non,0,386596
chateis,1,,,non,0,386596
chatons,1,,,non,0,386596
chau ???,1,,,non,0,386596
chaud,1,,,non,0,386596
chaud de cuivre,1,,,non,0,386596
chaudière à brai,1,,,non,0,386596
chaudière à distiller,2,,,non,,386596
chaudière à guildives,3,,,non,0,386596
chaudière à nègre,1,,,non,0,386596
chaudière à sucre,2,,,non,0,386596
chaudière de cuivre,69,,,non,0,386596
chaudière de cuivre à sucre,1,,,non,0,386596
chaudière de cuivre et sa serpentine,1,,,non,0,386596
chaudière de cuivre et ustensiles,1,,,non,0,386596
chaudière de cuivre grande,1,,,non,0,386596
chaudière de cuivre jaune,1,,,non,,386596
chaudière de cuivre rouge et foudre de cuivre rouge,2,,,non,0,386596
chaudière de fer,141,,,non,0,386596
chaudière de fer et marmites de fer,1,,,non,0,386596
chaudière de fonte,10,,,non,0,386596
chaudière de marmites de potin,2,,,non,0,386596
chaudière de patine,1,,,non,0,386596
chaudière de potier,1,,,non,0,386596
chaudière de potin,4,,,non,0,386596
chaudière et marmites et étuve de fonte,5,,,non,0,386596
chaudières de fonte,21,,,non,0,386596
chaudières de fonte et marmites de fonte,5,,,non,0,386596
chaudières et marmites de ???,4,,,non,0,386596
chaudron,3,,,non,0,386596
chaudron d'airain,2,,,non,0,386596
chaudron de cuivre,174,,,non,0,386596
chaudron de cuivre et bassin de cuivre,1,,,non,0,386596
chaudron de cuivre et neptune de cuivre,1,,,non,0,386596
chaudron de cuivre jaune,4,,,non,0,386596
chaudron de cuivre pour l'entrepôt de la Compagnie de Guinée,1,,,non,0,386596
chaudron de cuivre rouge,1,,,non,0,386596
chaudron de fer,3,,,non,0,386596
chaudron de potin,1,,,non,0,386596
chaudron en cuivre,0,,,oui,0,386596
chauffe-pieds,32,,,non,0,386596
chauffe-pieds ganis,0,,,oui,,386596
chauffe-pieds garnis,1,,,non,,386596
chaufferettes,1,,,non,0,386596
chaufferettes de bois,1,,,non,0,386596
chauffete,0,,,oui,0,386596
chausse-pieds,34,,,non,0,386596
chausse-pieds avec leurs terrasses,1,,,non,0,386596
chausseterie,1,,,non,0,386596
chaussetterie de laine,1,,,non,0,386596
chaussettes,14,,,non,0,386596
chaussettes de coton,2,,,non,0,386596
chaussettes de fil,114,,,non,0,386596
chaussettes de fil par paires,1,,,non,0,386596
chaussettes de toile,3,,,non,0,386596
chaussons de carisee et drap à laver maison,1,,,non,0,386596
chaussons de fil,2,,,non,0,386596
chaussons de laine,3,,,non,0,386596
chaussons de laine de Ségovie,1,,,non,,386596
chaussures pour tisserand,1,,,non,0,386596
chaux,234,,,non,0,386596
chaux à bâtir,4,,,non,0,386596
chaux calcinée ou cuite,2,,,non,0,386596
chaux en pierre ou éteinte,1,,,non,0,386596
chaux et cendre,1,,,non,0,386596
chaux et cendre de chaux mêlées,1,,,non,0,386596
chaux et pierres et plâtre,14,,,non,0,386596
chaux et plâtre et ciment,48,,,non,0,386596
chaux éteinte,14,,,non,0,386596
chaux fondue,1,,,non,0,386596
chaux vive,6,,,non,0,386596
chavonis,3,,,non,0,386596
chazetas,0,,,oui,0,386596
chelöes,2,,,non,0,386596
cheminée de marbre,5,,,non,0,386596
cheminée de pierre de liere,0,,,oui,0,386596
cheminée de pierre de lierre,1,,,non,0,386596
cheminée statues etc.,1,,,non,0,386596
chemises,212,,,non,0,386596
chemises à fumer,1,,,non,0,386596
chemises à nègre,81,,,non,0,386596
chemises assorties,1,,,non,0,386596
chemises blanches ouvrées,1,,,non,0,386596
chemises bleues,2,,,non,0,386596
chemises bretonnes,68,,,non,0,386596
chemises bretonnes garnies,1,,,non,0,386596
chemises bretonnes unies,1,,,non,0,386596
chemises brodées,2,,,non,,386596
chemises communes,71,,,non,0,386596
chemises communes non garnies,1,,,non,0,386596
chemises communes unies,1,,,non,0,386596
chemises d'homme,2,,,non,0,386596
chemises de batiste,1,,,non,0,386596
chemises de Bretagne,5,,,non,0,386596
chemises de chanvre de Riello,1,,,non,0,386596
chemises de coton,1,,,non,0,386596
chemises de fil de coton,1,,,non,0,386596
chemises de grosse toile à nègre,3,,,non,0,386596
chemises de guingan,20,,,non,0,386596
chemises de Laval,3,,,non,0,386596
chemises de lin,18,,,non,0,386596
chemises de lin garnies,4,,,non,0,386596
chemises de lin garnies de batiste,1,,,non,,386596
chemises de lin garnies unies,3,,,non,,386596
chemises de nègre,1,,,non,0,386596
chemises de siamoise,1,,,non,0,386596
chemises de soldat,1,,,non,0,386596
chemises de toile,7,,,non,0,386596
chemises de toile bleue,1,,,non,0,386596
chemises de toile bretonne,4,,,non,0,386596
chemises de toile communes,2,,,non,0,386596
chemises de toile de Bretagne,11,,,non,0,386596
chemises de toile de Bretagne diverses,1,,,non,0,386596
chemises de toile de Bretagne garnies,1,,,non,0,386596
chemises de toile de Bretagne rayée,1,,,non,0,386596
chemises de toile de coton,4,,,non,1,386596
chemises de toile de Laval,2,,,non,0,386596
chemises de toile de Laval garnies,1,,,non,0,386596
chemises de toile de lin,17,,,non,0,386596
chemises de toile de lin garnies,6,,,non,0,386596
chemises de toile de Morlaix,1,,,non,0,386596
chemises de toile de Saint-Jean,1,,,non,0,386596
chemises de toile garnies,1,,,non,,386596
chemises de toile rayée,2,,,non,0,386596
chemises fines,36,,,non,0,386596
chemises garnies,239,,,non,0,386596
chemises garnies de Batiste,2,,,non,0,386596
chemises garnies de mousseline,4,,,non,0,386596
chemises garnies de paille,1,,,non,0,386596
chemises garnies et fines,3,,,non,0,386596
chemises garnies pour femme,1,,,non,0,386596
chemises garnies pour homme,1,,,non,0,386596
chemises grosses,1,,,non,0,386596
chemises grosses de toile à nègre,3,,,non,0,386596
chemises moins communes,2,,,non,0,386596
chemises neutres,1,,,non,0,386596
chemises neuves,1,,,non,0,386596
chemises non garnies,4,,,non,0,386596
chemises ordinaires,1,,,non,0,386596
chemises pour homme,2,,,non,0,386596
chemises pour homme communes,1,,,non,,386596
chemises pour soldat,1,,,non,0,386596
chemises royales,1,,,non,0,386596
chemises unies,90,,,non,0,386596
chemises vieilles,8,,,non,0,386596
chemisettes,2,,,non,0,386596
chemisier,1,,,non,,386596
chemisons garnis,1,,,non,0,386596
chêne en blocs,1,,,non,0,386596
chenille,1,,,non,0,386596
chenille au quart,1,,,non,0,386596
chenille de bois,3,,,non,0,386596
chenille de chêne,3,,,non,0,386596
chenille de flavret,1,,,non,0,386596
chenille de soie,18,,,non,0,386596
cheval de bois,1,,,non,0,386596
chévaque,1,,,non,0,386596
chevaux,542,,,non,0,386596
chevaux à bas prix,16,,,non,0,386596
chevaux à haut prix,11,,,non,0,386596
chevaux à moyen prix,5,,,non,0,386596
chevaux anglais,1,,,non,0,386596
chevaux arabes,1,,,non,0,386596
chevaux d'Espagne,1,,,non,0,386596
chevaux d'un an,1,,,non,0,386596
chevaux de Barbarie,1,,,non,0,386596
chevaux de bois,5,,,non,0,386596
chevaux de labour,93,,,non,0,386596
chevaux de labour et mules et mulets,4,,,non,0,386596
chevaux de selle,2,,,non,0,386596
chevaux de trois ans,1,,,non,0,386596
chevaux et ânes,4,,,non,0,386596
chevaux et mulets,2,,,non,0,386596
chevaux et poulains,1,,,non,,386596
chevaux hongres,10,,,non,0,386596
chevaux petits,1,,,non,0,386596
chevaux poulains de lait,1,,,non,0,386596
chevaux pour enfant,1,,,non,0,386596
chevaux pour le haras,1,,,non,0,386596
chevaux vieux,1,,,non,0,386596
cheveux,331,,,non,0,386596
cheveux à perruques,1,,,non,0,386596
cheveux apprêtés,1,,,non,0,386596
cheveux communs,35,,,non,0,386596
cheville,1,,,non,0,386596
cheville de bois,10,,,non,0,386596
cheville de chêne,2,,,non,0,386596
cheville de fer,3,,,non,0,386596
chevillères,0,,,oui,0,386596
chevillères à tresser,0,,,oui,0,386596
chevillères de bois,0,,,oui,0,386596
chevillères de fil,0,,,oui,0,386596
chevilles et masses de fer,1,,,non,0,386596
chevillières,1,,,non,0,386596
chevillières à tresser,1,,,non,0,386596
chevillières de fil,2,,,non,0,386596
chevreaux,12,,,non,0,386596
chevreaux à moyen prix,1,,,non,0,386596
chèvres,179,,,non,0,386596
chèvres boucs,0,,,oui,0,386596
chèvres et boucs,0,,,oui,0,386596
chevreuil,1,,,non,0,386596
chevreuil en chamois et peaux de cerf,1,,,non,0,386596
chevrons,76,,,non,0,386596
chevrons d'acajou,11,Hors Canada,tropiques,non,1,154386
chevrons de 10 pieds,1,,,non,0,386596
chevrons de 12 pieds,1,,,non,0,386596
chevrons de 16 pieds,1,,,non,0,386596
chevrons de 18 pieds,3,,,non,0,386596
chevrons de 25 pieds,1,,,non,0,386596
chevrons de 26 pieds,1,,,non,0,386596
chevrons de 45 à 50 pieds,1,,,non,0,386596
chevrons de 5 pieds en acajou,1,Hors Canada,tropiques,non,1,154386
chevrons de 6 pieds en acajou,1,Hors Canada,tropiques,non,1,154386
chevrons de 8 pieds,1,,,non,0,386596
chevrons de 8 pieds en acajou,1,Hors Canada,tropiques,non,1,154386
chevrons de bois,11,,,non,0,386596
chevrons de bois de noyer de 12 pieds de long,1,,,non,,386596
chevrons de cèdre,1,Hors Canada,,non,1,154386
chevrons de chêne,9,,,non,0,386596
chevrons de chêne de 10 pieds,1,,,non,0,386596
chevrons de chêne de 11 pieds,1,,,non,0,386596
chevrons de chêne de 12 à 18 pieds,1,,,non,0,386596
chevrons de chêne de 12 pieds,1,,,non,0,386596
chevrons de chêne de 15 pieds,1,,,non,0,386596
chevrons de chêne de 16 pieds,2,,,non,0,386596
chevrons de chêne de 18 pieds,3,,,non,0,386596
chevrons de chêne de 22 pieds,1,,,non,0,386596
chevrons de chêne de 5 à 6 pieds,1,,,non,0,386596
chevrons de chêne de 6 pieds,1,,,non,0,386596
chevrons de chêne de 7 pieds,1,,,non,0,386596
chevrons de chêne de 8 pieds,1,,,non,0,386596
chevrons de chêne de 9 pieds,1,,,non,0,386596
chevrons de merisier,1,Hors Canada,,non,1,154386
chevrons de pin,1,,,non,0,386596
chevrons de planches,1,,,non,0,386596
chevrons de sapin,84,,,non,0,386596
chevrons de sapin 12 pieds,1,,,non,0,386596
chevrons de sapin 24 pieds,1,,,non,0,386596
chevrons de sapin de 10 pieds,1,,,non,0,386596
chevrons de sapin de 12 pieds,3,,,non,0,386596
chevrons de sapin de 14 à 15 pieds,1,,,non,0,386596
chevrons de sapin de 14 pieds,2,,,non,0,386596
chevrons de sapin de 15 à 20 pieds,1,,,non,0,386596
chevrons de sapin de 15 pieds,3,,,non,0,386596
chevrons de sapin de 16 pieds,4,,,non,0,386596
chevrons de sapin de 18 pieds,3,,,non,0,386596
chevrons de sapin de 20 pieds,3,,,non,0,386596
chevrons de sapin de 22 pieds,1,,,non,0,386596
chevrons de sapin de 24 pieds,5,,,non,0,386596
chevrons de sapin de 25 pieds,1,,,non,0,386596
chevrons de sapin de 26 pieds,1,,,non,0,386596
chevrons de sapin de 28 pieds,1,,,non,0,386596
chevrons de sapin de 29 pieds,1,,,non,0,386596
chevrons de sapin de 3 à 4 pieds,1,,,non,0,386596
chevrons de sapin de 30 pieds,1,,,non,0,386596
chevrons de sapin de 36 pieds,3,,,non,0,386596
chevrons de sapin de 40 pieds,1,,,non,0,386596
chevrons de sapin de 6 à 7 pieds,1,,,non,0,386596
chevrons de sapin de 7 à 8 pieds,1,,,non,0,386596
chevrons de sapin de 7 pieds,1,,,non,0,386596
chevrons de sapin de 8 pieds,2,,,non,0,386596
chevrons de sapin de 9 à 10 pieds,1,,,non,0,386596
chevrons de sapin de 9 pieds,1,,,non,0,386596
chialar,1,,,non,0,386596
chicas,0,,,oui,0,386596
chicorée moulue,48,,,non,0,386596
chicorée sèche ou torréfiée,2,,,non,0,386596
chicotin,9,,,non,0,386596
chiendent,1,,,non,0,386596
chiens,42,,,non,0,386596
chiens courants de chasse,1,,,non,0,386596
chiens de chasse,6,,,non,0,386596
chiffons,17,,,non,0,386596
chiffons vieux,1,,,non,0,386596
chilas,0,,,oui,0,386596
chillas,48,,,non,0,386596
