Inconnu,marchandises,definition,
1,chima calin,"La retranscription paraît bonne (Source : 1789 - Importations - Direction de Valenciennes – AN_F12_1667.pdf, page 13), mais cette marchandise n’est pas identifiée par les différents dictionnaires. ",
1,china,,
0,chine,"Savary, volume 2, 1748 : « Sorte de tapisserie de bergame » ",
1,chinois,"Selon le Littré, un chinois peut désigner de «petites oranges grosses comme une noix, qu'on mange confites dans l'eau-de-vie » ; pas de définition dans le Savary. ",
1,chiques,"Peut désginer plusieurs choses selon le Littré, parmi lesquelles un « cocon peu fourni en soie, et sans consistance », ou encore une « petite boule de marbre ou de terre cuite avec laquelle les enfants jouent ». ",
0,chiquette (bourre),"attestée dans l'article ""Bourre"", Savary, Dictionnaire 1. ",
1,chirederis,"A priori pas d’erreur de retranscription (Source : Nantes -- 1771 -- Exports – AD44_C717.pdf, page 15) ; pourtant, cette marchandise n’apparaît qu’une fois dans la BDD, et jamais dans les dictionnaires. ",
1,chirederis,"la transcription semble correcte, une seule occurrence (Nantes, sorties, 1771, C717)",
1,chise de fourneau,"Marchandise provenant d’une source belge, dont l’équivalent ou la traduction en français nous sont inconnus. ",
1,chitspamabage,"Curieusement, il ne semble pas y avoir d’erreur de retranscription (Source : http://charente-maritime.fr/archinoe/visu_affiche.php?PHPSID=k2i67avr4lq83ek156hogie4l6&param=visu&page=1, page 3) ; là aussi, une seule occurrence dans la BDD. Peut être est ce un mot d’une langue étrangère ? ",
0,"chitte, chite",toile indienne aux couleurs éclatantes (CNRTL),
0,chivelle,"E. Le héricher, Histoire et glossaire du normand, de l'anglais et de langue française, : « saule qui sert d'osier » ou « courroie à double arguillon » ",
1,cholas,"la transcription semble correcte, une seule occurrence (Nantes, sorties vers la Guinée, 1740, C706)",
1,chomettes de terre,,
0,"choquelas, chuquelas",Chuquelas ou Chercolées ou cherconnées : toile des Indes de soie et coton. ,
1,chourales,"Peut être une erreur de retranscription (Source : Nantes -- 1765 -- Exports -- AD44_C717 (B&W).pdf, page 13). En effet, les dictionnaires ne mentionnent pas cette marchandise, qui n’apparait qu’une seule fois dans la BDD par ailleurs.  ",
0,ciere,"variante de chiere, ancien français pour cire",
1,cikous,"Retranscription correcte, mais signification inconnue. Une seule occurrence, à destination du Danemark depuis Nantes en 1778. (C717)",
1,cime,"Simplement définissable comme le sommet d’un arbre, ou d’une montage, mais jamais comme une marchandise (Littré, Savary, …) Une seule occurrence, en provenance de Hollande (Source : http://charente-maritime.fr/archinoe/visu_affiche.php?PHPSID=k2i67avr4lq83ek156hogie4l6&param=visu&page=1). ",
0,cin de ville,A été normalisé orthographiquement en « vin de ville » ,
0,cinabre,"Sulfure de mercure de couleur rouge, utilisé notamment pour la fabrication du vermillon ",
0,"cipres, sipre (bois de)",bois de Chypre. Xycol. ,
1,cire,(Précédente remarque) confusion probable crasse/grasse ,
0,"cirsaca, sirsacas",Cirsaca ou cirsaka : Etoffe des Indes presque toute de coton et de très peu de soie (Savary) ,
0,cirsaka,"Savary, Dictionnaire 1, article ""Cirsakas"", ""Etoffe des Indes, presque toute de coton, avec le mélange de très peu de soie"". ",
0,civadille,"« Graine qui détruit les lentes ou les œufs de la vermine qui s’engendre sur la tête. » (Dictionnaire de la langue romano-castraise et des contrées limitrophes, J.-P. Couzinié, 1850)",
0,civette,"« espèce de parfum, qui porte le nom de l’animal dont on le tire » (Savary)",
1,"clafou, claffous, claphout",normalisation orthographique : s’écrit « clafou » ,
1,"clafou, claffous, claphout (bois en, de)",normalisation orthographique : s’écrit « clafou » ,
1,claphout,normalisé en « clafou » (voir ci dessus) ,
1,claphout en blocq,"Même remarque : claphout est normalisé en « calfou », tandis que blocq est normalisé en « blocs ». ",
0,claye à parquer,"Savary, volume 2, 1748 : « Ouvrage de vannier » ",
1,cleippe (bois de),Retranscription douteuse (Source : Objet Général -- 1759 -- BMRouen_Ms_Montbret_155-2 (B&W).pdf)   une seule occurrence,
0,clinquant,"« Ornement brillant fait de lamelles d’or ou d’argent (vrai clinquant) ou de lamelles de métal doré ou argenté (faux clinquant), employé en particulier pour orner des dentelles, des tissus ou des broderies. (cnrtl)",
1,cloutiers,"Le cloutier est celui qui fabrique ou qui vend des clous ; on peut supposer que le copiste a voulu écrire « cloutieres » (aussi écrit « clouvieres »), qui est un outil dont se servent les cloutiers, d’après le Savary. ",
1,coak,,
1,coas de soie,"Il ne semble pas y avoir d’erreur de retranscription. Peut être une erreur du copiste ? Source : Objet Général -- 1755 -- B&W – BMRouen_Ms_Montbret_155-1.pdf, page 34. La marchandise est inconnue des dictionnaires, et n’apparaît qu’une fois dans la BDD. ",
0,cocalum,Dictionnaire étymologique de la langue françoise : « Artichaut » ,
1,cocax,"Peut être « coeax » ? (Source : http://charente-maritime.fr/archinoe/visu_affiche.php?PHPSID=k2i67avr4lq83ek156hogie4l6&param=visu&page=1, page 3) Les deux graphies ne trouvent pas de définition dans les dictionnaires.  ",
1,cochelis,"Plusieurs occurrences dans la BDD, toujours d’Hollande quand il s’agit d’importations. Cependant, le mot n’apparait pas dans les dictionnaires, ni hollandais ni français.  ",
0,"coclaria, coclearia","cochlearia, ""plante anti-scorbutique"", Encyclopédie, article ""Cochlearia"". Graphie choisie ",
1,coctif,"Doutes sur la retranscription (Source : Objet -- 1750 -- Guinée – SB_8MS84.pdf, page 6). Il n’y a qu’une seule occurrence dans la BDD pour cette marchandise, qui n’est pas présente dans les différents dictionnaires. ",
0,cocullus,"Absent de la BDD centrale ; provient d’une source belge. Selon Wikipédia, le cocullus le nom scientifique d’une plante  nommée Coq du Levant, utilisée en homéopathie. Ceci fait sens étant donné que « cocullus » est présenté comme une variation de drogue dans la source belge. ",
1,coddes blancs,"Provient aussi d’une source belge. Le terme est absent de la BDD centrale, et sa traduction est inconnue. Apparemment une sorte de drap aussi appelée « pawens »",
0,codearia,Semble être le mot espagnol pour la plante « cochlearia » ,
0,coëtif,"Sociétés des sciences, lettres et arts de Bayonne : bulletin : « Parmi les produits manufacturés, les textiles tiennent la première place : […] toiles grossières, coetifs » ",
0,coignée,sorte de hache (http://www.cnrtl.fr/definition/cogn%C3%A9e),
1,coins,"Selon le Littré, un « coin » peut désigner de nombreuses choses, dont entre autres : un fauteuil, un outil pour fendre le bois, un vêtement, etc. ",
1,coïtif,"Marchandise inconnue des dictionnaires, alors que sa retranscription a l’air correcte (Source : http://charente-maritime.fr/archinoe/visu_affiche.php?PHPSID=k2i67avr4lq83ek156hogie4l6&param=visu&page=1, page 3). Peut être faut il lui reprocher le terme « coctif », vu plus haut et non identifié ? ",
1,"coity, conty, coitif, coïtif, coëtif, coctif, corty, couëtis","coati en grande partie mais il existe des toiles de coity, savary vol. 3; et attention également à couty, coutil",
1,çoka,,
0,colette,Sorte de toiles qu'on tire de Hollande ou de Hambourg pour les Canaries où les Anglais en portent beaucoup (Savary) ,
0,colle de poisson,List de Wallis : Isinglass is a substance obtained from the dried swim bladders of fish. It is a form of collagen used mainly for the clarification or fining of wine and beer. It can also be cooked into a paste for specialized gluing purposes. ,
0,collet,« Partie d’un vêtement au niveau du cou. » (Littré),
0,colombine,La laque colombine est une des 3 sortes de laques utilisées par les peintes. ,
1,colonne,"Peut désigner plusieurs choses, selon les divers dictionnaires : un morceau de bois, un outil, un instrument de distillerie, … ",
0,colophane ou Spingler,"D’après le Littré, le colophane est la « matière résineuse, sèche, transparente, jaune ou brune, qui est le résidu de la distillation de la térébenthine. » Le Savary écrit lui « colophone » ",
0,coloquinte,"Savary, volume 2, 1748 : « ou COLLOQUINTE. […] commerce assez considérable […] Ce fruit est assez d'usage en Médecine où il doit cependant être employé avec prudence, étant une drogue des plus purgatives, & quelquefois d'une telle force, ou d'u ",
0,combari,"bois des Antilles (Dictionnaire universel de la géographie commerçante, Jacques Peuchet, volume 2, p. 566, entrée « Antilles »)",
0,"combary, courbary (bois de)","bois de courbaril, Xycol. ",
1,composition de chimie,Difficilement identifiable sans plus de détails… ,
1,conducteur,"Le Littré donne, entre autres, la définition suivante : « instrument employé autrefois dans l'opération de la taille par le grand appareil. » Le Savary n’en donne pas. ",
0,confection,"Savary, volume 2, 1748 : « Terme d'Epicier Droguiste. Espèce de remède en forme d'électuaire solide. » ",
0,confection d'alkerme,"Savary, volume 2, 1748 : « On la met du nombre des meilleurs cardiaques et on l'emploie volontiers pour la palpitation de coeur et la syncope » ",
0,confection d'hyacinte,"Savary, volume 2, 1748 : « à peu près les mêmes vertus que celle d'Alkerme : il u entre pourtant le triple des drogues… » ",
0,connoissement,"Savary, volume 2, 1748 : « Espèce d'acte, ou de reconnaissance, sous signature privé, que le maître, ou le capitaine d'un navire, donne à un marchant, des marchandises qu'il a fait charger à son bord. » ",
0,conterie,"Terme de commerce. Grosse verroterie de Venise, dont on se sert surtout pour commercer avec les nègres. ",
0,contrahierba,"Savary, volume 2, 1748 : CONTRA-YERVA, apporté du Perou ou de la Nouvelle Espagne, « un alixitere, ou contre-poison souverain » ",
0,contre-bordé,"Jean Baptiste Le Rond d' Alembert, Encyclopédie volume 36,article Rassade : type de verroterie. ",
0,conty,"Erreur de retranscription : il est écrit « couty », que certains copistes peuvent avoir confondu avec « coutil », qui est une « toile serrée et lissée, propre à envelopper des matelas, des oreillers, à faire des tentes, des habits d'été, des robes. » selon le Littré. ",
0,copal,Le copal est une résine semi-fossile ou sub-fossile que l'on trouve principalement en Afrique et en Inde.  ,
0,coque levant,"Savary, volume 2, 1748 :  « sorte de fruit […] sert à faire mourir la vermine et à endormir le poisson », C'est aussi un stimulant respiratoire utilisé comme antidote dans les cas d'empoisonnement aux barbituriques ou à la morphine. ",
1,coquenard (de cuivre) ,"Difficile de juger la retranscription (Source : Nantes -- 1763 -- Exports – AD44_C716.pdf, page 13) ; marchandise inconnue des dictionnaires, qui n’apparaît qu’une seule fois dans la BDD. ",
0,coquille de nacre,"Cf. P.H.Wallis  : coquilles dite nacre de perle, utilité médecine ??? ",
0,corail,Liste Wallis : semi-precious stone ,
0,corailleur,« Un corailleur est une personne qui pêche le corail afin de le revendre. » (wiki),
0,coraline,"savary, volume 2, 1748 : « Espèce de plante qu'on trouve attachée aux rocher, aux coquilles et même au corail. » ",
0,coraline fine,"Savary, volume 2, 1748 : « Plante qu'on trouve attachée aux rochers, aux coquillages» ",
1,cordayer (bois),Certainement une erreur de retranscritpion   peut être « bordayer » ? (Source : Objet Général -- 1767 – IIHS_122A.pdf),
0,"cordeillat de provence existe, orthographiés cordeillars par google lisant savary",voir cordeillat ,
0,"cordeillat, cordeillard, cordeillard","graphie ""cordeillat"" dans Savary Dictionnaire 3, p. 1135, article ""Réglements pour les longueurs, largeurs, qualités et frabriques des draps"". ",
0,cordelats,"D’après le Savary, un « cordelat » est une « étoffe de laine » , plutôt grossière. ",
0,cordillaterie,étoffe de laine grossière du Languedoc semble-t-il. ,
0,cordouan,"espèce de maroquin, artilcle 'Cordouan"", Savary, Dictionnaire 2. ",
0,cordouan,Sorte de cuir dont on fait communément des souliers ,
0,coriandre,"Savary, volume 2, 1748 : « Outre les dragées de Coriandre que l'on fait, et dont les meilleures viennent de Verdun cette graine a quelque usage dans la médecine », s'utilise dans les remèdes et concoctions.ne pas confondre avec l'article homonyme ""jayet"", résidu de bitume]. ",
1,corinthes,,
0,cornaline,"Savary, volume 2, 1748 : « Pierre précieuse » ",
0,corne de cerf,"Cf. P.H.Wallis  : Harts horn (Ceruus is deer), burned ",
1,coroas,"Importé de Hollande, une seule fois dans la BDD ; Voir « coroot » ; ce mot et ses approximations désignent certainement une seule et même marchandise, dont la graphie hollandaise fut mal traduite par les copistes français. ",
1,coroos,"Voir « coroot » ; ce mot et ses approximations désignent certainement une seule et même marchandise, dont la graphie hollandaise fut mal traduite par les copistes français. ",
1,coroot,"Plusieurs occurrences dans la BDD, toutes importées de Hollande. Traduction inconnue. Peut donner « coracine » en traduisant littéralement, qui est une espèce d’oiseau. ",
0,coroots,"Voir « coroot » ; ce mot et ses approximations désignent certainement une seule et même marchandise, dont la graphie hollandaise fut mal traduite par les copistes français. ",
1,coros,"Voir « coroot » ; ce mot et ses approximations désignent certainement une seule et même marchandise, dont la graphie hollandaise fut mal traduite par les copistes français. ",
0,"corot, corots, coros, korot","korot, ""Etoffe propre à la traite"" fabriquée à Rouen, Jacques Peuchet, Dictionnaire universel de la geographie commercante, vol. 5, Paris ",
1,corots,"Voir « corot »  (""Etoffe propre à la traite"" fabriquée à Rouen, Jacques Peuchet, Dictionnaire universel de la geographie commercante, vol. 5, Paris) ",
1,corou,"Plusieurs occurrences dans la BDD, toutes importées de Hollande. Traduction inconnue. ",
1,"corou, coros, corroos, corrots, corots, coroots, coroos, corvos, curous peut-être","Voir « coroot » ; ce mot et ses approximations désignent certainement une seule et même marchandise, dont la graphie hollandaise fut mal traduite par les copistes français. ",
0,corps piqué,"D’après Wikipédia et d’autres sources, un corps piqué est l’équivalent (ou la partie majeure) d’un corset. ",
1,corsane,"A priori pas d’erreur de retranscription (Source : http://charente-maritime.fr/archinoe/visu_affiche.php?PHPSID=11f87u46lg3qk8inksb6ln0i91&param=visu&page=1, page 2) ; en revanche, le terme est inconnu des dictionnaires, certainement car il est d’origine hollandaise. ",
0,costus,Costus est un genre d'environ 150 espèces de la famille des Costaceae. Il est présent dans toutes les régions tropicales. Cf. P.H.Wallis ,
0,costus,"racine d'un arbre, article ""Costus Arabicus"", Savary, Dictionnaire 2. ",
1,cotenis,"Gros doute sur la retranscription (Source : Nantes -- 1746 -- Exports – AD44_C706.pdf, page 2) ; marchandise inconnue des dictionnaires. ",
0,cotinus,"Il s’agit d’une plante, ou plutôt d’un genre de plantes selon wikiédia. En revanche, la marchandise est introuvable, ni dans la BDD centrale ni dans les sources étrangères… ",
0,cotomine,"Cotoninne, ""grosse toile à chaîne de coton & trame de chanvre , dont on se sert pour les voiles des galeres"", Encyclopédie, article ""Cotonnine"". ",
1,coton ???,Necessite plus de détails… Emplacement ? Mot suivant ? ,
0,coton en mêche,Mèches de coton pour chandelles et lampes ,
1,coton filé et non filé,"Selon Wikipédia, « le filage est le fait de produire des fils textiles à partir de divers matériaux bruts. ». Il faut donc distinguer le coton filé du coton qui ne l’est pas. ",
1,"cotonette, cotonnette","étoffe de coton bon marché, CNRTL article coton",
0,cotonnée,"« Cotonnées, qu'on nomme aussi toisette. Petites étoffes qui se fabriquent en Hollande, ainsi appelées à cause qu'on y emploie du coton » (Savary) ",
0,cotonnille,Cotonnille ou basin uni (Dictionnaire Expilly) ,
0,cotonnine,« Grosse toile dont la chaîne est de coton et la trame de chanvre » (Savary),
0,"cotonnis, cotonis","« Les couvertures cotonnis sont des couvertures de satin, aussi des Indes, d’environ 2 aunes et 1/4 de large sur 2 aunes 1/2 de long. » (Savary)",
0,couffe à boulanger,Larousse : « Synonyme de couffin » ,
0,couffes,"D’après le Littré, couffe désigne « (Terme de commerce.) Sorte de balle, de panier usité à Marseille et dans le Levant. »  ",
1,couffins/coussins à vérifier, ,
1,coulette (bois de),"Une seule occurrence, peut être une erreur de restranscription : corlette, carlette, conlette ? (Source : Rouen et Caen -- 1771 -- CCI_Rouen_Carton_VIII_110 (B&W).pdf) ",
0,couperose,"Savary, volume 2, 1748 : « Minéral qui se trouve dans les mines de cuivre » ",
0,coupil/coupis/coups?,"Multiples erreurs de retranscription : « coupil » et « coups » (quand ce dernier est utilisé seul) correspondent à chaque fois à « coupis », qui peut désigner 1) Toile de coton des Indes, d’après le Savary et 2) Élévation verticale entre le pont coupé et le reste du pont. (Terme de marine), d’après le Littré. ",
0,coupis,"« Coupis : Toiles de coton a carreaux, qu'on apporte des Indes Orientales, particulièrement de Bengale. » (Savary) ",
0,coups,"Erreur de retranscription : c’est « coupis », qui sont des « Toiles de coton a carreaux, qu'on apporte des Indes Orientales, particulièrement de Bengale. » (Savary) ",
0,courbant adj.,"Bois de construction qui n'est pas droit, pièces dont les fibres suivent une certaine courbure. In Dictionnaire de Marine par J.-B. P. Willaumez, 3e édition, 1831, p. 187. On trouve également « Courbe » comme nom de marchandise. ",
1,courgousson,,
1,cousus,"Doutes sur le retranscription (Source : Nantes -- 1763 -- Imports -- AD44_C716 (B&W).pdf, page 7) ; une seule occurrence dans la BDD. ",
1,coutil/couty: la même chose? ou 2 tissus séparés?,"D’après le Littré, un coutil est une « toile serrée et lissée, propre à envelopper des matelas, des oreillers, à faire des tentes, des habits d'été, des robes. ». Il est précisé que le « l » ne se prononce, ce qui accrédite la thèse du coutil=couty ",
0,coutres,"D’après le Littré, un coutre est un « espèce de fort couteau en fer, à lame courte, à tranchant mousse, à dos épais, adapté, en avant du soc, à la flèche de la charrue, et servant à fendre la terre ». L’objet est aussi mentionné dans le Savary, quoique pas défini. ",
1,couvertes=couvertures?,"Une seule occurrence pour « couvertes » au sens « couvertures » (« couvertes de laines » dans le registre) ; une autre occurrence du mot pour la marchandise « barbues ; couvertes ; d’étamine », où le sens est sensiblement différent.  ",
0,crabe (bois de),"bois crabe, nom de bois du Brésil, Xycol. ",
1,crane de cire,,
1,crane de graine,,
0,crapaudine,Petites grilles qui protègent une entrée ,
0,crasse de cire,"« C’est la croûte noire qu’on a enlevée de dessus les pains de cire. C’est aussi l’écume qu’on retire de la cire lorsqu’elle est en fusion pour la purifier. » (Tarif chronologique des douanes de l’empire français, Dujardin-Sailly, 1813, p. 49)",
0,crème,"Savary, volume 2, 1748 : « La partie la plus épaisse du lait dont se fait le beurre » ",
0,crème de tartre,"Savary, volume 2, 1748 OU CRISTAL DE TARTRE : « C'est du Tartre préparé d'une autre manière, mais différente selon que cette drogue doit servir ou à la Médecine, ou à la teinture. » ",
0,crépine,frange à fils longs et à tête large ouvragée à jour faisant partie (Savary),
0,crépon,Etoffe de soie (Savary) ,
0,creseau,"Crèseau, ""grosse toile très claire"", article ""Carisel ou Creseau"", Savary, Dictionnaire 2. ",
0,cresse,"Selon le Littré, c’est un des noms donnés à la passerage, qui est une « plante crucifère qu'on croyait bonne pour la rage » ",
0,cretonne,"Savary, volume 2, 1748 : « Cretonne : Sorte de toile blanche qui se fabrique en Normandie [...] chaîne de chanvre et la tréme de lin.» ",
1,creuse de sartre,"Il s’agit très probablement d’une erreur de retranscription (Source : 1789 - Importations - Direction de Lille – AN_F12_1667.pdf, page 42) ; en revanche l’écriture du copiste est très difficile à lire ",
1,crise,Difficile sans plus de détails de trouver un autre sens à ce terme que celui qu’on connaît aujourd’hui... ,
0,cristal fondu,"Simplement du cristal, fondu (la technique de fusion du cristal est ancienne). ",
0,cristalin,"D’après le Savary, c’est une espèce de verre, que l’on fait avec de la foude d’Alicant et du sablon vitrifés ensemble.  ",
1,cristallin,,
1,crockfish,,
1,croisé noir,"Est marqué d’une petite croix dans le registre du copiste (Source : Rennes -- 1780 -- Imports -- AD44_C717 (B&W) .pdf, page 8) ; signifie « entrelacement en croix de ficelle, de corde. » d’après le Littré. ",
1,crons et débris de maison,"D’après le Littré, le « cron » est une « terre sablonneuse où l'on voit beaucoup de débris de coquillages. » ",
0,crottelin,"Hécart, Dictionnaire Rouchi-Français, article""Crotelin"", ""petite laine, parce qu'elle est ordinairement pleine de crottin, et qu'elle en a la forme"". Marchandise assez curieuse ainsi énoncée, qui en outre n’apparaît pas dans la BDD centrale. ",
1,crussets,"Certainement une erreur de retranscription (Source : Nantes -- 1763 -- Imports – AD44_C716.pdf, page 7), mais le terme reste difficile à identifier. Une seule occurrence dans la BDD.  ",
1,crustas,"Probablement une erreur de retranscription (Source : Rennes -- 1771 -- Imports -- AD44_C717 .pdf, page 3), en faveur de « cristaux » éventuellement ? Ou à rapprocher des termes « curlas, curtas, etc » ? Une seule occurrence dans la bdd ",
0,cubeber," sorte de baie de poivre utilisé à la fois comme épice et médicament Savary, volume 2, 1748 : « ou POIVRE A QUEUE, fruit qui est du nombre des drogueries & épiceries. » ",
0,cuir de russie,cuirs de Roussie ,
1,cuireaux à faire colle de mouton,"La graphie du copiste est parfaitement lisible (Source : Rouen et Caen -- 1738 – CCI_Rouen_Carton_VIII_110.pdf, page 68), mais ni le Savary ni les autres dictionnaires ne donnent une définition du mot « cuireau ». ",
0,cuirs d'alun jaunes,"Selon Wikipédia, l’alun fut régulièrement utilisé dans la confection du cuir pour le rendre imputrescible. ",
0,cuirs de fer et en poil,"D’après Wikipédia, il s’agit simplement d’une variation du cuir. ",
0,cumin,"CARVI ou CUMIN : Savary, volume 2, 1748 : « Est d'usage dans la médecine où elle est employée avec succès dans le vertige, dans les coliques venteuses, et dans les enflures de bas ventre, que l'on nomme Hydropisie Tympanique. On l'estime encore ",
0,"curcuma, terramerita","CURCUMA ou TERRAMERITA (Savary), WIKI : Le curcuma est reconnu dans les médecines traditionnelles indiennes et chinoises et en Occident pour ses propriétés antioxydantes. Il aide l’organisme à lutter contre le stress et à maintenir l’efficaci ",
1,curlas,"La retranscription semble tout à fait correcte (Source 1 : Objet Général -- 1754 – BMRouen_Ms_Montbret_155-1.pdf, page 44). Pour autant, le terme est inconnu des dictionnaires. A rapprocher du terme « curtas » ? ",
1,curtas,"Plusieurs occurrences dans la BDD, sans erreur de retranscription a priori. A rapprocher du terme « curlas » ? ",
0,cuscute,"genre de plante parasite, article ""Cuscute"", Encyclopédie. ",
0,cuscutes luzerne,"Selon wikipédia, « les cuscutes parasitent de nombreuses espèces végétales, dont un certain nombre de plantes cultivées, comme la LUZERNE, le lin, le trèfle, la pomme de terre, le chrysanthème, le dahlia, la bignone, le lierre ou le pétunia. » ",
1,custar,"Seulement deux occurrences dans la BDD (une au singulier, l’autre au pluriel), sans pour autant qu’on puisse être sûr d’une erreur de retranscription. ",
1,custas,"Nombreuses occurrences dans la BDD, et il ne semble pas y avoir d’erreur de retranscription.  ",
1,"custas, cuslar, cuslas, curlas, curtas","Voir les remarques faites pour chacun des termes. A noter que le commerce de ces marchandises est uniquement fait avec la Guinée ou la Hollande, et toujours depuis une ville de la façade atlantique (Rouen, Nantes, La Rochelle, etc) ",
0,d'Anjou et de Touraine,"L’anjou est une région culturelle française, tandis que la Touraine en est une ancienne province. ",
1,d'une valeur moindre de deux mille francs chacun,Quelle marchandise y a-t-il à identifier ici ? ,
0,damassin,« espèce de damas à fleurs d’or ou d’argent » (Savary),
0,dame-jeanne,"Bonbonne de verre ou de grèsVve Estienne et Fils, 1748 [Ci-après Savary, Dictionnaire 3, p. 487, 503. ",
0,dariabadis, Toile de coton blanche que l'on tire de Surate (dictionnaire universel du commerce),
0,darins,"Savary, volume 2, 1748 : « Les étoffes qui sont défendues, sont les allegeas d'herbe […] les darins, les armoisins » « toiles ordinaires qui se fabriquent en Champagne », article ""Darins"", Encyclopédie. ",
0,"dauphine, daufine","petit droguet de laine non croisé, article ""Dauphine"", Encyclopédie. Graphie ""daufine"" attestée, CNRTL, article ""Dauphine"". ",
1,de haut,Impossible à définir sans plus de détails sur la marchandise qu’il qualifie…  ,
0,de tafia,"Selon le Wiktionnaire, le tafia est une « eau-de-vie de canne à sucre, fabriquée avec les écumes et les gros sirops. » ",
1,de ville,Utilisé pour qualifier mille choses de milles manières différentes… Impossible de donner une définition générale. ,
0,degras,"Savary, volume 2, 1748 : « On appelle ainsi l'huile de poisson » ",
0,dégras,"nom qu'on donne à l'huile de poisson qui a servi à passer des peaux en chamois, article ""Dégras"", Encyclopédie. ",
1,delimineas,,
0,"demite, demitte","Toile de coton, article ""Scamite"", Savary, Dictionnaire 3. ",
0,demitte,"Voir « demite », ci dessus. ",
0,demoiselle,"Savary, volume 2, 1748 : « Cylindre, ou pièce de bois […] Principal outils des paveurs de grands échantillon, qui s'en servent pour battre le pavé. » ",
0,denrée divers,"Savary, volume 2, 1748 : « Toute marchandise ordinaire […] les grosses comme le blé, le vin, le foin, le BOIS &c. les menues comme les fromages, les fruits, les graines… » ",
1,der demi-plat,,
0,derle,"Défini par le Littré comme une « terre à porcelaine ; argile propre à faire de la belle faïence, de la porcelaine. » ",
0,des ci-devant provinces d'Alsace,"Simplement des indications sur le provenance de telle ou telle marchandise. A noter que le terme « ci-devant », qui signifie « auparavant », a pris un nouveau sens au moment de la révolution, afin de désigner un lieu, une personnalité ou un régiment qui a vu ses privilèges abolis lors de la chute de l’ancien régime. ",
0,des ci-devant provinces de Bourgogne,"Simplement des indications sur le provenance de telle ou telle marchandise. A noter que le terme « ci-devant », qui signifie « auparavant », a pris un nouveau sens au moment de la révolution, afin de désigner un lieu, une personnalité ou un régiment qui a vu ses privilèges abolis lors de la chute de l’ancien régime. ",
0,des ci-devant provinces de Provence,"Simplement des indications sur le provenance de telle ou telle marchandise. A noter que le terme « ci-devant », qui signifie « auparavant », a pris un nouveau sens au moment de la révolution, afin de désigner un lieu, une personnalité ou un régiment qui a vu ses privilèges abolis lors de la chute de l’ancien régime. ",
0,des ci-devant provinces du Languedoc,"Simplement des indications sur le provenance de telle ou telle marchandise. A noter que le terme « ci-devant », qui signifie « auparavant », a pris un nouveau sens au moment de la révolution, afin de désigner un lieu, une personnalité ou un régiment qui a vu ses privilèges abolis lors de la chute de l’ancien régime. ",
1,despeigne,,
0,dévidoir,"Savary, volume 2, 1748 : « Instrument qui sert à dévider » ",
1,diables de mer,,
1,diactamy en fleurs,,
0,diagedum,"?, Cf. P.H.Wallis Vve Estienne, 1741, p. 559 [ci-après Savary, Dictionnaire 1], article ""Abagi"". ",
,diagrede,"Encyclopédie ou dictionnaire raisonné des sciences, des arts et des métiers : DIAGREDE, s. m. (Pharm.) c'estla seammonée préparée ou corrigée pour les usages de la Medecine. Cette préparation se fait ordinairement, en faisant cuire la scammonée dans un coing, & alors on l'appelle diacrydum cydoniatum: d'autres lui font recevoir la vapeur du soufre allumé, & l'appellent diagrede soufré, diagrydium sulphuratum. Il y en a qui l'incorporent avec une quantité suffisante d'esprit de vitriol rosat pour en faire une pâte liquide, qu'on met ensuite sécher au soleil ou à un petit feu: ils appellent cette préparation diagrede rosat. Le but qu'on a dans toutes ces préparations, estde corriger la scammonée; mais on prétend qu'elle n'a pas besoin de correction, & qu'on peut l'employer dans son état naturel. Voyez Scammonée. Dictionn. de Trév. & Chambers.",
1,dialbequier,"Une seule occurrence dans la BDD, dont la retranscription ne semble pas mauvaise (Source : Marseille -- 1739 -- Imports – CCI_Marseille_I_29.pdf, page 21). Sens inconnu. ",
1,dialbequier,,
0,dictame,"Plante aromatique de la famille des Labiées, dans laquelle les Grecs voyaient un puissant vulnéraire, CNRTL. ",
0,dictamus,"Nicolas Lémery, Nouveau dictionnaire général des drogues simples et composées, Volume 1, 1807 : « On nous les apporte sèche de l'Italie et de nos départements méridionaux elles sont nervales, anthelmintique, ménagogues » ",
1,dimelle,"A priori pas d’erreur de retranscription, mais ce terme n’apparait qu’une seule fois et est absent des différents dictionnaires. (Source : Objet -- 1750 -- Flandres – SB_8MS86.pdf, page 16) ",
0,"dissouchaie, dissouchaye, dissoucbaye, dissouchaïe, dissouchaïs","Dissouchaye, Mousseline importée d'Inde; cf. chap. Les mousselines, ESTABLET, Colette. Répertoire des tissus indiens importés en France entre 1687 et 1769‎ [en ligne]. Aix-en-Provence : Institut de recherches et d'études sur le monde arabe et musulman, 2017 ",
1,ditors,"A priori ce n’est pas une erreur de retranscription (Source : http://charente-maritime.fr/archinoe/visu_affiche.php?PHPSID=unb38jj23aotq5rtd9cfd84h91&param=visu&page=1, page 3). La marchandise n’apparaît que deux fois dans la BDD, importée de Hollande jusqu’à La Rochelle. ",
0,dividivi,"Fait référence à un arbre, le Caesalpinia coriaria (Wikipédia) ",
0,doloirs,"D’après le Littré, c’est une « sorte de couteau de gantier pour doler les peaux. » ",
0,doraze,"Très certainement une erreur de retranscription (Source : Objet Général -- 1782 – AN_F12_249bis.pdf, page 61) mais il est difficile de dire quel terme le copiste a voulu écrire. Il n’y qu’une seule occurrence dans la BDD. ",
