marchandises_simplification,provenance_nord_américaine,details_provenance,obsolete
dentelle d'or et d'argent fin,,,non
dentelle d'or faux,,,non
dentelle d'or fin,,,non
dentelle de Caen,,,non
dentelle de chanvre et de lin,,,non
dentelle de coton et blonde de coton,,,non
dentelle de fer,,,non
dentelle de fil,,,non
dentelle de fil 2 lignes,,,non
dentelle de fil blanc,,,non
dentelle de fil blanc commune,,,non
dentelle de fil blanc de Lille,,,non
dentelle de fil commune,,,non
dentelle de fil d'Alençon,,,non
dentelle de fil d'or faux,,,non
dentelle de fil d'or fin,,,non
dentelle de fil de ??? et Reims,,,non
dentelle de fil de Bergame,,,non
dentelle de fil de Caen,,,non
dentelle de fil de crin,,,non
dentelle de fil de Flandre,,,non
dentelle de fil de laine,,,non
dentelle de fil de lin,,,non
dentelle de fil de Normandie,,,non
dentelle de fil de soie,,,non
dentelle de fil dorure d'argent,,,non
dentelle de fil du Puy,,,non
dentelle de fil du Puy et ???,,,non
dentelle de fil et de soie,,,non
dentelle de fil et soie,,,non
dentelle de fil et tulle,,,non
dentelle de fil et Valenciennes,,,non
dentelle de fil fine,,,non
dentelle de fil grosse,,,non
dentelle de Flandre,,,non
dentelle de Lille,,,non
dentelle de Malines,,,non
dentelle de Normandie,,,non
dentelle de Rouen,,,non
dentelle de soie,,,non
dentelle de soie au quart,,,non
dentelle de soie blanche,,,non
dentelle de soie blonde,,,non
dentelle de soie de Rouen,,,non
dentelle de soie et de fil,,,non
dentelle de toute autre sorte que soie,,,non
dentelle dorure d'argent,,,non
dentelle dorure d'argent et d'or,,,non
dentelle dorure d'or,,,non
dentelle dorure d'or faux,,,non
dentelle du Havre,,,non
dentelle du Puy,,,non
dentelle en coiffures et manchettes,,,non
dentelle en dorure,,,non
dentelle et blonde,,,non
dentelle et galon et passementerie,,,non
dentelle et galon et passementerie et ruban,,,non
dentelle fine,,,non
dentelle grosse,,,non
dentelle mi soie,,,non
dents d'éléphant,Hors Amérique du Nord,Afrique,non
dents d'éléphant entières,,,non
dents d'éléphant entières des entrepôts,,,non
dents d'éléphant sciées,,,non
dents d'éléphants,,Afrique,oui
dents de cheval marin,,,non
dents de chien marin,,,non
dents de morphil,Hors Amérique du Nord,Afrique,non
dents de vache marine,Exclusivement Amérique du Nord,,non
der demi-plat,,,non
derle,,,non
dés,,,non
dés à coudre,,,non
dés à coudre de cuivre,,,non
dés à coudre de cuivre et fer,,,non
dés à coudre de fer,,,non
dés à jouer,,,non
dés d'acier,,,non
dés de cuivre,,,non
dés de fer,,,non
dés de laiton,,,non
despeigne,,,non
dessins de papier,,,non
dessus de souliers brodés,,,non
dessus de table de marbre,,,non
devant de vestes,,,non
devant de vestes de basin,,,non
dévidoir,,,non
diables de mer,,,non
diactamy en fleurs,,,non
diagedum,,,non
diagrede,,,non
dialbequier,,,non
diamant et perle et pierre fine,,,oui
diamants,,,non
diamants brutes,,,non
diamants bruts,,,non
diamants fins,,,non
diamants perles et pierres fines,Hors Amérique du Nord,,non
diamants perles et pierres fines non montés,,,non
diamants taillés,,,non
dictame,,,non
dictionnaire du commerce,,,non
dictionnaire hollandais,,,non
dimelle,,,non
dimitte et futaine,,,non
dindes,,,non
dindonneaux,,,non
dindons,,,non
dissouchaie,,,non
distillats,,,non
ditors,,,non
divers,Intraitable,,non
dividivi,,,non
doloirs,,,non
domino,,,non
dominoterie,,,non
dominoterie en images,,,non
dominoterie et cartes géographiques,,,non
doraze,,,non
doreas,,,oui
doréas,,,non
doreas de Zurich,,,oui
doréas de Zurich,,,non
dorpins en pierre,,,non
dorure,,,non
dorure en galon fine,,,non
dorure et soie,,,non
dorure fausse,,,non
dorure fausse en or et argent,,,non
dorure fausse en or et argent battu tiré et laminé,,,non
dorure fausse et fine,,,non
dorure filée,,,oui
dorure fine,,,non
dorure fine en galon d'or,,,non
dorure fine sur soie,,,non
dos gorges et ventres de fouines martes et renard,,,non
dos gorges et ventres de petit gris,,,non
dos gorges et ventres de petit-gris,,,oui
dospin en pierre,,,non
dossiers de chaises,,,non
doublage de bois de pin,,,non
doublures de martre pour habits,,,non
doublures de petis gris,,,non
douelles,Hors Amérique du Nord,,non
douelles à barils,Hors Amérique du Nord,,non
douelles à barrique,,,non
douelles à barriques,,,non
douelles à barriques 3m 1/8,,,non
douelles à barriques vieilles,,,non
douelles à bottes,,,non
douelles à busses,,,non
douelles à cuve,,,non
douelles à fond,,,non
douelles à pièce,,,non
douelles à pipe,Hors Amérique du Nord,,non
douelles à quart,,,non
douelles à tierçons,,,non
douelles à tonneau,,,non
douelles à tonneau vieilles,,,non
douelles de chêne,,,non
douelles de sapin,,,non
douelles en barriques,,,non
douelles fonçaille,,,non
douelles fonçaille 2m 1/2,,,non
douelles ganivelles,,,non
douelles pour barrique,,,non
douelles vieilles,,,non
doutis,,,non
douvain,,,non
douvelles,,,non
douvelles de sapin,,,non
douves,,,non
douves à tonneaux,,,non
douves de deux pouces,,,non
drache,Hors Amérique du Nord,,oui
drache de bière,,,oui
dracodium,,,non
dragée,,,non
dragée de Keyser,,,non
dragées,,,non
dragonnes,,,non
dragonnes d'épée,,,non
drague de bière,,,non
drap,,,non
drap 20 lignes,,,non
drap à doubler,,,non
drap à la valeur,,,non
drap à matelot,,,non
drap à nègre,,,non
drap à sucre,,,non
drap anglais,,,non
drap au 6ème de soie,,,non
drap au sixième de soie,,,non
drap avarié,,,non
drap blanc,,,non
drap blanc d'Espagne,,,non
drap blanc de Bremer,,,non
drap blanc de douzaine,,,non
drap blanc de douzaine aune,,,non
drap blanc de Hollande,,,non
drap blanc de laine,,,non
drap blanc du Nord,,,non
drap blanc et écarlate,,,non
drap blanc fin,,,non
drap blanc par aune,,,non
drap bleu,,,non
drap brodé au ciseau en soie,,,non
drap brodé de soie,,,non
drap brodé en or et argent,,,non
drap brodé en soie,,,non
drap buras,,,non
drap bure,,,non
drap cad ???,,,non
drap calimouk de Sedan 20 lignes,,,non
drap calimouk de Sedan 350 lignes,,,non
drap callemande,,,oui
drap cammise,,,non
drap casimir,,,oui
drap commun,,,non
drap cordeillat,,,non
drap cordeillat de Colmar,,,non
drap cosinis,,,non
drap crêpe,,,non
drap crêpe de Reims,,,non
drap d'Abbeville,,,non
drap d'Amboise,,,non
drap d'Amiens,,,non
drap d'Andelis,,,non
drap d'Andelys,,,non
drap d'Angleterre,,,non
drap d'Angleterre aune,,,non
drap d'Angleterre et draps d'Espagne et draps de Hollande,,,non
drap d'argent et d'or et de soie,,,non
drap d'Arnetal,,,non
drap d'aucrin,,,non
drap d'Aumale,,,non
drap d'Elbeuf,,,non
drap d'Elbeuf de retour,,,non
drap d'Elbeuf de velours,,,non
drap d'Espagne,,,non
drap d'Espagne aune,,,non
drap d'Espagne teint,,,non
drap d'estames,,,non
drap d'or et d'argent fin,,,non
drap Damas,,,non
drap dauphine,,,non
drap de ?,,,non
drap de Beauvais,,,non
drap de Bergopzoom,,,non
drap de billard,,,non
drap de Bolbec,,,non
drap de Bourbon,,,non
drap de bourbon peint,,,non
drap de Carcassonne,,,non
drap de Carcassonne et écarlate,,,non
drap de castor,,,non
drap de castor par aune,,,non
drap de cérémonie,,,non
drap de Champagne,,,non
drap de Cherbourg,,,non
drap de Cobras gros,,,non
drap de Colmar,,,non
drap de cordeillat,,,non
drap de coton,,,non
drap de coton et de fil,,,non
drap de coton et étoffe de coton,,,non
drap de coton et teint,,,non
drap de coton et velours de coton,,,non
drap de coton imprimé,,,non
drap de dauphine,,,non
drap de dorure et soie,,,non
drap de douzaine,,,non
drap de douzaine et teint,,,non
drap de douzaine teint aune,,,non
drap de droguet,,,non
drap de Falaise,,,non
drap de fil vieux,,,non
drap de France,,,non
drap de Glasier,,,non
drap de glaster,,,non
drap de Glaster,,,non
drap de glastes,,,non
drap de Glates,,,non
drap de Glouster,,,non
drap de Hollande,,,non
drap de Hollande teint,,,non
drap de julienne,,,non
drap de Korook,,,non
drap de la Bouille,,,non
drap de laine,,,non
drap de laine au ??? de soie,,,non
drap de laine au quart de soie,,,non
drap de laine avarié,,,non
drap de laine brodé de soie,,,non
drap de laine commun,,,non
drap de laine cordeillat,,,non
drap de laine d'Amiens,,,non
drap de laine d'Andelys,,,non
drap de laine d'Elbeuf,,,non
drap de laine de Beauvais,,,non
drap de laine de cordeillat,,,non
drap de laine de Cours,,,non
drap de laine de Lille,,,non
drap de laine de Louviers,,,non
drap de laine de Nanrabais,,,non
drap de laine de Saint-Robert,,,non
drap de laine de Sedan,,,non
drap de laine de Van Robais,,,non
drap de laine de Vir,,,non
drap de laine diverse,,,non
drap de laine draperie diverse,,,non
drap de laine et de soie,,,non
drap de laine et petits et étoffes,,,non
drap de laine fin,,,non
drap de laine gros,,,non
drap de laine londrin,,,non
drap de laine pour les troupes,,,non
drap de Languedoc,,,non
drap de Languedoc ordinaire,,,non
drap de Latte,,,non
drap de Lille,,,non
drap de Limbourg,,,non
drap de Limoux,,,non
drap de lin,,,non
drap de lin ayant servi,,,non
drap de lin vieux,,,non
drap de linge commun,,,non
drap de lit,,,non
drap de lit ayant servi,,,non
drap de lit commun,,,non
drap de lit neuf,,,non
drap de lit toile de lin,,,non
drap de lit vieux,,,non
drap de Lodève,,,non
drap de londrin,,,non
drap de Louviers,,,non
drap de Louviers au sixième de soie,,,non
drap de Louvres,,,non
drap de Lyon,,,non
drap de Maroc,,,oui
drap de Maroc teint de douzaine,,,oui
drap de montagne,,,non
drap de Montauban,,,non
drap de Montauban petite,,,non
drap de Moucu,,,non
drap de Nison,,,non
drap de Normandie,,,non
drap de pagnon,,,non
drap de Panguede,,,non
drap de Picardie,,,non
drap de Pie,,,non
drap de Pie aune,,,non
drap de Poitou,,,non
drap de Reims,,,non
drap de Reims fil ???,,,non
drap de Rome,,,non
drap de Romorntin,,,non
drap de Rouen,,,non
drap de Saint-Lô,,,non
drap de Sedan,,,non
drap de Sedan 220 lignes,,,non
drap de Sedan 25 lignes,,,non
drap de Sedan 78 lignes,,,non
drap de Sedan de retour,,,non
drap de Sedan de velours,,,non
drap de Ségovie,,,non
drap de Silésie,,,non
drap de Sir,,,non
drap de soie,,,non
drap de Soudrain,,,non
drap de Souvier,,,non
drap de Tours,,,non
drap de Van Robais,,,non
drap de vere,,,non
drap de vigogne,,,non
drap de Vir,,,non
drap demi fin de laine,,,non
drap des prise,,,non
drap des prises,,,non
drap dit packlaeken,,,oui
drap dit packlaeken aune,,,oui
drap dit packlaeken blanc,,,oui
drap dit packlaeken teint,,,oui
drap dit plawens,,,oui
drap dit plawens ou codde,,,oui
drap dit plawens ou codde aune,,,oui
drap divers ???,,,non
drap drache,,,non
drap drapée,,,non
drap draperie ???,,,non
drap du Berry,,,non
drap du Dauphiné,,,non
drap du Languedoc,,,non
drap du Languedoc de velours,,,non
drap du Maroc aune,,,oui
drap du Nord,,,non
drap du Nord teint,,,non
drap du Poitou,,,non
drap du sceau,,,non
drap écarlate,Hors Amérique du Nord,,non
drap écarlate et du Languedoc,,,non
drap et draperie,,,non
drap et draperie casinier,,,non
drap et draperie de laine,,,non
drap et étoffe,,,non
drap et étoffe de laine,,,non
drap et tricots,,,non
drap et velours de coton,,,non
drap étranger,,,non
drap fin,,,non
drap fin blanc,,,non
drap fin divers dit londrin du Languedoc de Carcassonne et Lodève,,,non
drap fin du Languedoc,,,non
drap fin et draperie,,,non
drap fin ordinaire et petite,,,non
drap fins de laine,,,non
drap frac,,,non
drap gaufré,,,non
drap gros,,,non
drap gros de laine,,,non
drap grossier,,,non
drap iada,,,non
drap imprimé,,,non
drap julienne,,,oui
drap kalmouk,,,non
drap layette,,,non
drap londrin,,,non
drap londrin petit,,,non
drap Maroc petit,,,oui
drap matine petit,,,oui
drap molleton,,,non
drap motton,,,non
drap moutade,,,non
drap native divers,,,non
drap naturel commun,,,non
drap naturel de Sedan,,,non
drap naturel diverses,,,non
drap naturel Sirre,,,non
drap noir,,,non
drap ordinaire,,,non
drap ordinaires de laine,,,non
drap palencourt,,,non
drap peint,,,non
drap petit,,,non
drap petit de Languedoc,,,non
drap petit de mains,,,non
drap petit de Sedan,,,non
drap petit de Silésie,,,non
drap petit dit raz Maroc,,,oui
drap petit du Maroc,,,oui
drap petit ratine,,,oui
drap platine,,,non
drap pour billau,,,non
drap pour doublures,,,non
drap ratine,,,oui
drap rouge bariolé,,,non
drap teint,,,non
drap teint d'Espagne et de Hollande,,,non
drap teint d'Espagne et de Hollande aune,,,non
drap teint et mêlé de douzaine,,,non
drap terlaine,,,non
drap uni,,,non
drap vert,,,non
drap vieux,,,non
drape petite,,,non
drapeaux,,,non
drapeaux vieux,,,non
drapeaux vieux pour papeterie,,,non
draperie et futaine,,,non
draps de coton,,,non
draps de coton et velours,,,non
draps de laine,,,non
drèche,,,oui
drêche,,,non
drêche de bière,,,non
drilles,,,non
drogue chimique et métallique diverse,,,non
drogue émeri,,,oui
drogue médicinale,,,non
drogue médicinale séné,,,oui
drogues,Hors Amérique du Nord,,non
drogues ???,,,non
drogues à peindre,,,non
drogues à teindre,,,non
drogues chimiques,,,non
drogues chimiques et métaliques,,,oui
drogues chimiques et métalliques,,,non
drogues chimiques et métalliques sublimé,,,non
drogues colorantes,,,non
drogues communes,,,non
drogues composées,,,non
drogues composées pour médecine ???,,,non
drogues composées pour médecine précipité,,,non
drogues d'apothicaire,,,non
drogues d'apothicaire commune,,,non
drogues de castor,,,non
drogues de misme,,,non
drogues de peinture en ocre rouge,,,oui
drogues de soie,,,non
drogues des Indes,,,non
drogues diverses composées,,,non
drogues diverses médicinales,,,non
drogues diverses pour peintures et teinture,,,non
drogues diverses réunies,Intraitable,,non
drogues du Languedoc,,,non
drogues émeri,,,non
drogues en plantes,,,non
drogues et épicerie,,,non
drogues et épiceries diverses pour peintures et teinture,,,non
drogues et graines diverses,,,non
drogues et jus et sirop de cerise et de grenade,,,non
drogues et soie et laine,,,non
drogues fines,,,non
drogues galle,,,non
drogues gomme médicinales diverses,,,non
drogues gomme métalliques diverses,,,non
drogues médicales naturelles,Intraitable,,non
drogues médicinales,,,non
drogues médicinales ???,,,non
drogues médicinales casse en ???,,,non
drogues médicinales en plantes diverses,,,non
drogues médicinales en rhubarbe composée,,,non
drogues métalliques,,,non
drogues métalliques ???,,,non
drogues métalliques et chimiques,,,non
drogues odorantes,,,non
drogues pour la médecine,,,non
drogues pour la peinture,,,oui
drogues pour la peinture et la teinture,,,oui
drogues pour la teinture,,,non
drogues pour les peintures et la teinture fnée platte,,,non
drogues pour les peintures et teinture gande,,,non
drogues pour peintures,,,non
drogues pour peintures et coiffures,,,non
drogues pour peintures et la teinture,,,non
drogues pour peintures et teinture,,,non
drogues pour peintures et teinture ???,,,non
drogues pour peintures et teinture composite,,,non
drogues pour peintures et teinture diverses,,,non
drogues pour peintures et teinture pae ???,,,non
drogues pour peintures et teinture semence,,,non
drogues réunies,,,oui
drogues sur soie,,,non
droguet,,,non
droguet d'Angleterre,,,non
droguet de castor,,,non
droguet de fil de laine,,,non
droguet de fil et de laine,,,non
droguet de fil et laine,,,non
droguet de Hollande,,,non
droguet de laine,,,non
droguet de laine des prises,,,non
droguet de laine et fil,,,non
droguet de milan,,,non
droguet de soie,,,non
droguet des prises,,,non
droguet et Maroc,,,non
droit sur vin de Blaye,,,non
droit sur vinaigre,,,non
drol et drouel,,,non
duc-d'Albe,,,non
duc-d'Albe de grés,,,non
duc-d'Albe de terre,,,non
duffel,,,non
duffel teint,,,non
duffel teint aune,,,oui
duves,Hors Amérique du Nord,,non
duvet,Hors Amérique du Nord,,non
duvet de plume,,,non
duvet de plume de canard cygne et oie,,,non
duyvelsteen,,,non
duyvelsterck,,,non
e ???,,,non
eau,,,non
eau à noirir tabac,,,non
eau citronnelle,Hors Amérique du Nord,,non
eau coclearia,,,non
eau cordiale,,,non
eau d'anis,,,non
eau d'arc,,,non
eau d'arquebusade,,,non
eau d'Esquebat,,,non
eau d'odeur,,,non
eau de balaruc,,,non
eau de Barbade,Hors Amérique du Nord,antilles,non
eau de bergamote,,,non
eau de Bristol,,,non
eau de bronze,,,non
eau de Bussang,,,non
eau de Bussingue,,,non
eau de cannelle,Hors Amérique du Nord,,non
eau de Carmes,,,non
eau de cédrat,,,non
eau de cèdre,,,non
eau de cerise,,,non
eau de Charente,,,non
eau de citron,,,non
eau de citron distillée,,,non
eau de citronnelle,Hors Amérique du Nord,,non
eau de coclearia,,,non
eau de Cologne,,,non
eau de composition,,,non
eau de Cordoue,,,non
eau de feuilles d'orange,,,non
eau de fleurs,,,non
eau de fleurs d'orange,Hors Amérique du Nord,,oui
eau de fleurs d'oranger,,,non
eau de fleurs de senteur,,,non
eau de fleurs fortes,,,non
eau de garance,,,non
eau de genièvre,,,non
eau de grain,,,non
eau de hongrie,,,non
eau de jasmin,,,non
eau de la Côte,,,non
eau de la reine de Hongrie,,,non
eau de lavande,,,non
eau de limon,,,non
eau de Marquette,,,non
eau de mélisse,,,non
eau de mer,,,non
eau de miel,,,non
eau de myrrhe,,,non
eau de naffle,,,non
eau de Naples,,,non
eau de nard,,,non
eau de Philipine,Hors Amérique du Nord,,oui
eau de Philippine,,,non
eau de pin,,,non
eau de Plombières,,,non
eau de poix,,,non
eau de poix raze,,,non
eau de raisin,,,non
eau de raison,,,non
eau de rave,,,non
eau de raze,,,non
eau de Rochefort,,,non
eau de romarin,,,non
eau de rose,,,non
eau de rose essence de térébenthine,,,non
eau de Seltzer,,,non
eau de senlaw,,,non
eau de senteur,,,non
eau de senteur alcoolique,,,non
eau de senteur alcoolique autre que Cologne et lavande,,,non
eau de senteur de bergamote,,,non
eau de senteur de citron,,,non
eau de senteur de la reine de Hongrie,Hors Amérique du Nord,,non
eau de senteur de lavande,,,non
eau de senteur de nard,,,non
eau de senteur en flacons,,,non
eau de senteur et quintessence,,,non
eau de senteur rose,,,non
eau de senteur sans alcool,,,non
eau de senteur sans alcool autre que fleurs d'oranger,,,non
eau de senteur sans alcool de fleurs d'oranger,,,oui
eau de senteur sans pareille,,,non
eau de Spa,,,non
eau de tartre,,,non
eau de térébenthine,,,non
eau de toilette,,,non
eau de vertu,,,non
eau des carmes,,,oui
eau des Carmes,Hors Amérique du Nord,,non
eau des cavernes,,,non
eau des farmes,Hors Amérique du Nord,,non
eau distillée,,,non
eau distillée alcoolique,,,non
eau distillée sans alcool,,,non
eau distillée sans alcool autres que fleurs d'oranger,,,non
eau distillée sans alcool fleurs d'oranger,,,oui
eau diverse,,,non
eau divine,,,non
eau du Rhône,,,non
eau et essence,,,non
eau et essence spiritueuse,,,non
eau et huile spiritueuse,,,non
eau ferrée,,,non
eau gazeuse,,,non
eau médicinale,,,non
eau médicinale cordiale,,,non
eau médicinale d'arquebusan,,,non
eau médicinale de cannelle,,,non
eau médicinale de Chypre,,,non
eau médicinale de coclearia,,,non
eau médicinale de fleurs d'oranger,,,oui
eau médicinale de genièvre,,,non
eau médicinale de marquette,,,non
eau médicinale de mélisse,,,non
eau médicinale de pin,,,non
eau médicinale de raisin,,,non
eau médicinale de Seltzer,,,non
eau médicinale et minérale,,,non
eau minérale,,,non
eau minérale de Bristol,,,non
eau ocgeniente,,,non
eau octaze,,,non
eau Plombières,,,non
eau pour la goutte,Hors Amérique du Nord,,non
eau pour remède,,,non
eau royale,,,non
eau sans pareille,,,non
eau sederale,,,non
eau Spa,,,oui
eau spiritueuse,,,non
eau spiritueuse et essence,,,non
eau vulnéraire,Hors Amérique du Nord,,non
eau-de-vie,,,non
eau-de-vie anisette,,,non
eau-de-vie commune,,,non
eau-de-vie d'Espagne,,,non
eau-de-vie d'Hendaye,,,non
eau-de-vie d'Hendaye et simple,,,non
eau-de-vie d'Oléron,,,non
eau-de-vie de Charente,,,non
eau-de-vie de cidre,,,non
eau-de-vie de Cognac,,,non
eau-de-vie de Dantzig,,,non
eau-de-vie de genièvre,,,non
eau-de-vie de genièvre et de grains,,,non
eau-de-vie de genièvre simple,,,non
eau-de-vie de grain,,,oui
eau-de-vie de grains,,,non
eau-de-vie de grains autre que genièvre,,,non
eau-de-vie de grains et simple,,,non
eau-de-vie de lavande et simple,,,non
eau-de-vie de Marennes,,,non
eau-de-vie de mélasse rhum et tafia,,,non
Eau-de-vie de mélasse rhum et tafia,,,oui
eau-de-vie de Ré,,,non
eau-de-vie de Rochefort,,,non
eau-de-vie de vin,,,non
Eau-de-vie de vin,,,oui
eau-de-vie de vin au-dessus de 32 degrés,,,non
Eau-de-vie de vin au-dessus de 32 degrés,,,oui
eau-de-vie de vin de 22 degrés à 32,,,non
Eau-de-vie de vin de 22 degrés à 32,,,oui
eau-de-vie de vin de 22 degrés ou moins,,,non
Eau-de-vie de vin de 22 degrés ou moins,,,oui
eau-de-vie de vin par Marseille,,,non
eau-de-vie des prises,,,non
eau-de-vie diverse,,,non
eau-de-vie double,,,non
eau-de-vie en bouteille simple,,,non
eau-de-vie et liqueur,,,oui
eau-de-vie et liqueurs,Hors Amérique du Nord,,non
eau-de-vie et rhum,,,non
eau-de-vie et rhum et tafia,Hors Amérique du Nord,antilles,non
eau-de-vie par Marseille,,,non
eau-de-vie raffinée,,,non
eau-de-vie rectifiée,,,non
eau-de-vie royale,,,non
eau-de-vie scorbutique,,,non
eau-de-vie simple,,,non
eau-de-vie simple de vin,,,non
eau-de-vie spiritueuse,,,non
eau-de-vie triple,,,non
eau-forte,,,non
eaux de vie anisette,,,oui
ébénisterie,,,non
écaille,Hors Amérique du Nord,,non
écaille ???,,,non
écaille au caret,,,non
écaille cahouanne,,,non
écaille caret de tortue,,,oui
écaille d'ablette,,,non
écaille de ???,,,non
écaille de cahouanne,Hors Amérique du Nord,,non
écaille de caret,Hors Amérique du Nord,,non
écaille de poisson,,,non
écaille de tortue,Hors Amérique du Nord,,non
écaille de tortue caret,,,non
écaille de tortue en carapace,Hors Amérique du Nord,,non
écaille de tortue en carapace de l'étranger,,,non
écaille de tortue et nacre de perle,,,non
écaille de tortue onglons,,,non
écaille de tortue onglons et rognures,,,non
écaille de tortue rognures,,,non
écaille octomie,,,non
écaille ou caret,,,non
écarlate,,,non
écarlatine,,,non
écarlatine de Beauvais,,,non
écarts de beuf,,,oui
écarts de bœuf,,,non
échalas,,,non
echalote,,,oui
échalote,,,non
échantillons et morceaux de soie,,,non
écharpe de soie,,,non
écharpe de taffetas,,,non
écharpe et gaze,,,non
échaussillons,,,non
échelles,,,non
échelotte,,,oui
échouements et prises,,,non
éclisses de bois,,,non
écope,,,non
écopes,,,non
écopes de sapin,,,non
écorce,,,non
écorce à tan moulue,,,non
écorce à tan non moulue,,,non
écorce à tanner,,,non
écorce autre que citron orange et leurs variété et quinquina,,,non
écorce d'arbre,,,non
écorce d'arbre étoffe,,,non
écorce d'arbre rayée,,,non
écorce d'orange,,,non
écorce d'orange et de citron,,,non
écorce d'orange séchée,,,non
écorce d'orange sergal,,,non
écorce de bergamote,,,non
écorce de bois,,,non
écorce de bois de fer,Hors Amérique du Nord,,non
écorce de boutard,,,non
écorce de cacao,,,non
écorce de câpres,,,non
écorce de cédrat,,,non
écorce de cèdre,,,non
écorce de chanvre,,,non
écorce de chêne,,,non
écorce de chêne moulue,,,non
écorce de citron,Hors Amérique du Nord,,non
écorce de citron confite,,,non
écorce de citron et d'orange,,,non
écorce de citron et d'orange et de leurs variétés,,,non
écorce de citron non épluché,,,non
écorce de citron sèche,,,non
écorce de gaiac,Hors Amérique du Nord,tropiques,oui
écorce de gaïac,,,non
écorce de grande d'aulne et de bourdaine,,,non
écorce de grenade,,,non
écorce de limon,,,non
écorce de limons sec,,,non
écorce de Magellan,,,non
écorce de mandragore,,,non
écorce de melis,,,non
écorce de pin,,,non
écorce de pin en poussière,,,non
écorce de pin moulue,,,non
écorce de quinquina,,,non
écorce de simaboura,Hors Amérique du Nord,tropiques,oui
écorce de simarouba,,,non
écorce de soie,,,non
écorce de tilleul,,,non
écorce de tilleul pour cordages,,,non
écorce médicinaux et feuilles médicinaux et fleurs médicinaux et fruits médicinaux et herbes médicinaux et plantes médicinaux et racines médicinaux,,,oui
écorce pour tanner,,,non
ecouette,,,non
écrans,,,non
écrelet,,,non
écrevisses,,,non
écrevisses de mer,,,non
écrevisses de rivière,,,non
écritoire,,,non
écritoire de chagrin,,,non
écritoire de maroquin,,,non
écritoire garni d'or,,,non
écritoire garnie d'or,,,oui
écru de cerise,,,non
écuelles de terre,,,non
écuelles de vermillon,,,non
écume de verre,,,non
écumoires à sucre,,,non
écus à palmes,,,non
édredon de plume,,,non
effets de troupes,,,non
effilé de fil,,,non
effilé de soie,,,non
effilé or fil,,,non
efforces à tondre,,,non
églefins,,,non
églefins salés,,,non
egoutals,,,non
egoutals de bois,,,non
égouttoirs,,,non
égouttoirs à fondre,,,non
égouttoirs de bois,,,non
egrat,,,non
elatchas,,,non
elbots,,,non
elbots salés,,,non
elegias,,,non
élixir,,,non
élixir de garus,,,non
élixir purgatif,,,non
ellébore,,,non
ellébore blanc,,,non
élocs de fer,,,non
émail,,,non
émail brut,,,non
embarcations à dépecer,,,non
embarcations avec agrès,,,non
embarcations en état de servir,,,non
embarcations et autres objets de marine,,,non
embarcations et navires marchands,,,non
embarcations et voiles de navires,,,non
émeraudes brutes,,,non
émeraudes et opales taillées,,,non
émeraudes taillés,,,non
émeri,,,non
émeri en pierre,,,non
émeri en pierres,,,non
émeri en poudre,,,non
Émeril en pierre,,,oui
Émeril en poudre,,,oui
empeignes,,,non
empeignes brodées pour souliers,,,non
empeignes coupées pour empeignes,,,non
empeignes de souliers,,,non
empeignes de souliers brodés,,,non
empeignes de souliers imprimées,,,non
empeignes de toile,,,non
empeignes et talons de cuir coupés,,,non
empeignes peintes pour souliers,,,non
en bâtiments de mer,,,non
en pain,,,non
encens,,,non
encens commun,,,non
encens des Indes,,,non
encens en grabeau,,,non
encens en poudre,,,non
encens en poussière,,,non
enclumes,,,non
enclumes de fer,,,non
enclumes de fer et étaux de fer,,,non
encoignement,,,non
encoignures,,,non
encoignures de bois vernissé,,,non
encre,,,non
encre à dessiner en tablettes,,,non
encre à écrire,,,non
encre à écrire et à imprimer,,,non
encre à imprimer,,,non
encre commune,,,non
encre d'imprimerie,,,non
encre de la Chine,,,non
encre de la petite vertu,,,non
encre de nankin,,,non
encre liquide à écrire ou à imprimer,,,non
encre odorante,,,non
encre rouge,,,non
encres odorantes,,,oui
encrin,,,non
endives,,,non
engrais,,,non
engrais colombine,,,non
engrais divers,,,non
engrais en court fumier,,,non
engrais en fournelle,,,non
engrais en fumier de rue,,,non
engrais en pourette,,,non
engrais gru,,,non
entenolles,,,non
épagnolette simple,,,non
épaulettes,,,non
épaulettes d'argent,,,non
épeautre,,,non
épeautre en gerbes,,,non
épée,,,non
épée à garde d'argent,,,non
épée à garde de cuivre doré,,,non
épée argentée,,,non
épée d'acier,,,non
épée d'argent,,,non
épée d'argent doré,,,non
épée d'argent et de cuivre,,,non
épée d'argent et de cuivre doré,,,non
épée de cuivre,,,non
épée de cuivre doré,,,non
épée masquinée,,,non
épée montée en acier,,,non
épée montée en argent,,,non
éperons,,,non
éperons et étriers,,,non
épice,,,non
épice de Curons,,,non
épicerie,Hors Amérique du Nord,,non
épicerie commune,,,non
épicerie douce,,,non
épicerie feuilles et noix muscades,,,oui
épicerie fine,,,non
épicerie poivre en grabeau,,,oui
épices,,,non
épices préparées,,,non
épices préparées autres que moutarde et poudre de kari,,,non
épices préparées autres que moutarde et sauces épicées,,,non
epinelle,,,non
épines à planter,,,non
épinettes,,,non
épingles,,,non
épingles communes,,,non
épingles de laiton,,,non
épingles de mercerie fine,,,non
épingles en cuivre,,,non
épingoles,,,non
epiterie,,,non
éponges,,,non
éponges communes,,,non
éponges communes et fines,,,non
éponges et tournesol,,,non
éponges fines,,,non
éponges grosses,,,non
épousterie,,,non
éprouvette de cuivre,,,non
