goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,nbr_occurences_medicinales
écritoire de chagrin,1,not a medical product,non,1,530316
écritoire de corne,1,not a medical product,non,,530316
écritoire de maroquin,1,not a medical product,non,1,530316
écritoire garni d'or,2,not a medical product,non,2,530316
écru de cerise,1,not a medical product,non,1,530316
écuelles de terre,1,not a medical product,non,1,530316
écuelles de vermillon,3,not a medical product,non,3,530316
écume de verre,1,not a medical product,non,1,530316
écumoires à sucre,2,not a medical product,non,2,530316
écus à palmes,1,not a medical product,non,1,530316
édredon,1,not a medical product,non,,530316
édredon de plume,7,not a medical product,non,7,530316
effets de troupes,1,not a medical product,non,1,530316
effilé de fil,14,not a medical product,non,14,530316
effilé de soie,5,not a medical product,non,5,530316
effilé or fil,1,not a medical product,non,1,530316
efforces à tondre,1,not a medical product,non,1,530316
églefins,2,not a medical product,non,1,530316
églefins salés,1,not a medical product,non,1,530316
egoutals,1,not a medical product,non,1,530316
egoutals de bois,1,not a medical product,non,1,530316
égouttoirs,51,not a medical product,non,46,530316
égouttoirs à fondre,1,not a medical product,non,1,530316
égouttoirs de bois,2,not a medical product,non,2,530316
egrat,1,not a medical product,non,1,530316
elatches,18,not a medical product,non,,530316
elbots,1,not a medical product,non,1,530316
elbots salés,1,not a medical product,non,1,530316
elegias,2,not a medical product,non,2,530316
élixir,51,narrow medical product,non,51,24136
élixir de garus,4,narrow medical product,non,4,24136
élixir purgatif,1,narrow medical product,non,1,24136
ellébore,6,narrow medical product,non,6,24136
ellébore blanc,1,narrow medical product,non,1,24136
élocs de fer,2,not a medical product,non,2,530316
émail,57,not a medical product,non,56,530316
émail brut,2,not a medical product,non,2,530316
emballage,1,,non,,1394
embarcations à dépecer,5,not a medical product,non,5,530316
embarcations avec agrès,20,not a medical product,non,20,530316
embarcations en état de servir,2,not a medical product,non,2,530316
embarcations et autres objets de marine,44,not a medical product,non,44,530316
embarcations et navire marchand,0,not a medical product,oui,1,530316
embarcations et voiles de navire,3,not a medical product,non,3,530316
émeraudes brutes,1,not a medical product,non,1,530316
émeraudes et opales taillées,1,not a medical product,non,1,530316
émeraudes taillés,2,not a medical product,non,2,530316
émeri,41,not a medical product,non,36,530316
émeri en pierre,2,not a medical product,non,1,530316
émeri en pierres,7,not a medical product,non,6,530316
émeri en poudre,14,not a medical product,non,14,530316
empeignes,5,not a medical product,non,5,530316
empeignes brodées,1,not a medical product,non,,530316
empeignes brodées pour souliers,1,not a medical product,non,1,530316
empeignes coupées pour empeignes,1,not a medical product,non,1,530316
empeignes de souliers,11,not a medical product,non,10,530316
empeignes de souliers brodés,1,not a medical product,non,1,530316
empeignes de souliers imprimées,1,not a medical product,non,1,530316
empeignes de toile,1,not a medical product,non,1,530316
empeignes et talons de cuir coupés,1,not a medical product,non,1,530316
empeignes peintes pour souliers,1,not a medical product,non,1,530316
en bâtiments de mer,1,not a medical product,non,1,530316
en pain,1,not a medical product,non,1,530316
enamitte,1,not a medical product,non,,530316
encens,503,not a medical product,non,422,530316
encens commun,3,not a medical product,non,3,530316
encens des Indes,1,not a medical product,non,1,530316
encens en grabeau,4,not a medical product,non,4,530316
encens en poudre,1,not a medical product,non,1,530316
encens en poussière,4,not a medical product,non,3,530316
enclumes,2,not a medical product,non,1,530316
enclumes de fer,111,not a medical product,non,97,530316
enclumes de fer et étaux de fer,1,not a medical product,non,1,530316
encoignement,1,not a medical product,non,1,530316
encoignures,5,not a medical product,non,3,530316
encoignures de bois vernissé,1,not a medical product,non,1,530316
encre,37,not a medical product,non,37,530316
encre à dessiner en tablettes,3,not a medical product,non,3,530316
encre à écrire,53,not a medical product,non,50,530316
encre à écrire et à imprimer,13,not a medical product,non,13,530316
encre à imprimer,3,not a medical product,non,3,530316
encre commune,1,not a medical product,non,1,530316
encre d'imprimerie,9,not a medical product,non,8,530316
encre de la Chine,14,not a medical product,non,11,530316
encre de la petite vertu,1,not a medical product,non,1,530316
encre de nankin,2,not a medical product,non,1,530316
encre glassine,1,not a medical product,non,,530316
encre liquide à écrire ou à imprimer,4,not a medical product,non,4,530316
encre odorante,1,not a medical product,non,1,530316
encre rouge,4,not a medical product,non,4,530316
encrin,1,not a medical product,non,1,530316
endives,1,not a medical product,non,1,530316
engrais,49,not a medical product,non,51,530316
engrais colombine,15,not a medical product,non,15,530316
engrais divers,1,not a medical product,non,1,530316
engrais en court fumier,1,not a medical product,non,1,530316
engrais en fournelle,1,not a medical product,non,1,530316
engrais en fumier de rue,1,not a medical product,non,1,530316
engrais en pourette,1,not a medical product,non,1,530316
engrais gru,1,not a medical product,non,1,530316
entenolles,1,not a medical product,non,1,530316
épagnolette simple,1,not a medical product,non,1,530316
épaulettes,1,not a medical product,non,1,530316
épaulettes d'argent,1,not a medical product,non,1,530316
épeautre,1,not a medical product,non,1,530316
épeautre en gerbes,1,not a medical product,non,1,530316
épée,24,not a medical product,non,20,530316
épée à garde d'argent,4,not a medical product,non,3,530316
épée à garde de cuivre doré,1,not a medical product,non,1,530316
épée argentée,1,not a medical product,non,1,530316
épée d'acier,2,not a medical product,non,2,530316
épée d'argent,33,not a medical product,non,18,530316
épée d'argent doré,1,not a medical product,non,1,530316
épée d'argent et de cuivre,2,not a medical product,non,1,530316
épée d'argent et de cuivre doré,1,not a medical product,non,1,530316
épée de cuivre,5,not a medical product,non,4,530316
épée de cuivre doré,5,not a medical product,non,2,530316
épée masquinée,1,not a medical product,non,1,530316
épée montée en acier,1,not a medical product,non,1,530316
épée montée en argent,1,not a medical product,non,1,530316
éperons,3,not a medical product,non,3,530316
éperons et étriers,1,not a medical product,non,1,530316
éperviers,1,not a medical product,non,,530316
épice,1,not a medical product,non,1,530316
épice de Curons,3,not a medical product,non,3,530316
épicerie,886,not a medical product,non,786,530316
épicerie commune,9,not a medical product,non,8,530316
épicerie douce,9,not a medical product,non,6,530316
épicerie fine,62,not a medical product,non,30,530316
épices,1,not a medical product,non,1,530316
épices préparées,2,not a medical product,non,2,530316
épices préparées autres que moutarde et poudre de kari,1,not a medical product,non,1,530316
épices préparées autres que moutarde et sauces épicées,2,not a medical product,non,2,530316
epinelle,1,not a medical product,non,1,530316
épines à planter,1,not a medical product,non,1,530316
épinettes,7,not a medical product,non,6,530316
épingles,301,not a medical product,non,294,530316
épingles communes,1,not a medical product,non,1,530316
épingles de laiton,4,not a medical product,non,4,530316
épingles de mercerie fine,17,not a medical product,non,17,530316
épingles en cuivre,1,not a medical product,non,1,530316
épingoles,3,not a medical product,non,2,530316
epiterie,7,not a medical product,non,7,530316
éponges,599,not a medical product,non,538,530316
éponges communes,65,not a medical product,non,64,530316
éponges communes et fines,6,not a medical product,non,6,530316
éponges et tournesol,1,not a medical product,non,1,530316
éponges fines,66,not a medical product,non,63,530316
éponges grosses,1,not a medical product,non,1,530316
épousterie,45,not a medical product,non,45,530316
éprouvette de cuivre,1,not a medical product,non,1,530316
équerre,2,not a medical product,non,,530316
equeurs,1,not a medical product,non,1,530316
équille,2,not a medical product,non,,530316
équille pour voile pour la Compagnie de Guinée,2,not a medical product,non,,530316
equine,2,narrow medical product,non,2,24136
ergots de bœuf,14,not a medical product,non,14,530316
ergots de caret,1,not a medical product,non,1,530316
érnail,1,not a medical product,non,1,530316
escabelles,2,not a medical product,non,2,530316
escamitte,99,not a medical product,non,80,530316
escamotte,4,not a medical product,non,3,530316
escaralles,1,not a medical product,non,1,530316
escarasse,29,not a medical product,non,27,530316
escarbille,1,not a medical product,non,1,530316
escargots,3,not a medical product,non,3,530316
escargots et crekels,1,not a medical product,non,1,530316
escarpins,1,not a medical product,non,1,530316
escarpins de chambre,1,not a medical product,non,1,530316
escayolles,287,not a medical product,non,234,530316
esclapes,1,not a medical product,non,1,530316
esclapes de bois,2,not a medical product,non,2,530316
esco,1,not a medical product,non,1,530316
escope,20,not a medical product,non,16,530316
escortines,6,not a medical product,non,3,530316
escortines à huile,1,not a medical product,non,1,530316
escortines d'espars,5,not a medical product,non,2,530316
escortines de jonc,1,,non,,1394
escosses,1,not a medical product,non,1,530316
escot,6,not a medical product,non,6,530316
escot de bois,1,not a medical product,non,1,530316
escot de fer,6,not a medical product,non,5,530316
escot de laine,3,not a medical product,non,3,530316
escotins de bois,1,not a medical product,non,1,530316
espadrilles,4,not a medical product,non,4,530316
espagnolette,260,not a medical product,non,224,530316
espagnolette à fleurs,1,not a medical product,non,1,530316
espagnolette croisée,119,not a medical product,non,45,530316
espagnolette croisée et simple,3,,non,,1394
espagnolette de laine,18,not a medical product,non,18,530316
espagnolette de laine croisée,4,not a medical product,non,4,530316
espagnolette de laine lisse,2,not a medical product,non,2,530316
espagnolette de laine simple,1,not a medical product,non,1,530316
espagnolette des prises,2,not a medical product,non,2,530316
espagnolette simple,83,not a medical product,non,39,530316
espars,384,not a medical product,non,327,530316
espars de 10 à 15 pieds,2,not a medical product,non,2,530316
espars de 10 pieds,1,not a medical product,non,1,530316
espars de 11 à 20 pieds,2,not a medical product,non,,530316
espars de 12 à 15 pieds,1,not a medical product,non,1,530316
espars de 14 à 16 pieds,1,not a medical product,non,1,530316
espars de 14 pieds,1,not a medical product,non,1,530316
espars de 15 à 20 pieds,3,not a medical product,non,3,530316
espars de 15 à 25 centimètres,3,not a medical product,non,3,530316
espars de 15 centimètres inclusivement à 25 exclusivement,5,not a medical product,non,5,530316
espars de 16 à 36 pieds,1,not a medical product,non,,530316
espars de 18 à 20 pieds,3,not a medical product,non,3,530316
espars de 18 à 36 pieds,1,not a medical product,non,1,530316
espars de 18 pieds,6,not a medical product,non,5,530316
espars de 20 à 22 pieds,2,not a medical product,non,1,530316
espars de 20 à 25 pieds,3,not a medical product,non,3,530316
espars de 20 à 25 pieds de long,3,not a medical product,non,,530316
espars de 20 à 26 pieds,1,not a medical product,non,1,530316
espars de 20 à 30 pieds,1,not a medical product,non,1,530316
espars de 20 pieds,3,not a medical product,non,3,530316
espars de 24 à 36 pieds,1,not a medical product,non,1,530316
espars de 25 à 26 pieds,1,not a medical product,non,1,530316
espars de 25 à 30 pieds,4,not a medical product,non,3,530316
espars de 26 à 28 pieds,1,not a medical product,non,1,530316
espars de 26 pieds,2,not a medical product,non,2,530316
espars de 27 pieds,1,not a medical product,non,1,530316
espars de 28 à 30 pieds,1,not a medical product,non,1,530316
espars de 28 à 36 pieds,1,not a medical product,non,1,530316
espars de 28 pieds,1,not a medical product,non,1,530316
espars de 30 à 40 pieds,2,not a medical product,non,2,530316
espars de 30 pieds,6,not a medical product,non,5,530316
espars de 35 à 46,1,not a medical product,non,1,530316
espars de 35 pieds,2,not a medical product,non,2,530316
espars de 36 à 40 pieds,1,not a medical product,non,,530316
espars de 4 à 5 pieds,1,not a medical product,non,1,530316
espars de 40 à 45 pieds,1,not a medical product,non,1,530316
espars de 40 à 50 pieds,3,not a medical product,non,3,530316
espars de 40 pieds,1,not a medical product,non,1,530316
espars de 45 pieds,1,not a medical product,non,1,530316
espars de 5 à 6 pieds,1,not a medical product,non,1,530316
espars de 55 pieds,1,not a medical product,non,1,530316
espars de 56 à 61 pieds,1,not a medical product,non,1,530316
espars de 8 à 9 pieds,1,not a medical product,non,1,530316
espars de différente longueur,5,not a medical product,non,5,530316
espars de nitriol,1,not a medical product,non,1,530316
espars de sapin,26,not a medical product,non,19,530316
espars de sapin de 15 pieds,1,not a medical product,non,1,530316
espars de sapin de 18 pieds,1,not a medical product,non,1,530316
espars de sapin de 20 pieds,1,not a medical product,non,1,530316
espars de sapin de 24 pieds,1,not a medical product,non,1,530316
espars de sapin de 25 pieds,1,not a medical product,non,1,530316
espars de sapin de 30 pieds,1,not a medical product,non,1,530316
espars de sapin de 45 pieds,1,not a medical product,non,1,530316
espars divers,1,not a medical product,non,1,530316
espars doubles,8,not a medical product,non,6,530316
espars marmoyées en argent,1,not a medical product,non,1,530316
espars petit,2,not a medical product,non,1,530316
espars petits,1,not a medical product,non,1,530316
espars pour construction,2,not a medical product,non,2,530316
espars simple,3,not a medical product,non,1,530316
espars simples,3,not a medical product,non,3,530316
espèce monnayée ???,1,not a medical product,non,1,530316
espèces,42,not a medical product,non,,530316
espèces d'argent,1,,non,,1394
espingole,2,not a medical product,non,1,530316
esponton,4,not a medical product,non,3,530316
esprit,1,not a medical product,non,1,530316
esprit d'absinthe,1,not a medical product,non,1,530316
esprit de bergamote,149,not a medical product,non,117,530316
esprit de cédrat,2,not a medical product,non,2,530316
esprit de citron,128,not a medical product,non,105,530316
esprit de coclearia,9,narrow medical product,non,7,24136
esprit de corne de cerf,3,narrow medical product,non,3,24136
esprit de coton,1,not a medical product,non,1,530316
esprit de feuilles d'orange,1,narrow medical product,non,1,24136
esprit de fil,1,not a medical product,non,1,530316
esprit de fleurs d'oranger,9,not a medical product,non,7,530316
esprit de lavande,1,not a medical product,non,1,530316
esprit de limon,4,not a medical product,non,4,530316
esprit de miroly,1,not a medical product,non,1,530316
esprit de myrrhe,1,narrow medical product,non,1,24136
esprit de myrthe,1,narrow medical product,non,1,24136
esprit de nitre,11,not a medical product,non,11,530316
esprit de romarin,4,narrow medical product,non,3,24136
esprit de sel,14,narrow medical product,non,14,24136
esprit de sel ammoniac,2,narrow medical product,non,2,24136
esprit de sel marin,1,narrow medical product,non,1,24136
esprit de soufre,10,not a medical product,non,10,530316
esprit de taffia,2,not a medical product,non,,530316
esprit de tamarin,1,,non,,1394
esprit de vitriol,51,not a medical product,non,41,530316
esprit-de-vin,158,not a medical product,non,157,530316
esprots,3,not a medical product,non,3,530316
esprots fumés,1,not a medical product,non,1,530316
espuirie,1,narrow medical product,non,1,24136
esquine,22,narrow medical product,non,14,24136
essandoles,1,not a medical product,non,1,530316
essence,315,not a medical product,non,265,530316
essence aromatique,6,not a medical product,non,6,530316
essence au bruit aromatique,1,not a medical product,non,1,530316
essence d'anis,1,not a medical product,non,1,530316
essence de bergamote,5,not a medical product,non,5,530316
essence de cannelle,6,narrow medical product,non,6,24136
essence de cendre de bois,1,not a medical product,non,1,530316
essence de citron,47,not a medical product,non,38,530316
essence de fleurs d'orange,1,not a medical product,non,1,530316
essence de girofle,6,narrow medical product,non,4,24136
essence de jasmin,10,not a medical product,non,9,530316
essence de lavande,2,not a medical product,non,2,530316
essence de limon,5,not a medical product,non,5,530316
essence de muscade,1,not a medical product,non,1,530316
essence de paruce,1,not a medical product,non,1,530316
essence de pommade,1,narrow medical product,non,1,24136
essence de romarin,1,,non,,1394
essence de rose,7,not a medical product,non,7,530316
essence de soie,1,,non,,1394
essence de térébenthine,36,narrow medical product,non,34,24136
essence de térébenthine et huile de térébenthine,85,narrow medical product,non,85,24136
essence de thym,1,not a medical product,non,1,530316
essence de vitriol,15,not a medical product,non,15,530316
essence et huile de térébenthine,184,narrow medical product,non,184,24136
essence et pommade,3,narrow medical product,non,3,24136
essence odoriférante,1,not a medical product,non,1,530316
essence ou esprit de citron,1,not a medical product,non,1,530316
essence vitriolique et vitriol huile,9,not a medical product,non,9,530316
essieux,1,not a medical product,non,1,530316
essieux à cabrouets,2,not a medical product,non,2,530316
essieux de fer,71,not a medical product,non,49,530316
estagnons,4,not a medical product,non,4,530316
estagnons de cuivre allié,1,not a medical product,non,1,530316
estampes,312,not a medical product,non,291,530316
estampes en feuilles,1,not a medical product,non,1,530316
estampes encadrées,2,not a medical product,non,2,530316
estampes et cartes géographiques,14,not a medical product,non,14,530316
estampes et gravures,43,not a medical product,non,44,530316
estampes et images,1,not a medical product,non,1,530316
estampes et librairie,13,not a medical product,non,13,530316
estampes et tableaux,336,not a medical product,non,336,530316
estampes sur papier,1,not a medical product,non,1,530316
estampes sur toile,1,not a medical product,non,1,530316
estères,2,not a medical product,non,1,530316
estères de jonc,4,not a medical product,non,4,530316
estrasse de cocons,1,not a medical product,non,1,530316
estrasse de Savoie,1,not a medical product,non,1,530316
estrasse de soie,65,not a medical product,non,54,530316
esturgeon,31,not a medical product,non,29,530316
esturgeon en adaube,1,not a medical product,non,1,530316
esturgeon mariné,4,not a medical product,non,3,530316
esturgeon salé,2,not a medical product,non,1,530316
étain,420,not a medical product,non,412,530316
étain battu,13,not a medical product,non,13,530316
étain battu ou limé,4,not a medical product,non,4,530316
étain brut,47,not a medical product,non,46,530316
étain brut d'Inde,1,not a medical product,non,1,530316
étain brut d'Inde des entrepôts,1,not a medical product,non,1,530316
étain brut en masses ouvrages brisés et saumons,1,not a medical product,non,1,530316
étain creux,1,,non,,1394
étain d'Angleterre,2,not a medical product,non,2,530316
étain de glaces,36,not a medical product,non,36,530316
étain de j ???,1,not a medical product,non,1,530316
étain de malgue,1,not a medical product,non,1,530316
étain de Melac,11,not a medical product,non,11,530316
étain de retour faute de vente,1,not a medical product,non,1,530316
étain des Indes,22,not a medical product,non,22,530316
étain du Pérou,1,not a medical product,non,,530316
étain en bloc,452,not a medical product,non,396,530316
étain en enclumes de fer,1,not a medical product,non,,530316
étain en faux,3,not a medical product,non,,530316
étain en feuilles,12,not a medical product,non,12,530316
étain en lingots,2,not a medical product,non,2,530316
étain en plats,1,not a medical product,non,1,530316
étain en plomb,1,not a medical product,non,1,530316
étain en saumon,26,not a medical product,non,22,530316
étain et plomb,18,not a medical product,non,18,530316
étain fin,1,not a medical product,non,1,530316
étain fin en bloc,1,not a medical product,non,1,530316
étain neuf,7,not a medical product,non,7,530316
étain non ouvré,14,not a medical product,non,13,530316
étain pour glaces,1,not a medical product,non,1,530316
étain pour soudure,2,not a medical product,non,1,530316
étain rouge,1,not a medical product,non,1,530316
étain seringues,2,not a medical product,non,2,530316
étain verni,1,not a medical product,non,,530316
étain vieux,88,not a medical product,non,85,530316
étais en bois,1,not a medical product,non,1,530316
etalchasse,3,not a medical product,non,2,530316
étamette,5,not a medical product,non,3,530316
étamette dauphine casinettes,2,not a medical product,non,1,530316
étamine,227,not a medical product,non,171,530316
étamine à bluteau,4,not a medical product,non,4,530316
étamine à passer fromage,1,not a medical product,non,1,530316
étamine à pavillon,13,not a medical product,non,8,530316
étamine à peu de soie,4,not a medical product,non,3,530316
étamine au quart de soie,2,not a medical product,non,1,530316
étamine au sixième de soie,1,,non,,1394
étamine aune,1,not a medical product,non,1,530316
étamine avec soie,2,not a medical product,non,2,530316
étamine avec vingt brins de soie,1,not a medical product,non,1,530316
étamine blanche,1,,non,,1394
étamine burail,85,not a medical product,non,85,530316
étamine buratée de laine,1,not a medical product,non,1,530316
étamine burette,2,not a medical product,non,2,530316
étamine commune,1,not a medical product,non,,530316
étamine d'Agen,3,not a medical product,non,3,530316
étamine d'Allemagne,2,not a medical product,non,1,530316
étamine d'Amiens,13,not a medical product,non,12,530316
étamine d'argent,2,not a medical product,non,,530316
étamine d'Auvergne,17,not a medical product,non,17,530316
étamine de Acims,10,not a medical product,non,10,530316
étamine de belzamine,2,not a medical product,non,1,530316
étamine de laine,645,not a medical product,non,470,530316
étamine de laine d'Angleterre,2,not a medical product,non,2,530316
étamine de laine et de soie,6,not a medical product,non,6,530316
étamine de laine fine,1,,non,,1394
étamine de Laval,3,not a medical product,non,,530316
étamine de Nogent,6,not a medical product,non,4,530316
étamine de Noyau,2,not a medical product,non,2,530316
étamine de Reims,214,not a medical product,non,212,530316
étamine de Rouen,1,not a medical product,non,1,530316
étamine de Sainte,1,,non,,1394
étamine de soie,7,not a medical product,non,,530316
étamine des prises,3,not a medical product,non,2,530316
étamine du Mans,88,not a medical product,non,79,530316
étamine du pays,1,not a medical product,non,1,530316
étamine Maine,1,not a medical product,non,1,530316
étamine mi soie,2,not a medical product,non,2,530316
étamine noire,2,not a medical product,non,,530316
étamine oneraile,1,not a medical product,non,,530316
étamine ouvrée,1,not a medical product,non,1,530316
étamine piquée de soie,1,not a medical product,non,1,530316
étamine rayée,3,not a medical product,non,3,530316
étamine virée,1,not a medical product,non,1,530316
étampes,21,not a medical product,non,19,530316
étampes de chanvre,1,not a medical product,non,1,530316
etatchasse,6,not a medical product,non,3,530316
étaux,2,,non,,1394
étaux de fer,28,not a medical product,non,17,530316
étaux en bâtit pour serruriers,1,not a medical product,non,,530316
étaux ouvragés,1,not a medical product,non,,530316
etaya,1,not a medical product,non,1,530316
étendards,2,not a medical product,non,2,530316
etendelle,3,not a medical product,non,3,530316
éternelle de coton,1,not a medical product,non,1,530316
etocs,4,not a medical product,non,4,530316
etocs de fer,13,not a medical product,non,11,530316
étocs de fer,12,not a medical product,non,11,530316
étoffe,386,not a medical product,non,382,530316
étoffe à carreaux,1,not a medical product,non,,530316
étoffe à carreaux et de toile de coutil,1,not a medical product,non,1,530316
étoffe à galon d'or,1,,non,,1394
étoffe à la valeur,2,not a medical product,non,2,530316
étoffe à peu,20,not a medical product,non,20,530316
étoffe à peu de soie,135,not a medical product,non,123,530316
étoffe au ??? de soie,4,not a medical product,non,4,530316
étoffe au dessus du sixième de soie,1,not a medical product,non,,530316
étoffe au filoselle,2,not a medical product,non,2,530316
étoffe au poil sorge de Rome,1,not a medical product,non,1,530316
étoffe au quart,53,not a medical product,non,53,530316
étoffe au quart de soie,159,not a medical product,non,138,530316
étoffe au sixième,1,not a medical product,non,1,530316
étoffe au sixième de soie,22,not a medical product,non,20,530316
étoffe au sixième de soie en siamoise,2,not a medical product,non,2,530316
étoffe au sixième de soie siamoise,1,not a medical product,non,1,530316
étoffe au tiers de soie,1,not a medical product,non,1,530316
étoffe au-dessus du sixième de soie,1,not a medical product,non,1,530316
étoffe avec argent et or,2,not a medical product,non,2,530316
étoffe avec un brin de soie,2,not a medical product,non,2,530316
étoffe avec vin brin de soie,1,not a medical product,non,1,530316
étoffe brochée d'argent et d'or faux de soie pure,2,not a medical product,non,2,530316
étoffe brochée d'argent et d'or fin de soie pure,2,not a medical product,non,2,530316
étoffe brochée de coton et de fil siamois,1,not a medical product,non,1,530316
étoffe brochée de soie de soie pure,2,not a medical product,non,2,530316
étoffe brochée et brodée,2,not a medical product,non,2,530316
étoffe cotonne,1,not a medical product,non,1,530316
étoffe crêpe,1,not a medical product,non,1,530316
étoffe croisée,1,not a medical product,non,1,530316
étoffe d'Amiens façonnée,1,not a medical product,non,1,530316
étoffe d'argent,10,not a medical product,non,9,530316
étoffe d'argent d'or et de soie,58,not a medical product,non,55,530316
étoffe d'argent et d'or,192,not a medical product,non,169,530316
étoffe d'argent et d'or faux,3,not a medical product,non,2,530316
étoffe d'argent et d'or fin,4,not a medical product,non,3,530316
étoffe d'argent et de soie,9,not a medical product,non,7,530316
étoffe d'argent et soie,1,not a medical product,non,,530316
étoffe d'argent fil et soie,1,,non,,1394
étoffe d'herbes,5,not a medical product,non,3,530316
étoffe d'or,28,not a medical product,non,28,530316
étoffe d'or et de soie,9,not a medical product,non,8,530316
étoffe d'or faux et de soie,1,not a medical product,non,1,530316
étoffe de bourre de soie,7,not a medical product,non,7,530316
étoffe de capiton,4,not a medical product,non,4,530316
étoffe de chanvre,4,not a medical product,non,3,530316
étoffe de chanvre et de fil de lin en toile,12,not a medical product,non,12,530316
étoffe de chanvre et de lin en toile diverse,26,not a medical product,non,26,530316
étoffe de coton,388,not a medical product,non,383,530316
étoffe de coton ???,2,not a medical product,non,2,530316
étoffe de coton au quart de soie,3,not a medical product,non,3,530316
étoffe de coton brillant blanc,1,not a medical product,non,1,530316
étoffe de coton brodé,1,not a medical product,non,1,530316
étoffe de coton de fil,6,not a medical product,non,6,530316
étoffe de coton de fil et de laine,3,not a medical product,non,1,530316
étoffe de coton de fil et de soie,7,not a medical product,non,1,530316
étoffe de coton de fleuret et de soie,1,not a medical product,non,1,530316
étoffe de coton de laine,3,not a medical product,non,3,530316
étoffe de coton de laine et de soie,3,not a medical product,non,3,530316
étoffe de coton de quart de soie,1,not a medical product,non,1,530316
étoffe de coton de velours,7,not a medical product,non,7,530316
étoffe de coton des Indes,1,not a medical product,non,1,530316
étoffe de coton en drap,14,not a medical product,non,14,530316
étoffe de coton en soie,8,not a medical product,non,8,530316
étoffe de coton et bonneterie,1,not a medical product,non,1,530316
étoffe de coton et chapeaux,1,not a medical product,non,1,530316
étoffe de coton et de fil,42,not a medical product,non,39,530316
étoffe de coton et de fil de soie,2,not a medical product,non,2,530316
étoffe de coton et de fil et de laine et de poil chameau,3,not a medical product,non,1,530316
étoffe de coton et de fil et de laine et de poil de chèvre,4,not a medical product,non,1,530316
étoffe de coton et de fil mélangés,10,not a medical product,non,10,530316
étoffe de coton et de fleuret,3,not a medical product,non,3,530316
étoffe de coton et de laine,22,not a medical product,non,21,530316
étoffe de coton et de laine diverse,1,not a medical product,non,1,530316
étoffe de coton et de laine et de filoselle,7,not a medical product,non,7,530316
étoffe de coton et de laine et de soie mélangés,26,not a medical product,non,26,530316
étoffe de coton et de laine retour,1,not a medical product,non,1,530316
étoffe de coton et de soie,58,not a medical product,non,54,530316
étoffe de coton et de soie des Indes,1,not a medical product,non,1,530316
étoffe de coton et de soie éternelle,1,not a medical product,non,1,530316
étoffe de coton et de toile,1,not a medical product,non,1,530316
étoffe de coton et drap de coton et velours de coton,15,not a medical product,non,15,530316
étoffe de coton et drap de coton et velours de coton et couvertures de coton,13,not a medical product,non,13,530316
étoffe de coton et mercerie,1,not a medical product,non,1,530316
étoffe de coton et pellerie,1,not a medical product,non,1,530316
étoffe de coton et velours commun,1,not a medical product,non,1,530316
étoffe de coton imprimé,2,not a medical product,non,2,530316
étoffe de coton mélangée,1,not a medical product,non,1,530316
étoffe de coton mêlée de soie,1,not a medical product,non,1,530316
étoffe de coton mi soie,2,not a medical product,non,2,530316
étoffe de coton peint,1,not a medical product,non,1,530316
étoffe de coton piqué,1,not a medical product,non,,530316
étoffe de crin,32,not a medical product,non,32,530316
étoffe de d'argent et d'or et de soie,24,not a medical product,non,19,530316
étoffe de dorure de laine et de soie,2,not a medical product,non,2,530316
étoffe de fil,7,not a medical product,non,6,530316
étoffe de fil au quart de soie,1,not a medical product,non,1,530316
étoffe de fil de laine,6,not a medical product,non,6,530316
étoffe de fil et bourre de chèvre,1,not a medical product,non,1,530316
étoffe de fil et de laine,46,not a medical product,non,40,530316
étoffe de fil et de poil,1,not a medical product,non,1,530316
étoffe de fil et de poil de chèvre,2,not a medical product,non,1,530316
étoffe de fil et de soie,22,not a medical product,non,20,530316
étoffe de fil et moquette,1,not a medical product,non,1,530316
étoffe de fil et poil de chèvre,1,not a medical product,non,1,530316
étoffe de fil et poil de chèvre aune,1,not a medical product,non,1,530316
étoffe de filoselle,48,not a medical product,non,47,530316
étoffe de filoselle et de laine,2,not a medical product,non,2,530316
étoffe de filoselle et de soie,6,not a medical product,non,4,530316
étoffe de Flandre et de poil,2,not a medical product,non,,530316
étoffe de fleuret,73,not a medical product,non,72,530316
étoffe de fleuret au brin de soie,1,not a medical product,non,1,530316
étoffe de fleuret et de laine,5,not a medical product,non,5,530316
étoffe de fleuret et de soie,7,not a medical product,non,7,530316
étoffe de fleuret et laine,2,not a medical product,non,2,530316
étoffe de fleuret pure,2,not a medical product,non,2,530316
étoffe de galette et de soie,1,not a medical product,non,1,530316
étoffe de laine,547,not a medical product,non,528,530316
étoffe de laine ???,5,not a medical product,non,5,530316
étoffe de laine à faire moufles,1,not a medical product,non,1,530316
étoffe de laine à fil,1,not a medical product,non,1,530316
étoffe de laine à la valeur,1,not a medical product,non,1,530316
étoffe de laine angora,1,not a medical product,non,1,530316
étoffe de laine au quart de soie,1,not a medical product,non,1,530316
étoffe de laine avec dorure,1,not a medical product,non,1,530316
étoffe de laine avec soie,1,not a medical product,non,1,530316
étoffe de laine bêche,1,not a medical product,non,1,530316
étoffe de laine beige 309 lignes,1,not a medical product,non,1,530316
étoffe de laine blanche,1,not a medical product,non,1,530316
étoffe de laine brodée de dorure et de soie,1,not a medical product,non,1,530316
étoffe de laine cannelée,1,not a medical product,non,1,530316
étoffe de laine chaleur,1,not a medical product,non,1,530316
