goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,sitc18_rev3,nbr_occurences_medicinales
boutons de fil d'or et boutons de fil d'argent,74,not a medical product,non,49,8,530318
boutons de fil d'or trait,2,not a medical product,non,2,8,530318
boutons de fil de poil de chèvre,1,not a medical product,non,1,8,530318
boutons de fil et d'argent,1,,non,,,1431
"boutons de fil, boutons de soie et boutons d'or",1,not a medical product,non,1,8,530318
boutons de forget,1,not a medical product,non,1,8,530318
boutons de gay,2,not a medical product,non,2,8,530318
boutons de jais,14,not a medical product,non,13,8,530318
boutons de jais et collier de jais et dentelle de jais,2,not a medical product,non,1,8,530318
boutons de laiton,4,not a medical product,non,4,8,530318
boutons de livrée,1,not a medical product,non,1,8,530318
boutons de manches,5,not a medical product,non,4,8,530318
boutons de métal,6,not a medical product,non,6,8,530318
boutons de métal doré,1,not a medical product,non,1,8,530318
boutons de nacre,5,not a medical product,non,5,8,530318
boutons de nacre de perle et boutons de jais,1,not a medical product,non,1,8,530318
boutons de nacre de perles,1,not a medical product,non,1,8,530318
boutons de pinsbeck,4,not a medical product,non,2,8,530318
boutons de poil,34,not a medical product,non,31,8,530318
boutons de poil de chèvre,10,not a medical product,non,6,8,530318
boutons de poil de soie,5,not a medical product,non,4,8,530318
boutons de soie,19,not a medical product,non,12,8,530318
boutons de soie en once,1,not a medical product,non,1,8,530318
boutons de tombac,1,not a medical product,non,1,8,530318
boutons de tombac doré,1,not a medical product,non,1,8,530318
boutons de trait d'argent et d'or fin,2,not a medical product,non,1,8,530318
boutons de verre,4,not a medical product,non,3,8,530318
boutons de verre émaillés,1,not a medical product,non,1,8,530318
boutons en médailles,1,not a medical product,non,1,8,530318
boutons et galon d'or,2,not a medical product,non,2,8,530318
boutons et galon d'or et d'argent,1,,non,,,1431
boutons et galons d'argent et d'or,1,not a medical product,non,1,8,530318
boutons masquinés,1,not a medical product,non,1,8,530318
boutons or trait,3,not a medical product,non,3,8,530318
bouts de chêne,1,not a medical product,non,,,530318
bouts de corne,3,not a medical product,non,2,2,530318
bouts de planche,1,not a medical product,non,,,530318
bouts de planches et planches de sapin,1,not a medical product,non,1,6b,530318
boutty,1,not a medical product,non,1,???,530318
bouvillons,3,not a medical product,non,3,0a,530318
bouvillons et génisses,4,not a medical product,non,4,0a,530318
bouvillons et génisses et taurillons,2,not a medical product,non,2,0a,530318
boyaux,5,not a medical product,non,5,0a,530318
boyaux de bœuf,1,not a medical product,non,1,0a,530318
boyaux de bœuf salés,2,not a medical product,non,3,0a,530318
boyaux de mouton,3,not a medical product,non,2,0a,530318
boyaux de mouton salés,3,not a medical product,non,3,0a,530318
boyaux et nerfs,2,not a medical product,non,2,0a,530318
boyaux préparés et secs,2,not a medical product,non,2,0a,530318
boyaux salés,80,not a medical product,non,69,0a,530318
bozemin,1,not a medical product,non,1,???,530318
braccles,0,not a medical product,oui,1,???,530318
bracelets,1,not a medical product,non,1,8,530318
bracelets de crin,2,not a medical product,non,2,8,530318
bracelles,5,not a medical product,non,2,???,530318
brai,272,not a medical product,non,202,5,530318
brai ???,1,not a medical product,non,1,5,530318
brai ??? brai,1,not a medical product,non,1,5,530318
brai ??? goudron,2,not a medical product,non,2,5,530318
brai ??? goudron résines,1,not a medical product,non,1,5,530318
brai ??? pox noire,1,not a medical product,non,1,5,530318
brai à brasser,1,not a medical product,non,1,0a,530318
brai arcanson,1,not a medical product,non,1,5,530318
brai colophane et sec et résines d'huile,2,not a medical product,non,2,5,530318
brai de goudron,9,not a medical product,non,9,5,530318
brai de poix,2,not a medical product,non,2,5,530318
brai de poix blanche et noire,2,not a medical product,non,2,5,530318
brai de poix noire,1,not a medical product,non,1,5,530318
brai de poix résines,3,not a medical product,non,3,5,530318
brai eau de raze,5,not a medical product,non,5,5,530318
brai et eau de rose,1,not a medical product,non,1,9b,530318
brai et goudron,512,not a medical product,non,475,5,530318
brai et goudron et eau de raze,1,not a medical product,non,1,5,530318
brai et goudron et galipot et résines,23,not a medical product,non,23,5,530318
brai et goudron et poix,1,not a medical product,non,1,5,530318
brai et goudron et poix et résines,99,not a medical product,non,99,2,530318
brai et goudron et résines,542,not a medical product,non,541,5,530318
brai et goudron et térébenthine,7,not a medical product,non,7,5,530318
brai et poix,1,not a medical product,non,1,5,530318
brai et poix blanche,2,not a medical product,non,2,5,530318
brai et poix blanche et poix noire,1,not a medical product,non,1,5,530318
brai et poix noire,1,not a medical product,non,1,5,530318
brai et poix résines,1,not a medical product,non,1,5,530318
brai et résines,21,not a medical product,non,21,5,530318
brai et térébenthine,2,not a medical product,non,2,5,530318
brai galipot,1,not a medical product,non,1,5,530318
brai goudron ???,3,not a medical product,non,3,5,530318
brai gras,660,not a medical product,non,503,5,530318
brai gras et goudron,24,not a medical product,non,23,5,530318
brai gras et sec,1,not a medical product,non,,,530318
brai gras goudron,5,not a medical product,non,5,5,530318
brai gras ou goudron,3,not a medical product,non,3,5,530318
brai gros,12,not a medical product,non,12,5,530318
brai gros et goudron,2,not a medical product,non,2,5,530318
brai poix de Bourgogne,1,not a medical product,non,1,5,530318
brai poix noire,1,not a medical product,non,1,5,530318
brai raffiné,2,not a medical product,non,2,5,530318
brai raze,2,not a medical product,non,2,5,530318
brai sec,653,not a medical product,non,529,5,530318
brai sec colophane résines d'huile,5,not a medical product,non,5,5,530318
brai sec en galipot,3,not a medical product,non,3,5,530318
brai sec et résines,9,not a medical product,non,9,5,530318
brai sec résines d'huile,2,not a medical product,non,2,5,530318
brancards,3,not a medical product,non,2,6k,530318
brancards de balance de fer,1,not a medical product,non,1,8,530318
brancards de chaises,1,not a medical product,non,1,7,530318
brancards de fer,7,not a medical product,non,7,6j,530318
brancards et leurs escales,2,not a medical product,non,2,7,530318
branches de buis,1,not a medical product,non,1,2,530318
brandade,1,,non,,,1431
brandans,15,not a medical product,non,9,???,530318
brandebourg,1,not a medical product,non,1,6i,530318
brandebourg d'or,2,not a medical product,non,2,6i,530318
brandebourg de fil,1,not a medical product,non,1,6i,530318
brandebourg de soie,1,not a medical product,non,1,6f,530318
brandiers,1,not a medical product,non,,,530318
brandins,4,,non,,,1431
branle,2,not a medical product,non,,,530318
bras de bois à chandelle,1,not a medical product,non,1,???,530318
bras de cheminée,4,not a medical product,non,4,???,530318
bras de soie,1,not a medical product,non,1,???,530318
braserie,1,not a medical product,non,1,???,530318
brasserie,1,not a medical product,non,1,???,530318
braule,91,not a medical product,non,52,???,530318
braux,1,not a medical product,non,1,???,530318
brebis,24,not a medical product,non,23,0a,530318
brebis en vie,1,not a medical product,non,1,0a,530318
brebis et moutons,14,not a medical product,non,14,0a,530318
brebis et moutons mérinos et métis,7,not a medical product,non,7,0a,530318
Brésil,1,not a medical product,non,1,2,530318
bresillet,1,not a medical product,non,,,530318
brian,1,not a medical product,non,1,???,530318
brides,3,not a medical product,non,1,7,530318
brides argentées,1,not a medical product,non,1,7,530318
bridons,1,not a medical product,non,,,530318
bridons de cuir,1,not a medical product,non,,,530318
brigadis,1,not a medical product,non,1,???,530318
Brignoles,5,not a medical product,non,1,0a,530318
brins à tours,1,not a medical product,non,1,???,530318
brins d'osier,1,,non,,,1431
brionne,1,not a medical product,non,,,530318
brique,59,not a medical product,non,60,6k,530318
brique et carreaux et tuiles,7,not a medical product,non,7,6k,530318
brique et chaux et ciment et pierres et plâtre et pouzzolane et sable et terre et tuiles,10,not a medical product,non,10,9b,530318
brique et tuile et carreau de terre,21,not a medical product,non,21,6k,530318
brique et tuile et carreau et pipe,27,not a medical product,non,27,9b,530318
briques,347,not a medical product,non,290,6k,530318
briques cuites,1,not a medical product,non,1,6k,530318
briques de terre,2,not a medical product,non,1,6k,530318
briques en carreaux de terre,1,not a medical product,non,1,6k,530318
briques en carreaux de terre et tuiles,2,not a medical product,non,2,6k,530318
briques en tuiles plates,8,not a medical product,non,8,6k,530318
briques et briquettes,1,not a medical product,non,1,6k,530318
briques pleines,1,not a medical product,non,1,6k,530318
briquet,49,not a medical product,non,44,8,530318
briquet d'acier,2,,non,,,1431
briquettes,3,not a medical product,non,2,3,530318
bris d'espars,4,not a medical product,non,4,2,530318
brises,1,not a medical product,non,1,???,530318
brocante,1,not a medical product,non,1,8,530318
brocard de soie,1,not a medical product,non,1,9b,530318
brocatelle,1,not a medical product,non,1,6g,530318
brocatelle de Venise,1,not a medical product,non,1,6g,530318
brochets,20,not a medical product,non,20,0a,530318
broderie,10,not a medical product,non,7,8,530318
bronze,24,not a medical product,non,21,6j,530318
bronze airain,2,not a medical product,non,2,6j,530318
bronze et cuivre et laiton,34,not a medical product,non,34,6j,530318
bronze moulu et métal,1,not a medical product,non,1,6j,530318
broole,3,not a medical product,non,2,???,530318
brosses,259,not a medical product,non,224,8,530318
brosses à cirer,1,not a medical product,non,1,8,530318
brosses à goudron,14,not a medical product,non,8,8,530318
brosses à peindre,1,not a medical product,non,1,8,530318
brosses à sucre,1,,non,,,1431
brosses communes,1,not a medical product,non,1,8,530318
brosses et pinceaux,1,not a medical product,non,1,8,530318
brosses et vergettes,1,not a medical product,non,1,8,530318
brosses ou poutries,1,not a medical product,non,1,???,530318
brossière,1,not a medical product,non,,,530318
brou de noix,2,not a medical product,non,2,2,530318
brouettes,19,not a medical product,non,13,7,530318
brouettes et leurs roues,1,,non,,,1431
brouettes garnies de damas,1,,non,,,1431
brouettes outillées,1,not a medical product,non,1,7,530318
broulas,1,not a medical product,non,1,???,530318
broule,2,not a medical product,non,1,???,530318
brousse fraîche,5,not a medical product,non,5,0a,530318
brousse salée,1,not a medical product,non,1,0a,530318
broutes chaderdoral,1,not a medical product,non,1,???,530318
brugnoles,3,not a medical product,non,3,0a,530318
bruimes d'espars,2,not a medical product,non,2,???,530318
brûle-café de fer,1,not a medical product,non,1,6j,530318
brulis,1,not a medical product,non,,,530318
brun,2,not a medical product,non,2,5,530318
brun rouge,465,not a medical product,non,410,5,530318
brustes à tisserand,19,not a medical product,non,18,???,530318
brustes ou bruyère,2,not a medical product,non,,,530318
brut,1,not a medical product,non,1,???,530318
bruyère,5,not a medical product,non,3,2,530318
bruyère à vergettes,2,not a medical product,non,,,530318
bruyère et racines à vergettes,6,not a medical product,non,6,2,530318
bruyère étrangère non montée,2,not a medical product,non,,,530318
bûches de bois rouge de 8 pieds,1,not a medical product,non,,,530318
buege de fer,1,not a medical product,non,,,530318
bufferie,1,not a medical product,non,,,530318
buffets,3,not a medical product,non,3,8,530318
buffets d'acajou,4,not a medical product,non,2,8,530318
buffles,9,not a medical product,non,9,0a,530318
buffles de chamois,5,not a medical product,non,5,0a,530318
buffletin,1,not a medical product,non,1,0a,530318
bugnette,1,not a medical product,non,,,530318
bulbes et oignons,7,not a medical product,non,7,0a,530318
buldan,1,not a medical product,non,1,???,530318
burail,17,not a medical product,non,17,6f,530318
burail de laine,3,not a medical product,non,3,???,530318
burail de laine et étamine de laine,8,not a medical product,non,8,6e,530318
burat,54,not a medical product,non,51,6e,530318
burat d'Auvergne,3,not a medical product,non,3,6e,530318
burat de laine,1,not a medical product,non,1,6e,530318
burat de laine et de soie,1,not a medical product,non,1,6f,530318
bure,9,not a medical product,non,9,6e,530318
bure étoffe,1,not a medical product,non,1,6e,530318
bureau,40,not a medical product,non,35,8,530318
bureau d'acajou,6,not a medical product,non,4,8,530318
bureau de bois des Indes,1,not a medical product,non,1,8,530318
bureau de chêne,1,not a medical product,non,,,530318
bureau de marqueterie,1,not a medical product,non,,,530318
bureau de noyer,4,not a medical product,non,3,8,530318
bureau de sapin,9,not a medical product,non,6,8,530318
bureau garni de cuivre doré,1,not a medical product,non,1,8,530318
bureau verni,4,not a medical product,non,2,8,530318
bures de sanglier,1,not a medical product,non,1,0a,530318
burmards et leurs poids,1,not a medical product,non,1,???,530318
buses pour raffiner le sucre,1,not a medical product,non,1,8,530318
busquière d'argent,1,not a medical product,non,1,8,530318
busquière d'or et busquière d'argent,1,not a medical product,non,1,8,530318
bustes de marbre,3,not a medical product,non,3,8,530318
buvie,1,not a medical product,non,1,???,530318
buzes,1,not a medical product,non,,,530318
cabans de palme,2,not a medical product,non,2,8,530318
cabans ou capotes,6,not a medical product,non,6,8,530318
cabans pour café,1,not a medical product,non,1,8,530318
cabarets,20,not a medical product,non,17,8,530318
cabarets de bois vernis,3,not a medical product,non,3,8,530318
cabarets de sapin,2,not a medical product,non,,,530318
cabarets de sapin et de chêne,2,not a medical product,non,,,530318
cabarets de sapin peints,1,not a medical product,non,1,8,530318
cabarets des Indes,2,not a medical product,non,,,530318
cabarets des Indes vernis,3,not a medical product,non,,,530318
cabarets façon de la Chine,2,,non,,,1431
cabarets garnis,2,not a medical product,non,2,8,530318
cabarets peints,2,not a medical product,non,1,8,530318
cabarets pour café,9,not a medical product,non,9,8,530318
cabarets pour thé,1,not a medical product,non,1,8,530318
cabarets vernis,71,not a medical product,non,38,8,530318
cabas,14,not a medical product,non,14,9c,530318
cabas d'auf,2,not a medical product,non,2,8,530318
cabas d'espars,1,not a medical product,non,1,8,530318
cabas de jonc,10,not a medical product,non,9,8,530318
cabas de laine,1,not a medical product,non,1,6e,530318
cabas de palme,21,not a medical product,non,21,8,530318
cabas de palme petits,2,not a medical product,non,2,8,530318
cabestan,2,not a medical product,non,,,530318
cabillaud,254,not a medical product,non,211,0a,530318
cabine de noyer,2,not a medical product,non,2,6b,530318
cabine de sapin,3,not a medical product,non,1,6b,530318
cabine peinte,3,not a medical product,non,,,530318
cabinet,5,not a medical product,non,5,8,530318
cabinet de bois de Faial,1,not a medical product,non,1,8,530318
cabinet de bois peint,1,not a medical product,non,,,530318
cabinet de bois vernis,1,not a medical product,non,1,8,530318
cabinet de noyer,1,not a medical product,non,1,8,530318
cabinet de sapin,3,not a medical product,non,2,8,530318
cabinet du Japon,1,not a medical product,non,1,8,530318
cabinet peint,5,not a medical product,non,1,8,530318
cabinet verni,2,not a medical product,non,,,530318
câble,23,not a medical product,non,13,6d,530318
câble assorti,1,not a medical product,non,1,6d,530318
câble de 12 pouces de grosseur,1,not a medical product,non,,,530318
câble de chanvre,1,not a medical product,non,1,6d,530318
câble de navire,4,not a medical product,non,4,6d,530318
câble de navire moyen,1,not a medical product,non,1,6d,530318
câble neuf,2,not a medical product,non,,,530318
câble vieux,2,not a medical product,non,1,6d,530318
câbleaux,1,not a medical product,non,1,6d,530318
caboches,51,not a medical product,non,50,6j,530318
caboches de fer,3,not a medical product,non,1,6j,530318
caboches de fer et clous,17,not a medical product,non,17,6j,530318
caboches de marbre,1,not a medical product,non,1,8,530318
cabochon,1,not a medical product,non,1,8,530318
cabosse,3,not a medical product,non,,,530318
cabriolets,35,not a medical product,non,29,7,530318
cabriolets de velours de Prusse,1,not a medical product,non,1,7,530318
cabrions,1,not a medical product,non,1,???,530318
cabrouets,5,not a medical product,non,5,7,530318
cabrouets complets,1,,non,,,1431
cacao,2108,not a medical product,non,1752,0b,530318
cacao avarié,1,not a medical product,non,,,530318
cacao broyé,21,not a medical product,non,19,0b,530318
cacao brut,10,not a medical product,non,10,0b,530318
cacao brut des entrepôts,1,not a medical product,non,1,0b,530318
cacao de Caracas,66,not a medical product,non,66,0b,530318
cacao de Guyaquil,1,not a medical product,non,1,0b,530318
cacao des Îles,28,not a medical product,non,28,0b,530318
cacao du Maranhão,16,not a medical product,non,16,0b,530318
cacao en graine,12,not a medical product,non,11,0b,530318
cacao en pâte,1,,non,,,1431
cacao et café et sucre,12,not a medical product,non,12,0b,530318
cacao et chocolat,8,not a medical product,non,8,0b,530318
cacao étranger,4,not a medical product,non,4,0b,530318
cache,1,not a medical product,non,1,???,530318
cachets d'argent,1,not a medical product,non,1,8,530318
cachets de cuivre,1,not a medical product,non,1,6j,530318
cachets dorés,2,not a medical product,non,2,8,530318
cachou,42,narrow medical product,non,42,2,24146
cachou brut,5,narrow medical product,non,5,2,24146
cachou marron,1,narrow medical product,non,1,2,24146
cadeau,1,not a medical product,non,,,530318
cadeligue de laine,1,not a medical product,non,1,6e,530318
cadenas,61,not a medical product,non,43,6j,530318
cadenas de fer,9,not a medical product,non,4,6j,530318
cadenas petits,2,not a medical product,non,1,6j,530318
cadis,102,not a medical product,non,96,6e,530318
cadis de coton ratiné,1,not a medical product,non,1,6g,530318
cadis de Givaudan,1,not a medical product,non,1,6i,530318
cadis de Montauban,1,not a medical product,non,1,6e,530318
cadis rouge,1,not a medical product,non,1,6e,530318
cadisson,1,not a medical product,non,1,???,530318
cadot,2,not a medical product,non,2,8,530318
cadrans d'horloge,1,not a medical product,non,1,8,530318
cadrans de montres,1,not a medical product,non,1,8,530318
cadres,1,,non,,,1431
cadres de bois,7,not a medical product,non,7,8,530318
cadres de bois doré,1,not a medical product,non,1,8,530318
cadres de miroirs,1,not a medical product,non,1,8,530318
cadres dorés,8,not a medical product,non,8,8,530318
cadres dorés et tableaux,1,not a medical product,non,1,8,530318
cadres neufs,1,not a medical product,non,1,8,530318
cadres petits avec leurs verres,1,not a medical product,non,1,8,530318
cadres pour carder,1,not a medical product,non,1,8,530318
cadres pour tableaux,1,not a medical product,non,1,8,530318
cafas,1,not a medical product,non,1,???,530318
café,1682,not a medical product,non,1355,0b,530318
café avarié,4,not a medical product,non,2,0b,530318
café commun,14,not a medical product,non,15,0b,530318
café commun du Levant,2,not a medical product,non,2,0b,530318
café d'Amérique,55,not a medical product,non,,,530318
café de Bourbon,219,not a medical product,non,117,0b,530318
café de la Dominique,1,not a medical product,non,,,530318
café de la Martinique,20,not a medical product,non,3,0b,530318
café de Moka,233,not a medical product,non,137,0b,530318
café de Moka avarié,2,,non,,,1431
café des entrepôts,1,not a medical product,non,1,0b,530318
café des Indes,1502,not a medical product,non,1140,0b,530318
café du Levant,106,not a medical product,non,97,0b,530318
café en parchemin,19,not a medical product,non,11,0b,530318
café entré par Bordeaux et Le Havre,1,not a medical product,non,1,0b,530318
café et cacao,10,not a medical product,non,10,0b,530318
café et provisions,1,not a medical product,non,1,0b,530318
café et sucre et thé,10,not a medical product,non,10,0b,530318
café ordinaire,1,not a medical product,non,1,0b,530318
café pour Genève,1,not a medical product,non,1,0b,530318
café pur,2,not a medical product,non,1,0b,530318
café trié,2,not a medical product,non,2,0b,530318
cafetière de cuivre,0,,oui,,,1431
cafetière de fer-blanc,0,not a medical product,oui,1,6k,530318
cafetières,50,not a medical product,non,44,6k,530318
cafetières d'étain,1,not a medical product,non,1,6j,530318
cafetières de cuivre,25,not a medical product,non,18,6j,530318
cafetières de cuivre rouge,1,not a medical product,non,,,530318
cafetières de fer-blanc,3,not a medical product,non,2,6j,530318
cafetières de métal,11,not a medical product,non,10,6j,530318
cafetières du Levant,1,not a medical product,non,1,6k,530318
cafetières en or,1,not a medical product,non,1,6k,530318
cafetou de fer,1,not a medical product,non,1,6j,530318
caffart,8,not a medical product,non,6,6f,530318
caffart blanc,1,not a medical product,non,1,6f,530318
caffart carpette et ligatures,4,not a medical product,non,1,6i,530318
caffart de damas,6,not a medical product,non,6,6i,530318
caffart de laine,1,not a medical product,non,1,6i,530318
caffatines,2,not a medical product,non,1,???,530318
cages,3,not a medical product,non,3,8,530318
cages pour oiseaux,9,not a medical product,non,5,8,530318
cages pour perroquets,2,not a medical product,non,1,8,530318
cages pour poules,1,not a medical product,non,1,8,530318
cahouannes,10,not a medical product,non,4,2,530318
cailles,4,not a medical product,non,3,0a,530318
cailloux,1,not a medical product,non,1,2,530318
cailloux à faïence ou porcelaine,2,not a medical product,non,2,2,530318
cailloux et sable à faïence ou porcelaine,2,not a medical product,non,2,2,530318
caisse,3,not a medical product,non,3,9c,530318
caisse à carafons,1,not a medical product,non,1,9c,530318
caisse à finance,2,not a medical product,non,2,8,530318
caisse de berline et train,1,not a medical product,non,1,7,530318
caisse de carrosses,1,not a medical product,non,1,7,530318
caisse de liège,1,not a medical product,non,1,6b,530318
caisse de sapin,9,not a medical product,non,6,6b,530318
caisse et têtes de carton,1,not a medical product,non,1,6c,530318
caisse vide,2,not a medical product,non,1,9c,530318
caissettes pour balz,1,not a medical product,non,,,530318
cal d'artichaut,1,not a medical product,non,1,0a,530318
caladaris,66,not a medical product,non,24,6g,530318
caladaris des Indes,3,not a medical product,non,3,6g,530318
calames,1,not a medical product,non,1,???,530318
calamine,24,not a medical product,non,22,2,530318
calamine grillée,1,not a medical product,non,1,2,530318
calamine grillée pulvérisée ou non et zinc,4,not a medical product,non,4,2,530318
calamine pierres calaminaires et zinc,2,not a medical product,non,2,2,530318
calamus,9,narrow medical product,non,9,2,24146
calamus aromaticus,5,narrow medical product,non,5,2,24146
calandrine,1,not a medical product,non,1,2,530318
calaurure,1,narrow medical product,non,1,???,24146
calbas,4,not a medical product,non,,,530318
calebasses vides,1,not a medical product,non,1,2,530318
calèches,2,not a medical product,non,2,7,530318
caleçons,2,not a medical product,non,1,8,530318
calenderis,1,not a medical product,non,1,???,530318
calice d'argent,1,not a medical product,non,1,8,530318
calicot,1,not a medical product,non,1,6g,530318
calicot et toile de coton blancs et écrus,1,not a medical product,non,1,6g,530318
calicot et toile de coton imprimés et teints,1,not a medical product,non,1,6g,530318
calicots et percale de coton blanc,1,not a medical product,non,1,6g,530318
callemande,383,not a medical product,non,319,6e,530318
callemande aune,1,not a medical product,non,1,6e,530318
callemande d'Amiens,4,not a medical product,non,4,6e,530318
callemande de laine,45,not a medical product,non,46,6e,530318
callemande de laine noire,1,not a medical product,non,1,6e,530318
callemande de Lille,2,not a medical product,non,2,6e,530318
callemande de poil,130,not a medical product,non,130,6e,530318
callemande des prises,1,not a medical product,non,1,6e,530318
callemande étroite de laine,1,not a medical product,non,1,6e,530318
callemande noire,1,not a medical product,non,,,530318
callemande ordinaire,1,not a medical product,non,,,530318
callemande pièces de 30 aunes,1,not a medical product,non,,,530318
calmotte,1,not a medical product,non,1,???,530318
calotte,1,not a medical product,non,1,8,530318
calotte de papier,1,not a medical product,non,1,8,530318
calotte de peau divine,1,not a medical product,non,1,8,530318
calotte de prêtre,2,not a medical product,non,2,8,530318
calotte et sacs de papier,1,not a medical product,non,1,9c,530318
calotte hollandaise,1,not a medical product,non,1,8,530318
calpo baljainum,1,not a medical product,non,1,???,530318
cambaye,3,not a medical product,non,2,6g,530318
cambaye à grands carreaux,1,not a medical product,non,,,530318
cambouis,1,not a medical product,non,1,2,530318
camelot,228,not a medical product,non,143,6i,530318
camelot à mi-soie,6,not a medical product,non,6,6f,530318
camelot à peu de soie,13,not a medical product,non,9,6f,530318
camelot au quart,3,not a medical product,non,1,6i,530318
camelot au sixième de soie,3,not a medical product,non,2,6f,530318
camelot au-dessous du sixième de soie,1,not a medical product,non,1,6f,530318
camelot aune,1,not a medical product,non,1,6i,530318
camelot avec soie,4,not a medical product,non,2,6f,530318
camelot burail,6,not a medical product,non,5,6i,530318
camelot d'Amiens,24,not a medical product,non,20,6i,530318
camelot d'Angleterre,1,not a medical product,non,1,6i,530318
camelot d'Angleterre et de Hollande,12,not a medical product,non,12,6i,530318
camelot d'angora,1,not a medical product,non,1,6e,530318
camelot d'Auvergne,12,not a medical product,non,10,6i,530318
camelot de Bruxelles,4,not a medical product,non,3,6i,530318
camelot de burail,1,not a medical product,non,1,6i,530318
camelot de Chine,2,not a medical product,non,,,530318
camelot de coton,1,not a medical product,non,1,6g,530318
camelot de Douai,2,not a medical product,non,,,530318
camelot de France,3,not a medical product,non,,,530318
camelot de Hollande,5,not a medical product,non,5,6i,530318
camelot de laine,239,not a medical product,non,214,6e,530318
camelot de laine écru,1,not a medical product,non,1,6e,530318
camelot de laine et de poil,2,not a medical product,non,2,6e,530318
camelot de laine et de soie,28,not a medical product,non,24,6f,530318
camelot de laine et soie,2,not a medical product,non,2,6f,530318
camelot de laine étroit,6,not a medical product,non,6,6e,530318
camelot de laine faille,4,not a medical product,non,4,6e,530318
camelot de laine large,8,not a medical product,non,8,6e,530318
camelot de laine petit dit de Berlin,1,not a medical product,non,1,6e,530318
camelot de Lille,12,not a medical product,non,6,6i,530318
camelot de Lille de soie,1,not a medical product,non,,,530318
camelot de Lille et autres,8,not a medical product,non,8,6i,530318
camelot de poil,185,not a medical product,non,177,6e,530318
camelot de poil de chèvre,2,not a medical product,non,,,530318
camelot de poil de laine,12,not a medical product,non,11,6e,530318
camelot de poil et de soie,11,not a medical product,non,9,6f,530318
camelot de poil fin,1,not a medical product,non,,,530318
camelot de Smyrne,2,not a medical product,non,,,530318
camelot de soie,42,not a medical product,non,30,6f,530318
camelot de terrine,1,not a medical product,non,1,6i,530318
camelot des Indes,4,not a medical product,non,1,6i,530318
camelot écarlate,11,not a medical product,non,11,6i,530318
camelot et burail de laine,2,not a medical product,non,2,6e,530318
camelot et étamine,1,not a medical product,non,,,530318
camelot et panne de laine,1,not a medical product,non,1,6e,530318
camelot fil et soie,1,not a medical product,non,,,530318
camelot fin,2,not a medical product,non,1,6i,530318
camelot gaufré,1,,non,,,1431
camelot jaspé,1,not a medical product,non,1,6i,530318
camelot petit dit Berlin,1,not a medical product,non,1,6i,530318
camelot rayé,1,not a medical product,non,1,6i,530318
cameramain,1,not a medical product,non,1,???,530318
camion à garnir voiture,1,not a medical product,non,1,7,530318
camisoles,12,not a medical product,non,9,8,530318
camisoles de laine,3,not a medical product,non,1,8,530318
camisoles de toile,1,,non,,,1431
camisoles et casaques,2,not a medical product,non,,,530318
camisoles et redingotes,7,not a medical product,non,2,8,530318
camisoles pour nègre,1,not a medical product,non,1,8,530318
camomille,1,narrow medical product,non,1,0a,24146
Campêche,1,not a medical product,non,1,2,530318
camphre,292,narrow medical product,non,259,2,24146
camphre brut,21,narrow medical product,non,20,2,24146
camphre brut et raffiné,2,narrow medical product,non,2,9b,24146
camphre raffiné,44,narrow medical product,non,44,5,24146
canades,1,not a medical product,non,1,???,530318
canapé,10,not a medical product,non,8,8,530318
canapé de canne,1,not a medical product,non,1,8,530318
canapé de cuir de Russie,1,not a medical product,non,1,8,530318
canapé de maroquin et tables à jouer,1,not a medical product,non,1,8,530318
canapé de taffetas,1,,non,,,1431
canardières,1,narrow medical product,non,1,???,24146
canards,13,not a medical product,non,12,0a,530318
canards en vie,1,not a medical product,non,1,0a,530318
canaris,1,not a medical product,non,1,0a,530318
canaris ou serins,1,not a medical product,non,1,0a,530318
canaux,1,not a medical product,non,1,???,530318
candetas,1,not a medical product,non,1,???,530318
cane,1,not a medical product,non,1,9c,530318
cane garnie,2,not a medical product,non,1,9c,530318
caneffas,1,not a medical product,non,1,???,530318
canefice,578,narrow medical product,non,482,2,24146
canefice des prises,1,narrow medical product,non,,,24146
canefice en café,1,narrow medical product,non,,,24146
canefice raffiné,1,narrow medical product,non,1,2,24146
caneficier,1,not a medical product,non,1,2,530318
canelle (étoffe),1,not a medical product,non,1,0b,530318
canena,1,not a medical product,non,1,???,530318
canepre,1,not a medical product,non,1,???,530318
canerelles,1,not a medical product,non,1,???,530318
canettes des Indes,1,not a medical product,non,,,530318
canevas,74,not a medical product,non,65,6d,530318
canevas à 15 sols l'aune,1,not a medical product,non,1,6d,530318
canevas de fil,2,not a medical product,non,1,6d,530318
canevas gommée,3,not a medical product,non,3,6d,530318
canevas tracé,7,not a medical product,non,7,6d,530318
canevettes,43,not a medical product,non,41,8,530318
canevettes à flacons,1,not a medical product,non,1,8,530318
canevettes de grès,15,not a medical product,non,9,8,530318
canevettes de grès de 6 flacons,1,not a medical product,non,1,8,530318
canevettes ou caisse de 6 flacons pour la traite,2,not a medical product,non,2,8,530318
canevettes vides,2,not a medical product,non,2,8,530318
canifs,2,not a medical product,non,2,6k,530318
caniques,1,not a medical product,non,1,???,530318
cannelle,1330,not a medical product,non,1147,0b,530318
cannelle commune,18,not a medical product,non,18,0b,530318
cannelle commune des entrepôts,1,not a medical product,non,1,0b,530318
cannelle commune et cassia,1,not a medical product,non,1,0b,530318
