simplification,nbr_occurences_simpl,obsolete,medicinales,nbr_obs,nbr_occurences_medicinales
clous de cuivre jaune,11,non,not a medical product,1,795416
clous de fer,1793,non,not a medical product,1323,795416
clous de fer à barriques,1,oui,,,42621
clous de fer à charrettes,1,non,not a medical product,1,795416
clous de fer gonds,1,non,not a medical product,1,795416
clous de fer neufs,1,non,not a medical product,1,795416
clous de fer ordinaires,1,non,not a medical product,1,795416
clous de fer pour barriques,1,non,,,42621
clous de fer vieux,2,non,not a medical product,2,795416
clous de girofle,122,non,not a medical product,13,795416
clous de girofle et griffes,3,non,not a medical product,3,795416
clous de girofle fleurs,5,non,not a medical product,5,795416
clous de girofle fleurs des entrepôts,0,non,not a medical product,1,795416
clous de laiton,10,non,not a medical product,10,795416
clous dorés,48,non,not a medical product,44,795416
clous en fer,6,non,,,42621
clous et acier,4,non,not a medical product,1,795416
clous vieux,3,non,not a medical product,2,795416
cloutaille,1,non,not a medical product,1,795416
cloutiers,8,non,not a medical product,1,795416
coak,1,non,not a medical product,1,795416
coas de soie,1,non,not a medical product,1,795416
coati,1,non,not a medical product,,795416
cobalt grillé,4,non,not a medical product,4,795416
cobalt métal,3,non,not a medical product,3,795416
cobalt métal et minerai,2,non,not a medical product,2,795416
cobalt minerai,1,non,not a medical product,1,795416
cobalt minéral,1,non,not a medical product,1,795416
cocalum,2,non,not a medical product,2,795416
cocax,2,non,not a medical product,2,795416
cochelis,19,oui,not a medical product,4,795416
cochenille,1242,non,not a medical product,982,795416
cochenille Campêchane,1,oui,not a medical product,1,795416
cochenille Campêche,2,non,not a medical product,1,795416
cochenille de retour,1,non,,,42621
cochenille en grabeau,101,non,,,42621
cochenille et indigo,1,non,not a medical product,1,795416
cochenille fil verte,1,non,not a medical product,,795416
cochenille fine,23,non,not a medical product,17,795416
cochenille mestèque,72,non,not a medical product,57,795416
cochenille mustack,2,non,not a medical product,2,795416
cochenille sylvestre,52,non,not a medical product,37,795416
cochon,20,non,not a medical product,25,795416
cochon confit,0,oui,not a medical product,6,795416
cochon de lait,1,non,not a medical product,31,795416
cochon de lait au-dessous de 3 mois,0,oui,not a medical product,2,795416
cochon en vie,1,non,,,42621
cochon petit,2,non,not a medical product,2,795416
cochon salé,0,oui,not a medical product,173,795416
cochon salé et petit salé,10,non,not a medical product,10,795416
cochons de lait,1,non,,,42621
coclearia,11,non,not a medical product,6,795416
coco,81,non,not a medical product,63,795416
coco caroube,2,non,,,42621
coco caroubes frais,2,oui,not a medical product,2,795416
coco des Indes,2,non,not a medical product,1,795416
coco du Levant,3,non,not a medical product,2,795416
coco petit,1,non,not a medical product,1,795416
coco plate,1,non,not a medical product,,795416
coco vert,3,non,not a medical product,3,795416
cocons,6,non,not a medical product,3,795416
cocons de soie,144,non,not a medical product,106,795416
cocons de vers à soie,3,non,not a medical product,3,795416
coctif,1,non,not a medical product,1,795416
cocullus,3,non,not a medical product,1,795416
coddes blancs,5,non,not a medical product,1,795416
coëtif,11,non,not a medical product,9,795416
cœurs de bœuf,3,non,not a medical product,3,795416
coffres,11,non,not a medical product,7,795416
coffres à étuve,2,non,not a medical product,2,795416
coffres à garniture de peau,10,non,not a medical product,1,795416
coffres à matelots,1,non,,,42621
coffres à perruque,1,non,not a medical product,,795416
coffres à thé,1,non,not a medical product,1,795416
coffres à vin,1,non,not a medical product,1,795416
coffres de bois,25,non,not a medical product,21,795416
coffres de chimie,1,non,,,42621
coffres de chirurgie,119,non,narrow medical product,86,26542
coffres de commodité,5,non,not a medical product,1,795416
coffres de fer,25,non,not a medical product,17,795416
coffres de fer de 300 livres,1,non,,,42621
coffres de fer et berses,10,non,not a medical product,1,795416
coffres de fonte,1,non,,,42621
coffres de gaz,1,non,,,42621
coffres de noyer,1,non,not a medical product,1,795416
coffres de sapin,2,non,not a medical product,1,795416
coffres de sapin peints,1,non,,,42621
coffres peints,2,non,not a medical product,1,795416
coffres vides,1,non,not a medical product,1,795416
coffres vieux,1,non,not a medical product,1,795416
coffres-forts,21,non,not a medical product,17,795416
coffres-forts de fer,13,non,not a medical product,5,795416
cognac,7,non,not a medical product,1,795416
cognées de bois,1,non,,,42621
coiffes,2,non,not a medical product,1,795416
coiffes à perruque,2,non,not a medical product,1,795416
coiffes blondes,6,non,not a medical product,1,795416
coiffes blondes et de gaze,1,non,,,42621
coiffes blondes et palatine,1,non,,,42621
coiffes brodées,1,non,,,42621
coiffes de chapeaux,85,non,not a medical product,13,795416
coiffes de dentelle,5,non,,,42621
coiffes de dentelle de soie,1,non,not a medical product,1,795416
coiffes de gaze,10,non,not a medical product,2,795416
coiffes de Marly,1,non,,,42621
coiffes de tambou,1,non,not a medical product,1,795416
coiffes et palatines,2,non,,,42621
coiffes pour chapeaux et coiffes de perruques,3,non,,,42621
coiffes pour femme,2,non,,,42621
coiffures,1,oui,not a medical product,1,795416
coiffures à dentelles,4,oui,not a medical product,1,795416
coiffures blondes,0,oui,not a medical product,4,795416
coiffures blondes et de gaze,0,oui,not a medical product,1,795416
coiffures blondes et palatine,0,oui,not a medical product,1,795416
coiffures de gaze,0,oui,not a medical product,7,795416
coiffures de Marly,0,oui,not a medical product,1,795416
coiffures et palatines,0,oui,not a medical product,2,795416
coiffures pour chapeaux et coiffes de perruques,0,oui,not a medical product,1,795416
coiffures pour femme,0,oui,not a medical product,1,795416
coignées de bois,0,oui,not a medical product,1,795416
coing fruit,1,non,,,42621
coins fruit,0,oui,not a medical product,1,795416
coïtif,1,non,not a medical product,4,795416
çoka,1,oui,not a medical product,1,795416
col à femme,1,non,not a medical product,,795416
colins,1,non,not a medical product,1,795416
colis,1,non,not a medical product,,795416
colle,232,non,not a medical product,217,795416
colle à papetier,12,non,not a medical product,12,795416
colle à papier,4,non,not a medical product,4,795416
colle à poisson,1,non,not a medical product,1,795416
colle claire,2,non,not a medical product,1,795416
colle commune,195,non,not a medical product,70,795416
colle de Flandre,37,non,not a medical product,22,795416
colle de papetier,1,non,not a medical product,1,795416
colle de peau d'âne,1,oui,not a medical product,,795416
colle de peaux d'âne,1,non,,,42621
colle de poisson,620,non,not a medical product,458,795416
colle de poisson forte,1,non,,,42621
colle faible,1,non,not a medical product,1,795416
colle forte,677,non,not a medical product,558,795416
colle forte de Flandre,1,non,not a medical product,1,795416
colle forte de poisson,3,non,not a medical product,2,795416
colle poisson,1,non,not a medical product,1,795416
collets toile de lin,1,non,not a medical product,1,795416
colliers d'ambre,1,non,not a medical product,1,795416
colliers de chevaux,8,non,not a medical product,8,795416
colliers de corail,1,non,not a medical product,1,795416
colliers de femme,3,non,not a medical product,,795416
colliers de grenat,7,non,not a medical product,4,795416
colliers de grenat faux,1,non,not a medical product,1,795416
colliers de jais,3,non,not a medical product,2,795416
colliers de nacre de perles,1,non,not a medical product,1,795416
colliers de perles,2,non,not a medical product,2,795416
colliers de perles fausses,19,non,not a medical product,19,795416
colliers de verre,3,non,not a medical product,1,795416
colling de laine,1,non,,,42621
colombine,274,non,not a medical product,210,795416
colonne,2,non,not a medical product,1,795416
colonne de bois de faïence,1,non,,,42621
colonne de bois violet,1,non,,,42621
colonne de noyer,1,non,not a medical product,1,795416
colophane ou Spingler,3,non,not a medical product,1,795416
coloquinte,169,non,narrow medical product,137,26542
colorant et verdet,4,non,not a medical product,1,795416
cols,1,non,not a medical product,1,795416
colza navettes et autres,1,non,not a medical product,1,795416
combustible,1,non,not a medical product,,795416
comestibles,83,non,not a medical product,65,795416
comestibles saindoux,3,non,not a medical product,3,795416
commode,50,non,not a medical product,21,795416
commode avec dessus de marbre,9,non,not a medical product,9,795416
commode d'acajou,4,non,not a medical product,2,795416
commode de bois,5,non,not a medical product,4,795416
commode de bois violet,1,non,not a medical product,1,795416
commode de marqueterie,1,non,not a medical product,1,795416
commode de noyer,8,non,not a medical product,3,795416
commode de sapin,9,non,not a medical product,5,795416
commode de sapin peinte,1,non,,,42621
commode de sapin vernie,0,non,,,42621
commode ornée,1,non,not a medical product,1,795416
commodes,0,oui,not a medical product,25,795416
commodes de bois,1,non,not a medical product,1,795416
commodes de sapin vernies,1,non,,,42621
communes,0,non,not a medical product,1,795416
compas,3,non,not a medical product,2,795416
compas de cuivre,2,non,not a medical product,2,795416
compas de fer,2,non,not a medical product,1,795416
compas de mer,5,non,not a medical product,4,795416
compas de route,4,non,not a medical product,4,795416
compas et cartes de nouveautés,1,non,not a medical product,,795416
compas et horloge de sable,1,non,not a medical product,1,795416
comperose,1,non,not a medical product,1,795416
composition de chimie,1,non,not a medical product,1,795416
composition de verre,4,non,not a medical product,4,795416
compotiers de porcelaine,1,non,not a medical product,,795416
compotiers de terre,1,non,not a medical product,1,795416
concombre et cornichons,3,non,not a medical product,1,795416
concombre et cornichons en adobe,3,non,not a medical product,1,795416
conducteur,1,non,not a medical product,1,795416
confection,12,non,narrow medical product,12,26542
confection d'alkermès,3,non,narrow medical product,3,26542
confection d'hyacinthe,17,non,narrow medical product,17,26542
confits en confitures,4,non,,,42621
confiture et fruits à l'eau-de-vie,100,oui,,,42621
confitures,2343,non,not a medical product,1557,795416
confitures à l'eau-de-vie,5,non,not a medical product,5,795416
confitures de cerise,1,non,not a medical product,1,795416
confitures de Chine,1,non,not a medical product,,795416
confitures de France,1,non,not a medical product,,795416
confitures de l'étranger,0,non,not a medical product,1,795416
confitures de miel,1,non,not a medical product,,795416
confitures et fruit confit au sucre,16,oui,not a medical product,16,795416
confitures et fruits à l'eau-de-vie,100,non,,,42621
confitures et fruits confits au sucre,33,non,not a medical product,17,795416
confitures et succade,245,non,not a medical product,1,795416
confitures et sucre,1,non,not a medical product,,795416
confitures fines,4,non,not a medical product,,795416
confitures fluides et sèches,1,non,not a medical product,1,795416
confitures fromage moutarde etc.,1,non,not a medical product,1,795416
confitures liquides,11,non,not a medical product,11,795416
confitures sèches,21,non,not a medical product,12,795416
congres,52,non,not a medical product,51,795416
connaissement,1,non,not a medical product,1,795416
conserve d'alkermès,1,non,not a medical product,1,795416
conserve de rose,8,non,not a medical product,8,795416
conserves de fleurs d'oranger,1,non,not a medical product,1,795416
contantine,1,non,,,42621
conterie,105,non,not a medical product,80,795416
contra yerba,32,non,narrow medical product,24,26542
contrebordé,18,non,not a medical product,12,795416
contrebrodé,5,non,not a medical product,4,795416
contrefoyer de fer,3,non,not a medical product,3,795416
conty,2,oui,not a medical product,1,795416
copale,3,non,not a medical product,3,795416
copeaux,2,non,,,42621
copeaux pour fourreaux d'épée,1,non,not a medical product,1,795416
coqs,4,non,not a medical product,1,795416
coqs d'Inde,10,non,not a medical product,8,795416
coqs du Levant,3,non,not a medical product,2,795416
coque,2,non,not a medical product,1,795416
coque de coco,5,non,not a medical product,5,795416
coque de mouche à miel,1,non,not a medical product,1,795416
coque du Levant,122,non,narrow medical product,101,26542
coquenard de cuivre,1,non,not a medical product,1,795416
coquillage,71,non,not a medical product,47,795416
coquillage de mer,3,non,not a medical product,1,795416
coquillages homards moules,3,non,not a medical product,3,795416
coquillages pleins et homards à la valeur,1,non,not a medical product,1,795416
coquillages pleins et homards au kilogramme,1,non,not a medical product,1,795416
coquilles de mer,130,non,not a medical product,32,795416
coquilles de nacre,32,non,not a medical product,31,795416
coquilles de Saint-Jacques,1,non,not a medical product,,795416
corail,204,non,not a medical product,78,795416
corail blanc,10,non,not a medical product,10,795416
corail brun,4,non,not a medical product,3,795416
corail brut,218,non,not a medical product,182,795416
corail brut et non monté et taillé,22,non,not a medical product,22,795416
corail brut et taillé,23,non,not a medical product,23,795416
corail de demitte,1,oui,not a medical product,,795416
corail de jardin,54,non,not a medical product,47,795416
corail de retour,1,non,,,42621
corail de terraille,1,oui,not a medical product,1,795416
corail en filières,3,non,not a medical product,2,795416
corail en grabeau,34,non,,,42621
corail et non monté et taillé,8,oui,not a medical product,8,795416
corail faux,12,non,not a medical product,9,795416
corail fin,4,non,not a medical product,3,795416
corail gros,31,non,not a medical product,27,795416
corail non monté taillé,9,non,not a medical product,1,795416
corail ouvré,1,non,not a medical product,1,795416
corail râpé,1,non,,,42621
corail rouge,3,non,not a medical product,3,795416
corail rouge ouvré,2,oui,not a medical product,2,795416
corail taillé,2,non,not a medical product,2,795416
corail terraille,23,non,not a medical product,20,795416
coraline,3,non,not a medical product,2,795416
corbeilles,9,non,not a medical product,8,795416
corbeilles d'auf,1,non,not a medical product,1,795416
corbeilles d'osier,121,non,not a medical product,102,795416
corbeilles d'osier petites,1,non,not a medical product,1,795416
corbeilles garnies,1,non,not a medical product,1,795416
corbetons,0,non,,,42621
corbetons de 6 pieds,1,non,,,42621
corbillons,1,non,,,42621
cordage,930,non,not a medical product,629,795416
cordage ???,3,non,not a medical product,3,795416
cordage à boyaux,1,non,not a medical product,1,795416
cordage blanc,4,non,not a medical product,3,795416
cordage d'auf,43,non,not a medical product,41,795416
cordage d'autre végétaux,6,non,not a medical product,6,795416
cordage d'autre végétaux jonc sparte et tilleul,1,non,not a medical product,1,795416
cordage d'emballage,6,non,not a medical product,7,795416
cordage d'espars,233,non,not a medical product,172,795416
cordage de câbles neufs,1,non,not a medical product,1,795416
cordage de caret,1,non,not a medical product,1,795416
cordage de chanvre,770,non,not a medical product,666,795416
cordage de chanvre neuf,4,non,not a medical product,4,795416
cordage de chanvre vieux,6,non,not a medical product,6,795416
cordage de filin,2,non,not a medical product,,795416
cordage de jonc,15,non,not a medical product,15,795416
cordage de satangres,1,non,not a medical product,1,795416
cordage de thil,2,non,not a medical product,2,795416
cordage de tilleul,11,non,not a medical product,11,795416
cordage de vieux,1,non,not a medical product,1,795416
cordage dit filin,1,non,not a medical product,1,795416
cordage en morceaux,1,non,not a medical product,1,795416
cordage et cordes,0,non,not a medical product,2,795416
cordage et ficelle,35,non,not a medical product,18,795416
cordage faible,1,non,,,42621
cordage filets neuf,1,non,not a medical product,1,795416
cordage filets neuf ou en état de servir,4,non,not a medical product,4,795416
cordage goudronné,12,non,not a medical product,8,795416
cordage gros,1,non,not a medical product,,795416
cordage herbes,1,non,not a medical product,1,795416
cordage menu,1,non,not a medical product,,795416
cordage neuf,8,non,not a medical product,4,795416
cordage noir,4,non,not a medical product,1,795416
cordage pourri,2,non,not a medical product,,795416
cordage refait,2,non,not a medical product,,795416
cordage vieux,46,non,not a medical product,36,795416
cordagnes,0,oui,not a medical product,1,795416
cordat de laine,1,oui,,,42621
cordeillat,237,non,not a medical product,99,795416
cordeillat d'Oléron,2,non,not a medical product,2,795416
cordeillat de Colmar,15,non,not a medical product,11,795416
cordeillat de laine,5,oui,not a medical product,5,795416
cordeillat de Piémont,1,non,not a medical product,1,795416
cordeillat de Provence,2,non,not a medical product,2,795416
cordelats,1,oui,not a medical product,1,795416
cordellerie,3,oui,not a medical product,1,795416
cordes,4,oui,not a medical product,2,795416
cordes à arçons,9,non,not a medical product,9,795416
cordes d'auf,16,non,not a medical product,13,795416
cordes d'emballage,11,non,not a medical product,8,795416
cordes d'espars,5,non,not a medical product,1,795416
cordes d'espars petites,1,non,,,42621
cordes d'or,1,non,not a medical product,1,795416
cordes de bois à brûler,0,oui,not a medical product,,795416
cordes de bois pour brûler,0,non,,,42621
cordes de boyau et pour violons,0,non,not a medical product,2,795416
cordes de boyaux,249,non,not a medical product,122,795416
cordes de chanvre,31,non,not a medical product,27,795416
cordes de fil de fer,1,non,not a medical product,1,795416
cordes de jonc,6,non,not a medical product,3,795416
cordes de roseaux,1,non,not a medical product,1,795416
cordes de thil,2,non,not a medical product,2,795416
cordes de tilleul,1,non,not a medical product,1,795416
cordes du Levant,1,non,not a medical product,,795416
cordes et câble et ficelles,140,non,not a medical product,1,795416
cordes et écorce de tilleul,94,non,not a medical product,1,795416
cordes et ficelles,12,oui,not a medical product,12,795416
cordes ficelle,1,oui,not a medical product,1,795416
cordes neuves,1,non,not a medical product,1,795416
cordes pour carder,6,non,not a medical product,5,795416
cordes pour carder le coton,1,non,not a medical product,1,795416
cordes pour corder,1,non,not a medical product,1,795416
cordes pour fouets,2,non,not a medical product,1,795416
cordes pour guitare,5,non,not a medical product,4,795416
cordes pour instruments,10,non,not a medical product,10,795416
cordes pour violons,174,non,not a medical product,147,795416
cordes pour violons ???,0,non,not a medical product,1,795416
cordes vieilles,5,non,not a medical product,4,795416
cordial,1,non,narrow medical product,1,26542
cordillaterie,43,oui,not a medical product,37,795416
cordonnerie de cuir,34,non,not a medical product,34,795416
cordonnerie et sellerie de cuir,200,non,not a medical product,200,795416
cordonnet,4,non,not a medical product,2,795416
cordonnet de fil,3,non,not a medical product,2,795416
cordonnet de poil,2,non,not a medical product,2,795416
cordonnet de poil de chèvre,3,non,not a medical product,1,795416
cordonnet de soie,1,non,not a medical product,,795416
cordonnet pour cannes,1,non,,,42621
cordons,9,non,not a medical product,9,795416
cordons d'argent,3,non,not a medical product,3,795416
cordons d'argent et d'or,3,non,not a medical product,3,795416
cordons d'or,8,non,not a medical product,8,795416
cordons d'or et d'argent,1,non,not a medical product,1,795416
cordons d'or et de soie,1,non,not a medical product,1,795416
cordons de fil,7,non,not a medical product,7,795416
cordons de fil de lin,1,non,not a medical product,1,795416
cordons de filoselle,3,non,not a medical product,3,795416
cordons de fleuret,7,non,not a medical product,7,795416
cordons de laine,2,non,not a medical product,1,795416
cordons de montre de soie,1,non,not a medical product,1,795416
cordons de montres,2,non,not a medical product,2,795416
cordons de montres avec or,1,non,not a medical product,1,795416
cordons de soie,36,non,not a medical product,36,795416
cordons de soie à canne,2,non,not a medical product,,795416
cordons de soie d'argent,1,non,not a medical product,1,795416
cordons de soie d'argent et d'or et de soie,3,non,not a medical product,3,795416
cordons dorure d'argent,2,non,not a medical product,2,795416
cordons dorure d'argent et d'or,2,non,not a medical product,2,795416
cordons dorure d'or,3,non,not a medical product,3,795416
cordons pour chapeaux,1,non,not a medical product,1,795416
cordouans,121,non,not a medical product,92,795416
cordouans en basane,5,non,not a medical product,4,795416
cordouans en lest,1,non,,,42621
coriandre,146,non,not a medical product,28,795416
coriandre et noix,5,non,not a medical product,1,795416
coriandre et riz,5,non,not a medical product,1,795416
corinthes,110,non,not a medical product,1,795416
cornalines,7,non,not a medical product,5,795416
cornalines fines,1,non,not a medical product,1,795416
cornalines montées en or,2,non,not a medical product,1,795416
cornalines pour la Compagnie des Indes,1,non,not a medical product,,795416
corne fine,1,non,not a medical product,1,795416
cornes,100,non,not a medical product,95,795416
cornes à faire peigner,1,non,not a medical product,1,795416
cornes à lanternes,297,non,not a medical product,182,795416
cornes à peignes,1,non,not a medical product,1,795416
cornes brutes,4,non,not a medical product,4,795416
cornes de béliers,1,non,not a medical product,,795416
cornes de bétail,15,non,not a medical product,13,795416
cornes de bétail brutes,5,non,not a medical product,5,795416
cornes de bétail brutes clapons ou râpées,3,non,not a medical product,3,795416
cornes de bétail en feuillets,5,non,not a medical product,5,795416
cornes de bétail préparées,4,non,not a medical product,4,795416
cornes de bœuf,175,non,not a medical product,158,795416
cornes de bœuf et de vache,17,non,not a medical product,17,795416
cornes de bœuf et de vache crues,103,non,not a medical product,1,795416
cornes de bouc et de chèvre,3,non,not a medical product,1,795416
cornes de boucs,1,non,not a medical product,1,795416
cornes de cerf,258,non,not a medical product,153,795416
cornes de cerf dupié,1,non,not a medical product,1,795416
cornes de cerf en morceaux,12,non,not a medical product,12,795416
cornes de cerf et de snack,23,non,not a medical product,23,795416
cornes de cerf et de snack en morceaux,10,non,not a medical product,10,795416
cornes de fer,1,non,not a medical product,,795416
cornes de lanternes,5,non,not a medical product,3,795416
cornes de licorne,1,non,not a medical product,1,795416
cornes de mouton,489,non,not a medical product,334,795416
cornes de plate,1,non,not a medical product,1,795416
cornes de rhinocéros,1,non,not a medical product,1,795416
cornes de vache,6,non,not a medical product,3,795416
cornes de verre,3,non,not a medical product,3,795416
cornes plates,33,non,not a medical product,30,795416
cornes plates ou en feuilles,1,non,not a medical product,1,795416
cornes pour manches de couteaux,1,non,not a medical product,1,795416
cornes rondes,2,non,not a medical product,,795416
cornet de soie,1,non,not a medical product,1,795416
cornichons,60,non,not a medical product,53,795416
cornichons confits,1,non,not a medical product,1,795416
cornichons confits au vinaigre,1,non,not a medical product,1,795416
coroas,1,non,not a medical product,1,795416
corodarix,1,non,,,42621
corode,2,non,not a medical product,1,795416
corps d'arbre,13,non,not a medical product,1,795416
corps d'arbre bruts,55,non,not a medical product,1,795416
corps d'arbre de 20 à 30 pieds,121,non,not a medical product,1,795416
corps d'arbre de 30 à 40 pieds,82,non,not a medical product,1,795416
corps d'arbre de 40 à 50 pieds,10,non,not a medical product,1,795416
corps d'arbre de 50 à 60 pieds,4,non,not a medical product,1,795416
corps d'arbre en dessous de 20 pieds,81,non,not a medical product,1,795416
corps d'arbre réduits en pieds de gittes,96,non,not a medical product,1,795416
corps d'enfant,1,non,,,42621
corps de femme,1,non,not a medical product,1,795416
corps de fille,1,non,not a medical product,,795416
corps de jupe,0,oui,not a medical product,4,795416
corps de jupes,9,non,not a medical product,,795416
corps piqué,1,non,not a medical product,1,795416
corps piqué de jupe,0,oui,not a medical product,,795416
corps piqué de jupes,1,non,not a medical product,,795416
cors de chasse,4,non,not a medical product,4,795416
cors de chasse et trompettes,37,non,not a medical product,1,795416
cors serinettes serpent trompettes,3,non,not a medical product,3,795416
cors serinettes trombones trompettes,2,non,not a medical product,2,795416
corsane,2,non,not a medical product,2,795416
corsets,1,non,not a medical product,1,795416
corsets baleinés,3,non,not a medical product,1,795416
corsets brodés en soie,1,non,not a medical product,1,795416
corsets de demitte,8,non,not a medical product,6,795416
corsets de toile,2,non,not a medical product,2,795416
cortillaterie,4,non,not a medical product,,795416
corty,1,non,not a medical product,1,795416
corvos,0,non,not a medical product,1,795416
cosmétiques divers pâtes poudres et savons parfumés etc.,2,non,not a medical product,2,795416
costus,9,non,not a medical product,9,795416
costus doux,5,non,not a medical product,5,795416
costus verus,1,non,not a medical product,1,795416
coteaux flamands,1,non,not a medical product,,795416
cotenis,1,non,not a medical product,1,795416
côtes de baleine,5,non,not a medical product,5,795416
côtes de tabac,8,non,,,42621
cotillon de toile piquée,1,non,not a medical product,1,795416
coton,2759,non,not a medical product,587,795416
coton ???,1,non,not a medical product,1,795416
coton à broder,2,non,not a medical product,2,795416
coton autres de Méditerranée,0,non,not a medical product,1,795416
coton autres de Turquie,1,non,not a medical product,1,795416
coton autres longue soie,1,non,not a medical product,1,795416
coton bleu,1,non,not a medical product,1,795416
coton brut et fil de coton,45,non,not a medical product,33,795416
coton brut et fil de coton des Îles,1,non,not a medical product,1,795416
coton brut et fil de coton étranger,2,non,not a medical product,2,795416
coton cardé,16,non,not a medical product,16,795416
coton courte soie,13,non,not a medical product,13,795416
coton courte soie des entrepôts,0,non,not a medical product,1,795416
coton de laine,41,non,not a medical product,38,795416
coton de Malte,1,non,not a medical product,1,795416
coton de retour,1,non,,,42621
coton de Senirre,1,non,not a medical product,,795416
coton de Smyrne,1,non,not a medical product,,795416
coton des colonies françaises,1,non,not a medical product,1,795416
coton des Îles et des Indes,4,non,not a medical product,2,795416
coton des Indes,14,non,not a medical product,8,795416
coton du Brésil,1,non,,,42621
coton du Levant,65,non,,,42621
coton en balles et toile,7,non,not a medical product,1,795416
coton en feuilles cardées et gommées ouates,2,non,not a medical product,2,795416
coton en fil,1,non,not a medical product,,795416
coton en laine,1541,oui,not a medical product,1125,795416
coton en laine de retour,1,oui,not a medical product,1,795416
coton en laine des Indes,1,oui,not a medical product,1,795416
coton en laine du Brésil,1,oui,not a medical product,1,795416
coton en laine du Levant,48,oui,not a medical product,48,795416
coton en ouate,5,non,not a medical product,4,795416
coton en rames,17,non,not a medical product,16,795416
coton en rames et fil de coton,26,non,not a medical product,26,795416
coton imprimé,1,non,not a medical product,1,795416
coton longue soie,12,non,not a medical product,12,795416
coton longue soie des entrepôts,0,non,not a medical product,1,795416
coton par Dunkerque,1,non,not a medical product,1,795416
coton rouge,2,non,not a medical product,2,795416
coton sitz et mousseline,1,non,not a medical product,,795416
coton sitz et mousseline en balles,1,non,not a medical product,,795416
coton soufré,79,non,not a medical product,61,795416
coton teint,11,non,not a medical product,11,795416
cotonelle de coton,2,non,not a medical product,2,795416
cotonille,33,non,not a medical product,48,795416
cotonille bleue,1,non,not a medical product,,795416
cotonis,6,non,not a medical product,,795416
cotonis rayé,1,non,not a medical product,,795416
cotonnades,133,non,not a medical product,42,795416
cotonnades à peu de soie,1,non,not a medical product,1,795416
cotonnades bleues,1,non,not a medical product,,795416
cotonnades châles,11,non,not a medical product,11,795416
cotonné de coton,84,non,not a medical product,84,795416
cotonnée,159,non,not a medical product,102,795416
cotonnette,12,non,not a medical product,1,795416
cotonnine,52,non,not a medical product,6,795416
cotonnine anglaise,1,non,not a medical product,,795416
cotonnine bleue,1,non,not a medical product,,795416
cotons autres courte soie,1,non,not a medical product,1,795416
cotte,1,non,not a medical product,,795416
cou salé,2,non,not a medical product,2,795416
couchette,1,non,not a medical product,1,795416
couchette garnie,1,non,not a medical product,1,795416
coudre bleue,1,non,not a medical product,,795416
coüetis,4,non,not a medical product,1,795416
couettes,1,non,,,42621
couffes,0,oui,not a medical product,2,795416
couffes à boulanger,0,oui,not a medical product,61,795416
couffins,15,non,not a medical product,10,795416
couffins à boulanger,75,non,,,42621
couffins d'auf,8,non,not a medical product,8,795416
couffins d'auf petits,1,non,not a medical product,1,795416
couffins d'espars,38,non,not a medical product,31,795416
couffins d'osier,2,non,not a medical product,2,795416
couffins de jonc,2,non,not a medical product,2,795416
couffins de palme,61,non,not a medical product,59,795416
couffins de palme petits,1,non,not a medical product,1,795416
couffins petits,2,non,not a medical product,2,795416
coulements de terre,3,non,not a medical product,1,795416
coules de fer,2,non,not a medical product,2,795416
couleurs,94,non,not a medical product,16,795416
couleurs à peindre,3,non,not a medical product,3,795416
couleurs autrement préparées,2,non,not a medical product,2,795416
couleurs composées,5,non,not a medical product,5,795416
couleurs et huile,1,non,not a medical product,1,795416
couleurs et teinture fabriquées,19,non,not a medical product,19,795416
couleurs et teinture préparées,78,non,not a medical product,78,795416
couleurs préparées,2,oui,not a medical product,2,795416
couleurs préparées à l'huile,2,non,not a medical product,2,795416
couleurs rouges,1,non,not a medical product,1,795416
couleurs vertes,1,non,not a medical product,,795416
coupe noire,1,non,not a medical product,,795416
couperon,5,oui,not a medical product,5,795416
couperon verte,1,oui,not a medical product,1,795416
couperose,1187,non,not a medical product,808,795416
couperose blanche,47,non,not a medical product,41,795416
couperose bleue,2,non,not a medical product,2,795416
couperose et vermillon,6,non,not a medical product,6,795416
couperose verte,276,non,not a medical product,234,795416
coupes,1,non,not a medical product,1,795416
coupes de bois,1,non,not a medical product,,795416
coupes de cuivre,4,non,not a medical product,,795416
coupes de fer-blanc,1,non,not a medical product,,795416
coupier,1,non,not a medical product,1,795416
coupis,133,non,not a medical product,65,795416
coupis des Indes,1,non,not a medical product,1,795416
couplets de cuivre,1,non,not a medical product,1,795416
coupon de toile,1,non,,,42621
coups,1,non,not a medical product,1,795416
courbes,7,non,not a medical product,5,795416
courbes de bois,1,non,not a medical product,1,795416
courbes de chêne,1,non,not a medical product,1,795416
courbes de chêne de 9 pieds,1,non,,,42621
courbes de chêne pour bâtir,0,non,not a medical product,,795416
courbes de fer,1,non,not a medical product,,795416
courbes de mauvais bois,1,non,not a medical product,1,795416
courbes de sapin de 4 à 5 pieds,1,non,not a medical product,1,795416
courgousson,4,non,not a medical product,4,795416
courroies,9,non,not a medical product,8,795416
courroies de bœuf jeux,1,oui,not a medical product,1,795416
courroies de fusils,12,non,not a medical product,1,795416
courroies pour bœuf,5,non,not a medical product,4,795416
courtepointe,205,non,not a medical product,1,795416
courtepointe d'indienne,1,non,not a medical product,1,795416
courtepointe de coton,1,non,not a medical product,1,795416
courtepointe de coton d'Angleterre,1,non,not a medical product,1,795416
courtepointe de toile,1,non,not a medical product,,795416
