source,nbr_occurences_source,orthographic,nbr_occurences_ortho,note
Isles francoises de l'amerique,543,Îles françaises de l'Amérique,37468,
Isles francoises de l'Amerique,204,Îles françaises de l'Amérique,37468,
Isles francoises de l'amérique,186,Îles françaises de l'Amérique,37468,
isles françoises de l'amerique,85,Îles françaises de l'Amérique,37468,
Isles françoises de l'amerique,4025,Îles françaises de l'Amérique,37468,
Isles françoises de l'Amerique,1547,Îles françaises de l'Amérique,37468,
Isles Françoises de l'amerique,13,Îles françaises de l'Amérique,37468,
Isles Françoises de l'Amerique,360,Îles françaises de l'Amérique,37468,
Isles françoises de l'amérique,5020,Îles françaises de l'Amérique,37468,
Isles françoises de l'Amérique,6754,Îles françaises de l'Amérique,37468,
Isles Françoises de l'amérique,18,Îles françaises de l'Amérique,37468,
Isles Françoises de l'Amérique,27,Îles françaises de l'Amérique,37468,
Isles Françoises de l'Amérique du Canada et de Terre Neuve,1,,4,
Isles francoises de l'amérique et de Terre neuve,30,Îles françaises de l'Amérique et Terre-Neuve,755,
Isles françoises de l'amerique et de terre neuve,44,Îles françaises de l'Amérique et Terre-Neuve,755,
Isles françoises de l'amerique et de Terre neuve,76,Îles françaises de l'Amérique et Terre-Neuve,755,
Isles françoises de l'Amerique et de Terre neuve,33,Îles françaises de l'Amérique et Terre-Neuve,755,
Isles françoises de l'amerique et pour terre neuve,142,Îles françaises de l'Amérique et Terre-Neuve,755,
Isles françoises de l'amerique et terre neuve,33,Îles françaises de l'Amérique et Terre-Neuve,755,
Isles françoises de l'amerique et Terre neuve,66,Îles françaises de l'Amérique et Terre-Neuve,755,
Isles françoises de l'Amérique et Terre Neuve,218,Îles françaises de l'Amérique et Terre-Neuve,755,
Isles Françoises de l'Amérique et Terre Neuve,1,Îles françaises de l'Amérique et Terre-Neuve,755,
Isles Françoises de l'Amérique et Terre-Neuve,1,Îles françaises de l'Amérique et Terre-Neuve,755,
"Isles Françoises de l'Amerique, Canada et Terre-Neuve",1,"Îles françaises de l'Amérique, du Canada et Terre-Neuve",3,
"Isles Françoises de l'Amerique, le Canada et Terre-neuve",1,"Îles françaises de l'Amérique, du Canada et Terre-Neuve",3,
"Isles Françoises de l'Amerique, le Canada et Terre-neuves",1,"Îles françaises de l'Amérique, du Canada et Terre-Neuve",3,
Isles francoises de lamerique,151,Îles françaises de l'Amérique,37468,
Isles françoises de lamerique,3,Îles françaises de l'Amérique,37468,
Isles francoises Delamerique,159,Îles françaises de l'Amérique,37468,
Isles françoises delamerique,182,Îles françaises de l'Amérique,37468,
Isles françoises des Amériques,31,Îles françaises de l'Amérique,37468,
Islkes françoises de l'Amérique et du Canada,59,Îles françaises de l'Amérique et du Canada,1412,
italie,1,Italie,23517,
Italie,18474,Italie,23517,
Italie (Naples & Sicile),1,Italie (Naples & Sicile),1,
"Italie comprenant l'Etat Eclesiastique et toute l'Italie excepté Naples et Sicile, Genes et Venise",152,"Italie comprenant l'Etat Ecclesiastique et toute l'Italie excepté Naples et Sicile, Gênes et Venise",519,
"Italie qui comprend l'Etat ecclesiastique et toute l'Italie excepté Naples et Sicile, Genes et Venise",159,"Italie comprenant l'Etat Ecclesiastique et toute l'Italie excepté Naples et Sicile, Gênes et Venise",519,
"Italie qui comprend l'Etat ecclesistique et toute l'Italie excepté Naples et Sicile, Genes et Venise",208,"Italie comprenant l'Etat Ecclesiastique et toute l'Italie excepté Naples et Sicile, Gênes et Venise",519,
Itallie,18,Italie,23517,
L'Allemagne,244,Allemagne,2174,
L'Allemagne et la Pologne,180,Allemagne-Pologne,462,
L'amerique,7,Amérique,64,
L'Amerique,3,Amérique,64,
L'angleterre,44,Angleterre,15161,
L'Angleterre,667,Angleterre,15161,
L'empereur,5,Empereur,41,
L'Empereur,19,Empereur,41,
L'Espagne,1049,Espagne,39275,
L'Espagne et les Etats de dépendance,23,Espagne et les état en dépendants,191,
L'Espagne et les Etats en dépendances,16,Espagne et les état en dépendants,191,
L'Inde,105,Indes,609,
L'Indes,151,Indes,609,
L'Italie,1372,Italie,23517,
L'Orient,7,Lorient,227,
"La Baleine, au Groënland, au Bresil et Madagascar",1,"Baleine au Groënland, Brésil et Madagascar",1,
La Chine,1,Chine,2,
La Flandre,23,Flandre,2619,
La Flandre autrichienne,21,Flandre Autrichienne,2819,
La Flandre Autrichienne,12,Flandre Autrichienne,2819,
La Flandre Autrichiènne,7,Flandre Autrichienne,2819,
La Flandre Impérialle,99,Flandre impériale,670,
La Franche compté,8,Franche Comté,8,
La Geneve,7,Genève,506,
La Genêve,7,Genève,506,
La Guadeloupe,1911,Guadeloupe,1912,
La Guinée,559,Guinée,8258,
la Hollande,30,Hollande,52781,
La Hollande,1914,Hollande,52781,
La La Louisiane,1,Louisiane,7,
La Loraine et l'Allemagne,19,Allemagne-Lorraine,125,
La Lorraine,14,Lorraine,555,
La Lorraine et l'Allemagne,57,Allemagne-Lorraine,125,
La Louisiane,6,Louisiane,7,
La Martinique,2470,Martinique,2471,
La Morue à Terre-Neuve,1,Morue à Terre-Neuve,1,
"la Morue, en Islande et Ithlande",1,Morue en Islande,1,
La Portugal,1,Portugal,7273,
La prusse,6,Prusse,154,
La Prusse,3,Prusse,154,
La Russie,32,Russie,2322,
La Russie et Courlande,15,Russie et Courlande,15,
La Sardaigne,46,Sardaigne,810,
La Savoye,320,Savoie,1839,
La sued,7,Suède,6434,
La suede,8,Suède,6434,
La Suede,24,Suède,6434,
La suède,1,Suède,6434,
La Suède,176,Suède,6434,
La Suisse,228,Suisse,1669,
La Suisse et alliés et Genève,94,Suisse et alliés et Genève,104,
La Suisse et Genève,24,Genève et Suisse,946,
La Suisse et la Geneve,18,Genève et Suisse,946,
La Suisse et la Genève,78,Genève et Suisse,946,
"La Suisse, les alliés et Genève",10,Suisse et alliés et Genève,104,
Le,1,Le ?,1,
Le Danemarck,13,Danemark,5729,
Le Danemark,189,Danemark,5729,
Le Dannemarc,86,Danemark,5729,
Le Dannemarck et Norvège,2,Danemark-Norvège,274,
Le Dannemark,82,Danemark,5729,
Le Flandre Impérialle,9,Flandre impériale,670,
Le Levant,776,Levant,14180,
Le Levant et l'empire olloman,2,Levant et Empire Ottoman,96,
Le Levant et l'empire ollomon,2,Levant et Empire Ottoman,96,
Le Levant et l'empire Ottoman,3,Levant et Empire Ottoman,96,
Le Levant et l'Empire Ottoman,2,Levant et Empire Ottoman,96,
Le Levant et la Barbarie,34,Levant et Barbarie,34,
"Le Levant, l'Empire Ottoman et les Etats de Barbarie",1,"Levant, empire Ottoman et états de Barbarie",1,
Le Nord,1380,Nord,16102,
Le Piemont,217,Piémont,1590,
Le Portugal,102,Portugal,7273,
Le Porugal,6,Portugal,7273,
Les 4 villes anséatiques,110,Les 4 villes hanséatiques,566,
Les 4 villes Anséatiques,4,Les 4 villes hanséatiques,566,
Les Etats de l'Empereur,1,États de l'Empereur,2345,
"Les Etats de l'empereur, en Allemagne et Flandre",1,États de l'Empereur,2345,
Les Iles françaises de l'amerique,81,Îles françaises de l'Amérique,37468,
Les Iles Françaises de l'Amérique,4960,Îles françaises de l'Amérique,37468,
Les Indes,24,Indes,609,
Les Isles françaises,522,Îles françaises,1997,
les Isles françaises de Amerique,49,Îles françaises de l'Amérique,37468,
Les Isles françaises de l'Amérique,1928,Îles françaises de l'Amérique,37468,
les4villesansatiques,246,Les 4 villes hanséatiques,566,
levant,572,Levant,14180,
Levant,11252,Levant,14180,
Levant et Empire Ottoman,87,Levant et Empire Ottoman,96,
Lisbonne,1,Lisbonne,1,
Livorne,1,Livourne,2,
Livourne,1,Livourne,2,
Loraine,1,Lorraine,555,
lorient,17,Lorient,227,
Lorient,203,Lorient,227,
Lorient et Petites Isles,1,Lorient et Petites Îles,1,
lorientdunkerque,2,Dunkerque et Lorient,2,
lorientmarseille,1,Lorient et Marseille,1,
lorraine,3,Lorraine,555,
Lorraine,537,Lorraine,555,
Lorraine et Alsace,1,Alsace-Lorraine,4,
Lorraine et Evechés,1,Lorraine et Évêchés,1,
Lorraine et l'Allemagne,37,Allemagne-Lorraine,125,
Lubeck en Norvège,1,Lübeck en Norvège,1,
Marens,1,Aligre de Marans ou Marennes,1,
Marseille,1999,Marseille,2162,
marseillepetitesisles,1,Marseille et Petites Îles,1,
marseilles,163,Marseille,2162,
Martinique,1,Martinique,2471,
Meckl.Schw.,1,Mecklembourg-Schwerin,3,
Mekel. Schw.,1,Mecklembourg-Schwerin,3,
Merck.Schw.,1,Mecklembourg-Schwerin,3,
Mexique,1,Mexique,1,
Middelbourg,1,Middlebourg,1,
Milan et Toscane et Lucques,1,"Milanais, Toscane et Lucques",342,
"Milan, Toscane et Lucques",239,"Milanais, Toscane et Lucques",342,
Milanais Toscane,1,Milanais-Toscane,32,
Milane et toscane,1,Milanais-Toscane,32,
Milanès,4,Milanais,4,
Milanes de Toscane,1,Milanais-Toscane,32,
Milanes et toscane,1,Milanais-Toscane,32,
Milanes et Toscane,1,Milanais-Toscane,32,
Milanès et Toscane,1,Milanais-Toscane,32,
Milanes et toscane et luques,1,"Milanais, Toscane et Lucques",342,
Milanes Toscane,21,Milanais-Toscane,32,
Milanes Toscane et Lucques,77,"Milanais, Toscane et Lucques",342,
Milanès Toscane et Lucques,1,"Milanais, Toscane et Lucques",342,
Milanès Toscane et Lucynes,1,"Milanais, Toscane et Lucques",342,
Milanes-Toscana,1,Milanais-Toscane,32,
Milanes-Toscane,1,Milanais-Toscane,32,
"Milanes, Toscane et Lucques",2,"Milanais, Toscane et Lucques",342,
"Milanès, Toscane et Lucques",1,"Milanais, Toscane et Lucques",342,
"Milanes, Toscane et Luques",1,"Milanais, Toscane et Lucques",342,
Milanez et Toscane,1,Milanais-Toscane,32,
Milanie Toscane,1,Milanais-Toscane,32,
milanstoscaneetlucques,3,"Milanais, Toscane et Lucques",342,
milantoscaneetlucques,15,"Milanais, Toscane et Lucques",342,
Minales et Toscane,1,Milanais-Toscane,32,
Monde,1,Monde,1,
Monde (Europe),1,Europe,3,
Monde (hors Amérique),1,Monde hors Amérique,1,
Monde (Hors Colonies),1,Monde hors colonies,1,
Monde (hors Europe et colonies),1,Monde hors Europe et colonies,1,
Monde (hors Europe et Inde),1,Monde (hors Europe et Inde),1,
Monde (hors Europe et Sénégal français),1,Monde (hors Europe et Sénégal français),1,
"Monde (hors Europe, Inde et Colonies françaises)",1,"Monde (hors Europe, Inde et Colonies françaises)",1,
"Monde (hors Europe, Inde, Colonies françaises et Amérique)",1,"Monde (hors Europe, Inde, Colonies françaises et Amérique)",1,
Monde (hors Europe),1,Monde hors Europe,2,
Monde (Hors Europe),1,Monde hors Europe,2,
Monde (hors Guiane française),1,Monde hors Guyanne française,1,
Monde (hors Inde et Amérique),1,Monde (hors Inde et Amérique),1,
Monde (hors Pays de Gex),1,Monde hors Pays de Gex,1,
"Monde (hors Piémont, Inde et Amérique)",1,"Monde (hors Piémont, Inde et Amérique)",1,
Monde (Hors Ports de la Baltique),1,Monds hors Ports de la Baltique,1,
Morée,1,Morée,7,
Mozée,6,Morée,7,
N,1,Nord,16102,
N.-Grenade,1,Nouvelle-Grenade,1,
Nancy,1,Nancy,1,
Nantes,1,Nantes,1,
Napels,1,Naples,252,
Naple et Sicile,124,Naples-Sicile,3841,
naples,1,Naples,252,
Naples,249,Naples,252,
Naples et sicile,1,Naples-Sicile,3841,
Naples et Sicile,3683,Naples-Sicile,3841,
Naples et Siciles,31,Naples-Sicile,3841,
Naples Sicile,2,Naples-Sicile,3841,
Naples Sicile et Parme,49,"Naples, Sicile et Palerme",51,
Naples Sicile Palerme,1,"Naples, Sicile et Palerme",51,
Naples Sicile Parleme,1,"Naples, Sicile et Palerme",51,
Naples Sicile Parme,1,"Naples, Sicile et Parme",219,
Naples Sicile Parmes,8,"Naples, Sicile et Parme",219,
"Naples, Sicile et Parme",210,"Naples, Sicile et Parme",219,
Non renseigné,1,non renseigné,1,
Noples,1,Naples,252,
nord,252,Nord,16102,
Nord,13494,Nord,16102,
Nord (dont Hanse et Russie),104,Nord ; dont hanséatiques et Russie,104,
Nord (Hanse + Russie),32,Nord (Hanse et Russie),32,
Nord avec villes Anseatiques,1,Nord qui comprend les villes hanséatiques,2112,
Nord avec villes Anséatiques,1,Nord qui comprend les villes hanséatiques,2112,
Nord dont villes anséatiques,1,Nord qui comprend les villes hanséatiques,2112,
Nord qui comprend les villes anscatiques,663,Nord qui comprend les villes hanséatiques,2112,
Nord qui comprend les villes anscatiques a la Moscovie,218,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes ansceatiques,73,Nord qui comprend les villes hanséatiques,2112,
Nord qui comprend les villes anscéatiques,66,Nord qui comprend les villes hanséatiques,2112,
Nord qui comprend les villes ansceatiques et a Moscovie,34,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes ansceatiques et la moscovie,10,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes ansceatiques et la Moscovie,128,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes anseatiques,337,Nord qui comprend les villes hanséatiques,2112,
Nord qui comprend les villes anséatiques,927,Nord qui comprend les villes hanséatiques,2112,
Nord qui comprend les villes anseatiques et la moscovie,299,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes de anseatiques et la moscovie,18,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes de anséatiques et la Moscovie,48,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord y compris les villes anséatiques,43,Nord qui comprend les villes hanséatiques,2112,
Norde,1,Nord,16102,
Norvège,10,Norvège,11,
Norwegue,1,Norvège,11,
Origine inconnue,1,origine inconnue,2,
Origine Inconnue,1,origine inconnue,2,
Pas de pays indiqué,1,pays non indiqué,2,
Pays d'Aunis,1,Pays d'Aunis,1,
Pays de Gex,6,Pays de Gex,6,
Pays de labour,31,Pays de Labour,31,
Pays non indiqué,1,pays non indiqué,2,
Pays ou Région,1,Pays ou Région,1,
Pays-Bas,1,Pays-Bas,1,
Pêche étrangère,1,Pêches étrangères,2,
Pêche française,1,Pêches françaises,2,
Pêches étrangères,1,Pêches étrangères,2,
Pêches françaises,1,Pêches françaises,2,
Pêches sur nos côtes Hareng (simple apperçu),1,Pêches sur nos côtes Hareng (aperçu),1,
Pêches sur nos côtes Maquereaux (simple apperçu),1,Pêches sur nos côtes Maquereaux (aperçu),1,
Pêches sur nos côtes Sardines (simple apperçu),1,Pêches sur nos côtes Sardines (aperçu),1,
Pérou,1,Pérou,1,
Petites iles,356,Petites Îles,464,
Petites isles,27,Petites Îles,464,
Petites Isles,76,Petites Îles,464,
Petites Isles et Bayonne,3,Petites Îles et Bayonne,3,
Petites Isles et Lorient,1,Petites îles et Lorient,1,
"Petites Isles, Dunkerque et Lorient",1,"Petites Îles, Dunkerque et Lorient",2,
"Petites Isles, Lorient et Bayonne",1,"Petites Îles, Bayonne et Lorient",1,
"Petites Isles, Lorient et Dunkerquer",1,"Petites Îles, Dunkerque et Lorient",2,
"Petites Isles, Lorient, Dunkerque et Bayonne",2,"Petites Îles, Bayonne, Dunkerque et Lorient",2,
petitesisles,5,Petites Îles,464,
Philippines,1,Philippines,1,
Piedmont,124,Piémont,1590,
Piemont,1171,Piémont,1590,
Piémont,1,Piémont,1590,
Piémont ; par mer,1,Piémont par mer,1,
Piémont ; par terre,1,Piémont par terre,1,
Piemont et Geneve,219,Piémont et Genève,604,
Piemont et la Savoye,174,Piémont et Savoie,340,
Piemont et Savoye,94,Piémont et Savoie,340,
Piémont et Savoye,72,Piémont et Savoie,340,
Poitou,1,Poitou,1,
pologne,16,Pologne,18,
Pologne,2,Pologne,18,
pologne - Geneve,1,Pologne et Genève,1,
Port de Marseille,1,Port de Marseille,1,
Portgual,1,Portugal,7273,
Portigal,1,Portugal,7273,
Portogal,1,Portugal,7273,
Ports de la Baltique,1,Ports de la Baltique,1,
Ports et pays de France,10,France,14,
portugal,232,Portugal,7273,
Portugal,6187,Portugal,7273,
"Portugal et Isles de Terceres, Madère et Açores",1,,4,
"Portugal et Isles Madère, Terceres et Açores",1,,4,
"Portugal et Isles Terceres, Madère et Açores",1,"Portugal, île de Madère, Terceres et Açores",3,
"Portugal et Isles Terceres, Madères et Açores",1,"Portugal, île de Madère, Terceres et Açores",3,
"Portugal, Isles Madere, Terceres et Acores",1,"Portugal, île de Madère, Terceres et Açores",3,
Portugale,11,Portugal,7273,
Possessions anglaises,67,Possessions anglaises,132,
Possessions Anglaises,65,Possessions anglaises,132,
Possessions danoises,43,Possessions danoises,90,
Possessions Danoises,47,Possessions danoises,90,
Possessions des Etats unis de l'Amérique,74,Possessions des États-Unis d'Amérique,143,
Possessions des États-Unis de l'Amérique,69,Possessions des États-Unis d'Amérique,143,
Possessions espagnoles,77,Possessions espagnoles,153,
Possessions Espagnoles,76,Possessions espagnoles,153,
Possessions hollandaises,73,Possessions hollandaises,142,
Possessions Hollandaises,69,Possessions hollandaises,142,
Possessions portugaises,13,Possessions portugaises,27,
Possessions Portugaises,14,Possessions portugaises,27,
Possessions suédoises,37,Possessions suédoises,57,
Possessions Suédoises,20,Possessions suédoises,57,
pour Danemark,1,Danemark,5729,
Pour Genes,167,Gênes,8186,
Pour Geneve,25,Genève,506,
pour Genève,7,Genève,506,
pour Guinée,321,Guinée,8258,
pour Hollande,52,Hollande,52781,
Pour Hollande,92,Hollande,52781,
pour l'Allemagne la Lorraine et le pais de Liege,10,Allemagne-Lorraine-Pays de Liège,421,
pour l'Allemagne la Lorraine et le païs de Liège,3,Allemagne-Lorraine-Pays de Liège,421,
pour l'Angleterre,700,Angleterre,15161,
Pour l'Angleterre,341,Angleterre,15161,
pour l'Espagne,948,Espagne,39275,
Pour l'Espagne,2456,Espagne,39275,
pour l'Italie,15,Italie,23517,
Pour l'Italie,3637,Italie,23517,
pour la Flandre,35,Flandre,2619,
pour la Flandre autrichienne,71,Flandre Autrichienne,2819,
Pour la Flandre Impérialle,5,Flandre impériale,670,
pour la Guinée,318,Guinée,8258,
pour la holande,88,Hollande,52781,
pour la Holande,151,Hollande,52781,
pour la Hollande,642,Hollande,52781,
Pour la Hollande,791,Hollande,52781,
Pour la Lorraine et l'Allemagne,9,Allemagne-Lorraine,125,
pour la Russie,4,Russie,2322,
pour la Savoye,9,Savoie,1839,
Pour la Savoye,142,Savoie,1839,
Pour la Savoye et le Piemont,435,Savoie et Piémont,10880,
Pour la Suede,12,Suède,6434,
pour la Suède,43,Suède,6434,
pour la Suisse,20,Suisse,1669,
Pour la Suisse,34,Suisse,1669,
Pour la Suisse et Geneve,116,Suisse et Genève,154,
pour le Danemark,72,Danemark,5729,
Pour le Danemark,9,Danemark,5729,
pour le Levant,16,Levant,14180,
Pour le Levant,1329,Levant,14180,
pour le Nord,335,Nord,16102,
Pour le Nord,378,Nord,16102,
Pour le Piedmont et geneve,116,Piémont et Genève,604,
Pour le Piémont,77,Piémont,1590,
Pour le Piemont et Geneve,269,Piémont et Genève,604,
pour le Portugal,375,Portugal,7273,
Pour le Portugal,234,Portugal,7273,
pour les Etats unis de l'Amérique,126,États-Unis de l'Amérique,126,
pour les Indes orientales,403,Indes Orientales,1564,
Pour les Isles françaises,126,Îles françaises,1997,
Pour les Isles françaises de l'Amerique,321,Îles françaises de l'Amérique,37468,
pour les Isles françaises de l'Amérique,105,Îles françaises de l'Amérique,37468,
Pour les Isles françaises de l'Amérique,1,Îles françaises de l'Amérique,37468,
Pour les Isles Françaises de l'Amérique,191,Îles françaises de l'Amérique,37468,
Pour les Isles françoises de l'amerique,539,Îles françaises de l'Amérique,37468,
pour les Isles françoises de l'Amérique,1209,Îles françaises de l'Amérique,37468,
Pour Levant,186,Levant,14180,
Pour Naples et Sicile,40,Naples et Sicile,40,
Pour Russie,7,Russie,2322,
Pour Savoye et Piemont,269,Savoie et Piémont,10880,
Pour Suede,34,Suède,6434,
Pour suisse et geneve,38,Suisse et Genève,154,
Pour Venise,1,Venise,1029,
Pourtgal,1,Portugal,7273,
Prises et saisies,1,Prises et saisies,2,
Prises et Saisies,1,Prises et saisies,2,
Prises saisies et séquestres,1,Prises et saisies et séquestres,3,
"Prises, saisies et séquestres",1,Prises et saisies et séquestres,3,
"Prises, saisies et Séquestres",1,Prises et saisies et séquestres,3,
prusse,68,Prusse,154,
Prusse,77,Prusse,154,
Prusse - par mer,1,Prusse – par mer,1,
Quatre villes hanséatiques,40,Quatre villes hanséatiques,40,
R.de la Plata,1,Rio de la Plata,1,
Republique de genes,1,République de Gênes,8,
Republique de Genes,1,République de Gênes,8,
Republique de Gènes,1,République de Gênes,8,
République de genes,1,République de Gênes,8,
République de Genes,1,République de Gênes,8,
République de Génes,1,République de Gênes,8,
République de Gènes,1,République de Gênes,8,
République de Gênes,1,République de Gênes,8,
République de Hollande,1,République de Hollande,1,
republique de Suisse,1,République de Suisse,6,
Republique de suisse,1,République de Suisse,6,
Republique de Suisse,1,République de Suisse,6,
république de Suisse,1,République de Suisse,6,
République de suisse,1,République de Suisse,6,
République de Suisse,1,République de Suisse,6,
Republique de Venise,1,République de Venise,3,
République de Venise,1,République de Venise,3,
République de VENISE,1,République de Venise,3,
Riga,1,Riga,1,
Rome et Venise,1,Rome et Venise,1,
Rotterdam,1,Rotterdam,1,
Rouen,1,Rouen,1,
Royaume d'Espagne,1,Royaume d'Espagne,1,
Royaume d'Espagne et les colonies,1,Royaume d'Espagne et ses colonies,2,
Royaume d'Espagne et ses colonies,1,Royaume d'Espagne et ses colonies,2,
Royaume d'Etrurie,1,Royaume d'Étrurie,2,
Royaume d'Étrurie,1,Royaume d'Étrurie,2,
Royaume d'Hollande,1,Royaume de Hollande,2,
Royaume d'italie,1,Royaume d'Italie,2,
Royaume d'Italie,1,Royaume d'Italie,2,
Royaume de Danemarck,1,Royaume de Danemark,4,
Royaume de Danemarck et ses colonies,1,Royaume de Danemark et ses colonies,1,
Royaume de Danemark,1,Royaume de Danemark,4,
Royaume de genes,1,Royaume de Gênes,3,
Royaume de Genes,1,Royaume de Gênes,3,
Royaume de GENES,1,Royaume de Gênes,3,
Royaume de Hollande,1,Royaume de Hollande,2,
Royaume de Naple,1,Royaume de Naples,3,
Royaume de naples,1,Royaume de Naples,3,
Royaume de Naples,1,Royaume de Naples,3,
Royaume de Naples et de Sicile et Duché de Parmes,1,Royaume de Naples et de de Sicile et duché de Parme,1,
Royaume de Pays-Bas,1,Royaume de Pays-Bas,3,
Royaume de portugal,1,Royaume du Portugal,4,
Royaume de Portugal,1,Royaume du Portugal,4,
Royaume de Portugal et ses colonies,1,Royaume du Portugal et ses colonies,1,
Royaume de Potugal,1,Royaume du Portugal,4,
Royaume de Prusse,1,Royaume de Prusse,1,
Royaume de sardaigne,1,Royaume de Sardaigne,3,
Royaume de Sardaigne,1,Royaume de Sardaigne,3,
Royaume de sue,1,Royaume de Suède,5,
Royaume de suede,1,Royaume de Suède,5,
Royaume de Suede,1,Royaume de Suède,5,
Royaume de suède,1,Royaume de Suède,5,
Royaume de Suède,1,Royaume de Suède,5,
Royaume de Suède et ses colonies,1,Royaume de Suède et ses colonies,1,
Royaume de Suisse,1,Royaume de Suisse,1,
Royaume des Pays-Bas,1,Royaume de Pays-Bas,3,
Royaume des Pays-Bas et ses colonies,1,Royaume de Pays-Bas et ses colonies,1,
Royaume du Danemarck,1,Royaume de Danemark,4,
Royaume du Portugal,1,Royaume du Portugal,4,
Royaumes de Danemarck,1,Royaume de Danemark,4,
Royaumes de Sardaigne,1,Royaume de Sardaigne,3,
Royaumes des Pays-Bas,1,Royaume de Pays-Bas,3,
Rusie,4,Russie,2322,
Russa,1,Russie,2322,
russie,178,Russie,2322,
Russie,1948,Russie,2322,
Russie et Courlande,13,Russie-Courlande,13,
Saint Domingue,1,Saint-Domingue,4462,
Saint Jean de Luz,1,Saint-Jean de Luz,9,
Saint-Domingue,1,Saint-Domingue,4462,
Saint-Jean de Luz,7,Saint-Jean de Luz,9,
Saint-Jean de Luze,1,Saint-Jean de Luz,9,
Salonique,1,Salonique,1,
"Salonique, Archypel et Satalis",17,"Salonique, Archipel et Satali",17,
sardaigne,9,Sardaigne,810,
Sardaigne,755,Sardaigne,810,
savoie,1,Savoie,1839,
Savoie,2,Savoie,1839,
Savoie et Piémont,256,Savoie et Piémont,10880,
savoye,124,Savoie,1839,
Savoye,1240,Savoie,1839,
Savoye & Piémont,151,Savoie et Piémont,10880,
Savoye et du Piemont,322,Savoie et Piémont,10880,
Savoye et le Piedmont,284,Savoie et Piémont,10880,
Savoye et le Piemont,353,Savoie et Piémont,10880,
Savoye et Piedmont,312,Savoie et Piémont,10880,
Savoye et Piemons,122,Savoie et Piémont,10880,
Savoye et Piemont,7655,Savoie et Piémont,10880,
Savoye et Piémont,721,Savoie et Piémont,10880,
savpie,1,Savoie,1839,
Sénégal,221,Sénégal,221,
Sénégal et Caïenne,1,Sénégal et Cayenne,1,
Sénégal et Guinée,2765,Sénégal et Guinée,2765,
Sénégal français,1,Sénégal français,1,
Seydes,1,Sidon,1,
Seydes et Acre,15,Sidon et Acre,15,
Smirne,30,Smyrne,30,
St Domingue,4460,Saint-Domingue,4462,
St Thomas,1,Saint-Thomas,1,
"Stockholm, Middelbourg, Göteborg, Andenville, Narbeck et Gherben en Suède",1,"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,
"Stockholm, Middelbourg, Gothembourg Andenville, Narbeck et Gherben en Suède",1,"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,
Strasbourg,1,Strasbourg,1,
Sud eclésiatique,1,Sud ecclésiastique,1,
sude,123,Suède,6434,
suede,1,Suède,6434,
Suede,4134,Suède,6434,
Suéde,323,Suède,6434,
suède,1,Suède,6434,
Suède,1279,Suède,6434,
Süede,47,Suède,6434,
Suèdes,1,Suède,6434,
Suifre,1,Suisse,1669,
Suis,1,Suisse,1669,
Suise,1,Suisse,1669,
suisse,1,Suisse,1669,
Suisse,1381,Suisse,1669,
SUISSE,1,Suisse,1669,
Suisse et geneve,30,Genève et Suisse,946,
Suisse et Geneve,239,Genève et Suisse,946,
suisse et genève,1,Genève et Suisse,946,
Suisse et genève,1,Genève et Suisse,946,
Suisse et Genève,261,Genève et Suisse,946,
Suisse Geneève,1,Genève et Suisse,946,
suisse geneve,1,Genève et Suisse,946,
Suisse Geneve,1,Genève et Suisse,946,
Suisse Genève,1,Genève et Suisse,946,
Suisse Genêve,1,Genève et Suisse,946,
Suisse ses alliés et Genève,26,Genève et Suisse et ses alliés,714,
Suisse-Geneve,1,Genève et Suisse,946,
"Suisse, les alliés et Genève",686,Genève et Suisse et ses alliés,714,
"Suisse, ses Alliées et Genève",1,Genève et Suisse et ses alliés,714,
"Suisse, ses alliés et Genève",1,Genève et Suisse et ses alliés,714,
Suui,1,Suisse,1669,
Tabago,594,Tobago,594,
Tabago et Sainte-Lucie,1,Tobago et Sainte-Lucie,1,
Toscane,1,Toscane,2,
Toseaux,1,Toscane,2,
Traite des noirs et de la gomme,1,Traite des noirs et de la gomme,1,
Tripoly de Syrie,10,Tripoli de Syrie,10,
Trois Êvéchés,2,Trois Évêchés,2,
Turquie,1,Turquie,1,
"Turquie, Inde et Amérique",1,"Turquie, Inde et Amérique",1,
Venezuela,1,Vénézuela,1,
Venice,1,Venise,1029,
venise,5,Venise,1029,
Venise,1021,Venise,1029,
Venisr,1,Venise,1029,
ville anséatiques,1,Villes hanséatiques,18,
Ville anslatique,1,Villes hanséatiques,18,
Ville auséatique,1,Villes hanséatiques,18,
Ville Auséatique,1,Villes hanséatiques,18,
Ville d'anslatique,1,Villes hanséatiques,18,
Villees Auséatiques,1,Villes hanséatiques,18,
Villes anséatique,1,Villes hanséatiques,18,
