simplification,nbr_occurences_simpl,obsolete,luxe_dans_SITC,nbr_occurences_luxe_dans_SITC
eau de raisin,70,non,,796571
eau de raison,1,non,,796571
eau de rave,2,oui,,796571
eau de raze,4,oui,,796571
eau de résine,8,non,,796571
eau de Rochefort,1,non,,796571
eau de romarin,4,non,,796571
eau de rose,152,non,,796571
eau de rose essence de térébenthine,2,non,,796571
eau de Seltzer,7,non,,796571
eau de senlaw,11,non,,796571
eau de senteur,464,non,,796571
eau de senteur alcoolique,3,non,,796571
eau de senteur alcoolique autre que Cologne et lavande,2,non,,796571
eau de senteur de bergamote,1,non,,796571
eau de senteur de citron,1,non,,796571
eau de senteur de la reine de Hongrie,565,non,,796571
eau de senteur de lavande,7,non,,796571
eau de senteur de nard,1,oui,,796571
eau de senteur en flacons,1,non,,796571
eau de senteur et essence,2,non,,796571
eau de senteur et quintessence,123,non,,796571
eau de senteur rose,2,non,,796571
eau de senteur sans alcool,3,non,,796571
eau de senteur sans alcool autre que fleurs d'oranger,2,non,,796571
eau de senteur sans pareille,2,non,,796571
eau de Spa,26,non,,796571
eau de tartre,6,non,,796571
eau de térébenthine,1,non,,796571
eau de toilette,11,non,,796571
eau de vertu,1,non,,796571
eau des Carmes,36,non,,796571
eau des cavernes,5,non,,796571
eau des cavernes en fiole,0,non,,796571
eau des farmes,3,non,,796571
eau distillée,12,non,,796571
eau distillée alcoolique,2,non,,796571
eau distillée sans alcool,10,non,,796571
eau distillée sans alcool autres que fleurs d'oranger,2,non,,796571
eau diverse,7,non,,796571
eau divine,6,non,,796571
eau du Rhône,1,non,,796571
eau et essence,7,non,,796571
eau et essence et huile spiritueuse,2,non,,796571
eau et essence spiritueuse,1,non,,796571
eau et huile spiritueuse,62,non,,796571
eau ferrée,2,non,,796571
eau gazeuse,1,non,,796571
eau magistrale,1,non,,796571
eau médicinale,94,non,,796571
eau médicinale cordiale,1,non,,796571
eau médicinale d'arquebusan,2,oui,,796571
eau médicinale de cannelle,1,non,,796571
eau médicinale de Chypre,1,non,,796571
eau médicinale de coclearia,1,non,,796571
eau médicinale de genièvre,1,non,,796571
eau médicinale de marquette,1,non,,796571
eau médicinale de mélisse,10,non,,796571
eau médicinale de pin,1,non,,796571
eau médicinale de raisin,2,non,,796571
eau médicinale de Seltzer,1,non,,796571
eau médicinale et minérale,24,non,,796571
eau mélisse,3,non,,796571
eau minérale,209,non,,796571
eau minérale de Bristol,1,non,,796571
eau ocgeniente,1,non,,796571
eau octaze,3,non,,796571
eau Plombières,1,oui,,796571
eau pour la goutte,1,non,,796571
eau pour remède,1,non,,796571
eau royale,1,non,,796571
eau sans pareille,7,non,,796571
eau sederale,1,non,,796571
eau spiritueuse,14,non,,796571
eau spiritueuse et essence,9,non,,796571
eau vulnéraire,20,non,,796571
eau-de-vie,11160,non,,796571
eau-de-vie anisette,1,non,,796571
eau-de-vie antiscorbutique,1,non,,796571
eau-de-vie commune,18,non,,796571
eau-de-vie composée,1,non,,796571
eau-de-vie d'Espagne,3,non,,796571
eau-de-vie d'Hendaye,61,non,,796571
eau-de-vie d'Hendaye et simple,2,non,,796571
eau-de-vie d'Oléron,3,non,,796571
"eau-de-vie de ""?"" en pots",3,non,,796571
eau-de-vie de Charente,89,non,,796571
eau-de-vie de cidre,6,non,,796571
eau-de-vie de Cognac,13,non,,796571
eau-de-vie de Dantzig,5,non,,796571
eau-de-vie de genièvre,62,non,,796571
eau-de-vie de genièvre et de grains,5,non,,796571
eau-de-vie de genièvre relifiée,1,non,,796571
eau-de-vie de genièvre simple,5,non,,796571
eau-de-vie de grains,5,non,,796571
eau-de-vie de grains autre que genièvre,1,non,,796571
eau-de-vie de grains et simple,1,non,,796571
eau-de-vie de lavande et simple,1,non,,796571
eau-de-vie de Marennes,3,non,,796571
eau-de-vie de mélasse rhum et tafia,3,non,,796571
eau-de-vie de Ré,79,non,,796571
eau-de-vie de Rochefort,20,non,,796571
eau-de-vie de vin,42,non,,796571
eau-de-vie de vin au-dessus de 32 degrés,3,non,,796571
eau-de-vie de vin de 22 degrés à 32,3,non,,796571
eau-de-vie de vin de 22 degrés ou moins,3,non,,796571
eau-de-vie de vin par Marseille,1,non,,796571
eau-de-vie des prises,1,non,,796571
eau-de-vie diverse,3,non,,796571
eau-de-vie double,70,non,,796571
eau-de-vie en bouteille simple,1,non,,796571
eau-de-vie et liqueurs,41,non,,796571
eau-de-vie et rhum,6,non,,796571
eau-de-vie et rhum et tafia,13,non,,796571
eau-de-vie par Marseille,1,non,,796571
eau-de-vie raffinée,10,non,,796571
eau-de-vie rectifiée,5,non,,796571
eau-de-vie royale,4,non,,796571
eau-de-vie scorbutique,1,non,,796571
eau-de-vie simple,338,non,,796571
eau-de-vie simple de vin,1,non,,796571
eau-de-vie spiritueuse,1,non,,796571
eau-de-vie triple,2,non,,796571
eau-forte,521,non,,796571
eau-forte huile de vitriol le dania,1,non,,796571
ébénisterie,1,non,,796571
écaille,117,non,,796571
écaille ???,4,non,,796571
écaille au caret,1,oui,,796571
écaille cahouanne,1,non,,796571
écaille d'ablette,1,non,,796571
écaille de ???,1,non,,796571
écaille de cahouanne,38,non,,796571
écaille de caret,14,non,,796571
écaille de poisson,6,non,,796571
écaille de tortue,436,non,,796571
écaille de tortue caret,1,non,,796571
écaille de tortue en carapace,7,non,,796571
écaille de tortue en carapace de l'étranger,1,non,,796571
écaille de tortue et nacre de perle,12,non,,796571
écaille de tortue onglons,3,non,,796571
écaille de tortue onglons et rognures,2,non,,796571
écaille de tortue rognures,3,non,,796571
écaille octomie,4,non,,796571
écaille ou caret,4,non,,796571
écarlate,2,non,,796571
écarlatine,17,non,,796571
écarlatine de Beauvais,1,non,,796571
écarlatine du Languedoc,2,non,,796571
écarts de bœuf,2,non,,796571
échalas,38,non,,796571
échalas de bois,1,non,,796571
échalote,42,non,,796571
échantillons et morceaux de soie,76,non,,796571
écharpe de soie,2,non,,796571
écharpe de taffetas,1,non,,796571
écharpe et gaze,1,non,,796571
écharpe pour femme,1,non,,796571
échaussillons,1,non,,796571
échelles,5,non,,796571
échelles anglaises,1,non,,796571
échelles de 8 pieds,0,non,,796571
échelles de bois,2,non,,796571
échelles de bois de 10 pieds,0,non,,796571
échelles de route,1,non,,796571
échouements et prises,2,oui,,796571
éclisses de bois,6,non,,796571
écluses de fer,1,non,,796571
écope,0,non,,796571
écopes,47,non,,796571
écopes de sapin,2,non,,796571
écorce,63,non,,796571
écorce à tan moulue,4,non,,796571
écorce à tan non moulue,7,non,,796571
écorce à tanner,62,non,,796571
écorce autre que citron orange et leurs variété et quinquina,2,non,,796571
écorce d'arbre,44,non,,796571
écorce d'arbre de gaïac,1,non,,796571
écorce d'arbre étoffe,4,non,,796571
écorce d'arbre rayée,2,non,,796571
écorce d'orange,107,non,,796571
écorce d'orange et de citron,3,non,,796571
écorce d'orange séchée,120,non,,796571
écorce d'orange sergal,3,non,,796571
écorce de bergamote,9,non,,796571
écorce de bois,13,non,,796571
écorce de bois de fer,3,non,,796571
écorce de boutard,1,non,,796571
écorce de cacao,145,non,,796571
écorce de câpres,1,non,,796571
écorce de cédrat,6,non,,796571
écorce de cèdre,3,non,,796571
écorce de chanvre,4,non,,796571
écorce de chêne,221,non,,796571
écorce de chêne moulue,98,non,,796571
écorce de chêne pilée,1,non,,796571
écorce de citron,100,non,,796571
écorce de citron confite,12,non,,796571
écorce de citron et d'orange,16,non,,796571
écorce de citron et d'orange et de leurs variétés,44,non,,796571
écorce de citron non épluché,1,non,,796571
écorce de citron sèche,2,non,,796571
écorce de gaïac,23,non,,796571
écorce de grande d'aulne et de bourdaine,5,non,,796571
écorce de grenade,13,non,,796571
écorce de limon,3,non,,796571
écorce de limon sec,1,oui,,796571
écorce de Magellan,2,non,,796571
écorce de mandragore,1,non,,796571
écorce de mélisse,1,non,,796571
écorce de pin,10,non,,796571
écorce de pin en poussière,0,oui,,796571
écorce de pin moulue,8,non,,796571
écorce de quinquina,58,non,,796571
écorce de simarouba,1,non,,796571
écorce de soie,2,non,,796571
écorce de tilleul,52,non,,796571
écorce de tilleul pour cordage,2,non,,796571
écorce de tilleul pour cordages,2,oui,,796571
écorce ou tau en poussière de pin,4,non,,796571
écorce pour tanner,19,non,,796571
écorce rayée,1,non,,796571
écorce unie,1,non,,796571
ecouette,1,non,,796571
ecouette de nattes,2,non,,796571
écouvillons,1,non,,796571
écrans,3,non,,796571
écrelet,1,non,,796571
écrevisses,2,non,,796571
écrevisses de mer,98,non,,796571
écrevisses de rivière,133,non,,796571
écritoire,7,non,,796571
écritoire de chagrin,1,non,,796571
écritoire de corne,1,non,,796571
écritoire de maroquin,1,non,,796571
écritoire garni d'or,2,non,,796571
écru de cerise,1,non,,796571
écuelles de terre,1,non,,796571
écuelles de vermillon,3,non,,796571
écume de verre,1,non,,796571
écumoires à sucre,2,non,,796571
écus à palme,6,non,,796571
édredon,1,non,,796571
édredon de plume,8,non,,796571
édredon et plumes,2,non,,796571
effets de troupes,1,non,,796571
effilé de fil,14,non,,796571
effilé de soie,5,non,,796571
effilé or fil,1,non,,796571
efforces à tondre,99,non,,796571
églefins,82,non,,796571
églefins salés,51,non,,796571
egoutals,1,non,,796571
egoutals de bois,1,non,,796571
égouttoirs,53,non,,796571
égouttoirs à fondre,1,non,,796571
égouttoirs de bois,2,non,,796571
egrat,1,non,,796571
egueluy,1,non,,796571
elatches,19,non,,796571
elbots,83,non,,796571
elbots salés,53,non,,796571
elegias,2,non,,796571
élixir,63,non,,796571
élixir de garus,4,non,,796571
élixir purgatif,1,non,,796571
ellébore,7,non,,796571
ellébore blanc,1,non,,796571
élocs de fer,2,non,,796571
émai en grabeaul,1,oui,,796571
émail,67,non,,796571
émail brut,3,non,,796571
émail en grabeau,1,non,,796571
émail en pain,1,non,,796571
emballage,2,non,,796571
embarcations à dépecer,5,non,,796571
embarcations avec agrès,20,non,,796571
embarcations en état de servir,2,non,,796571
embarcations et autres objets de marine,44,non,,796571
embarcations et voiles de navire,3,non,,796571
émeraudes brutes,1,non,,796571
émeraudes et opales taillées,1,non,,796571
émeraudes taillés,2,non,,796571
émeri,163,non,,796571
émeri en pierre,3,non,,796571
émeri en pierres,11,non,,796571
émeri en poudre,14,non,,796571
empeignes,5,non,,796571
empeignes brodées,1,non,,796571
empeignes brodées pour souliers,8,non,,796571
empeignes coupées pour empeignes,3,non,,796571
empeignes de souliers,11,non,,796571
empeignes de souliers brodés,1,non,,796571
empeignes de souliers imprimées,5,non,,796571
empeignes de toile,12,non,,796571
empeignes et talons de cuir coupés,2,non,,796571
empeignes peintes pour souliers,67,non,,796571
en bâtiments de mer,1,non,,796571
en pain,1,non,,796571
enamitte,1,non,,796571
encens,664,non,,796571
encens commun,4,non,,796571
encens des Indes,1,non,,796571
encens en encens,1,oui,,796571
encens en grabeau,128,non,,796571
encens en poudre,1,non,,796571
encens en poussière,4,non,,796571
enclumes,5,non,,796571
enclumes de fer,121,non,,796571
enclumes de fer et étaux de fer,1,non,,796571
encoignement,1,non,,796571
encoignures,5,non,,796571
encoignures de bois vernissé,1,non,,796571
encre,38,non,,796571
encre à dessiner en tablettes,3,non,,796571
encre à écrire,53,non,,796571
encre à écrire et à imprimer,13,non,,796571
encre à imprimer,3,non,,796571
encre commune,22,non,,796571
encre d'imprimerie,90,non,,796571
encre de la Chine,60,non,,796571
encre de la petite vertu,1,non,,796571
encre de Nankin,2,non,,796571
encre glassine,1,non,,796571
encre liquide à écrire ou à imprimer,4,non,,796571
encre odorante,1,non,,796571
encre rouge,4,non,,796571
encrin,0,non,,796571
endives,2,non,,796571
engins,16,non,,796571
engrais,50,non,,796571
engrais colombine,17,non,,796571
engrais divers,1,non,,796571
engrais en court fumier,1,non,,796571
engrais en fournelle,1,non,,796571
engrais en fumier de rue,1,non,,796571
engrais en pourette,1,non,,796571
engrais gru,1,non,,796571
entenolles,1,non,,796571
épagnolette simple,0,non,,796571
épaulettes,1,non,,796571
épaulettes d'argent,1,non,,796571
épaulettes d'or,1,non,,796571
épeautre,118,non,,796571
épeautre en gerbes,23,non,,796571
épée,31,non,,796571
épée à garde d'argent,4,non,,796571
épée à garde de cuivre doré,1,non,,796571
épée argentée,1,non,,796571
épée d'acier,2,non,,796571
épée d'argent,33,non,,796571
épée d'argent doré,1,non,,796571
épée d'argent et de cuivre,2,non,,796571
épée d'argent et de cuivre doré,1,non,,796571
épée de cuivre,5,non,,796571
épée de cuivre doré,5,non,,796571
épée masquinée,14,non,,796571
épée montée en acier,98,non,,796571
épée montée en argent,48,non,,796571
éperons,6,non,,796571
éperons et étriers,84,non,,796571
éperviers,1,non,,796571
épice,1,non,,796571
épice de Curons,3,non,,796571
épicerie,1148,non,,796571
épicerie commune,13,non,,796571
épicerie douce,9,non,,796571
épicerie fine,66,non,,796571
épices,1,non,,796571
épices préparées,2,non,,796571
épices préparées autres que moutarde et poudre de kari,1,non,,796571
épices préparées autres que moutarde et sauces épicées,2,non,,796571
epinelle,1,non,,796571
épines à planter,1,non,,796571
épinettes,9,non,,796571
épingles,427,non,,796571
épingles communes,3,non,,796571
épingles de laiton,4,non,,796571
épingles de mercerie fine,17,non,,796571
épingles en cuivre,2,non,,796571
épingoles,3,non,,796571
epiterie,7,non,,796571
éponges,716,non,,796571
éponges brutes,1,non,,796571
éponges communes,66,non,,796571
éponges communes et fines,6,non,,796571
éponges et tournesol,1,non,,796571
éponges fines,68,non,,796571
éponges grosses,1,non,,796571
épousterie,45,non,,796571
éprouvette de cuivre,1,non,,796571
epuigtion,1,non,,796571
équerre,2,non,,796571
equeurs,0,non,,796571
équille,2,non,,796571
équille pour voile pour la Compagnie de Guinée,2,non,,796571
equine,2,non,,796571
ergots de bœuf,14,non,,796571
ergots de caret,1,non,,796571
érnail,1,non,,796571
escabelles,2,non,,796571
escamitte,106,non,bas de gamme,17938
escamotte,4,non,,796571
escaralles,1,non,,796571
escarasse,31,non,,796571
escarbille,9,non,,796571
escargots,3,non,,796571
escargots et crekels,13,non,,796571
escarpins,1,non,,796571
escarpins de chambre,1,non,,796571
escayolles,373,non,,796571
esclapes,1,non,,796571
esclapes de bois,2,non,,796571
escope,22,non,,796571
escortines,5,non,,796571
escortines à huile,1,non,,796571
escortines d'espars,5,non,,796571
escortines de jonc,1,non,,796571
escosses,1,non,,796571
escot,7,non,,796571
escot de bois,1,non,,796571
escot de fer,6,non,,796571
escot de laine,3,non,,796571
escotins de bois,1,non,,796571
escoubes,1,non,,796571
espadrilles,9,non,,796571
espagnolette,264,non,milieu de gamme,43473
espagnolette à fleurs,1,non,,796571
espagnolette croisée,119,non,milieu de gamme,43473
espagnolette croisée et simple,3,non,,796571
espagnolette de laine,18,non,milieu de gamme,43473
espagnolette de laine croisée,4,non,,796571
espagnolette de laine lisse,2,non,,796571
espagnolette de laine simple,1,non,,796571
espagnolette des prises,2,non,,796571
espagnolette simple,83,non,milieu de gamme,43473
espars,721,non,,796571
espars de 10 à 15 pieds,2,non,,796571
espars de 10 pieds,1,non,,796571
espars de 11 à 20 pieds,2,non,,796571
espars de 12 à 15 pieds,1,non,,796571
espars de 14 à 16 pieds,1,non,,796571
espars de 14 pieds,1,non,,796571
espars de 15 à 16 pieds,1,non,,796571
espars de 15 à 20 pieds,3,non,,796571
espars de 15 à 25 centimètres,3,non,,796571
espars de 15 centimètres inclusivement à 25 exclusivement,5,non,,796571
espars de 16 à 36 pieds,1,non,,796571
espars de 17 pieds,1,non,,796571
espars de 18 à 20 pieds,4,non,,796571
espars de 18 à 36 pieds,1,non,,796571
espars de 18 pieds,7,non,,796571
espars de 20 à 22 pieds,2,non,,796571
espars de 20 à 25 pieds,4,non,,796571
espars de 20 à 25 pieds de long,3,non,,796571
espars de 20 à 26 pieds,1,non,,796571
espars de 20 à 30 pieds,1,non,,796571
espars de 20 pieds,3,non,,796571
espars de 24 à 36 pieds,1,non,,796571
espars de 24 pieds,2,non,,796571
espars de 25 à 26 pieds,1,non,,796571
espars de 25 à 30 pieds,5,non,,796571
espars de 26 à 28 pieds,1,non,,796571
espars de 26 pieds,2,non,,796571
espars de 27 pieds,1,non,,796571
espars de 28 à 30 pieds,1,non,,796571
espars de 28 à 36 pieds,1,non,,796571
espars de 28 pieds,1,non,,796571
espars de 3 à 4 pieds,1,non,,796571
espars de 30 à 35 pieds,1,non,,796571
espars de 30 à 40 pieds,2,non,,796571
espars de 30 pieds,8,non,,796571
espars de 35 à 46,1,non,,796571
espars de 35 pieds,2,non,,796571
espars de 36 à 40 pieds,1,non,,796571
espars de 4 à 5 pieds,1,non,,796571
espars de 40 à 45 pieds,1,non,,796571
espars de 40 à 50 pieds,3,non,,796571
espars de 40 pieds,1,non,,796571
espars de 45 pieds,2,non,,796571
espars de 5 à 6 pieds,1,non,,796571
espars de 55 pieds,1,non,,796571
espars de 56 à 61 pieds,1,non,,796571
espars de 8 à 9 pieds,1,non,,796571
espars de différente longueur,5,non,,796571
espars de sapin,31,non,,796571
espars de sapin de 15 pieds,1,non,,796571
espars de sapin de 18 pieds,1,non,,796571
espars de sapin de 20 pieds,1,non,,796571
espars de sapin de 24 pieds,1,non,,796571
espars de sapin de 25 pieds,1,non,,796571
espars de sapin de 30 pieds,1,non,,796571
espars de sapin de 37 pieds,0,non,,796571
espars de sapin de 45 pieds,1,non,,796571
espars divers,1,non,,796571
espars doubles,11,non,,796571
espars marmoyées en argent,1,non,,796571
espars petit,2,non,,796571
espars petits,1,non,,796571
espars pour construction,2,non,,796571
espars simple,4,non,,796571
espars simples,4,non,,796571
espèce monnayée ???,1,non,,796571
espèces,63,non,,796571
espèces d'argent,4,non,,796571
espingole,2,non,,796571
esponton,6,non,,796571
esprit,0,non,,796571
esprit d'absinthe,1,non,,796571
esprit de bergamote,151,non,,796571
esprit de cédrat,2,non,,796571
esprit de citron,129,non,,796571
esprit de coclearia,9,non,,796571
esprit de corne de cerf,3,non,,796571
esprit de coton,1,non,,796571
esprit de feuilles d'orange,1,non,,796571
esprit de fil,1,non,,796571
esprit de fleurs d'oranger,9,non,,796571
esprit de lavande,1,non,,796571
esprit de limon,4,non,,796571
esprit de miroly,1,non,,796571
esprit de myrrhe,1,non,,796571
esprit de myrthe,1,non,,796571
esprit de nitre,12,non,,796571
esprit de romarin,4,non,,796571
esprit de sel,13,non,,796571
esprit de sel ammoniac,2,non,,796571
esprit de sel marin,1,non,,796571
esprit de soufre,10,non,,796571
esprit de taffia,2,oui,,796571
esprit de tafia,2,non,,796571
esprit de tamarin,1,non,,796571
esprit de vitriol,57,non,,796571
esprit-de-vin,157,non,,796571
esprots,3,non,,796571
esprots fumés,7,non,,796571
esprots pressés,1,non,,796571
espuirie,0,non,,796571
esquilles,1,non,,796571
esquine,30,non,,796571
essandoles,1,non,,796571
essence,333,non,,796571
essence aromatique,6,non,,796571
essence au bruit aromatique,1,non,,796571
essence d'anis,1,non,,796571
essence de bergamote,6,non,,796571
essence de cannelle,6,non,,796571
essence de cendre de bois,38,non,,796571
essence de citron,47,non,,796571
essence de fleurs d'orange,1,non,,796571
essence de girofle,6,non,,796571
essence de jasmin,11,non,,796571
essence de lavande,2,non,,796571
essence de limon,5,non,,796571
essence de muscade,1,non,,796571
essence de paruce,1,non,,796571
essence de pommade,1,non,,796571
essence de romarin,1,non,,796571
essence de rose,8,non,,796571
essence de soie,1,non,,796571
essence de térébenthine,36,non,,796571
essence de térébenthine et huile de térébenthine,85,non,,796571
essence de thym,1,non,,796571
essence de vitriol,15,non,,796571
essence et huile de térébenthine,184,non,,796571
essence et pommade,3,non,,796571
essence odorante,2,non,,796571
essence odoriférante,1,non,,796571
essence ou esprit de citron,1,non,,796571
essence vitriolique et vitriol huile,9,non,,796571
essieux,93,non,,796571
essieux à cabrouets,2,non,,796571
essieux de fer,71,non,,796571
estagnons,4,non,,796571
estagnons de cuivre allié,1,non,,796571
estampes,342,non,,796571
estampes en feuilles,1,non,,796571
estampes encadrées,2,non,,796571
estampes et cartes géographiques,14,non,,796571
estampes et gravures,44,non,,796571
estampes et images,1,non,,796571
estampes et librairie,13,non,,796571
estampes et tableaux,336,non,,796571
estampes sur papier,1,non,,796571
estampes sur toile,1,non,,796571
estères,2,non,,796571
estères de jonc,4,non,,796571
estette à faire gombessis,1,non,,796571
estrasse de cocons,1,non,,796571
estrasse de Savoie,1,non,,796571
estrasse de soie,66,oui,,796571
esturgeon,114,non,,796571
esturgeon en adaube,3,non,,796571
esturgeon mariné,4,non,,796571
esturgeon salé,43,non,,796571
étain,505,non,,796571
étain battu,16,non,,796571
étain battu ou limé,4,non,,796571
étain brut,47,non,,796571
étain brut d'Inde,1,non,,796571
étain brut d'Inde des entrepôts,0,non,,796571
étain brut en masses ouvrages brisés et saumons,1,non,,796571
étain creux,1,non,,796571
étain d'Angleterre,2,non,,796571
étain de glaces,36,oui,,796571
étain de j ???,1,non,,796571
étain de malgue,1,non,,796571
étain de Melac,11,non,,796571
étain de retour,1,non,,796571
étain de retour faute de vente,1,oui,,796571
étain des Indes,36,non,,796571
étain du Pérou,2,non,,796571
étain en bloc,584,non,,796571
étain en bloc des Indes,1,non,,796571
étain en enclumes de fer,1,non,,796571
étain en faux,3,non,,796571
étain en feuilles,12,non,,796571
étain en lingots,2,non,,796571
étain en plats,1,oui,,796571
étain en plomb,1,non,,796571
étain en saumon,27,non,,796571
étain et plomb,18,non,,796571
étain fin,1,non,,796571
étain fin en bloc,1,non,,796571
étain neuf,7,non,,796571
étain non ouvré,16,non,,796571
étain ouvré fin,2,non,,796571
étain pour glaces,38,non,,796571
étain pour soudure,2,non,,796571
étain rouge,1,non,,796571
étain seringues,2,non,,796571
étain verni,1,non,,796571
étain vieux,101,non,,796571
étais en bois,2,non,,796571
etalchasse,3,non,,796571
étamette,29,non,,796571
étamette dauphine casinettes,8,non,,796571
étamine,321,non,bas de gamme,17938
étamine à bluteau,4,non,,796571
étamine à passer fromage,9,non,,796571
étamine à pavillon,13,non,,796571
étamine à peu de soie,4,non,,796571
étamine au quart de soie,2,non,,796571
étamine au sixième de soie,1,non,,796571
étamine avec soie,2,non,,796571
étamine avec vingt brins de soie,1,non,,796571
étamine blanche,1,non,,796571
étamine burail,85,non,milieu de gamme,43473
étamine buratée de laine,1,non,,796571
étamine burette,2,non,,796571
étamine commune,2,non,,796571
étamine d'Agen,3,non,,796571
étamine d'Allemagne,6,non,,796571
étamine d'Amiens,14,non,,796571
étamine d'argent,2,non,,796571
étamine d'Auvergne,17,non,bas de gamme,17938
étamine de Acims,0,non,,796571
étamine de belzamine,4,non,,796571
étamine de laine,660,non,bas de gamme,17938
étamine de laine d'Angleterre,2,non,,796571
étamine de laine et de soie,6,non,,796571
étamine de laine fine,1,non,,796571
étamine de Laval,3,non,,796571
étamine de Nogent,6,non,,796571
étamine de Noyau,2,non,,796571
étamine de Reims,229,non,milieu de gamme,43473
étamine de renvoi,1,non,,796571
étamine de Rouen,1,non,,796571
étamine de Sainte,1,non,,796571
étamine de soie,7,non,,796571
étamine des prises,3,non,,796571
étamine du Mans,92,non,milieu de gamme,43473
étamine du pays,1,non,,796571
étamine et serge,6,non,,796571
étamine fine,4,non,,796571
étamine Maine,1,non,,796571
étamine mi soie,2,non,,796571
étamine noire,2,non,,796571
étamine oneraile,1,non,,796571
étamine ouvrée,1,non,,796571
étamine piquée de soie,1,non,,796571
étamine rayée,3,non,,796571
étamine virée,1,non,,796571
étampes,0,non,,796571
étampes de chanvre,1,non,,796571
etatchasse,6,non,,796571
étaux,2,non,,796571
étaux de fer,28,non,,796571
étaux en bâtit pour serruriers,1,non,,796571
étaux ouvragés,1,non,,796571
etaya,1,non,,796571
étendards,2,non,,796571
étendards de soie,1,non,,796571
etendelle,3,non,,796571
éternelle de coton,1,non,,796571
etocs,4,non,,796571
etocs de fer,13,non,,796571
étocs de fer,12,non,,796571
étoffe,389,non,milieu de gamme,43473
étoffe à carreaux,1,non,,796571
étoffe à carreaux et de toile de coutil,1,non,,796571
étoffe à galon d'or,1,non,,796571
étoffe à la valeur,2,non,,796571
étoffe à peu de soie,343,non,bas de gamme,17938
étoffe au ??? de soie,3,non,,796571
étoffe au 4/5e de soie,4,non,,796571
étoffe au filoselle,2,non,,796571
étoffe au peu de soie,4,non,,796571
étoffe au poil sorge de Rome,1,non,,796571
étoffe au quart de soie,364,non,bas de gamme,17938
étoffe au sixième,1,non,,796571
étoffe au sixième de soie,22,non,bas de gamme,17938
étoffe au sixième de soie en siamoise,2,non,,796571
étoffe au sixième de soie siamoise,1,non,,796571
étoffe au tiers de soie,1,non,,796571
étoffe au-dessus du sixième de soie,2,non,,796571
étoffe avec argent et or,2,non,,796571
étoffe avec un brin de soie,3,non,,796571
étoffe brochée d'argent et d'or faux de soie,1,non,,796571
étoffe brochée d'argent et d'or fin de soie,2,non,,796571
étoffe brochée d'or ou d'argent faux de soie pure,2,non,,796571
étoffe brochée d'or ou d'argent fin de soie pure,2,non,,796571
étoffe brochée de coton et de fil siamois,1,non,,796571
étoffe brochée de pure soie et unies,39,non,haut de gamme,11978
étoffe brochée de soie,2,non,,796571
étoffe brochée de soie et unies,70,non,haut de gamme,11978
étoffe brochée de soie pure,2,non,,796571
étoffe brochée et brodée,2,non,,796571
étoffe cotonne,1,non,,796571
étoffe crêpe,1,non,,796571
étoffe croisée,1,non,,796571
étoffe d'Amiens façonnée,1,non,,796571
étoffe d'écorce,2,non,,796571
étoffe d'herbes,5,non,,796571
étoffe de bourre de soie,7,non,,796571
étoffe de bourre de soie façon cachemire,1,non,,796571
étoffe de capiton,4,non,,796571
étoffe de chanvre,4,non,,796571
étoffe de chanvre et de fil de lin en toile,12,non,milieu de gamme,43473
étoffe de chanvre et de lin en toile diverse,26,non,milieu de gamme,43473
étoffe de chanvre ou de lin,2,non,,796571
étoffe de chanvre ou de lin mêlés,1,non,,796571
étoffe de coton,411,non,milieu de gamme,43473
étoffe de coton ???,2,non,,796571
étoffe de coton au quart de soie,3,non,,796571
étoffe de coton au sixième de soie,1,non,,796571
étoffe de coton avec un brin de soie,1,non,,796571
étoffe de coton basin piqués mousselinettes,2,non,,796571
étoffe de coton brillant blanc,1,non,,796571
étoffe de coton brochée et brodée et imprimée,2,non,,796571
étoffe de coton brodé,1,non,,796571
étoffe de coton de fil,6,non,,796571
étoffe de coton de fil et de laine,20,non,,796571
étoffe de coton de fil et de soie,9,non,,796571
étoffe de coton de fleuret et de soie,1,non,,796571
étoffe de coton de laine,3,non,,796571
étoffe de coton de laine et de soie,3,non,,796571
étoffe de coton de quart de soie,1,non,,796571
étoffe de coton de velours,7,non,,796571
étoffe de coton des Indes,1,non,,796571
étoffe de coton en drap,14,non,,796571
étoffe de coton en soie,8,non,,796571
étoffe de coton et bonneterie,1,non,,796571
étoffe de coton et chapeaux,1,non,,796571
étoffe de coton et de fil,232,non,milieu de gamme,43473
étoffe de coton et de fil de soie,2,non,,796571
étoffe de coton et de fil et de laine et de poil chameau,15,non,,796571
étoffe de coton et de fil et de laine et de poil de chèvre,16,non,,796571
étoffe de coton et de fil mélangés,10,non,bas de gamme,17938
étoffe de coton et de fleuret,3,non,,796571
étoffe de coton et de laine,23,non,milieu de gamme,43473
étoffe de coton et de laine diverse,1,non,,796571
étoffe de coton et de laine et de filoselle,7,non,,796571
étoffe de coton et de laine et de soie mélangés,26,non,bas de gamme,17938
étoffe de coton et de laine retour,1,non,,796571
étoffe de coton et de soie,318,non,bas de gamme,17938
étoffe de coton et de soie des Indes,1,non,,796571
étoffe de coton et de soie éternelle,1,non,,796571
étoffe de coton et de toile,1,non,,796571
étoffe de coton et drap de coton et velours de coton,15,non,milieu de gamme,43473
étoffe de coton et drap de coton et velours de coton et couvertures de coton,13,non,milieu de gamme,43473
étoffe de coton et mercerie,1,non,,796571
étoffe de coton et pellerie,1,non,,796571
