exportsimports,pays_grouping,direction,marchandises_simplification,quantity_unit_ortho,quantity_unit_ajustees,u_conv,q_conv,remarques
Exports,Flandre et autres états de l'Empereur,Flandre,lattes,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Hollande,Lille,lattes de bois pour couvrir,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Nord,Rennes,lin,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Flandre et autres états de l'Empereur,Lille,lin commun,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Hollande,Bordeaux,liège,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Angleterre,Rouen,oignons,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Flandre et autres états de l'Empereur,Flandre,osier,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Colonies françaises,Lille - port de Dunkerque - commerce privilégié,osier de fer-blanc,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Flandre et autres états de l'Empereur,Lille,ouvrages de bois,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Flandre et autres états de l'Empereur,Lille,paille,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Colonies françaises,,planches de sapin,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Nord,Bayonne,quincaillerie de fer,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Portugal,Rennes,raisin sec,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Portugal,Rouen,roseaux,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Flandre et autres états de l'Empereur,Lille,roseaux champêtre,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Flandre et autres états de l'Empereur,Flandre,roseaux d'Espagne,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Espagne,Marseille,soie crue,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Espagne,Nantes,sumac,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,France,Lille,taille de bois à couvrir,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Colonies françaises,,toile de lin blanche,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Colonies françaises,Rennes,toile de lin de Laval,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Nord,Rouen,vaude,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Espagne,Rennes,vin d'Espagne,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Espagne,Bayonne,vin de Navarre,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Espagne,Nantes,vin de Xérès,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Hollande,Rennes,vin des Canaries,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Angleterre,Rouen,voide,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Espagne,Rennes,étamine de laine,bottes,bottes,litres,411.327,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Espagne,Rennes,anchois,bouteilles,,,,
Exports,Afrique,Nantes,anisette,bouteilles,,,,
Exports,Colonies françaises,Nantes,baume,bouteilles,,,,
Imports,Colonies françaises,La Rochelle,baume de sucre,bouteilles,,,,
Exports,Colonies françaises,Nantes,baume de vie,bouteilles,,,,
Imports,Hollande,Marseille,bière,bouteilles,,,,
Imports,Hollande,Marseille,bière d'Angleterre,bouteilles,,,,
Exports,Asie,,bière en bouteille,bouteilles,,,,
Exports,Espagne,Bayonne,bouteilles,bouteilles,,,,
Imports,Hollande,Bayonne,bouteilles de verre,bouteilles,,,,
Exports,Colonies françaises,Marseille,bouteilles de verres,bouteilles,,,,
Exports,Colonies étrangères,Le Havre,brai gras de goudron,bouteilles,,,,
Imports,Angleterre,Rouen,champignon mariné,bouteilles,,,,
Exports,Colonies françaises,La Rochelle,cidre,bouteilles,,,,
Imports,Colonies françaises,La Rochelle,eau citronnelle,bouteilles,,,,
Imports,Suisse,Lyon,eau cordiale,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,Charleville,eau d'anis,bouteilles,,,,
Imports,Colonies françaises,Rouen,eau de Barbade,bouteilles,,,,
Imports,Angleterre,Rouen,eau de Bristol,bouteilles,,,,
Imports,Allemagne et Pologne (par terre),,eau de Bussingue,bouteilles,,,,
Imports,Colonies françaises,La Rochelle,eau de Philipine,bouteilles,,,,
Exports,Colonies françaises,Nantes,eau de Spa,bouteilles,,,,
Imports,Colonies françaises,Nantes,eau de cannelle,bouteilles,,,,
Imports,Colonies françaises,La Rochelle,eau de citronnelle,bouteilles,,,,
Exports,Hollande,Marseille,eau de fleurs d'orange,bouteilles,,,,
Exports,Colonies françaises,Nantes,eau de la Côte,bouteilles,,,,
Exports,Nord,Nantes,eau de lavande,bouteilles,,,,
Imports,Angleterre,Rouen,eau de miel,bouteilles,,,,
Exports,Italie,Marseille,eau de mélisse,bouteilles,,,,
Exports,Colonies françaises,Nantes,eau de senteur,bouteilles,,,,
Exports,Nord,Nantes,eau de senteur de la reine de Hongrie,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,Saint-Quentin,eau de senteur de lavande,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,Saint-Quentin,eau forte,bouteilles,,,,
Exports,Espagne,Nantes,eau minérale,bouteilles,,,,
Imports,Angleterre,Rouen,eau minérale de Bristol,bouteilles,,,,
Exports,Colonies françaises,Nantes,eau médicinale,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,Flandre,eau médicinale de Chypre,bouteilles,,,,
Exports,Colonies françaises,Nantes,eau vulnéraire,bouteilles,,,,
Exports,Colonies françaises,Bayonne,eau-de-vie,bouteilles,,,,
Exports,Colonies françaises,Bayonne,eau-de-vie d'Hendaye,bouteilles,,,,
Exports,Colonies françaises,Nantes,eau-de-vie d'Hendaye et simple,bouteilles,,,,
Exports,Afrique,Nantes,eau-de-vie de lavande et simple,bouteilles,,,,
Exports,Colonies françaises,Nantes,eau-de-vie simple,bouteilles,,,,
Exports,Colonies françaises,Bayonne,encre,bouteilles,,,,
Exports,Colonies françaises,Nantes,encre de la petite vertu,bouteilles,,,,
Exports,Colonies étrangères,Le Havre,encre rouge,bouteilles,,,,
Exports,Colonies françaises,La Rochelle,encre à écrire,bouteilles,,,,
Exports,Afrique,Nantes,esprit de coclearia,bouteilles,,,,
Exports,Nord,Nantes,essence,bouteilles,,,,
Exports,Angleterre,La Rochelle,fenouil,bouteilles,,,,
Exports,Colonies françaises,Rouen,fruits confits à l'eau-de-vie,bouteilles,,,,
Exports,Colonies françaises,Nantes,guignolet en ratafia,bouteilles,,,,
Exports,Colonies françaises,Nantes,guignolet en ratafia de cerise,bouteilles,,,,
Exports,Colonies françaises,Saint-Malo,huile d'olive,bouteilles,,,,
Imports,Colonies françaises,Rouen,huile de copahu,bouteilles,,,,
Exports,Colonies françaises,La Rochelle,huile de palme,bouteilles,,,,
Imports,Allemagne et Pologne (par terre),Châlons,hydromel,bouteilles,,,,
Imports,Colonies françaises,Nantes,jus de citron,bouteilles,,,,
Exports,Colonies françaises,Nantes,liqueurs,bouteilles,,,,
Imports,Allemagne et Pologne (par terre),Langres,liqueurs communes,bouteilles,,,,
Exports,Afrique,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",liqueurs de sirop,bouteilles,,,,
Exports,Afrique,Nantes,liqueurs diverse,bouteilles,,,,
Imports,États-Unis d'Amérique,,liqueurs et sirop fin,bouteilles,,,,
Imports,Colonies françaises,Nantes,liqueurs fine,bouteilles,,,,
Imports,Italie,Marseille,liqueurs à boire,bouteilles,,,,
Exports,France,Lorient,légumes,bouteilles,,,,
Exports,Colonies françaises,Nantes,moutarde,bouteilles,,,,
Imports,Espagne,Nantes,olives,bouteilles,,,,
Exports,Colonies françaises,Nantes,parfumerie eau de senteur,bouteilles,,,,
Exports,Colonies françaises,Nantes,quinquina,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,Nantes,ratafia,bouteilles,,,,
Imports,Italie,Marseille,rossoly,bouteilles,,,,
Exports,Colonies françaises,La Rochelle,sel,bouteilles,,,,
Imports,Allemagne et Pologne (par terre),Charleville,sirop,bouteilles,,,,
Exports,Italie,Marseille,sirop de capillaire,bouteilles,,,,
Imports,Colonies françaises,La Rochelle,sirop de limon,bouteilles,,,,
Exports,Nord,Nantes,sirop de mélasse,bouteilles,,,,
Exports,Colonies françaises,Nantes,sirop de vinaigre,bouteilles,,,,
Imports,France,Lorient,sirop à boire,bouteilles,,,,
Imports,Hollande,Rouen,soie,bouteilles,,,,
Exports,Colonies françaises,Nantes,tabac de la Ferme,bouteilles,,,,
Exports,Afrique,Nantes,tafia,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,Lille,vernis,bouteilles,,,,
Exports,Colonies françaises,Bayonne,vin,bouteilles,,,,
Exports,Italie,,vin Champagne,bouteilles,,,,
Exports,Colonies françaises,Bayonne,vin Rancio,bouteilles,,,,
Imports,Espagne,Marseille,vin Tinto,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin anti-scorbutique,bouteilles,,,,
Imports,Italie,Marseille,vin blanc,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin blanc en bouteilles,bouteilles,,,,
Exports,Colonies françaises,La Rochelle,vin d'Alicante,bouteilles,,,,
Exports,Colonies françaises,Marseille,vin d'Alicante en bouteilles,bouteilles,,,,
Exports,Colonies françaises,La Rochelle,vin d'Ambrion,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin d'Anjou,bouteilles,,,,
Imports,France,Charleville,vin d'Arbois,bouteilles,,,,
Exports,Indes,,vin d'Aubagne,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin d'Auxerre,bouteilles,,,,
Exports,Colonies françaises,Bayonne,vin d'Espagne,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,,vin d'Orléans,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin d'amont,bouteilles,,,,
Exports,Colonies françaises,La Rochelle,vin d'orange,bouteilles,,,,
Imports,France,Lorient,vin de ???,bouteilles,,,,
Exports,Colonies françaises,,vin de Barcelone,bouteilles,,,,
Imports,Allemagne et Pologne (par terre),Châlons,vin de Barrois,bouteilles,,,,
Exports,Colonies françaises,Bayonne,vin de Bayonne,bouteilles,,,,
Exports,Angleterre,Bourgogne,vin de Beaune,bouteilles,,,,
Exports,Colonies françaises,Rouen,vin de Bordeaux,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de Bordeaux de haut,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de Bordeaux de ville,bouteilles,,,,
Exports,États-Unis d'Amérique,,vin de Bordeaux en bouteilles,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de Bourg,bouteilles,,,,
Exports,Nord,Nantes,vin de Bourgogne,bouteilles,,,,
Exports,Afrique,Nantes,vin de Bourgogne Mâcon,bouteilles,,,,
Exports,Hollande,Rouen,vin de Bourgogne en bouteilles,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,,vin de Bourgogne en muid,bouteilles,,,,
Exports,Indes,,vin de Cabreton,bouteilles,,,,
Exports,Colonies françaises,Bayonne,vin de Cahors,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,,vin de Cap,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de Cap Breton,bouteilles,,,,
Exports,Afrique,Nantes,vin de Champagne,bouteilles,,,,
Exports,États-Unis d'Amérique,,vin de Champagne en bouteilles,bouteilles,,,,
Exports,Portugal,,vin de Champagne en muid,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de Chypre,bouteilles,,,,
Exports,Colonies françaises,Marseille,vin de Chypre en bouteilles,bouteilles,,,,
Exports,Hollande,,vin de Châlon,bouteilles,,,,
Exports,Nord,La Rochelle,vin de Cognac,bouteilles,,,,
Exports,Europe,,vin de Comté,bouteilles,,,,
Imports,Hollande,Rennes,vin de Constance,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de Côte-Rotie,bouteilles,,,,
Exports,Suisse,,vin de Dauphiné,bouteilles,,,,
Exports,Suisse,,vin de Dijon,bouteilles,,,,
Imports,Italie,Marseille,vin de Florence,bouteilles,,,,
Exports,Colonies françaises,Bayonne,vin de France,bouteilles,,,,
Exports,Nord,,vin de France en bouteilles,bouteilles,,,,
Exports,Italie,Marseille,vin de Frontignan,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de Gaillac,bouteilles,,,,
Exports,Asie,,vin de Guyenne,bouteilles,,,,
Imports,Nord,La Rochelle,vin de Hongrie,bouteilles,,,,
Exports,Allemagne et Pologne (par terre),Langres,vin de Langres,bouteilles,,,,
Imports,Espagne,,vin de Lantirini,bouteilles,,,,
Exports,États-Unis d'Amérique,Nantes,vin de Madère,bouteilles,,,,
Imports,Espagne,Rennes,vin de Malaga,bouteilles,,,,
Exports,Colonies françaises,Marseille,vin de Malaga en bouteilles,bouteilles,,,,
Imports,Angleterre,Rouen,vin de Malvoisie,bouteilles,,,,
Exports,Allemagne et Pologne (par terre),,vin de Moselle,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de Nantes,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de Pacaret,bouteilles,,,,
Imports,Angleterre,Rouen,vin de Porto,bouteilles,,,,
Imports,Angleterre,Rennes,vin de Portugal,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de Rancio,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,Châlons,vin de Reims,bouteilles,,,,
Imports,Hollande,La Rochelle,vin de Rhin,bouteilles,,,,
Imports,Colonies françaises,La Rochelle,vin de Rhin de retour,bouteilles,,,,
Imports,Nord,Rouen,vin de Rhin en bouteilles,bouteilles,,,,
Exports,Allemagne et Pologne (par terre),Langres,vin de Ricey,bouteilles,,,,
Exports,Hollande,Nantes,vin de Rivesac,bouteilles,,,,
Exports,Hollande,Nantes,vin de Rivesaltes,bouteilles,,,,
Exports,Afrique,Nantes,vin de Rolas,bouteilles,,,,
Imports,Espagne,La Rochelle,vin de Rots,bouteilles,,,,
Imports,Italie,Marseille,vin de St. Laurent,bouteilles,,,,
Imports,Suisse,,vin de Suisse,bouteilles,,,,
Imports,Allemagne et Pologne (par terre),,vin de Tavel,bouteilles,,,,
Imports,Flandre et autres états de l'Empereur,,vin de Tokay,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de Tonnerre,bouteilles,,,,
Exports,Colonies françaises,La Rochelle,vin de Xérès,bouteilles,,,,
Exports,Angleterre,Nantes,vin de hors,bouteilles,,,,
Exports,Europe,,vin de la Moselle,bouteilles,,,,
Exports,Afrique,,vin de liqueurs,bouteilles,,,,
Imports,Hollande,Rouen,vin de liqueurs en bouteilles,bouteilles,,,,
Exports,Colonies françaises,La Rochelle,vin de mus ???,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin de muscat,bouteilles,,,,
Imports,Hollande,Rouen,vin de palme,bouteilles,,,,
Exports,France,Lorient,vin de pays,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,,vin de rivière,bouteilles,,,,
Exports,Colonies françaises,Bordeaux,vin de ville,bouteilles,,,,
Exports,Colonies françaises,Rouen,vin des Canaries,bouteilles,,,,
Exports,Colonies françaises,Bayonne,vin divers,bouteilles,,,,
Exports,États-Unis d'Amérique,,vin du Roussillon,bouteilles,,,,
Exports,France,Bayonne,vin en bouteilles,bouteilles,,,,
Exports,Colonies françaises,,vin français,bouteilles,,,,
Exports,Afrique,Nantes,vin hors,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin muscat,bouteilles,,,,
Exports,Portugal,Rouen,vin ordinaire,bouteilles,,,,
Imports,Hollande,Rouen,vin ordinaire en bouteilles,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin rouge,bouteilles,,,,
Exports,Colonies françaises,Nantes,vin rouge en bouteilles,bouteilles,,,,
Imports,Italie,Marseille,vin étranger,bouteilles,,,,
Exports,Suisse,,vin étranger au ???,bouteilles,,,,
Imports,Europe,,vin étranger de toute sorte,bouteilles,,,,
Imports,Hollande,,vin étranger en bouteilles,bouteilles,,,,
Exports,Nord,Rouen,vinaigre,bouteilles,,,,
Exports,Indes,Nantes,vinaigre de composition,bouteilles,,,,
Exports,Hollande,Rouen,vinaigre de vin,bouteilles,,,,
Exports,Colonies françaises,Nantes,élixir,bouteilles,,,,
Exports,Flandre et autres états de l'Empereur,Saint-Quentin,élixir de garus,bouteilles,,,,
Exports,Allemagne et Pologne (par terre),,vin de Bourgogne,bouteilles + muids + pintes,,,,
Exports,Allemagne et Pologne (par terre),,vin de Champagne,bouteilles + muids + pintes,,,,
Imports,Angleterre,Caen,eau de Barbade,bouteilles de pinte,,,,
Imports,Colonies françaises,Nantes,eau vulnéraire,bouteilles de pinte,,,,
Imports,Colonies françaises,Nantes,sirop de limon,bouteilles de pinte,,,,
Imports,Nord,La Rochelle,verres à boire,bouteilles ou le livres,,,,
Exports,Angleterre,La Rochelle,bois de noyer,brasses,,,,
Imports,Nord,Rouen,bois pour brûler,brasses,,,,
Imports,Espagne,Rennes,amandes,canastre,,,,
Imports,Espagne,Rennes,amandes cassée,canastre,,,,
Exports,Colonies françaises,Bordeaux,batiste,carreaux,carreaux,litres,102.831,
Exports,Angleterre,Rouen,carreaux d'Île de France,carreaux,carreaux,litres,102.831,
Exports,Colonies françaises,Bayonne,carreaux de Bidache de pierre,carreaux,carreaux,litres,102.831,
Imports,Hollande,La Rochelle,carreaux de terre,carreaux,carreaux,litres,102.831,
Exports,Angleterre,Rouen,carreaux moulage de Brie,carreaux,carreaux,litres,102.831,
Exports,Espagne,Bayonne,cidre,carreaux,carreaux,litres,102.831,
Imports,Italie,Marseille,faïence,carreaux,carreaux,litres,102.831,
Imports,Nord,Bordeaux,marbre bâtard,carreaux,carreaux,litres,102.831,
Exports,Espagne,Marseille,ouvrages de marbre,carreaux,carreaux,litres,102.831,
Exports,Colonies françaises,Bayonne,pierres de Bidache,carreaux,carreaux,litres,102.831,
Exports,Colonies françaises,Bayonne,pierres à bâtir,carreaux,carreaux,litres,102.831,
Exports,Colonies françaises,La Rochelle,verres de vitre,carreaux,carreaux,litres,102.831,
Exports,Colonies françaises,La Rochelle,bière,demi barriques,barriques,litres,114.145,"Doursther page 62 : 1 barrique de La Rochelle = 228,29 litres"
Exports,Afrique,Nantes,sardines pressées,demi barriques,barriques,litres,120,Doursther page 62 : 1 barrique de Nantes = 240 litres
Imports,Espagne,Rennes,vin de Xérès,demi bottes,bottes,litres,205.6635,Doursther page 81 (pipe et botte se confondent souvent) & Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Allemagne et Pologne (par terre),Langres,bouteilles de verres,demi bouteilles,,,,
Exports,Colonies françaises,Nantes,vin,demi bouteilles,,,,
Imports,Hollande,Rennes,vin de Cap,demi bouteilles,,,,
Imports,Hollande,Rennes,vin de Constance,demi bouteilles,,,,
Imports,Hollande,La Rochelle,vin de liqueurs,demi bouteilles,,,,
Imports,Nord,Rouen,vin des Canaries,demi bouteilles,,,,
Exports,Angleterre,Rennes,savon,demi caisses,caisses,contenant,1,
Imports,Italie,Marseille,ails,demi charge,charges,kg,73.425005,D'après Doursther (France). Aussi la valeure choisie par Werner
Exports,Suisse,Marseille,choux-fleurs,demi charge,charges,kg,73.425005,D'après Doursther (France). Aussi la valeure choisie par Werner
Exports,Italie,Marseille,plants d'arbres,demi charge,charges,kg,73.425005,D'après Doursther (France). Aussi la valeure choisie par Werner
Exports,Italie,Marseille,vin muscat,demi charge,charges,kg,73.425005,D'après Doursther (France). Aussi la valeure choisie par Werner
Exports,Italie,Marseille,meules pour moulin,demi meule,,,,
Imports,Colonies françaises,La Rochelle,cuirs tannés,douzaine de fiole,,,,
Exports,Angleterre,La Rochelle,eau de senteur de la reine de Hongrie,douzaine de fiole,,,,
Imports,Colonies françaises,La Rochelle,eau de Barbade,en bouteille,,,,
Imports,Colonies françaises,La Rochelle,eau des carmes,en bouteille,,,,
Exports,Colonies françaises,La Rochelle,eau-de-vie,grosses barriques,grosses barriques,contenant,1,
Exports,Nord,La Rochelle,eau-de-vie d'oléron,grosses barriques,grosses barriques,contenant,1,
Exports,Colonies françaises,La Rochelle,pipes à fumer,grosses barriques,grosses barriques,contenant,1,
Exports,Nord,Nantes,eau-de-vie,grosses pipes,grosses pipes,contenant,1,
Imports,Espagne,Bayonne,olives,jarres,,,,
Exports,Italie,Marseille,vin rouge,"muid de 62,5 pintes",pinte,litres,59.509125,Mesure de la pinte: Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Italie,Marseille,vinaigre,"muid de 62,5 pintes",pinte,litres,59.509125,Mesure de la pinte: Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,France,Lille,???,muids,,,,
Exports,Europe,,??? d'Anjou et de Touraine,muids,,,,
Exports,Europe,,??? des ci-devant provinces d'Alsace,muids,,,,
Exports,États-Unis d'Amérique,,??? des ci-devant provinces de Bourgogne,muids,,,,
Exports,États-Unis d'Amérique,,??? des ci-devant provinces de Provence,muids,,,,
Exports,États-Unis d'Amérique,,??? des ci-devant provinces du Languedoc,muids,,,,
Exports,Portugal,Rouen,aigre de cidre,muids,muids,litres,268.22,"Doursther page 371 : 1 muid de liquide = 268,22 L"
Exports,Afrique,Rouen,anisette,muids,muids,litres,268.22,"Doursther page 371 : 1 muid de liquide = 268,22 L"
Exports,Colonies françaises,Bordeaux,anisette au fiasque,muids,muids,litres,268.22,"Doursther page 371 : 1 muid de liquide = 268,22 L"
Exports,Colonies françaises,Rouen,anisette de Bordeaux,muids,muids,litres,268.22,"Doursther page 371 : 1 muid de liquide = 268,22 L"
Imports,Allemagne et Pologne (par terre),Flandre,ardoise,muids,,,,
Exports,Indes,La Rochelle,argenterie,muids,,,,
Exports,Hollande,,bière,muids,muids,litres,268.22,"Doursther page 371 : 1 muid de liquide = 268,22 L"
Exports,Europe,,bière en muid,muids,muids,litres,268.22,"Doursther page 371 : 1 muid de liquide = 268,22 L"
Exports,Espagne,Bordeaux,bouchons de liège,muids,muids,litres,1828.116,Muid de matière sèche: Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Angleterre,La Rochelle,charbon de terre,muids,muids,litres,15000,Doursther page 369 : 1 muid de charbon de terre de La Rochelle = 15000 L
Imports,Allemagne et Pologne (par terre),,chaux,muids,muids,litres,1828.116,Muid de matière sèche: Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Exports,Hollande,Rouen,cidre,muids,muids,litres,268.22,"Doursther page 371 : 1 muid de liquide = 268,22 L"
Exports,France,Bayonne,cire,muids,muids,litres,1828.116,Muid de matière sèche: Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Nord,,cire diverse,muids,muids,litres,1828.116,Muid de matière sèche: Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
Imports,Hollande,,eau de genièvre,muids,muids,litres,268.22,"Doursther page 371 : 1 muid de liquide = 268,22 L"
Exports,Angleterre,,eau de grain,muids,muids,litres,268.22,"Doursther page 371 : 1 muid de liquide = 268,22 L"
Exports,Colonies étrangères,Lille - port de Dunkerque - commerce privilégié,eau de senteur,muids,muids,litres,268.22,"Doursther page 371 : 1 muid de liquide = 268,22 L"
Imports,Flandre et autres états de l'Empereur,Lille,eau gazeuse,muids,muids,litres,268.22,"Doursther page 371 : 1 muid de liquide = 268,22 L"
