simplification,product_simplification,product_revolutionempire,export_import,customs_region,partner_grouping,metric,conv_simplification_to_metric,remarks_unit
barils,lard,Subsistances diverses et mélangées,Exports,Rouen,Afrique,,,
barils,lard,Subsistances diverses et mélangées,Exports,Rouen,Amériques,,,
barils,lard,Subsistances diverses et mélangées,Imports,La Rochelle,Angleterre,,,
barils,lard,Subsistances diverses et mélangées,Imports,Nantes,Angleterre,,,
barils,lard,Subsistances diverses et mélangées,Imports,,Nord,,,
barils,lard,Subsistances diverses et mélangées,Imports,Rennes,Angleterre,,,
barils,lard,Subsistances diverses et mélangées,Imports,Rennes,Espagne,,,
barils,lard,Subsistances diverses et mélangées,Imports,Rennes,Hollande,,,
barils,lard,Subsistances diverses et mélangées,Imports,Rennes,Italie,,,
barils,lard,Subsistances diverses et mélangées,Imports,Rennes,Nord,,,
barils,lard,Subsistances diverses et mélangées,Imports,Rouen,Angleterre,,,
barils,lard,Subsistances diverses et mélangées,Imports,Saint-Domingue,[vide],,,
barils,navets,Subsistances diverses et mélangées,Exports,Rouen,Angleterre,,,
barils,navets,Subsistances diverses et mélangées,Exports,Rouen,Hollande,,,
barils,navets,Subsistances diverses et mélangées,Exports,Rouen,Nord,,,
barils,pommes de terre,Subsistances diverses et mélangées,Imports,La Rochelle,Hollande,,,
barils,pommes de terre,Subsistances diverses et mélangées,Imports,Nantes,Amériques,,,
barils,pommes de terre,Subsistances diverses et mélangées,Imports,Nantes,Angleterre,,,
barils,pommes de terre,Subsistances diverses et mélangées,Imports,Nantes,Espagne,,,
barils,pommes de terre,Subsistances diverses et mélangées,Imports,Rennes,Espagne,,,
barils,cassonade,Sucre,Exports,Nantes,Nord,,,
barils,cassonade,Sucre,Exports,Rennes,Amériques,,,
barils,sucre brut,Sucre,Imports,Rennes,Amériques,,,
barils,sucre en pain,Sucre,Imports,Rennes,Hollande,,,
barils,sucre terré,Sucre,Exports,Nantes,Nord,,,
barils,sucre terré,Sucre,Imports,Rennes,Amériques,,,
barils,feuilles de tabac,Tabac,Imports,Rennes,Angleterre,,,
barils,feuilles de tabac,Tabac,Imports,Rennes,Hollande,,,
barils,térébenthine,Térébenthine,Exports,Rennes,Angleterre,,,
barils,térébenthine,Térébenthine,Exports,Rennes,Hollande,,,
barils,térébenthine,Térébenthine,Exports,Rennes,Nord,,,
barils,térébenthine,Térébenthine,Exports,Rennes,Portugal,,,
barils,térébenthine,Térébenthine,Imports,,Angleterre,,,
barils,térébenthine,Térébenthine,Imports,Bordeaux,Angleterre,,,
barils,térébenthine,Térébenthine,Imports,Bourgogne,Suisse,,,
barils,térébenthine,Térébenthine,Imports,Rennes,Angleterre,,,
barils,verdet,Verdet,Imports,Rennes,Hollande,,,
barils,groisil,Verrerie,Exports,Lyon,Suisse,,,
barils,rassades,Verrerie,Exports,,États-Unis d'Amérique,,,
barils,rassades,Verrerie,Exports,Rennes,Afrique,,,
barils,verres à boire,Verrerie,Imports,Rennes,Nord,,,
barils,verres cassés,Verrerie,Exports,Lyon,Suisse,,,
barils,verres cassés,Verrerie,Imports,Lyon,Suisse,,,
barils,verres cassés,Verrerie,Imports,Marseille,Italie,,,
barils,verres cassés,Verrerie,Imports,Rouen,Flandre et autres états de l'Empereur,,,
barils,verres cassés,Verrerie,Imports,Rouen,Hollande,,,
barils,verres cassés,Verrerie,Imports,Rouen,Nord,,,
barils,verroterie,Verrerie,Exports,Rennes,États-Unis d'Amérique,,,
barils,verroterie,Verrerie,Imports,Rennes,Hollande,,,
barils,vin de liqueurs,Vin de liqueurs,Exports,Bayonne,Amériques,,,
barils,vin de liqueurs,Vin de liqueurs,Imports,Bayonne,Portugal,,,
barils,vin de liqueurs,Vin de liqueurs,Imports,,Espagne,,,
barils,vin de Bordeaux,Vins de Bordeaux,Exports,Caen,Angleterre,,,
barils,vin de Bordeaux,Vins de Bordeaux,Exports,Caen,Nord,,,
barils,vin d'Aubagne,Vins divers,Exports,Rennes,Amériques,,,
barils,vin d'Espagne de Malvoisie,Vins divers,Exports,Rennes,Asie,,,
barils,vin d'Espagne,Vins divers,Exports,,Asie,,,
barils,vin d'Espagne,Vins divers,Exports,Bayonne,Amériques,,,
barils,vin d'Espagne,Vins divers,Exports,Bayonne,Nord,,,
barils,vin d'Espagne,Vins divers,Exports,,Espagne,,,
barils,vin d'Espagne,Vins divers,Exports,La Rochelle,Amériques,,,
barils,vin d'Espagne,Vins divers,Exports,Nantes,Asie,,,
barils,vin d'Espagne,Vins divers,Exports,,Nord,,,
barils,vin d'Espagne,Vins divers,Exports,Rennes,Amériques,,,
barils,vin d'Espagne,Vins divers,Exports,Rennes,Asie,,,
barils,vin d'Espagne,Vins divers,Imports,Bayonne,Espagne,,,
barils,vin d'Espagne,Vins divers,Imports,La Rochelle,Espagne,,,
barils,vin d'Espagne,Vins divers,Imports,Marseille,Espagne,,,
barils,vin d'Espagne,Vins divers,Imports,Nantes,Espagne,,,
barils,vin d'Espagne,Vins divers,Imports,Rennes,Espagne,,,
barils,vin de Cauret,Vins divers,Imports,Rennes,Espagne,,,
barils,vin de Champagne,Vins divers,Exports,Caen,Angleterre,,,
barils,vin de France,Vins divers,Exports,Bayonne,Amériques,,,
barils,vin de Frontignan,Vins divers,Exports,Bordeaux,Amériques,,,
barils,vin de Frontignan,Vins divers,Exports,Rouen,Amériques,,,
barils,vin de Lyon,Vins divers,Exports,Lyon,Suisse,,,
barils,vin de Madère,Vins divers,Exports,Rennes,Asie,,,
barils,vin de Malaga,Vins divers,Exports,Nantes,Espagne,,,
barils,vin de Malaga,Vins divers,Exports,Rennes,Nord,,,
barils,vin de Malaga,Vins divers,Imports,Bayonne,Espagne,,,
barils,vin de Malaga,Vins divers,Imports,Bordeaux,Espagne,,,
barils,vin de Malaga,Vins divers,Imports,,Espagne,,,
barils,vin de Malaga,Vins divers,Imports,Marseille,Angleterre,,,
barils,vin de Malaga,Vins divers,Imports,Marseille,Espagne,,,
barils,vin de Malaga,Vins divers,Imports,Marseille,Italie,,,
barils,vin de Malaga,Vins divers,Imports,Rennes,Espagne,,,
barils,vin de Malvoisie,Vins divers,Exports,,Asie,,,
barils,vin de Malvoisie,Vins divers,Exports,Nantes,Afrique,,,
barils,vin de muscat,Vins divers,Exports,Lyon,Suisse,,,
barils,vin de muscat,Vins divers,Exports,Marseille,Italie,,,
barils,vin de muscat,Vins divers,Exports,Marseille,Suisse,,,
barils,vin de muscat,Vins divers,Imports,Marseille,Italie,,,
barils,vin de Navarre,Vins divers,Exports,La Rochelle,Amériques,,,
barils,vin de Pacaret,Vins divers,Imports,Rennes,Espagne,,,
barils,vin de Paiaret,Vins divers,Imports,Rennes,Espagne,,,
barils,vin de Portugal,Vins divers,Imports,,Portugal,,,
barils,vin de Prague,Vins divers,Exports,La Rochelle,Amériques,,,
barils,vin de Reims,Vins divers,Exports,,Angleterre,,,
barils,vin de Reims,Vins divers,Exports,,Flandre et autres états de l'Empereur,,,
barils,vin de Rota,Vins divers,Imports,Rennes,Espagne,,,
barils,vin de Tinto,Vins divers,Imports,Rennes,Espagne,,,
barils,vin de Xérès,Vins divers,Imports,Nantes,Espagne,,,
barils,vin de Xérès,Vins divers,Imports,Rennes,Espagne,,,
barils,vin des Canaries,Vins divers,Imports,Bayonne,Portugal,,,
barils,vin du Cap,Vins divers,Imports,,Asie,,,
barils,vin du Quercy,Vins divers,Exports,Nantes,Amériques,,,
barils,vin du Rhin,Vins divers,Imports,Bordeaux,Nord,,,
barils,vin du Rhin,Vins divers,Imports,La Rochelle,Hollande,,,
barils,vin du Rhin,Vins divers,Imports,La Rochelle,Nord,,,
barils,vin du Rhin,Vins divers,Imports,Rouen,Nord,,,
barils,vin étranger,Vins divers,Exports,Rennes,Asie,,,
barils,vin rouge,Vins divers,Imports,Lyon,Italie,,,
barils,vin rouge,Vins divers,Imports,Marseille,Italie,,,
barils,vin,Vins divers,Exports,Marseille,Italie,,,
barils,vin,Vins divers,Imports,Bayonne,Espagne,,,
barils,vin,Vins divers,Imports,Bayonne,Portugal,,,
barils,vin,Vins divers,Imports,Marseille,Italie,,,
barils,vin,Vins divers,Imports,Rennes,Asie,,,
barils,vin,Vins divers,Imports,Rennes,Espagne,,,
barils,vin,Vins divers,Imports,Rennes,Hollande,,,
barraux,vin du Languedoc,Vins divers,Exports,Montpellier,Espagne,,,
barriques en bottes,douelles vieilles,"Ouvrages de bois, liège et jonc",Exports,Nantes,Amériques,,,
barriques en bouteille,vin de Bourgogne,Vins divers,Exports,Bayonne,Espagne,,,
barriques en bouteille,vin de Champagne,Vins divers,Exports,Rouen,Portugal,,,
barriques en bouteille,vin du Rhin,Vins divers,Imports,Nantes,Hollande,,,
barriques grosses,eau-de-vie,Eaux-de-vie et liqueurs,Exports,La Rochelle,Flandre et autres états de l'Empereur,,,
barriques nantaises,charbon de terre,Combustibles dont charbons et bois,Imports,Nantes,Angleterre,,,
barriquets,charbon de terre,Combustibles dont charbons et bois,Imports,Nantes,Flandre et autres états de l'Empereur,,,
basin double,fer-blanc,Fer-blanc,Imports,La Rochelle,Hollande,,,
basses,cordage gros,Cordage et filets,Imports,Bordeaux,Hollande,,,
bassines,ouvrages de cuivre,Ouvrages métalliques,Imports,Rennes,Hollande,,,
bassins,goudron,"Brai, goudron et résines",Imports,La Rochelle,Hollande,,,
bassins,bassin de cuivre,Ouvrages métalliques,Exports,Nantes,Afrique,,,
bassins,ouvrages de cuivre,Ouvrages métalliques,Exports,Rennes,Afrique,,,
bateaux,pois,Légumes,Exports,Amiens,Espagne,,,
bateaux,marne,Matières premières diverses,Exports,Flandre,Flandre et autres états de l'Empereur,,,
bateaux,pierres à bâtir,Matières premières diverses,Exports,Flandre,Flandre et autres états de l'Empereur,,,
bateaux,pierres à chaux,Matières premières diverses,Exports,,Flandre et autres états de l'Empereur,,,
bateaux,pierres à chaux,Matières premières diverses,Exports,Flandre,Flandre et autres états de l'Empereur,,,
bateaux,pierres à paver,Matières premières diverses,Exports,,Flandre et autres états de l'Empereur,,,
bateaux,pierres à paver,Matières premières diverses,Exports,Flandre,Flandre et autres états de l'Empereur,,,
bateaux,pierres à paver,Matières premières diverses,Exports,Valenciennes,Flandre et autres états de l'Empereur,,,
bateaux,pierres blanches à bâtir,Matières premières diverses,Exports,Flandre,Flandre et autres états de l'Empereur,,,
bateaux,pierres de grés à paver,Matières premières diverses,Exports,Flandre,Flandre et autres états de l'Empereur,,,
bateaux,pierres en ???,Matières premières diverses,Exports,Flandre,Flandre et autres états de l'Empereur,,,
bateaux,poussière de terre,Matières premières diverses,Exports,Valenciennes,Flandre et autres états de l'Empereur,,,
bateaux,toile d'emballage,Toiles diverses,Imports,,Hollande,,,
bazin,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Bordeaux,Amériques,,,
bazin,verres communs,Verrerie,Exports,Bordeaux,Amériques,,,
bazique,vin de Chypre,Vins divers,Exports,Nantes,Hollande,,,
bertilles,olives,Fruits frais,Imports,Rennes,Espagne,,,
bines,bois d'acajou,Bois divers hors combustible,Imports,La Rochelle,Amériques,,,
birges,eau-de-vie,Eaux-de-vie et liqueurs,Exports,Montpellier,Italie,,,
boisseaux,grains seigle,Blé et autres grains comestibles,Exports,Bordeaux,Hollande,,,
boisseaux,grains seigle,Blé et autres grains comestibles,Imports,Bordeaux,Nord,,,
boite,marmelade,Subsistances diverses et mélangées,Imports,Rennes,Portugal,,,
bolliches,olives,Fruits frais,Imports,Rennes,Espagne,,,
botiches,olives,Fruits frais,Imports,Nantes,Espagne,,,
botiches,olives,Fruits frais,Imports,Rennes,Espagne,,,
boucaux,bière,"Bière, cidre et vinaigre",Exports,Rennes,Asie,,,
boucaux,céruse,Céruse et blanc de plomb,Exports,,Asie,,,
boucaux,céruse,Céruse et blanc de plomb,Exports,Rennes,Asie,,,
boucaux,jambon,Chairs et œufs,Exports,Rennes,Asie,,,
boucaux,charbon de terre,Combustibles dont charbons et bois,Exports,Rouen,Amériques,,,
boucaux,marchandises sèches,Divers mélangés,Imports,Saint-Domingue,[vide],,,
boucaux,drogues,Drogues diverses,Exports,,Asie,,,
boucaux,drogues,Drogues diverses,Exports,Rennes,Asie,,,
boucaux,drogues,Drogues diverses,Imports,Rennes,Hollande,,,
boucaux,poudre à poudrer,Drogues diverses,Exports,Rennes,Asie,,,
boucaux,biscuit de mer,"Farine, gruau, biscuits et pâtes",Exports,Rennes,États-Unis d'Amérique,,,
boucaux,biscuit,"Farine, gruau, biscuits et pâtes",Imports,Rennes,Angleterre,,,
boucaux,gruau,"Farine, gruau, biscuits et pâtes",Exports,La Rochelle,Amériques,,,
boucaux,gruau,"Farine, gruau, biscuits et pâtes",Exports,Nantes,Amériques,,,
boucaux,fil de coton,Fils divers,Imports,Rennes,Hollande,,,
boucaux,fil de Rennes,Fils divers,Exports,Rennes,Asie,,,
boucaux,fromage,Fromage,Exports,Rennes,Asie,,,
boucaux,fruits,Fruits frais,Exports,Rouen,Amériques,,,
boucaux,pruneaux,Fruits secs et noix,Imports,Rennes,Espagne,,,
boucaux,linge vieux,Habits et lingerie,Exports,Nantes,Amériques,,,
boucaux,horloge de mer,Horlogerie,Exports,Rouen,Amériques,,,
boucaux,huile d'olive,Huile d'olive à manger,Exports,Rennes,Asie,,,
boucaux,creusets,Ouvrages divers et mélangés,Imports,Rennes,Angleterre,,,
boucaux,chaudron de cuivre,Ouvrages métalliques,Imports,Rennes,Hollande,,,
boucaux,harengs saurs,Poissons et fruits de mer,Imports,Rennes,Hollande,,,
boucaux,faïence,"Porcelaine, poterie, faïence et ouvrages de terre",Exports,Rennes,Asie,,,
boucaux,faïence,"Porcelaine, poterie, faïence et ouvrages de terre",Exports,Rouen,Amériques,,,
boucaux,sayessa,Produits inconnus,Exports,Rennes,Asie,,,
boucaux,feuilles de tabac,Tabac,Imports,,Amériques,,,
boucaux,feuilles de tabac,Tabac,Imports,,Angleterre,,,
boucaux,feuilles de tabac,Tabac,Imports,,Asie,,,
boucaux,feuilles de tabac,Tabac,Imports,Bordeaux,Amériques,,,
boucaux,feuilles de tabac,Tabac,Imports,Rennes,Angleterre,,,
boucaux,feuilles de tabac,Tabac,Imports,Rennes,États-Unis d'Amérique,,,
boucaux,feuilles de tabac,Tabac,Imports,Rouen,Angleterre,,,
boucaux,tabac avarié,Tabac,Exports,Rennes,Hollande,,,
boucaux,tabac avarié,Tabac,Imports,Rennes,Angleterre,,,
boucaux,tabac de Virginie en feuilles,Tabac,Imports,Rennes,Angleterre,,,
boucaux,tabac,Tabac,Imports,La Rochelle,Amériques,,,
boucaux,tabac,Tabac,Imports,Rennes,Angleterre,,,
boucaux,verrerie en boucaut,Verrerie,Exports,Rouen,Amériques,,,
boucaux,verres à boire,Verrerie,Exports,Rennes,Asie,,,
boucaux,verres à boire,Verrerie,Exports,Rouen,Amériques,,,
boules,bois de chêne,Bois divers hors combustible,Imports,La Rochelle,Hollande,,,
boules,chanvre,Chanvre,Imports,La Rochelle,Nord,,,
boules,marbre à jouer,Marbre brut et ouvré,Imports,Nantes,Hollande,,,
boutades,bois pour tonneaux,Bois divers hors combustible,Imports,Marseille,Espagne,,,
boutades,bois pour tonneaux,Bois divers hors combustible,Imports,Marseille,Italie,,,
boutades,cercles de bois,"Ouvrages de bois, liège et jonc",Imports,Marseille,Italie,,,
boutades,douelles pour tonneaux,"Ouvrages de bois, liège et jonc",Exports,Marseille,Espagne,,,
boutades,douelles pour tonneaux,"Ouvrages de bois, liège et jonc",Exports,Marseille,Italie,,,
boutades,douelles pour tonneaux,"Ouvrages de bois, liège et jonc",Imports,Marseille,Italie,,,
boutades,douelles,"Ouvrages de bois, liège et jonc",Imports,Marseille,Italie,,,
boutades,douves à tonneaux,"Ouvrages de bois, liège et jonc",Imports,Marseille,Italie,,,
boutades,douves à tonneaux,"Ouvrages de bois, liège et jonc",Imports,Montpellier,Italie,,,
boutades,merrains,"Ouvrages de bois, liège et jonc",Imports,Marseille,Italie,,,
bout,ratafia,Eaux-de-vie et liqueurs,Exports,La Rochelle,Amériques,,,
bouteilles et muids et pintes,liqueurs et sirop,Boissons diverses et mélangées,Exports,,Afrique,,,
bouteilles et muids et pintes,liqueurs et sirop,Boissons diverses et mélangées,Exports,,Amériques,,,
bouteilles et muids et pintes,vin et autres boissons bière,Boissons diverses et mélangées,Exports,,Afrique,,,
bouteilles et muids et pintes,vin et autres boissons bière,Boissons diverses et mélangées,Exports,,Amériques,,,
bouteilles et muids et pintes,vin et autres boissons vin de liqueurs de différente espèce,Boissons diverses et mélangées,Exports,,Afrique,,,
bouteilles et muids et pintes,vin et autres boissons vin de liqueurs de différente espèce,Boissons diverses et mélangées,Exports,,Amériques,,,
bouteilles et muids et pintes,vin et autres boissons vin divers de Bordeaux,Boissons diverses et mélangées,Exports,,Afrique,,,
bouteilles et muids et pintes,vin et autres boissons vin divers de Bordeaux,Boissons diverses et mélangées,Exports,,Amériques,,,
bouteilles et muids et pintes,vin et autres boissons vin divers,Boissons diverses et mélangées,Exports,,Amériques,,,
bouteilles et muids et pintes,eau-de-vie d'Hendaye,Eaux-de-vie et liqueurs,Exports,,Afrique,,,
bouteilles et muids et pintes,eau-de-vie d'Hendaye,Eaux-de-vie et liqueurs,Exports,,Amériques,,,
bouteilles et muids et pintes,eau-de-vie simple,Eaux-de-vie et liqueurs,Exports,,Amériques,,,
bouteilles et muids et pintes,vin de Bourgogne,Vins divers,Exports,,Allemagne,,,
bouteilles et muids et pintes,vin de Champagne,Vins divers,Exports,,Allemagne,,,
bouteilles ou le livres,verres à boire,Verrerie,Imports,La Rochelle,Nord,,,
bouteilles,bière d'Angleterre,"Bière, cidre et vinaigre",Imports,Marseille,Hollande,,,
bouteilles,bière en bouteille,"Bière, cidre et vinaigre",Exports,,Asie,,,
bouteilles,bière en bouteille,"Bière, cidre et vinaigre",Exports,,Outre-mers,,,
bouteilles,bière en bouteille,"Bière, cidre et vinaigre",Imports,,Divers,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,,Afrique,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,,Amériques,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,,Asie,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Bayonne,Amériques,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Bayonne,Espagne,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Bordeaux,Afrique,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Bordeaux,Amériques,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Bordeaux,Espagne,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,France,Amériques,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Marseille,Amériques,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Nantes,Afrique,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Nantes,Amériques,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Rennes,Amériques,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Rennes,Asie,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Rouen,Amériques,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Rouen,France,,,
bouteilles,bière,"Bière, cidre et vinaigre",Exports,Saint-Malo,Amériques,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Amiens,Angleterre,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,,Angleterre,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Bayonne,Hollande,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Bordeaux,Angleterre,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Châlons,Allemagne,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,,Flandre et autres états de l'Empereur,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Flandre,Angleterre,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,La Rochelle,Angleterre,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Marseille,Hollande,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Marseille,Italie,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Nantes,Angleterre,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Nantes,Hollande,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Rennes,Angleterre,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Rennes,Flandre et autres états de l'Empereur,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Rouen,Angleterre,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Toulon,France,,,
bouteilles,bière,"Bière, cidre et vinaigre",Imports,Toulon,Italie,,,
bouteilles,cidre,"Bière, cidre et vinaigre",Exports,,Asie,,,
bouteilles,cidre,"Bière, cidre et vinaigre",Exports,La Rochelle,Amériques,,,
bouteilles,cidre,"Bière, cidre et vinaigre",Exports,Nantes,Amériques,,,
bouteilles,cidre,"Bière, cidre et vinaigre",Exports,Nantes,Espagne,,,
bouteilles,cidre,"Bière, cidre et vinaigre",Exports,Rennes,Amériques,,,
bouteilles,cidre,"Bière, cidre et vinaigre",Exports,Rennes,Hollande,,,
bouteilles,cidre,"Bière, cidre et vinaigre",Exports,Rouen,Allemagne,,,
bouteilles,cidre,"Bière, cidre et vinaigre",Exports,Rouen,Espagne,,,
bouteilles,cidre,"Bière, cidre et vinaigre",Exports,Rouen,Nord,,,
bouteilles,cidre,"Bière, cidre et vinaigre",Imports,Rouen,Angleterre,,,
bouteilles,cidre,"Bière, cidre et vinaigre",Imports,Rouen,Portugal,,,
bouteilles,vinaigre de composition,"Bière, cidre et vinaigre",Exports,Nantes,Asie,,,
bouteilles,vinaigre de vin,"Bière, cidre et vinaigre",Exports,Rouen,Hollande,,,
bouteilles,vinaigre,"Bière, cidre et vinaigre",Exports,,Angleterre,,,
bouteilles,vinaigre,"Bière, cidre et vinaigre",Exports,Nantes,Amériques,,,
bouteilles,vinaigre,"Bière, cidre et vinaigre",Exports,Rennes,États-Unis d'Amérique,,,
bouteilles,vinaigre,"Bière, cidre et vinaigre",Exports,Rouen,Nord,,,
bouteilles,vinaigre,"Bière, cidre et vinaigre",Exports,Saint-Quentin,Flandre et autres états de l'Empereur,,,
bouteilles,vinaigre,"Bière, cidre et vinaigre",Imports,Marseille,Italie,,,
bouteilles,hydromel,Boissons diverses et mélangées,Imports,Châlons,Allemagne,,,
bouteilles,liqueurs et sirop fin,Boissons diverses et mélangées,Imports,,Outre-mers,,,
bouteilles,brai gras et goudron,"Brai, goudron et résines",Exports,Rouen,Afrique,,,
bouteilles,brai gras et goudron,"Brai, goudron et résines",Exports,Rouen,Amériques,,,
bouteilles,eau de Bristol des prises,Drogues diverses,Exports,Rennes,Hollande,,,
bouteilles,eau de Bristol,Drogues diverses,Exports,Rennes,Hollande,,,
bouteilles,eau de Bristol,Drogues diverses,Imports,Rouen,Angleterre,,,
bouteilles,eau de fleurs d'oranger,Drogues diverses,Exports,Marseille,Hollande,,,
bouteilles,eau de fleurs d'oranger,Drogues diverses,Imports,Marseille,Italie,,,
bouteilles,eau de fleurs d'oranger,Drogues diverses,Imports,Rouen,Amériques,,,
bouteilles,eau de fleurs d'oranger,Drogues diverses,Imports,Saint-Malo,France,,,
bouteilles,eau de fleurs de myrte,Drogues diverses,Imports,Rennes,Portugal,,,
bouteilles,eau de la Côte,Drogues diverses,Exports,Nantes,Amériques,,,
bouteilles,eau de miel,Drogues diverses,Imports,Rouen,Angleterre,,,
bouteilles,eau de Philippine,Drogues diverses,Imports,La Rochelle,Amériques,,,
bouteilles,eau de rose,Drogues diverses,Exports,Nantes,Amériques,,,
bouteilles,eau-forte,Drogues diverses,Exports,Saint-Quentin,Flandre et autres états de l'Empereur,,,
bouteilles,élixir,Drogues diverses,Exports,Nantes,Amériques,,,
bouteilles,élixir,Drogues diverses,Imports,Rouen,Angleterre,,,
bouteilles,essence,Drogues diverses,Exports,Nantes,Nord,,,
bouteilles,extrait d'absinthe,Drogues diverses,Imports,Besançon,Suisse,,,
bouteilles,baume de Copahu,Drogues médicinales diverses,Exports,Nantes,Amériques,,,
bouteilles,baume de Sucre,Drogues médicinales diverses,Imports,La Rochelle,Amériques,,,
bouteilles,baume de vie,Drogues médicinales diverses,Exports,Nantes,Amériques,,,
bouteilles,baume de vie,Drogues médicinales diverses,Exports,Rouen,Amériques,,,
bouteilles,baume,Drogues médicinales diverses,Exports,Nantes,Amériques,,,
bouteilles,baume,Drogues médicinales diverses,Exports,Rouen,Angleterre,,,
bouteilles,eau cordiale,Drogues médicinales diverses,Imports,Lyon,Suisse,,,
bouteilles,eau d'arquebusade,Drogues médicinales diverses,Imports,Besançon,Suisse,,,
bouteilles,eau de Bussang,Drogues médicinales diverses,Imports,Langres,Allemagne,,,
bouteilles,eau de Bussingue,Drogues médicinales diverses,Imports,,Allemagne,,,
bouteilles,eau de lavande,Drogues médicinales diverses,Exports,Nantes,Afrique,,,
bouteilles,eau de lavande,Drogues médicinales diverses,Exports,Nantes,Amériques,,,
bouteilles,eau de lavande,Drogues médicinales diverses,Exports,Nantes,Nord,,,
bouteilles,eau de lavande,Drogues médicinales diverses,Exports,Saint-Malo,Afrique,,,
bouteilles,eau de mélisse,Drogues médicinales diverses,Exports,Bordeaux,Amériques,,,
bouteilles,eau de mélisse,Drogues médicinales diverses,Exports,Marseille,Italie,,,
bouteilles,eau de Spa,Drogues médicinales diverses,Exports,Nantes,Amériques,,,
bouteilles,eau de Spa,Drogues médicinales diverses,Imports,,Flandre et autres états de l'Empereur,,,
bouteilles,eau de Spa,Drogues médicinales diverses,Imports,La Rochelle,Hollande,,,
bouteilles,eau de Spa,Drogues médicinales diverses,Imports,Nantes,Hollande,,,
bouteilles,eau de Spa,Drogues médicinales diverses,Imports,Saint-Malo,Hollande,,,
bouteilles,eau médicinale de Chypre,Drogues médicinales diverses,Exports,Flandre,Flandre et autres états de l'Empereur,,,
bouteilles,eau médicinale,Drogues médicinales diverses,Exports,Nantes,Amériques,,,
bouteilles,eau médicinale,Drogues médicinales diverses,Exports,Saint-Quentin,Flandre et autres états de l'Empereur,,,
bouteilles,eau minérale de Bristol,Drogues médicinales diverses,Imports,Rouen,Angleterre,,,
bouteilles,eau minérale,Drogues médicinales diverses,Exports,Langres,Allemagne,,,
bouteilles,eau minérale,Drogues médicinales diverses,Exports,Nantes,Espagne,,,
bouteilles,eau minérale,Drogues médicinales diverses,Imports,Châlons,Allemagne,,,
bouteilles,eau minérale,Drogues médicinales diverses,Imports,Châlons,Flandre et autres états de l'Empereur,,,
bouteilles,eau minérale,Drogues médicinales diverses,Imports,Nantes,Allemagne,,,
bouteilles,eau vulnéraire,Drogues médicinales diverses,Exports,Nantes,Afrique,,,
bouteilles,eau vulnéraire,Drogues médicinales diverses,Exports,Nantes,Amériques,,,
bouteilles,esprit de coclearia,Drogues médicinales diverses,Exports,Nantes,Afrique,,,
bouteilles,esprit de coclearia,Drogues médicinales diverses,Exports,Nantes,Amériques,,,
bouteilles,huile de copahu,Drogues médicinales diverses,Imports,Rouen,Amériques,,,
bouteilles,sirop de capillaire,Drogues médicinales diverses,Exports,Bordeaux,Amériques,,,
bouteilles,sirop de capillaire,Drogues médicinales diverses,Exports,Marseille,Espagne,,,
bouteilles,sirop de capillaire,Drogues médicinales diverses,Exports,Marseille,Italie,,,
bouteilles,sirop de capillaire,Drogues médicinales diverses,Exports,Nantes,Amériques,,,
bouteilles,sirop de capillaire,Drogues médicinales diverses,Exports,Nantes,Angleterre,,,
bouteilles,sirop de capillaire,Drogues médicinales diverses,Exports,Nantes,Espagne,,,
bouteilles,sirop de capillaire,Drogues médicinales diverses,Imports,Bordeaux,Amériques,,,
