numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,Quantité,Unité de poids/quantité,Prix unitaire en  Lt (décimale),Valeur en décimales de livres tournois,Différence,Remarques,Droits totaux indiqués,Droits unitaires,remarks pour les droits
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Jets de voile,Guinée,,valeurs,"0,0000000","2300,00","2 300,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Indienne,Guinée,"489,00",Pieces,"28,0000000","3912,00","-9 780,00",erreur de calcul,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Lard,Guinée,"2 700,00",Livres,"0,2500000","675,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Limeneas,Guinée,"86,00",Pieces,"30,0000000","2580,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Masulipatan,Guinée,"45,00",Pieces,"30,0000000","1350,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Neganepeau,Guinée,"110,00",Pieces,"32,0000000","3520,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Pipes a fumer,Guinée,"770,00",grosses,"2,0000000","1540,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Sel,Guinée,"60,00",Pieces,"6,0000000","360,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Tapsel,Guinée,"124,00",Pieces,"25,0000000","3100,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Toile Platille,Guinée,"227,00",Pieces,"5,0000000","1135,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Toile a voile,Guinée,"5 250,00",Aunes,"1,2000000","6300,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Vin de ville,Guinée,"50,00",Tonneaux,"150,0000000","7500,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Baracan,Hollande,"15,00",Aunes,"4,0000000","60,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Bas de soye d'homme,Hollande,"42,00",Paires,"15,0000000","630,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Bouchons de Liege,Hollande,"100,00",milliers,"5,0000000","500,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Caffé des Isles,Hollande,"1 757 795,00",Livres,"0,9000000","1582015,50","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Chataignes,Hollande,"1 344,00",boisseaux,"5,0000000","6720,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Confitures,Hollande,"3 102,00",Livres,"0,7500000","2326,50","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Cotonine,Hollande,"315,00",Aunes,"2,2500000","708,75","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Cuirs en poil,Hollande,"700,00",Pieces,"3,0000000","2100,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Cuirs tanné,Hollande,"215,00",Pieces,"0,0000000","860,00","860,00",valeur estimé et  prix manquant,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Cuirs tanné,Hollande,"5 635,00",Livres,"0,4000000","2254,00","0,00",valeurs estimé,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Eau de vie,Hollande,"73,00",Bariques,"80,0000000","5840,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Fichur de soye,Hollande,"4,00",Douzaines,"24,0000000","96,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Fromage d'auvergne,Hollande,"185,00",Livres,"0,4000000","74,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Graines de genievre,Hollande,"450,00",boisseaux,"5,0000000","2250,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Indigo,Hollande,"98 699,00",Livres,"4,0000000","394796,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Liege,Hollande,"146,00",balles,"25,0000000","3650,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Miel,Hollande,"14,50",Tonneaux,"250,0000000","3625,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Papier blanc,Hollande,"20 200,00",rames,"2,5000000","50500,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Pruneaux,Hollande,"1 325,00",Bariques,"40,0000000","53000,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Siamoises,Hollande,"219,00",Aunes,"3,0000000","657,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Sirop,Hollande,"166 500,00",Livres,"0,1000000","16650,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Soyerie,Hollande,"18,00",Livres,"36,0000000","648,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Sucre blanc,Hollande,"8 806 375,00",Livres,"0,3000000","2641912,50","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Sucre brut,Hollande,"1 755 650,00",Livres,"0,2000000","351130,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Terebantine,Hollande,"39,00",Tonneaux,"400,0000000","15600,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Toile de brin,Hollande,"140,00",Aunes,"3,0000000","420,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Toile de pais,Hollande,"53,00",Aunes,"2,0000000","106,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Vin de Blaye,Hollande,"104,00",Tonneaux,,"14560,00",,,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Vin de Catillon,Hollande,"18,00",Tonneaux,"140,0000000","2520,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Vin de haut,Hollande,"7 818,00",Tonneaux,"200,0000000","1563600,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Vin de haut,Hollande,"4 683,50",Tonneaux,"150,0000000","702525,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Vin de ville,Hollande,"3 822,00",Tonneaux,"250,0000000","955500,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,4,Vin de ville,Hollande,"5 676,00",Tonneaux,"200,0000000","1135200,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Vinaigre,Hollande,"232,50",Tonneaux,"140,0000000","32550,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Cacao,Italie,"15 135,00",Livres,"0,4000000","6054,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Caffé des Isles,Italie,"17 698,00",Livres,"0,9000000","15928,00","-0,20",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Cuir  tanné,Italie,"3 200,00",Livres,"0,4000000","1280,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Indigo,Italie,"395 236,00",Livres,"4,0000000","1580944,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Rocou,Italie,"2 303,00",Livres,"0,6000000","1381,80","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Sucre blanc,Italie,"244 600,00",Livres,"0,3500000","85610,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Toile de Moilaix,Italie,"4 704,00",Aunes,"1,4000000","6585,60","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Cacao,Nord,"920,00",Livres,"0,4000000","368,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Caffé des Isles,Nord,"2 655 882,00",Livres,"0,9000000","2390293,80","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Camelot de poil,Nord,"60,00",Aunes,"9,0000000","540,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Confitures,Nord,"6 645,00",Livres,"0,7500000","4983,75","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Coton en laine,Nord,"2 342,00",Livres,"1,5000000","3513,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Cotonine,Nord,"110,00",Aunes,"2,2500000","242,50","-5,00",erreur de calcul,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Eau de vie,Nord,"1 410,00",Bariques,"80,0000000","112800,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Etoffe au quart  de soye,Nord,"20,00",Aunes,"4,0000000","80,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Gingembre sec,Nord,"20 622,00",Livres,"0,3500000","7217,70","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Indigo,Nord,"322 132,00",Livres,"4,0000000","1288528,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Pruneaux,Nord,"1 690,00",Bariques,"0,0000000","84,50","84,50",Manque prix et valeurs,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Pruneaux,Nord,"12 000,00",Livres,"0,0500000","600,00","0,00",Prix estimées,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Rocou,Nord,"7 213,00",Livres,"0,5000000","3606,50","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Sucre blanc,Nord,"16 727 100,00",Livres,"0,3000000","5018130,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Sucre brut,Nord,"1 369 125,00",Livres,"0,2000000","273825,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Sucre rafiné en pain,Nord,"753,00",Livres,"15,0000000","2823,00","-8 472,00",erreur de calcul,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Tapisserie d'aubusson,Nord,"13,00",Teinture,"600,0000000","7800,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Vin de Blaye,Nord,"64,00",Tonneaux,"150,0000000","9600,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Vin de Catillon,Nord,"27,00",Tonneaux,"140,0000000","3780,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Vin de haut,Nord,"267,25",Tonneaux,"200,0000000","53450,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Vin de haut,Nord,"1 819,50",Tonneaux,"150,0000000","273759,00","834,00",erreur de calcul,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Vin de ville,Nord,"1 937,50",Tonneaux,"250,0000000","484375,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Vin de ville,Nord,"12 405,00",Tonneaux,"200,0000000","2481000,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Vinaigre,Nord,"218,50",Tonneaux,"150,0000000","34275,00","1 500,00",erreur de calcul,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Caffé des Isles,Russie,"30 273,00",Livres,"0,9000000","27245,70","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Eau de vie,Russie,"145,00",Bariques,"80,0000000","11600,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Indigo,Russie,"14 289,00",Livres,"4,0000000","57156,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Pruneaux,Russie,"405,00",Bariques,"40,0000000","16200,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,5,Vin de haut,Russie,"270,50",Tonneaux,"150,0000000","40575,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,vin de ville,Russie,"88,00",Tonneaux,"250,0000000","22000,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,vin de ville,Russie,"930,50",Tonneaux,"200,0000000","186100,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Vinaigre,Russie,"29,00",Tonneaux,"150,0000000","4350,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Sucre blanc,Savoye,"3 180,00",Livres,"0,3500000","1113,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Sucfre en pain rafiné,Savoye,"87 323,00",Livres,"0,8000000","69853,00","-5,40",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Anchois,Suede,"16,00",barils,"4,0000000","64,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Caffé des Isles,Suede,"18 739,00",Livres,"0,9000000","16865,10","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Capres,Suede,"225,00",Livres,"2,0000000","450,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Eau de vie,Suede,"244,00",Barriques,"80,0000000","19520,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Graine de genevie,Suede,"2 500,00",Livres,"0,0500000","125,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Huile d'olive,Suede,"400,00",Livres,"0,6000000","240,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Indigo,Suede,"26 749,00",Livres,"4,0000000","106996,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Pruneaux,Suede,"580,00",Barriques,"35,0000000","20300,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Rocou,Suede,"2 655,00",Livres,"0,5000000","1327,50","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Sucre blanc,Suede,"579 600,00",Livres,"0,3000000","173880,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Sucre brut,Suede,"105 600,00",Livres,"0,2000000","21120,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Sucre brut,Suede,"18,75",Tonneaux,"200,0000000","3750,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Sucre brut,Suede,"124,50",Tonneaux,"150,0000000","18675,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Vin de ville,Suede,"421,00",Tonneaux,"250,0000000","105250,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Vin de ville,Suede,"1 510,25",Tonneaux,"200,0000000","1302050,00","1 000 000,00",erreur de calcul,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Vinaigre,Suede,"35,75",Tonneaux,"150,0000000","5362,50","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Caffé des Isles,Suisse,"14 718,00",Livres,"0,9000000","13246,20","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Indigo,Suisse,"8 590,00",Livres,"4,0000000","34360,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Sucre blanc,Suisse,"24 000,00",Livres,"0,3500000","8400,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Sucre blanc rafine,Suisse,"249 623,00",Livres,"0,8000000","199698,40","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Acier,Isles de francoises de l'amerique,"2 050,00",Livres,"0,4000000","820,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Amandes,Isles de francoises de l'amerique,"9 800,00",Livres,"0,2500000","2450,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Argenterie,Isles de francoises de l'amerique,"31,00",marcs,"57,0000000","0,00","-1 767,00",Manque valeurs,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Argenterie,Isles de francoises de l'amerique,,valeurs,"0,0000000","10000,00","10 000,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Argent vif,Isles de francoises de l'amerique,"100,00",Livres,"5,0000000","500,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Bajutapeau,Isles de francoises de l'amerique,"200,00",Pieces,"30,0000000","6000,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Bas de cotob,Isles de francoises de l'amerique,"30,00",Douzaines,"60,0000000","1800,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Bas de fil,Isles de francoises de l'amerique,"281,00",Douzaines,"18,0000000","5058,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Bas de soye,Isles de francoises de l'amerique,"6 862,00",Paires,"10,0000000","68620,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Bassin de cuivre,Isles de francoises de l'amerique,"342,00",Livres,"2,0000000","684,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,6,Bazin des Indes,Isles de francoises de l'amerique,"10,00",Pieces,"40,0000000","400,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,7,Bazin de Troyes,Isles de francoises de l'amerique,"159,00",Pieces,"60,0000000","9540,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,7,Beuf salé,Isles de francoises de l'amerique,"3 391 856,00",Livres,"0,1000000","339185,60","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,7,Beurre,Isles de francoises de l'amerique,"401 500,00",Livres,"0,3500000","140525,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,7,Bierre,Isles de francoises de l'amerique,"31,25",Tonneaux,"60,0000000","1875,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,7,Bijouterie,Isles de francoises de l'amerique,,valeurs,"0,0000000","12200,00","12 200,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,7,Bonnets de coton,Isles de francoises de l'amerique,"240,00",Douzaines,"24,0000000","5760,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,7,Bouchons de Liege,Isles de francoises de l'amerique,"15,00",milliers,"4,0000000","60,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,7,Bougies de table,Isles de francoises de l'amerique,"10 900,00",Livres,"2,2500000","24525,00","0,00",,,,
,,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1749,Exports,Bordeaux,7,Bourdes à cheveux,Isles de francoises de l'amerique,,valeurs,"0,0000000","300,00","300,00",,,,
