numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportimport,direction,sheet,marchandises,pays,value,quantit,quantity_unit,,Remarques
2840,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Papier blanc,Suéde,0,"3 000,00",Livres,"0,7500000",
2841,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Pierres a fusils,Suéde,0,"30 250,00",En nombre,"0,0020000",
2842,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Pommes,Suéde,0,"4,00",Bariques,"5,0000000",
2843,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Prunes,Suéde,0,"1,00",Boîte,"4,0000000",
2844,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Prunes,Suéde,0,"120,00",Livres,"0,3000000",
2845,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Pruneaux,Suéde,0,"200,00",Livres,"0,1500000",
2846,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Ris,Suéde,0,"862,00",Livres,"0,2500000",
2847,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Savon,Suéde,0,"2,00",Caisses,"54,0000000",
2848,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Savon,Suéde,0,"96,00",Livres,"0,3500000",
2849,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Sel,Suéde,0,"918,00",Muids,"60,0000000",
2850,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Sirop melasse,Suéde,0,"1 580,00",Livres,"0,1000000",
2851,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Souliers,Suéde,0,"3,00",paires,"4,0000000",
2852,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Stockfiche,Suéde,0,"100,00",Livres,"0,3000000",
2853,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Sucre en pain,Suéde,0,"22,00",Livres,"0,7000000",
2854,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Sucre terré,Suéde,0,"3 400,00",Livres,"0,4000000",
2855,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Thé,Suéde,0,"12,00",Livres,"3,7500000",
2856,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Toile de Bretagne,Suéde,0,"50,00",Livres,"3,5000000",
2857,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Verres a vitres,Suéde,0,"2,00",Paniers,"28,0000000",
2858,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Verres a vitres,Suéde,0,"200,00",Carreaux,"0,2000000",
2859,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Vin d'amont,Suéde,0,"31,25",Tonneaux,"280,0000000",
2860,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Vin d'amont,Suéde,0,"72,00",Bouteilles,"0,7000000",
2861,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Vin de Bordeaux,Suéde,0,"2,25",Tonneaux,"400,0000000",
2862,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,10,Vin nantois,Suéde,0,"181,50",Tonneaux,"100,0000000",
2863,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Vinaigre,Suéde,0,"12,50",Tonneaux,"80,0000000",
2864,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Vinaigre,Suéde,0,"44,00",Quarts,"10,0000000",
2865,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Alegeas,Guinée,0,"3,00",Pièces,"12,0000000",
2866,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Alibanis,Guinée,0,"84,00",Pièces,"15,0000000",
2867,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Anabas ,Guinée,0,"1 295,00",Pièces,"15,0000000",
2868,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Ancres vuides,Guinée,0,"1 591,00",En nombre,"1,5000000",
2869,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Argenterie,Guinée,0,"9,00",Marcs,"57,0000000",
2870,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Armes a feu ; diverses,Guinée,0,"78 057,00",Livres,"3,0000000",
2871,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Armes a feu ; fusils,Guinée,0,"5 110,00",En nombre,"7,5000000",
2872,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Armes a feu ; pistolets,Guinée,0,"254,00",En nombre,"2,0000000",
2873,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Baffetas,Guinée,0,"16,00",Pièces ,"20,0000000",
2874,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Bayettes,Guinée,0,"12,00",Pieces,"20,0000000",
2875,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Bayettes,Guinée,0,"213,75",Aunes,"3,0000000",
2876,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Bajutapeaux,Guinée,0,"1 901,00",Pièces,"30,0000000",
2877,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Barils vuides,Guinée,0,"1 698,00",En nombre,"0,6000000",
2878,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Bas de fil,Guinée,0,"132,00",Paires,"1,5000000",
2879,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Bas de soye,Guinée,0,"18,00",Paires,"12,0000000",
2880,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Bayette bleu,Guinée,0,"58,00",Pièces,"80,0000000",
2881,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Bazin,Guinée,0,"3,00",Pièces,"30,0000000",
2882,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Bazin,Guinée,0,"3 801,00",Livres,"4,0000000",
2883,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Boeuf salé,Guinée,0,"10,00",Bariques,"60,0000000",
2884,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Boeuf salé,Guinée,0,"31,00",Tierçons,"45,0000000",
2885,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Boeuf salé,Guinée,0,"104,00",Barils,"36,0000000",
2886,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Boeuf salé,Guinée,0,"63 325,00",Livres,"0,2500000",
2887,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Beure ,Guinée,0,"4 955,00",Livres,"0,3500000",
2888,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Biere,Guinée,0,"4,00",Bariques,"20,0000000",
2889,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Biscuits de mer,Guinée,0,"6 000,00",Livres,"0,1500000",
2890,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Blanchette,Guinée,0,"48,00",Livres,"1,5000000",
2891,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Bled noir,Guinée,0,"2,00",Quarts,"3,0000000",
2892,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,11,Bois a bruler,Guinée,0,"17,00",Cordes,"15,0000000",
2893,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Bonnets de laine,Guinée,0,"656,00",En nombre,"1,5000000",
2894,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Bougie blanche,Guinée,0,"262,00",Livres,"2,4000000",
2895,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Bougie jaune,Guinée,0,"35,00",Livres,"1,7500000",
2896,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Boulange,Guinée,0,"182,00",Piècs,"20,0000000",
2897,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Bouteilles de verre,Guinée,0,"4 053,00",nombre,"0,1000000",
2898,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Bouteilles de verre clissées,Guinée,0,"200,00",nombre,"0,2500000",
2899,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Braule,Guinée,0,"48,00",Pièces,"32,0000000",
2900,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Brai-sec,Guinée,0,"3,00",barils,"20,0000000",
2901,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Briques,Guinée,0,"2 000,00",En nombre,"0,0150000",
2902,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Briquets,Guinée,0,"144,00",En nombre,"0,0833333",
2903,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Caffé des Isles ,Guinée,0,"269,00",Livres,"0,6500000",
2904,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Cadenats,Guinée,0,"576,00",En nombre,"0,2500000",
2905,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Cadenats,Guinée,0,"740,00",Livres,"1,0000000",
2906,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Calottes hollandoises,Guinée,0,"24,00",En nombre,"0,5000000",
2907,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Camelot de laine,Guinée,0,"92,00",Aunes,"3,0000000",
2908,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Canettes ; d'etain,Guinée,0,"50,00",En nombre,"0,6000000",
2909,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Canettes ; de grès,Guinée,0,"7 810,00",En nombre,"0,2000000",
2910,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Canettes ; de terre,Guinée,0,"3 400,00",En nombre,"0,1500000",
2911,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Canons de fer de 3 a 4 livre de balle,Guinée,0,"22,00",nombre,"150,0000000",
2912,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Caves ; de 12 flacons,Guinée,0,"120,00",nombre,"10,0000000",
2913,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Caves ; de 9 flacons,Guinée,0,"118,00",nombre,"8,0000000",
2914,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Caves ; de 6 flacons,Guinée,0,"2 311,00",nombre,"6,0000000",
2915,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Cauris,Guinée,0,"203 638,00",Livres,"0,7250000",
2916,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Cercles a tonneaux,Guinée,0,"4,00",Fournitures,"9,0000000",
2917,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Chandelle,Guinée,0,"390,00",Livres,"0,4000000",
2918,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Chapeaux bordés d'or faux,Guinée,0,"180,00",En nombre,"2,0000000",
2919,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Chapeaux castors,Guinée,0,"15,00",nombre,"17,0000000",
2920,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Chapeaux a negres,Guinée,0,"1 270,00",nombre,"1,0000000",
2921,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Chasselas,Guinée,0,"1 962,00",Pièces,"25,0000000",
2922,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Chaudieres de fonte,Guinée,0,"200,00",En nombre,"40,0000000",
2923,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Chaudieres a negres,Guinée,0,"3,00",En nombre,"400,0000000",
2924,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Chaussettes de fils,Guinée,0,"12,00",Paires,"1,5000000",
2925,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Chaux,Guinée,0,"1,00",Bariques,"2,5000000",
2926,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,12,Chemises de toile bleue,Guinée,0,"40,00",En nombre,"1,5000000",
2927,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Chemises garnies,Guinée,0,"96,00",En nombre,"6,0000000",
2928,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Chemises a negres,Guinée,0,"2 278,00",En nombre,"1,8000000",
2929,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Chilas,Guinée,0,"258,00",Pièces,"20,0000000",
2930,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cirsaca,Guinée,0,"4,00",Pièces,"36,0000000",
2931,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Clochettes,Guinée,0,"11,00",En nombre,"1,2000000",
2932,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Clous de fer,Guinée,0,"2 100,00",Livres,"0,3000000",
2933,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cochon salé,Guinée,0,"500,00",Livres,"0,2000000",
2934,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Confitures,Guinée,0,"70,00",Livres,"1,0000000",
2935,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Coquenard de cuivre,Guinée,0,"1,00",nombre,"9,0000000",
2936,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Corail ouvré,Guinée,0,"397,00",Livres,"160,0000000",
2937,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cordages de chanvre,Guinée,0,"28 476,00",Livres,"0,3000000",
2938,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cornes de bœuf,Guinée,0,"6 142,00",En nombre,"0,0500000",
2939,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Corottes,Guinée,0,"1 242,00",Pièces,"11,5000000",
2940,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cotonade,Guinée,0,"54,00",Aunes,"2,0000000",
2941,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cotonade a peu de soye,Guinée,0,"125,00",Aunes,"3,0000000",
2942,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Coupis,Guinée,0,"209,00",Pièces,"12,0000000",
2943,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Couplets de cuivre,Guinée,0,"306,00",Livres,"2,0000000",
2944,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Couteaux flamands,Guinée,0,"10 883,00",Douzaines,"1,5000000",
2945,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Coutils,Guinée,0,"40,00",Pièces,"40,0000000",
2946,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cuirs verds,Guinée,0,"1,00",nombre,"8,0000000",
2947,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cuisses d'oye,Guinée,0,"20,00",Livres,"0,5000000",
2948,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cuivre en bassin,Guinée,0,"419,00",Bassins,"1,5000000",
2949,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cuivre en bassin,Guinée,0,"17 898,00",Livres,"1,5000000",
2950,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cuivre en chaudron,Guinée,0,"2 764,00",Livres,"1,5000000",
2951,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cuivre en grelots,Guinée,0,"100,00",Paquets,"10,0000000",
2952,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cuivre en grelots,Guinée,0,"120,00",En nombre,"0,1000000",
2953,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cuivre en grelots,Guinée,0,"830,00",Livres,"1,4000000",
2954,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Cuivre ouvré,Guinée,0,"3 457,00",Livres,"1,9000000",
2955,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Culottes de cotonade,Guinée,0,"12,00",En nombre,"0,5000000",
2956,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Custas,Guinée,0,"102,00",Pièces,"27,0000000",
2957,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Dames jeannes,Guinée,0,"110,00",En nombre,"4,0000000",
2958,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Drap de Carcassonne,Guinée,0,"45,00",Aunes,"10,0000000",
2959,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Drap de Carcassonne,Guinée,0,"410,25",Livres,"5,0000000",
2960,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,13,Drap ecarlate,Guinée,0,"18,00",Aunes,"32,0000000",
2961,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Drap d'Elbeuf,Guinée,0,"51,00",Aunes,"14,0000000",
2962,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Draperie ,Guinée,0,"2 765,00",Livres,"10,0000000",
2963,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Eau de vie,Guinée,0,"61 219,75",Veltes ,"3,0000000",
2964,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Eau de vie,Guinée,0,"153,00",Pots,"0,7500000",
2965,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Elixir,Guinée,0,"38,00",Livres,"0,5000000",
2966,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Etamine de laine,Guinée,0,"877,00",Livres,"6,0000000",
2967,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Epées d'acier,Guinée,0,"4,00",En nombre,"9,0000000",
2968,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Epicerie,Guinée,0,"620,00",Livres,"2,0000000",
2969,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Epingolus,Guinée,0,"4,00",En nombre,"10,0000000",
2970,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Esprit de coclearia,Guinée,0,"16,00",Bouteilles,"0,5000000",
2971,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Etain ouvré,Guinée,0,"6 191,00",Livres,"1,0000000",
2972,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Etoffes de soye,Guinée,0,"284,00",Livres,"40,0000000",
2973,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Etoffe de soye et fil,Guinée,0,"65,00",Livres,"20,0000000",
2974,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Etoffes de Rouen,Guinée,0,"124,00",Pièces,"7,5000000",
2975,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Farine,Guinée,0,"175,00",Barils,"22,0000000",
2976,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Fayance,Guinée,0,"37,00",Douzaines,"3,5000000",
2977,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Fayance,Guinée,0,"122,00",Pots,"0,2000000",
2978,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Fer en ancres,Guinée,0,"950,00",En nombre,"0,3000000",
2979,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Fer en barres,Guinée,0,"283 925,00",Livres,"0,1500000",
2980,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Fer blanc,Guinée,0,"1,00",Barils,"120,0000000",
2981,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Fer blanc ouvré,Guinée,0,"25,00",Livres,"1,0000000",
2982,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Fer en marmittes,Guinée,0,"314,00",En nombre,"1,5000000",
2983,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Fer en marmittes,Guinée,0,"1 700,00",Livres,"0,1500000",
2984,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Fer a negres,Guinée,0,"1,00",Barils,"25,0000000",Baril de 50 (fers)
2985,Pascal Fontaine,AD 44 C716,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1763,Export,Nantes,14,Fer a negres,Guinée,0,"22,00",En nombre,"0,5000000",
