marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames
Cannes ; bambou	Cannes	8	8				
Cannes ; de bois	Cannes	8	8				
Cannes ; de bois montées et non montées	Cannes	8	8		6	6	
Cannes ; de jonc	Cannes	6	6				
Cannes ; de joncs	Cannes	6	6		6	6	
Cannes ; de joncs ou rozeaux	Cannes	6	6		6	6	
Cannes ; dit genettes	Cannes	6	6		6	6	
Cannes ; diverses	Cannes	8	8				
Cannes et bâtons vernis		8	8				cannes de bois vernies
Cannes ; à main	Cannes	8	8				
Cannes et bâtons vernis	Cannes	8	8	cannes de bois vernies	6	6	cannes de bois vernies
Cannettes ; d'étain	Cannettes	6	6				
Cannettes ; de grez	Cannettes	6	6				
Cannettes ; de grès	Cannettes	6	6				
Cannettes ; de terre	Cannettes	6	6				
Cannevas	Cannevas	6	6		6	6	
Cannevas à 15 sols l'aune	Cannevas à 15 sols l'aune	6	6		6	6	
Cannevettes	Cannevettes	6	6				
Cannevettes ; de grès	Cannevettes ; de grès	6	6				
Canon ; de fer		9	9				
Canon et balles ; de fer		9	9				
Canon et balles ; de fer	Canon et balles ; de fer	9	9				
Canonnières ; de cantil		9	9				
Canonnières ; de cantil	Canonnières ; de cantil	9	9				
Canons	Canons	9	9				
Canons ; de cuivre		9	9				
Canons ; de fer	Canons	9	9				
Canons ; de fonte	Canons	9	9				
Canons ; de fusil		9	9				
Canons ; de fusils	Canons	9	9				
Canons ; de métal		9	9				
Canons ; de métal	Canons	9	9		9	9	
Cantarides	Cantarides	5	5		5	5	
Cantharides ou mouches d'Espagne	Cantharides ou mouches d'Espagne	8	8		8	8	
Cantines		8	8				
Caoutchouc		2	2				
Caparassons	Caparassons	6	6				
Caparaçons		6	6				
Caparaçons de peaux	Caparaçons de peaux	6	6		6	6	
Capas	Capas	…	…				
Capeabas	Capeabas	…	…				
Capes ; de Bearn	Capes ; de Bearn	8	8				
Capes ; de camelot	Capes ; de camelot	8	8				
Capes ; de drap		8	8				
Capies	Capies	…	…				
Capilaire	Capilaire	…	…				
Capilaire ; en herbe	Capilaire ; en herbe	…	…				
Capiton	Capiton	2	2	Bourre de soie			
Capons	Capons	…	…				
Capots	Capots	8	8	Manteau à capuchon			
Capsliatte	Capsliatte	…	...				
Carabines à air comprimés	Armes	9	9				
Carabé	Carabé	2	2	C'est de l'ambre jaune réduit en poudre (Savary)			
Caractère d'imprimerie		8	8				
Caractères d'imprimerie	Caractères d'imprimerie	8	8				
Caramel	Caramel	0	0a				
Carcajou	Carcajou	…	…				
Carcasse ; à peu de soie		6	6				
Carcasses	Carcasses	…	…				
Cardamone	Cardamone	0	0b	Graines de cardamone, origine : Inde			
Cardes	Cardamone	0	0b				
Cardes ; de bois et fil de fer	Cardes	6	6				cardes à peigner drapet et laine
Cardes ; en fer	Cardes	6	6				
Cardes et cardons champêtres	Cardes	6	6				cardes champêtres la rondelle de 20 livres
Cardes ; neuves	Cardes	6	6				
Cardes ; à carder	Cardes	6	6				
Cardes ; à drapier	Cardes	6	6				
Cardes ; de bois et fil de fer	Cardes	6	6	cardes à peigner drapet et laine	6	6	cardes à peigner drapet et laine
Cardes et cardons champêtres	Cardes	6	6	cardes champêtres la rondelle de 20 livres	6	6	cardes champêtres la rondelle de 20 livres
Cardines	Cardines	…	…				
Cardons	Cardons	0	0a				
Cargaison		…	…				
Carisaye ; blanche	Carisaye	6	6b	carisées blanc	6	6b	carisées blanc
Carisaye ; mellée	Carisaye	6	6b	carisées teinte	6	6b	carisées teinte
Carisaye ; teinte	Carisaye	…	…				
Carizé	Carizé	…	…				
Carlé	Carlé	…	…				
Carmin	Carmin	5	5	Couleur ?			
Carnadières	Carnadières	…	…				
Carnasse	Carnasse	…	…				
Carnatane	Carnatane	…	…				
Carny	Carny	…	…				
Carols	Carols	…	…				
Carottes	Carottes	0	0a		0	0a	
Carpeaux ; alvins	Poisson	0	0a				
Carpes	Poisson	0	0a		0	0a	
Carpette	Carpette	…	…				
Carreaux ; ?	Carreaux	6	6				
Carreaux ; De lorre	Carreaux	6	6				
Carreaux ; bleus	Carreaux	6	6				
Carreaux ; d'ardoises	Carreaux	6	6				
Carreaux ; de Pierre	Carreaux	6	6				
Carreaux ; de bidache	Carreaux	6	6				
Carreaux ; de brique	Carreaux	6	6				
Carreaux ; de dentelle	Carreaux	6	6				
Carreaux ; de lorre	Carreaux	6	6				
Carreaux ; de marbre	Carreaux	6	6				
Carreaux ; de marbre à paver	Carreaux	6	6				
Carreaux ; de pierres	Carreaux	6	6				
Carreaux ; de sera	Carreaux	6	6				
Carreaux ; de sol en ter cuite	Carreaux	6	6				
Carreaux ; de terre	Carreaux	6	6				
Carreaux ; de terre à paver	Carreaux	6	6				careaux à paver
Carreaux ; moulage	Carreaux	6	6				
Carreaux ; noir	Carreaux	6	6				
Carreaux ; pour le sol	Carreaux	6	6				
Carreaux ; à paver	Carreaux	6	6				
Carreaux ; de marbre à paver	Carreaux	6	6		6	6	
Carreaux ; de terre cuite	Carreaux	6	6				
Carreaux ; de terre à paver	Carreaux	6	6	careaux à paver	6	6	careaux à paver
Carreaux ; à paver	Carreaux	6	6				
Carrelage	Carreaux	6	6				
Carrelets séchés		0	0a				
Carrosses	Carrosses	7	7				
Carrosses ; neufs	Carrosses	7	7				
Carrosses ; vieux	Carrosses	7	7				
Carrosses ; neufs	Carrosses	7	7		7	7	
Carrosses ; vieux	Carrosses	7	7		7	7	
Carrouges	Carrouges	0	0b	Carrobe, carrouge ou carroubier : fruit exotique en forme de corne.			
Carré	Carré	6	6	Plusieurs acceptions : désigne les ardoises ; signifie aussi carreau ou encore carré de cuir (grosses pièces de cuir en forme de carré) (Savary)			
Cartes		8	8				
Cartes ; géographiques	Cartes ; géographiques	8	8				
Cartes ; géographiques et estampes		8	8				
Cartes ; marines	Cartes ; géographiques	8	8				
Cartes ; à jouer	Cartes ; à jouer	8	8				
Cartons	Cartons	6	6				
Carubi	Carubi	…	...	Caroube ? BD			
Carubis	Carubis	…	…				
Carvi	Carvi	…	…				
Carzé	Carzé	…	…				
Casaques de peau	Casaques de peau	9	9				
Cascarilles	Cascarilles	2	2	Nom d'origine espagnol qui signifie une petite écorce solide et cassante (Savary)			
Casques de charge		9	9				
Casques et cuirasses	Casques et cuirasses	9	9		9	9	
Casse	Casse	7	7	Casse ; d'imprimerie			
Casse ; de fer	Casse	7	7	Casse ; d'imprimerie			
Casse ; de laiton	Casse	7	7	Casse ; d'imprimerie			
Casse ; en bâtons		2	2				
Casse ; remèdes	Drogues ; Médicinales	5	5				
Casse Étoffe	Étoffe ; classe	6	6d	C'est une espèce de mousseline de coton très fine (Savary)			
Casselas	Casselas	…	…				
Casseroles		6	6				
Casseroles ; de fer		6	6				
Casse ; en bâtons	Drogues ; Médicinales	2	2		5	5	
Cassia Lignea	Cassia Lignea	…	…				
Cassis	Cassis	…	…				
Cassoles	Cassoles	…	…				
Cassonnade	Sucre	0	0b	Cassonade ou castonade : sucre qui n'a pas eu sa dernière façon et qui n'est pas passé par l'affinage (Savary)			
Castalogne	Castalogne	6	6b	Castalogne ou Castelogne : couverture de lit, faite de laine très fine (Savary)			
Castoteunt	Castoteunt	…	…				
Caumes ; bambous		…	…				
Caumes ; de bois		…	…				
Caumes ; de jonc		…	…				
Cauris	Cauris	2	2	Coquillage			
Causels de bar	Causels de bar	…	…				
Causes de bois	Causes de bois	…	…				
Caves ; avec flacons	Caves ; avec flacons	8	8				
Caves ; de la flacon		8	8				
Caves ; garnies	Caves ; garnies	8	8				
Caves ; non garnies		8	8				
Caviar		0	0a				
Ceintures	Ceintures	8	8				
Ceintures de laine	Ceintures	8	8				
Ceintures de prêtres	Ceintures	8	8		6	6	
Ceinturons	Ceinturons	8	8				
Ceinturons ; de soie		8	8				
Ceinturons et bandouillieres	Ceinturons et bandouillieres	9	9		9	9	
Ceinturons ; de soye	Ceinturons ; de soye	6	6c				
Celeris	Celeris	0	0a		0	0a	
Cement		…	…				
Cendaline	Cendaline	…	…				
Cendre	Cendre	5	5				
Cendre ; Barille	Cendre	5	5				
Cendre ; Bourde	Cendre	5	5	Soude salée, de qualité inférieure, utilisée dans la fabrication du savon			
Cendre ; blan	Cendre	5	5				
Cendre ; bleue	Cendre	5	5				
Cendre ; broyée ; à l'huile	Cendre	5	5				
Cendre ; caleinée	Cendre	5	5				
Cendre ; cassant	Cendre	5	5				
Cendre ; casseau		5	5				
Cendre ; casseaux	Cendre	5	5				
Cendre ; commune	Cendre	2	2				
Cendre ; d'Angleterre		5	5				
Cendre ; d'os		2	2				
Cendre ; de Sicile	Cendre	5	5				
Cendre ; de Vareck	Cendre	2	2				
Cendre ; de bois	Cendre	2	2	cendres de bois	2	2	cendres de bois
Cendre ; de chaux	Cendre	2	2				
Cendre ; de courbe	Cendre	5	5				
Cendre ; de frêne		2	2				
Cendre ; de houille	Cendre	2	2				
Cendre ; de lessive	Cendre	5	5				
Cendre ; de mer	Cendre	5	5				
Cendre ; de plomb	Cendre	5	5				
Cendre ; de soude	Cendre	5	5				
Cendre ; de tourbe		2	2				
Cendre ; de tourbe et de paille		2	2				
Cendre ; de toute espece à engraisser		2	2				
Cendre ; de varech		5	5				
Cendre ; de varet	Cendre	2	2				
Cendre ; de verre	Cendre	2	2				
Cendre ; des rois		5	5				
Cendre ; des tourbes		2	2				
Cendre ; dite soude	Cendre	5	5				
Cendre ; diverses	Cendre	5	5				
Cendre ; flore	Cendre	5	5				
Cendre ; gravelins		5	5				
Cendre ; gravelée	Cendre	5	5	Cendres gravelées (Page 2:814) Cendres gravelées, (Chimie.) elles se font avec de la lie de vin: voici suivant M. Lemery la [p. 815] façon dont on s'y prend. Les Vinaigriers séparent par expression la partie la plus liquide de la lie de vin, do			
Cendre ; poreuse	Cendre	5	5				
Cendre ; potasse	Cendre	5	5				
Cendre ; soude		5	5				
Cendre ; vedasse	Cendre	5	5				
Cendre ; verte	Cendre	5	5	espèce d'oxyde de cuivre utilisée en peinture			
Cendre ; à fumer	Cendre	5	5				
Cendre ; à fumer ; terre	Cendre	5	5				
Cendre ; à orfèvre	Cendre	5	5				
Cendres ; de matron		5	5				
Cendres ; de plomb		5	5				
Cendre ; bleue	Cendre	5	5				
Cendre ; casseau	Cendre	5	5				
Cendre ; commune	Cendre	2	2				
Cendre ; d'Angleterre	Cendre	5	5		5	5	
Cendre ; de bois	Cendre	2	2				
Cendre ; de chaux	Cendre	2	2				
Cendre ; de houille	Cendre	2	2				
Cendre ; de plomb	Cendre	5	5				
Cendre ; de toute espece à engraisser	Cendre	5	5				
Cendre ; de verre	Cendre	2	2				
Cendre ; des tourbes	Cendre	5	5				
Cendre ; diverses	Cendre	5	5		2	2	
Cendre ; gravelée	Cendre	5	5	Cendres gravelées (Page 2:814) Cendres gravelées, (Chimie.) elles se font avec de la lie de vin: voici suivant M. Lemery la [p. 815] façon dont on s'y prend. Les Vinaigriers séparent par expression la partie la plus liquide de la lie de vin, do			
Cendre ; potasse	Cendre	5	5				
Cendre ; à fumer	Cendre	5	5				
Censes de batiments	Censes de batiments	…	…				
Centaurées et bleuets		0	0a				
Cerceaux		6	6				
Cerceaux ; de fûts		6	6				
Cercles ; de 10 à 12 pieds	Cercles	6	6		6	6	
Cercles ; de 12 à 16 pieds	Cercles	6	6		6	6	
Cercles ; de 7 à 11 pieds	Cercles	6	6		6	6	
Cercles ; de 8 à 10 pieds	Cercles	6	6		6	6	
Cercles ; de 9 à 12 pieds	Cercles	6	6		6	6	
Cercles ; de bois	Cercles	6	6				
Cercles ; de fer	Cercles	6	6		6	6	
Cercles ; de jonc		6	6				
Cercles ; ocloir	Cercles	6	6				
Cercles ; à tamis	Cercles	6	6				
Cercles ; à tonneaux	Cercles	6	6				
Cercles et feuillard		6	6				
Cercles et feuillard ; en bois		6	6				
Cercles et feuillard ; en fer		6	6				
Cercles ; communs	Cercles	6	6		6	6	
Cercocole	Cercocole	…	…				
Cerises	Cerises	0	0a				
Cerneaux	Cerneaux	0	0a				
Cevadilles	Drogues ; Médicinales	2	2	Plante bulbeuse originaire du Mexique dont les graines ont été utilisées comme parasiticide en raison de leur toxicité pour les animaux à sang froid			
Chagrin	Chagrin	2	2		2	2	
Chair ; de boucherie	Chair	0	0a				
Chair ; fraîche		0	0a				
Chair ; fraîche ; de viande		0	0a				
Chair ; fumée	Chair	0	0a				
Chair ; salée	Chair	0	0a				
Chair ; salée ; boyaux	Chair	0	0a				
Chair ; salée ; bœuf	Chair	0	0a				
Chair ; salée ; bœuf ; fumé		0	0a				
Chair ; salée ; cuisse d'oie	Chair	0	0a				
Chair ; salée ; de porc	Chair	0	0a				
Chair ; salée ; diverse		0	0a				
Chair ; salée ; diverses	Chair	0	0a				
Chair ; salée ; jambon	Chair	0	0a				
Chair ; salée ; lard	Chair	0	0a				
Chair ; salée ; petit salé	Chair	0	0a				
Chair ; salée ; saucissons	Chair	0	0a				
Chair ; fraîche	Chair	0	0a		0	0a	
Chaises		8	8				
Chaises ; de canne	Chaises	8	8				
Chaises ; de commodité	Chaises	8	8				
Chaises ; de jonc		8	8				
Chaises ; de joncs	Chaises	8	8				
Chaises ; de paille	Chaises	8	8				
Chaises ; de poste	Chaises	7	7				
Chaises ; de rotins	Chaises	8	8				
Chaises ; à deux Roue		7	7				
Chaises ; à deux roues	Chaises	7	7		7	7	
Chaises ; à porteur	Chaises	7	7				
Chaises et cabriolets	Chaises	7	7		7	7	
Chaises et fauteuils	Chaises	8	8				
Chaises et fauteuils de canne	Chaises	8	8				
Chalbafs	Chalbafs	…	…				
Chalon ; blanc		6	6b				
Chalon ; peint		6	6b				chalons teint
Chalons	Chalons	6	6b				
Chalons ; blanc souphré		6	6b				
Chalons ; blanc souphré	Chalons	6	6b		6	6b	
Chalon ; blanc	Chalons	6	6b		6	6b	
Chalon ; peint	Chalons	6	6b	chalons teint	6	6b	chalons teint
ChamPignon		0	0a				
Chambranles ; de porte		6	6				
Chamois	Chamois	…	…				
Champhew	Champhew	…	…				
Champignons	Champignons	0	0a				
Chandeliers ; de cuivre	Chandeliers ; de cuivre	8	8				
Chandeliers ; à pique		8	8				
Chandelle		8	8				
Chandelle ; de canne		8	8				
Chandelle ; de commodité		8	8				
Chandelle ; de jonc		8	8				
Chandelle ; de paille		8	8				
Chandelle ; de rotins		8	8				
Chandelle ; de suif		8	8				
Chandelle ; moitié cire		8	8				
Chandelle ; roulantes		8	8				
Chandelle ; à l'huile de baleine		8	8				
Chandelle ; à porteur		8	8				
Chandelles	Chandelles	8	8				
Chandelles ; de canne	Chandelles	8	8				
Chandelles ; de commodité	Chandelles	8	8				
Chandelles ; de joncs	Chandelles	8	8				
Chandelles ; de paille	Chandelles	8	8				
Chandelles ; de rotins	Chandelles	8	8				
Chandelles ; de suif	Chandelles	8	8				
Chandelles ; moitié cire	Chandelles	8	8				
Chandelles ; roulantes	Chandelles	8	8				
Chandelles ; à porteur	Chandelles	8	8				
Chandelles ; de suif	Chandelles	8	8		8	8	
Changeante	Changeante	…	…				
Chanvre	Chanvre	2	2				
Chanvre ; apprêté	Chanvre	2	2				
Chanvre ; battu	Chanvre	2	2				
Chanvre ; brut	Chanvre	2	2				
Chanvre ; cru	Chanvre	2	2				
Chanvre ; de masse	Chanvre	2	2				
Chanvre ; dit chenevolle		2	2				
Chanvre ; divers	Chanvre	2	2				
Chanvre ; eau	Chanvre	2	2				
Chanvre ; en masse	Chanvre	2	2				
Chanvre ; en rames	Chanvre	2	2				
Chanvre et lin		2	2				
Chanvre ; peigné	Chanvre	2	2				
Chanvre ; saisir		2	2				
Chanvre ; sérancé		2	2				
Chanvre ; tillé	Chanvre	2	2				
Chanvre ; tressé		2	2				
Chanvre ; écru		2	2				
Chanvre et lin	Chanvre et lin	2	2				
Chanvre et lin	Chanvre et lin	2	2				
Chapeaux	Chapeaux	8	8		8	8	
Chapeaux ; ? castor		8	8				
Chapeaux ; assortis	Chapeaux	8	8				
Chapeaux ; bordés	Chapeaux	8	8				
Chapeaux ; brodés	Chapeaux	8	8				
Chapeaux ; brodés d'or	Chapeaux	8	8				
Chapeaux ; castor	Chapeaux	8	8				
Chapeaux ; communs	Chapeaux	8	8				
Chapeaux ; d'écorces d'arbre	Chapeaux	8	8				
Chapeaux ; dauphins	Chapeaux	8	8				
Chapeaux ; de bois	Chapeaux	8	8				
Chapeaux ; de castor	Chapeaux	8	8				
Chapeaux ; de coupeaux	Chapeaux	8	8				
Chapeaux ; de cuir	Chapeaux	8	8				
Chapeaux ; de femme	Chapeaux	8	8				
Chapeaux ; de feutre	Chapeaux	8	8				
Chapeaux ; de laine	Chapeaux	8	8				
Chapeaux ; de laine ; communs	Chapeaux	8	8				
Chapeaux ; de paille	Chapeaux	8	8				
Chapeaux ; de poil	Chapeaux	8	8				
Chapeaux ; de poil et laine	Chapeaux	8	8				
Chapeaux ; de satin	Chapeaux	8	8				
Chapeaux ; de soie	Chapeaux	8	8		8	8	
Chapeaux ; de velours	Chapeaux	8	8				
Chapeaux ; de vigogne	Chapeaux	8	8				
Chapeaux ; divers	Chapeaux	8	8				
Chapeaux ; fins	Chapeaux	8	8				
Chapeaux ; mi castor	Chapeaux	8	8				
Chapeaux ; mi vigogne	Chapeaux	8	8				
Chapeaux ; neufs	Chapeaux	8	8				
Chapeaux ; perse	Chapeaux	8	8				
Chapeaux ; sortis	Chapeaux	8	8				
Chapeaux ; unis	Chapeaux	8	8				
Chapeaux ; vieux	Chapeaux	8	8				
Chapeaux ; vigogne	Chapeaux	8	8				
Chapeaux ; à nègres	Chapeaux	8	8				
Chapeaux ; neufs	Chapeaux	8	8		8	8	
Chapeaux ; vieux	Chapeaux	8	8		8	8	
Chapelets	Chapelets	8	8				
Chapelets ; commun	Chapelets	8	8				
Chapelets ; de bois	Chapelets	8	8				
Chapelets ; de coco	Chapelets	8	8				
Chapelets ; de verre	Chapelets	8	8				
Chapellerie	Chapeaux	8	8				
Chaplas	Chaplas	…	…				
Chapons	Chapons	0	0a				
Charbon	Charbon	3	3				
Charbon ; de bois	Charbon ; de bois	3	3				
Charbon ; de boulanger		3	3				
Charbon ; de boulanger et bresette	Charbon ; de boulanger et bresette	3	3	charbons dits bresettes	3	3	charbons dits bresettes
Charbon ; de pierre	Charbon ; de terre	3	3				
Charbon ; de terre	Charbon ; de terre	3	3				
Chardons	Chardons	2	2				
Chardons ; à drapier	Chardons	2	2				
Charettes	Chariots	7	7		6	6	
Chariots	Chariots	7	7				
Chariots ; neufs	Chariots	7	7				
Charlotonne	Charlotonne	…	...				
Charpie	Charpie	2	2		2	2	
Charrues	Charrues	6	6		6	6	
Chasselas	Chasselas	0	0a				
Chassemouches	Chassemouches	…	…				
Chasubles	Chasubles	8	8				
Chatons	Chatons	0	0a				
Chaudières et cuves		6	6				
Chaudrons		6	6				
Chaudrons ; en laiton		6	6				
Chaudrons ; fonds		6	6				
Chauffes ; pieds	Chauffes ; pieds	8	8				
Chausseterie	Chausseterie	8	8				
Chaussettes ; de fil	Chaussettes ; de fil	8	8				
Chaussons	Chaussons	8	8				
Chaussons ; de carisee et drap à laver maisons		8	8				
Chaussons ; de fil	Chaussons	8	8				
Chaussons ; de carisee et drap à laver maisons	Chaussons	8	8		8	8	
Chaussures		8	8				
Chaux	Chaux	5	5				
Chaux ; de calcaire	Chaux	5	5				
Chaux ; fondu	Chaux	5	5				
Chaux ; vive	Chaux	5	5				
Chaux ; à bâtir	Chaux	5	5				
Chaux et cendres	Chaux	5	5				
Chaux et cendres de chaux mellés	Chaux	5	5		2	2	
Chaux ; fondu	Chaux	5	5		2	2	
Chazetas	Chazetas	…	…				
Chaînes ; de laiton		8	8				
Chaînes ; de montre		8	8				
Chaînes ; de laiton	Chaînes ; de laiton	8	8				
Chaînes ; de montre	Chaînes ; de montre	8	8				
Cheminée ; de marbre	Cheminée	8	8				
Cheminée ; statues		8	8				
Cheminée ; statues	Cheminée	8	8				
Chemises	Chemises	8	8				
Chemises ; bretonnes	Chemises	8	8				
Chemises ; communes	Chemises	8	8				
Chemises ; de gingas	Chemises	8	8				
Chemises ; de laine		8	8				
Chemises ; de lin	Chemises	8	8				
Chemises ; fines	Chemises	8	8				
Chemises ; garnies	Chemises	8	8				
Chemises ; neuves		8	8				
Chemises ; unies	Chemises	8	8				
Chemises ; à nègres	Chemises	8	8				
Chemises ; écossaises		8	8				
Chemises ; neuves	Chemises	8	8		8	8	
Chenille ; au Quart	Chenille ; au Quart	…	…				
Chenille ; de soie	Chenille ; de soie	0	0a				
Cheval ; de bois	Cheval ; de bois	8	8				
Cheveux	Cheveux	2	2				
Cheville		6	6				
Cheville ; de bois		6	6				
Cheville ; de fer		6	6				
Chevillieres ; de fil		6	6a				
Chevrons	Chevrons	6	6				
Chevrons ; de bois	Chevrons	6	6				
Chevrons ; de chene	Chevrons	6	6				
Chevrons ; de sapin	Chevrons	6	6				
Chicorée		0	0a				
Chicotin	Chicotin	5	5	Espèce de drogue très amère qu'on met sur le bout des seins des nourrices pour sevrer les enfants (Savary)			
Chiens	Chiens	0	0a				
Chilas	Toile ; de coton	6	6d	Toiles de coton à carreaux (Savary)			
Chima ; calin		…	…				
Chine	Chine	…	…				
Chinois	Chinois	…	…				
Chise de fourneaux	Chise de fourneaux	2	2	cendre ditte chise de fourneaux	2	2	cendre ditte chise de fourneaux
Chitte	Étoffe	6	6				
Chitte ; étoffe	Étoffe	6	6				
Chivelles	Chivelles	…	…				
Chocolat	Chocolat	0	0b				
Chous ; à planter		0	0a				
Chous ; à planter	Chous ; à planter	0	0a		0	0a	
Choux	Choux	0	0a				
Choux ; confits	Choux ; confits	0	0a				
Choux ; fleurs	Choux ; fleurs	0	0a				
Choux ; fleurs et cabus et atrichaux	Choux ; fleurs et cabus et atrichaux	0	0a				
Choux ; salés		0	0a				
Choux ; salés	Choux ; salés	0	0a		0	0a	
Christ ; d'ivoire		8	8				
Christ ; d'ivoire	Christ ; d'ivoire	8	8				
Chuquelas	Toile ; de soie et coton	6	6	Chuquelas ou Chercolées ou cherconnées : toile des Indes de soie et coton.			
Châtaigne	Châtaigne	0	0a				
Chênes, petits dits chenaux	Chênes, petits dits chenaux	2	2		2	2	
Cidre	Cidre	1	1				
Cierges	Cierges	8	8				
Cignes	Cignes	0	0a		9	9	
Ciment	Ciment	6	6				
Ciment ou tiras	Ciment ou tiras	6	6		6	6	
Cinabre	Drogues ; Pour la peinture et la teinture	5	5	 Sulfure de mercure de couleur rouge, utilisé notamment pour la fabrication du vermillon			
Cire		4	4				
Cire ; blanche	Cire	4	4				
Cire ; blanche en bougies	Bougie	8	8	[idem] et chandelles	3	3	[idem] et chandelles
Cire ; blanche en feuilles	Cire	4	4		3	3	
Cire ; blanche en flambeaux	Bougie	8	8		3	3	
Cire ; blanche et jaune	Cire	4	4				
Cire ; blanche et jaune ; fondue et en bougie	Cire	4	4				
Cire ; d'Espagne	Cire	4	4				
Cire ; d'Espagne à cacheter	Cire	4	4	cire d'Espagne	8	8	cire d'Espagne
Cire ; de bougie		4	4				
Cire ; diverses	Cire	4	4				
Cire ; en bougie	Cire	8	8				
Cire ; en crasse	Cire	4	4				
Cire ; en figures	Cire	4	4	portaits de cire	3	3	portaits de cire
Cire ; en grabeau	Cire	4	4				
Cire ; en grains	Cire	4	4				
Cire ; en pain	Cire	4	4				
Cire ; jaune	Cire	4	4				
Cire ; jaune en bougies et Chandelle		8	8				
Cire ; jaune en bougies et chandelles	Cire	8	8		3	3	
Cire ; jaune en cierge et flambeaux	Cire	8	8		3	3	
Cire ; jaune en pain	Cire	4	4		3	3	
Cire ; rouge en flambeaux	Cire	8	8		3	3	
Cire ; verte	Cire	4	4		3	3	
Cire ; à cacheter	Cire	8	8				
Cirsaca	Toile ; de coton	6	6d	Cirsaca ou cirsaka : Etoffe des Indes presque toute de coton et de très peu de soie (Savary)			
Ciseaux	Ciseaux	6	6				
Citrons	Citrons	0	0a				
Citrons ; confits	Citrons ; confits	0	0a				
Citrons ; en conserve		0	0a				
Citrons ; salés		0	0a				
Citrons et oranges	Citrons et oranges	0	0a				
Clairons	Clairons	8	8		8	8	
Claphout	Claphout	2	2		2	2	
Claphout en blocq	Claphout	2	2		2	2	
Clappes ou douves à barils	Clappes ou douves à barils	6	6		6	6	
Clappes ou douves à barils de sapin	Clappes ou douves à barils de sapin	6	6		6	6	
Clavecin	Instruments de musique	8	8				
Clayes ; à parquer	Clayes ; à parquer	…	…				
Clinquant ; d'or faux	Clinquant ; d'or faux	8	8				
Cloches	Cloches	6	6				
Cloches ; de cuivre	Cloches	6	6				
Cloches ; de fonte	Cloches	6	6				
Cloches ; de métal	Cloches	6	6				
Cloches ; de verre	Cloches	6	6				
Clochettes	Clochettes	6	6				
Cloportes	Cloportes	2	2				
Clous		6	6				
Clous ; de cuivre		6	6				
Clous ; dorés	Clous	6	6				
Cloutiers	Cloutiers	…	…			0	Cloutiers qui ont payé un sol par mois pour travailler
Cochons ; de lait	Bestiaux	0	0a				
Cochons ; salé	Cochons ; salé	0	0a				
Cocons	Cocons ; de soie	2	2				
Cocons ; de soie	Cocons ; de soie	2	2				
Cocos	Cocos	0	0b				
Coctif	Coctif	…	...				
Cocullus	Cocullus	5	5		5	5	
Coddes blancs	Coddes blancs	6	6b		6	6b	
Codres ; à Roseau		6	6				
Coffres	Boîtes	8	8				
Coffres ; de bois	Boîtes	8	8				
Coffres ; de chirurgie	Boîtes	8	8				
Coffres ; de fer et berses	Boîtes	8	8				
Coffres ; de voyage	Boîtes	8	8				
Coffres ; forts	Boîtes	8	8				
Coffres ; vieux	Boîtes	8	8				
Coffres ; à garniture de peau	Boîtes	8	8				
Coffres et cercueils en cyprès	Boîtes	8	8				
Coffres ; de fer et berses	Boîtes	6	6		6	6	
Coffres ; à garniture de peau	Boîtes	8	8		8	8	
Cognac		1	1				
Coiffes ; de gaze		8	8				
Coiffes de chapeaux	Chapeaux	8	8				
Coiffes ; de gaze	Chapeaux	8	8				
Coins		…	…				
Colins		0	0a				
Colle	Colle	5	5				
Colle ; commune	Colle	5	5		5	5	
Colle ; de Flandre	Colle	5	5				
Colle ; de poisson	Colle	5	5				
Colle ; diverse	Colle	5	5				
Colle ; forte	Colle	5	5		5	5	
Colle ; à papier	Colle	5	5				
Colles ; de toute sorte	Colle	5	5				
Colliers ; de cheval	Harnachement	7	7				
Colliers ; de jais	Bijoux	8	8				
Colliers ; de perles	Bijoux	8	8				
Colliers ; de perles ; fausses	Bijoux	8	8				
Colombine	Laque ; colombine	5	5	La laque colombine est une des 3 sortes de laques utilisées par les peintes.			
Colophane ou Spingler	Colophane ou Spingler	5	5		5	5	
Coloquinte	Coloquinte	2	2	La pulpe du fruit, blanche, de saveur très amère, utilisé comme purgatif drastique surtout en art vétérinaire			
Colorant ; rouge		5	5				
Colorant ; rouge et marron		5	5				
Colorant ?		5	5				
Comestibles	Comestibles	0	0a				
Comestibles ; divers	Comestibles	0	0a				
Commodes	Commodes	8	8				
Commodes ; de bois	Commodes ; de bois	8	8				
Compas	Instruments de marine	8	8				
Compas ; de cuivre	Instruments de marine	8	8				
Compas ; de mer	Instruments de marine	8	8				
Composition ; de chimie	Composition ; de chimie	5	5				
Composition ; de verre	Composition ; de verre	6	6				
Concombre		0	0a				
Concombre et cornichons	Concombre et cornichons	0	0a		0	0a	
Concons ; de soie	Cocons ; de soie	2	2				
Confection	Confection	5	5	Préparation composée de poudres et sucres et miel			
Confection ; d'Alkerme	Confection ; d'Alkerme	5	5				
Confection ; d'hyacinte	Confection ; d'hyacinte	5	5				
Confiseries		0	0a				
Confitures	Confitures	0	0a				
Congres	Congres	0	0a				
Conserve ; de fleures d'orange	Conserve ; de fleures d'orange	2	2				
