marchandises_normalisees	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG	SITC_rev1	SITC_rev2	remarques_marchandises
"Draperie"		""	""	""	""	""	""
"Draperie ; fine"		""	""	""	""	""	""
"Draperie ; ordinaire"		""	""	""	""	""	""
"Draperie ; petite"		""	""	""	""	""	""
"Draps ; serge ; blanche"	6	"6b"	""	""	""	""	""
"Draps ; serge ; commune"		""	""	""	""	""	""
"Draps ; serge ; commune teinte"	6	"6b"	""	""	""	""	""
"Draps ; serge ; d'Angleterre"	6	"6b"	""	""	""	""	""
"Draps ; serge ; de Lille"		""	""	""	""	""	""
"Draps ; serge ; de Montauban"		""	""	""	""	""	""
"Draps ; serge ; de Nîmes"	6	"6b"	"serge de Nîmes"	""	""	""	""
"Draps ; serge ; de laine"		""	""	""	""	""	""
"Draps ; serge ; drappé"		""	""	""	""	""	""
"Draps ; serge ; drapé"		""	""	""	""	""	""
"Draps ; serge ; imprimé"		""	""	""	""	""	""
"Draps ; serge ; mêlée"	6	"6b"	""	""	""	""	""
"Draps ; serge ; teinte"	6	"6b"	""	""	""	""	""
"Draps ; serge ; teinte par aune"		""	""	""	""	""	""
"Draps ; serge ; à doubler"		""	""	""	""	""	""
"Draps ; de laine ; Baye Blanche"		""	""	""	""	""	""
"Draps ; de laine ; Baye Teinte"		""	""	""	""	""	""
"Drap ; de Limbourg"	6	"6b"	""	""	""	""	""
"Drap ; de lit"	6	"6"	""	""	""	""	""
"Drap ; drache"	6	"6b"	""	""	""	""	""
"Drap ; serge"		""	""	""	""	""	""
"Drogue ; Huile et essence de Térébenthine"		""	""	""	""	""	""
"Drogueries"		""	""	""	""	""	""
"Drogues"		""	""	""	""	""	""
"Drogues ; Chimiques ; ?"		""	""	""	""	""	""
"Drogues ; Chimiques ; Diverses"		""	""	""	""	""	""
"Drogues ; Chimiques ; Eau forte"		""	""	""	""	""	""
"Drogues ; Chimiques ; Esprit de sel"		""	""	""	""	""	""
"Drogues ; Chimiques ; Esprit de vice"		""	""	""	""	""	""
"Drogues ; Chimiques ; Sel ammoniac"		""	""	""	""	""	""
"Drogues ; Chimiques ; Sel d'epsum"		""	""	""	""	""	""
"Drogues ; Chimiques ; Sel de Globert"		""	""	""	""	""	""
"Drogues ; Chimiques ; Sel de globerts"		""	""	"..."	"5"	"5"	""
"Drogues ; Chimiques ; Sel de paume"		""	""	"..."	"5"	"5"	""
"Drogues ; Chimiques ; Sel de plomb"		""	""	""	""	""	""
"Drogues ; Chimiques ; Sel de potasse"		""	""	""	""	""	""
"Drogues ; Chimiques ; Sel de tamarin"		""	""	""	""	""	""
"Drogues ; Chimiques ; Sel divers"		""	""	"..."	"5"	"5"	""
"Drogues ; Chimiques ; Sel gem"		""	""	"..."	"5"	"5"	""
"Drogues ; Chimiques ; Sel gemme"		""	""	""	""	""	""
"Drogues ; Chimiques ; Sel saturne"		""	""	""	""	""	""
"Drogues ; Chimiques ; Sel sublimé"		""	""	""	""	""	""
"Drogues ; Chimiques ; Sublimé"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; ?"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Aloès"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Beaume du Perou"		""	""	"..."	"5"	"5"	""
"Drogues ; Composées pour la médecine ; Beaume du Pérou"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Benjoin"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Camphre"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Cantharides"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Canyolore"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Canéfice"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Cavefico"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Chévaque"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Cristal de tartot"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Crème à tartre"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Crême à tartre"		""	""	"..."	"5"	"5"	""
"Drogues ; Composées pour la médecine ; Diverses"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Jus de reglise"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Jus de réglise"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Mane"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Opium"		""	""	"..."	"5"	"5"	""
"Drogues ; Composées pour la médecine ; Poudre brillant"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Précipité"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Résine de Jalap"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Sableuée"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Sang dragon"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Scamonée"		""	""	"..."	"5"	"5"	""
"Drogues ; Composées pour la médecine ; Scamousée"		""	""	"..."	"5"	"5"	""
"Drogues ; Composées pour la médecine ; Storax"		""	""	""	""	""	""
"Drogues ; Composées pour la médecine ; Sublime"		""	""	""	""	""	""
"Drogues ; De castor"		""	""	""	""	""	""
"Drogues ; De laine"		""	""	"..."	"5"	"5"	""
"Drogues ; De laine et fil"		""	""	""	""	""	""
"Drogues ; Drogues réunies ; Diverses"		""	""	""	""	""	""
"Drogues ; Gommes ; Diverses"		""	""	""	""	""	""
"Drogues ; Gommes ; Lacque"		""	""	"..."	"5"	"5"	""
"Drogues ; Gommes ; Laque"		""	""	""	""	""	""
"Drogues ; Gommes ; Myrrhe"		""	""	""	""	""	""
"Drogues ; Gommes ; Sandarac"		""	""	""	""	""	""
"Drogues ; Gommes ; Sénégal"		""	""	""	""	""	""
"Drogues ; Huile de vitriol"		""	""	""	""	""	""
"Drogues ; Huile et essence de Térébenthine ; Diverses"		""	""	"..."	"5"	"5"	""
"Drogues ; Medecinales en plantes ; Sebestre"		""	""	"..."	"5"	"5"	""
"Drogues ; Medicinales en plantes ; Sebestre"		""	""	""	""	""	""
"Drogues ; Metalliques ; Auchinoise"		""	""	"..."	"5"	"5"	""
"Drogues ; Metalliques ; Mercure"		""	""	"..."	"5"	"5"	""
"Drogues ; Metalliques ; Piharge"		""	""	"..."	"5"	"5"	""
"Drogues ; Médicinales ; ?"		""	""	""	""	""	""
"Drogues ; Médicinales ; Beaume de Copahu"		""	""	""	""	""	""
"Drogues ; Médicinales ; Benjoin"		""	""	""	""	""	""
"Drogues ; Médicinales ; Camphre"		""	""	"…"	"5"	"5"	""
"Drogues ; Médicinales ; Canefice"		""	""	""	""	""	""
"Drogues ; Médicinales ; Cantharides"		""	""	""	""	""	""
"Drogues ; Médicinales ; Capilaire"		""	""	""	""	""	""
"Drogues ; Médicinales ; Casse"		""	""	"…"	"5"	"5"	""
"Drogues ; Médicinales ; Cassia lignea"		""	""	""	""	""	""
"Drogues ; Médicinales ; Cevadille"		""	""	""	""	""	""
"Drogues ; Médicinales ; Chicolin"		""	""	""	""	""	""
"Drogues ; Médicinales ; Chimiques ; Eau forte"		""	""	""	""	""	""
"Drogues ; Médicinales ; Coloquinte"		""	""	""	""	""	""
"Drogues ; Médicinales ; Cordial"		""	""	""	""	""	""
"Drogues ; Médicinales ; Corque du Levant"		""	""	""	""	""	""
"Drogues ; Médicinales ; Crème de tartre"		""	""	""	""	""	""
"Drogues ; Médicinales ; Cumin"		""	""	""	""	""	""
"Drogues ; Médicinales ; Diverses"		""	""	""	""	""	""
"Drogues ; Médicinales ; Eau sederale"		""	""	""	""	""	""
"Drogues ; Médicinales ; Eau vulneraire"		""	""	"…"	"5"	"5"	""
"Drogues ; Médicinales ; Eau vulnéraire"		""	""	""	""	""	""
"Drogues ; Médicinales ; Gentiane"		""	""	""	""	""	""
"Drogues ; Médicinales ; Huile d'amande douce"		""	""	""	""	""	""
"Drogues ; Médicinales ; Ipécacuana"		""	""	"…"	"5"	"5"	""
"Drogues ; Médicinales ; Jalap"		""	""	""	""	""	""
"Drogues ; Médicinales ; Jus de réglisse"		""	""	""	""	""	""
"Drogues ; Médicinales ; Manne"		""	""	"…"	"5"	"5"	""
"Drogues ; Médicinales ; Opium"		""	""	""	""	""	""
"Drogues ; Médicinales ; Pignons d'Inde"		""	""	"…"	"5"	"5"	""
"Drogues ; Médicinales ; Précipité"		""	""	"…"	"5"	"5"	""
"Drogues ; Médicinales ; Quinquina"		""	""	"…"	"5"	"5"	""
"Drogues ; Médicinales ; Racines diverses"		""	""	""	""	""	""
"Drogues ; Médicinales ; Rhubarbe"		""	""	""	""	""	""
"Drogues ; Médicinales ; Réunies"		""	""	""	""	""	""
"Drogues ; Médicinales ; Saffran"		""	""	"…"	"5"	"5"	""
"Drogues ; Médicinales ; Salsepareille"		""	""	"…"	"5"	"5"	""
"Drogues ; Médicinales ; Seamanée"		""	""	""	""	""	""
"Drogues ; Médicinales ; Semen contra"		""	""	""	""	""	""
"Drogues ; Médicinales ; Stafisaigre"		""	""	""	""	""	""
"Drogues ; Médicinales ; Storax"		""	""	""	""	""	""
"Drogues ; Médicinales ; Séné"		""	""	""	""	""	""
"Drogues ; Médicinales ; Tamarin"		""	""	""	""	""	""
"Drogues ; Médicinales ; Thériaque"		""	""	""	""	""	""
"Drogues ; Médicinales ; Vanille"		""	""	""	""	""	""
"Drogues ; Médicinales ; Zedonire"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; ?"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Aristoloche"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Carrue"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Casse en baton"		""	""	"…"	"2"	"2"	""
"Drogues ; Médicinales en plantes ; Cassia siguea"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Cassialiguca"		""	""	"…"	"2"	"2"	""
"Drogues ; Médicinales en plantes ; Civadille"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Coloquinte"		""	""	"…"	"2"	"2"	""
"Drogues ; Médicinales en plantes ; Coque levant"		""	""	"…"	"2"	"2"	""
"Drogues ; Médicinales en plantes ; Coriandre"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Cumin"		""	""	"…"	"2"	"2"	""
"Drogues ; Médicinales en plantes ; Diverses"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Fleur de benjoin"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Galanga"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Genseng"		""	""	"…"	"2"	"2"	""
"Drogues ; Médicinales en plantes ; Ginseng"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Jalop"		""	""	"…"	"2"	"2"	""
"Drogues ; Médicinales en plantes ; Ogarie"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Qumquina"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Racines diverses"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Rhubarbe"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Réglisse"		""	""	"…"	"2"	"2"	""
"Drogues ; Médicinales en plantes ; Saffran"		""	""	"…"	"2"	"2"	""
"Drogues ; Médicinales en plantes ; Salsepareille"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Simarouba"		""	""	""	""	""	""
"Drogues ; Médicinales en plantes ; Séné"		""	""	"…"	"2"	"2"	""
"Drogues ; Médicinales en plantes ; Tamarin"		""	""	"…"	"2"	"2"	""
"Drogues ; Médicinales en plantes ; Tournesol"		""	""	"…"	"2"	"2"	""
"Drogues ; Médécinales ; Jalap"		""	""	"..."	"5"	"5"	""
"Drogues ; Métalliques ; Antimoine"		""	""	""	""	""	""
"Drogues ; Métalliques ; Argent vif"		""	""	""	""	""	""
"Drogues ; Métalliques ; Arsenic"		""	""	""	""	""	""
"Drogues ; Métalliques ; Auchinoise"		""	""	""	""	""	""
"Drogues ; Métalliques ; Diverses"		""	""	""	""	""	""
"Drogues ; Métalliques ; Litharge"		""	""	""	""	""	""
"Drogues ; Métalliques ; Mercure"		""	""	""	""	""	""
"Drogues ; Métalliques ; Piharge"		""	""	""	""	""	""
"Drogues ; Métalliques ; Toutenague"		""	""	""	""	""	""
"Drogues ; Métalliques ; Vitriol"		""	""	""	""	""	""
"Drogues ; Mêlées ; Asfafélida"		""	""	""	""	""	""
"Drogues ; Mêlées ; Blanc de baleine"		""	""	""	""	""	""
"Drogues ; Mêlées ; Bongras animal"		""	""	""	""	""	""
"Drogues ; Mêlées ; Diverses"	5	"5"	""	""	""	""	""
"Drogues ; Mêlées ; Diverses ; Blanc de Baleine"		""	""	""	""	""	""
"Drogues ; Mêlées ; Diverses ; Borax"		""	""	"..."	"5"	"5"	""
"Drogues ; Mêlées ; Doraze"		""	""	""	""	""	""
"Drogues ; Mêlées ; Essence de Thérebentine"		""	""	"…"	"5"	"5"	""
"Drogues ; Mêlées ; Essence de vitriol"		""	""	""	""	""	""
"Drogues ; Mêlées ; Galbanum"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; Adragante"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; Arabique"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; Commune"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; D'Amérique"		""	""	"..."	"5"	"5"	""
"Drogues ; Mêlées ; Gommes ; De Barbarie"		""	""	"..."	"5"	"5"	""
"Drogues ; Mêlées ; Gommes ; De Cenzier"		""	""	"..."	"5"	"5"	""
"Drogues ; Mêlées ; Gommes ; De Gayac"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; De Sandarac"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; Diverses"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; Elastiques"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; Elemy"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; Euphorbe"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; Galanga"		""	""	"..."	"5"	"5"	""
"Drogues ; Mêlées ; Gommes ; Gedda"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; Gutte"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gommes ; Lacque"		""	""	"..."	"5"	"5"	""
"Drogues ; Mêlées ; Gommes ; Sénégal"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gousses arabiques"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gousses de sandarac"		""	""	"..."	"5"	"5"	""
"Drogues ; Mêlées ; Gousses diverses"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gousses du Senegal"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gousses gatte"		""	""	""	""	""	""
"Drogues ; Mêlées ; Gousses lagne"		""	""	""	""	""	""
"Drogues ; Mêlées ; Graines diverses"		""	""	""	""	""	""
"Drogues ; Mêlées ; Huile d'amande"		""	""	""	""	""	""
"Drogues ; Mêlées ; Huile d'ammande"		""	""	"..."	"5"	"5"	""
"Drogues ; Mêlées ; Mastic"		""	""	""	""	""	""
"Drogues ; Mêlées ;?"		""	""	""	""	""	""
"Drogues ; Odorantes ; Ambre gris"		""	""	""	""	""	""
"Drogues ; Odorantes ; Ambre jaune"		""	""	""	""	""	""
"Drogues ; Odorantes ; Diverses"		""	""	""	""	""	""
"Drogues ; Odorantes ; Musc"		""	""	""	""	""	""
"Drogues ; Odorantes ; encens"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Alquifoux"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Azur"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Azur et bleu de Prusse"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Blanc d'Espagne"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Blanc de Herps"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Blanc de ferax"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Blanc de plomb"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Brun rouge"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Cendres Bleues"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Cinabre"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Croix d'voire"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Diverses"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Huile de térébenthine"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Jas"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Jaune de Naples"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Minium"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Muce de plomb"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Ocre"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Orpiments"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Pastel"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Sanguine"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Serra merita"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Stil de grain"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Verda"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Verdet"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Vermillon"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Vernis"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture ; Vert de gris"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; ?"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Alizari"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Alquifoux"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Alun"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Azur"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Azur et bleu de prusse"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Blanc d'Espagne"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Blanc de Herps"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Blanc de cerus"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Blanc de céruse"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Blanc de ferax"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Blanc de plomb"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Bleu commun"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Bleu de Pierre"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Bleu de Prusse"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Bleu de pierre"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Bleu en encre"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Brun rouge"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Cendres Bleues"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Cendres bleues"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Cernis"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Cinabre"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Cochenille"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Cocheuille"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Couperose"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Croix d'voire"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Curcuma"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Diverses"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Fnée platte"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Fris"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Garance"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Graines"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Herbes à teindre"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Huile de thérébentine"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Indigo"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Iris"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Jais"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Jas"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Jaune de Naples"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Jude fine"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Jude flottante"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Jude plate"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Laque"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Laque de Venise"	5	"5"	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Laque en poudre"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Laque plate"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Mine de plomb"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Minium"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Muce de plomb"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Noir d'ivoire"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Noir de fumée"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Noir de galles"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Noix de Galles"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Ocre"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Orpiments"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Orseille"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Pastel"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Rocou"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Rouge de venise"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Saffranum"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Sanguine"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Serra merita"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Stil de grain"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Sumac"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Tartre"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Thérébentine"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Tournesol"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la peinture et la teinture ; Verdes"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Verdet"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Vermillon"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Vernis"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; Vert de gris"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; billon"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; commune"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; diverses"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; grappe"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; laque fausse"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; non robée"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; racines de lizary"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture et la teinture ; Blanc de céruse"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture et la teinture ; Brun rouge"		""	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; non preparée"	5	"5"	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; préparée"	5	"5"	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; racines"		""	""	""	""	""	""
"Drogues ; Pour la teinture ; Alizari"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Alun"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Arsenie"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Bleu de Prusse"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Bleu en pierre"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Cochenille"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Couperose"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Curcuma"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Diverses"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Garance"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Herbes à teindre"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Indigo"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Iris"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Jude fine"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Jude flottante"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Jude platte"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Laque de Venise"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Laque en poudre"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Laque platte"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Nocou"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Noir de fumée"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Noir de galles"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Orseille"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Saffranum"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Sumac"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Tartre"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; Tournesol en pain"		""	""	"..."	"5"	"5"	""
"Drogues ; Pour la teinture ; laque fausse"		""	""	"..."	"5"	"5"	""
"Drogues ; Réunies"		""	""	"..."	"5"	"5"	""
"Drogues ; Réunies ; Diverses"		""	""	"..."	"5"	"5"	""
"Drogues ; pour la peinture et la teinture ; Craie"		""	""	""	""	""	""
"Drogues ; pour la peinture et la teinture ; Craye"		""	""	"..."	"5"	"5"	""
"Drogues ; Castor"	5	"5"	""	""	""	""	""
"Drogues ; Pour la peinture et la teinture ; poudre et teinture ; verte"	5	"5"	""	""	""	""	""
"Drogues ; Safran"		""	""	""	""	""	""
