marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_rg	marchandises	marchandises_normalisees_inter	product_prix	dutchtranslation	englishproduct	unit	source_RG_1774	source_RGbase	source_France	_merge
"Laine ; de darmenie"	"Laine"	"2"	"2"	""		""	""	""	"Laine ; de Carmenie"	"Laine ; de darmenie"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; de farmenie"	"Laine"	"2"	"2"	""		""	""	""	"Laine; de Farmenie"	"Laine ; de farmenie"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; de levant"	"Laine"	"2"	"2"	""		""	""	"crude wool"	"Laine; de Levant"	"Laine ; de levant"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; de nigagne"	"Laine"	"2"	"2"	""		""	""	"crude wool"	"Laine ; de nigagne"	"Laine ; de nigagne"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; de perse"	"Laine"	"2"	"2"	""		""	""	""	"Laine ; de Perse"	"Laine ; de perse"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; de pologne"	"Laine"	"2"	"2"	""		""	""	"crude wool"	"Laine; de Pologne"	"Laine ; de pologne"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; de portugal"	"Laine"	"2"	"2"	""		""	""	""	"Laine; de Portugal"	"Laine ; de portugal"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; de rennes"	"Laine"	"2"	"2"	""		""	""	""	"Laine ; en Renne"	"Laine ; de rennes"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; de segovie"	"Laine"	"2"	"2"	""		""	""	""	"Laine; de Segovie"	"Laine ; de segovie"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; de suède"	"Laine"	"2"	"2"	""		""	""	"crude wool"	"Laine ; de Suède"	"Laine ; de suède"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; de tan"	"Laine"	"2"	"2"	""		""	""	""	"Laine ; de tan"	"Laine ; de tan"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; de vigogne"	"Laine"	"2"	"2"	""		""	""	"crude wool"	"Laine ; de Vigogne"	"Laine ; de vigogne"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; diverse"	"Laine"	"2"	"2"	""		""	""	""	"Laines diverses"	"Laine ; diverse"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; du Levant"	"Laine"	"2"	"2"	""		""	""	""	"Laine ; de Levant"	"Laine ; de levant"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; du nord"	"Laine"	"2"	"2"	""		""	""	""	"Laine ; du Nord"	"Laine ; du nord"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; en laine"	"Laine"	"2"	"2"	""		""	""	"crude wool"	"Laine ; en lain"	"Laine ; en laine"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; en rames"	"Laine"	"2"	"2"	""		""	""	""	"Laine ; de rames"	"Laine ; en rames"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; en suint"	"Laine"	"2"	"2"	""		""	""	""	"Laine ; de suin"	"Laine ; en suint"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; en toison"	"Laine"	"2"	"2"	""		""	""	""	"Laine ; en toison"	"Laine ; en toison"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; filée"	"Laine ; filée"	"6"	"6b"	""		""	""	""	"Laine ; filée"	"Laine ; filée"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; fine"	"Laine ; fine"	"6"	"6b"	""		""	""	"crude wool"	"Laine ; fine"	"Laine ; fine"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; grosse"	"Laine ; grosse"	"2"	"2"	""		""	""	""	"Laine ; grosse"	"Laine ; grosse"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; lavée"	"Laine ; lavée"	"2"	"2"	""		""	""	""	"Laine ; lavé"	"Laine ; lavée"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; peignée"	"Laine ; peignée"	"2"	"2"	""		""	""	"crude wool"	"Laine ; peignée"	"Laine ; peignée"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; pelade"	"Laine ; pelade"	"2"	"2"	""		""	""	""	"Laine; pellade"	"Laine ; pelade"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; pelluche"	"Laine ; pelluche"	"2"	"2"	""		""	""	""	"Laine ; pellude"	"Laine ; pelluche"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; serge"	"Laine ; serge"	"6"	"6b"	""		""	""	""	"Laine; surge"	"Laine ; serge"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; teinte"	"Laine ; teinte"	"2"	"2"	""		""	""	""	"Laine ; teinte"	"Laine ; teinte"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; à broder"	"Laine"	"2"	"2"	""		""	""	""	"Laine ; a broder"	"Laine ; à broder"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; à matelas"	"Laine"	"2"	"2"	""		""	""	""	"Laine; à matelats"	"Laine ; à matelas"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; à tapisserie"	"Laine ; à tapisserie"	"6"	"6b"	""		""	""	""	"Laine ; à tricoter"	"Laine ; à tapisserie"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; apprêtée ; pour perruques"	"Laine ; apprêtée ; pour perruques"	"6"	"6b"	""	6	"6"	""	""	"laine appreté pour peruques"	"Laine ; apprêtée ; pour perruques"	""	"wol (bereid voor pruikenmakers)"	"wool for wig makers"	"pounds"	1	1	0	"matched (3)"
"Laine ; brute ou non lavée"	"Laine"	"2"	"2"	""	2	"2"	""	""	"laine brut ou non lavée"	"Laine ; brute ou non lavée"	""	"wol (ruw of niet gewassen)"	"crude wool"	"pounds"	1	1	0	"matched (3)"
"Laine ; d'Allemagne"	"Laine"	"2"	"2"	""	2	"2"	""	""	"Laine; d' Allemagne"	"Laine ; d'Allemagne"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; d'Espagne"	"Laine"	"2"	"2"	""	2	"2"	""	""	"laine d'Espagne"	"Laine ; d'Espagne"	"Spanish wool"	"wol (Spaanse)"	"Spanish wool"	"pounds"	1	1	0	"matched (3)"
"Laine ; de Brême"	"Laine"	"2"	"2"	""	2	"2"	""	""	"laine de Brême"	"Laine ; de Brême"	""	"wol (bremen)"	"wool from Bremen"	"pounds"	1	0	0	"matched (3)"
"Laine ; de Pologne"	"Laine"	"2"	"2"	""	2	"2"	""	""	"laine de Pologne"	"Laine ; de Pologne"	""	"wol (poolse)"	"Polish wool"	"pounds"	1	0	0	"matched (3)"
"Laine ; de Pologne et autres laines étrangères"	"Laine"	"2"	"2"	""	2	"2"	""	""	"laine de Pologne et autres etrangeres"	"Laine ; de Pologne et autres laines étrangères"	""	"wol (poolse e.a. buitenlandse)"	"wool from Poland and other countries"	"pounds"	1	0	0	"matched (3)"
"Laine ; de Pomnéranie"	"Laine"	"2"	"2"	""	2	"2"	""	""	"laine de Pomeranie"	"Laine ; de Pomnéranie"	""	"wol (pomeranie)"	"wool from Pomerany"	"pounds"	1	0	0	"matched (3)"
"Laine ; de Prusse"	"Laine"	"2"	"2"	""	2	"2"	""	""	"laine de Prussie"	"Laine ; de Prusse"	""	"wol (pruisen)"	"Prussian wool"	"pounds"	1	0	0	"matched (3)"
"Laine ; de Vigogne"	"Laine"	"2"	"2"	""		""	""	""	"Laine de Vigogne"	"Laine ; de Vigogne"	""	""	""	""	0	0	1	"matched (3)"
"Laine ; grasse et filée"	"Laine ; grasse et filée"	"6"	"6b"	""	6	"6"	""	""	"laine grasse et filée"	"Laine ; grasse et filée"	""	"wol (gesponnen)"	"spun wool"	"pounds"	1	0	0	"matched (3)"
"Laine ; lavée"	"Laine ; lavée"	"2"	"2"	""	2	"2"	""	""	"laine lavée"	"Laine ; lavée"	""	"wol (gewassen)"	"washed wool"	"pounds"	1	1	0	"matched (3)"
"Laine ; non peignée"	"Laine ; non peignée"	"2"	"2"	""	2	"2"	""	""	"laine non peignée"	"Laine ; non peignée"	""	"wol (niet gekamd)"	"uncombed wool"	"pounds"	1	0	0	"matched (3)"
"Laine ; peignée"	"Laine ; peignée"	"2"	"2"	""	2	"2"	""	""	"laine peigné"	"Laine ; peignée"	""	"wol (gekamd)"	"combed wool"	"pounds"	1	1	0	"matched (3)"
"Laine ; pour chapeliers"	"Laine ; pour chapeliers"	"2"	"2"	""	6	"6"	""	""	"laine pour chapelliers"	"Laine ; pour chapeliers"	""	"wol (voor hoedenmakers)"	"wool for millinery"	"pounds"	1	1	0	"matched (3)"
"Lait, doux"	"Lait"	"0"	"0a"	""	0	"0a"	""	""	"lait doux"	"Lait, doux"	""	"melk (doux)"	"soft milk"	"guilders"	1	1	0	"matched (3)"
"Laiton"	"Laiton"	"6"	"6"	""		""	""	""	"Leton"	"Laiton"	""	""	""	""	0	0	1	"matched (3)"
"Laiton ; Divers"	"Laiton"	"6"	"6"	""		""	""	""	"Laiton ; Divers"	"Laiton ; Divers"	""	""	""	""	0	0	1	"matched (3)"
"Laiton ; brun"	"Laiton"	"6"	"6"	""		""	""	""	"Leton ; brun"	"Laiton ; brun"	""	""	""	""	0	0	1	"matched (3)"
"Laiton ; en feuilles"	"Laiton"	"6"	"6"	""		""	""	""	"Leton ; en feuille"	"Laiton ; en feuilles"	""	""	""	""	0	0	1	"matched (3)"
"Laiton ; en planches"	"Laiton"	"6"	"6"	""		""	""	""	"Leton ; en planches"	"Laiton ; en planches"	""	""	""	""	0	0	1	"matched (3)"
"Laiton ; fil de laiton"	"Laiton"	"6"	"6"	""		""	""	""	"Laiton ; Fil de laiton"	"Laiton ; fil de laiton"	""	""	""	""	0	0	1	"matched (3)"
"Laiton ; gouté"	"Laiton"	"6"	"6"	""		""	""	""	"Léton ; gouté"	"Laiton ; gouté"	""	""	""	""	0	0	1	"matched (3)"
"Laiton ; gratté"	"Laiton"	"6"	"6"	""		""	""	""	"Léton ; gratté"	"Laiton ; gratté"	""	""	""	""	0	0	1	"matched (3)"
"Laiton ; gravé"	"Laiton"	"6"	"6"	""		""	""	""	"Léton ; graté"	"Laiton ; gravé"	""	""	""	""	0	0	1	"matched (3)"
"Laiton ; gravé ou gratté"	"Laiton"	"6"	"6"	""		""	""	""	"Léton ; gravé ou gratté"	"Laiton ; gravé ou gratté"	""	""	""	""	0	0	1	"matched (3)"
"Laiton ; ouvré"	"Laiton"	"6"	"6"	""		""	""	""	"Léton ; ouvré"	"Ouvrages ; de laiton"	""	""	""	""	0	0	1	"matched (3)"
"Laiton ; vieux"	"Laiton ; vieux"	"2"	"2"	""		""	""	""	"Leton; ouvré"	"Laiton ; vieux"	""	""	""	""	0	0	1	"matched (3)"
"Lait ; battu"	"Lait"	"0"	"0a"	""	0	"0a"	""	""	"lait battu"	"Lait ; battu"	""	"karnemelk"	"buttermilk"	"guilders"	1	0	0	"matched (3)"
"Lama"	"Lama"	"0"	"0b"	""		""	""	""	"Lama"	"Lama"	""	""	""	""	0	0	1	"matched (3)"
"Lames ; d'épées"	"Lames"	"9"	"9"	""		""	""	""	"Lames ; d'Epée"	"Lames ; d'épées"	""	""	""	""	0	0	1	"matched (3)"
"Lames ; d'épées et de fleuret"	"Lames"	"9"	"9"	""	9	"9"	""	""	"lames d'épées et de fleurets"	"Lames ; d'épées et de fleuret"	""	"lemmeten van degens en floretten"	"blades of swords and foils"	"pieces"	1	0	0	"matched (3)"
"Lames ; d'épées et de sabre"	"Lames"	"9"	"9"	""	9	"9"	""	""	"lames d'épées et de sabres"	"Lames ; d'épées et de sabre"	""	"lemmeten van degens en sabels"	"blades of swords and sabers"	"guilders"	1	1	0	"matched (3)"
"Lames ; de couteaux de chasse"	"Lames"	"6"	"6"	""		""	""	""	"Lames; de couteau de chasse"	"Lames ; de couteaux de chasse"	""	""	""	""	0	0	1	"matched (3)"
"Lames ; de fleuret"	"Lames"	"9"	"9"	""		""	""	""	"Lames; de fleuret"	"Lames ; de fleuret"	""	""	""	""	0	0	1	"matched (3)"
"Lames ; de sabres"	"Lames"	"9"	"9"	""		""	""	""	"Lames ; de sabre"	"Lames ; de sabres"	""	""	""	""	0	0	1	"matched (3)"
"Lampareille"	"Lampareille"	"…"	"…"	""		""	""	""	"Lampareille"	"Lampareille"	""	""	""	""	0	0	1	"matched (3)"
"Lampes"	"Lampes"	"8"	"8"	""		""	""	""	"Lampes"	"Lampes"	""	""	""	""	0	0	1	"matched (3)"
"Lampes ; de cuivre"	"Lampes"	"8"	"8"	""		""	""	""	"Lampes ; de cuivre"	"Lampes ; de cuivre"	""	""	""	""	0	0	1	"matched (3)"
"Lampes ; de fer"	"Lampes"	"8"	"8"	""		""	""	""	"Lampes ; de fer"	"Lampes ; de fer"	""	""	""	""	0	0	1	"matched (3)"
"Lampes ; de laiton"	"Lampes"	"8"	"8"	""		""	""	"..."	"Lampes de leton"	"Lampes ; de laiton"	""	""	""	""	0	0	1	"matched (3)"
"Lampes ; de verre"	"Lampes"	"8"	"8"	""		""	""	""	"Lampes ; de verre"	"Lampes ; de verre"	""	""	""	""	0	0	1	"matched (3)"
"Lamproie"	"Lamproie"	"0"	"0a"	""		""	""	"..."	"Lamproie"	"Lamproie"	""	""	""	""	0	0	1	"matched (3)"
"Langue ; de bœuf"	"Langues"	"0"	"0a"	""		""	""	""	"Langues ; de beuf"	"Langue ; de bœuf"	""	""	""	""	0	0	1	"matched (3)"
"Langue ; de bœuf et vache"	"Langues"	"0"	"0a"	"langues de boeufs"	0	"0a"	"langues de boeufs"	""	"langues de bœufs et vaches"	"Langue ; de bœuf et vache"	""	"osse- en koeietongen"	"ox and cow tongues"	"dozen"	1	1	0	"matched (3)"
"Langue ; de mouton"	"Langues"	"0"	"0a"	""	0	"0a"	""	""	"langues de moutons"	"Langue ; de mouton"	""	"schapetongen"	"sheep tongues"	"pieces"	1	0	0	"matched (3)"
"Langue ; salées"	"Langues"	"0"	"0a"	""		""	""	""	"Langues ; salées"	"Langue ; salées"	""	""	""	""	0	0	1	"matched (3)"
"Langues"	"Langues"	"0"	"0a"	""		""	""	""	"Langues"	"Langues"	""	""	""	""	0	0	1	"matched (3)"
"Langues ; salées"	"Langues"	"0"	"0a"	""		""	""	""	"Langues; de morue"	"Langues ; salées"	""	""	""	""	0	0	1	"matched (3)"
"Lanillas"	"Lanillas"	"…"	"…"	""		""	""	""	"Lanillas"	"Lanillas"	""	""	""	""	0	0	1	"matched (3)"
"Lanternes"	"Lanternes"	"8"	"8"	""	8	"8"	""	""	"Lanternes"	"Lanternes"	""	""	""	""	0	0	1	"matched (3)"
"Lapereaux"	"Lapereaux"	"0"	"0a"	""		""	""	""	"lapereaux"	"Lapereaux"	""	""	""	""	0	0	0	"matched (3)"
"Lapin"	"Lapin"	"0"	"0a"	""	0	"0a"	""	""	"Lapins"	"Lapin"	""	""	""	""	0	0	1	"matched (3)"
"Lapis ; lazule"	"Lapis ; lazule"	"2"	"2"	""		""	""	"..."	"Lapis lazuli"	"Lapis ; lazule"	""	""	""	""	0	0	1	"matched (3)"
"Laque ; en bois"	"Laque ; en bois"	"5"	"5"	""		""	""	""	"Lacque; en bois"	"Laque ; en bois"	""	""	""	""	0	0	1	"matched (3)"
"Laque ; ronde"	"Laque ; ronde"	"5"	"5"	""		""	""	""	"Lacques ; ronde"	"Laque ; ronde"	""	""	""	""	0	0	1	"matched (3)"
"Laque ; de Florence"	"Laque ; de Florence"	"5"	"5"	""	5	"5"	""	""	"lac commun"	"Laque ; de Florence"	""	"kleurstoffen (gewone lak (rood))"	"regular lac"	"pounds"	1	1	0	"matched (3)"
"Lard"	"Lard"	"0"	"0a"	""		""	""	""	"Lard"	"Lard"	""	""	""	""	0	0	1	"matched (3)"
"Larque place"	"Larque place"	"…"	"…"	""		""	""	""	"Larque place"	"Larque place"	""	""	""	""	0	0	1	"matched (3)"
"Lattes"	"Lattes"	"2"	"2"	""		""	""	""	"Lattes"	"Lattes"	""	""	""	""	0	0	1	"matched (3)"
"Lattes ; d'hêtre"	"Lattes ; d'hêtre"	"2"	"2"	""	2	"2"	""	""	"lattes d'hêtre"	"Lattes ; d'hêtre"	""	"latten (beuk)"	"beech slats"	"guilders"	1	0	0	"matched (3)"
"Lattes ; d'hêtre façonnées"	"Lattes ; d'hêtre façonnées"	"2"	"2"	""	2	"2"	""	""	"lattes d'hêtre façonnées"	"Lattes ; d'hêtre façonnées"	""	"latten (bewerkte beuk)"	"embellished beech slats"	"pieces"	1	0	0	"matched (3)"
"Lattes ; d'hêtre non sciées"	"Lattes ; d'hêtre non sciées"	"2"	"2"	""	2	"2"	""	""	"lattes d'hêtre non sciés"	"Lattes ; d'hêtre non sciées"	""	"latten (beukehout, niet gezaagd)"	"beech slats (not sawed)"	"charretée"	1	0	0	"matched (3)"
"Lattes ; de sapin"	"Lattes ; de sapin"	"2"	"2"	""	2	"2"	""	""	"lattes de sapin"	"Lattes ; de sapin"	""	"latten (den)"	"pine slats"	"pieces"	1	0	0	"matched (3)"
"Lattes ; dites Solververen"	"Lattes ; dites Solververen"	"2"	"2"	""		""	""	""	"lattes dittes Solderveren"	"Lattes ; dites Solververen"	""	"latten voor dakbedekkers ('solderveren')"	"slats called 'Solderveeren'"	"bundle"	1	1	0	"matched (3)"
"Lattes ; dites du Nord"	"Lattes ; dites du Nord"	"2"	"2"	""	2	"2"	""	""	"lattes dites du nord"	"Lattes ; dites du Nord"	""	"latten (du nord)"	"slats (du nord)"	"pieces"	1	0	0	"matched (3)"
"Lattes ; divers"	"Lattes ; divers"	"2"	"2"	""	2	"2"	""	""	"lattes déclarés par valeur"	"Lattes ; divers"	""	"latten (aangegeven in waarde)"	"slats in value"	"guilders"	1	0	0	"matched (3)"
"Lattes ; doubles"	"Lattes ; doubles"	"2"	"2"	""	2	"2"	""	""	"lattes doubles"	"Lattes ; doubles"	""	"latten (dubbele)"	"double slats"	"bos"	1	0	0	"matched (3)"
"Lattes ; pour couvreurs de paille et plâteurs"	"Lattes ; pour couvreurs de paille et plâteurs"	"2"	"2"	""	2	"2"	""	""	"lattes pour couvreurs de pailles et platreurs"	"Lattes ; pour couvreurs de paille et plâteurs"	""	"latten voor dakbedekkers (stro)"	"slats for straw roofing"	"bos"	1	1	0	"matched (3)"
"Lattes ; pour couvreurs de tuiles"	"Lattes ; pour couvreurs de tuiles"	"2"	"2"	""		""	""	""	"lattes pour couvreurs de tuilles"	"Lattes ; pour couvreurs de tuiles"	""	"latten voor dakbedekkers (pannen)"	"slats for roofing"	"bundle"	1	1	0	"matched (3)"
"Lattes ; pour cuves"	"Lattes ; pour cuves"	"2"	"2"	""	2	"2"	""	""	"lattes pour cuves"	"Lattes ; pour cuves"	""	"latten voor brouwkuipen"	"slats for brewing barrels"	"pieces"	1	0	0	"matched (3)"
"Lattes ; pour cuves de brassage"	"Lattes ; pour cuves de brassage"	"2"	"2"	""		""	""	""	"lattes pour cuves de brassage"	"Lattes ; pour cuves de brassage"	""	""	""	""	0	0	0	"matched (3)"
"Lattes ; sciées"	"Lattes ; sciées"	"2"	"2"	"bois scié en lattes"	2	"2"	"bois scié en lattes"	""	"lattes sciées"	"Lattes ; sciées"	""	"latten (gezaagd)"	"sawed slats"	"feet"	1	1	0	"matched (3)"
"Lattes ; sciées en planche"	"Lattes ; sciées en planche"	"2"	"2"	""	2	"2"	""	""	"lattes sciées en planches"	"Lattes ; sciées en planche"	""	"latten (gezaagde planken)"	"slats in planks"	"guilders"	1	0	0	"matched (3)"
"Laurier"	"Laurier"	"0"	"0a"	""		""	""	""	"Laurier"	"Laurier"	""	""	""	""	0	0	1	"matched (3)"
"Lauzes"	"Lauzes"	"…"	"…"	""		""	""	""	"Lozes"	"Lauzes"	""	""	""	""	0	0	1	"matched (3)"
"Lavande"	"Lavande"	"2"	"2"	""		""	""	""	"Lavance"	"Lavande"	""	""	""	""	0	0	1	"matched (3)"
"Lavande et hysope"	"Lavande et hysope"	"2"	"2"	""	5	"5"	""	""	"lavende et hysope"	"Lavande et hysope"	""	"lavendel en hysoop"	"lavender and hysoop"	"pounds"	1	0	0	"matched (3)"
"Lelarge"	"Lelarge"	"…"	"…"	""		""	""	""	"letarge"	"Lelarge"	""	"letarge"	"letarge"	"pounds"	1	0	0	"matched (3)"
"Lentilles"	"Lentilles"	"0"	"0a"	""		""	""	""	"Lentilles"	"Lentilles"	""	""	""	""	0	0	1	"matched (3)"
"Lessive ; grasse"	"Lessive ; grasse"	"5"	"5"	""		""	""	""	"Lessive ; grasse"	"Lessive ; grasse"	""	""	""	""	0	0	1	"matched (3)"
"Leviers ferrés"	"Leviers ferrés"	"…"	"…"	""		""	""	""	"Leviers ferrés"	"Leviers ferrés"	""	""	""	""	0	0	1	"matched (3)"
"Levure de bière"	"Levure de bière"	"5"	"5"	""		""	""	""	"Levure de bierre"	"Levure de bière"	""	""	""	""	0	0	1	"matched (3)"
"Librairie"	"Librairie"	"8"	"8"	""		""	""	""	"Librairie"	"Librairie"	""	""	""	""	0	0	1	"matched (3)"
"Lie d'huile"	"Lie d'huile"	"0"	"0a"	""	0	"0a"	""	""	"lie de huile"	"Lie d'huile"	""	"hef van olie"	"oil dregs"	"guilders"	1	0	0	"matched (3)"
"Lie de Vin"	"Lie de Vin"	"5"	"5"	""		""	""	"..."	"Tartre dit lie devin"	"Lie de Vin"	""	""	""	""	0	0	1	"matched (3)"
"Lie de bière"	"Lie de bière"	"5"	"5"	""	0	"0a"	""	""	"lie de bierre"	"Lie de bière"	""	"hef van het bier"	"beer dregs"	"ton"	1	0	0	"matched (3)"
"Liens ; de fil"	"Liens ; de fil"	"6"	"6a"	""		""	""	""	"Liens de fil"	"Liens ; de fil"	""	""	""	""	0	0	1	"matched (3)"
"Ligatures"	"Ligatures"	"6"	"6"	""		""	""	"..."	"ligatures"	"Ligatures"	""	"laken (verbanden)"	"ligatures"	"guilders"	1	1	0	"matched (3)"
"Lignes ; à pêcher"	"Lignes ; à pêcher"	"6"	"6"	""		""	""	""	"Lignes à pêcher"	"Lignes ; à pêcher"	""	""	""	""	0	0	1	"matched (3)"
"Lilarge"	"Lilarge"	"…"	"…"	""		""	""	""	"Lilarge"	"Lilarge"	""	""	""	""	0	0	1	"matched (3)"
"Lillas"	"Lillas"	"2"	"2"	""		""	""	""	"Lillas"	"Lillas"	""	""	""	""	0	0	1	"matched (3)"
"Limaille"	"Limaille"	"2"	"2"	""		""	""	""	"Limaille"	"Limaille"	""	""	""	""	0	0	1	"matched (3)"
"Limaille ; d'argent"	"Limaille"	"2"	"2"	""	6	"6"	""	""	"limaille d'argent"	"Limaille ; d'argent"	""	"zilvervijlsel"	"silver filings"	"guilders"	1	0	0	"matched (3)"
"Limaille ; de cuivre"	"Limaille"	"2"	"2"	""		""	""	""	"Limaille ; de cuivre"	"Limaille ; de cuivre"	""	""	""	""	0	0	1	"matched (3)"
"Limas"	"Limas"	"…"	"…"	""		""	""	""	"Limas"	"Limas"	""	""	""	""	0	0	1	"matched (3)"
"Limeneas"	"Limeneas"	"…"	"…"	""		""	""	""	"Limeneas"	"Limeneas"	""	""	""	""	0	0	1	"matched (3)"
"Limes"	"Limes"	"8"	"8"	""		""	""	""	"Limes"	"Limes"	""	""	""	""	0	0	1	"matched (3)"
"Limes ; d'acier"	"Limes"	"8"	"8"	""		""	""	""	"Limes ; d'acier"	"Limes ; d'acier"	""	""	""	""	0	0	1	"matched (3)"
"Limons ou citrons"	"Limons ou citrons"	"0"	"0a"	""	0	"0a"	""	""	"limons ou citrons"	"Limons ou citrons"	""	"limoenen of geconfijte citroenen"	"candied limes or lemons"	"ton"	1	0	0	"matched (3)"
"Limons ; salées"	"Limons ; salées"	"0"	"0a"	""	0	"0a"	""	""	"limons salés"	"Limons ; salées"	""	"limoenen (gezouten)"	"limes (salted)"	"kwarteel"	1	1	0	"matched (3)"
"Lin"	"Lin"	"2"	"2"	""		""	""	""	"1///Matières premières///Lin"	"Lin"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; ?"	"Lin"	"2"	"2"	""		""	""	""	"Lin ; ..."	"Lin ; ?"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; cru"	"Lin"	"2"	"2"	""		""	""	""	"Lin ; crü"	"Lin ; cru"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; divers"	"Lin"	"2"	"2"	""		""	""	""	"Lin divers"	"Lin ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; en bottes"	"Lin"	"2"	"2"	""		""	""	""	"Lin ; en bottes"	"Lin ; en bottes"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; en gerbe"	"Lin"	"2"	"2"	""		""	""	""	"Lin; en gerbes"	"Lin ; en gerbe"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; en gerbes"	"Lin"	"2"	"2"	""		""	""	""	"Lin ; en gerbes"	"Lin ; en gerbes"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; en masses"	"Lin"	"2"	"2"	""		""	""	""	"Lin ; en masses"	"Lin ; en masses"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; en pelottes"	"Lin"	"2"	"2"	""		""	""	""	"Lin ; en pelottes"	"Lin ; en pelottes"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; en pierres"	"Lin"	"2"	"2"	""		""	""	""	"Lin ; en pierres"	"Lin ; en pierres"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; en rames"	"Lin"	"2"	"2"	""		""	""	""	"Lin ; en rames"	"Lin ; en rames"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; peigné"	"Lin"	"2"	"2"	""		""	""	""	"Lin; peignée"	"Lin ; peigné"	""	""	""	""	0	0	1	"matched (3)"
"Lin; cru en masse"	"Lin"	"2"	"2"	""	2	"2"	""	""	"lin crû en masse"	"Lin; cru en masse"	"flax (crude)"	"vlas (ruw, in bulk of niet gekamd)"	"flax (raw, in bulk or not combed)"	"pounds"	1	1	0	"matched (3)"
"Lina"	"Lina"	"…"	"…"	""		""	""	""	"Lina"	"Lina"	""	""	""	""	0	0	1	"matched (3)"
"Linge ; de table"	"Linge"	"6"	"6"	""		""	""	""	"Linge ; de table"	"Linge ; de table"	""	""	""	""	0	0	1	"matched (3)"
"Linge ; vieux"	"Linge ; vieux"	"6"	"6"	""		""	""	""	"Linge vieux"	"Linge ; vieux"	""	""	""	""	0	0	1	"matched (3)"
"Lingerie"	"Lingerie"	"6"	"6"	""		""	""	""	"Lingerie"	"Lingerie"	""	""	""	""	0	0	1	"matched (3)"
"Lingerie ; de toile ; de lin"	"Lingerie ; de toile ; de lin"	"6"	"6a"	""		""	""	"..."	"Lingerie ; de toile de lin"	"Lingerie ; de toile ; de lin"	""	""	""	""	0	0	1	"matched (3)"
"Linge ; travaillé"	"Linge"	"6"	"6"	""	6	"6"	""	""	"linge travaillé"	"Linge ; travaillé"	""	"lijnwaad (bewerkt)"	"worked linen"	"guilders"	1	1	0	"matched (3)"
"Linnieuse"	"Linnieuse"	"..."	"..."	""		""	""	"..."	"Linnieuse"	"Linnieuse"	""	""	""	""	0	0	1	"matched (3)"
"Lin ; sec ; non roui"	"Lin"	"2"	"2"	""	2	"2"	""	""	"lin sec non roui"	"Lin ; sec ; non roui"	"flax (crude)"	"vlas (droog, niet geroot)"	"flax (dry, not retted)"	"charretée"	1	1	0	"matched (3)"
"Lin ; vert ; non battu"	"Lin"	"2"	"2"	""		""	""	""	"lin verd non battu"	"Lin ; vert ; non battu"	"flax (crude)"	"vlas (groen, niet geslagen of geroot)"	"flax (green, not beaten or retted)"	""	1	1	0	"matched (3)"
