marchandises	marchandises_normalisees_inter	marchandises_normalisees	product_prix	dutchtranslation	englishproduct	unit	alternativenames	source_rg_1774	source_rgbase	source_france	source_france_direction	source_sound	v14	v15	remarques	nbr_lignes_fr
Drap ; serge; de laine et fil	Drap ; de laine et fil ; serge	Drap ; de fil et laine ; serge						0	0	1	0					1
Drap ; serge; des prises	Drap ; Serge ; des prises	Drap ; serge ; des prises						0	0	1	0					1
Drap ; serge; drapée	Drap ; serge ; drapée	Drap ; serge ; drapée						0	0	1	0					1
Drap ; serge; forte	Drap ; serge ; forte	Drap ; serge ; forte						0	0	1	0					2
Drap ; serge; imprimée	Drap ; Serge ; imprimée	Drap ; serge ; imprimée						0	0	1	0					1
Drap ; serge; à doubler	Drap ; Serge ; à doubler	Drap ; serge ; à doubler						0	0	1	0					7
Drap ; verd	Drap ; verd	Drap ; vert						0	0	1	0					1
Drap ; à doubler	Drap ; à doubler	Drap ; à doubler						0	0	1	0					1
Drap ; écarlatte	Drap ; écarlate	Drap ; écarlate						0	0	1	0					1
Drap ;draperie; raz de maroc	Drap ; de laine ; raz de maroc	Drap ; raz ; de Maroc						0	0	1	0					3
Drap de Komrix	Drap ; de Komrix	Drap ; de Komrix										1				1
Drap de burs/frise (étoffe)	Drap ; de burs ou de frise	Drap ; de burs ou de frise										1				1
Drap de coutil	Drap ; de coutil	Drap ; de coutil										1				1
Drap goudronné	Drap ; goudronné	Drap ; goudronné										1				3
Drap grossier	Drap ; grossier	Drap ; grossier										1				1
Drape ; commune	Drap ; commune	Draps ; communs						0	0	1	0					1
Drape ; draperie ; ratine	Drap ; draperie ; ratine	Drap ; draperie ; ratine						0	0	1	0					3
Drape ; petite	Drap ; petite	Drap ; petits						0	0	1	0					1
Drapeaux	Drapeaux	Drapeaux						0	0	1	0					1
Drapeaux ; castor	Drapeaux ; castor	Drapeaux ; castor						0	0	1	0					4
Drapeaux ; my castor	Drapeaux ; mi castor	Drapeaux ; mi castor						0	0	1	0					1
Drapeaux ; my vigogne	Drapeaux ; mi vigogne	Drapeaux ; mi vigogne						0	0	1	0					2
Drapeaux ; poil et laine	Drapeaux ; poil et laine	Drapeaux ; poil et laine						0	0	1	0					1
Drapeaux ; vieux	Drapeaux ; vieux	Drapeaux ; vieux						0	0	1	0					1
Drapeaux ; vigognes	Drapeaux ; vigogne	Drapeaux ; vigogne						0	0	1	0					6
Drapeaux vieux	Drapeaux ; vieux	Drapeaux ; vieux						0	0	1	0					1
Draperie ; Silesie	Drap ; de Silésie	Drap ; de Silésie									1					1
Draperie ; calemande	Drap ; callemande	Drap ; callemande									1					1
Draperie ; commune	Drap ; commune	Draps ; communs														1
Draperie ; de Champagne	Drap ; de Champagne	Drap ; de Champagne									1					1
Draperie ; de Languedoc	Drap ; de Languedoc	Drap ; de Languedoc									1					1
Draperie ; diverse ; de laine	Drap ; de laine ; diverse	Drap ; de laine ; diverse									1					1
Draperie ; drap	Drap	Drap									1					1
Draperie ; drap ; écarlate	Drap ; écarlate	Drap ; écarlate									1					1
Draperie ; fine	Drap ; fins	Drap ; fin						0	0	1	0					1
Draperie ; ordinaire	Drap ; ordinaire	Drap ; ordinaire						0	0	1	0					1
Draperie ; petite	Drap ; petits	Drap ; petits						0	0	1	0					1
Draperie ; petite ; silezie	Drap ; de Silésie ; petit	Drap ; de Silésie ; petit									1					1
Draperie ; petitte	Drap ; petits	Drap ; petits						0	0	1	0					1
Draperie ; platine	Drap ; platine	Drap ; platine									1					2
Draperies	Drap	Draperie						0	0	0	0					1
Draperies ; ordinaire	Drap ; ordinaire	Draperie ; ordinaire						0	0	1	0					1
Draps	Drap	Drap										1				1
Draps ; Brodé ; En or et argent	Drap ; brodé ; en or et argent	Drap ; brodé ; en or et argent						0	0	1	0					1
Draps ; Brodé ; En soye	Drap ; brodé ; en soie	Drap ; brodé ; en soie						0	0	1	0					2
Draps ; Brodé en or et argent	Drap ; brodé ; en or et argent	Drap ; brodé ; en or et argent						0	0	1	0					1
Draps ; Brodés en or et argent	Drap ; brodé ; en or et argent	Drap ; brodé ; en or et argent						0	0	1	0					1
Draps ; D'Amiens	Drap ; de laine ; d'Amiens	Drap ; d'Amiens						0	0	1	0					4
Draps ; D'Elbeuf	Drap ; d'Elbeuf	Drap ; d'Elbeuf						0	0	1	0					3
Draps ; D'abbeville	Drap ; d'Abbeville	Drap ; d'Abbeville						0	0	1	0					1
Draps ; D'ableville	Drap ; d'Abbeville	Drap ; d'Abbeville						0	0	1	0					
Draps ; D'anboise	Drap ; d'Amboise	Drap ; d'Amboise						0	0	1	0					1
Draps ; D'elbeuf	Drap ; d'Elbeuf	Drap ; d'Elbeuf						0	0	1	0					2
Draps ; D'elbeuf de retour	Drap ; d'Elbeuf ; de retour	Drap ; d'Elbeuf ; de retour						0	0	1	0					1
Draps ; De Beauvaste	Drap ; de Beauvais	Drap ; de Beauvais						0	0	1	0					20
Draps ; De Bergoopseau	Drap ; de Bergoopseau	Drap ; de Bergoopseau						0	0	1	0					
Draps ; De Carcassone	Drap ; de Carcassonne	Drap ; de Carcassonne						0	0	1	0					1
Draps ; De Hille	Drap ; De Hille	Drap ; de Lille						0	0	1	0					1
Draps ; De Langue***	Drap ; de Languedoc	Drap ; de Languedoc						0	0	1	0					12
Draps ; De Louvier	Drap ; de Louviers	Drap ; de Louviers						0	0	1	0					1
Draps ; De Moucu	Drap ; de Moucu	Drap ; de Moucu						0	0	1	0					2
Draps ; De Panguede	Drap ; de Panguede	Drap ; de Panguede						0	0	1	0					
Draps ; De Sedan	Drap ; de Sedan	Drap ; de Sedan						0	0	1	0					
Draps ; De Soudrain	Drap ; de Soudrain	Drap ; de Soudrain						0	0	1	0					1
Draps ; De Souvier	Drap ; de Souvier	Drap ; de Louviers						0	0	1	0					1
Draps ; De vere	Drap ; divers	Drap ; divers						0	0	1	0					4
Draps ; Divers ; ***	Drap ; divers	Drap ; divers						0	0	1	0					1
Draps ; Divers ; Anglais	Drap ; divers ; Anglais	Drap ; divers ; Anglais						0	0	1	0					1
Draps ; Divers ; De Limbourg	Drap ; divers ; de Limbourg	Drap ; divers ; de Limbourg						0	0	1	0					1
Draps ; Divers ; De laine	Drap ; divers ; de laine	Drap ; divers ; de laine						0	0	1	0					2
Draps ; Divers ; Draperie	Drap ; divers ; draperie	Drap ; draperie ; divers						0	0	1	0					2
Draps ; Divers ; Ecarlate	Drap ; divers ; écarlate	Drap ; divers ; écarlate						0	0	1	0					1
Draps ; Divers ; Ecarlette	Drap ; divers ; écarlate	Drap ; divers ; écarlate						0	0	1	0					2
Draps ; Divers ; Fins	Drap ; divers ; fin	Drap ; divers ; fin						0	0	1	0					5
Draps ; Draperie petite ; De Languedoc	Drap ; draperie ; petite ; de Languedoc	Drap ; draperie ; petite ; de Languedoc						0	0	1	0					1
Draps ; Draperie petite ; De Sedan	Drap ; draperie ; petite ; de Sedan	Drap ; draperie ; petite ; de Sedan						0	0	1	0					6
Draps ; Draperie petite ; De Silésie	Drap ; draperie ; petite ; de Silésie	Drap ; draperie ; petite ; de Silésie						0	0	1	0					5
Draps ; Draperie petite ; De mains	Drap ; draperie ; petite ; de mains	Drap ; draperie ; petite ; de mains						0	0	1	0					3
Draps ; Draperie petite ; Divers	Drap ; draperie ; petite ; divers	Drap ; draperie ; petite ; divers						0	0	1	0					1
Draps ; Draperie petite ; Diverses	Drap ; draperie ; petite ; divers	Drap ; draperie ; petite ; divers						0	0	1	0					1
Draps ; Draperie petite ; Du Maroc	Drap ; draperie ; petite ; du Maroc	Drap ; draperie ; petite ; du Maroc						0	0	1	0					6
Draps ; Fins	Drap ; fin	Drap ; fin						0	0	1	0					8
Draps ; Londrin	Drap ; Londrin	Drap ; londrin						0	0	1	0					19
Draps ; Natives ; Divers	Drap ; natives ; divers	Drap ; natives ; divers						0	0	1	0					7
Draps ; Naturels ; Commune	Drap ; naturels ; commune	Drap ; naturels ; commune						0	0	1	0					5
Draps ; Naturels ; De Sedan	Drap ; naturels ; de Sedan	Drap ; naturels ; de Sedan						0	0	1	0					11
Draps ; Naturels ; Diverses	Drap ; naturels ; diverses	Drap ; naturels ; diverses						0	0	1	0					4
Draps ; Naturels ; Sirre	Drap ; naturels ; Sirre	Drap ; naturels ; Sirre						0	0	1	0					1
Draps ; Poudrin	Drap ; Poudrin	Drap ; Poudrin						0	0	1	0					17
Draps ; Ratines diverses	Drap ; ratines ; diverses	Drap ; ratines ; diverses						0	0	1	0					6
Draps ; Reims	Drap ; de Reims	Drap ; de Reims									1					19
Draps ; au 6è de soye	Drap ; au 6e de soie	Drap ; au 6e de soie									1					1
Draps ; d'Elbeuf	Drap ; d'Elbeuf	Drap ; d'Elbeuf						0	0	1	0					1
Draps ; d'andelis	Drap ; d'Andelis	Drap ; d'Andelis						0	0	1	0					2
Draps ; d'arnetal	Drap ; d'Arnetal	Drap ; d'Arnetal						0	0	1	0					2
Draps ; d'aucrin	Drap ; d'aucrin	Drap ; d'aucrin									1					1
Draps ; de Beauvais	Drap ; de Beauvais	Drap ; de Beauvais						0	0	1	0					1
Draps ; de Carcassonne	Drap ; de Carcassonne	Drap ; de Carcassonne						0	0	1	0					4
Draps ; de France	Drap ; de France	Drap ; de France						0	0	1	0					1
Draps ; de Languedoc	Drap ; de Languedoc	Drap ; de Languedoc						0	0	1	0					1
Draps ; de Latte	Drap ; de Latte	Drap ; de Latte									1					2
Draps ; de Lille	Drap ; de Lille	Drap ; de Lille						0	0	1	0					1
Draps ; de Limoux	Drap ; de Limoux	Drap ; de Limoux						0	0	1	0					2
Draps ; de Louvier	Drap ; de Louviers	Drap ; de Louviers									1					19
Draps ; de Louviers	Drap ; de Louviers	Drap ; de Louviers						0	0	1	0					
Draps ; de Montagne	Drap ; de Montagne	Drap ; de Montagne						0	0	1	0					1
Draps ; de Montauban	Drap ; de Montauban	Drap ; de Montauban						0	0	1	0					2
Draps ; de Rouen	Drap ; de Rouen	Drap ; de Rouen									1					
Draps ; de Sedan	Drap ; de Sedan	Drap ; de Sedan						0	0	1	0					2
Draps ; de Segovie	Drap ; de Ségovie	Drap ; de Ségovie						0	0	1	0					
Draps ; de Silesie	Drap ; de Silésie	Drap ; de Silésie						0	0	1	0					1
Draps ; de Varobais	Drap ; de Van Robais	Drap ; de Van Robais						0	0	1	0					1
Draps ; de castor	Drap ; de castor	Drap ; de castor						0	0	1	0					4
Draps ; de laine	Drap ; de laine	Drap ; de laine						0	0	1	0					2
Draps ; de lin	Drap ; de lin	Drap ; de lin						0	0	1	0					3
Draps ; de lit	Drap ; de lin	Drap ; de lin						0	0	1	0					1
Draps ; de sédan de retour	Drap ; de Sedan ; de retour	Drap ; de Sedan ; de retour						0	0	1	0					2
Draps ; devir	Drap ; divers	Drap ; divers						0	0	1	0					3
Draps ; divers	Drap ; divers	Drap ; divers									1					3
Draps ; draperie ; d'Amiens	Drap ; draperie ; d'Amiens	Drap ; draperie ; d'Amiens						0	0	1	0					10
Draps ; draperie ; d'aufine	Drap ; draperie ; d'aufine	Drap ; draperie ; d'aufine						0	0	1	0					1
Draps ; draperie ; de Languedoc	Drap ; draperie ; de Languedoc	Drap ; draperie ; de Languedoc						0	0	1	0					1
Draps ; draperie ; de Montauban	Drap ; draperie ; de Montauban	Drap ; draperie ; de Montauban						0	0	1	0					1
Draps ; draperie ; fine	Drap ; draperie ; fine	Drap ; draperie ; fine						0	0	1	0					2
Draps ; draperie ; ordinaire	Drap ; draperie ; ordinaire	Drap ; draperie ; ordinaire						0	0	1	0					1
Draps ; draperie ; petite	Drap ; draperie ; petite	Drap ; draperie ; petite						0	0	1	0					1
Draps ; droguet ; de laine	Drap ; droguet ; de laine	Drap ; droguet ; de laine						0	0	1	0					4
Draps ; droguet ; de milan	Drap ; droguet ; de milan	Drap ; droguet ; de milan						0	0	1	0					4
Draps ; droguet ; fil a laine	Drap ; droguet ; fil a laine	Drap ; droguet ; fil a laine						0	0	1	0					6
Draps ; droguet; d'hollande	Drap ; droguet ; d'Hollande	Drap ; droguet ; de Hollande						0	0	1	0					70
Draps ; droguet; decastor	Drap ; droguet ; de castor	Drap ; droguet ; de castor						0	0	1	0					4
Draps ; droguet; delaine	Drap ; droguet ; de laine	Drap ; droguet ; de laine						0	0	1	0					4
Draps ; droguet; fil a laine	Drap ; droguet ; de fil et laine	Drap ; droguet ; de fil et laine						0	0	1	0					1
Draps ; fins	Drap ; fin	Drap ; fin						0	0	1	0					1
Draps ; palencourt	Drap ; palencourt	Drap ; palencourt									1					6
Draps ; raz ; de castor	Drap ; raz ; de castor	Drap ; raz ; de castor						0	0	1	0					5
Draps ; raz ; de maroc	Drap ; raz ; de Maroc	Drap ; raz ; de Maroc						0	0	1	0					21
Draps ; raz ; des Lo	Drap ; raz ; des Lo	Drap ; raz ; des Lo						0	0	1	0					1
Draps ; salesie	Drap ; de Silésie	Drap ; de Silésie									1					1
Draps ; serge ; d'aumale	Drap ; serge ; d'aumale	Drap ; serge ; d'aumale						0	0	1	0					1
Draps ; serge ; de Lille	Drap ; serge ; de Lille	Drap ; serge ; de Lille						0	0	1	0					5
Draps ; serge ; de laine	Drap ; serge ; de laine	Drap ; serge ; de laine						0	0	1	0					1
Draps ; serge ; drapée	Drap ; serge ; drapée	Drap ; serge ; drapée						0	0	1	0					1
Draps ; serge ; sergette	Drap ; serge ; sergette	Drap ; serge ; sergette						0	0	1	0					3
Draps ; serge ; à doubler	Drap ; serge ; à doubler	Drap ; serge ; à doubler						0	0	1	0					14
Draps ; verd	Drap ; verd	Drap ; vert						0	0	1	0					22
Draps ; écarlatte	Drap ; écarlate	Drap ; écarlate						0	0	1	0					1
Draps ;d'hollande	Drap ; d'Hollande	Drap ; de Hollande						0	0	1	0					7
Draps de laine divers	Drap ; de laine ; diverses	Drap ; diverses						0	0	1	0					2
Draps de lin	Drap ; de laine ; diverses	Drap ; diverses						0	0	1	0					5
Draps de lit	Drap ; de lit	Drap ; de lit						0	0	1	0					2
Draps et draperies	Drap	Drap									1					68
Draps et draperies ; casinier	Drap ; casinier	Drap ; casinier									1					5
Draps et draperies ; rafiné	Drap ; rafiné	Drap ; fin									1					1
Drogue ; métalliques ; litharge	Drogues ; métalliques ; Litharge	Drogue ; Litharge														3
Drogue ; pour la peinture et la teinture ; **	Drogues ; pour la peinture et la teinture ; ?	Drogue ; pour la peinture et la teinture						0	0	1	0					1
Drogue ; pour la peinture et la teinture ; ***	Drogues ; pour la peinture et la teinture ; ?	Drogue ; pour la peinture et la teinture						0	0	1	0					2
Drogue ; pour la peinture et la teinture ; ...	Drogues ; pour la peinture et la teinture ; ?	Drogue ; pour la peinture et la teinture						0	0	1	0					3
Drogue ; pour la peinture et la teinture ; Indigo	Drogues ; pour la peinture et la teinture ; Indigo	Drogue ; pour la peinture et la teinture ; indigo						0	0	1	0					3
Drogue ; pour la peinture et la teinture ; Noix de Galles	Drogues ; pour la peinture et la teinture ; Noix de Galles	Drogue ; pour la peinture et la teinture ; noix ; de galles						0	0	1	0					2
Drogue ; pour la peinture et la teinture ; Thérébentine	Drogues ; pour la peinture et la teinture ; térébenthine	Drogue ; térébenthine ; essence et huile						0	0	1	0					34
Drogue ; pour la peinture et la teinture ; couperose	Drogues ; pour la peinture et la teinture ; Couperose	Drogue ; pour la peinture et la teinture ; couperose						0	0	1	0					4
Drogue ; pour la peinture et la teinture ; craye	Drogues ; pour la peinture et la teinture ; Craie	Craie						0	0	1	0					2
Drogue ; pour la peinture et la teinture ; curcuma	Drogues ; pour la peinture et la teinture ; Curcuma	Drogue ; pour la peinture et la teinture ; Curcuma						0	0	1	0					5
Drogue ; pour la peinture et la teinture ; garance	Drogues ; pour la peinture et la teinture ; Garance	Drogue ; pour la peinture et la teinture ; garance						0	0	1	0					7
Drogue ; pour la peinture et la teinture ; herbes à teindres	Drogues ; pour la peinture et la teinture ; Herbes à teindre	Drogue ; pour la peinture et la teinture ; herbe à teindre						0	0	1	0					2
Drogue ; pour la peinture et la teinture ; huile de térébenthine	Drogues ; pour la peinture et la teinture ; Huile de térébenthine	Drogue ; térébenthine ; huile						0	0	1	0					1
Drogue ; pour la peinture et la teinture ; jais	Drogues ; pour la peinture et la teinture ; Jais	Drogue ; pour la peinture et la teinture ; Jais						0	0	1	0					1
Drogue ; pour la peinture et la teinture ; laque	Drogues ; pour la peinture et la teinture ; Laque	Drogue ; pour la peinture et la teinture ; Laque						0	0	1	0					1
Drogue ; pour la peinture et la teinture ; mine de plomb	Drogues ; pour la peinture et la teinture ; Mine de plomb	Drogue ; pour la peinture et la teinture ; Mine de plomb						0	0	1	0					2
Drogue ; pour la peinture et la teinture ; minium	Drogues ; pour la peinture et la teinture ; Minium	Drogue ; pour la peinture et la teinture ; Minium						0	0	1	0					10
Drogue ; pour la peinture et la teinture ; noir d'Ivoire	Drogues ; pour la peinture et la teinture ; Noir d'ivoire	Drogue ; pour la peinture et la teinture ; Noir d'ivoire						0	0	1	0					2
Drogue ; pour la peinture et la teinture ; noir de fumée	Drogues ; pour la peinture et la teinture ; Noir de fumée	Drogue ; pour la peinture et la teinture ; Noir de fumée						0	0	1	0					2
Drogue ; pour la peinture et la teinture ; noix de Galles	Drogues ; pour la peinture et la teinture ; Noix de Galles	Drogue ; pour la peinture et la teinture ; noix ; de galles						0	0	1	0					34
Drogue ; pour la peinture et la teinture ; ocre	Drogues ; pour la peinture et la teinture ; Ocre	Drogue ; pour la peinture et la teinture ; ocre						0	0	1	0					
Drogue ; pour la peinture et la teinture ; orseille	Drogues ; pour la peinture et la teinture ; Orseille	Drogue ; pour la peinture et la teinture ; Orseille						0	0	1	0					
Drogue ; pour la peinture et la teinture ; pastel	Drogues ; pour la peinture et la teinture ; Pastel	Drogue ; pour la peinture et la teinture ; Pastel						0	0	1	0					236
Drogue ; pour la peinture et la teinture ; racine d'.....	Drogues ; pour la peinture et la teinture ; ?	Drogue ; pour la peinture et la teinture						0	0	1	0					
Drogue ; pour la peinture et la teinture ; racine de ...	Drogues ; pour la peinture et la teinture ; ?	Drogue ; pour la peinture et la teinture						0	0	1	0					
Drogue ; pour la peinture et la teinture ; rocou	Drogues ; pour la peinture et la teinture ; Rocou	Drogue ; pour la peinture et la teinture ; Rocou						0	0	1	0					
Drogue ; pour la peinture et la teinture ; rouge de venise	Drogues ; pour la peinture et la teinture ; Rouge de venise	Drogue ; pour la peinture et la teinture ; Rouge de venise						0	0	1	0					
Drogue ; pour la peinture et la teinture ; saffranum	Drogues ; pour la peinture et la teinture ; Saffranum	Drogue ; safran						0	0	1	0					
Drogue ; pour la peinture et la teinture ; sanguine	Drogues ; pour la peinture et la teinture ; Sanguine	Drogue ; pour la peinture et la teinture ; Sanguine						0	0	1	0					
Drogue ; pour la peinture et la teinture ; sumac	Drogues ; pour la peinture et la teinture ; Sumac	Drogue ; pour la peinture et la teinture ; Sumac						0	0	1	0					2
Drogue ; pour la peinture et la teinture ; tartre	Drogues ; pour la peinture et la teinture ; Tartre	Drogue ; pour la peinture et la teinture ; Tartre						0	0	1	0					4
Drogue ; pour la peinture et la teinture ; tournesol	Drogues ; pour la peinture et la teinture ; Tournesol	Drogue ; Tournesol						0	0	1	0					7
Drogue ; pour la peinture et la teinture ; térébenthine	Drogues ; pour la peinture et la teinture ; térébenthine	Drogue ; térébenthine ; essence et huile						0	0	1	0					5
Drogue ; pour la peinture et la teinture ; verdes	Drogues ; pour la peinture et la teinture ; Verdes	Drogue ; pour la peinture et la teinture ; Verdet						0	0	1	0					25
Drogue ; pour la peinture et la teinture ; vermillon	Drogues ; pour la peinture et la teinture ; Vermillon	Drogue ; pour la peinture et la teinture ; vermillon						0	0	1	0					56
Drogue ; pour la peinture et la teinture ; vernis	Drogues ; pour la peinture et la teinture ; Vernis	Drogue ; pour la peinture et la teinture ; Vernis						0	0	1	0					6
Drogue ; pour la peinture et la teinture ; µµµ	Drogues ; pour la peinture et la teinture ; ?	Drogue ; pour la peinture et la teinture						0	0	1	0					3
Drogue ; pour peinture et teinture ; alun	Drogue ; pour la peinture et la teinture ; alun	Drogue ; pour la peinture et la teinture ; alun														
Drogue ; pour peinture et teinture ; alun ; en dracy	Drogue ; pour la peinture et la teinture ; alun ; en dracy	Drogue ; pour la peinture et la teinture ; alun ; en dracy														1
Drogue ; pour peinture et teinture ; azur	Drogue ; pour la peinture et la teinture ; azur	Drogue ; pour la peinture et la teinture ; azur														1
Drogue ; pour peinture et teinture ; blanc	Drogue ; pour la peinture et la teinture ; blanc	Drogue ; pour la peinture et la teinture ; blanc														1
Drogue ; pour peinture et teinture ; bleu ; en pierres	Drogue ; pour la peinture et la teinture ; bleu ; en pierres	Drogue ; pour la peinture et la teinture ; bleu ; en pierres														5
Drogue ; pour peinture et teinture ; borax ; raffiné	Drogue ; pour la peinture et la teinture ; borax ; raffiné	Drogue ; pour la peinture et la teinture ; borax ; raffiné														6
Drogue ; pour peinture et teinture ; brun ; rouge	Drogue ; pour la peinture et la teinture ; brun ; rouge	Drogue ; pour la peinture et la teinture ; Brun rouge														2
Drogue ; pour peinture et teinture ; couleur et huile	Drogue ; pour la peinture et la teinture ; couleur et huile	Drogue ; pour la peinture et la teinture ; couleur et huile														1
Drogue ; pour peinture et teinture ; couperose	Drogue ; pour la peinture et la teinture ; couperose	Drogue ; pour la peinture et la teinture ; couperose														18
Drogue ; pour peinture et teinture ; céruse	Drogue ; pour la peinture et la teinture ; céruse	Drogue ; pour la peinture et la teinture ; céruse														1
Drogue ; pour peinture et teinture ; garance	Drogue ; pour la peinture et la teinture ; garance	Drogue ; pour la peinture et la teinture ; garance														22
Drogue ; pour peinture et teinture ; indigo	Drogue ; pour la peinture et la teinture ; indigo	Drogue ; pour la peinture et la teinture ; indigo														4
Drogue ; pour peinture et teinture ; mastie	Drogue ; pour la peinture et la teinture ; mastie	Drogue ; pour la peinture et la teinture ; mastie														6
Drogue ; pour peinture et teinture ; mine ; de plomb	Drogue ; pour la peinture et la teinture ; mine ; de plomb	Drogue ; pour la peinture et la teinture ; Mine de plomb														5
Drogue ; pour peinture et teinture ; noix ; de galles	Drogue ; pour la peinture et la teinture ; noix ; de galles	Drogue ; pour la peinture et la teinture ; noix ; de galles														3
Drogue ; pour peinture et teinture ; orbe	Drogue ; pour la peinture et la teinture ; orbe	Drogue ; pour la peinture et la teinture ; orbe														1
Drogue ; pour peinture et teinture ; peinture	Drogue ; pour la peinture et la teinture ; peinture	Drogue ; pour la peinture et la teinture														4
Drogue ; pour peinture et teinture ; perle ; bleue	Drogue ; pour la peinture et la teinture ; perle ; bleue	Drogue ; pour la peinture et la teinture ; perle ; bleue														1
Drogue ; pour peinture et teinture ; semence	Drogue ; pour la peinture et la teinture ; semence	Drogue ; pour la peinture et la teinture ; semence														2
Drogue ; pour peinture et teinture ; teinture	Drogue ; pour la peinture et la teinture ; teinture	Drogue ; pour la peinture et la teinture														1
Drogue ; pour peinture et teinture ; tournesol et d'acmail	Drogue ; pour la peinture et la teinture ; tournesol et d'acmail	Drogue ; pour la peinture et la teinture ; tournesol et d'acmail														9
Drogue ; pour peinture et teinture ; vermillon	Drogue ; pour la peinture et la teinture ; vermillon	Drogue ; pour la peinture et la teinture ; vermillon														5
Drogue ; pour peinture et teinture ; vers ; de gris	Drogue ; pour la peinture et la teinture ; vers ; de gris	Drogue ; pour la peinture et la teinture ; vers ; de gris														4
Drogue ; pour peinture et teinture ; vitriol ; de Chypre	Drogue ; pour la peinture et la teinture ; vitriol ; de Chypre	Drogue ; pour la peinture et la teinture ; vitriol ; de Chypre														6
Droguerie	Drogues	Drogue						0	0	1	0					1
Drogueries	Drogues	Drogue						0	0	1	0					1
Drogueries ; diverses	Drogues	Drogue														1
Drogues ; ?	Drogues	Drogue									1					14
Drogues ; Chimiques ; Diverses	Drogues ; chimiques ; Diverses	Drogue ; chimique ; Diverses						0	0	1	0					2
Drogues ; Chimiques ; Eau forte	Drogues ; chimiques ; Eau forte	Drogue ; chimique ; Eau forte						0	0	1	0					2
Drogues ; Chimiques ; Esprit de sel	Drogues ; chimiques ; Esprit de sel	Drogue ; chimique ; Esprit de sel						0	0	1	0					13
Drogues ; Chimiques ; Esprit de vice	Drogues ; chimiques ; Esprit de vice	Drogue ; chimique ; Esprit de vice						0	0	1	0					1
Drogues ; Chimiques ; Sel ammoniac	Drogues ; chimiques ; Sel ammoniac	Drogue ; chimique ; sel ammoniac						0	0	1	0					9
Drogues ; Chimiques ; Sel d'epsum	Drogues ; chimiques ; Sel d'epsum	Drogue ; chimique ; Sel d'epsum						0	0	1	0					13
Drogues ; Chimiques ; Sel de fat***	Drogues ; chimiques ; ?	Drogue ; chimique ; ?						0	0	1	0					9
Drogues ; Chimiques ; Sel de globerts	Drogues ; chimiques ; Sel de Globert	Drogue ; chimique ; Sel de Globert						0	0	1	0					1
Drogues ; Chimiques ; Sel de paume	Drogues ; chimiques ; Sel de paume	Drogue ; chimique ; Sel de paume						0	0	1	0					1
Drogues ; Chimiques ; Sel de plomb	Drogues ; chimiques ; Sel de plomb	Drogue ; chimique ; Sel de plomb						0	0	1	0					1
Drogues ; Chimiques ; Sel de potasse	Drogues ; chimiques ; Sel de potasse	Drogue ; chimique ; Sel de potasse						0	0	1	0					2
Drogues ; Chimiques ; Sel de tamarin	Drogues ; chimiques ; Sel de tamarin	Drogue ; chimique ; Sel de tamarin						0	0	1	0					2
Drogues ; Chimiques ; Sel gem	Drogues ; chimiques ; Sel gemme	Drogue ; chimique ; Sel gemme						0	0	1	0					2
Drogues ; Chimiques ; Sel saturne	Drogues ; chimiques ; Sel saturne	Drogue ; chimique ; Sel saturne						0	0	1	0					2
Drogues ; Chimiques ; Sel sublimé	Drogues ; chimiques ; Sel sublimé	Drogue ; chimique ; Sel sublimé						0	0	1	0					2
Drogues ; Chimiques ; Sels ammoniac	Drogues ; chimiques ; Sel ammoniac	Drogue ; chimique ; sel ammoniac						0	0	1	0					2
Drogues ; Chimiques ; Sels divers	Drogues ; chimiques ; Sel divers	Drogue ; chimique ; Sel divers						0	0	1	0					1
Drogues ; Chimiques ; Sublimé	Drogues ; chimiques ; Sublimé	Drogue ; chimique ; Sublimé						0	0	1	0					2
Drogues ; Composées pour la medecine ; Beaume du Perou	Drogues ; composées pour la médecine ; Beaume du Pérou	Drogue ; médicinale ; Beaume du Pérou						0	0	1	0					1
Drogues ; Composées pour la medecine ; Benjoin	Drogues ; composées pour la médecine ; Benjoin	Drogue ; médicinale ; Benjoin						0	0	1	0					4
Drogues ; Composées pour la medecine ; Cantharides	Drogues ; composées pour la médecine ; Cantharides	Drogue ; médicinale ; Cantharides						0	0	1	0					1
Drogues ; Composées pour la medecine ; Canyolore	Drogues ; composées pour la médecine ; Canyolore	Drogue ; médicinale ; Canyolore						0	0	1	0					2
Drogues ; Composées pour la medecine ; Canéfice	Drogues ; composées pour la médecine ; Canéfice	Drogue ; médicinale ; Canéfice						0	0	1	0					
Drogues ; Composées pour la medecine ; Castoreune du ***	Drogues ; composées pour la médecine ; ?	Drogue ; médicinale						0	0	1	0					10
Drogues ; Composées pour la medecine ; Creme à tartre	Drogues ; composées pour la médecine ; Crème à tartre	Drogue ; médicinale ; crème de tartre						0	0	1	0					
Drogues ; Composées pour la medecine ; Diverses	Drogues ; composées pour la médecine ; Diverses	Drogue ; médicinale ; Diverses						0	0	1	0					
Drogues ; Composées pour ma médecine ; Aloès	Drogues ; composées pour la médecine ; Aloès	Drogue ; médicinale ; aloès						0	0	1	0					1
Drogues ; Composées pour ma médecine ; Benjoin	Drogues ; composées pour la médecine ; Benjoin	Drogue ; médicinale ; Benjoin						0	0	1	0					1
Drogues ; Composées pour ma médecine ; Camphre	Drogues ; composées pour la médecine ; Camphre	Drogue ; médicinale ; Camphre						0	0	1	0					1
