marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	nbr_lignes_fr_bis
Cuirs ; pour soufflets	Cuirs	6	6		6	6	1
Cuirs ; rouge		6	6				1
Cuirs ; salés ; divers	Cuirs ; salés	6	6				1
Cuirs ; salés à poil	Cuirs ; salés à poil	2	2		6	6	19
Cuirs ; séché		6	6				2
Cuirs ; secs ; en poil		2	2				3
Cuirs ; secs à poil	Cuirs ; secs à poil	2	2		6	6	2
Cuirs ; secs et salé	Cuirs ; secs et salé	6	6		6	6	2
Cuirs ; tannés	Cuirs ; tannés	6	6				12
Cuirs ; tannés ; divers	Cuirs ; tannés	6	6				4
Cuirs ; tannés pour empeignes	Cuirs ; tannés	6	6	cuirs d''empeigne	6	6	3
Cuirs ; tannés pour semelles	Cuirs ; tannés	6	6		6	6	1
Cuirs et peaux		2	2				17
Cuisses	Cuisses	0	0a				2
Cuisses ; d'oie	Cuisses	0	0a				32
Cuisses ; d'oie en adobe	Cuisses	0	0a		0	0a	6
Cuivre	Cuivre ; en serrures	6	6				38
Cuivre ; ?	Cuivre	6	6				2
Cuivre ; à chaudrons		6	6				2
Cuivre ; à cloche		6	6				8
Cuivre ; à couverture		6	6				1
Cuivre ; brun	Cuivre	6	6				1
Cuivre ; brut	Cuivre	6	6				12
Cuivre ; crû	Cuivre ; crû	6	6		2	2	3
Cuivre ; crû en bloc	Cuivre ; crû	6	6		6	6	2
Cuivre ; cru en masse	Cuivre ; crû	6	6		6	6	6
Cuivre ; crü ou en pLatte		6	6				5
Cuivre ; crü ou en plattes	Cuivre ; crû	6	6		6	6	
Cuivre ; de fourrure	Cuivre ; crû	6	6				1
Cuivre ; de Hongrie		6	6				1
Cuivre ; de Namur	Cuivre	6	6		6	6	4
Cuivre ; dite potin	Cuivre	6	6				6
Cuivre ; divers	Cuivre	6	6				14
Cuivre ; doré	Cuivre	6	6				5
Cuivre ; en acume	Cuivre	6	6				1
Cuivre ; en barres		6	6				1
Cuivre ; en cachets	Cuivre	6	6				4
Cuivre ; en chaudrons		6	6				13
Cuivre ; en clochette	Cuivre	6	6				8
Cuivre ; en coupe	Cuivre	6	6				1
Cuivre ; en feuilles	Cuivre	6	6				44
Cuivre ; en fonds		6	6				24
Cuivre ; en fonds de chaudrons		6	6				3
Cuivre ; en fonos	Cuivre	6	6				
Cuivre ; en fourrure	Cuivre	6	6				20
Cuivre ; en fourrure et Rozette	Cuivre	6	6				10
Cuivre ; en grelots	Cuivre	6	6				6
Cuivre ; en lames	Cuivre	6	6				3
Cuivre ; en limaille	Cuivre	2	2				1
Cuivre ; en lingot		6	6				2
Cuivre ; en masse	Cuivre	6	6		6	6	1
Cuivre ; en mitraille	Cuivre	2	2				9
Cuivre ; en planches	Cuivre	6	6				8
Cuivre ; en planches ; gravées		7	7				0
Cuivre ; en plaques	Cuivre	6	6				8
Cuivre ; en plateaux		6	6				1
Cuivre ; en plates	Cuivre	6	6				2
Cuivre ; en platines	Cuivre	6	6				13
Cuivre ; en pLatte		6	6				8
Cuivre ; en plattes	Cuivre	6	6		6	6	
Cuivre ; en potasse		6	6				1
Cuivre ; en poterie		6	6				2
Cuivre ; en rosette	Cuivre	6	6				5
Cuivre ; en rouleau	Cuivre	6	6				6
Cuivre ; en serrures		6	6				13
Cuivre ; en toupe	Cuivre	6	6				2
Cuivre ; fine		6	6				1
Cuivre ; forgé	Cuivre	6	6				1
Cuivre ; fumée		6	6				2
Cuivre ; jaune	Cuivre	6	6				24
Cuivre ; jaune avec calamine	Cuivre	6	6		6	6	4
Cuivre ; jaune en bloc	Cuivre	6	6		6	6	5
Cuivre ; jaune en cloux	Cuivre	6	6		6	6	1
Cuivre ; jaune en pLatte		6	6				1
Cuivre ; jaune en plattes	Cuivre	6	6		6	6	
Cuivre ; jaune et rouge	Cuivre	6	6				7
Cuivre ; jaune fondu	Cuivre	6	6	cuivre jaune coulé	6	6	1
Cuivre ; jaune ouvré	Cuivre ; ouvré	6	6		6	6	1
Cuivre ; laminé	Cuivre	6	6				8
Cuivre ; ouvré	Cuivre ; ouvré	6	6				3
Cuivre ; plaques ; gravées et ciselées	Cuivre	6	6		6	6	10
Cuivre ; potier		6	6				1
Cuivre ; potin		6	6				1
Cuivre ; potin ; gris		6	6				8
Cuivre ; rouge	Cuivre	6	6				3
Cuivre ; rouge crü ou en blocs, pour Namur	Cuivre ; crû	6	6				2
Cuivre ; rouge en chaudrons	Cuivre	6	6		6	6	2
Cuivre ; rouge en masse pour être raffiner	Cuivre	6	6		6	6	16
Cuivre ; rouge en pLatte		6	6				12
Cuivre ; rouge en plattes	Cuivre	6	6		6	6	
Cuivre ; rouge ouvré	Cuivre ; ouvré	6	6		6	6	
Cuivre ; satin		6	6				1
Cuivre ; tangoul	Cuivre	6	6				19
Cuivre ; vieux	Cuivre ; vieux	6	6				3
Cuivre ; vieux et en mitraille	Cuivre ; vieux	2	2				8
Cuivre dit laiton ; en feuilles		6	6				3
Cuivre, bronze et laiton	Cuivre, bronze et laiton	6	6				64
Cuivrerie		6	6				3
Culottes	Culottes	8	8				5
Culottes ; de peau	Culottes	8	8		8	8	2
Culottes ; de toile		8	8				16
Culottes ; tricot		8	8				1
Culs ; d'artichauts	Artichauts	0	0a				9
Cumin	Cumin	0	0b				12
Curcuma	Curcuma	0	0b		5	5	31
Curlas	Curlas	…	…				10
Cuscutes luzerne		0	0a				1
Cuve	Cuve	6	6				2
Cuvier	Cuvier	6	6				2
Cuviers ; de terre	Cuvier	6	6				11
Cylindre	Cylindre	7	7				1
Cylindres ; en cuivre		7	7				1
Dais ; pour Eglise	Dais	6	6				
Dais ; pour église		6	6				2
Dalles ; en céramique dure		6	6				1
Damas	Étoffe ; de soie	6	6c				3
Damas ; à frange ; d'argent	Étoffe ; de soie	6	6c				1
Damassé de laine		6	6b				1
Dame-jeanne	Dame-jeanne	6	6	Bonbonne de verre ou de grès			12
Daœs ; pour Eglise	Daœs ; pour Eglise	…	…				
Darins	Darins	…	…				63
Dattes	Dattes	0	0a		0	0a	248
Dattes et pistaches	Dattes et pistaches	0	0a		0	0a	2
Dauphine	Drap	6	6b	« Dauphine : Espece de petit droguet très-léger, tout de laine , non croisé, imperceptiblement jaspé de diverses couleurs... Les Dauphines se font à Reims » (Savary)			
debris de vaisseaux et vieux Ouvrage de charpente		2	2				6
Debris de vaisseaux et vieux ouvrages de charpente	Debris de vaisseaux et vieux ouvrages de charpente	2	2		2	2	
Déchets de pierre	Déchets de pierre	2	2				
Décorations ; pour carosses	Décorations ; pour carosses	7	7				3
Degras	Degras	4	4				
degras		4	4				4
Degras ; ?	Degras	4	4				
degras ; ?		4	4				2
Degras ; de peau	Degras	4	4				
degras ; de peau		4	4				12
Dégrau	Dégrau	…	…				5
Demille	Demille	…	…				
demille		…	…				5
Demitte	Demitte	6	6d	Demite ou Demitte : c'est une des deux espèces de toiles de coton qui se sabriquent à Me- nemen & à Scio. Elle diffère de l'escamitte , qui est l'autre espèce de toile , en ce que celle-ci est simple & que là demite est croisée. Ces toiles nous			
demitte		…	…				3
demoiselles		6	6				1
Demoiselles	Demoiselles	…	…				
denrées alimentaires		0	0a				1
Dentelle	Dentelle	6	6a				
dentelle		6	6a				66
Dentelle ; à peu de soie	Dentelle	6	6a				
dentelle ; à peu de soie		6	6a				5
Dentelle ; commune	Dentelle	6	6a				
dentelle ; commune		6	6a				29
Dentelle ; d'argent	Dentelle	6	6				
dentelle ; d'argent		6	6				11
Dentelle ; d'argent ; faux	Dentelle	6	6				
dentelle ; d'argent ; faux		6	6				1
Dentelle ; d'argent ; fin	Dentelle	6	6				
dentelle ; d'argent ; fin		6	6				1
Dentelle ; d'or	Dentelle	6	6				
dentelle ; d'or		6	6				25
Dentelle ; d'or ; faux	Dentelle	6	6				
dentelle ; d'or ; faux		6	6				22
Dentelle ; d'or ; fin	Dentelle	6	6				
dentelle ; d'or ; fin		6	6				18
Dentelle ; d'or et d'argent	Dentelle	6	6				
dentelle ; d'or et d'argent		6	6				28
Dentelle ; d'or et d'argent ; faux	Dentelle	6	6		6	6	
dentelle ; d'or et d'argent ; faux		6	6				1
Dentelle ; d'or et d'argent ; fin	Dentelle	6	6				
dentelle ; d'or et d'argent ; fin		6	6				5
Dentelle ; de fil	Dentelle	6	6a				
dentelle ; de fil		6	6a				10
Dentelle ; de fil ; blanc	Dentelle	6	6a				
dentelle ; de fil ; blanc		6	6a				24
dentelle ; de fil ; blanc ; commune		6	6a				3
Dentelle ; de fil ; commune	Dentelle	6	6a				
dentelle ; de fil ; commune		6	6a				15
Dentelle ; de fil ; d'Alençon	Dentelle	6	6a				
dentelle ; de fil ; d'Alençon		6	6a				7
Dentelle ; de fil ; de Bergame	Dentelle	6	6a				
dentelle ; de fil ; de Bergame		6	6a				2
Dentelle ; de fil ; de Caen	Dentelle	6	6a				
dentelle ; de fil ; de Caen		6	6a				20
Dentelle ; de fil ; de crin	Dentelle	6	6a				
dentelle ; de fil ; de crin		6	6b				1
Dentelle ; de fil ; de Flandre	Dentelle	6	6a				
dentelle ; de fil ; de Flandre		6	6a				7
Dentelle ; de fil ; de lin	Dentelle	6	6a				
dentelle ; de fil ; de lin		6	6a				1
Dentelle ; de fil ; de Normandie	Dentelle	6	6a				
dentelle ; de fil ; de Normandie		6	6a				1
Dentelle ; de fil ; du Puy	Dentelle	6	6a				
dentelle ; de fil ; du Puy		6	6a				30
Dentelle ; de fil ; fine	Dentelle	6	6a				
dentelle ; de fil ; fine		6	6a				14
Dentelle ; de fil ; grosse	Dentelle	6	6a				
dentelle ; de fil ; grosse		6	6a				17
Dentelle ; de fil et soie	Dentelle	6	6				
dentelle ; de fil et soie		6	6a				38
Dentelle ; de malines	Dentelle	6	6a				
dentelle ; de malines		6	6a				2
Dentelle ; de normandie	Dentelle	6	6a				
dentelle ; de normandie		6	6a				2
Dentelle ; de soie	Dentelle	6	6c				
dentelle ; de soie		6	6c				6
dentelle ; de soie ; blanche		6	6c				1
dentelle ; de soie ; blonde		6	6c				5
Dentelle ; de soie et blondes	Dentelle	6	6c	dentelle et blonde de soye	6	6c	
dentelle ; de soie et blondes		6	6c				1
Dentelle ; diverse	Dentelle	6	6a				
dentelle ; diverse		6	6a				1
Dentelle ; du Puy	Dentelle	6	6a				
dentelle ; du Puy		6	6a				1
Dentelle ; en dorure	Dentelle	6	6a				
dentelle ; en dorure		6	6				4
Dentelle ; fine	Dentelle	6	6a				
dentelle ; fine		6	6a				7
Dentelle ; grosse	Dentelle	6	6a				
dentelle ; grosse		6	6a				2
Dentelle ; mi soie	Dentelle	6	6c				
dentelle ; mi soie		6	6c				1
Dents ; d'éléphant	Ivoire	2	2				
dents ; d'éléphant		2	2				28
Dents ; de cheval ; marin	Ivoire	2	2				
dents ; de cheval ; marin		2	2				9
Dents ; de morphil	Ivoire	2	2				
dents ; de morphil		2	2				12
Dents ; de vache marine	Ivoire	2	2				
dents ; de vache marine		2	2				1
Derle	Derle	2	2		2	2	
derle		…	…				1
Dés	Dés	6	6				2
Dés ; à coudre	Dés	6	6				13
Dés ; à jouer	Dés	8	8				12
Dés ; de cuivre	Dés	6	6				2
Dés ; de fer	Dés	6	6				1
Dés ; de laiton	Dés	6	6				7
Desseins de papier	Desseins de papier	8	8		8	8	
desseins de papier		8	8				1
Devants de vestes	Devants de vestes	8	8	devants de veste de trippe	8	8	
devants de vestes		8	8				8
Dévidoirs	Dévidoirs	…	…				1
Diamants fins	Diamants fins	6	6				18
Dictamus	Dictamus	…	…				6
Dimelle	Dimelle	…	…				12
Dimit	Dimit	6	6		6	6	3
Dindes	Dindes	0	0a		0	0a	1
Dindons	Dindons	0	0a				3
Dioxide de plomb		5	5				1
Disques de charrue en fer		7	7				2
Dissouchaye	Dissouchaye	…	…				10
Ditors	Ditors	…	…				1
Divers		…	…				13
Divers ; D'une valeur moindre de 2000 francs chacun	Divers	…	…				
Divers ; d'une valeur moindre de 2000 francs chacun	Divers	…	…				
Divers gros et menus Ouvrage de bois		6	6				1
Divers gros et menus ouvrages de bois	Bois ; ouvré	6	6		6	6	
Domino	Domino	8	8				1
Dominoterie	Dominoterie	8	8				9
Dominoterie ; en images		8	8				4
Dominoterie et cartes géographiques		8	8				9
Doréas	Doréas	…	…				7
Dorure ; fausse	Dorure	8	8				3
Dorure ; fausse ; ?		8	8				4
Dorure ; fine	Dorure	8	8				54
Dorure ; fine ; en galon ; d'or		8	8				11
Dospin ; en pierre	Dospin ; en pierre	…	…				4
Dossiers ; de chaises	Dossiers ; de chaises	8	8				8
Doublures de martre pour Habit		6	6				2
Doublures de martre pour habits	Doublures de martre pour habits	6	6		6	6	
Douelles	Douelles	6	6		6	6a	12
Douelles ; à barriques	Douelles	6	6				20
Douelles ; à fonds	Douelles	6	6				2
Douelles ; à Pipe		6	6				5
Douelles ; à pipes	Douelles	6	6				
Douelles ; à quartz	Douelles	6	6				7
Douelles ; à tonneaux	Douelles	6	6				13
Douelles ; de sapin	Douelles	6	6				4
Douelles ; fonçaille	Douelles	6	6				21
Douvain		2	2	Bois pour faire des douves			11
Douves		6	6				2
Douves ; de deux pouces	Douves ; de deux pouces	6	6		6	6	4
Douves ; en bois pour teinture en cuve		6	6				2
Douves ; pour pipe		6	6				1
Douzaines de ?		…	…				1
Draches	Draches	0	0a				9
Draches ; de bierre		0	0a				4
Dragées	Dragées	0	0a				6
Dragonnes	Dragonnes	9	9		9	9	12
Dragonnes ; d'épées	Dragonnes	9	9				5
Drague ; de bière		0	0a				31
Drap	Drap	6	6b				83
Drap ; ?	Drap	6	6b				1
Drap ; à doubler	Drap	6	6b				1
Drap ; au 6e de soie	Drap	6	6b				8
Drap ; bayette	Drap	6	6b				5
Drap ; blanc de Bremer	Drap	6	6b		6	6b	5
Drap ; blancs	Drap	6	6b		6	6b	1
Drap ; blancs d'Espagne	Drap	6	6b		6	6b	3
Drap ; blancs d'Hollande	Drap	6	6b		6	6b	
Drap ; blancs de douzaine	Drap	6	6b		6	6b	2
Drap ; blancs de Hollande	Drap	6	6b				10
Drap ; blancs par aune	Drap	6	6b		6	6b	3
Drap ; bleu	Drap	6	6b				1
Drap ; brodé ; au ciseau ; en soie	Drap	6	6b				1
Drap ; brodé ; en or et argent	Drap	6	6b				3
Drap ; brodé ; en soie	Drap	6	6b				5
Drap ; buras	Drap	6	6b				1
Drap ; callemande	Drap	6	6b				1
Drap ; caPoterie	Drap	6	6b				2
Drap ; capots	Drap	6	6b				
Drap ; casimir	Drap	6	6b				5
Drap ; casinier	Drap	6	6b				5
Drap ; commun		6	6b				26
Drap ; commune	Drap	6	6b				2
Drap ; communs	Drap	6	6b		6	6b	97
Drap ; cordeillard	Drap	6	6b				29
Drap ; cordellat	Drap	6	6b				6
Drap ; crêpe	Drap	6	6b				1
Drap ; crèpe ; de Reims	Drap	6	6b				6
Drap ; crêpe ; de Reims	Drap	6	6b				2
Drap ; d'Abbeville	Drap	6	6b				42
Drap ; d'Amboise	Drap	6	6b				1
Drap ; d'Amiens	Drap	6	6b				20
Drap ; d'Andelis	Drap	6	6b				18
Drap ; d'Angleterre	Drap	6	6b				16
Drap ; d'Arnetal	Drap	6	6b				22
Drap ; d'aucrin	Drap	6	6b				1
Drap ; d'Aumale	Drap	6	6b				1
Drap ; d'Elbeuf	Drap	6	6b				33
Drap ; d'Elbeuf ; de retour	Drap	6	6b				1
Drap ; d'Espagne	Drap	6	6b				9
Drap ; d'estames	Drap	6	6b				18
Drap ; d'Hollande	Drap	6	6b				
Drap ; dauphine	Drap	6	6b	« Dauphine : Espece de petit droguet très-léger, tout de laine , non croisé, imperceptiblement jaspé de diverses couleurs... Les Dauphines se font à Reims » (Savary)			
Drap ; de ?	Drap	6	6b				1
Drap ; de Beauvais	Drap	6	6b				21
Drap ; de Bergoopseau	Drap	6	6b				0
Drap ; de Bourbon	Drap	6	6b				20
Drap ; de burs ou de frise	Drap	6	6b				1
Drap ; de Carcassonne	Drap	6	6b				17
Drap ; de castor	Drap	6	6b				19
Drap ; de castor par aune	Drap	6	6b	raz de castor	6	6	1
Drap ; de cérémonie	Drap	6	6b				4
Drap ; de Champagne	Drap	6	6b				1
Drap ; de Cherbourg	Drap	6	6b				2
Drap ; de Cours	Drap	6	6b				3
Drap ; de coutil	Drap	6	6b				1
Drap ; de douzaine	Drap	6	6b		6	6b	13
Drap ; de fil et laine ; serge	Drap	6	6b				1
Drap ; de France	Drap	6	6b				10
Drap ; de Glates	Drap	6	6b				3
Drap ; De Hille	Drap	6	6b				
Drap ; de Hille	Drap	6	6b				1
Drap ; de Hollande	Drap	6	6b				21
Drap ; de Komrix	Drap	6	6b				1
Drap ; de laine	Drap	6	6b				2
Drap ; de laine ; ?	Drap	6	6b				1
Drap ; de laine ; au ? de soie	Drap	6	6b				1
Drap ; de laine ; baye ; blanche	Drap	6	6b				17
Drap ; de laine ; baye ; teinte	Drap	6	6b				2
Drap ; de laine ; bayette	Drap	6	6b				140
Drap ; de laine ; diverse	Drap	6	6b				1
Drap ; de Languedoc	Drap	6	6b				21
Drap ; de Latte	Drap	6	6b				2
Drap ; de Lille	Drap	6	6b				6
Drap ; de Limbourg	Drap	6	6b				2
Drap ; de Limoux	Drap	6	6b				2
Drap ; de lin	Drap	6	6a				4
Drap ; de lit	Drap	6	6b		6	6	178
Drap ; de Lodève	Drap	6	6b				2
Drap ; de Louvier	Drap	6	6b				1
Drap ; de Louvier ; au 6e de soie	Drap	6	6b				1
Drap ; de Louviers	Drap	6	6b				27
Drap ; de Maroc	Drap	6	6b				2
Drap ; de Maroc, teints de douzaine	Drap	6	6b		6	6b	4
Drap ; de Montagne	Drap	6	6b				1
Drap ; de Montauban	Drap	6	6b				10
Drap ; de Moucu	Drap	6	6b				2
Drap ; de Nison	Drap	6	6b				5
Drap ; de Normandie	Drap	6	6b				3
Drap ; de Panguede	Drap	6	6b				0
Drap ; de Picardie	Drap	6	6b				2
Drap ; de Pie	Drap	6	6b				2
Drap ; de Reims	Drap	6	6b				19
Drap ; de Rome	Drap	6	6b				1
Drap ; de Rouen	Drap	6	6b				5
Drap ; de Saint Lô	Drap	6	6b				1
Drap ; de Saint Robert	Drap	6	6b				1
Drap ; de Sedan	Drap	6	6b				17
Drap ; de Sedan ; de retour	Drap	6	6b				2
Drap ; de Ségovie	Drap	6	6b				0
Drap ; de Silésie	Drap	6	6b				25
Drap ; de Silésie ; petit	Drap	6	6b				1
Drap ; de Sir	Drap	6	6b				1
Drap ; de Soudrain	Drap	6	6b				1
Drap ; de Souvier	Drap	6	6b				1
Drap ; de Van Robais	Drap	6	6b				4
Drap ; de van Robais	Drap	6	6b				15
Drap ; des prises	Drap	6	6b				1
Drap ; dits packlaeken	Drap	6	6b		6	6b	24
Drap ; dits packlaeken blancs	Drap	6	6b		6	6b	4
Drap ; dits packlaeken teints	Drap	6	6b		6	6b	4
Drap ; dits plamens	Drap	6	6b		6	6b	2
Drap ; dits plawens ou codde	Drap	6	6b				4
Drap ; divers	Drap	6	6b				17
Drap ; divers ; Anglais	Drap	6	6b				1
Drap ; divers ; de laine	Drap	6	6b				2
Drap ; divers ; de Limbourg	Drap	6	6b				1
Drap ; divers ; draperie	Drap	6	6b				2
Drap ; divers ; écarlate	Drap	6	6b				3
Drap ; divers ; fin	Drap	6	6b				5
Drap ; diverses	Drap	6	6b				7
Drap ; drache	Drache	6	6b		6	6b	2
Drap ; dragues	Drap	6	6b				2
Drap ; drapé	Drap	6	6b				1
Drap ; draperie ; cadis	Drap	6	6b				1
Drap ; draperie ; d'Amiens	Drap	6	6b				10
Drap ; draperie ; d'aufine	Drap	6	6b				1
Drap ; draperie ; Damas	Drap	6	6b				2
Drap ; draperie ; de Carcassonne	Drap	6	6b				1
Drap ; draperie ; de Languedoc	Drap	6	6b				1
Drap ; draperie ; de Montauban	Drap	6	6b				2
Drap ; draperie ; divers	Drap	6	6b				1
Drap ; draperie ; fine	Drap	6	6b				3
Drap ; draperie ; frac	Drap	6	6b				1
Drap ; draperie ; futaine	Drap	6	6b				2
Drap ; draperie ; iada	Drap	6	6b				2
Drap ; draperie ; layette	Drap	6	6b				2
Drap ; draperie ; moutade	Drap	6	6b				1
Drap ; draperie ; ordinaire	Drap	6	6b				3
Drap ; draperie ; petite	Drap	6	6b				12
Drap ; draperie ; petite ; de Languedoc	Drap	6	6b				1
Drap ; draperie ; petite ; de mains	Drap	6	6b				3
Drap ; draperie ; petite ; de Sedan	Drap	6	6b				6
Drap ; draperie ; petite ; de Silésie	Drap	6	6b				5
Drap ; draperie ; petite ; divers	Drap	6	6b				2
Drap ; draperie ; petite ; du Maroc	Drap	6	6b				6
Drap ; draperie ; ratine	Drap	6	6b				3
Drap ; draperie ; tricot	Drap	6	6b				6
Drap ; draperie ; tricots	Drap	6	6b				
Drap ; draperie ; vatine	Drap	6	6b				4
Drap ; droguet	Droget	6	6b				1
Drap ; droguet ; d'Hollande	Droget	6	6b				
Drap ; droguet ; de castor	Droget	6	6b				4
Drap ; droguet ; de fil et laine	Droget	6	6b				5
Drap ; droguet ; de Hollande	Drap	6	6b				83
Drap ; droguet ; de laine	Droget	6	6b				24
Drap ; droguet ; de milan	Droget	6	6b				4
Drap ; droguet ; fil a laine	Droget	6	6b				6
Drap ; droguet ; fil et laine	Droget	6	6b				2
Drap ; du Nord	Drap	6	6b				5
Drap ; du nord	Drap	6	6b	drap du Nord mellé	6	6b	1
Drap ; du Nord blanc	Drap	6	6b		6	6b	1
Drap ; du Nord mellé	Drap	6	6b		6	6b	1
Drap ; du Nord teint	Drap	6	6b		6	6b	2
Drap ; du sceau	Drap	6	6b				1
Drap ; Duffel	Drap	6	6b				1
Drap ; écarlate	Drap	6	6b				7
Drap ; écarlatte	Drap	6	6b				4
Drap ; espagnolette	Drap	6	6b				3
Drap ; étranger	Drap	6	6b				1
Drap ; fin	Drap	6	6b				13
Drap ; fins	Drap	6	6b				1
Drap ; flanelle	Drap	6	6b				12
Drap ; gauffré	Drap	6	6b				5
Drap ; goudronné	Drap	6	6b				3
Drap ; grossier	Drap	6	6b				1
Drap ; imprimé	Drap	6	6b				1
Drap ; irtaine	Drap	6	6b				1
Drap ; Languedoc	Drap	6	6b				4
Drap ; Londrin	Drap	6	6b				13
Drap ; londrin	Drap	6	6b				19
Drap ; Maroc	Drap	6	6b				2
Drap ; mellés d'espagne	Drap	6	6b	drap d'Espagne mellé	6	6b	
Drap ; molton	Drap	6	6b				3
Drap ; natives ; divers	Drap	6	6b				7
Drap ; naturels ; commune	Drap	6	6b				5
Drap ; naturels ; de Sedan	Drap	6	6b				11
Drap ; naturels ; diverses	Drap	6	6b				4
Drap ; naturels ; Sirre	Drap	6	6b				1
Drap ; noir	Drap	6	6b				2
Drap ; ordinaire	Drap	6	6b				5
Drap ; oroguet	Drap	6	6b				1
Drap ; palencourt	Drap	6	6b				6
Drap ; petite	Drap	6	6b				1
Drap ; petits	Drap	6	6b				2
Drap ; pinchina	Drap	6	6b				2
Drap ; platine	Drap	6	6b				2
Drap ; Poudrin	Drap	6	6b				17
Drap ; ratine	Drap	6	6b				5
Drap ; ratines ; diverses	Drap	6	6b				6
Drap ; raz ; de castor	Drap	6	6b				8
Drap ; raz ; de Maroc	Drap	6	6b				22
Drap ; raz ; de maroc	Drap	6	6b				3
Drap ; raz ; des Lo	Drap	6	6b				1
Drap ; raz de maroc	Drap	6	6b				4
Drap ; serge	Serge	6	6b				155
Drap ; serge ; à doubler	Serge	6	6b				27
Drap ; serge ; blanc	Serge	6	6b				4
Drap ; serge ; d'Angleterre	Serge	6	6b				9
Drap ; serge ; d'Arnetal	Serge	6	6b				3
Drap ; serge ; d'aumale	Serge	6	6b				3
Drap ; serge ; de laine	Serge	6	6b				2
Drap ; serge ; de Lille	Serge	6	6b				23
Drap ; serge ; de Montauban	Serge	6	6b				5
Drap ; serge ; de Nîmes	Serge	6	6b				7
Drap ; serge ; des prises	Serge	6	6b				1
Drap ; serge ; drapée	Serge	6	6b				5
Drap ; serge ; forte	Serge	6	6b				3
Drap ; serge ; imprimé	Serge	6	6b				5
Drap ; serge ; imprimée	Serge	6	6b				5
Drap ; serge ; large	Serge	6	6b				3
Drap ; serge ; sergette	Serge	6	6b				4
Drap ; serge ; teint	Serge	6	6b				4
Drap ; serge et satin ; turc	Serge	6	6b				4
Drap ; teint	Drap	6	6b				23
Drap ; teint ; d'Espagne et de Hollande	Drap	6	6b				2
Drap ; teint ; de Hollande	Drap	6	6b				1
Drap ; teint d'Espagne	Drap	6	6b				1
Drap ; teints	Drap	6	6b		6	6b	
Drap ; teints d'espagne	Drap	6	6b	drap d'Espagne teint	6	6b	
Drap ; teints d'Espagne et d'Hollande	Drap	6	6b				
Drap ; teints d'Hollande	Drap	6	6b		6	6b	
Drap ; teints de douzaine	Drap	6	6b		6	6b	
Drap ; teints et mellés	Drap	6	6b				
Drap ; teints et mellés de douzaine	Drap	6	6b	drap dit douzaine mellé	6	6b	
Drap ; verd	Drap	6	6b				1
Drap ; vert	Drap	6	6b				22
Drapeaux	Drapeaux	6	6b				3
Drapeaux ; castor	Drapeaux	6	6b				4
Drapeaux ; mi castor	Drapeaux	6	6b				1
Drapeaux ; mi vigogne	Drapeaux	6	6b				2
Drapeaux ; poil et laine	Drapeaux	6	6b				1
Drapeaux ; vieux	Drapeaux	6	6b				2
Drapeaux ; vigogne	Drapeaux	6	6b				6
Draperie	Draperie	6	6b				17
Draperie ; fine	Draperie	6	6b				
Draperie ; ordinaire	Draperie	6	6b				1
Draperie ; petite	Draperie	6	6b				
Draps ; de laine ; Baye Blanche	Baye	6	6b		6	6b	
Draps ; de laine ; Baye Teinte	Baye	6	6b				
Draps ; serge ; à doubler	Serge	6	6b				
Draps ; serge ; blanche	Serge	6	6b		6	6b	
Draps ; serge ; commune	Serge	6	6b				
Draps ; serge ; commune teinte	Serge	6	6b		6	6b	
Draps ; serge ; d'Angleterre	Serge	6	6b		6	6b	
Draps ; serge ; de laine	Serge	6	6b				
Draps ; serge ; de Lille	Serge	6	6b				
Draps ; serge ; de Montauban	Serge	6	6b				
Draps ; serge ; de Nîmes	Serge	6	6b				
Draps ; serge ; drapé	Serge	6	6b				
Draps ; serge ; drappé	Serge	6	6b				
Draps ; serge ; imprimé	Serge	6	6b		6	6b	
Draps ; serge ; mêlée	Serge	6	6b		6	6b	
Draps ; serge ; teinte	Serge	6	6b		6	6b	
Draps ; serge ; teinte par aune	Serge	6	6b				
Drogue	Drogue	5	5				52
Drogue ; Aigre ; de vitriol	Drogue	5	5				1
Drogue ; antimoine	Drogue	5	5				2
Drogue ; Asfafélida	Drogue	5	5				1
Drogue ; Asfafélida	Drogues	5	5				
Drogue ; Asfafélida	Drogues	5	5				
Drogue ; Blanc de baleine	Drogue	2	2				15
Drogue ; Blanc de baleine	Drogues	4	4				
Drogue ; blanc de baleine	Drogues	4	4				
Drogue ; Bongras animal	Drogue	5	5				15
Drogue ; Bongras animal	Drogues	5	5				
Drogue ; Borax	Drogues	5	5				
Drogue ; carabé	Drogue	5	5				1
Drogue ; Castor	Drogue	2	2				24
Drogue ; chimique	Drogues ; Chimiques	5	5				
Drogue ; chimique	Drogues ; Chimiques	5	5				
Drogue ; chimique ; ?	Drogue	5	5				9
Drogue ; chimique ; Diverses	Drogue	5	5				2
Drogue ; chimique ; Eau forte	Drogue	5	5				2
Drogue ; chimique ; Eau forte	Drogues ; Chimiques	5	5				
Drogue ; chimique ; Esprit de sel	Drogue	5	5				13
Drogue ; chimique ; Esprit de sel	Drogues ; Chimiques	5	5				
Drogue ; chimique ; Esprit de vice	Drogue	5	5				1
Drogue ; chimique ; Esprit de vice	Drogues ; Chimiques	5	5				
Drogue ; chimique ; sel ammoniac	Drogue	5	5				64
