numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,pays,marchandises,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
131,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1784,10,Exports,Etats-Unis,Marchandises des Indes : objets divers,,valeur,,8642,,Marchandises des Indes
132,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,bois de construction,,valeur,,32100,,Matières premières
133,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,bois merrein,542700,nombre,,67840,,Matières premières
134,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,bois de teinture,121000,Livres,,23150,,Matières premières
135,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,"Bray, Goudron et résine",2186400,Livres,,202920,,Matières premières
136,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,charbon de terre,2112000,Livres,,34010,,Matières premières
137,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,coton en laine,11170,Livres,,22340,,Matières premières
138,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,Tabac en feuilles,16913720,Livres,,7188330,,Matières premières
139,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,lin,125000,Livres,,68750,,Matières premières
140,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,cendres potasse,47540,Livres,,19960,,Objets d'industrie
141,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,pelletterie diverse,4772,Livres,,20790,,Objets d'industrie
142,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,pelletterie peaux de daims,56570,nombre,,221520,,Objets d'industrie
143,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,objets d'industrie : marchandises non dénommées,,valeur,,37500,,Objets d'industrie
144,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,bled de toutes sortes,1509260,Livres,,143120,,Comestibles
145,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,caffé,79640,Livres,,59730,,Comestibles
146,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,chair salée ou lard,37160,Livres,,14400,,Comestibles
147,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,farine,503000,Livres,,100600,,Comestibles
148,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,riz,1960440,Livres,,490110,,Comestibles
149,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,sucre terré et tête,77460,Livres,,40750,,Comestibles
150,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,Marchandises diverses en petits articles,,valeur,,87300,,
151,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,gensing,7124,Livres,,14240,,Drogues
152,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,indigo,5458,Livres,,43660,,Drogues
153,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,térébantine,399070,Livres,,69830,,Drogues
154,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,huile de baleine,189240,Livres,,66230,,Productions de la pêche
155,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,huile de morue,229640,Livres,,91850,,Productions de la pêche
156,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,huile de poissons,791330,Livres,,241350,,Productions de la pêche
157,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,morues,454300,Livres,,136290,,Productions de la pêche
158,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,baleine en fanon,11900,Livres,,41000,,Productions de la pêche
159,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,12,Imports,Etats-Unis,tabacs ,7794000,livre,"0,315",2455000,-110,arrondi
160,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,chanvre,60000,Livres,,27000,,Matières premières
161,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,bonneterie de soye,356,Livres,,17800,,Objets manufacturés
162,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,dentelle de fil,"12,75",Livres,,11650,,Objets manufacturés
163,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,dentelle de soye,150,Livres,,15000,,Objets manufacturés
164,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,draps de toutes sorte,2893,Livres,,12584,,Objets manufacturés
165,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,etoffes de coton et laine,743,Livres,,11676,,Objets manufacturés
166,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,etoffe de soye,2955,Livres,,147750,,Objets manufacturés
167,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,mouchoirs divers  ,7000,nombre,,6206,,Objets manufacturés
168,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,rubans de soye,335,Livres,,20100,,Objets manufacturés
169,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,toile de lin batiste,1333,aunes,,8158,,Objets manufacturés
170,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,toile de lin diverse,26250,Livres,,145048,,Objets manufacturés
171,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,toile peinte et indienne,5920,Livres,,65790,,Objets manufacturés
172,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,toiles melées,,valeur,,6600,,Objets manufacturés
173,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,cordages,21600,Livres,,10800,,autres objets d'industrie
174,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,couvertures,2744,Livres,,9524,,autres objets d'industrie
175,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,fusils,1500,nombre,,18000,,autres objets d'industrie
176,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,mercerie melée,4421,Livres,,19516,,autres objets d'industrie
177,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,savon,18636,Livres,,9318,,autres objets d'industrie
178,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,voitures,,valeur,,4200,,autres objets d'industrie
179,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,chairs salées  ,36580,Livres,,9874,,comestibles et boissons
180,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,fruits secs,62500,Livres,,14334,,comestibles et boissons
181,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,sel,12787590,Livres,,161613,,comestibles et boissons
182,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,eaux de vie,"2553,5",muids,,369679,,comestibles et boissons
183,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,liqueurs  ,"17,99",muids,,6188,,comestibles et boissons
184,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,vins de toutes sortes,1851,muids,,100658,,comestibles et boissons
185,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,marchandises diverse en petits articles,,valeur,,7500,,
186,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,cacao,24758,Livres,,14855,,Denrées coloniales
187,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,coton,7947,Livres,,20662,,Denrées coloniales
188,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,sucre brut et terré,805374,Livres,,306918,,Denrées coloniales
189,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,mouchoirs et mousselines,153,pièces,,13216,,Marchandises des Indes
190,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,thé,227306,Livres,,344300,,Marchandises des Indes
191,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,toiles des Indes de toutes sortes,9732,pièces,,17420,,Marchandises des Indes
192,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1786,13,Exports,Etats-Unis,Marchandises de Indes : Objets divers en petits articles,,valeur,,12995,,Marchandises des Indes
