Numéro de ligne,Data entry by,Source,exportimports,Year,Sheet,Marchandises,Pays,Quantité,Leur Valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Total,Remarks
1051,Saadia Mai,Montbret 1551049,Exports,1754,37,Cornes ; de beuf,Hollande,,510.00,3033.00,0.00,3576.70,
1052,Saadia Mai,Montbret 1551050,Exports,1754,37,Cornes ; de cerf,Flandre,,393.70,543.70,0.00,3576.70,
1053,Saadia Mai,Montbret 1551051,Exports,1754,37,Cornes ; de cerf,Italie,,150.00,543.70,0.00,3576.70,
1054,Saadia Mai,Montbret 1551052,Exports,1754,37,Cornichons,Isles,,350.00,0.00,0.00,0.00,
1055,Saadia Mai,Montbret 1551053,Exports,1754,37,Coros,Guinée,,48387.00,0.00,0.00,0.00,
1056,Saadia Mai,Montbret 1551054,Exports,1754,37,Coton ; cardé,Allemagne,,1128.00,0.00,0.00,1827796.10,
1057,Saadia Mai,Montbret 1551055,Exports,1754,37,Coton ; filé,Allemagne,,82390.50,401872.55,0.00,1827796.10,
1058,Saadia Mai,Montbret 1551056,Exports,1754,37,Coton ; filé,Angleterre,,2106.50,401872.55,0.00,1827796.10,
1059,Saadia Mai,Montbret 1551057,Exports,1754,37,Coton ; filé,Danemark,,492.00,401872.55,0.00,1827796.10,
1060,Saadia Mai,Montbret 1551058,Exports,1754,37,Coton ; filé,Espagne,,164592.70,401872.55,0.00,1827796.10,
1061,Saadia Mai,Montbret 1551059,Exports,1754,37,Coton ; filé,Flandre,,33763.00,401872.55,0.00,1827796.10,
1062,Saadia Mai,Montbret 1551060,Exports,1754,37,Coton ; filé,Hollande,,36205.40,401872.55,0.00,1827796.10,
1063,Saadia Mai,Montbret 1551061,Exports,1754,37,Coton ; filé,Isles,,5745.25,401872.55,0.00,1827796.10,
1064,Saadia Mai,Montbret 1551062,Exports,1754,37,Coton ; filé,Italie,,24216.50,401872.55,0.00,1827796.10,
1065,Saadia Mai,Montbret 1551063,Exports,1754,37,Coton ; filé,Levant,,1126.50,401872.55,0.00,1827796.10,
1066,Saadia Mai,Montbret 1551064,Exports,1754,37,Coton ; filé,Nord,,11865.70,401872.55,0.00,1827796.10,
1067,Saadia Mai,Montbret 1551065,Exports,1754,37,Coton ; filé,Portugal,,6006.00,401872.55,0.00,1827796.10,
1068,Saadia Mai,Montbret 1551066,Exports,1754,37,Coton ; filé,Savoye,,9074.50,401872.55,0.00,1827796.10,
1069,Saadia Mai,Montbret 1551067,Exports,1754,37,Coton ; filé,Suisse,,24288.00,401872.55,0.00,1827796.10,
1070,Milewski,Montbret 1551068,Exports,1754,38,Coton ; en laine,Allemagne,,89513.00,1424795.55,0.00,1827796.10,
1071,Milewski,Montbret 1551069,Exports,1754,38,Coton ; en laine,Angleterre,,262.50,1424795.55,0.00,1827796.10,
1072,Milewski,Montbret 1551070,Exports,1754,38,Coton ; en laine,Espagne,,681.00,1424795.55,0.00,1827796.10,
1073,Milewski,Montbret 1551071,Exports,1754,38,Coton ; en laine,Flandre,,35084.60,1424795.55,0.00,1827796.10,
1074,Milewski,Montbret 1551072,Exports,1754,38,Coton ; en laine,Hollande,,156033.25,1424795.55,0.00,1827796.10,
1075,Milewski,Montbret 1551073,Exports,1754,38,Coton ; en laine,Isles,,2820.00,1424795.55,0.00,1827796.10,
1076,Milewski,Montbret 1551074,Exports,1754,38,Coton ; en laine,Italie,,72498.00,1424795.55,0.00,1827796.10,
1077,Milewski,Montbret 1551075,Exports,1754,38,Coton ; en laine,Levant,,2400.00,1424795.55,0.00,1827796.10,
1078,Milewski,Montbret 1551076,Exports,1754,38,Coton ; en laine,Nord,,76045.50,1424795.55,0.00,1827796.10,
1079,Milewski,Montbret 1551077,Exports,1754,38,Coton ; en laine,Savoye,,2793.60,1424795.55,0.00,1827796.10,
1080,Milewski,Montbret 1551078,Exports,1754,38,Coton ; en laine,Suisse,,986664.10,1424795.55,0.00,1827796.10,
1081,Milewski,Montbret 1551079,Exports,1754,38,Couffins d'Espars,Espagne,,104.00,204.00,0.00,204.00,
1082,Milewski,Montbret 1551080,Exports,1754,38,Couffins d'Espars,Italie,,100.00,204.00,0.00,204.00,
1083,Milewski,Montbret 1551081,Exports,1754,38,Couperose,Allemagne,,16.20,0.00,0.00,11766.40,
1084,Milewski,Montbret 1551082,Exports,1754,38,Couperose,Angleterre,,498.60,0.00,0.00,11766.40,
1085,Milewski,Montbret 1551083,Exports,1754,38,Couperose,Espagne,,3147.80,0.00,0.00,11766.40,
1086,Milewski,Montbret 1551084,Exports,1754,38,Couperose,Flandre,,40.80,0.00,0.00,11766.40,
1087,Milewski,Montbret 1551085,Exports,1754,38,Couperose,Italie,,3564.15,0.00,0.00,11766.40,
1088,Milewski,Montbret 1551086,Exports,1754,38,Couperose,Levant,,786.65,0.00,0.00,11766.40,
1089,Milewski,Montbret 1551087,Exports,1754,38,Couperose,Savoye,,35.40,0.00,0.00,11766.40,
1090,Milewski,Montbret 1551088,Exports,1754,38,Couperose,Suisse,,3676.80,0.00,0.00,11766.40,
1091,Milewski,Montbret 1551089,Exports,1754,38,Coupis,Guinée,,18252.00,0.00,0.00,20460.00,
1092,Milewski,Montbret 1551090,Exports,1754,38,Coupis,Hollande,,2208.00,0.00,0.00,20460.00,
1093,Milewski,Montbret 1551091,Exports,1754,38,Courdouans,Espagne,,348.75,0.00,0.00,0.00,
1094,Milewski,Montbret 1551092,Exports,1754,38,Courtepointe,Angleterre,,7.80,0.00,0.00,0.00,
1095,Milewski,Montbret 1551093,Exports,1754,39,Couteaux ; de chasse,Flandre,,154.00,0.00,0.00,116603.00,
1096,Milewski,Montbret 1551094,Exports,1754,39,Couteaux ; communs,Allemagne,,1393.00,116449.00,0.00,116603.00,
1097,Milewski,Montbret 1551095,Exports,1754,39,Couteaux ; communs,Espagne,,400.00,116449.00,0.00,116603.00,
1098,Milewski,Montbret 1551096,Exports,1754,39,Couteaux ; communs,Guinée,,56916.00,116449.00,0.00,116603.00,
1099,Milewski,Montbret 1551097,Exports,1754,39,Couteaux ; communs,Isles,,400.00,116449.00,0.00,116603.00,
1100,Milewski,Montbret 1551098,Exports,1754,39,Couteaux ; communs,Italie,,41200.00,116449.00,0.00,116603.00,
1101,Milewski,Montbret 1551099,Exports,1754,39,Couteaux ; communs,Levant,,15190.00,116449.00,0.00,116603.00,
1102,Milewski,Montbret 1551100,Exports,1754,39,Couteaux ; communs,Portugal,,800.00,116449.00,0.00,116603.00,
1103,Milewski,Montbret 1551101,Exports,1754,39,Couteaux ; communs,Suisse,,150.00,116449.00,0.00,116603.00,
1104,Milewski,Montbret 1551102,Exports,1754,39,Coutil,Allemagne,,150.00,0.00,0.00,61233.70,
1105,Milewski,Montbret 1551103,Exports,1754,39,Coutil,Angleterre,,383.60,0.00,0.00,61233.70,
1106,Milewski,Montbret 1551104,Exports,1754,39,Coutil,Espagne,,9178.00,0.00,0.00,61233.70,
1107,Milewski,Montbret 1551105,Exports,1754,39,Coutil,Flandre,,16008.10,0.00,0.00,61233.70,
1108,Milewski,Montbret 1551106,Exports,1754,39,Coutil,Guinée,,600.00,0.00,0.00,61233.70,
1109,Milewski,Montbret 1551107,Exports,1754,39,Coutil,Isles,,33834.00,0.00,0.00,61233.70,
1110,Milewski,Montbret 1551108,Exports,1754,39,Coutil,Italie,,80.00,0.00,0.00,61233.70,
1111,Milewski,Montbret 1551109,Exports,1754,39,Coutil,Levant,,1000.00,0.00,0.00,61233.70,
1112,Milewski,Montbret 1551110,Exports,1754,39,Couvertures ; de capiton,Espagne,,288.00,0.00,0.00,171923.30,
1113,Milewski,Montbret 1551111,Exports,1754,39,Couvertures ; fil en coton,Italie,,5110.00,0.00,0.00,171923.30,
1114,Milewski,Montbret 1551112,Exports,1754,39,Couvertures ; de filozelle,Espagne,,30.00,0.00,0.00,171923.30,
1115,Milewski,Montbret 1551113,Exports,1754,39,Couvertures ; de laine,Allemagne,,14327.50,161606.80,0.00,171923.30,
1116,Milewski,Montbret 1551114,Exports,1754,39,Couvertures ; de laine,Espagne,,19894.50,161606.80,0.00,171923.30,
1117,Milewski,Montbret 1551115,Exports,1754,39,Couvertures ; de laine,Flandre,,28995.00,161606.80,0.00,171923.30,
1118,Milewski,Montbret 1551116,Exports,1754,39,Couvertures ; de laine,Guinée,,300.00,161606.80,0.00,171923.30,
1119,Milewski,Montbret 1551117,Exports,1754,39,Couvertures ; de laine,Hollande,,28.00,161606.80,0.00,171923.30,
1120,Milewski,Montbret 1551118,Exports,1754,39,Couvertures ; de laine,Isles,,82885.80,161606.80,0.00,171923.30,
1121,Milewski,Montbret 1551119,Exports,1754,39,Couvertures ; de laine,Nord,,70.00,161606.80,0.00,171923.30,
1122,Milewski,Montbret 1551120,Exports,1754,39,Couvertures ; de laine,Russie,,824.00,161606.80,0.00,171923.30,
1123,Milewski,Montbret 1551121,Exports,1754,39,Couvertures ; de laine,Savoye,,1080.00,161606.80,0.00,171923.30,
1124,Milewski,Montbret 1551122,Exports,1754,39,Couvertures ; de laine,Suisse,,13202.00,161606.80,0.00,171923.30,
1125,Milewski,Montbret 1551123,Exports,1754,39,Couvertures ; de plocq,Isles,,4588.50,4888.50,0.00,171923.30,
1126,Milewski,Montbret 1551124,Exports,1754,39,Couvertures ; de plocq,Savoye,,300.00,4888.50,0.00,171923.30,
1127,Milewski,Montbret 1551125,Exports,1754,39,Crafse ; de cire,Espagne,,807.00,0.00,0.00,921.90,
1128,Milewski,Montbret 1551126,Exports,1754,39,Crafse ; d'huile,Italie,,94.90,114.90,0.00,921.90,
1129,Milewski,Montbret 1551127,Exports,1754,39,Crafse ; d'huile,Savoye,,20.00,114.90,0.00,921.90,
1130,Milewski,Montbret 1551128,Exports,1754,40,Craye,Allemagne,,2267.50,0.00,0.00,4729.50,
1131,Milewski,Montbret 1551129,Exports,1754,40,Craye,Angleterre,,375.00,0.00,0.00,4729.50,
1132,Milewski,Montbret 1551130,Exports,1754,40,Craye,Espagne,,248.00,0.00,0.00,4729.50,
1133,Milewski,Montbret 1551131,Exports,1754,40,Craye,Flandre,,1404.00,0.00,0.00,4729.50,
1134,Milewski,Montbret 1551132,Exports,1754,40,Craye,Russie,,375.00,0.00,0.00,4729.50,
1135,Milewski,Montbret 1551133,Exports,1754,40,Craye,Suisse,,60.00,0.00,0.00,4729.50,
1136,Milewski,Montbret 1551134,Exports,1754,40,Crayons,Isles,,13200.00,0.00,0.00,0.00,
1137,Milewski,Montbret 1551135,Exports,1754,40,Cresme de tartre,Angleterre,,1812.30,0.00,0.00,12479.05,
1138,Milewski,Montbret 1551136,Exports,1754,40,Cresme de tartre,Danemark,,699.00,0.00,0.00,12479.05,
1139,Milewski,Montbret 1551137,Exports,1754,40,Cresme de tartre,Espagne,,1048.85,0.00,0.00,12479.05,
1140,Milewski,Montbret 1551138,Exports,1754,40,Cresme de tartre,Flandre,,106.25,0.00,0.00,12479.05,
1141,Milewski,Montbret 1551139,Exports,1754,40,Cresme de tartre,Hollande,,2713.75,0.00,0.00,12479.05,
1142,Milewski,Montbret 1551140,Exports,1754,40,Cresme de tartre,Italie,,3538.35,0.00,0.00,12479.05,
1143,Milewski,Montbret 1551141,Exports,1754,40,Cresme de tartre,Nord,,2349.70,0.00,0.00,12479.05,
1144,Milewski,Montbret 1551142,Exports,1754,40,Cresme de tartre,Russie,,30.85,0.00,0.00,12479.05,
1145,Milewski,Montbret 1551143,Exports,1754,40,Cresme de tartre,Suisse,,180.00,0.00,0.00,12479.05,
1146,Milewski,Montbret 1551144,Exports,1754,40,Crespe de soye,Allemagne,,4284.00,0.00,0.00,5704.00,
1147,Milewski,Montbret 1551145,Exports,1754,40,Crespe de soye,Flandre,,1420.00,0.00,0.00,5704.00,
1148,Milewski,Montbret 1551146,Exports,1754,40,crefpon,Allemagne,,251.20,0.00,0.00,0.00,
1149,Milewski,Montbret 1551147,Exports,1754,40,Cribles,Flandre,,18.00,0.00,0.00,0.00,
1150,Milewski,Montbret 1551148,Exports,1754,40,Crin,Allemagne,,60.00,0.00,0.00,11304.25,
1151,Milewski,Montbret 1551149,Exports,1754,40,Crin,Espagne,,864.00,0.00,0.00,11304.25,
1152,Milewski,Montbret 1551150,Exports,1754,40,Crin,Flandre,,334.50,0.00,0.00,11304.25,
1153,Milewski,Montbret 1551151,Exports,1754,40,Crin,Isles,,8635.00,0.00,0.00,11304.25,
1154,Milewski,Montbret 1551152,Exports,1754,40,Crin,Italie,,108.00,0.00,0.00,11304.25,
1155,Milewski,Montbret 1551153,Exports,1754,40,Crin,Portugal,,1299.00,0.00,0.00,11304.25,
1156,Milewski,Montbret 1551154,Exports,1754,40,Crin,Savoye,,3.75,0.00,0.00,11304.25,
1157,Milewski,Montbret 1551155,Exports,1754,41,Cristal ; taillé,Angleterre,,650.00,31385.50,0.00,31385.50,
1158,Milewski,Montbret 1551156,Exports,1754,41,Cristal ; taillé,Espagne,,528.00,31385.50,0.00,31385.50,
1159,Milewski,Montbret 1551157,Exports,1754,41,Cristal ; taillé,Flandre,,32.00,31385.50,0.00,31385.50,
1160,Milewski,Montbret 1551158,Exports,1754,41,Cristal ; taillé,Isles,,13157.50,31385.50,0.00,31385.50,
1161,Milewski,Montbret 1551159,Exports,1754,41,Cristal ; taillé,Italie,,3570.00,31385.50,0.00,31385.50,
1162,Milewski,Montbret 1551160,Exports,1754,41,Cristal ; taillé,Savoye,,13448.00,31385.50,0.00,31385.50,
1163,Milewski,Montbret 1551161,Exports,1754,41,Cuillieres de leton,Espagne,,6.00,0.00,0.00,0.00,
1164,Milewski,Montbret 1551162,Exports,1754,41,Cuirs ; d'asne,Espagne,,21.00,361.00,0.00,1539029.25,
1165,Milewski,Montbret 1551163,Exports,1754,41,Cuirs ; d'asne,Savoye,,340.00,361.00,0.00,1539029.25,
1166,Milewski,Montbret 1551164,Exports,1754,41,Cuirs ; de beuf ; en poil,Allemagne,,11220.00,430134.60,1180523.50,1539029.25,
1167,Milewski,Montbret 1551165,Exports,1754,41,Cuirs ; de beuf ; en poil,Espagne,,315956.00,430134.60,1180523.50,1539029.25,
1168,Milewski,Montbret 1551166,Exports,1754,41,Cuirs ; de beuf ; en poil,Flandre,,29140.00,430134.60,1180523.50,1539029.25,
1169,Milewski,Montbret 1551167,Exports,1754,41,Cuirs ; de beuf ; en poil,Italie,,71313.60,430134.60,1180523.50,1539029.25,
1170,Milewski,Montbret 1551168,Exports,1754,41,Cuirs ; de beuf ; en poil,Suisse,,2505.00,430134.60,1180523.50,1539029.25,
1171,Milewski,Montbret 1551169,Exports,1754,41,Cuirs ; de beuf ; tannés,Allemagne,,75007.50,750388.90,1180523.50,1539029.25,
1172,Milewski,Montbret 1551170,Exports,1754,41,Cuirs ; de beuf ; tannés,Angleterre,,1170.00,750388.90,1180523.50,1539029.25,
1173,Milewski,Montbret 1551171,Exports,1754,41,Cuirs ; de beuf ; tannés,Espagne,,510131.70,750388.90,1180523.50,1539029.25,
1174,Milewski,Montbret 1551172,Exports,1754,41,Cuirs ; de beuf ; tannés,Flandre,,432.00,750388.90,1180523.50,1539029.25,
1175,Milewski,Montbret 1551173,Exports,1754,41,Cuirs ; de beuf ; tannés,Isles,,16220.00,750388.90,1180523.50,1539029.25,
1176,Milewski,Montbret 1551174,Exports,1754,41,Cuirs ; de beuf ; tannés,Italie,,66707.40,750388.90,1180523.50,1539029.25,
1177,Milewski,Montbret 1551175,Exports,1754,41,Cuirs ; de beuf ; tannés,Levant,,1974.00,750388.90,1180523.50,1539029.25,
1178,Milewski,Montbret 1551176,Exports,1754,41,Cuirs ; de beuf ; tannés,Nord,,600.00,750388.90,1180523.50,1539029.25,
1179,Milewski,Montbret 1551177,Exports,1754,41,Cuirs ; de beuf ; tannés,Portugal,,4656.00,750388.90,1180523.50,1539029.25,
1180,Milewski,Montbret 1551178,Exports,1754,41,Cuirs ; de beuf ; tannés,Savoye,,58156.80,750388.90,1180523.50,1539029.25,
1181,Milewski,Montbret 1551179,Exports,1754,41,Cuirs ; de beuf ; tannés,Suisse,,15333.50,750388.90,1180523.50,1539029.25,
1182,Milewski,Montbret 1551180,Exports,1754,41,Cuirs ; de cheval ; en poil,Allemagne,,16470.00,16757.00,18082.00,1539029.25,
1183,Milewski,Montbret 1551181,Exports,1754,41,Cuirs ; de cheval ; en poil,Espagne,,200.00,16757.00,18082.00,1539029.25,
1184,Milewski,Montbret 1551182,Exports,1754,41,Cuirs ; de cheval ; en poil,Italie,,27.00,16757.00,18082.00,1539029.25,
1185,Milewski,Montbret 1551183,Exports,1754,41,Cuirs ; de cheval ; en poil,Savoye,,60.00,16757.00,18082.00,1539029.25,
1186,Milewski,Montbret 1551184,Exports,1754,41,Cuirs ; de cheval ; tannés,Allemagne,,945.00,1325.00,18082.00,1539029.25,
1187,Milewski,Montbret 1551185,Exports,1754,41,Cuirs ; de cheval ; tannés,Espagne,,380.00,1325.00,18082.00,1539029.25,
1188,Milewski,Montbret 1551186,Exports,1754,42,Cuirs ; doré,Italie,,1120.00,0.00,0.00,1539029.25,
1189,Milewski,Montbret 1551187,Exports,1754,42,Cuirs ; de genisses,Allemagne,,5.00,44141.00,0.00,1539029.25,
1190,Milewski,Montbret 1551188,Exports,1754,42,Cuirs ; de genisses,Espagne,,16722.00,44141.00,0.00,1539029.25,
1191,Milewski,Montbret 1551189,Exports,1754,42,Cuirs ; de genisses,Portugal,,27414.00,44141.00,0.00,1539029.25,
1192,Milewski,Montbret 1551190,Exports,1754,42,Cuirs ; d'hongrie,Allemagne,,4779.00,0.00,0.00,1539029.25,
1193,Milewski,Montbret 1551191,Exports,1754,42,Cuirs ; de Russie,Isles,,324.00,3324.00,0.00,1539029.25,
1194,Milewski,Montbret 1551192,Exports,1754,42,Cuirs ; de Russie,Italie,,3000.00,3324.00,0.00,1539029.25,
1195,Milewski,Montbret 1551193,Exports,1754,42,Cuirs ; corroiés,Allemagne,,2303.25,42081.25,286698.75,1539029.25,
1196,Milewski,Montbret 1551194,Exports,1754,42,Cuirs ; corroiés,Angleterre,,3456.00,42081.25,286698.75,1539029.25,
1197,Milewski,Montbret 1551195,Exports,1754,42,Cuirs ; corroiés,Espagne,,1680.00,42081.25,286698.75,1539029.25,
1198,Milewski,Montbret 1551196,Exports,1754,42,Cuirs ; corroiés,Hollande,,552.00,42081.25,286698.75,1539029.25,
1199,Milewski,Montbret 1551197,Exports,1754,42,Cuirs ; corroiés,Portugal,,34090.00,42081.25,286698.75,1539029.25,
1200,Milewski,Montbret 1551198,Exports,1754,42,Cuirs ; en poil,Allemagne,,6120.00,11909.00,286698.75,1539029.25,
1201,Milewski,Montbret 1551199,Exports,1754,42,Cuirs ; en poil,Espagne,,1272.00,11909.00,286698.75,1539029.25,
1202,Milewski,Montbret 1551200,Exports,1754,42,Cuirs ; en poil,Flandre,,1802.00,11909.00,286698.75,1539029.25,
1203,Milewski,Montbret 1551201,Exports,1754,42,Cuirs ; en poil,Savoye,,180.00,11909.00,286698.75,1539029.25,
1204,Milewski,Montbret 1551202,Exports,1754,42,Cuirs ; en poil,Suisse,,2535.00,11909.00,286698.75,1539029.25,
1205,Milewski,Montbret 1551203,Exports,1754,42,Cuirs ; tannés,Allemagne,,8362.50,232708.50,286698.75,1539029.25,
1206,Milewski,Montbret 1551204,Exports,1754,42,Cuirs ; tannés,Angleterre,,5660.00,232708.50,286698.75,1539029.25,
1207,Milewski,Montbret 1551205,Exports,1754,42,Cuirs ; tannés,Espagne,,98687.00,232708.50,286698.75,1539029.25,
1208,Milewski,Montbret 1551206,Exports,1754,42,Cuirs ; tannés,Flandre,,77520.00,232708.50,286698.75,1539029.25,
1209,Milewski,Montbret 1551207,Exports,1754,42,Cuirs ; tannés,Isles,,12800.00,232708.50,286698.75,1539029.25,
1210,Milewski,Montbret 1551208,Exports,1754,42,Cuirs ; tannés,Italie,,9900.00,232708.50,286698.75,1539029.25,
1211,Milewski,Montbret 1551209,Exports,1754,42,Cuirs ; tannés,Savoye,,14010.00,232708.50,286698.75,1539029.25,
1212,Milewski,Montbret 1551210,Exports,1754,42,Cuirs ; tannés,Suisse,,5769.00,232708.50,286698.75,1539029.25,
1213,Milewski,Montbret 1551211,Exports,1754,42,Cuisses d'oyes,Guinée,,75.00,0.00,0.00,2745.75,
1214,Milewski,Montbret 1551212,Exports,1754,42,Cuisses d'oyes,Isles,,2670.75,0.00,0.00,2745.75,
1215,Milewski,Montbret 1551213,Exports,1754,42,Cuivre ; en bassins,Guinée,,29541.55,32866.55,0.00,337784.20,Le total aurait dû être de 337780-4
1216,Milewski,Montbret 1551214,Exports,1754,42,Cuivre ; en bassins,Hollande,,3237.50,32866.55,0.00,337784.20,
1217,Milewski,Montbret 1551215,Exports,1754,42,Cuivre ; en bassins,Isles,,87.50,32866.55,0.00,337784.20,
1218,Milewski,Montbret 1551216,Exports,1754,42,Cuivre ; en batterie,Allemagne,,122.50,342.50,0.00,337784.20,
1219,Milewski,Montbret 1551217,Exports,1754,42,Cuivre ; en batterie,Isles,,202.00,342.50,0.00,337784.20,
1220,Milewski,Montbret 1551218,Exports,1754,42,Cuivre ; en batterie,Suisse,,18.00,342.50,0.00,337784.20,
1221,Milewski,Montbret 1551219,Exports,1754,42,Cuivre ; en chaudieres,Guinée,,637.50,16637.50,0.00,337784.20,
1222,Milewski,Montbret 1551220,Exports,1754,42,Cuivre ; en chaudieres,Isles,,16000.00,16637.50,0.00,337784.20,
1223,Milewski,Montbret 1551221,Exports,1754,42,Cuivre ; en chaudrons,Guinée,,14305.50,0.00,0.00,337784.20,
1224,Milewski,Montbret 1551222,Exports,1754,43,Cuivre ; en clochette,Guinée,,645.00,0.00,0.00,337784.20,
1225,Milewski,Montbret 1551223,Exports,1754,43,Cuivre ; doré,Allemagne,,13003.00,14800.00,0.00,337784.20,
1226,Milewski,Montbret 1551224,Exports,1754,43,Cuivre ; doré,Angleterre,,36.00,14800.00,0.00,337784.20,
1227,Milewski,Montbret 1551225,Exports,1754,43,Cuivre ; doré,Flandre,,1600.00,14800.00,0.00,337784.20,
1228,Milewski,Montbret 1551226,Exports,1754,43,Cuivre ; doré,Hollande,,81.00,14800.00,0.00,337784.20,
1229,Milewski,Montbret 1551227,Exports,1754,43,Cuivre ; doré,Nord,,80.00,14800.00,0.00,337784.20,
1230,Milewski,Montbret 1551228,Exports,1754,43,Cuivre ; en grelots,Guinée,,42.00,52.00,0.00,337784.20,
1231,Milewski,Montbret 1551229,Exports,1754,43,Cuivre ; en grelots,Isles,,10.00,52.00,0.00,337784.20,
1232,Milewski,Montbret 1551230,Exports,1754,43,Cuivre ; jaune,Guinée,,1050.00,0.00,0.00,337784.20,
1233,Milewski,Montbret 1551231,Exports,1754,43,Cuivre ; en marmitte,Isles,,3200.00,0.00,0.00,337784.20,
1234,Milewski,Montbret 1551232,Exports,1754,43,Cuivre ; ouvré,Allemagne,,1092.80,152093.00,0.00,337784.20,
1235,Milewski,Montbret 1551233,Exports,1754,43,Cuivre ; ouvré,Angleterre,,7333.55,152093.00,0.00,337784.20,
1236,Milewski,Montbret 1551234,Exports,1754,43,Cuivre ; ouvré,Espagne,,3487.30,152093.00,0.00,337784.20,
1237,Milewski,Montbret 1551235,Exports,1754,43,Cuivre ; ouvré,Flandre,,8.00,152093.00,0.00,337784.20,
1238,Milewski,Montbret 1551236,Exports,1754,43,Cuivre ; ouvré,Guinée,,14031.25,152093.00,0.00,337784.20,
1239,Milewski,Montbret 1551237,Exports,1754,43,Cuivre ; ouvré,Hollande,,136.00,152093.00,0.00,337784.20,
1240,Milewski,Montbret 1551238,Exports,1754,43,Cuivre ; ouvré,Isles,,121160.35,152093.00,0.00,337784.20,
1241,Milewski,Montbret 1551239,Exports,1754,43,Cuivre ; ouvré,Italie,,1820.00,152093.00,0.00,337784.20,
1242,Milewski,Montbret 1551240,Exports,1754,43,Cuivre ; ouvré,Levant,,1252.50,152093.00,0.00,337784.20,
1243,Milewski,Montbret 1551241,Exports,1754,43,Cuivre ; ouvré,Portugal,,52.50,152093.00,0.00,337784.20,
1244,Milewski,Montbret 1551242,Exports,1754,43,Cuivre ; ouvré,Savoye,,1658.75,152093.00,0.00,337784.20,
1245,Milewski,Montbret 1551243,Exports,1754,43,Cuivre ; ouvré,Suisse,,60.00,152093.00,0.00,337784.20,
1246,Milewski,Montbret 1551244,Exports,1754,43,Cuivre ; en planches,Espagne,,1125.00,10409.05,0.00,337784.20,
1247,Milewski,Montbret 1551245,Exports,1754,43,Cuivre ; en planches,Guinée,,2153.25,10409.05,0.00,337784.20,
1248,Milewski,Montbret 1551246,Exports,1754,43,Cuivre ; en planches,Isles,,7130.80,10409.05,0.00,337784.20,
1249,Milewski,Montbret 1551247,Exports,1754,44,Cuivre ; en rozette,Espagne,,35596.00,44605.00,0.00,337784.20,
1250,Milewski,Montbret 1551248,Exports,1754,44,Cuivre ; en rozette,Savoye,,9009.00,44605.00,0.00,337784.20,
1251,Milewski,Montbret 1551249,Exports,1754,44,Cuivre ; tangoul,Espagne,,9855.00,42894.00,0.00,337784.20,
1252,Milewski,Montbret 1551250,Exports,1754,44,Cuivre ; tangoul,Italie,,27472.50,42894.00,0.00,337784.20,
1253,Milewski,Montbret 1551251,Exports,1754,44,Cuivre ; tangoul,Levant,,5566.50,42894.00,0.00,337784.20,
1254,Milewski,Montbret 1551252,Exports,1754,44,Cuivre ; vieux,Allemagne,,710.10,3884.10,0.00,337784.20,Le sous total aurait dû être 3880-2
1255,Milewski,Montbret 1551253,Exports,1754,44,Cuivre ; vieux,Espagne,,1650.00,3884.10,0.00,337784.20,
1256,Milewski,Montbret 1551254,Exports,1754,44,Cuivre ; vieux,Italie,,480.00,3884.10,0.00,337784.20,
1257,Milewski,Montbret 1551255,Exports,1754,44,Cuivre ; vieux,Savoye,,335.00,3884.10,0.00,337784.20,
1258,Milewski,Montbret 1551256,Exports,1754,44,Cuivre ; vieux,Suisse,,705.00,3884.10,0.00,337784.20,
1259,Milewski,Montbret 1551257,Exports,1754,44,Culottes,Espagne,,7846.00,0.00,0.00,18346.20,
1260,Milewski,Montbret 1551258,Exports,1754,44,Culottes,Isles,,8880.20,0.00,0.00,18346.20,
1261,Milewski,Montbret 1551259,Exports,1754,44,Culottes,Portugal,,1440.00,0.00,0.00,18346.20,
1262,Milewski,Montbret 1551260,Exports,1754,44,Culottes,Suisse,,180.00,0.00,0.00,18346.20,
1263,Milewski,Montbret 1551261,Exports,1754,44,Cumin,Angleterre,,1831.80,0.00,0.00,71272.60,
1264,Milewski,Montbret 1551262,Exports,1754,44,Cumin,Espagne,,1456.60,0.00,0.00,71272.60,
1265,Milewski,Montbret 1551263,Exports,1754,44,Cumin,Hollande,,55805.00,0.00,0.00,71272.60,
1266,Milewski,Montbret 1551264,Exports,1754,44,Cumin,Italie,,574.00,0.00,0.00,71272.60,
1267,Milewski,Montbret 1551265,Exports,1754,44,Cumin,Nord,,11605.20,0.00,0.00,71272.60,
1268,Milewski,Montbret 1551266,Exports,1754,44,Curcuma,Hollande,,20.00,0.00,0.00,0.00,
1269,Milewski,Montbret 1551267,Exports,1754,44,Curlas,Guinée,,20.00,0.00,0.00,0.00,
1270,Milewski,Montbret 1551268,Exports,1754,44,Damas,Guinée,,756.00,0.00,0.00,121880.00,
1271,Milewski,Montbret 1551269,Exports,1754,44,Damas,Hollande,,105385.00,0.00,0.00,121880.00,
1272,Milewski,Montbret 1551270,Exports,1754,44,Damas,Nord,,15739.00,0.00,0.00,121880.00,
1273,Milewski,Montbret 1551271,Exports,1754,45,Dame jeannes,Isles,,12066.50,0.00,0.00,12950.50,
1274,Milewski,Montbret 1551272,Exports,1754,45,Dame jeannes,Italie,,884.00,0.00,0.00,12950.50,
