numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,direction,pays,marchandises,quantit,quantity_unit,value,remarks
147,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Etoffes de laine,8339,livres,28000,
148,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Etoffes de coton,2776,livres,23000,
149,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Fayence et poterie,,valeur,31000,
150,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Charbon de terre,5704000,livres,143000,
151,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Suif,17890,livres,11000,
152,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Plomb,58980,livres,13000,
153,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Laines non filées,15659,livres,25000,
154,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Poivre,8015,livres,12000,
155,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,66000,
156,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Dentelle de fil,"19,5",livres,27000,
157,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Dentelle de Soye,13,livres,6000,
158,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Etoffes diverses,40977,livres,106000,
159,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Toiles diverses,9549,livres,20000,
160,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Toile Batiste,2692,aunes,14000,largeure pt 288 £
161,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Toiles de lin,9737,livres,22000,
162,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Toiles de coton,11585,livres,29000,
163,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Divers,,valeur,20000,
164,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Chataignes,95400,livres,10000,
165,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Merceries melées,,valeur,13000,
166,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Beufs vaches moutons &c.,,valeur,65000,
167,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,35000,
168,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Bonneterie de Coton,,valeur,85000,
169,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Bonneterie de laine,,valeur,62000,
170,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Bonneterie de fil,,valeur,17000,
171,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Couvertures,,valeur,19000,
172,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Drap de laine,,valeur,216000,
173,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Etofes de laine,,valeur,445000,
174,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Etofes de coton,,valeur,1057000,
175,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Gaze de soie,,valeur,56000,
176,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Jarretieres et tresses de laine,,valeur,19000,
177,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,fayance,,valeur,404000,
178,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Verrerie,,valeur,33000,
179,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Toiles communes,,valeur,20000,
180,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Toiles de lin,11215,aunes,29000,
181,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Toiles de coton,,valeur,345000,"5691,5 pièces et 42032 aunes."
182,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,armes à feu,,valeur,28000,
183,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Cornes à lanternes,,valeur,11000,
184,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Habillements,,valeur,15000,
185,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,harnoits et sellerie,,valeur,18000,
186,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Clouds de cuivre,22620,livres,34000,
187,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Instrumens divers,,valeur,28000,
188,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Meules à taillandiers,,valeur,30000,
189,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Mercerie mélée,,valeur,167000,
190,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Quincaillerie,,valeur,122000,
191,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Voitures,47,nombre,38000,
192,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Marchandises à la valeur,,valeur,61000,
193,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Meubles divers,,valeur,22000,
194,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Beurre,393735,livres,315000,
195,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Riz,151215,livres,42000,
196,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Huitres,1100787,nombre,17000,
197,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Saumon Salé,146640,livres,37000,
198,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,"Fromage, moutarde &c.",,valeur,13000,
199,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Bœuf Salé,1297360,livres,389000,
200,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Jambon et lard Salé,488584,livres,197000,
201,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Drap et Etofe de Laine,,valeur,20000,
202,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Porcelaine,2505,livres,15000,
203,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Toile Batiste,5635,aunes,42000,
204,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Librairie,,valeur,25000,
205,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Musique,,valeur,10000,
206,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Graine de foin,26635,livres,21000,
207,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Carreaux démoulés,,valeur,13000,
208,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Marchandise à la valeur,,valeur,30000,
209,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Bled,,valeur,96000,
210,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Charbon de terre,33190375,livres,742000,
211,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Cuivre,277592,livres,322000,
212,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Laiton,77498,livres,113000,
213,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Etain,208419,livres,202000,
214,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,fers divers,724106,livres,187000,
215,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Plomb,478059,livres,142000,
216,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Suifs,,valeur,17000,
217,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Bierre,457,muids,38000,
218,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,alun,400440,livres,120000,
219,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Laines,8005,livres,40000,
220,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,chanvre,35200,livres,13000,
221,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Cotons,3561,livres,10000,
222,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Soies du Bengale,14530,livres,349000,
223,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Dents d'Elephants,21218,livres,100000,
224,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Peaux de castor en poil,1250,livres,12000,
225,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,huile de poisson,412902,livres,159000,
226,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Drogueries diverses pour la Peinture et la teinture,,valeur,36000,
227,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Couperose verte,151777,livres,18000,
228,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Mine de plomb,286491,livres,89000,
229,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Indigo ,5560,livres,27000,
230,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Poivre,107119,livres,135000,
231,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Baleine en fanon,75899,livres,260000,
232,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Drogues medecinales,,valeur,31000,
233,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Chevaux,129,nombre,39000,
234,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Imports,Haute Normandie,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,63000,
235,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Cuivre,83723,livres,75000,
236,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Eau de vie,"69,39",muids,14000,
237,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Vins divers,,valeur,71000,11 muids 261 pintes et 26006 bouteilles
238,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Laines,55521,livres,280000,
239,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Coton en laine,1390193,livres,3475000,
240,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Indigo ,1332,livres,17000,
241,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,29,Exports,Haute Normandie,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,64000,
242,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Alun,424091,livres,106000,
243,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Fayence,6071,livres,24000,
244,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Draperie commune,,valeur,17000,
245,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Etoffes de Coton,,valeur,83000,
246,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Etoffes de Laine,9796,livres,92000,
247,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Divers en mercerie &c.,,valeur,26000,
248,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Quincaillerie,,valeur,12000,
249,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Marchandises à la valeur,,valeur,15000,
250,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Bois de Teinture,139924,livres,17000,
251,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Bois de construction,,valeur,12000,
252,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Charbon de terre,1045000,livres,42000,
253,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Cuivre,322508,livres,449000,
254,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Etain,138172,livres,138000,
255,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,fers divers,191085,livres,49000,
256,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Fer blanc,58401,livres,29000,
257,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Plomb,1199596,livres,300000,
258,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Alquifoux,376251,livres,75000,
259,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Ceruse,62660,livres,13000,
260,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Couperose,315454,livres,63000,
261,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Indigo,16686,livres,133000,
262,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,huile de poisson,83843,livres,25000,
263,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Poivre,11250,livres,17000,
264,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Imports,Provence,Angleterre,Bled,472320,livres,57000,
265,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Diverses,,valeur,22000,
266,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Exports,Provence,Angleterre,huile d'Olive,37330,livres,24000,
267,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Savon,41985,livres,21000,
268,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Eau de vie,"233,89",muids,40000,
269,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Vins,"82,82",muids,16000,
270,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Divers,,valeur,34000,
271,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Capres,78380,livres,33000,
272,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Ris,42000,livres,13000,
273,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Coton en laine,11795,livres,29000,
274,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,31,Exports,Provence,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,36000,
275,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Bonnetterie de laine,,valeur,153000,
276,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Bonnetterie de coton,,valeur,102000,
277,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Etoffes de coton,,valeur,642000,
278,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Etoffes de Laine,,valeur,547000,
279,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Gazes de Soye,,valeur,129000,
280,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Drap de laine,14266,aunes,316000,
281,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Tapis de pied,,valeur,19000,
282,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Toiles de coton,,valeur,67000,
283,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Toiles peintes,,valeur,18000,
284,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Fayence et poterie,,valeur,81000,
285,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Estampes,,valeur,30000,
286,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Quincaillerie,,valeur,542000,
287,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Sellerie,,valeur,53000,
288,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Mercerie et bijouterie,,valeur,234000,
289,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Liége en bouchons,,valeur,20000,
290,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Voitures,283,nombre,174000,
291,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Instruments de musique,,valeur,39000,
292,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,33,Imports,Picardie,Angleterre,Ouvrages de coton,,valeur,23000,
