simplification,categorization,note
pierre ; éclatante,,
pierre ; à écurer,,
pierre ; à tallandier,,
pierre ; à rasoir,,
pierre ; à polir,,
pierre ; à paver ; poli,,
pierre ; à paver ; non poli,,
pierre ; à moule,,
pierre ; à manganèse,,
pierre ; à foyer,,
pierre ; à filtrer l'eau,,
pierre ; à filtrer,,
pierre ; à diguer,,
pierre ; à calfeutrer,,
pierre ; à broyer couleur,,
pierre ; à aiguiser,,
pierre ; travaillée,,
pierre ; toilée,,
pierre ; tendre,,
pierre ; tailler ; à bâtir,,
pierre ; serpentine,,
pierre ; rouge,,
pierre ; pourrie,,
pierre ; pour sol,,
pierre ; pour faire sucre,,
pierre ; ponce,,
pierre ; plâtre,,
pierre ; noire,,
pierre ; meule ; à aiguiser,,
pierre ; à meule ; en grès taillé,,
pierre ; meule,,
pierre ; marcassite,,
pierre ; manganèse,,
pierre ; jayet ; ouvrée,,
pierre ; fine,,
pierre ; façonnée ; d'architecte,,
pierre ; fausse,,
pierre ; en statue,,
pierre ; en quartier,,
pierre ; en mortier,,
pierre ; en masse et en bloc,,
pierre ; en cippe,,
pierre ; en carreau ; à mouler,,
pierre ; en borne-frontière,,
pierre ; de vin,,
pierre ; de verre,,
pierre ; de tourbe,,
pierre ; de touche,,
pierre ; de taille,,
pierre ; de seuil,,
pierre ; de roche,,
pierre ; de mouche,,
pierre ; de mine,,
pierre ; de meuble,,
pierre ; de matte,,
pierre ; de malte,,
pierre ; de laine,,
pierre ; de jaspe,,
pierre ; de jais ; brut,,
pierre ; de jais,,
pierre ; de grès à pares,,
pierre ; de grison,,
pierre ; à four,,
pierre ; de fil,,
pierre ; de composition,,
pierre ; de chaux,,
pierre ; de bas de meule,,
pierre ; de barrique,,
pierre ; de St. Fas,,
pierre ; de St. Cast,,
pierre ; de Namur,,
pierre ; de Milan,,
pierre ; de Coument,,
pierre ; de Bentem,,
pierre ; d'éponge,,
pierre ; d'émeri,,
pierre ; d'élan,,
pierre ; d'écrevisse,,
pierre ; d'hyacinthe,,
pierre ; d'autel,,
pierre ; d'aunan,,
pierre ; d'asphalte,,
pierre ; d'arquebuse,,
pierre ; d'ardoise,,
pierre ; d'architecture,,
pierre ; d'agate ; travaillée,,
pierre ; d'Inde,,
pierre ; coupée,,
pierre ; cornalienne,,
pierre ; code,,
pierre ; calcaire,,
pierre ; bleue ; travaillée,,
pierre ; bleue ; en carreau,,
pierre ; bleue ; brûlée,,
pierre ; bleue,,
pierre ; à chaux,,
pierre ; blanche ; à bâtir,,
pierre ; blanche,,
pierre ; antique,,
pierre ; à faux,,
piedmento,,
pieds ; doré,,
pieds ; de vide,,
pieds ; de bœuf,,
pieds ; de bouteille,,
pieds ; d'élan,,
monnaie ; piastre,monnaie,
photas,photas,
philipichine,drap ; de laine,
phiass,phiass,
phaeton,,
pevine,,
petum,,
petite pièce ; en fer,,
petit pois,,
pertiolles,pertiolles,
persienne,persienne,
perruque ; vieille,,
perruque ; de peau ; de mouton,,
perruque ; de laine,,
perruque ; de chèvre ; de poil,,
perruque,perruques,
perroquet,,
perpétuane ; peinte,,
perpétuane ; blanche,,
perpétuane,perpétuane,
perle ; fine,perles ; fines,
perle ; fausse,perles ; fausses,
perle ; de verre,,
perle,,
perdrix,gibier,
perdreau,gibier,
perche ; à houblon,perche,
perche ; grande,,
perche ; moyenne,,
perche ; de sapin,,
perche ; de bois,perche,
perche ; commune,,
perche,perche,
percerette,percerettes,
percale ; ou coutil ; pour couette,,
percale ; bleu,,
percale,,
penne ; aguipon,,
penne,,
pendule,,
penderie,,
pendant ; d'oreille,pendants ; d'oreilles,
écorce ; de citron,écorce,
peluche,peluche,
pelleterie ; non apprêtée,,
pelleterie ; fine,,
pelletrie ; en parchemin,,
pelleterie ; diverse ; apprêtée,,
pelleterie ; de castor,,
pelleterie ; commune ; du Canada,,
pelleterie ; commune ; crue,,
pelleterie ; commune,,
pelle ; pour cheminée,,
pelle ; de sapin,,
pelle ; de bois ; ferrée,,
pelle ; de bois,pelle ; de bois,
pelle ; commune,,
pelle,,
pelisse ; commune,,
pelisse,peaux,
peinture ; préparée,,
peinture ; grossière,,
peinture et tableau,,
peinture ; commune,,
peinture,,
peigne ; de griffon,,
peigne ; de coton,,
peigne ; de buis,peignes,
peigne ; de bois,peignes,
peigne ; d'étoffe,peignes,
peigne ; d'écaille,peignes,
peigne ; d'ivoire,peignes,
peigne ; d'herbe,,
peigne ; à tisserand,peignes,
peigne,peignes,
peau ; à panche,,
peau ; tapisserie,,
peau ; tannée ; de veau,,
peau ; tannée,,
peau ; séché,,
peau ; salé,,
peau ; fine,,
peau ; pelleterie ; du Canada,,
peau ; non apprêtée,,
peau ; pelisse,peaux,
peau ; passée,,
peau ; d'âne,,
"peau ; de chèvre, fine",,
peau ; en parchemin,,
peau ; en maroquin,,
peau ; en couleur,peaux,
peau ; du harnois,,
peau ; diverse ; non apprêtée,,
peau ; diverse ; en poil,,
peau ; de vélin,peaux,
peau ; de vison,,
peau ; de veau pour cordonnier,,
peau ; de veau ; passée,,
peau ; de veau ; marin,,
peau ; de veau ; en poil,,
peau ; de veau ; en magie,,
peau ; de veau ; en grain,peaux,
peau ; de veau ; en croûte,,
peau ; de veau ; teinte,,
peau ; de veau ; en chamois,peaux ; apprêtées,
peau ; de veau en blanc,,
peau ; de veau ; basane,,
peau ; de veau ; dit roussette,,
peau ; corroyée ; de veau ; en noir,,
peau ; de veau ; apprêtée,,
peau ; de veau,,
peau ; de vache ; de Russie,,
peau ; de vache,,
peau ; non apprêtée ; de tigre,,
peau ; de tigre,peaux,
peau ; de taureau,,
peau ; de tambour,peaux,
peau ; de signe,,
peau ; de sauvagine,,
peau ; de sanglier,peaux,
peau ; de requin,peaux,
peau ; de renne,,
peau ; apprêtée ; de renard,peaux,
peau ; de renard,peaux,
peau ; de rat musqué,peaux,
peau ; de rat,,
peau ; de pécaude,peaux,
peau ; non apprêtée ; de porc,,
peau ; de plongeon,peaux,
peau ; de pelisse,peaux,
peau ; de pecan,,
peau ; de parchemin,,
peau ; de panthère,peaux,
peau ; de mouton ; tannée,,
peau ; de mouton ; passée ; en blanc,,
peau ; non apprêtée ; de mouton,,
peau ; de mouton ; en gris,,
peau ; de mouton ; teinte,,
peau ; de mouton ; blanc,,
peau ; de mouton ; basane,,
peau ; de mouton ; chamoisée,,
peau ; de mouton apprêtée et en couleur,,
peau ; apprêtée ; de mouton ; en mesquis,peaux,
peau ; de mouton,,
peau ; de martre ; passée,,
peau ; de martre ; commune et en pointe,,
peau ; de maroquin,peaux,
peau ; de marmotte,peaux,
peau ; de martre,peaux,
peau ; de léopard,peaux,
peau ; de loutre,,
peau ; de loup ; marin,peaux,
peau ; de loup ; du Canada,,
peau ; de loup ; de bois,,
peau ; de loup ; de Moscou,,
peau ; de cervier,,
peau ; apprêtée ; de loup,peaux,
peau ; de loup,peaux,
peau ; de lièvre ; sans poil,,
peau ; non apprêtée ; de lièvre et lapin,,
peau ; apprêtée ; de lièvre et lapin,,
peau ; de lièvre et lapin,peaux,
peau ; apprêtée ; de lièvre,peaux,
peau ; de lièvre,peaux,
peau ; de lapin,,
peau ; de la Louisiane,peaux,
peau ; de hermine,,
peau ; de guinée,,
peau ; de glouton,,
peau ; de fourrure,peaux,
peau ; de fouine,peaux,
peau ; crue ; de figue,,
peau ; de fauve,,
peau ; non apprêtée ; de daim,,
peau ; de daim ; chamoisée,,
peau ; de daim,peaux,
peau ; de crible,peaux,
peau ; de couleur,,
peau ; de chèvre ; à poil,,
peau ; de chèvre ; verte,,
peau ; de chèvre ; passée,,
peau ; de chèvre ; en mégie,,
peau ; de chèvre ; teinte,,
peau ; de chèvre ; diverse,,
peau ; de chèvre,,
peau ; de chien de mer,,
peau ; de chien,,
peau ; de chevrotin,peaux,
peau ; de chevreuil ; passée,,
peau ; de chevreuil ; en parchemin,,
peau ; de chevreuil ; demie,,
peau ; de chevreuil ; apprêtée,,
peau ; de chevreuil,,
peau ; de chevreau ; non apprêtée,,
peau ; de chevreau ; en poil,,
peau ; de chevreau ; apprêtée,,
peau ; de chevreau,peaux,
peau ; de cheval ; passée,,
peau ; de cheval ; en poil,,
peau ; de cheval ; apprêtée,,
peau ; de cheval,peaux,
peau ; de chat sauvage,,
peau ; de chat ; sauvage,peaux,
peau ; de chat ; cervier,peaux,
peau ; de chat,peaux,
peau ; de chamois,peaux,
peau ; de chameau,peaux,
peau ; de chagrin,peaux ; de chagrin,
peau ; de cerf et chevreuil,,
peau ; de cerf,peaux,
peau ; de cazeaux,peaux,
peau ; de castor gras et sec,,
peau ; de castor ; sec,,
peau ; de castor ; gras,,
peau ; de castor,peaux,
peau ; de caribou,,
peau ; de carcasson,peaux,
peau ; de carcajou,peaux,
écorce ; de cacao,écorce,
peau ; de cabri,peaux,
peau ; séchée ; de bœuf,,
peau ; de bœuf ; en poil,,
peau ; de bœuf,,
peau ; non apprêtée ; de buffle,,
peau ; de buffle ; chamoisée,,
peau ; de buffle,,
peau ; de buenosaire ; en poil,,
peau ; non apprêtée ; de chèvre,,
peau ; apprêtée ; de chèvre,peaux,
peau ; de bouc et chèvre,,
peau ; non apprêtée ; de bouc,,
peau ; de bouc,,
peau ; de blaireau,peaux,
peau ; de biche,,
peau ; de C ; apprêtée,,
peau ; d'éventail,peaux ; d'éventails,
peau ; d'élan ; en parchemin,,
peau ; d'élan ; crue,,
peau ; d'élan,,
peau ; d'écureuil,,
peau ; non apprêtée ; d'âne,,
peau ; d'ours et d'ourson,,
peau ; d'ours ; crue,,
peau ; d'ours ; apprêtée et non apprêtée,,
peau ; d'ours ; apprêtée,,
peau ; d'ours,peaux,
peau ; d'orignal ; apprêtée,,
peau ; d'orignal,,
peau ; d'hermine,peaux,
peau ; d'haye,,
peau ; pour emballage,,
peau ; d'augnitte,peaux,
peau ; d'anguille,peaux,
peau ; non apprêtée ; d'agneau,,
peau ; d'agneau ; en poil,,
peau ; d'agneau ; en laine,peaux ; crue,
peau ; apprêtée ; d'agneau ; en mesquis,peaux,
peau ; apprêtée ; d'agneau,peaux,
peau ; d'agneau,peaux,
peau ; crue,,
peau ; corroyée,peaux,
peau ; corroyée ; de veau,,
peau ; corroyée ; de maroquin,peaux,
peau ; brute et apprêtée,,
peau ; bronzée,peaux,
peau ; blanche ; apprêtée,,
peau ; blanche,peaux,
peau ; apprêtée ; diverse,,
peau ; apprêtée ; de veau,peaux,
peau ; apprêtée ; de vache,peaux,
peau ; apprêtée ; de roussette,peaux,
peau ; apprêtée ; de petit gris,peaux,
peau ; apprêtée ; de mouton,peaux,
peau ; apprêtée ; de maroquin,peaux,
peau ; apprêtée ; de daim,peaux,
peau ; apprêtée ; de chèvre et chevreau,peaux,
peau ; apprêtée ; de chevreuil,peaux,
peau ; apprêtée ; de chamois,peaux,
peau ; apprêtée ; de buffle,peaux,
peau ; apprêtée ; de bouc,peaux,
peau ; apprêtée ; d'ours,peaux,
peau ; apprêtée,peaux,
peau,peaux,
pavé ; de morue,,
pavé,pavés,
pavot,pavots,
paumelle ; germée,paumelle,
paumelle,paumelle,
patte ou vieux chiffon,,
patte ; d'ancre,,
pâtisserie,,
patin ; pour femme,,
patin ; de bois,,
patin,patins,
patate,patates,
pastille,pastilles,
passementerie ; galon ; de soie,passementerie,
passementerie ; fine ; en velours,passementerie,
passementerie ; fine ; en filet ; d'or,passementerie,
passementerie ; gant ; en soie,passementerie,
passementerie ; laine ; tressé,passementerie,
passementerie ; fil ; cordon,passementerie,
passementerie ; bouton ; de crin,passementerie,
passementerie ; ruban de soie,,
passementerie ; ruban de filoselle,,
passementerie ; ruban de fil,,
passementerie ; mêlé de soie,,
passementerie ; divers,,
passementerie ; galon d'or et d'argent fin,,
passementerie ; galon d'or et d'argent faux,,
passementerie ; galon d'or et d'argent,,
passementerie ; de soie et laine,,
passementerie ; de soie,passementerie,
passementerie ; de poil de chèvre,,
passementerie ; de laine ou sayette,,
passementerie ; de laine,passementerie,
passementerie ; de fil et soie,,
passementerie ; de fil et laine,,
passementerie ; de fil et coton,,
passementerie ; de coton,,
passementerie ; d'or et de soie,,
passementerie ; d'or et d'argent,,
passementerie ; d'or,,
passementerie ; argent ; faux,passementerie,
passement ; argent,,
parure ; d'argent,,
parun,paruns,
bois ; chêne,,
particulièrement en cheval,,
pariera brava,pariarabrava,
pariera,,
parfumerie ; savonnette,parfumerie,
pâte ; d'amande,pâte ; d'amande,
parfumerie ; poudre à poudrer,parfumerie,
parfumerie ; pommade,parfumerie,
parfumerie ; musc,parfumerie,
parfumerie ; huile et essence,,
parfumerie ; eau spiritueuse,,
parfumerie ; eau de senteur,,
parfumerie ; divers,,
parfumerie,parfumerie,
parfum,parfum,
parchemin neuf,,
parchemin ; en feuille,,
parchemin vieux,,
parchemin,parchemin,
paravent,,
parasol ; de soie,,
parasol ; de peau,,
parasol,parasols,
parapluie et parasol,parapluie,
parapluie ; de toile,,
parapluie ; de taffetas,,
parapluie ; commun,,
parapluie,parapluie,
papillon ; sec,papillons,
papier ; à éventail,,
papier ; à écrire,papier,
papier ; à sucre,papier,
papier ; à plan,papier,
papier ; à meubler,,
papier ; à leurre,papier,
papier ; à lettre,papier,
papier ; à la piperie,papier,
papier ; à l'étoile ; fin,papier,
papier ; à l'étoile,papier,
papier ; à l'écu ; fin,papier,
papier ; à l'écu,papier,
papier ; à imprimer et à faire carte,,
papier ; à imprimer,,
papier ; à image,papier,
papier ; à gargousse,papier,
papier ; à faire carte,,
papier ; à envelopper,papier,
papier ; à doublage,papier,
papier ; à cartouche,papier,
papier ; à bulle blanc,papier,
papier ; à bulle,papier,
papier ; violet,papier,
papier ; roux,papier,
papier ; pot ; fin,papier,
papier ; petit ; fin,,
papier ; peint et à meubler,,
papier ; peint,papier,
papier ; noir,papier,
papier ; métallisé,papier,
papier ; musique gravée,,
"papier ; marbré, fleuragé et doré",,
papier ; marbré et à meubler,,
papier ; marbré doré,,
papier ; marbré,papier,
papier ; intissé,papier,
papier ; gros dit carton,,
papier ; gris,papier,
papier ; grande rame,papier,
papier ; gaufré,papier,
papier ; en balle,,
papier ; doré,papier,
papier ; des Indes,papier,
papier ; de tenture,,
papier ; de tapisserie,papier,
papier ; de poste,,
papier ; de pliage,papier,
papier ; de musique,papier,
papier ; de couleur,papier,
papier ; de Lamballe,papier,
papier ; de Hollande,papier,
papier ; de Gênes ; peint,papier,
papier ; de Gênes ; fin,papier,
papier ; de Gênes ; commun,papier,
papier ; de Chine,papier,
papier ; de Charente,,
papier ; d'éventail,papier,
papier ; d'emballage,papier,
papier ; tontisse,papier,
papier ; commun,papier,
papier ; collé,,
papier ; bâtard ; fin,papier,
papier ; bâtard,papier,
papier ; buvard ; fin,papier,
papier ; buvard,papier,
papier ; brun,papier,
papier ; brouillard,papier,
papier ; bleu à couvrir,,
papier ; bleu,papier,
papier ; blanc à écrire,papier,
papier ; blanc petit,,
papier ; blanc,papier,
papier ; argenté et doré,,
papier,papier,
papeterie ; registre ; en blanc,,
papeterie ; papier à écrire ; toute espèce,,
papeterie ; papier peint et à tapisserie,,
papeterie ; papier commun et à enveloppe,,
papeterie,,
papeline,papeline,
paon,paons,
pentoufle ; brodée,,
pantalon ; en laine,,
pantalon,,
panneau,panneaux,
"panne, pluche et trippe",,
panne ; écarlatte,panne,
panne ; poil,,
panne ; ordinaire,panne,
panne ; de soie,,
panne ; d'Amiens,,
panne,panne,
panier ; de jonc,panier,
panier ; de cuivre,panier,
panier ; de coudre,panier,
panier ; de caudré,panier,
panier ; d'oseille,panier,
panier ; d'habit,panier,
panier,panier,
paneston,,
palun,palun,
palmier,,
palme ; en feuille,palmes ; en feuilles,
palme,palmes,
palins,palins,
palatine,palatine,
palangre,filets,
palan,,
pain ; à cacheter,pain ; à cacheter,
pain ; graine de lin et de navelle,,
sucre ; en pain,sucre,
pain ; de grain ; seigle,,
pain ; de navette en poudre,,
pain ; de navette,pain ; de navette,
pain ; de graine de lin et de navelle,pain ; de graines de lin et de navelle,
pain ; de graine ; de lin,,
pain ; de grain ; froment,,
pain ; d'épice,pain ; d'épice,
pain,pain,
argent ; paillette,argent ; métal,
or et argent ; paillette,or et argent,
or ; paillette,or,
paille ; hachée,,
paille ; d'herbe,,
paille,paille,
paillasson ; en fibre,,
paillasson,,
pagne,pagne,
padoue ; de fleur et soie,,
padou ; de fil,,
padou,,
oxyde ; de plomb,,
ouvrage ; vannerie d'osier,,
tuile,tuile,
ouvrage ; sparterie,,
ouvrage ; riche ; étoffe en or mêlée de soie,,
"ouvrage ; riche ; étoffe en dorure, galon et passementerie",,
ouvrage ; riche ; étoffe riche,,
ouvrage ; riche ; soierie et dorure fine,,
ouvrage ; riche ; soierie et dorure,,
ouvrage ; riche,,
"ouvrage ; riche ; dentelle, galon, passementerie, ruban",,
"ouvrage ; riche ; dentelle, galon, passementerie",,
"ouvrage ; mélangé ; étoffe, gaze, crêpe et tuls",,
ouvrage ; mélangé ; étoffe mêlée,,
ouvrage ; mélangé ; étoffe de soie,,
ouvrage ; mélangé ; schal et mouchoir,,
ouvrage ; mélangé ; mouchoir,,
"ouvrage ; mélangé ; gaze, crêpe et tuls",,
ouvrage ; mélangé ; bonneterie,,
ouvrage ; gant ; de peau,,
ouvrage ; en tôle vernie,,
"ouvrage ; en terre cuite, brique, tuile, carreau, pipe",,
ouvrage ; en terre cuite,,
porte ; de verre,,
ouvrage ; en passementerie ordinaire,,
ouvrage ; en natte ; de bois,,
ouvrage ; en natte ; de Moscovie,,
ouvrage ; en nacre de perle,,
ouvrage ; en métal et fer,,
ouvrage ; en métal,,
ouvrage ; en marbre,,
ouvrage ; en lame ; à couvrir,,
ouvrage ; en harnois et sellerie,,
ouvrage ; en futaillerie et de Saint-Claude,,
ouvrage ; en fleur artificielle,,
ouvrage ; en fer ; blanc,,
ouvrage ; en esparballe,,
ouvrage ; en dorure ; fine,,
ouvrage ; en dorure ; fil ; d'argent,,
ouvrage ; en dorure ; fausse,,
ouvrage ; en dorure ; argent ; faux,,
ouvrage ; en dorure,,
"ouvrage ; en plaqué, cuivre doré, argenté",,
ouvrage ; en bois,,
"ouvrage ; doré, argenté et plaqué",,
ouvrage ; dorure ; fine,,
ouvrage ; dorure ; fausse,,
ouvrage ; en cuir,,
vaisselle ; de verre,,
ouvrage ; de verre ; en rasade,,
ouvrage ; de verre,ouvrage ; de verre,
panier ; d'osier,panier,
vannerie ; d'osier,,
vannerie,,
"ouvrage ; de vannerie, bois et osier",,
ouvrage ; de tourneur,,
ouvrage ; de tonnellerie,,
ouvrage ; de tonnelier ; en feuille,,
ouvrage ; de tonnelier,ouvrages,
poterie ; de terre cuite et de pierre,,
ouvrage ; de terre en posture,,
ouvrage ; de terre cuite ; moule,ouvrage ; de terre,
tuile ; de terre cuite et tourbe,tuile,
pipe ; de terre cuite,,
"ouvrage ; de terre cuite ; en brique, tuile et carreau",,
ouvrage ; panneau ; à couvrir ; de terre cuite,,
creuset ; de terre cuite,creusets,
carreau ; de terre cuite,carreaux,
ouvrage ; de terre cuite ; brique,,
ouvrage ; de terre cuite,ouvrage ; de terre,
ouvrage ; de terre ; tuile,,
ouvrage ; de terre ; pipe à fumer,,
tuile ; de terre cuite,tuile,
poterie ; de terre cuite,,
"ouvrage ; de terre ; cuite ; en carreau, tuile, terraille, brique, etc.",,
ouvrage ; de terre,ouvrage ; de terre,
ouvrage ; de taillandier,ouvrages,
ouvrage ; de tabletterie,,
tabac ; ouvré,tabac,
"ouvrage ; de sparterie commune, cordage de jonc, ...",,
ouvrage ; de sparterie,,
ouvrage ; de spa,ouvrages,
ouvrage ; de soulier ; pour homme,,
ouvrage ; de soulier ; pour femme,,
ouvrage ; de soulier ; pour enfant,,
ouvrage ; de soulier ; couvert ; en étoffe ; de soye ; pour femme,,
ouvrage ; de soie et dorure,ouvrages,
ouvrage ; de serrurerie ; ressort de voiture,ouvrage ; de serrurerie,
ouvrage ; de serrurerie,ouvrage ; de serrurerie,
ouvrage ; de sellier de toute sorte,,
ouvrage ; sellerie,,
ouvrage ; sculpture,,
ouvrage ; de pâte,ouvrages,
ouvrage ; de porcelaine et faïence,,
ouvrage ; de porcelaine,ouvrages,
ouvrage ; de plâtre en figure,,
ouvrage ; de plâtre,ouvrages,
ouvrage ; de plume,ouvrages,
ouvrage ; de plomb ; caractère d'imprimerie,ouvrages,
ajami,ajami,
pipe,,
ouvrage ; de pierre,ouvrages,
ouvrage ; de peau,,
ouvrage ; de peau ; diverse,,
ouvrage ; de peau ; de daim,,
ouvrage ; de peau ; d'oigneaux,,
pelleterie,,
ouvrage ; de passementerie ; ordinaire,,
passementerie ; en soie,passementerie,
passementerie,passementerie,
ouvrage ; de passementerie,,
ouvrage ; de papeterie,,
ouvrage ; de pantoufle,,
ouvrage ; de paille,ouvrages,
ouvrage ; de métal,ouvrages,
ouvrage ; de mécanique,ouvrages,
ouvrage ; de mode ; fleur artificielle,ouvrages,
ouvrage ; de mode,,
passementerie ; de mi soie,passementerie,
ouvrage ; de menuiserie,ouvrages,
ouvrage ; de marqueterie,ouvrages,
marbre ; ouvré ; à jouer,marbre ; ouvré,
marbre ; ouvré ; en table,marbre ; ouvré,
marbre ; ouvré ; en mortier,marbre ; ouvré,
ouvrage ; de marbre et cuivre ; doré,ouvrages,
marbre ; ouvré ; en carreau,marbre ; ouvré,
ouvrage ; de mandrier,,
ouvrage ; de laiton,ouvrages,
ouvrage ; de laine,ouvrages,
ouvrage ; de jonc et sparterie,,
ouvrage ; de jonc,ouvrages,
jaspe ; ouvré,jaspe,
ouvrage ; de fleuret,ouvrage ; de fleuret,
ouvrage ; de fleur ; artificielle,,
ouvrage ; de ferblanterie et tôle vernie,,
ouvrage ; de fer en fonte,,
fer ; blanc ouvré,,
ouvrage ; de fer ; fonte,ouvrage ; de fer,
ouvrage ; de fer ; lampe,ouvrage ; de fer,
ouvrage ; de faïence,ouvrage ; de faïence,
ouvrage ; de drap,,
ouvrage ; damier,ouvrages,
ouvrage ; de cuivre et argent,ouvrages,
ouvrage ; de cuivre ; doré et argenté,,
ouvrage ; de cuivre ; argenté,,
ouvrage ; de cuir ; en sellerie,,
ouvrage ; de cuir ; cordonnerie et sellerie,ouvrages,
ouvrage ; de cuir ; en cordonnerie,,
ouvrage ; de cuir,ouvrages,
ouvrage ; de cristal,ouvrages,
crin ; de cheval ouvré,,
ouvrage ; de crin,,
ouvrage ; de coutellerie,,
ouvrage ; de coudrier,,
ouvrage ; de cordonnier,,
soulier,souliers,
ouvrage ; de cire,ouvrages,
ouvrage ; de charron,ouvrages,
ouvrage ; de bronze,ouvrages,
ouvrage ; de boissellerie,ouvrages,
"ouvrage ; de bois, vannerie, d'osier",,
ouvrage ; de bois verni de Spa,,
horlogerie ; horloge ; en bois,,
ouvrage ; de bois ; navire,ouvrage ; de bois,
ouvrage ; de bois sculpté et doré,,
ouvrage ; de bois et osier,,
ouvrage ; de bois et autre,,
ouvrage ; de bois ; simple et doré,,
ouvrage ; de bois simple,,
sabot,sabots,
ouvrage ; de bois ; menu,,
ouvrage ; de bois ; futaille,,
ouvrage ; de bois ; en terre cuite et en brique,,
ouvrage ; de bois ; en plaqué,,
ouvrage ; de bois ; doré,ouvrage ; de bois,
ouvrage ; de bois ; de peau,,
ouvrage ; de bois ; de passementerie,,
ouvrage ; de bois ; de mode et de fleur artificielle,,
ouvrage ; de bois ; de marbre et d'albâtre,,
ouvrage ; de bois ; de fer blanc,,
ouvrage ; de bois ; de cuivre,,
ouvrage ; de bois ; de cuir,,
ouvrage ; de bois ; divers,,
ouvrage ; divers,,
ouvrage ; d'étain,ouvrages,
ouvrage ; d'osier ; en corbeille,,
ouvrage ; d'osier,ouvrages,
ouvrage ; d'or et d'argent,,
ouvrage ; d'or,,
ouvrage ; d'optique,ouvrages,
ouvrage ; d'opium,ouvrages,
ouvrage ; d'horlogerie,,
ouvrage ; d'auf,,
airain ; ouvré,airain ; ouvré,
acier ; ouvré,acier,
ouvrage ; brique,,
ouvrage ; botte,,
ouvrage,ouvrages,
outil ; à soutirer le vin,outils,
outil ; à faire carte et moule,,
outil ; à battre l'or,outils,
outil ; pour la pêche,,
outil ; menuisier,outils,
outil ; en fer et acier,,
outil ; de bois,,
outil ; de tisserand,,
outil ; de moulin à papier,,
outil ; de miroitier,,
outil ; de laboureur,,
outil ; de frecatage,,
outil ; de ferblantier,,
outil ; de charpentier,,
outil ; d'ouvrier,outils,
outil ; d'imprimerie,,
outil ; d'horloger,outils,
outil,outils,
ouate ; de soie,,
ouate ; de laine,,
ouate ; de coton,,
ouate ; d'étoupe,,
osserie ; de Dieppe,osserie ; de dieppe,
osier,osier,
os ; de sèche,os ; de sèche,
os ; de cœur ; de bœuf,os ; de bœuf,
os ; de bœuf,os ; de bœuf,
os ; de baleine,,
orviétan,,
ortite ; de menuisier,ortites ; de menuisier,
drogue ; pour la peinture et la teinture ; orseille ; apprêtée,,
orpin ; broyé,,
orpin,drogue ; médicinale,
orphies,,
orobes,drogue ; médicinale,
ornement ; de table,ornements,
ornement ; d'église,ornements,
orgue ; de savoyard,,
orgue ; d'Allemagne,,
orgue,,
orge et avoine,,
orge ; perlé et mondé,,
orge et soucrion ; en gerbe,,
orge et soucrion,,
orge ; ordinaire,,
orge ; moulu,,
orge ; mondé,orge,
orge ; mondé et perlé,,
orge ; jaune,,
orge ; germé,orge,
orge ; en graine,,
orge ; en gerbe,,
organdis,toile ; organdis,
orfèvrerie ; vaisselle,orfèvrerie,
orfèvrerie ; d'or,orfèvrerie,
orfèvrerie ; vaisselle d'argent,orfèvrerie,
orfèvrerie ; d'argent,orfèvrerie,
orfèvrerie ; diverse,orfèvrerie,
orfèvrerie ; d'or et d'argent,orfèvrerie,
orfèvrerie ; boucle ; d'argent,orfèvrerie,
orfèvrerie ; argent,,
orfèvrerie,orfèvrerie,
oreillon ; à faire colle,oreillons,
oreillon,oreillons,
orego,,
orcanette,orcanettes,
orange ; douce,,
orange ; aigre,,
orange,,
or et argent ; trail,or et argent,
or et argent ; monnayé,,
"or et argent ; en fil, cantille, paillette",,
"or et argent ; faux ; en fil, cantille, etc.",,
or et argent ; faux ; en feuille,,
or et argent ; faux,or et argent ; faux,
monnaie ; or et argent ; en piastre,,
or et argent ; en lingot,or et argent,
or et argent ; en fil,,
or et argent ; en feuille,,
or et argent ; en barre et lingot,,
or et argent ; battu,or et argent,
or et argent ; balle,or et argent,
or et argent,or et argent,
or ; travaillé,,
or ; massif,,
or ; faux ; battu,or ; faux,
or ; faux,or ; faux,
or ; en lingot,or,
or ; en feuille,or,
or ; en coquille,or,
or ; caissette,or,
or ; battu,or,
or,,
optique,instruments ; optiques,
opoponax,opoponax,
sabot ; de renne,,
sabot ; de bœuf,,
sabot ; de bouc,,
onetes de coton,,
olive,olives,
"oiseau ; petit ; grive, etc.",,
oiseau ; petit,oiseaux ; petits,
oiseau ; de proie,oiseaux ; de proie,
oignon ; de tuberuse,,
oignon ; d'hyacrite,,
oignon ; commun,oignons,
oignon,poisson,
oie,volaille,
odeure,odeure,
ocre et brun rouge,,
ocre ; rouge,,
drogue ; pour la peinture et la teinture ; ocre ; noir,,
ocre ; jaune,,
drogue ; pour la peinture et la teinture ; ocre ; brun,,
obusier ; de fonte,,
oblique,,
objet d'industrie ; divers,,
objet d'industrie,,
objet ; manufacturé ; réuni,marchandises ; manufacturés ; réunis,
ouvrage ; en étain,,
ouvrage ; en laiton,,
ouvrage ; en corne,,
objet ; divers ; dont la valeur du plus fort n'excède pas 25000 livre,,
objet ; divers ; de moindre valeur,,
objet ; divers,,
"objet ; de collection ; sculpture, d'histoire naturelle, peinture et gravure",,
"objet ; d'art, d'histoire naturelle, peinture et gravure",,
objet ; d'art et d'histoire naturelle,,
objet ; d'art,,
