source,product_orthographic,product_simplification,product_sitc,product_edentreaty,product_canada,product_medicinales,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,product_RE_aggregate,product_threesectors,product_threesectorsM,nbr_occurences_navigo_marseille_,nbr_occurences_navigo_g5,nbr_occurrences_datasprint
Cornes de moutons,cornes de mouton,cornes de mouton,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cornes, corail, écailles, ivoire et nacre",No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits agricoles,10,0,0
Cotes de Tabac,côtes de tabac,côtes de tabac,1,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Tabac,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Matières premières,Agriculture,Produits agricoles,0,1,0
Coton,coton,coton,2,Coton de toute espèce,Hors Canada,not a medical product,Coton,Pas grain (0),raw cotton,raw cotton,Not coffee,Sans lien avec la porcelaine,out,Coton non transformé,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,35,2
Coton file,coton filé,fil de coton,6g,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,cotton yarn,Not coffee,Sans lien avec la porcelaine,out,Fils divers,No link with beaver,filés,,,Filés ou tissés de coton,Coton threads and fabrics,Coton threads and fabrics,Matières premières,Manufactures,Produits manufacturés,1,0,0
Coton filé,coton filé,fil de coton,6g,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,cotton yarn,Not coffee,Sans lien avec la porcelaine,out,Fils divers,No link with beaver,filés,,,Filés ou tissés de coton,Coton threads and fabrics,Coton threads and fabrics,Matières premières,Manufactures,Produits manufacturés,2,0,0
Cotons,coton,coton,2,Coton de toute espèce,Hors Canada,not a medical product,Coton,Pas grain (0),raw cotton,raw cotton,Not coffee,Sans lien avec la porcelaine,out,Coton non transformé,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Cottes de tabac,côtes de tabac,côtes de tabac,1,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Tabac,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Matières premières,Agriculture,Produits agricoles,0,1,0
Coufins de Palme,couffins d'espars,couffins d'espars,8,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Coupe rose,couperose,couperose,5,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,ferrous sulfate,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Couperose,couperose,couperose,5,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,ferrous sulfate,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Matières premières,Non-agricultural primary goods,Produits primaires,2,0,0
Craie,craie,craie,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Cray,craie,craie,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Criblon,,[non traité],9c,,Intraitable,,,Pas grain (0),,,,,,[non traité],No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,[vide],Unknown,Inconnus,0,1,0
Croisière de la Ferme générale,croisière de la Ferme générale,croisière de la Ferme générale,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,1,0
Crosière de douane,croisière de douane,croisière de douane,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,1,0
Cruches,cruches,cruches,9b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,1,0
Cuir,cuirs,cuirs,6a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,1,0
Cuir en lest,cuirs en lest,lest de cuir,6a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Cuirs,cuirs,cuirs,6a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,15,9,0
Cuirs de Portugal,cuirs du Portugal,cuirs du Portugal,6a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Cuirs de buffles en lest,cuirs de buffle en lest,cuirs de buffle en lest,6a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Cuirs en lest,cuirs en lest,lest de cuir,6a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Cuirs salé,cuirs salés,cuirs salés,6a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Cuirs salés,cuirs salés,cuirs salés,6a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,7,0,0
Cuivre,cuivre,cuivre,6j,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cuivre,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Métaux,Non-agricultural primary goods,Produits primaires,7,5,2
Cuivre de retour,cuivre de retour,cuivre de retour,6j,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Cuivre,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Métaux,Non-agricultural primary goods,Produits primaires,1,0,0
Cuivre en pain,cuivre en pain,cuivre en pain,6j,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cuivre,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Métaux,Non-agricultural primary goods,Produits primaires,1,0,0
Cuivre en planche,cuivre en planches,planches de cuivre,6j,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages métalliques,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Cumin,cumin,cumin,0a,,Pas importé en France depuis l'Amérique avant 1763,narrow medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Denrées coloniales et épiceries diverses,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,3,0,0
Côtes de tabac,côtes de tabac,côtes de tabac,1,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Tabac,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Matières premières,Agriculture,Produits agricoles,0,1,0
Dames-jeannes,dame-jeannes,dame-jeannes,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Verrerie,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,13,0
Datte,dattes,dattes,0a,,Hors Canada,not a medical product,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits frais,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,1,0,0
Dattes,dattes,dattes,0a,,Hors Canada,not a medical product,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits frais,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,9,0,0
Demies Jeannes,dame-jeannes,dame-jeannes,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Verrerie,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,3,0
Demies-jeannes,dame-jeannes,dame-jeannes,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Verrerie,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,3,0
Denrées,denrées,marchandises,9b,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,1,0
Denrées des colonies,denrées des colonies,marchandises des Îles,0b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers mélangés,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,Divers,Unknown,Inconnus,123,0,0
Denrées des coloniess,denrées des colonies,marchandises des Îles,0b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers mélangés,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,Divers,Unknown,Inconnus,2,0,0
Des filets,filets,filets,6d,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cordage et filets,No link with beaver,,,,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",Linen threads and fabrics,Other threads and fabrics,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Différentes marchandises,différentes marchandises,marchandises,9b,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,36,0
Différentes marchandises pour la traite des noirs,différentes marchandises pour la traite des noirs,marchandises pour la traite,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,2,0
Divers,dissouchaye,dissouchaye,6f,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Mousseline, basin et nankin",No link with beaver,tissés,haut de gamme,milieu de gamme,Filés ou tissés de soie et soie mélangée,Silk threads and fabrics,Silk threads and fabrics,Objets manufacturés,Manufactures,Produits manufacturés,0,3,0
Divers effets,divers effets,habits,8,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Habits et lingerie,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Divers grains,divers grains,grains,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Diverses Marchandises,diverses marchandises,marchandises,9b,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,7,0,0
Diverses Marchandises permises,diverses marchandises permises,marchandises permises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,5,0
Diverses marchandises,diverses marchandises,marchandises,9b,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,127,9
Diverses marchandises permises,diverses marchandises permises,marchandises permises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,0,2
Diverses marchandises sèches,diverses marchandises sèches,marchandises sèches,9b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,1,0
Diverses provisions,diverses provisions,provisions,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Provisions diverses,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,1,0,0
Diverses terralles,diverses terrailles,terraille,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Porcelaine, poterie, faïence et ouvrages de terre",No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Douelles,douelles,douelles,6b,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,8,0,0
Douve,douves,douves à tonneaux,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,3,0,0
Douves,douves,douves à tonneaux,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,93,1,0
Draps,drap,drap,6e,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Étoffes de laine,No link with beaver,tissés,milieu de gamme,milieu de gamme,Filés ou tissés de laine et de poil,Wool threads and fabrics,Wool threads and fabrics,Objets manufacturés,Manufactures,Produits manufacturés,1,0,0
Droguerie,droguerie,drogues,5,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,drogues,Not coffee,Sans lien avec la porcelaine,out,Drogues diverses,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Drogues,Manufactures,Produits manufacturés,3,0,0
Drogueries,droguerie,drogues,5,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,drogues,Not coffee,Sans lien avec la porcelaine,out,Drogues diverses,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Drogues,Manufactures,Produits manufacturés,8,1,0
Déserteur,déserteur,déserteur,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,1,0,0
Eau de fleur d'orange,eau de fleurs d'orange,eau de fleurs d'oranger,5,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Drogues diverses,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Drogues,Manufactures,Produits manufacturés,1,0,0
Eau de vie,eau-de-vie,eau-de-vie,1,Eau de vie de France,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Subsistances,Agriculture,Produits agricoles,60,709,213
Eau de vie (reste de son chargement),eau-de-vie (reste de son chargement),eau-de-vie,1,Eau de vie de France,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Subsistances,Agriculture,Produits agricoles,0,1,0
Eau de vie de Hendaye,eau-de-vie d'Hendaye,eau-de-vie d'Hendaye,1,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Subsistances,Agriculture,Produits agricoles,0,2,0
Eau-de-vie,eau-de-vie,eau-de-vie,1,Eau de vie de France,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Subsistances,Agriculture,Produits agricoles,0,0,90
Eaux de vie,eau-de-vie,eau-de-vie,1,Eau de vie de France,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Subsistances,Agriculture,Produits agricoles,0,0,2
Eboeur [Beurre],beurre,beurre,0a,,Hors Canada,not a medical product,Beurre,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,2
Effets,effets,habits,8,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Habits et lingerie,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,3,0
Effets de nauffrage,effets de naufrage,habits provenant d'un naufrage,8,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Habits et lingerie,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Effets de pêche,effets de pêche,outils de la pêche,,,,,,,,,,,,Ouvrages divers et mélangés,,,,,,,,Industrie française et étrangère,Manufactures,Produits manufacturés,0,92,0
Effets du régiment de l'Isle de France,effets du régiment de l'Île de France,habits du régiment de l'Île de France,8,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Habits et lingerie,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Effets provenant du navire naufragé,effets provenant du navire naufragé,habits provenant d'un naufrage,8,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Habits et lingerie,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
En lest,en lest,lest,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bâtiments de mer et apparaux,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Industrie française et étrangère,Manufactures,Produits manufacturés,0,0,37
Engins,engins,engins,8,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Ouvrages divers et mélangés,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,16,0
Engins [de pêche],engins de pêche,outils de la pêche,,,,,,,,,,,,Ouvrages divers et mélangés,,,,,,,,Industrie française et étrangère,Manufactures,Produits manufacturés,0,2,0
Engins de peche,engins de pêche,outils de la pêche,,,,,,,,,,,,Ouvrages divers et mélangés,,,,,,,,Industrie française et étrangère,Manufactures,Produits manufacturés,5,0,0
Engins de peches,engins de pêche,outils de la pêche,,,,,,,,,,,,Ouvrages divers et mélangés,,,,,,,,Industrie française et étrangère,Manufactures,Produits manufacturés,7,0,0
Engins de pesche,engins de pêche,outils de la pêche,,,,,,,,,,,,Ouvrages divers et mélangés,,,,,,,,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Engins de pêche,engins de pêche,outils de la pêche,,,,,,,,,,,,Ouvrages divers et mélangés,,,,,,,,Industrie française et étrangère,Manufactures,Produits manufacturés,6,0,0
Eponge,éponges,éponges,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Eponges,éponges,éponges,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,2,0,0
Escayole,escayolles,escayolles,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Graines diverses et mélangées,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits agricoles,18,0,0
Escayoles,escayolles,escayolles,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Graines diverses et mélangées,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits agricoles,5,0,0
Escayote,escayolles,escayolles,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Graines diverses et mélangées,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits agricoles,2,0,0
Espart,espars,espars,7,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,66,0,0
Espart [?],espars [?],espars,7,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
