numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,Double compte
84,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Farine,La Guadeloupe,3000,20000,Picardie,livres,,0
85,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Farine,St Domingue,10810,70831,Le Havre,livres,,0
86,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Farine,Sénégal et Guinée,1792,10194,Le Havre,livres,,0
87,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Farine,La Martinique,80,400,Honfleur,livres,,0
88,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Farine,Sénégal et Guinée,275,1460,Honfleur,livres,,0
89,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Farine,St Domingue,1200,6000,Granville,livres,,0
90,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Fromages divers,St Domingue,2140,,,,,0
91,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Fromages divers,La Guadeloupe,600,,,,,0
92,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Fromages divers,Sénégal et Guinée,180,,,,,0
93,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Chairs salées diverses,St Domingue,1512,4480,,livres,,0
94,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Chairs salées diverses,Sénégal et Guinée,581,,,,,0
95,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Bœuf salé,Sénégal et Guinée,1350,5400,Nantes,livres,,0
96,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Bœuf salé,La Martinique,650,2600,Rochefort,livres,,0
97,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Bœuf salé,Sénégal et Guinée,200,800,Rochefort,livres,,0
98,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Bœuf salé,St Domingue,7920,26400,Irlande,livres,,0
99,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Bœuf salé,La Guadeloupe,17300,75400,Irlande,livres,,0
100,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Bœuf salé,Sénégal et Guinée,18798,62660,Irlande,livres,,0
101,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Porc salé,St Domingue,300,600,Rochefort,livres,,0
102,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Porc salé,La Martinique,54,,Rochefort,,,0
103,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Porc salé,Sénégal et Guinée,274,,Rochefort,,,0
104,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Jambon,St Domingue,1274,1820,Cherboug,livres,,0
105,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Jambon,La Martinique,941,1345,Cherboug,livres,,0
106,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Jambon,La Guadeloupe,390,513,Cherboug,livres,,0
107,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Jambon,St Domingue,824,1360,Bayonne,livres,,0
108,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Jambon,Sénégal et Guinée,340,380,Bayonne,livres,,0
109,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Lard salé,St Domingue,900,1500,Dieppe,livres,,0
110,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Lard salé,La Martinique,120,400,Rochefort,livres,,0
111,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Lard salé,Sénégal et Guinée,120,400,Rochefort,livres,,0
112,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Lard salé,St Domingue,1654,3676,Irlande,livres,,0
113,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Lard salé,Sénégal et Guinée,6195,14763,Irlande,livres,,0
114,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Lard salé,St Domingue,996,1920,Cherboug,livres,,0
115,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Lard salé,La Martinique,1142,3544,Cherboug,livres,,0
116,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Lard salé,St Domingue,900,1634,Bayonne,livres,,0
117,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Lard salé,St Domingue,1590,5300,Granville,livres,,0
118,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Corail ouvré,Sénégal et Guinée,2900,"6,75",Marseille,livres,,1
120,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Corail faux,Sénégal et Guinée,510,120,Angleterre,livres,,0
121,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Corail faux,Sénégal et Guinée,1553,1323,Hollande,livres,,0
122,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Cordages divers,Sénégal et Guinée,3230,2500,Petites Isles,livres,,0
123,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Cordages,St Domingue,300,360,Honfleur,livres,,0
124,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Cordages,Sénégal et Guinée,1702,5061,Bordeaux,livres,,0
125,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,79,Cordages,St Domingue,10375,28070,Bretagne,livres,,0
126,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Coutellerie,St Domingue,600,,Hollande,,,0
127,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Coutellerie,Sénégal et Guinée,7223,,,,,0
128,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Couvertures de coton,St Domingue,322,48,Rouen,en nombres,,0
129,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Couvertures de laine,St Domingue,440,87,Honfleur,en nombres,,0
130,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Couvertures dites pagnes,Sénégal et Guinée,945,235,Indes,,Pas d'unité indiquée,0
131,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Couvertures de ploc,St Domingue,167,72,Le Havre,en nombres,,0
132,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Couvertures à nègres,Sénégal et Guinée,1510,628,Lisieux,,Pas d'unité indiquée,0
133,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Cuivre ouvré,Sénégal et Guinée,3591,2394,Ostende,livres,,0
134,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Cuivre ouvré,St Domingue,120,80,Hollande,livres,,0
135,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Cuivre ouvré,Sénégal et Guinée,4152,2861,Hollande,livres,,0
136,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Cuivre potin en chaudières,St Domingue,4413,5684,Honfleur,livres,Le pdf donne aussi la quantité en nombre,0
137,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Cuivre potin en chaudières,Sénégal et Guinée,265,200,Honfleur,livres,,0
138,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Cuivre en planches,St Domingue,234,187,Allemagne,livres,,0
139,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Cuivre en planches,Sénégal et Guinée,360,300,Hambourg,livres,,0
140,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Cuivre en planches,Sénégal et Guinée,13980,13424,Angleterre,livres,,0
141,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Cuivre en planches,Sénégal et Guinée,18271,15226,Hollande,livres,,0
142,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Cuivre en planches,St Domingue,900,750,Rouen,livres,,0
143,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Cuivre en planches,Sénégal et Guinée,265,200,Rouen,livres,,0
144,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Crin frisé,St Domingue,150,150,Le Havre,livres,,0
145,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Crin frisé,La Guadeloupe,300,300,Le Havre,livres,,0
146,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Crin brut,St Domingue,982,1310,Rouen,livres,,0
147,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Dentelle de fil,St Domingue,1600,3,Honfleur,livres,,0
148,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Dentelle de fil,St Domingue,4900,70,Bretagne,livres,,0
149,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Draperie,La Guadeloupe,650,270,Abbeville,aunes,Le pdf donne aussi la quantité en livres,0
150,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Drap,Sénégal et Guinée,28177,2645,Carcassonne,aunes,Le pdf donne aussi la quantité en livres,0
151,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Drap,St Domingue,545,33,Elbeuf,aunes,Le pdf donne aussi la quantité en livres,0
152,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Drap,St Domingue,2370,79,Sedan,aunes,Le pdf donne aussi la quantité en livres,0
153,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Drogues médicinales diverses,St Domingue,450,,,,,0
154,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Drogues médicinales diverses,Sénégal et Guinée,300,,,,,0
155,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Drogues pour la peinture et la teinture,St Domingue,1479,,,,,0
156,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie d'Andaye,Sénégal et Guinée,200,96,Bordeaux,pintes,,0
157,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie double,La Martinique,252,"2,25",Cognac,muids,,1
159,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie double,Sénégal et Guinée,1450,"12,9444444444",Cognac,muids,,0
161,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie de genièvre,Sénégal et Guinée,2000,"4,1666666667",Hollande,muids,,0
163,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie de genièvre,Sénégal et Guinée,1440,"6,6666666667",Dunkerque,muids,,0
165,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie simple,La Martinique,547,"3,2222222222",Saintonge,muids,,0
167,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie simple,Sénégal et Guinée,10647,"12,9444444444",Saintonge,muids,,0
169,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie simple,La Martinique,531,"3,4583333333",Charente,muids,,0
171,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie simple,Sénégal et Guinée,9545,"64,2291666667",Isle de Rhé,muids,,0
173,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie simple,Sénégal et Guinée,13400,"73,2430555556",La Rochelle,muids,,0
175,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie simple,Sénégal et Guinée,6655,"45,4583333333",Bordeaux,muids,,0
177,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,80,Eau de vie simple,Sénégal et Guinée,7403,"42,8402777778",Pays d'Auge,muids,,0
