numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,Double compte,Calcul
133,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Parfumerie,St Domingue,38,,Marseille,,,0,
134,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Poudre à poudrer,St Domingue,306,612,St Servan,livres,,0,
135,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Poudre à poudrer,Cayenne et Guyane,300,600,St Servan,livres,,0,
136,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Peaux de veaux corroyée,Cayenne et Guyane,850,340,Dinan,livres,Le pdf donne aussi la quantité en nombre,0,
137,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Peaux de maroquin,Cayenne et Guyane,288,28,Marseille,livres,Le pdf donne aussi la quantité en nombre,0,
138,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Peaux de chats,Sénégal et Guinée,600,600,Dinan,en nombre,,0,
139,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,90,Pierres à bâtir,St Domingue,270,674,St Cast,en nombre,,0,
140,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Plomb à giboyer,Cayenne et Guyane,173,510,St Malo,livres,,0,
141,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Plomb à giboyer,Sénégal et Guinée,1088,3200,St Malo,livres,,0,
142,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Plomb de pêche,Sénégal et Guinée,4607,12197,St Malo,livres,,0,
143,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Poissons salés divers,St Domingue,1162,,,,,0,
144,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Poudre de traitte,Sénégal et Guinée,29520,32800,St Malo,livres,,0,
145,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Poudre de mine,Sénégal et Guinée,75,100,St Malo,livres,,0,
146,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Poudre de chasse,Cayenne et Guyane,600,300,Bureau du roy,livres,,0,
147,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Quincaillerie française,St Domingue,862,,,,,0,
148,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Quincaillerie française,Cayenne et Guyane,1767,,,,,0,
149,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Quincaillerie étrangère,Cayenne et Guyane,152,,,,,0,
150,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Quincaillerie étrangère,Sénégal et Guinée,260,,,,,0,
151,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Sacs vides à caffé,St Domingue,17545,11697,St Malo,en nombre,,0,
152,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Sel,St Domingue,1000,80000,Brouage,livres,,0,
153,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Tabac,Cayenne et Guyane,990,300,Morlaix,livres,,0,
154,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Tabac de cantine,Sénégal et Guinée,759,843,Morlaix,livres,,0,
155,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Terrerie,St Domingue,2352,,St Malo,,,0,
156,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Terrerie,St Domingue,7750,,Hollande,,,0,
157,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Terrerie,Sénégal et Guinée,4650,,Hollande,,,0,
158,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile de coton,Cayenne et Guyane,5635,225,Rouen,en nombre,,0,
159,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile bazin,Cayenne et Guyane,192,48,,aunes,,0,
160,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile indienne,Sénégal et Guinée,19770,659,Hambourg,pièces,,0,
161,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile indienne,Sénégal et Guinée,25200,900,Ostende,pièces,,0,
162,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile bajutapaux,Sénégal et Guinée,27715,1205,Indes,pièces,,0,
163,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile bajutapaux,Sénégal et Guinée,17625,705,Hollande,pièces,,0,
164,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile chasselas,Sénégal et Guinée,28968,1207,Indes,pièces,,0,
165,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile chasselas,Sénégal et Guinée,39210,1307,Hollande,pièces,,0,
166,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile chitte,Sénégal et Guinée,520,20,Indes,pièces,,0,
167,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile chitte,Sénégal et Guinée,11,200,Hollande,pièces,,0,
168,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile cochelis,Sénégal et Guinée,7200,1100,Indes,pièces,,0,
169,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile coupis,Sénégal et Guinée,3600,200,Indes,pièces,,0,
170,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile coupis,Sénégal et Guinée,3186,177,Hollande,pièces,,0,
171,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile coupis,Sénégal et Guinée,3186,177,Hollande,pièces,,0,
172,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile limencas,Sénégal et Guinée,92064,1002,Nantes,pièces,,0,
173,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile corrots double,Sénégal et Guinée,2680,145,Hollande,pièces,,0,
174,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,91,Toile corrots double,Sénégal et Guinée,3600,200,Indes,pièces,,0,
175,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile corrots simple,Sénégal et Guinée,4644,516,Indes,pièces,,0,
176,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile brants,Sénégal et Guinée,2196,244,Hollande,pièces,,0,
177,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile bayette,Sénégal et Guinée,6729,28,Angleterre,pièces,,0,
178,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile bayette,Sénégal et Guinée,6729,2242,Angleterre,aunes,,0,
179,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile guinée bleue,Sénégal et Guinée,95350,3814,Indes,pièces,,0,
180,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile guinée,Sénégal et Guinée,130500,4350,Hollande,pièces,,0,
181,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile nicanéas,Sénégal et Guinée,29900,1300,Indes,pièces,,0,
182,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile nicanéas petite,Sénégal et Guinée,2100,140,Rouen,pièces,,0,
183,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile nicanéas,Sénégal et Guinée,14586,663,Hollande,pièces,,0,
184,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile néganépaux,Sénégal et Guinée,7700,308,Hollande,pièces,,0,
185,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile photes,Sénégal et Guinée,18800,600,Indes,pièces,,0,
186,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile platille,Sénégal et Guinée,2400,300,Hollande,pièces,,0,
187,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile tapsel,Sénégal et Guinée,4761,207,Indes,pièces,,0,
188,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile tapsel,Sénégal et Guinée,5908,211,Hollande,pièces,,0,
189,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile romals,Sénégal et Guinée,11552,608,Indes,pièces,,0,
190,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile mousseline,St Domingue,682,5,Indes,pièces,,0,
191,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile mousseline,St Domingue,682,36,Indes,aunes,,0,
192,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile fil et coton,Cayenne et Guyane,2688,1344,,aunes,,0,
193,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile coutil fil,Cayenne et Guyane,1296,432,Coutances,aunes,,0,
194,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile gingas,Cayenne et Guyane,4564,2608,Rouen,aunes,,0,
195,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile de halle,St Domingue,79231,72024,Dinan,aunes,,0,
196,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile de halle,Cayenne et Guyane,4577,1185,Dinan,aunes,,0,
197,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile d'hambrie,St Domingue,166,"212,5",Dinan,,,0,
198,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile d'anne,Cayenne et Guyane,1000,250,Mortagne,aunes,,0,
199,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile bretagne large,St Domingue,11037,3679,Quintin,aunes,,0,
200,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile bretagne étroite,St Domingue,88369,39275,Quintin,aunes,,0,
201,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile bretagne étroite,Cayenne et Guyane,1278,568,Quintin,aunes,,0,
202,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile blanche,St Domingue,450,150,Laval,aunes,,0,
203,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile blanche,Cayenne et Guyane,2379,793,Laval,aunes,,0,
204,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile blanche commune,St Domingue,528,264,Angers,aunes,,0,
205,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile blanche commune,St Domingue,1060,"1089,5",Combourg,aunes,,0,
206,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile de ménage,Cayenne et Guyane,1911,724,Dinan,aunes,,0,
207,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile crée large,St Domingue,2000,400,Morlaix,aunes,,0,
208,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile grosse,St Domingue,15292,13367,Fougères,aunes,,0,
209,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile grosse,Cayenne et Guyane,1723,"870,5",Alençon,aunes,,0,
210,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile ouvrée,St Domingue,450,150,,aunes,,0,
211,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile organdis,Sénégal et Guinée,200,50,Nîmes,aunes,,0,
212,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Toile à voiles,St Domingue,45227,30152,Rennes,aunes,,0,
213,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Verroterie,Sénégal et Guinée,3780,4200,Hambourg,livres,,0,
214,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Verroterie,Sénégal et Guinée,800,879,Marseille,livres,,0,
215,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Verroterie,Sénégal et Guinée,3240,2160,Hollande,livres,,0,
216,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Verre en dame jeanne,Cayenne et Guyane,125,50,Rouen,en nombre,,0,
217,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Vin,St Domingue,350,"30,3819444444",Bordeaux,muids,La somme du pdf est de 18000,0,"30,3819444444"
219,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Vin,Cayenne et Guyane,14500,"125,8680555556",Bordeaux,muids,La somme du pdf est de 18000,0,"125,8680555556"
221,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Vin,Sénégal et Guinée,1600,"13,8888888889",Bordeaux,muids,,0,"13,8888888889"
223,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Vin,St Domingue,2950,"42,3611111111",Provence,muids,,0,"42,3611111111"
225,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Vin,Sénégal et Guinée,17880,"176,6666666667",Provence,muids,,0,"176,6666666667"
227,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Vinaigre,Sénégal et Guinée,440,"23,6111111111",Isle de Rhé,muids,,0,"23,6111111111"
229,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Voiture (carriole),St Domingue,800,1,,en nombre,,0,
230,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,92,Ustensiles pour la pêche,St Domingue,310,,,,,0,
