numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,leurvaleursubtotal_2,remarks,doubleaccounts,leurvaleursubtotal_1
126,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; divers,Sénégal et Guinée,11326,,,,,0,207920
127,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; beurre salé,St Domingue,253614,572692,livres,399746,,0,399746
128,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; beurre salé,La Martinique,74287,123813,livres,,,0,399746
129,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; beurre salé,La Guadeloupe,67906,113177,livres,,,0,399746
130,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; beurre salé,Cayenne et Guyanne,3939,6566,livres,,,0,399746
131,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; beurre salé,Sénégal et Guinée,8084,13477,livres,,,0,399746
132,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; bierre,St Domingue,120762,"1657,6388888889",muids,132464,,1,132464
134,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; bierre,St Domingue,120762,2695,bouteilles,,Ce n’est pas la valeur pour les bouteilles mais pour l’ensemble muids pintes et bouteilles,2,132464
135,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; bierre,La Martinique,8952,"124,3333333333",muids,,,0,132464
137,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; bierre,La Guadeloupe,1550,"21,5277777778",muids,,,0,132464
139,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; bierre,Cayenne et Guyanne,1200,"16,6666666667",muids,,,0,132464
141,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; bierre,Sénégal et Guinée,2191,"11,0833333333",muids,,,1,132464
143,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; bierre,Sénégal et Guinée,13584,2096,bouteilles,,,2,132464
144,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; biscuits,St Domingue,26216,174900,livres,36422,,0,36421
145,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; biscuits,La Martinique,7401,49341,livres,,,0,36421
146,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; biscuits,La Guadeloupe,2805,18704,livres,,,0,36421
147,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; biscuits,Sénégal et Guinée,15408,102720,livres,,,0,36421
148,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; fromages,St Domingue,245423,480654,livres,303079,,0,303084
149,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; fromages,La Martinique,32197,63692,livres,,,0,303084
150,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; fromages,La Guadeloupe,22749,44916,livres,,,0,303084
151,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; fromages,Cayenne et Guyanne,2710,5350,livres,,,0,303084
152,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; fromages,Sénégal et Guinée,3917,7796,livres,,,0,303084
153,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; farine,St Domingue,4086016,25537600,livres,5542623,,0,5542623
154,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; farine,La Martinique,904467,5877920,livres,,,0,5542623
155,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; farine,La Guadeloupe,511462,3196640,livres,,,0,5542623
156,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; farine,Cayenne et Guyanne,40678,254240,livres,,,0,5542623
157,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; farine,Sénégal et Guinée,18329,114560,livres,,,0,5542623
158,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; riz,St Domingue,159,530,livres,,,0,310
159,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; riz,La Martinique,161,505,livres,,,0,310
160,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Comestibles ; riz,Sénégal et Guinée,20552,68508,livres,,,0,310
161,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; divers,St Domingue,41768,,,54704,,0,54694
162,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; divers,La Martinique,7527,,,,,0,54694
163,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; divers,La Guadeloupe,4809,,,,,0,54694
164,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; divers,Cayenne et Guyanne,600,,,,,0,54694
165,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; divers,Sénégal et Guinée,1417,,,,,0,54694
166,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; bœuf salé,St Domingue,309744,1032480,livres,1023138,,0,1023138
167,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; bœuf salé,La Martinique,562842,1876140,livres,,,0,1023138
168,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; bœuf salé,La Guadeloupe,147690,492300,livres,,,0,1023138
169,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; bœuf salé,Cayenne et Guyanne,2862,9540,livres,,,0,1023138
170,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; bœuf salé,Sénégal et Guinée,12312,41040,livres,,,0,1023138
171,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; cochon salé et petit salé,St Domingue,442982,1107460,livres,559429,,0,559429
172,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; cochon salé et petit salé,La Martinique,80619,201552,livres,,,0,559429
173,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; cochon salé et petit salé,La Guadeloupe,34472,86180,livres,,,0,559429
174,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; cochon salé et petit salé,Cayenne et Guyanne,1356,3391,livres,,,0,559429
175,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; cochon salé et petit salé,Sénégal et Guinée,10091,25223,livres,,,0,559429
176,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; jambon,St Domingue,337494,562492,livres,474753,,0,474753
177,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; jambon,La Martinique,82518,137531,livres,,,0,474753
178,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; jambon,La Guadeloupe,52719,87866,livres,,,0,474753
179,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; jambon,Cayenne et Guyanne,2022,3370,livres,,,0,474753
180,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; jambon,Sénégal et Guinée,4017,6695,livres,,,0,474753
181,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; lard salé,St Domingue,79208,198020,livres,115892,,0,115892
182,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; lard salé,La Martinique,15124,37808,livres,,,0,115892
183,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; lard salé,La Guadeloupe,21160,52900,livres,,,0,115892
184,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; lard salé,Cayenne et Guyanne,400,1000,livres,,,0,115892
185,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; lard salé,Sénégal et Guinée,1624,4060,livres,,,0,115892
186,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; cuisses d'oye,St Domingue,85464,7122,douzaines,109320,,0,109320
187,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; cuisses d'oye,La Martinique,14376,1198,douzaines,,,0,109320
188,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; cuisses d'oye,La Guadeloupe,9000,750,douzaines,,,0,109320
189,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; cuisses d'oye,Cayenne et Guyanne,480,40,douzaines,,,0,109320
190,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Chaires salées ; cuisses d'oye,Sénégal et Guinée,1716,143,douzaines,,,0,109320
191,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Corail ouvré,Sénégal et Guinée,13200,88,livres,,,0,
192,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cordages divers,St Domingue,402164,1149252,livres,670908,,0,670908
193,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cordages divers,La Martinique,187894,522307,livres,,,0,670908
194,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cordages divers,La Guadeloupe,69482,195946,livres,,,0,670908
195,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cordages divers,Cayenne et Guyanne,11368,32481,livres,,,0,670908
196,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cordages divers,Sénégal et Guinée,47761,136462,livres,,,0,670908
197,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Coutellerie,St Domingue,1637,,,3308,,0,338
198,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Coutellerie,La Martinique,1158,,,,,0,338
199,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Coutellerie,La Guadeloupe,18,,,,,0,338
200,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Coutellerie,Cayenne et Guyanne,495,,,,,0,338
201,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Coutellerie,Sénégal et Guinée,14222,,,,,0,338
202,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Couverture de laine et de cotons,St Domingue,20732,1484,nombre,21384,,0,21434
203,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Couverture de laine et de cotons,La Guadeloupe,652,30,nombre,,,0,21434
204,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Couverture de laine et de cotons,Sénégal et Guinée,1840,204,nombre,,,0,21434
205,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Crin frisé,St Domingue,1350,1360,livres,1750,,0,1750
206,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Crin frisé,La Guadeloupe,400,400,livres,,Doute sur la marchandises,0,1750
207,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cuirs de bœuf tannés,St Domingue,9848,8207,livres,22592,Doute sur la marchandises,0,22592
208,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cuirs de bœuf tannés,La Martinique,8568,7140,livres,,,0,22592
209,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cuirs de bœuf tannés,La Guadeloupe,4176,4380,livres,,,0,22592
210,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cuirs de bœuf tannés,Sénégal et Guinée,240,200,livres,,,0,22592
211,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cuivre en feuilles et planches et ???,St Domingue,35355,23345,livres,54272,On arrive pas a lire la fine,0,54272
212,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cuivre en feuilles et planches et ???,La Martinique,14479,7283,livres,,,0,54272
213,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cuivre en feuilles et planches et ???,La Guadeloupe,3838,2488,livres,,,0,54272
214,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cuivre en feuilles et planches et ???,Cayenne et Guyanne,600,400,livres,,,0,54272
215,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Cuivre en feuilles et planches et ???,Sénégal et Guinée,8992,5308,livres,,,0,54272
216,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dentelle ; de fil et valencienne,St Domingue,104400,87,livres,124200,,0,124200
217,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dentelle ; de fil et valencienne,La Martinique,15000,"12,5",livres,,,0,124200
218,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dentelle ; de fil et valencienne,La Guadeloupe,4800,4,livres,,,0,124200
219,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dentelle ; de fil du puy et ???,St Domingue,32000,160,livres,32800,On arrive pas a lire la fine,0,32800
220,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dentelle ; de fil du puy et ???,La Guadeloupe,800,4,livres,,,0,32800
221,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dentelle ; de fil de ??? et Reims,St Domingue,36167,72,livres,,"On arrive pas a lire la deuxie,e ville",0,36167
222,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dentelle ; de fil de ??? et Reims,La Martinique,36167,6,onces,,,0,36167
223,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dentelle de soye de Rouen,St Domingue,800,,livres,14900,,0,14900
224,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dentelle de soye de Rouen,La Martinique,6300,,livres,,,0,14900
225,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dentelle de soye de Rouen,La Guadeloupe,7800,,livres,,,0,14900
226,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dessus de souliers brodés,Cayenne et Guyanne,400,,livres,,,0,400
227,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dessus de souliers brodés,Sénégal et Guinée,2200,,livres,,,0,400
228,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dorure fine,St Domingue,31932,"166,0173611111",livres,32316,,0,32316
230,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Dorure fine,La Martinique,384,2,livres,,,0,32316
231,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drap de laine,St Domingue,189718,,,304495,,0,3044495
232,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drap de laine,La Martinique,67603,,,,,0,3044495
233,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drap de laine,La Guadeloupe,43646,,,,,0,3044495
234,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drap de laine,Cayenne et Guyanne,3528,,,,,0,3044495
235,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drap de laine,Sénégal et Guinée,116634,,,,,0,3044495
236,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drogueries ; pour la peinture et coiffure,St Domingue,26750,,,37586,,0,37586
237,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drogueries ; pour la peinture et coiffure,La Martinique,7020,,,,,0,37586
238,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drogueries ; pour la peinture et coiffure,La Guadeloupe,3096,,,,,0,37586
239,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drogueries ; pour la peinture et coiffure,Cayenne et Guyanne,720,,,,,0,37586
240,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drogueries ; pour la peinture et coiffure,Sénégal et Guinée,2307,,,,,0,37586
241,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drogueries ; pour la médecine,St Domingue,33283,,,38369,,0,38368
242,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drogueries ; pour la médecine,La Martinique,1926,,,,,0,38368
243,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drogueries ; pour la médecine,La Guadeloupe,2810,,,,,0,38368
244,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drogueries ; pour la médecine,Cayenne et Guyanne,350,,,,,0,38368
245,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Drogueries ; pour la médecine,Sénégal et Guinée,450,,,,,0,38368
246,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Eaux de vie,St Domingue,97880,"675,3333",muids,204995,"1 muid = 288 pintes donc 675 muids + 96 pintes = 675,3333 muids",0,204995
248,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Eaux de vie,La Martinique,72792,"505,5",muids,,"505 muids + 144 pintes = 505,5 muids",0,204995
250,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,3,Eaux de vie,La Guadeloupe,34051,"220,3368",muids,,"220 muids + 97 pintes = 22,3368 muids",0,204995
