numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,Double compte,Leurvaleursubtotal_1
98,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Linge de corps chemises,Sénégal et Guinée,700,126,Aunis,,,0,
99,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Linge de table,St Domingue,2300,,,,Pas de quantité indiquée,0,
100,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Marchandises à la valeur,St Domingue,4098,,,,Pas de quantité indiquée,0,
101,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Marchandises à la valeur,Sénégal et Guinée,2448,,,,Pas de quantité indiquée,0,
102,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Mercerie mêlée,St Domingue,13532,,France,,Pas de quantité indiquée,0,
103,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Mercerie mêlée,Sénégal et Guinée,3405,,France,,Pas de quantité indiquée,0,
104,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Mercerie mêlée,Sénégal et Guinée,8090,,Étranger,,Pas de quantité indiquée,0,
105,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Meubles,St Domingue,1317,,,,Pas de quantité indiquée,0,
106,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Meubles,Sénégal et Guinée,6420,,,,Pas de quantité indiquée,0,
107,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Meules à taillandier,St Domingue,1248,363,Angleterre,en nombre,,0,
108,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Mouchoirs de fil et coton,Sénégal et Guinée,2250,150,Étranger,douzaines,,0,
109,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Mouchoirs de fil et coton,Sénégal et Guinée,5520,6000,Normandie,en nombre,,0,
110,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Mouchoirs de coton,Sénégal et Guinée,12060,12060,Étranger,en nombre,,0,
111,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Mouchoirs de coton,Sénégal et Guinée,1890,680,Cholet,en nombre,,0,
112,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Mouchoirs de coton et soye,Sénégal et Guinée,12600,600,Bretagne,douzaines,,0,
113,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Mouchoirs de coton,Sénégal et Guinée,960,20,,douzaines,,0,
114,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Mouchoirs de fil et coton,Sénégal et Guinée,1104,92,Bretagne,douzaines,,0,
115,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ouvrages de charronnage,St Domingue,646,,,,Pas de quantité indiquée,0,
116,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ouvrages de charronnage,Sénégal et Guinée,918,,,,Pas de quantité indiquée,0,
117,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ouvrages de cuir,Sénégal et Guinée,900,,Aunis,,Pas de quantité indiquée,0,
118,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ouvrages de fer blanc,St Domingue,400,,Étranger,,Pas de quantité indiquée,0,
119,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ouvrages de terre cuite,St Domingue,1100,,,,Pas de quantité indiquée,0,
120,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ouvrages de carreaux et tuiles,St Domingue,6254,,,,Pas de quantité indiquée,0,
121,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ouvrages de carreaux et tuiles,Sénégal et Guinée,3564,,,,Pas de quantité indiquée,0,
122,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ouvrages pipes à fumer,St Domingue,210,84,,grosses,,0,
123,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ouvrages pipes à fumer,Sénégal et Guinée,1450,717,,grosses,,0,
124,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ouvrages poterie de grès,Sénégal et Guinée,290,,,,Pas de quantité indiquée,0,
125,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Papier à écrire,St Domingue,330,,Normandie,,Pas de quantité indiquée,0,
126,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Papier à écrire,Sénégal et Guinée,150,,Normandie,,Pas de quantité indiquée,0,
127,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Parasols,Sénégal et Guinée,576,48,Normandie,en nombre,,0,
128,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Parfumerie poudres,St Domingue,1080,1816,Normandie,livres,,0,
129,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Parfumerie poudres,Sénégal et Guinée,135,,Normandie,douzaines,Pas de quantité indiquée,0,
130,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Peaux de chèvres apprêtées,St Domingue,220,3,Normandie,,,0,
131,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Pierres à fusil,Sénégal et Guinée,120,,Touraine,,Pas de quantité indiquée,0,
132,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Plomb à giboyer,St Domingue,200,400,,livres,,0,
133,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Plomb en saumon,Sénégal et Guinée,1025,4770,Étranger,livres,,0,
134,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Poissons salé divers,St Domingue,1698,,,,Pas de quantité indiquée,0,
135,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Poissons salé divers,Sénégal et Guinée,790,,,,Pas de quantité indiquée,0,
136,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Morue en saumure,St Domingue,3900,1300,,livres,,0,
137,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Harengs saurs,St Domingue,18200,,,,Pas de quantité indiquée,0,
138,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Maquereaux,St Domingue,3750,,,,Pas de quantité indiquée,0,
139,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Poudre à canon,Sénégal et Guinée,32000,40000,Étranger,livres,,0,
140,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Poudre à canon,St Domingue,1700,1100,France,livres,,0,
141,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Poudre à canon,Sénégal et Guinée,960,1200,France,livres,,0,
142,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Quincaillerie de cuivre,Sénégal et Guinée,28978,17115,Étranger,livres,,0,
143,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Quincaillerie de fer,St Domingue,5910,,,,Pas de quantité indiquée,0,
144,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Quincaillerie de fer,Sénégal et Guinée,13234,,,,Pas de quantité indiquée,0,
145,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ruban de fil,St Domingue,550,100,Normandie,livres,,0,
146,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Sacs à caffé,St Domingue,4300,4845,Normandie,en nombre,,0,
147,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Savon,Sénégal et Guinée,130,250,Marseille,livres,,0,
148,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Sucre raffiné,Sénégal et Guinée,1143,1270,Étranger,livres,,0,
149,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Sucre terré,Sénégal et Guinée,282,420,,livres,Origine illisible,0,
150,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Suif fondue,Sénégal et Guinée,1992,2320,Étranger,livres,,0,
151,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Suif en chandelles,St Domingue,150,200,Normandie,livres,,0,
152,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Suif en chandelles,Sénégal et Guinée,981,890,Normandie,livres,,0,
153,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Tabac en poudre,St Domingue,150,40,Normandie,livres,,0,
154,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Tabac en poudre,Sénégal et Guinée,150,50,Normandie,livres,,0,
155,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Tabac en poudre,Sénégal et Guinée,2400,4500,Normandie,livres,,0,
156,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Tabac en feuilles,Sénégal et Guinée,1457,4017,Étranger,livres,,0,
157,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Thé,Sénégal et Guinée,360,90,Étranger,livres,,0,
158,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile batiste,St Domingue,1100,112,Valenciennes,aunes,,0,
159,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile batiste,Sénégal et Guinée,162,27,Valenciennes,aunes,,0,
160,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de coton commune,Sénégal et Guinée,1132,1132,Bretagne,aunes,,0,
161,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de coton,Sénégal et Guinée,112612,45045,Étranger,aunes,,0,
162,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de coton,St Domingue,16814,6137,Normandie,aunes,,0,
163,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de coton,Sénégal et Guinée,864,412,Normandie,aunes,,0,
164,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de coton,Sénégal et Guinée,20310,6770,Indes,aunes,,0,
165,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile indienne,Sénégal et Guinée,1940,938,Étranger,aunes,,0,
166,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile indienne,St Domingue,600,250,Normandie,aunes,,0,
167,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile indienne,Sénégal et Guinée,700,350,Normandie,aunes,,0,
168,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile fil et coton,Sénégal et Guinée,812,798,Normandie,aunes,,0,
169,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de coton peinte,Sénégal et Guinée,1704,568,Bretagne,aunes,,0,
170,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de fil et coton,Sénégal et Guinée,31972,18270,Étranger,aunes,,0,
171,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de fil et coton,Sénégal et Guinée,4680,1560,Bretagne,aunes,,0,
172,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de lin,St Domingue,5580,1000,Normandie,aunes,,0,
173,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de lin,St Domingue,12300,6600,Bretagne,aunes,,0,
174,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de lin,Sénégal et Guinée,1075,550,Bretagne,aunes,,0,
175,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de lin,St Domingue,2700,828,Champagne,aunes,,0,
176,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de lin,St Domingue,1050,350,Levant,aunes,,0,
177,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de lin,St Domingue,917,350,Bernay,aunes,,0,
178,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de lin,St Domingue,7300,3000,Le Perche,aunes,,0,
179,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de lin peinte,St Domingue,2868,1200,Normandie,aunes,,0,
180,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile platille,Sénégal et Guinée,19292,7980,Étranger,pièces,,1,
181,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile platille,Sénégal et Guinée,19292,56,Étranger,aunes,,2,
182,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile à voile,Sénégal et Guinée,3000,1240,Étranger,aunes,,0,
183,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile à voile,St Domingue,2235,2032,Abbeville,aunes,,0,
184,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de chanvre,St Domingue,6080,5231,Le Perche,aunes,,0,
185,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile de fil de chanvre,Sénégal et Guinée,4290,2865,Anjou,aunes,,0,
186,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile ginagas,St Domingue,2920,2650,Normandie,aunes,,0,
187,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile coutil fil,Sénégal et Guinée,1200,20,Bretagne,pièces,,0,
188,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile des indes,Sénégal et Guinée,31260,1054,Bretagne,pièces,,0,
189,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Toile des indes,Sénégal et Guinée,780,30,Étranger,pièces,,0,
190,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Ustensiles de pêche,St Domingue,960,,Bretagne,,,0,
191,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Verrerie diverse,St Domingue,3697,,France,,,0,
192,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Verrerie diverse,Sénégal et Guinée,200,,France,,,0,
193,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",67,Verrerie diverse,St Domingue,2700,,Paris,,,0,
