numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,leurvaleursubtotal_2,remarks,doubleaccounts,leurvaleursubtotal_1
377,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Draps de louviers,St Domingue,69475,5558,Sedan,livres,,,0,76138
378,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Draps de louviers,La Martinique,2088,143,Sedan,livres,,,0,76138
379,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Draps de louviers,La Guadeloupe,4575,366,Sedan,livres,,,0,76138
380,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Draps de louviers,Sénégal et Guinée,6526,525,Sedan,livres,,,0,
381,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Draperie petite filesie,La Martinique,1495,230,Étranger,livres,,,0,2359
382,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Draperie petite filesie,La Guadeloupe,864,133,Étranger,livres,,,0,2359
383,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Ras de castor,St Domingue,1920,320,Lyonnais,aunes,,,0,2160
384,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Ras de castor,La Guadeloupe,240,60,Lyonnais,aunes,,,0,2160
385,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Drogueries diverses médicinales,St Domingue,28048,,,,,Pas de quantité indiquée,0,35471
386,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Drogueries diverses médicinales,La Martinique,2842,,,,,Pas de quantité indiquée,0,35471
387,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Drogueries diverses médicinales,La Guadeloupe,4289,,,,,Pas de quantité indiquée,0,35471
388,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Drogueries diverses médicinales,Cayenne et Guyanne,292,,,,,Pas de quantité indiquée,0,35471
389,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Drogueries diverses médicinales,Sénégal et Guinée,2337,,,,,Pas de quantité indiquée,0,
390,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Mane,St Domingue,6192,2477,Guyenne,livres,,,0,7547
391,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Mane,La Martinique,330,132,Guyenne,livres,,,0,7547
392,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Mane,La Guadeloupe,1025,410,Guyenne,livres,,,0,7547
393,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Salsepareille,St Domingue,5178,1726,Guyenne,livres,,,0,
394,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Salsepareille,St Domingue,3300,1100,Étranger,livres,,,0,
395,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Drogueries diverses pour la peinture et teinture,St Domingue,348,,,,,Pas de quantité indiquée,0,804
396,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Drogueries diverses pour la peinture et teinture,La Guadeloupe,456,,,,,Pas de quantité indiquée,0,804
397,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Gros rouge,St Domingue,3140,31400,Étranger,livres,,,0,3380
398,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Gros rouge,La Guadeloupe,240,2400,Étranger,livres,,,0,3380
399,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Peintures broyées,St Domingue,13242,22070,Guyenne,livres,,,0,16986
400,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Peintures broyées,La Martinique,2280,3800,Guyenne,livres,,,0,16986
401,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Peintures broyées,La Guadeloupe,1344,2240,Guyenne,livres,,,0,16986
402,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Peintures broyées,Cayenne et Guyanne,120,200,Guyenne,livres,,,0,16986
403,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Peintures broyées,Sénégal et Guinée,2202,3670,Guyenne,livres,,,0,
404,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Eau de vie simple,St Domingue,108771,"688,4236111111",Guyenne,muids,,,0,175189
406,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Eau de vie simple,La Martinique,46109,"291,8263888889",Guyenne,muids,,,0,175189
408,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Eau de vie simple,La Guadeloupe,20309,"128,5416666667",Guyenne,muids,,,0,175189
410,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Eau de vie simple,Sénégal et Guinée,153019,"968,4722222222",Guyenne,muids,,,0,
412,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Eau de vie simple,St Domingue,165,"1,0416666667",Pays des Basques,muids,,,0,239
414,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Eau de vie simple,La Guadeloupe,74,135,Pays des Basques,pintes,,,0,239
415,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Eaux de senteurs,St Domingue,3238,,Guyenne,,,Pas de quantité indiquée,0,4732
416,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Eaux de senteurs,La Martinique,720,,Guyenne,,,Pas de quantité indiquée,0,4732
417,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Eaux de senteurs,La Guadeloupe,774,,Guyenne,,,Pas de quantité indiquée,0,4732
418,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Essence de rose,St Domingue,72000,60,Guyenne,livres,,,0,
419,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Encre à écrire,St Domingue,1643,,Guyenne,,,Pas de quantité indiquée,0,1993
420,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,6,Encre à écrire,La Guadeloupe,350,,Guyenne,,,Pas de quantité indiquée,0,1993
421,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Epicerie diverse,St Domingue,10860,724,Étranger,livres,,,0,
422,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Epicerie diverse,St Domingue,3750,250,Guyenne,livres,,,0,5550
423,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Epicerie diverse,La Guadeloupe,1800,120,Guyenne,livres,,,0,5550
424,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Epicerie canelle,La Martinique,1500,100,Étranger,livres,,,0,
425,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Epicerie cassonade,St Domingue,318,530,Guyenne,livres,,,0,
426,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Epicerie Chocolat,St Domingue,2542,1017,Guyenne,livres,,,0,3292
427,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Epicerie Chocolat,La Guadeloupe,750,300,Guyenne,livres,,,0,3292
428,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Epicerie poivre,St Domingue,2930,1465,Étranger,livres,,,0,3740
429,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Epicerie poivre,La Martinique,770,385,Étranger,livres,,,0,3740
430,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Epicerie poivre,La Guadeloupe,40,20,Étranger,livres,,,0,3740
431,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Epicerie poivre,Sénégal et Guinée,16500,8250,Étranger,livres,,,0,
432,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Estampes,St Domingue,1430,,Isle de France,,,Pas de quantité indiquée,0,1630
433,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Estampes,La Guadeloupe,200,,Isle de France,,,Pas de quantité indiquée,0,1630
434,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etain ouvré,St Domingue,7399,3588,Guyenne,livres,,,1,9581
435,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etain ouvré,St Domingue,7399,2376,Guyenne,??? pièces,,Doute sur l'unité,2,9581
436,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etain ouvré,La Martinique,432,,Guyenne,,,Pas de quantité indiquée,0,9581
437,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etain ouvré,La Guadeloupe,1750,1250,Guyenne,livres,,,0,9581
438,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etain ouvré,Sénégal et Guinée,1879,1342,Guyenne,livres,,,0,
439,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoupes,St Domingue,3705,24700,Guyenne,livres,,,0,4473
440,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoupes,La Martinique,480,3200,Guyenne,livres,,,0,4473
441,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoupes,La Guadeloupe,288,1920,Guyenne,livres,,,0,4473
442,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoupes,Sénégal et Guinée,378,2520,Guyenne,livres,,,0,
443,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Evantaille,St Domingue,162,18,Guyenne,douzaines,,,0,270
444,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Evantaille,La Guadeloupe,108,,Guyenne,,,Pas de quantité indiquée,0,270
445,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de coton (en drap),St Domingue,2625,525,Normandie,aunes,,,0,3750
446,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de coton (en drap),La Martinique,825,165,Normandie,aunes,,,0,3750
447,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de coton (en drap),La Guadeloupe,300,60,Normandie,aunes,,,0,3750
448,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de velour de coton,St Domingue,30000,2000,Languedoc,aunes,,,0,
449,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de velour de coton,Cayenne et Guyanne,750,50,Angoumois,aunes,,,0,
450,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de velour de coton,St Domingue,9015,601,Étranger,aunes,,,0,
451,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de velour de coton,Sénégal et Guinée,600,440,Étranger,aunes,,,0,
452,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes sur coton,St Domingue,1650,100,Angoumois,livres,,,0,
453,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de laine,Sénégal et Guinée,990,165,Languedoc,livres,,,0,
454,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de laine,Sénégal et Guinée,1410,235,Champagne,livres,,,0,
455,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de laine,Sénégal et Guinée,360,60,Angoumois,livres,,,0,
456,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de callemande,La Guadeloupe,320,40,Normandie,aunes,,,0,
457,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de Bayette,Sénégal et Guinée,7012,1753,Angoumois,aunes,,,0,
458,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de Bayette,Sénégal et Guinée,1381,408,Normandie,aunes,,,0,
459,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes d'etamine,St Domingue,53800,6725,Champagne,livres,,,0,59640
460,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes d'etamine,La Martinique,2240,280,Champagne,livres,,,0,59640
461,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes d'etamine,La Guadeloupe,3600,450,Champagne,livres,,,0,59640
462,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes d'etamine,Sénégal et Guinée,160,20,Champagne,livres,,,0,
463,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes d'etamine,St Domingue,7920,990,Maine,livres,,,0,8480
464,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes d'etamine,La Guadeloupe,560,70,Maine,livres,,,0,8480
465,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de bouracan,Sénégal et Guinée,6375,850,Étranger,livres,,,0,
466,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de flanelle,St Domingue,1526,763,Champagne,aunes,,,0,
467,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de camelot,St Domingue,792,198,Normandie,aunes,,,0,
468,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de prunelle,St Domingue,1920,240,Amiens,aunes,,,0,3424
469,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de prunelle,La Martinique,1504,188,Amiens,aunes,,,0,3424
470,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de prunelle,La Martinique,1120,140,Champagne,aunes,,,0,
471,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de serge,Sénégal et Guinée,1000,400,Amiens,aunes,,,0,
472,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de voile,St Domingue,200,50,Amiens,aunes,,,0,
473,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de voile,St Domingue,480,120,Champagne,aunes,,,0,
474,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de molleton de laine,St Domingue,1797,553,Normandie,aunes,,,0,
475,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de soye,St Domingue,558525,10155,Lyonnais,livres,,,0,592350
476,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de soye,La Martinique,22165,403,Lyonnais,livres,,,0,592350
477,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de soye,La Guadeloupe,11660,212,Lyonnais,livres,,,0,592350
478,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de soye,Sénégal et Guinée,101200,1840,Lyonnais,livres,,,0,
479,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Etoffes de soye,St Domingue,2585,47,Touraine,livres,,,0,
480,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Ettofes de Drap de soye,St Domingue,11000,200,Lyonnais,livres,,,0,15125
481,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Ettofes de Drap de soye,La Guadeloupe,4125,75,Lyonnais,livres,,,0,15125
482,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Ettofes de velours de soye,La Guadeloupe,1458,54,Angoumois,aunes,,,0,
483,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Ettofes de velours de soye,La Guadeloupe,810,30,Étranger,aunes,,,0,
484,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Farine,St Domingue,1642624,8213130,Guyenne,livres,,,0,2281024
485,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Farine,La Martinique,298432,1492160,Guyenne,livres,,,0,2281024
486,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Farine,La Guadeloupe,301600,1508000,Guyenne,livres,,,0,2281024
487,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Farine,Cayenne et Guyanne,38368,191840,Guyenne,livres,,,0,2281024
488,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Farine,Sénégal et Guinée,44352,221760,Guyenne,livres,,,0,
489,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Farine de gruau,St Domingue,21840,145600,Guyenne,livres,,,0,26527
490,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Farine de gruau,La Martinique,2100,14000,Guyenne,livres,,,0,26527
491,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Farine de gruau,La Guadeloupe,2587,17250,Guyenne,livres,,,0,26527
492,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Farine de gruau,Sénégal et Guinée,44352,221760,Guyenne,livres,,,0,
493,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Fayence,St Domingue,19437,,Guyenne,,,Pas de quantité indiquée,0,24813
494,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Fayence,La Martinique,3210,,Guyenne,,,Pas de quantité indiquée,0,24813
495,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Fayence,La Guadeloupe,410,,Guyenne,,,Pas de quantité indiquée,0,24813
496,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Fayence,Cayenne et Guyanne,1756,,Guyenne,,,Pas de quantité indiquée,0,24813
497,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Fayence,Sénégal et Guinée,3752,,Guyenne,,,,0,
498,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Fayence,St Domingue,1430,,Étranger,,,Pas de quantité indiquée,0,
499,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Fer en ancres,La Guadeloupe,540,1800,Bretagne,livres,,,0,
500,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,7,Fer ouvré,St Domingue,21154,69445,Guyenne,livres,,,1,35200
