numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,leurvaleursubtotal_1
92,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Morue salée,Possessions anglaises,146905,,,Articles de marchandises permis par l'arrêt du 30 août 1784,1376521
93,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Morue salée,Possessions danoises,2500,,,Articles de marchandises permis par l'arrêt du 30 août 1784,1376521
94,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Morue salée,Possessions espagnoles,1400,,,Articles de marchandises permis par l'arrêt du 30 août 1784,1376521
95,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Morue salée,Possessions hollandaises,24847,,,Articles de marchandises permis par l'arrêt du 30 août 1784,1376521
96,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Morue salée,Possessions suédoises,2000,,,Articles de marchandises permis par l'arrêt du 30 août 1784,1376521
97,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bière,Possessions des Etats unis de l'Amérique,1692,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,37535
98,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bière,Possessions anglaises,24763,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,37535
99,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bière,Possessions hollandaises,11080,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,37535
100,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Cacao,Possessions espagnoles,122000,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,124775
101,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Cacao,Possessions hollandaises,2775,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,124775
102,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Café,Possessions anglaises,3300,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,65270
103,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Café,Possessions danoises,4000,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,65270
104,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Café,Possessions espagnoles,3800,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,65270
105,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Café,Possessions hollandaises,54170,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,65270
106,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Côtes de baleine,Possessions des Etats unis de l'Amérique,31000,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,
107,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Cotons,Possessions anglaises,2000,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,47450
108,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Cotons,Possessions espagnoles,38700,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,47450
109,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Cotons,Possessions hollandaises,6750,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,47450
110,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Dents d'éléphant,Possessions anglaises,19800,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,
111,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Eau de vie,Possessions des Etats unis de l'Amérique,3120,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,21214
112,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Eau de vie,Possessions espagnoles,11894,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,21214
113,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Eau de vie,Possessions hollandaises,6200,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,21214
114,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Farine,Possessions des Etats unis de l'Amérique,132972,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,186890
115,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Farine,Possessions anglaises,6200,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,186890
116,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Farine,Possessions espagnoles,16302,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,186890
117,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Farine,Possessions hollandaises,31416,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,186890
118,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Fil d'épreuve,Possessions espagnoles,17175,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,
119,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Fromage,Possessions des Etats unis de l'Amérique,1530,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,
120,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Huile de poisson,Possessions des Etats unis de l'Amérique,180110,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,197590
121,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Huile de poisson,Possessions anglaises,17480,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,197590
122,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Indigo,Possessions espagnoles,67700,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,
123,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Objets divers,Possessions des Etats unis de l'Amérique,263751,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,551856
124,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Objets divers,Possessions anglaises,61557,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,551856
125,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Objets divers,Possessions danoises,12153,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,551856
126,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Objets divers,Possessions espagnoles,80876,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,551856
127,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Objets divers,Possessions hollandaises,92332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,551856
128,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Objets divers,Possessions portugaises,2248,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,551856
129,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Objets divers,Possessions suédoises,38939,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,551856
130,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Pistaches,Possessions des Etats unis de l'Amérique,1600,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,21648
131,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Pistaches,Possessions espagnoles,16000,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,21648
132,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Pistaches,Possessions hollandaises,4048,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,21648
133,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Rhum,Possessions des Etats unis de l'Amérique,3495,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,50945
134,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Rhum,Possessions anglaises,32600,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,50945
135,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Rhum,Possessions danoises,3600,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,50945
136,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Rhum,Possessions hollandaises,11250,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,50945
137,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Sel,Possessions des Etats unis de l'Amérique,7500,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,92230
138,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Sel,Possessions anglaises,41740,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,92230
139,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Sel,Possessions espagnoles,7920,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,92230
140,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Sel,Possessions hollandaises,9210,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,92230
141,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Sel,Possessions portugaises,25860,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,92230
142,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Sucre brun,Possessions anglaises,6700,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,25550
143,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Sucre brun,Possessions espagnoles,4600,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,25550
144,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Sucre brun,Possessions hollandaises,14250,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,25550
145,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Tabac,Possessions des Etats unis de l'Amérique,411709,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,498581
146,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Tabac,Possessions anglaises,10344,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,498581
147,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Tabac,Possessions espagnoles,63632,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,498581
148,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Tabac,Possessions hollandaises,7766,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,498581
149,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Tabac,Possessions portugaises,5130,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,498581
150,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Toileries de toute sorte,Possessions anglaises,15310,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,175219
151,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Toileries de toute sorte,Possessions espagnoles,130379,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,175219
152,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Toileries de toute sorte,Possessions hollandaises,29530,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,175219
153,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Vins divers,Possessions anglaises,39350,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,82020
154,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Vins divers,Possessions danoises,38500,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,82020
155,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Vins divers,Possessions espagnoles,2210,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,82020
156,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Vins divers,Possessions hollandaises,1960,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,82020
157,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Volailles,Possessions des Etats unis de l'Amérique,31383,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,35131
158,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Volailles,Possessions anglaises,3748,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées,35131
160,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des colonies rhum,Possessions anglaises,73680,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1785,941312
166,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des colonies sirop,Possessions anglaises,364580,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1791,4159044
182,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Eau de vie,Possessions anglaises,11013,,,Marchandises originaires de France,196516
197,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Huile d'olive,Possessions anglaises,1350,,,Marchandises originaires de France,44002
202,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Liqueurs diverses,Possessions anglaises,16526,,,Marchandises originaires de France,544628
208,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Marchandises sèches,Possessions anglaises,7794,,,Marchandises originaires de France,623433
212,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,"Marchandises diverses mêlées comme chandelles, liqueurs, huile, savon, vin, etc",Possessions anglaises,12950,,,Marchandises originaires de France,496385
222,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Savon,Possessions anglaises,37860,,,Marchandises originaires de France,243795
232,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Toilerie de toute sorte,Possessions anglaises,354,,,Marchandises originaires de France,648578
239,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Vin de France,Possessions anglaises,64542,,,Marchandises originaires de France,684176
245,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Vin de liqueur étranger,Possessions anglaises,1200,,,Marchandises originaires de France,148510
252,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bestiaux en animaux,Possessions anglaises,1450,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,62660
255,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bêtes de somme,Possessions anglaises,49800,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,100030
258,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Beurre,Possessions anglaises,8220,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,34540
263,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois de charonage,Possessions anglaises,56676,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,123647
269,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois de construction,Possessions anglaises,297779,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,969985
276,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois merain en feuillard,Possessions anglaises,38595,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,135725
281,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois de toutes sortes,Possessions anglaises,9731,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,54808
288,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bray goudron et térébentine,Possessions anglaises,7760,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,13947
294,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Chairs salées,Possessions anglaises,8450,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,73450
299,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Citrons et oranges,Possessions anglaises,2308,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,11764
304,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Côtes de baleine,Possessions anglaises,3000,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,43000
309,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Grains et graines diverses,Possessions anglaises,2916,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,18038
